symbol,number_of_dates,percentage
CTF,22,1.78
OPC,22,1.78
ACE,12,1.79
DVN,22,1.79
MCH,22,1.85
MFS,22,1.86
GHC,22,1.93
VGP,2,1.93
ACG,22,1.94
TMC,5,1.94
TSD,2,1.95
HLG,4,2.0
DMC,22,2.06
SHP,22,2.07
VSM,5,2.08
NSL,4,2.09
NET,21,2.12
FT1,11,2.15
RAT,8,2.16
THS,4,2.17
NHC,3,2.19
VDP,14,2.25
CAV,15,2.3
SBH,15,2.3
SJE,12,2.3
VPI,22,2.3
DHM,22,2.36
VGR,10,2.36
VGG,22,2.38
BDG,12,2.42
VLW,3,2.42
GMX,19,2.44
VNI,2,2.48
SBA,22,2.49
SDP,4,2.5
SJD,22,2.5
TV1,20,2.52
DP3,17,2.55
QLT,13,2.56
CFM,22,2.65
L43,6,2.65
VJC,22,2.68
TKG,22,2.71
TDT,22,2.72
LG9,4,2.73
BHN,21,2.75
AFX,22,2.76
POV,19,2.79
TTT,5,2.8
TVT,16,2.8
AST,22,2.81
TA3,3,2.83
NTC,22,2.86
NVL,22,2.86
TBC,21,2.86
AGP,22,2.95
FOX,22,2.95
TTC,12,2.95
SRC,20,3.01
VCB,22,3.02
LGC,8,3.05
USD,12,3.07
SAL,3,3.08
TRC,18,3.09
DHD,20,3.1
LHC,21,3.11
LMI,4,3.11
CQT,20,3.12
HDW,3,3.12
BAX,17,3.13
KDC,22,3.15
CLH,22,3.16
MML,21,3.19
SSC,15,3.19
AME,22,3.21
BWS,18,3.22
EIB,22,3.22
PVI,22,3.24
HAD,17,3.25
XMP,13,3.27
ND2,11,3.29
PTP,4,3.3
SAB,22,3.3
ONW,3,3.33
VTK,18,3.35
TCT,22,3.36
PPP,21,3.38
SMN,12,3.38
TCL,22,3.38
NBE,14,3.4
PMS,5,3.41
SAM,22,3.42
VTR,22,3.42
PMC,9,3.43
ICF,4,3.45
VPS,21,3.45
CNC,17,3.47
BDT,19,3.49
VNE,22,3.49
VPD,22,3.49
VTE,3,3.49
GMH,22,3.53
STH,22,3.53
KOS,22,3.54
SZG,21,3.56
PSG,4,3.57
HPT,8,3.59
CHP,22,3.64
HPX,22,3.64
KDH,22,3.64
SWC,22,3.64
VCR,22,3.66
SGN,22,3.67
TPC,17,3.67
VIC,22,3.69
SC5,22,3.7
SDX,2,3.7
TOT,8,3.7
EPH,11,3.72
VFG,20,3.73
PGS,22,3.74
PPC,22,3.75
CTW,3,3.77
SSH,22,3.77
PCN,3,3.78
LKW,15,3.8
ABI,22,3.82
PSB,22,3.83
SIC,8,3.83
SDB,4,3.85
VIW,9,3.85
VC3,22,3.87
PHN,3,3.88
HTV,22,3.89
HNF,5,3.9
PSE,22,3.9
NCT,22,3.92
DVP,22,3.93
QNS,22,3.94
PNT,13,3.95
WSB,22,3.97
DHG,22,4.0
VDL,8,4.0
FOC,21,4.01
NXT,22,4.01
SZL,19,4.01
GKM,22,4.04
SGS,10,4.04
HLY,2,4.05
BTP,20,4.06
TNM,4,4.08
HVT,22,4.12
ILB,22,4.12
HDP,13,4.13
HNA,19,4.14
SNC,3,4.14
CDP,20,4.15
VEA,22,4.15
BIC,22,4.16
KGM,12,4.17
SKV,22,4.18
TDM,22,4.2
VW3,3,4.21
PPE,2,4.23
CLC,22,4.27
HTI,20,4.28
DTG,11,4.29
KSD,22,4.29
TV6,8,4.29
HND,22,4.31
SRF,21,4.32
TDP,20,4.34
DTV,3,4.35
RCC,3,4.35
BLF,4,4.36
ABT,22,4.37
ASG,22,4.37
ST8,22,4.37
TR1,9,4.37
CMD,9,4.39
PRC,2,4.4
VE2,2,4.4
GDT,22,4.41
SD7,16,4.41
PRE,19,4.42
PAC,19,4.47
BSA,20,4.5
BTT,20,4.5
DTE,22,4.5
HPB,5,4.5
SCS,22,4.5
TIX,12,4.5
EMS,5,4.52
MCM,22,4.52
VSA,14,4.52
LIX,22,4.54
BHC,4,4.55
CDC,22,4.55
HGM,2,4.55
SDY,4,4.55
PMW,4,4.61
TA9,22,4.64
VAV,12,4.65
BMI,22,4.66
CDN,20,4.66
HTC,9,4.66
DCL,22,4.67
INN,22,4.68
SHI,22,4.73
DXV,22,4.75
SP2,4,4.76
NTW,12,4.77
GTA,21,4.81
NBW,6,4.81
SHC,11,4.81
SDV,12,4.82
VFS,22,4.82
NSC,22,4.84
S27,2,4.84
SGH,2,4.84
VSN,15,4.84
MKV,11,4.85
APF,22,4.87
QNU,3,4.87
PMG,14,4.89
THB,8,4.89
VC6,4,4.9
BPC,8,4.91
EID,22,4.91
WCS,13,4.91
PIC,18,4.92
SPC,12,4.92
CCR,22,4.98
STG,21,4.98
ICC,3,4.99
CTA,3,5.0
HLA,4,5.0
NTH,8,5.0
DDN,22,5.05
SED,19,5.05
DCR,9,5.07
IST,4,5.12
BVB,22,5.14
VAB,22,5.14
KSV,19,5.16
TV3,14,5.16
MSH,22,5.19
MWG,22,5.19
PGD,21,5.19
NAG,22,5.2
DAD,6,5.21
VNR,22,5.21
SBM,6,5.27
HAT,11,5.33
BWE,22,5.37
VRE,22,5.37
HLC,22,5.39
CLL,22,5.4
VIF,20,5.4
AMC,4,5.42
PGI,22,5.42
TYA,21,5.42
CMG,22,5.44
PPS,16,5.45
TS4,4,5.45
VTC,15,5.48
AVC,9,5.49
ACB,22,5.51
BCA,22,5.54
DP1,18,5.54
TPP,15,5.54
SBV,22,5.55
LWS,2,5.56
VSF,4,5.59
PVM,22,5.6
BVH,22,5.61
QHW,8,5.61
VCF,10,5.61
SFI,22,5.62
PVV,4,5.64
SFC,8,5.64
STC,8,5.64
TLG,22,5.65
DNP,22,5.66
MSN,22,5.68
HTG,22,5.69
HKB,4,5.71
NNC,22,5.72
X20,11,5.72
HSM,21,5.75
GIC,20,5.77
S55,18,5.79
MIE,3,5.8
VHM,22,5.8
VGL,14,5.81
AAM,22,5.82
CSM,22,5.83
EIC,22,5.83
S96,4,5.83
BSQ,17,5.84
HPM,4,5.84
FIR,22,5.86
BCP,9,5.87
PDR,22,5.87
HAS,20,5.91
BAF,22,5.92
YBM,22,5.92
QTP,22,5.93
C32,22,5.94
MCP,22,5.94
SJS,22,5.95
NDX,22,5.96
HUB,22,6.0
LCS,4,6.0
STK,22,6.0
STL,4,6.0
UDJ,22,6.03
MTC,2,6.04
CJC,3,6.05
SHB,22,6.06
GLT,11,6.07
AIC,22,6.08
ADC,5,6.1
FPT,22,6.1
QHD,11,6.11
DPR,22,6.12
LBM,22,6.13
MTP,16,6.13
TFC,15,6.13
TMP,21,6.13
VID,22,6.13
BMP,22,6.14
DP2,2,6.14
L63,6,6.14
HDO,4,6.15
NTB,4,6.15
XLV,4,6.15
VGT,22,6.16
EVE,22,6.18
PMB,22,6.2
KMT,15,6.22
HTL,16,6.24
TW3,4,6.24
NDF,4,6.25
SSF,2,6.25
ACV,22,6.26
PCE,21,6.26
HPP,22,6.27
VNS,18,6.31
VMS,12,6.32
PJS,2,6.33
M10,18,6.34
HEM,5,6.35
CVT,17,6.36
HNB,2,6.37
CTR,22,6.38
DTK,20,6.38
PHP,22,6.4
BT1,9,6.41
HDB,22,6.41
LM8,22,6.43
BMF,4,6.47
PCC,11,6.49
TTS,4,6.49
NHV,22,6.5
PVE,4,6.51
SIP,22,6.51
BHP,18,6.52
BIG,22,6.54
HWS,16,6.57
VEC,19,6.59
DOC,7,6.61
SGB,22,6.62
PMP,19,6.63
IMP,22,6.64
CCI,21,6.66
DRC,22,6.66
SNZ,20,6.66
CHS,20,6.67
NAV,21,6.67
VC5,4,6.67
RCL,14,6.69
DNW,21,6.7
GSM,10,6.7
NRC,22,6.7
ABC,4,6.71
VFR,13,6.71
HIG,18,6.74
NTL,22,6.74
TKU,18,6.76
CAT,22,6.78
HFC,8,6.78
LHG,22,6.78
DBD,22,6.79
C69,22,6.83
DHC,22,6.83
GTH,17,6.83
KST,12,6.83
PIV,4,6.84
CID,9,6.85
BCF,19,6.86
CEN,22,6.86
GTS,12,6.86
MVC,22,6.88
PBC,22,6.89
STT,4,6.9
CQN,13,6.95
PGN,21,6.95
FMC,22,6.96
S72,8,6.96
MDG,22,6.98
SAF,8,6.98
VNX,2,6.98
ICI,4,6.99
HUG,5,7.0
V15,4,7.0
DRL,13,7.02
ISH,17,7.04
VSI,18,7.04
BRC,21,7.05
NS2,11,7.06
SD1,4,7.06
GSP,22,7.11
TCW,22,7.11
BTD,20,7.13
DDM,4,7.14
GEE,22,7.14
GEG,22,7.14
NST,20,7.15
HEC,8,7.16
EIN,22,7.18
VCP,17,7.19
NED,22,7.2
SVI,16,7.2
XPH,2,7.2
SDN,6,7.21
BSL,15,7.23
GND,18,7.23
KTS,21,7.23
VNL,22,7.25
AMP,2,7.27
TRT,7,7.29
TOS,10,7.3
MEL,13,7.32
LSG,22,7.33
TMX,10,7.33
SVN,22,7.35
CAP,22,7.36
TIN,22,7.36
VPB,22,7.36
VNM,22,7.4
CCT,7,7.41
HD2,22,7.41
CPI,4,7.45
CMV,22,7.47
SZB,22,7.47
DBT,22,7.48
NTT,4,7.5
SJ1,15,7.5
TOP,4,7.5
PGC,22,7.51
BCM,22,7.52
NBP,9,7.53
PLX,22,7.53
SB1,11,7.53
SII,21,7.56
ANT,20,7.57
ATG,4,7.57
TCB,22,7.59
TH1,3,7.59
MCF,17,7.63
KSF,22,7.66
HPD,20,7.67
DNM,19,7.69
HES,3,7.69
L44,4,7.69
APP,21,7.7
PC1,22,7.71
TDB,13,7.73
TGP,4,7.74
DAE,5,7.75
PEC,8,7.76
SBL,16,7.76
VEF,22,7.76
VST,4,7.76
PIA,15,7.77
LM7,22,7.78
PHR,22,7.78
TTE,18,7.78
PSP,19,7.8
TLP,14,7.8
SGT,22,7.81
HSI,4,7.83
VTJ,16,7.83
CAN,11,7.84
GAS,22,7.87
BBS,7,7.88
CTP,22,7.88
HTP,21,7.88
TNG,22,7.89
VCC,20,7.93
BDB,5,7.94
DHP,4,7.94
HMH,21,7.94
NTP,22,7.96
DOP,3,7.97
PTE,3,8.0
SGI,20,8.0
LDP,22,8.02
SKH,19,8.02
NUE,12,8.03
SMT,22,8.03
PNJ,22,8.05
PRT,22,8.07
SCG,22,8.07
NJC,8,8.08
HFB,7,8.11
TJC,6,8.11
KSH,4,8.12
SKG,22,8.13
MTB,2,8.14
CTB,18,8.19
SAC,12,8.2
PNC,4,8.21
SPM,16,8.21
CTD,22,8.23
MVB,20,8.25
DNE,19,8.3
MED,12,8.31
TV4,18,8.31
ABB,22,8.32
KTT,17,8.32
DRI,22,8.33
SGO,4,8.33
OCB,22,8.35
THP,18,8.37
QCC,5,8.39
DNC,7,8.4
BTB,13,8.41
GVR,22,8.41
VCS,22,8.43
PGT,22,8.45
DRG,19,8.47
HSV,22,8.47
VES,3,8.47
DVG,22,8.5
HTT,4,8.5
SMA,22,8.53
HU3,22,8.54
MEC,3,8.54
HT1,22,8.55
VE3,20,8.55
VMD,22,8.56
CAD,4,8.57
RCD,4,8.57
PIT,22,8.59
TMS,22,8.61
NT2,22,8.62
SPB,3,8.62
AMS,22,8.64
L45,22,8.64
SEB,6,8.65
GMD,22,8.66
TDS,19,8.67
VNF,22,8.67
DAS,4,8.68
PTT,18,8.68
POW,22,8.7
VBH,7,8.7
THI,19,8.71
TMB,22,8.72
DTB,11,8.73
ORS,22,8.75
VIT,18,8.77
FRT,22,8.79
MGC,19,8.79
CCP,12,8.8
CMI,4,8.8
BLN,17,8.81
ACM,4,8.82
MPT,4,8.82
SBD,5,8.82
HDG,22,8.84
DTP,17,8.85
MPC,22,8.85
TMT,22,8.85
POT,22,8.86
AG1,19,8.87
PDV,21,8.87
SID,20,8.87
HOM,22,8.88
VBB,22,8.88
SSN,22,8.89
APC,22,8.95
NHT,21,8.96
PTS,19,8.98
ONE,22,9.0
CMF,6,9.01
SRT,20,9.02
TN1,22,9.02
NDP,7,9.04
ATA,4,9.09
AVF,4,9.09
BMJ,17,9.09
PSL,19,9.12
PGV,22,9.14
TSB,5,9.15
GER,9,9.17
SSB,22,9.21
VWS,14,9.21
BLI,21,9.22
GCB,3,9.23
PLA,21,9.24
HCC,17,9.26
RDP,22,9.26
TMG,7,9.26
DMN,9,9.29
ODE,22,9.29
BID,22,9.3
HLR,3,9.3
PJT,22,9.3
SHA,22,9.31
PVP,22,9.32
MTA,21,9.33
HVH,22,9.35
BRR,20,9.41
TPB,22,9.41
ANV,22,9.48
D2D,22,9.49
RTB,22,9.49
TEL,3,9.5
DS3,22,9.51
SFG,22,9.51
VIM,8,9.52
TVS,22,9.54
PPH,22,9.56
TNH,22,9.56
VOC,22,9.56
SVT,22,9.57
BHK,6,9.58
BHA,17,9.6
MTV,11,9.6
DGW,22,9.61
LLM,20,9.62
SHG,4,9.62
CIA,22,9.63
LTG,22,9.66
TL4,22,9.69
GMC,19,9.7
HAC,21,9.7
SD5,22,9.71
A32,11,9.72
IDI,22,9.76
SVG,11,9.76
CTX,4,9.77
DHB,4,9.77
NVB,22,9.77
PDN,10,9.77
SIG,8,9.77
VLA,16,9.79
KPF,22,9.85
VTA,16,9.85
VTB,18,9.85
ACL,22,9.86
MSR,22,9.87
IDC,22,9.88
FDC,21,9.89
UDC,22,9.9
NAB,22,9.94
D11,21,9.95
STB,22,9.96
SDG,15,9.98
EFI,3,10.0
GTT,4,10.0
HHP,22,10.0
LO5,4,10.0
PGB,22,10.0
PXA,4,10.0
PXM,4,10.0
VAF,22,10.0
VNC,10,10.04
SAS,22,10.09
HSA,4,10.11
KBC,22,10.11
IDV,22,10.15
MIG,22,10.17
TCR,22,10.17
POS,21,10.18
HRC,14,10.19
THT,22,10.2
TV2,22,10.21
WTC,17,10.21
IJC,22,10.23
KHP,22,10.23
QPH,9,10.23
C21,16,10.24
EVF,22,10.24
VNG,22,10.25
NAS,6,10.26
VXB,18,10.3
HPG,22,10.31
PAP,9,10.31
HKT,17,10.32
EVS,22,10.33
V21,21,10.35
CMS,22,10.37
DIC,4,10.37
MBB,22,10.39
BHT,4,10.43
WSS,21,10.44
BSG,21,10.48
FRM,7,10.48
GVT,5,10.48
HOT,14,10.5
DHA,22,10.52
VLF,4,10.53
CNG,22,10.54
HSL,22,10.54
MHL,21,10.55
HPH,15,10.56
SBT,22,10.56
AGM,22,10.59
VSC,22,10.59
MQN,12,10.6
DFF,22,10.61
CNN,10,10.68
DTA,22,10.68
MTL,22,10.69
PPY,18,10.71
ADG,22,10.75
DZM,20,10.76
PWA,22,10.77
SDK,13,10.77
MDC,22,10.82
MKP,22,10.83
HU1,21,10.85
QTC,12,10.85
CET,19,10.86
CPC,17,10.87
REE,22,10.87
KKC,4,10.96
PVT,22,10.96
HMS,17,10.97
VSH,22,10.98
VNA,22,10.99
ACC,22,11.0
VIP,22,11.01
CST,22,11.04
AGF,4,11.05
CMT,17,11.05
RIC,19,11.08
MH3,11,11.09
TNC,20,11.09
DCT,4,11.11
KLB,22,11.11
SD9,22,11.11
SJC,4,11.11
TUG,6,11.11
HD8,14,11.12
BQB,21,11.13
HVN,22,11.13
TTD,13,11.13
DNH,9,11.15
VRG,18,11.15
CMC,21,11.21
DPG,22,11.23
DGC,22,11.25
ITD,22,11.25
PPI,4,11.25
PVB,22,11.28
TDF,11,11.3
TDN,22,11.31
NHP,4,11.33
PCT,22,11.33
LPB,22,11.34
RAL,22,11.35
TNA,22,11.37
PCG,22,11.38
HAM,13,11.4
VHC,22,11.4
TCI,22,11.42
DC2,20,11.44
HTE,21,11.45
TVD,22,11.51
KHA,10,11.52
CTI,22,11.53
POM,22,11.53
DPS,4,11.54
G20,4,11.54
V11,4,11.54
CTG,22,11.57
DBM,5,11.58
PTD,4,11.59
TAR,22,11.59
TED,18,11.6
AMV,22,11.62
CLX,22,11.62
CTT,17,11.65
FHS,5,11.68
FIC,13,11.68
HAP,22,11.69
NLG,22,11.69
VCA,22,11.74
VHD,15,11.74
HKP,3,11.76
SDJ,3,11.76
DAT,22,11.79
HVG,4,11.84
TTA,22,11.87
X26,6,11.87
PVG,22,11.88
SFN,8,11.89
TIP,22,11.89
PAN,22,11.9
TNW,14,11.9
HAH,22,11.91
NDT,22,11.92
DSC,21,11.93
PET,22,11.94
LPT,22,11.96
MTG,22,11.97
GGG,4,11.98
CKD,9,12.0
PEG,19,12.0
SJG,19,12.01
LAF,11,12.04
VMG,21,12.06
BAL,11,12.07
HJC,15,12.07
V12,18,12.07
PDC,21,12.08
CNT,21,12.11
L40,9,12.11
OIL,22,12.12
BKC,16,12.13
CX8,17,12.13
HPW,15,12.13
KTL,11,12.13
ADP,15,12.14
B82,4,12.14
HDM,20,12.14
VHL,18,12.14
YEG,22,12.15
BSR,22,12.17
AAA,22,12.18
HVX,22,12.19
HBH,14,12.2
VTO,22,12.22
VNB,22,12.24
DAN,11,12.25
PVR,4,12.26
LMH,22,12.28
MTS,12,12.34
TLI,17,12.35
BAB,22,12.37
HID,22,12.37
CSV,22,12.4
SKN,10,12.41
SRB,22,12.44
SBR,3,12.47
BTV,17,12.48
NDN,22,12.5
DTD,22,12.53
ART,22,12.54
HTM,16,12.57
L62,21,12.6
TVW,7,12.6
SIV,5,12.64
KDM,4,12.67
SD8,4,12.73
EMC,21,12.74
VGV,22,12.77
H11,12,12.78
TC6,22,12.78
PSW,22,12.79
PNG,8,12.8
LAS,22,12.81
BVS,22,12.84
SDT,22,12.86
ITC,22,12.87
PTI,20,12.89
VMC,22,12.89
BMC,22,12.9
NBC,22,12.9
PHS,16,12.91
UIC,22,12.92
VTV,22,12.92
CMX,22,12.93
POB,5,12.93
VGI,22,12.93
BCC,22,12.99
TCO,22,12.99
C47,22,13.0
HNI,7,13.01
DDH,3,13.03
NCS,17,13.03
DSG,9,13.04
VFC,7,13.04
HAG,22,13.08
HBS,22,13.08
SCC,13,13.1
VNT,6,13.15
IVS,22,13.19
BTS,22,13.21
S12,4,13.21
IFS,7,13.23
BRS,22,13.25
UNI,22,13.25
DXG,22,13.26
DCS,4,13.33
DTT,11,13.33
SLS,22,13.33
VNP,22,13.33
DDV,22,13.35
SDU,21,13.35
SVD,22,13.36
CMN,3,13.39
PEN,16,13.39
SEA,22,13.39
CCA,22,13.42
EBS,12,13.42
PVO,22,13.47
KCE,12,13.48
BTN,22,13.49
MGG,17,13.49
NBB,22,13.54
QNC,22,13.54
MGR,20,13.56
IHK,5,13.6
VOS,22,13.61
HHC,8,13.62
PTB,22,13.63
LSS,22,13.64
TIE,21,13.65
FRC,17,13.66
PSD,22,13.67
MA1,6,13.68
SSG,12,13.73
LEC,20,13.75
UPH,9,13.75
BIO,19,13.77
TCM,22,13.8
C92,22,13.82
PHC,22,13.82
TCH,22,13.82
HSP,4,13.85
CRC,22,13.87
TVN,22,13.87
HNM,4,13.89
BBC,22,13.91
VAT,4,13.91
VHE,22,13.91
VNY,19,13.93
MDF,18,13.96
BVN,10,13.98
CBI,19,13.99
CTN,4,14.0
PVH,4,14.0
SPI,22,14.0
VTL,10,14.0
VE8,17,14.04
HAN,17,14.05
VCW,12,14.05
SRA,22,14.07
CC4,14,14.08
MNB,9,14.09
MSB,22,14.09
VGC,22,14.1
DQC,22,14.14
DSD,10,14.14
SPP,4,14.17
YBC,20,14.17
VET,22,14.19
SD2,22,14.2
HAX,22,14.21
MIC,13,14.23
KLF,22,14.25
SGR,22,14.25
HII,22,14.29
PVX,4,14.29
BCE,22,14.32
PBT,10,14.4
TXM,21,14.41
GE2,15,14.44
VTP,22,14.44
MVN,20,14.55
MTH,7,14.58
VSE,22,14.58
CSC,22,14.62
L61,14,14.62
TIS,22,14.62
CLG,4,14.71
CT6,11,14.72
SHE,22,14.72
GTD,11,14.75
DPM,22,14.81
DCM,22,14.82
PTV,22,14.83
HMC,22,14.84
HNG,22,14.85
SAP,4,14.86
DC1,16,14.88
MCO,21,14.91
BBM,13,14.95
VLB,22,14.96
DSP,11,14.97
PTL,22,14.97
HVA,19,15.0
SDD,22,15.0
VPC,4,15.0
LGL,22,15.01
SD6,22,15.09
VIN,13,15.09
BST,8,15.11
KHD,17,15.11
NHH,22,15.11
CVN,22,15.12
PLC,22,15.12
ABR,22,15.15
HD6,22,15.15
LUT,22,15.16
HBC,22,15.17
TIG,22,15.17
TLD,22,15.17
ASM,22,15.2
KSB,22,15.26
L12,22,15.28
VE1,16,15.28
SD3,22,15.32
TTF,22,15.32
SD4,21,15.36
PSH,22,15.39
PMT,10,15.4
ITS,21,15.45
CDR,21,15.51
FCM,22,15.51
TBD,8,15.52
IDP,11,15.53
TDH,22,15.53
DTI,11,15.54
BFC,22,15.56
CII,22,15.61
DXP,22,15.61
DRH,22,15.62
HEJ,21,15.63
HAI,22,15.67
VCX,13,15.68
PSI,22,15.73
BBT,18,15.74
CTC,22,15.76
QNT,12,15.78
CCL,22,15.81
ICN,14,15.82
BVL,12,15.87
ILA,22,15.88
SSM,12,15.95
TVP,14,15.96
DXL,16,15.98
NOS,4,16.0
PVY,4,16.0
HHS,22,16.01
OCH,6,16.02
SJM,16,16.02
DTL,22,16.05
PV2,22,16.05
VC1,19,16.05
TST,17,16.07
HMR,22,16.13
FCN,22,16.14
HU6,19,16.14
SCI,22,16.14
VDS,22,16.14
PAT,10,16.17
TID,22,16.17
VTZ,19,16.2
BMS,22,16.22
APH,22,16.23
KMR,22,16.26
VC9,22,16.26
USC,4,16.28
VCI,22,16.28
BSI,22,16.3
CGV,21,16.3
VNH,22,16.3
GEX,22,16.33
TDG,22,16.37
THG,22,16.38
VQC,14,16.4
DIH,22,16.44
SZC,22,16.46
TDC,22,16.49
HUT,22,16.5
ASP,22,16.51
SGP,22,16.51
PXS,17,16.52
BMN,8,16.56
TVC,22,16.57
TEG,22,16.62
SBS,22,16.64
PRO,10,16.67
PVA,4,16.67
SMC,22,16.67
AGR,22,16.68
THD,22,16.74
DTC,19,16.82
NVT,22,16.86
HAV,13,16.91
HLB,6,16.92
SCR,22,16.92
SAV,22,16.94
VCM,9,16.97
HHV,22,17.0
HRT,22,17.0
PBP,22,17.06
AAT,22,17.13
