"id","name","stateAbbreviation","partyShort","committeeId","committeeName","committeePosition","committeeSide","committeeRank"
"C001094","Paul Cook","CA","R","C001094","Committee on Armed Services","member","majority","25"
"B001283","Jim Bridenstine","OK","R","B001283","Committee on Armed Services","member","majority","26"
"M001196","Seth Moulton","MA","D","M001196","Committee on Armed Services","member","minority","26"
"W000815","Brad Wenstrup","OH","R","W000815","Committee on Armed Services","member","majority","27"
"A000371","Pete Aguilar","CA","D","A000371","Committee on Armed Services","member","minority","27"
"W000813","Jackie Walorski","IN","R","W000813","Committee on Armed Services","member","majority","28"
"B001289","Bradley Byrne","AL","R","B001289","Committee on Armed Services","member","majority","29"
"G000546","Sam Graves","MO","R","G000546","Committee on Armed Services","member","majority","30"
"Z000018","Ryan Zinke","MT","R","Z000018","Committee on Armed Services","member","majority","31"
"S001196","Elise Stefanik","NY","R","S001196","Committee on Armed Services","member","majority","32"
"M001197","Martha McSally","AZ","R","M001197","Committee on Armed Services","member","majority","33"
"K000387","Steve Knight","CA","R","K000387","Committee on Armed Services","member","majority","34"
"M001193","Tom MacArthur","NJ","R","M001193","Committee on Armed Services","member","majority","35"
"R000604","Steve Russell","OK","R","R000604","Committee on Armed Services","member","majority","36"
"K000363","John Kline","MN","R","K000363","Committee on Education and Labor","member","majority","1"
"S000185","Robert C. Scott","VA","D","S000185","Committee on Education and Labor","member","minority","1"
"W000795","Joe Wilson","SC","R","W000795","Committee on Education and Labor","member","majority","2"
"H000636","Rubén Hinojosa","TX","D","H000636","Committee on Education and Labor","member","minority","2"
"F000450","Virginia Foxx","NC","R","F000450","Committee on Education and Labor","member","majority","3"
"D000598","Susan A. Davis","CA","D","D000598","Committee on Education and Labor","member","minority","3"
"G000551","Raúl M. Grijalva","AZ","D","G000551","Committee on Education and Labor","member","minority","4"
"H001048","Duncan D. Hunter","CA","R","H001048","Committee on Education and Labor","member","majority","4"
"C001069","Joe Courtney","CT","D","C001069","Committee on Education and Labor","member","minority","5"
"R000582","Phil Roe","TN","R","R000582","Committee on Education and Labor","member","majority","5"
"F000455","Marcia L. Fudge","OH","D","F000455","Committee on Education and Labor","member","minority","6"
"T000467","Glenn Thompson","PA","R","T000467","Committee on Education and Labor","member","majority","6"
"P000598","Jared Polis","CO","D","P000598","Committee on Education and Labor","member","minority","7"
"W000798","Tim Walberg","MI","R","W000798","Committee on Education and Labor","member","majority","7"
"S001177","Gregorio Kilili Camacho Sablan","MP","D","S001177","Committee on Education and Labor","member","minority","8"
"S000018","Matt Salmon","AZ","R","S000018","Committee on Education and Labor","member","majority","8"
"W000808","Frederica Wilson","FL","D","W000808","Committee on Education and Labor","member","minority","9"
"G000558","Brett Guthrie","KY","R","G000558","Committee on Education and Labor","member","majority","9"
"R000592","Todd Rokita","IN","R","R000592","Committee on Education and Labor","member","majority","10"
"B001278","Suzanne Bonamici","OR","D","B001278","Committee on Education and Labor","member","minority","10"
"P000607","Mark Pocan","WI","D","P000607","Committee on Education and Labor","member","minority","11"
"B001269","Lou Barletta","PA","R","B001269","Committee on Education and Labor","member","majority","11"
"H001055","Joe Heck","NV","R","H001055","Committee on Education and Labor","member","majority","12"
"T000472","Mark Takano","CA","D","T000472","Committee on Education and Labor","member","minority","12"
"J000294","Hakeem Jeffries","NY","D","J000294","Committee on Education and Labor","member","minority","13"
"M001189","Luke Messer","IN","R","M001189","Committee on Education and Labor","member","majority","13"
"B001289","Bradley Byrne","AL","R","B001289","Committee on Education and Labor","member","majority","14"
"C001101","Katherine Clark","MA","D","C001101","Committee on Education and Labor","member","minority","14"
"A000370","Alma Adams","NC","D","A000370","Committee on Education and Labor","member","minority","15"
"B001290","David A. Brat","VA","R","B001290","Committee on Education and Labor","member","majority","15"
"C001103","Buddy Carter","GA","R","C001103","Committee on Education and Labor","member","majority","16"
"D000623","Mark DeSaulnier","CA","D","D000623","Committee on Education and Labor","member","minority","16"
"B001293","Mike Bishop","MI","R","B001293","Committee on Education and Labor","member","majority","17"
"G000576","Glenn Grothman","WI","R","G000576","Committee on Education and Labor","member","majority","18"
"R000604","Steve Russell","OK","R","R000604","Committee on Education and Labor","member","majority","19"
"C001107","Carlos Curbelo","FL","R","C001107","Committee on Education and Labor","member","majority","20"
"S001196","Elise Stefanik","NY","R","S001196","Committee on Education and Labor","member","majority","21"
"A000372","Rick Allen","GA","R","A000372","Committee on Education and Labor","member","majority","22"
"P000034","Frank Pallone","NJ","D","P000034","Committee on Energy and Commerce","member","minority","1"
"U000031","Fred Upton","MI","R","U000031","Committee on Energy and Commerce","member","majority","1"
"B000213","Joe L. Barton","TX","R","B000213","Committee on Energy and Commerce","member","majority","2"
"R000515","Bobby L. Rush","IL","D","R000515","Committee on Energy and Commerce","member","minority","2"
"W000413","Edward Whitfield","KY","R","W000413","Committee on Energy and Commerce","member","majority","3"
"E000215","Anna G. Eshoo","CA","D","E000215","Committee on Energy and Commerce","member","minority","3"
"E000179","Eliot L. Engel","NY","D","E000179","Committee on Energy and Commerce","member","minority","4"
"S000364","John Shimkus","IL","R","S000364","Committee on Energy and Commerce","member","majority","4"
"G000410","Gene Green","TX","D","G000410","Committee on Energy and Commerce","member","minority","5"
"P000373","Joe Pitts","PA","R","P000373","Committee on Energy and Commerce","member","majority","5"
"W000791","Greg Walden","OR","R","W000791","Committee on Energy and Commerce","member","majority","6"
"D000197","Diana DeGette","CO","D","D000197","Committee on Energy and Commerce","member","minority","6"
"C001036","Lois Capps","CA","D","C001036","Committee on Energy and Commerce","member","minority","7"
"M001151","Tim Murphy","PA","R","M001151","Committee on Energy and Commerce","member","majority","7"
"B001248","Michael C. Burgess","TX","R","B001248","Committee on Energy and Commerce","member","majority","8"
"D000482","Mike Doyle","PA","D","D000482","Committee on Energy and Commerce","member","minority","8"
"B001243","Marsha Blackburn","TN","R","B001243","Committee on Energy and Commerce","member","majority","9"
"S001145","Jan Schakowsky","IL","D","S001145","Committee on Energy and Commerce","member","minority","9"
"B001251","G. K. Butterfield","NC","D","B001251","Committee on Energy and Commerce","member","minority","10"
"S001176","Steve Scalise","LA","R","S001176","Committee on Energy and Commerce","member","majority","10"
"M001163","Doris Matsui","CA","D","M001163","Committee on Energy and Commerce","member","minority","11"
"L000566","Robert E. Latta","OH","R","L000566","Committee on Energy and Commerce","member","majority","11"
"C001066","Kathy Castor","FL","D","C001066","Committee on Energy and Commerce","member","minority","12"
"M001159","Cathy McMorris Rodgers","WA","R","M001159","Committee on Energy and Commerce","member","majority","12"
"H001045","Gregg Harper","MS","R","H001045","Committee on Energy and Commerce","member","majority","13"
"S001168","John Sarbanes","MD","D","S001168","Committee on Energy and Commerce","member","minority","13"
"L000567","Leonard Lance","NJ","R","L000567","Committee on Energy and Commerce","member","majority","14"
"M001166","Jerry McNerney","CA","D","M001166","Committee on Energy and Commerce","member","minority","14"
"W000800","Peter Welch","VT","D","W000800","Committee on Energy and Commerce","member","minority","15"
"G000558","Brett Guthrie","KY","R","G000558","Committee on Energy and Commerce","member","majority","15"
"O000168","Pete Olson","TX","R","O000168","Committee on Energy and Commerce","member","majority","16"
"L000570","Ben Ray Luján","NM","D","L000570","Committee on Energy and Commerce","member","minority","16"
"T000469","Paul Tonko","NY","D","T000469","Committee on Energy and Commerce","member","minority","17"
"M001180","David McKinley","WV","R","M001180","Committee on Energy and Commerce","member","majority","17"
"P000602","Mike Pompeo","KS","R","P000602","Committee on Energy and Commerce","member","majority","18"
"Y000062","John Yarmuth","KY","D","Y000062","Committee on Energy and Commerce","member","minority","18"
"C001067","Yvette D. Clarke","NY","D","C001067","Committee on Energy and Commerce","member","minority","19"
"K000378","Adam Kinzinger","IL","R","K000378","Committee on Energy and Commerce","member","majority","19"
"L000565","Dave Loebsack","IA","D","L000565","Committee on Energy and Commerce","member","minority","20"
"G000568","Morgan Griffith","VA","R","G000568","Committee on Energy and Commerce","member","majority","20"
"B001257","Gus Bilirakis","FL","R","B001257","Committee on Energy and Commerce","member","majority","21"
"S001180","Kurt Schrader","OR","D","S001180","Committee on Energy and Commerce","member","minority","21"
"J000292","Bill Johnson","OH","R","J000292","Committee on Energy and Commerce","member","majority","22"
"K000379","Joseph P. Kennedy III","MA","D","K000379","Committee on Energy and Commerce","member","minority","22"
"L000576","Billy Long","MO","R","L000576","Committee on Energy and Commerce","member","majority","23"
"C001097","Tony Cárdenas","CA","D","C001097","Committee on Energy and Commerce","member","minority","23"
"E000291","Renee Ellmers","NC","R","E000291","Committee on Energy and Commerce","member","majority","24"
"B001275","Larry Bucshon","IN","R","B001275","Committee on Energy and Commerce","member","majority","25"
"F000461","Bill Flores","TX","R","F000461","Committee on Energy and Commerce","member","majority","26"
"B001284","Susan Brooks","IN","R","B001284","Committee on Energy and Commerce","member","majority","27"
"M001190","Markwayne Mullin","OK","R","M001190","Committee on Energy and Commerce","member","majority","28"
"H001067","Richard Hudson","NC","R","H001067","Committee on Energy and Commerce","member","majority","29"
"C001092","Chris Collins","NY","R","C001092","Committee on Energy and Commerce","member","majority","30"
"C001096","Kevin Cramer","ND","R","C001096","Committee on Energy and Commerce","member","majority","31"
"S001156","Linda T. Sánchez","CA","D","S001156","Committee on Ethics","member","minority","1"
"D000604","Charlie Dent","PA","R","D000604","Committee on Ethics","member","majority","1"
"C001037","Michael E. Capuano","MA","D","C001037","Committee on Ethics","member","minority","2"
"M001181","Pat Meehan","PA","R","M001181","Committee on Ethics","member","majority","2"
"G000566","Trey Gowdy","SC","R","G000566","Committee on Ethics","member","majority","3"
"C001067","Yvette D. Clarke","NY","D","C001067","Committee on Ethics","member","minority","3"
"D000610","Ted Deutch","FL","D","D000610","Committee on Ethics","member","minority","4"
"B001284","Susan Brooks","IN","R","B001284","Committee on Ethics","member","majority","4"
"L000557","John B. Larson","CT","D","L000557","Committee on Ethics","member","minority","5"
"M001158","Kenny Marchant","TX","R","M001158","Committee on Ethics","member","majority","5"
"H001036","Jeb Hensarling","TX","R","H001036","Committee on Financial Services","member","majority","1"
"W000187","Maxine Waters","CA","D","W000187","Committee on Financial Services","member","minority","1"
"K000210","Peter T. King","NY","R","K000210","Committee on Financial Services","member","majority","2"
"M000087","Carolyn B. Maloney","NY","D","M000087","Committee on Financial Services","member","minority","2"
"V000081","Nydia M. Velázquez","NY","D","V000081","Committee on Financial Services","member","minority","3"
"R000487","Edward Royce","CA","R","R000487","Committee on Financial Services","member","majority","3"
"L000491","Frank D. Lucas","OK","R","L000491","Committee on Financial Services","member","majority","4"
"S000344","Brad Sherman","CA","D","S000344","Committee on Financial Services","member","minority","4"
"G000548","Scott Garrett","NJ","R","G000548","Committee on Financial Services","member","majority","5"
"M001137","Gregory W. Meeks","NY","D","M001137","Committee on Financial Services","member","minority","5"
"N000182","Randy Neugebauer","TX","R","N000182","Committee on Financial Services","member","majority","6"
"C001037","Michael E. Capuano","MA","D","C001037","Committee on Financial Services","member","minority","6"
"M001156","Patrick T. McHenry","NC","R","M001156","Committee on Financial Services","member","majority","7"
"H000636","Rubén Hinojosa","TX","D","H000636","Committee on Financial Services","member","minority","7"
"C001049","William Lacy Clay","MO","D","C001049","Committee on Financial Services","member","minority","8"
"P000588","Steve Pearce","NM","R","P000588","Committee on Financial Services","member","majority","8"
"P000599","Bill Posey","FL","R","P000599","Committee on Financial Services","member","majority","9"
"L000562","Stephen F. Lynch","MA","D","L000562","Committee on Financial Services","member","minority","9"
"S001157","David Scott","GA","D","S001157","Committee on Financial Services","member","minority","10"
"F000451","Michael G. Fitzpatrick","PA","R","F000451","Committee on Financial Services","member","majority","10"
"G000553","Al Green","TX","D","G000553","Committee on Financial Services","member","minority","11"
"W000796","Lynn Westmoreland","GA","R","W000796","Committee on Financial Services","member","majority","11"
"L000569","Blaine Luetkemeyer","MO","R","L000569","Committee on Financial Services","member","majority","12"
"C001061","Emanuel Cleaver II","MO","D","C001061","Committee on Financial Services","member","minority","12"
"M001160","Gwen Moore","WI","D","M001160","Committee on Financial Services","member","minority","13"
"H001058","Bill Huizenga","MI","R","H001058","Committee on Financial Services","member","majority","13"
"E000288","Keith Ellison","MN","D","E000288","Committee on Financial Services","member","minority","14"
"D000614","Sean Duffy","WI","R","D000614","Committee on Financial Services","member","majority","14"
"P000593","Ed Perlmutter","CO","D","P000593","Committee on Financial Services","member","minority","15"
"H001060","Robert Hurt","VA","R","H001060","Committee on Financial Services","member","majority","15"
"H001047","Jim Himes","CT","D","H001047","Committee on Financial Services","member","minority","16"
"S001187","Steve Stivers","OH","R","S001187","Committee on Financial Services","member","majority","16"
"C001083","John Carney","DE","D","C001083","Committee on Financial Services","member","minority","17"
"F000458","Stephen Fincher","TN","R","F000458","Committee on Financial Services","member","majority","17"
"S001185","Terri Sewell","AL","D","S001185","Committee on Financial Services","member","minority","18"
"S001188","Marlin Stutzman","IN","R","S001188","Committee on Financial Services","member","majority","18"
"M001182","Mick Mulvaney","SC","R","M001182","Committee on Financial Services","member","majority","19"
"F000454","Bill Foster","IL","D","F000454","Committee on Financial Services","member","minority","19"
"H001059","Randy Hultgren","IL","R","H001059","Committee on Financial Services","member","majority","20"
"K000380","Dan Kildee","MI","D","K000380","Committee on Financial Services","member","minority","20"
"R000593","Dennis Ross","FL","R","R000593","Committee on Financial Services","member","majority","21"
"M001191","Patrick Murphy","FL","D","M001191","Committee on Financial Services","member","minority","21"
"P000606","Robert Pittenger","NC","R","P000606","Committee on Financial Services","member","majority","22"
"D000620","John Delaney","MD","D","D000620","Committee on Financial Services","member","minority","22"
"W000812","Ann Wagner","MO","R","W000812","Committee on Financial Services","member","majority","23"
"S001191","Kyrsten Sinema","AZ","D","S001191","Committee on Financial Services","member","minority","23"
"B001281","Joyce Beatty","OH","D","B001281","Committee on Financial Services","member","minority","24"
"B001282","Andy Barr","KY","R","B001282","Committee on Financial Services","member","majority","24"
"H001064","Denny Heck","WA","D","H001064","Committee on Financial Services","member","minority","25"
"R000598","Keith Rothfus","PA","R","R000598","Committee on Financial Services","member","majority","25"
"M001189","Luke Messer","IN","R","M001189","Committee on Financial Services","member","majority","26"
"V000130","Juan Vargas","CA","D","V000130","Committee on Financial Services","member","minority","26"
"S001183","David Schweikert","AZ","R","S001183","Committee on Financial Services","member","majority","27"
"G000570","Frank Guinta","NH","R","G000570","Committee on Financial Services","member","majority","28"
"T000470","Scott Tipton","CO","R","T000470","Committee on Financial Services","member","majority","29"
"W000816","Roger Williams","TX","R","W000816","Committee on Financial Services","member","majority","30"
"P000611","Bruce Poliquin","ME","R","P000611","Committee on Financial Services","member","majority","31"
"L000584","Mia Love","UT","R","L000584","Committee on Financial Services","member","majority","32"
"H001072","French Hill","AR","R","H001072","Committee on Financial Services","member","majority","33"
"E000294","Tom Emmer","MN","R","E000294","Committee on Financial Services","member","majority","34"
"E000179","Eliot L. Engel","NY","D","E000179","Committee on Foreign Affairs","member","minority","1"
"R000487","Edward Royce","CA","R","R000487","Committee on Foreign Affairs","member","majority","1"
"S000522","Christopher H. Smith","NJ","R","S000522","Committee on Foreign Affairs","member","majority","2"
"S000344","Brad Sherman","CA","D","S000344","Committee on Foreign Affairs","member","minority","2"
