"id","name","stateAbbreviation","partyShort","subcommitteeId","subcommitteeName","subcommitteePosition","subcommitteeSide","subcommitteeRank"
"S001157","David Scott","GA","D","S001157","General Farm Commodities and Risk Management","member","majority","3"
"C001087","Rick Crawford","AR","R","C001087","General Farm Commodities and Risk Management","member","minority","3"
"L000586","Al Lawson","FL","D","L000586","General Farm Commodities and Risk Management","member","majority","4"
"A000372","Rick Allen","GA","R","A000372","General Farm Commodities and Risk Management","member","minority","4"
"A000374","Ralph Abraham","LA","R","A000374","General Farm Commodities and Risk Management","member","minority","5"
"C001112","Salud Carbajal","CA","D","C001112","General Farm Commodities and Risk Management","member","majority","6"
"S001209","Abigail Spanberger","VA","D","S001209","Conservation and Forestry","Chair","majority","1"
"L000578","Doug LaMalfa","CA","R","L000578","Conservation and Forestry","Ranking Member","minority","1"
"F000455","Marcia L. Fudge","OH","D","F000455","Conservation and Forestry","member","majority","2"
"A000372","Rick Allen","GA","R","A000372","Conservation and Forestry","member","minority","2"
"O000171","Tom O'Halleran","AZ","D","O000171","Conservation and Forestry","member","majority","3"
"A000374","Ralph Abraham","LA","R","A000374","Conservation and Forestry","member","minority","3"
"P000597","Chellie Pingree","ME","D","P000597","Conservation and Forestry","member","majority","4"
"K000388","Trent Kelly","MS","R","K000388","Conservation and Forestry","member","minority","4"
"A000378","Cynthia Axne","IA","D","A000378","Conservation and Forestry","member","majority","5"
"S001157","David Scott","GA","D","S001157","Commodity Exchanges, Energy, and Credit","Chair","majority","1"
"S001189","Austin Scott","GA","R","S001189","Commodity Exchanges, Energy, and Credit","Ranking Member","minority","1"
"C001087","Rick Crawford","AR","R","C001087","Commodity Exchanges, Energy, and Credit","member","minority","2"
"V000132","Filemon Vela","TX","D","V000132","Commodity Exchanges, Energy, and Credit","member","majority","3"
"B001295","Mike Bost","IL","R","B001295","Commodity Exchanges, Energy, and Credit","member","minority","3"
"P000610","Stacey Plaskett","VI","D","P000610","Commodity Exchanges, Energy, and Credit","member","majority","4"
"R000603","David Rouzer","NC","R","R000603","Commodity Exchanges, Energy, and Credit","member","minority","4"
"S001209","Abigail Spanberger","VA","D","S001209","Commodity Exchanges, Energy, and Credit","member","majority","5"
"M001198","Roger Marshall","KS","R","M001198","Commodity Exchanges, Energy, and Credit","member","minority","5"
"D000630","Antonio Delgado","NY","D","D000630","Commodity Exchanges, Energy, and Credit","member","majority","6"
"D000628","Neal Dunn","FL","R","D000628","Commodity Exchanges, Energy, and Credit","member","minority","6"
"C001119","Angie Craig","MN","D","C001119","Commodity Exchanges, Energy, and Credit","member","majority","7"
"J000301","Dusty Johnson","SD","R","J000301","Commodity Exchanges, Energy, and Credit","member","minority","7"
"M001185","Sean Patrick Maloney","NY","D","M001185","Commodity Exchanges, Energy, and Credit","member","majority","8"
"B001307","James Baird","IN","R","B001307","Commodity Exchanges, Energy, and Credit","member","minority","8"
"K000368","Ann Kirkpatrick","AZ","D","K000368","Commodity Exchanges, Energy, and Credit","member","majority","9"
"A000378","Cynthia Axne","IA","D","A000378","Commodity Exchanges, Energy, and Credit","member","majority","10"
"C001059","Jim Costa","CA","D","C001059","Livestock and Foreign Agriculture","Chair","majority","1"
"R000603","David Rouzer","NC","R","R000603","Livestock and Foreign Agriculture","Ranking Member","minority","1"
"B001308","Anthony Brindisi","NY","D","B001308","Livestock and Foreign Agriculture","member","majority","2"
"T000467","Glenn Thompson","PA","R","T000467","Livestock and Foreign Agriculture","member","minority","2"
"H001081","Jahana Hayes","CT","D","H001081","Livestock and Foreign Agriculture","member","majority","3"
"D000616","Scott DesJarlais","TN","R","D000616","Livestock and Foreign Agriculture","member","minority","3"
"C001124","TJ Cox","CA","D","C001124","Livestock and Foreign Agriculture","member","majority","4"
"H001053","Vicky Hartzler","MO","R","H001053","Livestock and Foreign Agriculture","member","minority","4"
"C001119","Angie Craig","MN","D","C001119","Livestock and Foreign Agriculture","member","majority","5"
"K000388","Trent Kelly","MS","R","K000388","Livestock and Foreign Agriculture","member","minority","5"
"H001090","Josh Harder","CA","D","H001090","Livestock and Foreign Agriculture","member","majority","6"
"C001108","James Comer","KY","R","C001108","Livestock and Foreign Agriculture","member","minority","6"
"V000132","Filemon Vela","TX","D","V000132","Livestock and Foreign Agriculture","member","majority","7"
"M001198","Roger Marshall","KS","R","M001198","Livestock and Foreign Agriculture","member","minority","7"
"P000610","Stacey Plaskett","VI","D","P000610","Livestock and Foreign Agriculture","member","majority","8"
"B001298","Don Bacon","NE","R","B001298","Livestock and Foreign Agriculture","member","minority","8"
"C001112","Salud Carbajal","CA","D","C001112","Livestock and Foreign Agriculture","member","majority","9"
"H001088","Jim Hagedorn","MN","R","H001088","Livestock and Foreign Agriculture","member","minority","9"
"B001286","Cheri Bustos","IL","D","B001286","Livestock and Foreign Agriculture","member","majority","10"
"P000613","Jimmy Panetta","CA","D","P000613","Livestock and Foreign Agriculture","member","majority","11"
"P000610","Stacey Plaskett","VI","D","P000610","Biotechnology, Horticulture, and Research","Chair","majority","1"
"D000628","Neal Dunn","FL","R","D000628","Biotechnology, Horticulture, and Research","Ranking Member","minority","1"
"D000630","Antonio Delgado","NY","D","D000630","Biotechnology, Horticulture, and Research","member","majority","2"
"T000467","Glenn Thompson","PA","R","T000467","Biotechnology, Horticulture, and Research","member","minority","2"
"C001124","TJ Cox","CA","D","C001124","Biotechnology, Horticulture, and Research","member","majority","3"
"H001053","Vicky Hartzler","MO","R","H001053","Biotechnology, Horticulture, and Research","member","minority","3"
"H001090","Josh Harder","CA","D","H001090","Biotechnology, Horticulture, and Research","member","majority","4"
"L000578","Doug LaMalfa","CA","R","L000578","Biotechnology, Horticulture, and Research","member","minority","4"
"B001308","Anthony Brindisi","NY","D","B001308","Biotechnology, Horticulture, and Research","member","majority","5"
"D000619","Rodney Davis","IL","R","D000619","Biotechnology, Horticulture, and Research","member","minority","5"
"Y000065","Ted Yoho","FL","R","Y000065","Biotechnology, Horticulture, and Research","member","minority","6"
"S001216","Kim Schrier","WA","D","S001216","Biotechnology, Horticulture, and Research","member","majority","7"
"B001295","Mike Bost","IL","R","B001295","Biotechnology, Horticulture, and Research","member","minority","7"
"P000597","Chellie Pingree","ME","D","P000597","Biotechnology, Horticulture, and Research","member","majority","8"
"C001108","James Comer","KY","R","C001108","Biotechnology, Horticulture, and Research","member","minority","8"
"C001112","Salud Carbajal","CA","D","C001112","Biotechnology, Horticulture, and Research","member","majority","9"
"B001307","James Baird","IN","R","B001307","Biotechnology, Horticulture, and Research","member","minority","9"
"P000613","Jimmy Panetta","CA","D","P000613","Biotechnology, Horticulture, and Research","member","majority","10"
"M001185","Sean Patrick Maloney","NY","D","M001185","Biotechnology, Horticulture, and Research","member","majority","11"
"L000586","Al Lawson","FL","D","L000586","Biotechnology, Horticulture, and Research","member","majority","12"
"B000490","Sanford D. Bishop Jr.","GA","D","B000490","Agriculture, Rural Development, Food and Drug Administration, and Related Agencies","Chair","majority","1"
"F000449","Jeff Fortenberry","NE","R","F000449","Agriculture, Rural Development, Food and Drug Administration, and Related Agencies","Ranking Member","minority","1"
"D000216","Rosa DeLauro","CT","D","D000216","Agriculture, Rural Development, Food and Drug Administration, and Related Agencies","Vice Chair","majority","2"
"A000055","Robert B. Aderholt","AL","R","A000055","Agriculture, Rural Development, Food and Drug Administration, and Related Agencies","member","minority","2"
"P000597","Chellie Pingree","ME","D","P000597","Agriculture, Rural Development, Food and Drug Administration, and Related Agencies","member","majority","3"
"H001052","Andy Harris","MD","R","H001052","Agriculture, Rural Development, Food and Drug Administration, and Related Agencies","member","minority","3"
"P000607","Mark Pocan","WI","D","P000607","Agriculture, Rural Development, Food and Drug Administration, and Related Agencies","member","majority","4"
"M001194","John Moolenaar","MI","R","M001194","Agriculture, Rural Development, Food and Drug Administration, and Related Agencies","member","minority","4"
"L000551","Barbara Lee","CA","D","L000551","Agriculture, Rural Development, Food and Drug Administration, and Related Agencies","member","majority","5"
"M001143","Betty McCollum","MN","D","M001143","Agriculture, Rural Development, Food and Drug Administration, and Related Agencies","member","majority","6"
"C001063","Henry Cuellar","TX","D","C001063","Agriculture, Rural Development, Food and Drug Administration, and Related Agencies","member","majority","7"
"S000248","José E. Serrano","NY","D","S000248","Commerce, Justice, Science, and Related Agencies","Chair","majority","1"
"A000055","Robert B. Aderholt","AL","R","A000055","Commerce, Justice, Science, and Related Agencies","Ranking Member","minority","1"
"C001090","Matt Cartwright","PA","D","C001090","Commerce, Justice, Science, and Related Agencies","Vice Chair","majority","2"
"R000591","Martha Roby","AL","R","R000591","Commerce, Justice, Science, and Related Agencies","member","minority","2"
"M001188","Grace Meng","NY","D","M001188","Commerce, Justice, Science, and Related Agencies","member","majority","3"
"P000601","Steven Palazzo","MS","R","P000601","Commerce, Justice, Science, and Related Agencies","member","minority","3"
"L000581","Brenda Lawrence","MI","D","L000581","Commerce, Justice, Science, and Related Agencies","member","majority","4"
"C001111","Charlie Crist","FL","D","C001111","Commerce, Justice, Science, and Related Agencies","member","majority","5"
"C001055","Ed Case","HI","D","C001055","Commerce, Justice, Science, and Related Agencies","member","majority","6"
"K000009","Marcy Kaptur","OH","D","K000009","Commerce, Justice, Science, and Related Agencies","member","majority","7"
"V000108","Peter J. Visclosky","IN","D","V000108","Defense","Chair","majority","1"
"C000059","Ken Calvert","CA","R","C000059","Defense","Ranking Member","minority","1"
"M001143","Betty McCollum","MN","D","M001143","Defense","Vice Chair","majority","2"
"R000395","Harold Rogers","KY","R","R000395","Defense","member","minority","2"
"R000577","Tim Ryan","OH","D","R000577","Defense","member","majority","3"
"C001053","Tom Cole","OK","R","C001053","Defense","member","minority","3"
"R000576","C.A. Dutch Ruppersberger","MD","D","R000576","Defense","member","majority","4"
"W000809","Steve Womack","AR","R","W000809","Defense","member","minority","4"
"K000009","Marcy Kaptur","OH","D","K000009","Defense","member","majority","5"
"A000055","Robert B. Aderholt","AL","R","A000055","Defense","member","minority","5"
"C001063","Henry Cuellar","TX","D","C001063","Defense","member","majority","6"
"C001051","John Carter","TX","R","C001051","Defense","member","minority","6"
"K000381","Derek Kilmer","WA","D","K000381","Defense","member","majority","7"
"D000600","Mario Diaz-Balart","FL","R","D000600","Defense","member","minority","7"
"A000371","Pete Aguilar","CA","D","A000371","Defense","member","majority","8"
"B001286","Cheri Bustos","IL","D","B001286","Defense","member","majority","9"
"C001111","Charlie Crist","FL","D","C001111","Defense","member","majority","10"
"K000368","Ann Kirkpatrick","AZ","D","K000368","Defense","member","majority","11"
"K000009","Marcy Kaptur","OH","D","K000009","Energy and Water Development, and Related Agencies","Chair","majority","1"
"S001148","Mike Simpson","ID","R","S001148","Energy and Water Development, and Related Agencies","Ranking Member","minority","1"
"V000108","Peter J. Visclosky","IN","D","V000108","Energy and Water Development, and Related Agencies","Vice Chair","majority","2"
"C000059","Ken Calvert","CA","R","C000059","Energy and Water Development, and Related Agencies","member","minority","2"
"W000797","Debbie Wasserman Schultz","FL","D","W000797","Energy and Water Development, and Related Agencies","member","majority","3"
"F000459","Chuck Fleischmann","TN","R","F000459","Energy and Water Development, and Related Agencies","member","minority","3"
"K000368","Ann Kirkpatrick","AZ","D","K000368","Energy and Water Development, and Related Agencies","member","majority","4"
"N000189","Dan Newhouse","WA","R","N000189","Energy and Water Development, and Related Agencies","member","minority","4"
"K000381","Derek Kilmer","WA","D","K000381","Energy and Water Development, and Related Agencies","member","majority","5"
"P000607","Mark Pocan","WI","D","P000607","Energy and Water Development, and Related Agencies","member","majority","6"
"F000462","Lois Frankel","FL","D","F000462","Energy and Water Development, and Related Agencies","member","majority","7"
"Q000023","Mike Quigley","IL","D","Q000023","Financial Services and General Government","Chair","majority","1"
"S000248","José E. Serrano","NY","D","S000248","Financial Services and General Government","Vice Chair","majority","2"
"A000369","Mark Amodei","NV","R","A000369","Financial Services and General Government","member","minority","2"
"C001090","Matt Cartwright","PA","D","C001090","Financial Services and General Government","member","majority","3"
"S001192","Chris Stewart","UT","R","S001192","Financial Services and General Government","member","minority","3"
"B000490","Sanford D. Bishop Jr.","GA","D","B000490","Financial Services and General Government","member","majority","4"
"J000295","Dave Joyce","OH","R","J000295","Financial Services and General Government","member","minority","4"
"T000474","Norma Torres","CA","D","T000474","Financial Services and General Government","member","majority","5"
"C001111","Charlie Crist","FL","D","C001111","Financial Services and General Government","member","majority","6"
"K000368","Ann Kirkpatrick","AZ","D","K000368","Financial Services and General Government","member","majority","7"
"R000486","Lucille Roybal-Allard","CA","D","R000486","Homeland Security","Chair","majority","1"
"F000459","Chuck Fleischmann","TN","R","F000459","Homeland Security","Ranking Member","minority","1"
"C001063","Henry Cuellar","TX","D","C001063","Homeland Security","Vice Chair","majority","2"
"P000601","Steven Palazzo","MS","R","P000601","Homeland Security","member","minority","2"
"R000576","C.A. Dutch Ruppersberger","MD","D","R000576","Homeland Security","member","majority","3"
"N000189","Dan Newhouse","WA","R","N000189","Homeland Security","member","minority","3"
"P000523","David E. Price","NC","D","P000523","Homeland Security","member","majority","4"
"R000609","John Rutherford","FL","R","R000609","Homeland Security","member","minority","4"
"W000797","Debbie Wasserman Schultz","FL","D","W000797","Homeland Security","member","majority","5"
"M001188","Grace Meng","NY","D","M001188","Homeland Security","member","majority","6"
"A000371","Pete Aguilar","CA","D","A000371","Homeland Security","member","majority","7"
"M001143","Betty McCollum","MN","D","M001143","Interior, Environment, and Related Agencies","Chair","majority","1"
"J000295","Dave Joyce","OH","R","J000295","Interior, Environment, and Related Agencies","Ranking Member","minority","1"
"P000597","Chellie Pingree","ME","D","P000597","Interior, Environment, and Related Agencies","Vice Chair","majority","2"
"S001148","Mike Simpson","ID","R","S001148","Interior, Environment, and Related Agencies","member","minority","2"
"K000381","Derek Kilmer","WA","D","K000381","Interior, Environment, and Related Agencies","member","majority","3"
"S001192","Chris Stewart","UT","R","S001192","Interior, Environment, and Related Agencies","member","minority","3"
"S000248","José E. Serrano","NY","D","S000248","Interior, Environment, and Related Agencies","member","majority","4"
"A000369","Mark Amodei","NV","R","A000369","Interior, Environment, and Related Agencies","member","minority","4"
"Q000023","Mike Quigley","IL","D","Q000023","Interior, Environment, and Related Agencies","member","majority","5"
"W000822","Bonnie Watson Coleman","NJ","D","W000822","Interior, Environment, and Related Agencies","member","majority","6"
"L000581","Brenda Lawrence","MI","D","L000581","Interior, Environment, and Related Agencies","member","majority","7"
"D000216","Rosa DeLauro","CT","D","D000216","Labor, Health and Human Services, Education, and Related Agencies","Chair","majority","1"
"C001053","Tom Cole","OK","R","C001053","Labor, Health and Human Services, Education, and Related Agencies","Ranking Member","minority","1"
"R000486","Lucille Roybal-Allard","CA","D","R000486","Labor, Health and Human Services, Education, and Related Agencies","Vice Chair","majority","2"
"H001052","Andy Harris","MD","R","H001052","Labor, Health and Human Services, Education, and Related Agencies","member","minority","2"
"L000551","Barbara Lee","CA","D","L000551","Labor, Health and Human Services, Education, and Related Agencies","member","majority","3"
"H001056","Jaime Herrera Beutler","WA","R","H001056","Labor, Health and Human Services, Education, and Related Agencies","member","minority","3"
"P000607","Mark Pocan","WI","D","P000607","Labor, Health and Human Services, Education, and Related Agencies","member","majority","4"
"M001194","John Moolenaar","MI","R","M001194","Labor, Health and Human Services, Education, and Related Agencies","member","minority","4"
"C001101","Katherine Clark","MA","D","C001101","Labor, Health and Human Services, Education, and Related Agencies","member","majority","5"
"F000462","Lois Frankel","FL","D","F000462","Labor, Health and Human Services, Education, and Related Agencies","member","majority","6"
"B001286","Cheri Bustos","IL","D","B001286","Labor, Health and Human Services, Education, and Related Agencies","member","majority","7"
"W000822","Bonnie Watson Coleman","NJ","D","W000822","Labor, Health and Human Services, Education, and Related Agencies","member","majority","8"
"R000577","Tim Ryan","OH","D","R000577","Legislative Branch","Chair","majority","1"
"H001056","Jaime Herrera Beutler","WA","R","H001056","Legislative Branch","Ranking Member","minority","1"
"R000576","C.A. Dutch Ruppersberger","MD","D","R000576","Legislative Branch","Vice Chair","majority","2"
"N000189","Dan Newhouse","WA","R","N000189","Legislative Branch","member","minority","2"
"C001101","Katherine Clark","MA","D","C001101","Legislative Branch","member","majority","3"
"C001055","Ed Case","HI","D","C001055","Legislative Branch","member","majority","4"
"W000797","Debbie Wasserman Schultz","FL","D","W000797","Military Construction, Veterans Affairs, and Related Agencies","Chair","majority","1"
"C001051","John Carter","TX","R","C001051","Military Construction, Veterans Affairs, and Related Agencies","Ranking Member","minority","1"
"B000490","Sanford D. Bishop Jr.","GA","D","B000490","Military Construction, Veterans Affairs, and Related Agencies","Vice Chair","majority","2"
"R000591","Martha Roby","AL","R","R000591","Military Construction, Veterans Affairs, and Related Agencies","member","minority","2"
"C001055","Ed Case","HI","D","C001055","Military Construction, Veterans Affairs, and Related Agencies","member","majority","3"
"R000609","John Rutherford","FL","R","R000609","Military Construction, Veterans Affairs, and Related Agencies","member","minority","3"
"R000577","Tim Ryan","OH","D","R000577","Military Construction, Veterans Affairs, and Related Agencies","member","majority","4"
"H001073","Will Hurd","TX","R","H001073","Military Construction, Veterans Affairs, and Related Agencies","member","minority","4"
"P000597","Chellie Pingree","ME","D","P000597","Military Construction, Veterans Affairs, and Related Agencies","member","majority","5"
"C001090","Matt Cartwright","PA","D","C001090","Military Construction, Veterans Affairs, and Related Agencies","member","majority","6"
"B001286","Cheri Bustos","IL","D","B001286","Military Construction, Veterans Affairs, and Related Agencies","member","majority","7"
"L000480","Nita M. Lowey","NY","D","L000480","State, Foreign Operations, and Related Programs","Chair","majority","1"
"R000395","Harold Rogers","KY","R","R000395","State, Foreign Operations, and Related Programs","Ranking Member","minority","1"
"L000551","Barbara Lee","CA","D","L000551","State, Foreign Operations, and Related Programs","Vice Chair","majority","2"
"F000449","Jeff Fortenberry","NE","R","F000449","State, Foreign Operations, and Related Programs","member","minority","2"
"M001188","Grace Meng","NY","D","M001188","State, Foreign Operations, and Related Programs","member","majority","3"
"R000591","Martha Roby","AL","R","R000591","State, Foreign Operations, and Related Programs","member","minority","3"
"P000523","David E. Price","NC","D","P000523","State, Foreign Operations, and Related Programs","member","majority","4"
"F000462","Lois Frankel","FL","D","F000462","State, Foreign Operations, and Related Programs","member","majority","5"
"T000474","Norma Torres","CA","D","T000474","State, Foreign Operations, and Related Programs","member","majority","6"
"D000600","Mario Diaz-Balart","FL","R","D000600","Transportation, and Housing and Urban Development, and Related Agencies","Ranking Member","minority","1"
"P000523","David E. Price","NC","D","P000523","Transportation, and Housing and Urban Development, and Related Agencies","Chair","majority","1"
"W000809","Steve Womack","AR","R","W000809","Transportation, and Housing and Urban Development, and Related Agencies","member","minority","2"
"Q000023","Mike Quigley","IL","D","Q000023","Transportation, and Housing and Urban Development, and Related Agencies","Vice Chair","majority","2"
"R000609","John Rutherford","FL","R","R000609","Transportation, and Housing and Urban Development, and Related Agencies","member","minority","3"
"C001101","Katherine Clark","MA","D","C001101","Transportation, and Housing and Urban Development, and Related Agencies","member","majority","3"
"H001073","Will Hurd","TX","R","H001073","Transportation, and Housing and Urban Development, and Related Agencies","member","minority","4"
"W000822","Bonnie Watson Coleman","NJ","D","W000822","Transportation, and Housing and Urban Development, and Related Agencies","member","majority","4"
"L000581","Brenda Lawrence","MI","D","L000581","Transportation, and Housing and Urban Development, and Related Agencies","member","majority","5"
"T000474","Norma Torres","CA","D","T000474","Transportation, and Housing and Urban Development, and Related Agencies","member","majority","6"
"A000371","Pete Aguilar","CA","D","A000371","Transportation, and Housing and Urban Development, and Related Agencies","member","majority","7"
"H001053","Vicky Hartzler","MO","R","H001053","Tactical Air and Land Forces","Ranking Member","minority","1"
"N000188","Donald W. Norcross","NJ","D","N000188","Tactical Air and Land Forces","Chair","majority","1"
"L000559","Jim Langevin","RI","D","L000559","Tactical Air and Land Forces","member","majority","2"
"C001069","Joe Courtney","CT","D","C001069","Tactical Air and Land Forces","member","majority","3"
"G000578","Matt Gaetz","FL","R","G000578","Tactical Air and Land Forces","member","minority","3"
"G000574","Ruben Gallego","AZ","D","G000574","Tactical Air and Land Forces","member","majority","4"
"B001298","Don Bacon","NE","R","B001298","Tactical Air and Land Forces","member","minority","4"
"C001112","Salud Carbajal","CA","D","C001112","Tactical Air and Land Forces","member","majority","5"
"B001299","Jim Banks","IN","R","B001299","Tactical Air and Land Forces","member","minority","5"
"B001304","Anthony Brown","MD","D","B001304","Tactical Air and Land Forces","member","majority","6"
"V000132","Filemon Vela","TX","D","V000132","Tactical Air and Land Forces","member","majority","7"
"T000463","Michael R. Turner","OH","R","T000463","Tactical Air and Land Forces","member","minority","7"
"T000484","Xochitl Torres Small","NM","D","T000484","Tactical Air and Land Forces","Vice Chair","majority","8"
"L000564","Doug Lamborn","CO","R","L000564","Tactical Air and Land Forces","member","minority","8"
"S001207","Mikie Sherrill","NJ","D","S001207","Tactical Air and Land Forces","member","majority","9"
"W000804","Robert J. Wittman","VA","R","W000804","Tactical Air and Land Forces","member","minority","9"
"G000592","Jared Golden","ME","D","G000592","Tactical Air and Land Forces","member","majority","11"
"K000388","Trent Kelly","MS","R","K000388","Military Personnel","Ranking Member","minority","1"
"S001175","Jackie Speier","CA","D","S001175","Military Personnel","Chair","majority","1"
"D000598","Susan A. Davis","CA","D","D000598","Military Personnel","member","majority","2"
"A000374","Ralph Abraham","LA","R","A000374","Military Personnel","member","minority","2"
"G000574","Ruben Gallego","AZ","D","G000574","Military Personnel","member","majority","3"
"C001109","Liz Cheney","WY","R","C001109","Military Personnel","member","minority","3"
"C001123","Gilbert Cisneros","CA","D","C001123","Military Personnel","Vice Chair","majority","4"
"E000299","Veronica Escobar","TX","D","E000299","Military Personnel","member","majority","5"
"B001301","Jack Bergman","MI","R","B001301","Military Personnel","member","minority","5"
"H001080","Debra Haaland","NM","D","H001080","Military Personnel","member","majority","6"
"G000578","Matt Gaetz","FL","R","G000578","Military Personnel","member","minority","6"
"T000482","Lori Trahan","MA","D","T000482","Military Personnel","member","majority","7"
"L000591","Elaine Luria","VA","D","L000591","Military Personnel","member","majority","8"
"L000564","Doug Lamborn","CO","R","L000564","Readiness","Ranking Member","minority","1"
"G000559","John Garamendi","CA","D","G000559","Readiness","Chair","majority","1"
"G000571","Tulsi Gabbard","HI","D","G000571","Readiness","member","majority","2"
"S001189","Austin Scott","GA","R","S001189","Readiness","member","minority","2"
"K000394","Andy Kim","NJ","D","K000394","Readiness","Vice Chair","majority","3"
"W000795","Joe Wilson","SC","R","W000795","Readiness","member","minority","3"
"B001250","Rob Bishop","UT","R","B001250","Readiness","member","minority","4"
"H001083","Kendra Horn","OK","D","H001083","Readiness","member","majority","4"
"R000575","Mike D. Rogers","AL","R","R000575","Readiness","member","minority","5"
"H001085","Chrissy Houlahan","PA","D","H001085","Readiness","member","majority","5"
"B001274","Mo Brooks","AL","R","B001274","Readiness","member","minority","6"
"C001121","Jason Crow","CO","D","C001121","Readiness","member","majority","6"
"S001196","Elise Stefanik","NY","R","S001196","Readiness","member","minority","7"
"T000484","Xochitl Torres Small","NM","D","T000484","Readiness","member","majority","7"
"B001301","Jack Bergman","MI","R","B001301","Readiness","member","minority","8"
"S001208","Elissa Slotkin","MI","D","S001208","Readiness","member","majority","8"
"E000299","Veronica Escobar","TX","D","E000299","Readiness","member","majority","9"
"H001080","Debra Haaland","NM","D","H001080","Readiness","member","majority","10"
"W000804","Robert J. Wittman","VA","R","W000804","Seapower and Projection Forces","Ranking Member","minority","1"
"C001069","Joe Courtney","CT","D","C001069","Seapower and Projection Forces","Chair","majority","1"
"L000559","Jim Langevin","RI","D","L000559","Seapower and Projection Forces","member","majority","2"
"C001062","K. Michael Conaway","TX","R","C001062","Seapower and Projection Forces","member","minority","2"
"C000754","Jim Cooper","TN","D","C000754","Seapower and Projection Forces","member","majority","3"
"G000579","Mike Gallagher","WI","R","G000579","Seapower and Projection Forces","member","minority","3"
"N000188","Donald W. Norcross","NJ","D","N000188","Seapower and Projection Forces","member","majority","4"
"B001301","Jack Bergman","MI","R","B001301","Seapower and Projection Forces","member","minority","4"
"M001196","Seth Moulton","MA","D","M001196","Seapower and Projection Forces","member","majority","5"
"W000823","Michael Waltz","FL","R","W000823","Seapower and Projection Forces","member","minority","5"
"V000132","Filemon Vela","TX","D","V000132","Seapower and Projection Forces","member","majority","6"
"H001053","Vicky Hartzler","MO","R","H001053","Seapower and Projection Forces","member","minority","6"
"C001123","Gilbert Cisneros","CA","D","C001123","Seapower and Projection Forces","member","majority","7"
"S001207","Mikie Sherrill","NJ","D","S001207","Seapower and Projection Forces","member","majority","8"
"B001289","Bradley Byrne","AL","R","B001289","Seapower and Projection Forces","member","minority","8"
"K000388","Trent Kelly","MS","R","K000388","Seapower and Projection Forces","member","minority","9"
"G000592","Jared Golden","ME","D","G000592","Seapower and Projection Forces","member","majority","10"
"L000591","Elaine Luria","VA","D","L000591","Seapower and Projection Forces","Vice Chair","majority","11"
"T000463","Michael R. Turner","OH","R","T000463","Strategic Forces","Ranking Member","minority","1"
"C000754","Jim Cooper","TN","D","C000754","Strategic Forces","Chair","majority","1"
"D000598","Susan A. Davis","CA","D","D000598","Strategic Forces","member","majority","2"
"W000795","Joe Wilson","SC","R","W000795","Strategic Forces","member","minority","2"
"L000560","Rick Larsen","WA","D","L000560","Strategic Forces","member","majority","3"
"B001250","Rob Bishop","UT","R","B001250","Strategic Forces","member","minority","3"
"G000559","John Garamendi","CA","D","G000559","Strategic Forces","member","majority","4"
"R000575","Mike D. Rogers","AL","R","R000575","Strategic Forces","member","minority","4"
