number,chichewa,english
180,anabwera,come
372,wamba,common
956,kampani,company
812,yerekezerani,compare
333,amphumphu,complete
940,chikhalidwe,condition
859,kulumikiza,connect
728,tione,consider
667,consonant,consonant
428,ali,contain
1000,kontinenti,continent
950,kupitiriza,continue
649,kulamulira,control
719,wophika,cook
684,ozizira,cool
733,buku,copy
811,chimanga,corn
773,ngodya,corner
421,zolondola,correct
634,mtengo,cost
971,thonje,cotton
178,akanatha,could
513,kulengeseka,count
206,dziko,country
354,inde,course
215,chivundikiro,cover
579,ng’ombe,cow
698,crease,crease
805,kulenga,create
768,mbewu,crop
229,kuwoloka,cross
810,khamu,crowd
409,kulira,cry
847,panopa,current
267,wosemedwa,cut
868,bambo,dad
544,kuvina,dance
754,ngozi,danger
410,mdima,dark
177,tsiku,day
843,akufa,dead
960,anatani,deal
882,wokondedwa,dear
903,imfa,death
361,wosankha,decide
650,decimal,decimal
363,zozama,deep
879,digiri,degree
816,zimadalira,depend
718,pofotokoza,describe
845,chipululu,desert
685,kamangidwe,design
973,kudziwa,determine
437,kukulitsa,develop
669,dikishonale,dictionary
181,anachitira,did
609,afe,die
138,amasiyana,differ
763,yovuta,difficult
319,mwachindunji,direct
921,kukambirana,discuss
395,lakutali,distant
532,kugawaniza,divide
855,kugawanikana,division
41,kuchita,do
764,dokotala,doctor
51,amachita,does
317,galu,dog
921,dola,dollar
424,chinachitidwa,done
242,osa,don’t
324,chitseko,door
948,pawiri,double
196,pansi,down
238,kudzatunga,draw
938,ndimalota,dream
677,kavalidwe,dress
885,kumwa,drink
426,pagalimoto,drive
539,akuponya,drop
377,youma,dry
876,bakha,duck
456,pamene,during
49,aliyense,each
651,khutu,ear
461,oyambirira,early
99,lapansi,earth
284,kuchepetsa,ease
397,kum’mawa,east
255,kudya,eat
581,m’mphepete,edge
789,kwenikweni,effect
506,dzira,egg
702,eyiti,eight
721,kaya,either
790,magetsi,electric
770,amafotokozera,element
652,china,else
60,tsiriza,end
883,mdani,enemy
501,mphamvu,energy
545,injini,engine
301,zokwanira,enough
834,kulowa,enter
639,ofanana,equal
386,amaganiza kuti kukhala,equate
915,makamaka,especially
69,ngakhale,even
939,madzulo,evening
958,chochitika,event
308,munayamba,ever
120,lirilonse,every
607,yeniyeni,exact
283,mwachitsanzo,example
613,kupatula,except
747,chimwemwe,excite
563,olimbitsa,exercise
791,kuyembekezera,expect
925,zinachitikira,experience
688,kuyesera,experiment
222,diso,eye
271,nkhope,face
449,ndipotu,fact
645,mosakondera,fair
407,kugwera,fall
318,banja,family
820,wotchuka,famous
236,mpaka,far
230,famu,farm
467,zolimba,fast
863,mafuta,fat
100,bambo,father
858,mtima,favor
823,mantha,fear
941,chakudya,feed
312,ndikumverera,feel
298,mapazi,feet
642,anagwa,fell
534,anamva,felt
249,zochepa,few
419,kumunda,field
916,chith,fig
744,nkhondo,fight
415,chithunzi,figure
396,mudzaze,fill
432,chomaliza,final
200,kupeza,find
404,zabwino,fine
741,chala,finger
593,mapeto,finish
339,moto,fire
193,yoyamba,first
260,nsomba,fish
643,agwirizane,fit
458,zisanu,five
694,lathyathyathya,flat
720,pansi,floor
644,ikuyenda,flow
596,duwa,flower
406,kuuluka,fly
76,kutsatira,follow
216,chakudya,food
366,phazi,foot
7,chifukwa,for
358,mphamvu,force
552,m’nkhalango,forest
130,mawonekedwe,form
922,mwachidwi,forward
207,anapeza,found
218,zinayi,four
551,kachigawo,fraction
440,mfulu,free
836,mwatsopano,fresh
257,bwenzi,friend
17,kuchokera,from
429,kutsogolo,front
755,zipatso,fruit
357,zonse,full
586,osangalatsa,fun
384,masewera,game
638,m’munda,garden
588,gasi,gas
980,kusonkhanitsa,gather
433,anapatsa,gave
526,ambiri,general
798,wodekha,gentle
106,kupeza,get
303,mtsikana,girl
123,kupereka,give
864,wokondwa,glad
577,galasi,glass
179,kupita,go
373,golide,gold
599,atapita,gone
121,uthenga,good
281,tiri,got
496,kudzilamulira,govern
535,chachikulu,grand
578,udzu,grass
990,imvi,gray
132,kwakukulu,great
434,wobiriwira,green
629,anakulira,grew
464,nthaka,ground
286,gulu,group
210,kukula,grow
801,ndikulingalira,guess
924,kutsogolera,guide
840,mfuti,gun
28,anali,had
717,tsitsi,hair
336,hafu,half
64,dzanja,hand
332,kuchitika,happen
594,okondwa,happy
231,zolimba,hard
174,ali,has
953,chipewa,hat
15,ndi,have
5,iye,he
201,mutu,head
265,akumva,hear
451,anamva,heard
540,mtima,heart
390,kutentha,heat
543,lolemera,heavy
716,anazika,held
135,thandizeni,help
167,iye,her
71,pano,here
74,mkulu,high
724,phiri,hill
172,iye,him
3,wake,his
788,m’mbiri,history
771,anagunda,hit
462,gwirani,hold
699,bowo,hole
62,kunyumba,home
595,ndikuyembekeza,hope
266,kavalo,horse
19,wotentha,hot
387,wotentha,hot
453,ora,hour
87,m’nyumba,house
46,bwanji,how
918,yaikulu,huge
787,anthu,human
457,mazana,hundred
502,kukasaka,hunt
828,kufulumira,hurry
2,ine,i
527,ayezi,ice
259,lingaliro,idea
44,ngati,if
794,yerekezani,imagine
34,mu,in
351,inchi,inch
531,monga,include
783,amasonyeza,indicate
742,makampani,industry
780,tizilombo,insect
877,n’kamodzi,instant
575,chida,instrument
465,chidwi,interest
970,kuyambitsa,invent
691,chitsulo,iron
24,ndi,is
365,chilumba,island
25,izo,it
580,ntchito,job
617,kujowina,join
570,chimwemwe,joy
700,kudumpha,jump
129,basi,just
221,kusunga,keep
576,anapitiriza,kept
690,chinsinsi,key
657,kupha,kill
84,mtundu,kind
349,mfumu,king
344,ankadziwa,knew
189,ndikudziwa,know
621,dona,lady
659,nyanza,lake
70,dziko,land
399,chinenero,language
66,yaikulu,large
224,otsiriza,last
240,mochedwa,late
379,kuseka,laugh
730,lamulo,law
482,anagona,lay
408,atsogolere,lead
213,kuphunzira,learn
610,osachepera,least
321,kusiya,leave
929,led,led
239,anasiya,left
562,mwendo,leg
516,patapita,length
474,zochepa,less
225,tiyeni,let
293,kalata,letter
978,mlingo,level
745,bodza,lie
248,moyo,life
848,nyamulani,lift
83,kuunika,light
164,monga,like
137,mzere,line
894,zamadzimadzi,liquid
310,mndandanda,list
470,kumvetsera,listen
113,wamng’ono,little
109,moyo,live
777,kupeza,locate
895,fufuzani,log
561,bakuman,lone
168,yaitali,long
175,kuyang’ana,look
635,anataya,lost
687,maere,lot
662,mokweza,loud
487,kukonda,love
136,otsika,low
411,makina,machine
108,anapanga,made
909,maginito,magnet
273,chachikulu,main
835,zikuluzikulu,major
169,kupanga,make
116,munthu,man
159,ambiri,many
493,mapu,map
291,chilemba,mark
878,msika,market
932,misa,mass
851,mbuye,master
913,machesi,match
550,zakuthupi,material
528,nkhaniyi,matter
195,mulole,may
122,ine,me
142,ndikutanthauza,mean
896,zinatanthauza,meant
323,kuyeza,measure
817,nyama,meat
704,kudzakhalire,meet
601,nyimbo,melody
80,anthu,men
709,chitsulo,metal
672,njira,method
656,pakati,middle
233,akhoza,might
295,mtunda,mile
670,mkaka,milk
591,miliyoni,million
444,maganizo,mind
832,wanga,mine
441,miniti,minute
388,abiti,miss
631,kusakaniza,mix
769,amakono,modern
987,molekyulu,molecule
660,mphindi,moment
489,ndalama,money
590,mwezi,month
364,mwezi,moon
176,zambiri,more
475,m’mawa,morning
185,kwambiri,most
94,mayi,mother
892,zoyenda,motion
566,phiri,mount
261,phiri,mountain
606,mkamwa,mouth
144,kusuntha,move
141,mochuluka,much
352,kuchulukitsa,multiply
288,nyimbo,music
72,ayenela,must
187,wanga,my
126,dzina,name
668,mtundu,nation
748,zachilengedwe,natural
889,chikhalidwe,nature
96,pafupi,near
802,kofunika,necessary
900,khosi,neck
86,amafunika,need
806,mnansi,neighbor
223,konse,never
102,watsopano,new
277,ena,next
246,usiku,night
975,naini,nine
184,palibe,no
977,phokoso,noise
767,masana,noon
947,kapena,nor
250,kumpoto,north
996,mphuno,nose
412,zindikirani,note
353,kanthu,nothing
499,zindikirani,notice
418,omwe,noun
199,tsopano,now
182,chiwerengero,number
328,numeral,numeral
360,chinthu,object
664,kusunga,observe
886,zimachitika,occur
438,nyanja,ocean
30,a,of
85,kuchokera,off
873,kupereka,offer
603,ofesi,office
292,nthawi zambiri,often
435,o,oh
626,mafuta,oil
147,wakale,old
8,pa,on
263,kamodzi,once
14,mmodzi,one
114,yokha,only
274,lotseguka,open
760,umagwira,operate
963,si,opposite
27,kapena,or
338,pofuna,order
673,limba,organ
865,choyambirira,original
38,ena,other
124,yathu,our
37,kuchokera,out
188,zoposa,over
203,mwini,own
901,mpweya,oxygen
204,tsamba,page
398,kujambula,paint
530,peyala,pair
285,pepala,paper
713,ndime,paragraph
853,kholo,parent
104,gawo,part
959,makamaka,particular
774,chipani,party
345,pochitika,pass
584,m’mbuyomu,past
893,mayendedwe,path
484,chitsanzo,pattern
674,kulipira,pay
186,anthu,people
510,mwina,perhaps
782,nyengo,period
488,munthu,person
734,mawu,phrase
511,kukatenga,pick
88,chithunzi,picture
342,chidutswa,piece
930,phula,pitch
107,malo,place
302,momveka,plain
414,ndondomeko,plan
375,ndege,plane
827,dzikoli,planet
214,chomera,plant
58,kusewera,play
765,chonde,please
997,mochulukitsa,plural
813,ndakatulo,poem
93,mfundo,point
686,wosauka,poor
880,azikakhala,populate
65,doko,port
320,angabweretse,pose
546,udindo,position
374,n’kotheka,possible
860,positi,post
423,mapaundi,pound
402,mphamvu,power
761,mchitidwe,practice
994,kukonzekera,prepare
542,panopa,present
244,osindikizira,press
904,wokongola,pretty
842,kusindikiza,print
503,nkosatheka,probable
341,vuto,problem
759,ndondomeko,process
448,panga,produce
325,chotuluka,product
871,yoyenera,proper
985,katundu,property
766,kuteteza,protect
560,kutsimikizira,prove
795,kupereka,provide
497,kokani,pull
711,kankhani,push
61,kuika,put
974,kilogalamu imodzi,quart
331,funso,question
436,mwamsanga,quick
680,chete,quiet
653,ndithu,quite
897,quotient,quotient
554,mtundu,race
784,wailesi,radio
793,njanji,rail
494,mvula,rain
707,kwezani,raise
382,anathamangira,ran
890,osiyanasiyana,range
809,m’malo,rather
466,kufikira,reach
63,kuwerenga,read
306,wokonzeka,ready
247,kwenikweni,real
515,chifukwa,reason
604,alandire,receive
370,mbiri,record
309,wofiira,red
520,m’chigawo,region
459,kumbukirani,remember
991,kubwereza,repeat
884,anayankha,reply
517,akuimira,represent
992,amafunika,require
420,mpumulo,rest
722,chifukwa,result
756,wachuma,rich
507,kukwera,ride
145,pomwe,right
778,mphete,ring
623,adzauka,rise
296,mtsinjewo,river
492,msewu,road
337,thanthwe,rock
739,mpukutu,roll
256,chipinda,room
705,muzu,root
935,chingwe,rope
840,ananyamuka,rose
115,wozungulira,round
605,mzere,row
818,pakani,rub
495,ulamuliro,rule
241,amathamanga,run
725,otetezeka,safe
47,anati,said
549,matanga,sail
995,mchere,salt
149,yemweyo,same
737,mchenga,sand
572,anakhala,sat
648,kupulumutsa,save
235,macheka,saw
134,mukuti,say
661,sikelo,scale
209,sukulu,school
254,sayansi,science
926,chogoli,score
237,panyanja,sea
837,kufufuza,search
907,nyengo,season
949,mpando,seat
300,yachiwiri,second
676,gawo,section
171,onani,see
615,mbewu,seed
275,amaoneka,seem
874,gawo,segment
988,sankhani,select
98,kudziona,self
954,kugulitsa,sell
838,kutumiza,send
750,m’lingaliro,sense
640,anatumiza,sent
131,chiganizo,sentence
762,osiyana,separate
490,kutumikira,serve
52,anasiyira,set
523,kuthetsa,settle
712,zisanu ndi ziwiri,seven
478,angapo,several
715,mudzazichita,shall
385,mawonekedwe,shape
866,gawo,share
803,lakuthwa,sharp
150,iye,she
856,chikalata,sheet
899,chigoba,shell
984,kwanu,shine
334,sitima,ship
965,nsapato,shoe
981,shopu,shop
854,gombe,shore
327,yochepa,short
205,tiyenera,should
966,phewa,shoulder
612,mfuu,shout
119,bwanji,show
197,mbali,side
284,pamaso,sight
582,chizindikiro,sign
735,chete,silent
910,siliva,silver
923,ofanana,similar
477,yosavuta,simple
346,popeza,since
469,kuimba,sing
692,wosakwatiwa,single
919,mlongo,sister
553,akhale,sit
471,sikisi,six
521,kukula,size
905,luso,skill
696,khungu,skin
568,mlengalenga,sky
875,kapolo,slave
559,tulo,sleep
936,pepala,slip
485,wosakwiya,slow
59,waung’ono,small
945,kununkhiza,smell
697,kumwetulira,smile
391,chisanu,snow
165,kotero,so
585,zofewa,soft
738,nthaka,soil
758,msilikali,soldier
908,yothetsera,solution
708,kuthetsa,solve
23,ena,some
658,mwana,son
322,nyimbo,song
315,posachedwapa,soon
183,kumveka,sound
340,kum’mwera,south
450,danga,space
524,kulankhula,speak
443,wapadera,special
888,zolankhula,speech
671,liwiro,speed
67,kuziwerenga,spell
861,amawononga,spend
785,analankhula,spoke
844,banga,spot
967,inafikira,spread
663,masika,spring
514,lalikulu,square
202,kuyima,stand
416,nyenyezi,star
232,chiyambi,start
220,mkhalidwe,state
867,siteshoni,station
355,khalani,stay
376,mmalo,stead
891,nthunzi,steam
920,chitsulo,steel
460,sitepe,step
693,ndodo,stick
212,adakali,still
681,mwala,stone
427,anayima,stood
262,imani,stop
556,sitolo,store
234,nkhani,story
666,molunjika,straight
598,zachilendo,strange
822,mtsinje,stream
350,msewu,street
982,tambasula,stretch
814,chingwe,string
442,wamphamvu,strong
772,wophunzira,student
211,kuphunzira,study
519,phunziro,subject
857,thunthu,substance
957,kuchotsera,subtract
955,kupambana,success
75,oterowo,such
512,mwadzidzidzi,sudden
914,suffix,suffix
902,shuga,sugar
618,akusonyeza,suggest
846,suti,suit
557,chilimwe,summer
217,dzuwa,sun
775,thanidizo,supply
887,thandizo,support
268,wotsimikiza,sure
362,pamwamba,surface
679,ndinadabwa,surprise
961,kusambira,swim
533,syllable,syllable
608,chizindikiro,symbol
367,dongosolo,system
472,gome,table
447,mchira,tail
105,kutenga,take
313,nkhani,talk
736,wamtali,tall
430,kuphunzitsa,teach
632,timu,team
898,mano,teeth
50,ndikuuzeni,tell
740,kutentha,temperature
476,khumi,ten
962,akuti,term
369,chiyeso,test
191,kuposa,than
911,tikukuthokozani,thank
4,kuti,that
29,ndi,the
42,awo,their
161,iwo,them
160,ndiyeno,then
152,apo,there
166,awa,these
11,iwo,they
757,wandiweyani,thick
825,woonda,thin
170,chinthu,thing
133,ndikuganiza,think
714,lachitatu,third
16,izi,this
289,anthu,those
311,komabe,though
226,ndinaganiza,thought
380,zikwi,thousand
53,zitatu,three
128,kudzera,through
983,kuponyera,throw
797,motero,thus
833,chimango,tie
43,nthawi,time
682,ting’onoting’ono,tiny
392,tayala,tire
31,kuti,to
276,pamodzi,together
343,anauza,told
616,kamvekedwe,tone
148,ifenso,too
253,anatenga,took
942,chida,tool
347,pamwamba,top
943,okwana,total
628,kukhudza,touch
480,kwa,toward
403,m’tauni,town
852,zikuyenda,track
600,malonda,trade
558,sitima,train
473,ulendo,travel
228,mtengo,tree
826,makona,triangle
602,ulendo,trip
611,vuto,trouble
976,m’galimoto,truck
455,oona,true
89,kuyesa,try
819,chubu,tube
139,ndiyeno,turn
695,twente,twenty
173,awiri,two
729,choyimira,type
125,pansi,under
401,unit,unit
294,kufikira,until
154,pamwamba,up
90,ife,us
155,ntchito,use
304,mwachizolowezi,usual
946,chigwa,valley
743,phindu,value
522,zosiyanasiyana,vary
468,mneni,verb
127,kwambiri,very
749,amaonera,view
703,mudzi,village
583,ulendo,visit
500,mawu,voice
479,zilembo za mawu,vowel
413,dikirani,wait
282,kuyenda,walk
564,khoma,wall
54,tikufuna,want
481,nkhondo,war
439,ofunda,warm
6,anali,was
807,wosambitsa,wash
269,penyani,watch
190,madzi,water
538,yoweyula,wave
157,njira,way
35,ife,we
637,azivala,wear
589,pogoda,weather
431,mlungu,week
525,kulemera,weight
56,bwino,well
82,anapita,went
39,anali,were
463,kumadzulo,west
22,chani,what
356,gudumu,wheel
153,liti,when
110,pamene,where
710,kaya,whether
40,umene,which
243,pamene,while
278,yoyera,white
194,amene,who
348,lonse,whole
776,amene,whose
78,chifukwa,why
548,lonse,wide
964,mkazi,wife
574,zakutchire,wild
45,adzatero,will
937,nkhata,win
330,mphepo,wind
555,zenera,window
804,phiko,wing
571,zima,winter
633,waya,wire
567,ndikukhumba,wish
10,ndi,with
799,mkazi,woman
906,akazi,women
378,ndikudabwa,wonder
752,sadzatero,won’t
272,mitengo,wood
20,mawu,word
103,ntchito,work
95,dziko,world
163,akanatero,would
162,kulemba,write
573,olembedwa,written
989,cholakwika,wrong
614,analemba,wrote
622,bwalo,yard
117,chaka,year
839,chikasu,yellow
394,inde,yes
537,komabe,yet
26,inu,you
305,mnyamata,young
156,anu,your
