number,maltese,english
461,kmieni,early
99,earth,earth
284,faċilità,ease
397,lvant,east
255,jieklu,eat
581,tarf,edge
789,effett,effect
506,bajd,egg
702,tmienja,eight
721,jew,either
790,elettriku,electric
770,element,element
652,inkella,else
60,aħħar,end
883,ghadu,enemy
501,enerġija,energy
545,magna,engine
301,biżżejjed,enough
834,jidħol,enter
639,ugwali,equal
386,qabblet,equate
915,speċjalment,especially
69,anke,even
939,filgħaxija,evening
958,avveniment,event
308,qatt,ever
120,kull,every
607,eżatt,exact
283,eżempju,example
613,ħlief,except
747,eċitati,excite
563,eżerċizzju,exercise
791,jistennew,expect
925,esperjenza,experience
688,esperiment,experiment
222,għajn,eye
271,wiċċ,face
449,fatt,fact
645,ġust,fair
407,jaqgħu,fall
318,familja,family
820,famuż,famous
236,ferm,far
230,farm,farm
467,fast,fast
863,xaħam,fat
100,missier,father
858,favur,favor
823,biża,fear
941,għalf,feed
312,jħossu,feel
298,saqajn,feet
642,waqgħet,fell
534,ħass,felt
249,ftit,few
419,qasam,field
916,fig,fig
744,ġlieda,fight
415,figura,figure
396,imla,fill
432,finali,final
200,isibu,find
404,multa,fine
741,finger,finger
593,finitura,finish
339,nar,fire
193,ewwel,first
260,ħut,fish
643,tajbin,fit
458,ħamsa,five
694,ċatt,flat
720,art,floor
644,fluss,flow
596,fjura,flower
406,fly,fly
76,isegwu,follow
216,ikel,food
366,sieq,foot
7,għal,for
358,forza,force
552,foresta,forest
130,forma,form
922,quddiem,forward
207,misjuba,found
218,erbgħa,four
551,frazzjoni,fraction
440,ħielsa,free
836,frisk,fresh
257,ħabib,friend
17,minn,from
429,quddiem,front
755,frott,fruit
357,sħiħa,full
586,gost,fun
384,logħba,game
638,ġnien,garden
588,gass,gas
980,jiġbru,gather
433,taw,gave
526,ġenerali,general
798,ġentili,gentle
106,jiksbu,get
303,girl,girl
123,jagħtu,give
864,ferħan,glad
577,ħġieġ,glass
179,go,go
373,deheb,gold
599,marret,gone
121,tajba,good
281,ltqajna,got
496,jirregolaw,govern
535,grand,grand
578,ħaxix,grass
990,griż,gray
132,kbira,great
434,aħdar,green
629,kiber,grew
464,art,ground
286,grupp,group
210,jikbru,grow
801,raden,guess
924,gwida,guide
840,gun,gun
28,kellhom,had
717,xagħar,hair
336,nofs,half
64,idejn,hand
332,jiġri,happen
594,kuntenti,happy
231,diffiċli,hard
174,għandha,has
953,kpiepel,hat
15,jkollhom,have
5,hu,he
201,ras,head
265,tisma,hear
451,jinstemgħu,heard
540,qalb,heart
390,sħana,heat
543,tqil,heavy
716,miżmuma,held
135,jgħinu,help
167,tagħha,her
71,hawn,here
74,għolja,high
724,hill,hill
172,lilu,him
3,tiegħu,his
788,istorja,history
771,hit,hit
462,istiva,hold
699,toqba,hole
62,domiċilju,home
595,tama,hope
266,żiemel,horse
19,sħun,hot
387,sħun,hot
453,siegħa,hour
87,house,house
46,kif,how
918,enormi,huge
787,bniedem,human
457,mitt,hundred
502,kaċċa,hunt
828,hurry,hurry
2,i,i
527,silġ,ice
259,idea,idea
44,jekk,if
794,jimmaġina,imagine
34,fil,in
351,pulzier,inch
531,jinkludu,include
783,jindikaw,indicate
742,industrija,industry
780,insetti,insect
877,instant,instant
575,istrument,instrument
465,interess,interest
970,nivvintaw,invent
691,ħadid,iron
24,huwa,is
365,gżira,island
25,dan,it
580,xogħol,job
617,jissieħbu,join
570,ferħ,joy
700,jaqbżu,jump
129,biss,just
221,iżommu,keep
576,miżmuma,kept
690,ċavetta,key
657,joqtlu,kill
84,tip,kind
349,king,king
344,kien jaf,knew
189,taf,know
621,mara,lady
659,lag,lake
70,art,land
399,lingwa,language
66,kbir,large
224,aħħar,last
240,tard,late
379,tidħaq,laugh
730,liġi,law
482,jistabbilixxu,lay
408,ċomb,lead
213,jitgħallmu,learn
610,inqas,least
321,tħalli,leave
929,wassal,led
239,xellug,left
562,riġel,leg
516,tul,length
474,inqas,less
225,let,let
293,ittra,letter
978,livell,level
745,jimteddu,lie
248,ħajja,life
848,lift,lift
83,dawl,light
164,bħal,like
137,line,line
894,likwidu,liquid
310,lista,list
470,jisimgħu,listen
113,ftit,little
109,jgħixu,live
777,lokalizzar,locate
895,log,log
561,isolati,lone
168,twil,long
175,ħarsa,look
635,mitlufa,lost
687,lott,lot
662,qawwi,loud
487,imħabba,love
136,baxxa,low
411,magna,machine
108,magħmula,made
909,kalamita,magnet
273,prinċipali,main
835,maġġuri,major
169,jagħmlu,make
116,bniedem,man
159,ħafna,many
493,mappa,map
291,marka,mark
878,suq,market
932,massa,mass
851,kaptan,master
913,logħba,match
550,materjal,material
528,kwistjoni,matter
195,jista,may
122,me,me
142,jfissru,mean
896,fisser,meant
323,ikejlu,measure
817,laħam,meat
704,jissodisfaw,meet
601,melodija,melody
80,irġiel,men
709,metall,metal
672,metodu,method
656,nofs,middle
233,jista,might
295,mile,mile
670,ħalib,milk
591,miljun,million
444,mind,mind
832,minjiera,mine
441,minuta,minute
388,jitilfu,miss
631,taħlita,mix
769,modern,modern
987,molekula,molecule
660,mument,moment
489,flus,money
590,xahar,month
364,qamar,moon
176,aktar,more
475,filgħodu,morning
185,aktar,most
94,omm,mother
892,mozzjoni,motion
566,impunjazzjoni,mount
261,muntanji,mountain
606,ħalq,mouth
144,mossa,move
141,ħafna,much
352,immoltiplika,multiply
288,mużika,music
72,għandhom,must
187,tiegħi,my
126,isem,name
668,nazzjon,nation
748,naturali,natural
889,natura,nature
96,qrib,near
802,meħtieġ,necessary
900,għonq,neck
86,bżonn,need
806,proxxmu,neighbor
223,qatt,never
102,ġdida,new
277,li jmiss,next
246,lejl,night
975,disa,nine
184,ebda,no
977,istorbju,noise
767,nofsinhar,noon
947,lanqas,nor
250,tramuntana,north
996,imnieħer,nose
412,nota,note
353,xejn,nothing
499,avviż,notice
418,nom,noun
199,issa,now
182,numru,number
328,numerali,numeral
360,oġġett,object
664,josservaw,observe
886,jseħħu,occur
438,oċean,ocean
30,tal,of
85,barra,off
873,offerta,offer
603,uffiċċju,office
292,spiss,often
435,oh,oh
626,żejt,oil
147,qodma,old
8,fuq,on
263,ladarba,once
14,wieħed,one
114,biss,only
274,miftuħa,open
760,joperaw,operate
963,oppost,opposite
27,jew,or
338,ordni,order
673,organu,organ
865,oriġinali,original
38,oħra,other
124,tagħna,our
37,out,out
188,fuq,over
203,stess,own
901,ossiġnu,oxygen
204,paġna,page
398,żebgħa,paint
530,par,pair
285,karta,paper
713,paragrafu,paragraph
853,ġenitur,parent
104,parti,part
959,partikolari,particular
774,parti,party
345,jgħaddu,pass
584,passat,past
893,triq,path
484,mudell,pattern
674,tħallas,pay
186,nies,people
510,forsi,perhaps
782,perjodu,period
488,persuna,person
734,frażi,phrase
511,pick,pick
88,stampa,picture
342,biċċa,piece
930,żift,pitch
107,post,place
302,plain,plain
414,pjan,plan
375,pjan,plane
827,pjaneta,planet
214,impjant,plant
58,play,play
765,jekk jogħġbok,please
997,plurali,plural
813,poeżija,poem
93,punt,point
686,foqra,poor
880,timla,populate
65,port,port
320,joħolqu,pose
546,pożizzjoni,position
374,possibbli,possible
860,wara,post
423,lira,pound
402,qawwa,power
761,prattika,practice
994,jippreparaw,prepare
542,preżenti,present
244,istampa,press
904,pretty,pretty
842,istampar,print
503,probabbli,probable
341,problema,problem
759,proċess,process
448,jipproduċu,produce
325,prodott,product
871,xierqa,proper
985,proprjetà,property
766,jipproteġu,protect
560,jipprova,prove
795,jipprovdu,provide
497,iġbed,pull
711,timbotta,push
61,tpoġġi,put
974,quart,quart
331,kwistjoni,question
436,malajr,quick
680,kwieta,quiet
653,pjuttost,quite
897,kwozjent,quotient
554,razza,race
784,radju,radio
793,ferrovija,rail
494,xita,rain
707,jgħollu,raise
382,dam,ran
890,firxa,range
809,pjuttost,rather
466,jilħqu,reach
63,aqra,read
306,lest,ready
247,reali,real
515,raġuni,reason
604,jirċievu,receive
370,rekord,record
309,aħmar,red
520,reġjun,region
459,ftakar,remember
991,irrepeti,repeat
884,risposta,reply
517,jirrappreżentaw,represent
992,jeħtieġu,require
420,bqija,rest
722,riżultat,result
756,sinjuri,rich
507,rikba,ride
145,dritt,right
778,ring,ring
623,lok,rise
296,xmara,river
492,triq,road
337,blat,rock
739,romblu,roll
256,kamra,room
705,għerq,root
935,ħabel,rope
840,tela,rose
115,rawnd,round
605,ringiela,row
818,togħrokx,rub
495,regola,rule
241,medda,run
725,sikur,safe
47,qal,said
549,qlugħ,sail
995,melħ,salt
149,istess,same
737,ramel,sand
572,sib,sat
648,jiffranka,save
235,serrieq,saw
134,jgħidu,say
661,iskala,scale
209,iskola,school
254,xjenza,science
926,f’ħin,score
237,baħar,sea
837,tfittxija,search
907,istaġun,season
949,sedil,seat
300,tieni,second
676,taqsima,section
171,tara,see
615,żerriegħa,seed
275,jidhru,seem
874,segment,segment
988,tagħżel,select
98,awto,self
954,jbiegħu,sell
838,tibgħat,send
750,sens,sense
640,mibgħuta,sent
131,sentenza,sentence
762,separata,separate
490,jservu,serve
52,sett,set
523,joqgħod,settle
712,seba,seven
478,diversi,several
715,għandhom,shall
385,forma,shape
866,sehem,share
803,sharp,sharp
150,hi,she
856,folja,sheet
899,qoxra,shell
984,shine,shine
334,vapur,ship
965,żarbun,shoe
981,shop,shop
854,shore,shore
327,qasir,short
205,għandhom,should
966,ispalla,shoulder
612,shout,shout
119,juru,show
197,ġenb,side
284,vista,sight
582,sinjal,sign
735,siekta,silent
910,fidda,silver
923,simili,similar
477,sempliċi,simple
346,peress,since
469,nijet,sing
692,wieħed,single
919,sister,sister
553,ipoġġu,sit
471,sitta,six
521,daqs,size
905,ħiliet,skill
696,ġilda,skin
568,sema,sky
875,slave,slave
559,irqad,sleep
936,slip,slip
485,bil-mod,slow
59,żgħir,small
945,riħa,smell
697,daħka,smile
391,borra,snow
165,hekk,so
585,soft,soft
738,ħamrija,soil
758,suldat,soldier
908,soluzzjoni,solution
708,isolvu,solve
23,xi,some
658,iben,son
322,kanzunetta,song
315,dalwaqt,soon
183,ħoss,sound
340,nofsinhar,south
450,ispazju,space
524,jitkellmu,speak
443,speċjali,special
888,diskors,speech
671,veloċità,speed
67,jespliċitaw,spell
861,jonfqu,spend
785,tkellem,spoke
844,post,spot
967,tixrid,spread
663,rebbiegħa,spring
514,kwadru,square
202,toqgħod,stand
416,stilla,star
232,bidu,start
220,istat,state
867,istazzjon,station
355,waqfa,stay
376,minfloku,stead
891,fwar,steam
920,azzar,steel
460,pass,step
693,stick,stick
212,xorta,still
681,ġebel,stone
427,kien,stood
262,tieqaf,stop
556,maħżen,store
234,istorja,story
666,dritta,straight
598,stramba,strange
822,nixxiegħa,stream
350,toroq,street
982,stretch,stretch
814,sekwenza,string
442,qawwija,strong
772,istudent,student
211,studju,study
519,suġġett,subject
857,sustanza,substance
957,naqqas,subtract
955,suċċess,success
75,bħal,such
512,f’daqqa,sudden
914,suffiss,suffix
902,zokkor,sugar
618,jissuġġerixxu,suggest
846,libsa,suit
557,sajf,summer
217,xemx,sun
775,provvista,supply
887,appoġġ,support
268,żgur,sure
362,wiċċ,surface
679,sorpriża,surprise
961,jgħum,swim
533,sillaba,syllable
608,simbolu,symbol
367,sistema,system
472,tabella,table
447,denb,tail
105,tieħu,take
313,talk,talk
736,tall,tall
430,jgħallmu,teach
632,tim,team
898,snien,teeth
50,tell,tell
740,temperatura,temperature
476,għaxar,ten
962,tul,term
369,tal,test
191,minn,than
911,nirringrazzja,thank
4,li,that
29,l-,the
42,tagħhom,their
161,minnhom,them
160,imbagħad,then
152,hemm,there
166,dawn,these
11,huma,they
757,ħoxna,thick
825,irqiq,thin
170,ħaġa,thing
133,jaħsbu,think
714,tielet,third
16,dan,this
289,dawk,those
311,għalkemm,though
226,ħasbu,thought
380,elf,thousand
53,tlieta,three
128,permezz,through
983,tarmi,throw
797,b’hekk,thus
833,tie,tie
43,ħin,time
682,ċkejkna,tiny
392,tajer,tire
31,li,to
276,flimkien,together
343,told,told
616,tone,tone
148,wisq,too
253,ħa,took
942,għodda,tool
347,top,top
943,total,total
628,tmissx,touch
480,lejn,toward
403,belt,town
852,binarju,track
600,kummerċ,trade
558,ferrovija,train
473,ivvjaġġar,travel
228,siġra,tree
826,trijanglu,triangle
602,vjaġġ,trip
611,trouble,trouble
976,trakk,truck
455,veru,true
89,jippruvaw,try
819,tubu,tube
139,dawran,turn
695,għoxrin,twenty
173,tnejn,two
729,tip,type
125,taħt,under
401,unità,unit
294,sakemm,until
154,up,up
90,us,us
155,użu,use
304,soltu,usual
946,wied,valley
743,valur,value
522,jvarjaw,vary
468,li,verb
127,ħafna,very
749,fehma,view
703,raħal,village
583,żjara,visit
500,vuċi,voice
479,vokali,vowel
413,stenna,wait
282,jimxu,walk
564,ħajt,wall
54,trid,want
481,gwerra,war
439,sħun,warm
6,kien,was
807,aħsel,wash
269,watch,watch
190,ilma,water
538,mewġa,wave
157,mod,way
35,aħna,we
637,jilbsu,wear
589,temp,weather
431,ġimgħa,week
525,piż,weight
56,ukoll,well
82,marru,went
39,kienu,were
463,punent,west
22,liema,what
356,rota,wheel
153,meta,when
110,fejn,where
710,jekk,whether
40,li,which
243,filwaqt li,while
278,abjad,white
194,li,who
348,kollu,whole
776,li,whose
78,għaliex,why
548,wiesgħa,wide
964,mara,wife
574,selvaġġi,wild
45,se,will
937,win,win
330,riħ,wind
555,tieqa,window
804,ġwienaħ,wing
571,xitwa,winter
633,wajer,wire
567,tixtieq,wish
10,ma,with
799,mara,woman
906,nisa,women
378,wonder,wonder
752,mhux se,won’t
272,injam,wood
20,kelma,word
103,xogħol,work
95,dinja,world
163,kieku,would
162,jiktbu,write
573,miktub,written
989,ħażin,wrong
614,kiteb,wrote
622,tarzna,yard
117,sena,year
839,isfar,yellow
394,iva,yes
537,għadhom,yet
26,inti,you
305,żgħażagħ,young
156,tiegħek,your
