number,tamil,english
49,ஒவ்வொரு,each
651,காது,ear
461,ஆரம்ப,early
99,பூமியில்,earth
284,எளிதாக்க,ease
397,கிழக்கு,east
255,சாப்பிட,eat
581,விளிம்பில்,edge
789,விளைவு,effect
506,முட்டை,egg
702,எட்டு,eight
721,ஒன்று,either
790,மின்சார,electric
770,உறுப்பு,element
652,வேறு,else
60,இறுதியில்,end
883,பகைவன்,enemy
501,ஆற்றல்,energy
545,இயந்திரம்,engine
301,போதுமான,enough
834,நுழைய,enter
639,சம,equal
386,சமன்,equate
915,குறிப்பாக,especially
69,கூட,even
939,மாலை,evening
958,நிகழ்வு,event
308,எப்போதும்,ever
120,ஒவ்வொரு,every
607,துல்லியமான,exact
283,உதாரணமாக,example
613,"தவிர,",except
747,தூண்ட,excite
563,உடற்பயிற்சி,exercise
791,எதிர்பார்க்க,expect
925,அனுபவம்,experience
688,சோதனை,experiment
222,கண்,eye
271,முகத்தை,face
449,உண்மை,fact
645,நியாயமான,fair
407,விழ,fall
318,குடும்ப,family
820,பிரபலமான,famous
236,இதுவரை,far
230,பண்ணை,farm
467,வேகமாக,fast
863,கொழுப்பு,fat
100,தந்தை,father
858,சாதகமாக,favor
823,பயம்,fear
941,ஜூன்,feed
312,உணர,feel
298,அடி,feet
642,விழுந்தது,fell
534,உணர்ந்தேன்,felt
249,சில,few
419,துறையில்,field
916,அத்தி,fig
744,சண்டை,fight
415,எண்ணிக்கை,figure
396,நிரப்பவும்,fill
432,இறுதி,final
200,கண்டுபிடிக்க,find
404,நன்றாக,fine
741,விரல்,finger
593,பூச்சு,finish
339,தீ,fire
193,முதல்,first
260,மீன்,fish
643,பொருந்தும்,fit
458,ஐந்து,five
694,பிளாட்,flat
720,தரையில்,floor
644,பாயும்,flow
596,மலர்,flower
406,பறக்க,fly
76,பின்பற்றவும்,follow
216,உணவு,food
366,கால்,foot
7,ஐந்து,for
358,படை,force
552,காட்டில்,forest
130,வடிவம்,form
922,முன்னோக்கி,forward
207,காணப்படும்,found
218,நான்கு,four
551,பகுதி,fraction
440,இலவச,free
836,புதிய,fresh
257,நண்பர்,friend
17,இருந்து,from
429,முன்,front
755,பழம்,fruit
357,முழு,full
586,வேடிக்கை,fun
384,விளையாட்டு,game
638,தோட்டத்தில்,garden
588,எரிவாயு,gas
980,சேகரிக்க,gather
433,கொடுத்தது,gave
526,பொது,general
798,மென்மையான,gentle
106,கிடைக்கும்,get
303,பெண்,girl
123,கொடுக்க,give
864,மகிழ்ச்சி,glad
577,கண்ணாடி,glass
179,போ,go
373,தங்க,gold
599,சென்று,gone
121,நல்ல,good
281,கிடைத்தது,got
496,ஆட்சி,govern
535,பெரும்,grand
578,புல்,grass
990,சாம்பல்,gray
132,பெரும்,great
434,பச்சை,green
629,வளர்ந்தது,grew
464,தரையில்,ground
286,குழு,group
210,வளர,grow
801,யூகிக்க,guess
924,வழிகாட்ட,guide
840,துப்பாக்கி,gun
28,இருந்தது,had
717,முடி,hair
336,அரை,half
64,கையில்,hand
332,நடக்கும்,happen
594,சந்தோஷமாக,happy
231,கடின,hard
174,உள்ளது,has
953,தொப்பி,hat
15,வேண்டும்,have
5,அவர்,he
201,தலைவர்,head
265,செவி மடுத்து கேள்,hear
451,கேட்டது,heard
540,இதய,heart
390,வெப்ப,heat
543,கனரக,heavy
716,நானும்,held
135,உதவும்,help
167,அவரது,her
71,இங்கே,here
74,உயர்,high
724,மலை,hill
172,அவரை,him
3,அவரது,his
788,வரலாற்றில்,history
771,வெற்றி,hit
462,நடத்த,hold
699,ஓட்டை,hole
62,வீட்டில்,home
595,நம்பிக்கை,hope
266,குதிரை,horse
19,சூடான,hot
387,சூடான,hot
453,மணி,hour
87,வீட்டில்,house
46,எப்படி,how
918,பிரம்மாண்டமான,huge
787,மனித,human
457,நூறு,hundred
502,வேட்டை,hunt
828,அவசரம்,hurry
2,நான்,i
527,பனி,ice
259,யோசனை,idea
44,என்றால்,if
794,கற்பனை,imagine
34,உள்ள,in
351,அங்குல,inch
531,சேர்க்கிறது,include
783,குறிக்கிறது,indicate
742,தொழில்,industry
780,பூச்சி,insect
877,உடனடி,instant
575,கருவி,instrument
465,வட்டி,interest
970,கண்டுபிடித்தல்,invent
691,இரும்பு,iron
24,ஆகிறது,is
365,தீவின்,island
25,அது,it
580,வேலை,job
617,சேர,join
570,மகிழ்ச்சி,joy
700,குதிக்க,jump
129,வெறும்,just
221,வைத்து,keep
576,வைத்து,kept
690,முக்கிய,key
657,கொலை,kill
84,வகையான,kind
349,ராஜா,king
344,தெரிந்தது,knew
189,எனக்கு தெரியும்,know
621,பெண்,lady
659,ஏரியில்,lake
70,நில,land
399,மொழி,language
66,பெரிய,large
224,கடந்த,last
240,தாமதமாக,late
379,சிரிப்பு,laugh
730,சட்ட,law
482,போட,lay
408,வழிவகுக்கும்,lead
213,அறிய,learn
610,குறைந்தது,least
321,விட்டு,leave
929,தலைமையிலான,led
239,விட்டு,left
562,காலை,leg
516,நீளம்,length
474,குறைவான,less
225,நாம்,let
293,கடிதம்,letter
978,நிலை,level
745,பொய்யை,lie
248,வாழ்க்கை,life
848,லிப்ட்,lift
83,ஒளி,light
164,போன்ற,like
137,வரி,line
894,திரவ,liquid
310,பட்டியலில்,list
470,கேட்க,listen
113,சிறிய,little
109,வாழ,live
777,கண்டறிவது,locate
895,புகுபதிகை,log
561,தனி,lone
168,நீண்ட,long
175,பார்க்க,look
635,இழந்தது,lost
687,நிறைய,lot
662,உரத்த,loud
487,காதல்,love
136,குறைந்த,low
411,இயந்திரம்,machine
108,செய்து,made
909,கிரேடு,magnet
273,முக்கிய,main
835,முக்கிய,major
169,செய்ய,make
116,மனிதன்,man
159,பல,many
493,வரைபடத்தை,map
291,குறி,mark
878,சந்தை,market
932,வெகுஜன,mass
851,மாஸ்டர்,master
913,போட்டியில்,match
550,பொருள்,material
528,விஷயம்,matter
195,மே,may
122,எனக்கு,me
142,அர்த்தம்,mean
896,பொருள்,meant
323,அளவிட,measure
817,இறைச்சி,meat
704,சந்திக்க,meet
601,மெல்லிசை,melody
80,ஆண்கள்,men
709,உலோக,metal
672,முறை,method
656,நடுத்தர,middle
233,வலிமை,might
295,மைல்,mile
670,பால்,milk
591,மில்லியன்,million
444,மனதில்,mind
832,என்னுடைய,mine
441,நிமிடம்,minute
388,மிஸ்,miss
631,கலந்து,mix
769,நவீன,modern
987,மூலக்கூறின்,molecule
660,கணம்,moment
489,பணத்தை,money
590,மாதம்,month
364,நிலவு,moon
176,மேலும்,more
475,காலையில்,morning
185,மிகவும்,most
94,அம்மா,mother
892,இயக்கம்,motion
566,ஏற்ற,mount
261,மலை,mountain
606,வாயில்,mouth
144,நடவடிக்கை,move
141,மிகவும்,much
352,பெருக்கவும்,multiply
288,இசை,music
72,வேண்டும்,must
187,என்னுடைய,my
126,பெயர்,name
668,தேசிய,nation
748,இயற்கை,natural
889,இயற்கையின்,nature
96,அருகில்,near
802,தேவையான,necessary
900,கழுத்தில்,neck
86,வேண்டும்,need
806,அண்டை,neighbor
223,ஒருபோதும்,never
102,புதிய,new
277,அடுத்த,next
246,இரவு,night
975,ஒன்பது,nine
184,எந்த,no
977,சத்தம்,noise
767,நண்பகல்,noon
947,அல்லது,nor
250,வடக்கில்,north
996,மூக்கு,nose
412,குறிப்பு,note
353,எதுவும்,nothing
499,அறிவிப்பு,notice
418,பெயர்ச்சொல்,noun
199,இப்பொழுது,now
182,பல,number
328,எண்,numeral
360,பொருள்,object
664,அவதானிக்கவும்,observe
886,ஏற்படும்,occur
438,கடல்,ocean
30,உள்ள,of
85,ஆஃப்,off
873,வாய்ப்பை,offer
603,அலுவலகத்தில்,office
292,பெரும்பாலும்,often
435,ஓ,oh
626,எண்ணெய்,oil
147,பழைய,old
8,ம்,on
263,ஒருமுறை,once
14,ஒரு,one
114,மட்டும்,only
274,திறந்த,open
760,செயல்பட,operate
963,எதிர்,opposite
27,அல்லது,or
338,பொருட்டு,order
673,உறுப்பு,organ
865,அசல்,original
38,மற்ற,other
124,எங்கள்,our
37,வெளியே,out
188,மேல்,over
203,சொந்த,own
901,ஆக்சிஜன்,oxygen
204,பக்கம்,page
398,வண்ணம்,paint
530,ஜோடி,pair
285,காகித,paper
713,பத்தி,paragraph
853,பெற்றோர்,parent
104,பகுதி,part
959,குறிப்பாக,particular
774,கட்சி,party
345,கடந்து,pass
584,கடந்த,past
893,பாதை,path
484,அமைப்பு,pattern
674,செலுத்த,pay
186,மக்கள்,people
510,ஒருவேளை,perhaps
782,காலம்,period
488,நபர்,person
734,சொற்றொடர்,phrase
511,எடுக்க,pick
88,படம்,picture
342,துண்டு,piece
930,சுருதி,pitch
107,இடத்தில்,place
302,வெற்று,plain
414,திட்டம்,plan
375,விமானம்,plane
827,கிரகத்தின்,planet
214,ஆலை,plant
58,விளையாட,play
765,தயவு செய்து,please
997,பன்மை,plural
813,கவிதையை,poem
93,புள்ளி,point
686,ஏழை,poor
880,விரிவுப்படுத்த,populate
65,துறைமுக,port
320,போஸ்,pose
546,நிலையை,position
374,சாத்தியம்,possible
860,பின்,post
423,பவுண்டு,pound
402,அதிகாரத்தை,power
761,நடைமுறையில்,practice
994,தயார்,prepare
542,தற்போதைய,present
244,செய்தி,press
904,அழகான,pretty
842,அச்சு,print
503,சாத்தியமான,probable
341,பிரச்சனை,problem
759,செயல்முறை,process
448,உற்பத்தி,produce
325,தயாரிப்பு,product
871,முறையான,proper
985,சொத்து,property
766,காப்பாற்று,protect
560,நிரூபிக்க,prove
795,எப்படி,provide
497,இழுக்க,pull
711,மிகுதி,push
61,வைத்து,put
974,பைண்டு அளவு,quart
331,கேள்வி,question
436,விரைவான,quick
680,அமைதியான,quiet
653,மிகவும்,quite
897,ஈவு,quotient
554,இனம்,race
784,ரேடியோ,radio
793,ரயில்,rail
494,மழை,rain
707,உயர்த்த,raise
382,ஓடி,ran
890,எல்லை,range
809,மாறாக,rather
466,அடைய,reach
63,படிக்க,read
306,தயாராக,ready
247,உண்மையான,real
515,காரணம்,reason
604,பெற,receive
370,பதிவு,record
309,"சிவப்பு,",red
520,பகுதி,region
459,நினைவில்,remember
991,மீண்டும்,repeat
884,பதில்,reply
517,பிரதிநிதித்துவம்,represent
992,தேவைப்படுகிறது,require
420,மீதமுள்ள,rest
722,இதன் விளைவாக,result
756,பணக்கார,rich
507,சவாரி,ride
145,வலது,right
778,மோதிரத்தை,ring
623,உயரும்,rise
296,ஆற்றில்,river
492,சாலை,road
337,ராக்,rock
739,ரோல்,roll
256,அறையில்,room
705,ரூட்,root
935,கயிற்றில்,rope
840,உயர்ந்தது,rose
115,சுற்று,round
605,வரிசையில்,row
818,துடைப்பான்,rub
495,ஆட்சி,rule
241,ரன்,run
725,பாதுகாப்பான,safe
47,என்றார்,said
549,புறப்பட்டது,sail
995,"உப்பு,",salt
149,அதே,same
737,மணல்,sand
572,சனி,sat
648,காப்பாற்ற,save
235,எண்ணினர்,saw
134,சொல்ல,say
661,அளவில்,scale
209,பள்ளி,school
254,அறிவியல்,science
926,மதிப்பெண்,score
237,கடல்,sea
837,தேடல்,search
907,சீசன்,season
949,இருக்கை,seat
300,இரண்டாவது,second
676,பிரிவில்,section
171,பார்க்க,see
615,விதை,seed
275,தெரியவில்லை,seem
874,பிரிவு,segment
988,தேர்ந்தெடு,select
98,சுய,self
954,விற்க,sell
838,அனுப்பு,send
750,உணர்வு,sense
640,அனுப்பி,sent
131,தண்டனை,sentence
762,தனி,separate
490,சேவை,serve
52,தொகுப்பு,set
523,குடியேற,settle
712,ஏழு,seven
478,பல,several
715,போகலாமா,shall
385,வடிவம்,shape
866,பங்கு,share
803,கூர்மையான,sharp
150,அவர்,she
856,தாள்,sheet
899,ஷெல்,shell
984,பிரகாசி,shine
334,கப்பல்,ship
965,காலணி,shoe
981,கடையை,shop
854,கரையில்,shore
327,குறுகிய,short
205,வேண்டும்,should
966,தோள்பட்டை,shoulder
612,கத்தி,shout
119,நிகழ்ச்சி,show
197,பக்க,side
284,பார்வை,sight
582,அடையாளம்,sign
735,அமைதியாக,silent
910,வெள்ளி,silver
923,இதே,similar
477,எளிமையான,simple
346,முதல்,since
469,பாட,sing
692,ஒற்றை,single
919,அக்கா,sister
553,உட்கார,sit
471,ஆறு,six
521,அளவு,size
905,திறன்,skill
696,தோல்,skin
568,வானத்தில்,sky
875,அடிமை,slave
559,தூக்கம்,sleep
936,சீட்டு,slip
485,மெதுவாக,slow
59,சிறு,small
945,மணம்,smell
697,சிரிப்பு,smile
391,பனி,snow
165,எனவே,so
585,மென்மையான,soft
738,மண்,soil
758,சிப்பாய்,soldier
908,தீர்வு,solution
708,தீர்க்க,solve
23,சில,some
658,மகன்,son
322,பாடல்,song
315,விரைவில்,soon
183,ஒலி,sound
340,தெற்கு,south
450,விண்வெளி,space
524,பேச,speak
443,சிறப்பு,special
888,பேச்சு,speech
671,வேக,speed
67,எழுத்துப்பிழை,spell
861,செலவு,spend
785,பேசினார்,spoke
844,ஸ்பாட்,spot
967,பரவல்,spread
663,வசந்த,spring
514,சதுரம்,square
202,நிற்க,stand
416,நட்சத்திர,star
232,தொடக்கத்தில்,start
220,மாநில,state
867,நிலையம்,station
355,தங்க,stay
376,ஸ்தானத்தில்,stead
891,நீராவி,steam
920,உருக்கு,steel
460,படி,step
693,குச்சி,stick
212,இன்னும்,still
681,கல்,stone
427,நின்று,stood
262,நிறுத்த,stop
556,கடையில்,store
234,கதை,story
666,நேராக,straight
598,விசித்திரமான,strange
822,ஸ்ட்ரீம்,stream
350,தெருவில்,street
982,நீட்டிக்க,stretch
814,சரம்,string
442,வலுவான,strong
772,மாணவர்,student
211,ஆய்வு,study
519,பொருள்,subject
857,பொருள்,substance
957,கழித்தால்,subtract
955,வெற்றி,success
75,போன்ற,such
512,திடீர்,sudden
914,மை,suffix
902,சர்க்கரை,sugar
618,பரிந்துரைக்கிறது,suggest
846,வழக்கு,suit
557,கோடை,summer
217,சூரிய,sun
775,வழங்கல்,supply
887,ஆதரவு,support
268,உறுதியான,sure
362,மேற்பரப்பு,surface
679,ஆச்சரியம்,surprise
961,து,swim
533,அசையாக,syllable
608,சின்னம்,symbol
367,அமைப்பு,system
472,அட்டவணை,table
447,வால்,tail
105,எடுத்து,take
313,பேச்சு,talk
736,உயரம்,tall
430,கற்று,teach
632,அணி,team
898,பற்கள்,teeth
50,சொல்ல,tell
740,வெப்பநிலை,temperature
476,பத்து,ten
962,கால,term
369,சோதனை,test
191,விட,than
911,நன்றி,thank
4,என்று,that
29,தி,the
42,தங்கள்,their
161,அவர்கள்,them
160,பின்னர்,then
152,அங்கு,there
166,இவை,these
11,அவை,they
757,தடித்த,thick
825,மெல்லிய,thin
170,விஷயம்,thing
133,என்று,think
714,மூன்றாவது,third
16,இந்த,this
289,அந்த,those
311,எனினும்,though
226,நினைத்தேன்,thought
380,ஆயிரம்,thousand
53,மூன்று,three
128,மூலம்,through
983,தூக்கி,throw
797,இவ்வாறு,thus
833,டை,tie
43,நேரம்,time
682,சிறிய,tiny
392,டயர்,tire
31,செய்ய,to
276,ஒன்றாக,together
343,கூறினார்,told
616,தொனி,tone
148,மிகவும்,too
253,நடந்தது,took
942,கருவி,tool
347,மேல்,top
943,மொத்த,total
628,தொட,touch
480,நோக்கி,toward
403,நகரம்,town
852,பாடல்,track
600,வர்த்தக,trade
558,ரயில்,train
473,பயண,travel
228,மரத்தில்,tree
826,முக்கோண,triangle
602,பயணம்,trip
611,சிக்கல்,trouble
976,டிரக்,truck
455,உண்மை,true
89,முயற்சி,try
819,குழாய்,tube
139,இதையொட்டி,turn
695,இருபத்தி,twenty
173,இரு,two
729,வகை,type
125,கீழ்,under
401,அலகு,unit
294,வரை,until
154,மேலே,up
90,அமெரிக்க,us
155,பயன்பாடு,use
304,வழக்கம்,usual
946,பள்ளத்தாக்கில்,valley
743,மதிப்பு,value
522,மாறுபடுகிறது,vary
468,வினை,verb
127,மிகவும்,very
749,பார்வை,view
703,கிராமம்,village
583,வருகை,visit
500,குரல்,voice
479,உயிர்,vowel
413,காத்திருக்க,wait
282,நடக்க,walk
564,சுவர்,wall
54,வேண்டும்,want
481,போர்,war
439,சூடான,warm
6,இருந்தது,was
807,கழுவும்,wash
269,பார்க்க,watch
190,தண்ணீர்,water
538,அலை,wave
157,வழி,way
35,நாம்,we
637,அணிய,wear
589,வானிலை,weather
431,வாரம்,week
525,எடை,weight
56,அதே,well
82,சென்றார்,went
39,இருந்தன,were
463,மேற்கே,west
22,என்ன,what
356,சக்கர,wheel
153,எப்போது,when
110,எங்கே,where
710,என்பதை,whether
40,இது,which
243,போது,while
278,வெள்ளை,white
194,யார்,who
348,முழுவதும்,whole
776,அதன்,whose
78,ஏன்,why
548,பரந்த,wide
964,மனைவி,wife
574,காட்டு,wild
45,சாப்பிடுவேன்,will
937,வெற்றி,win
330,காற்று,wind
555,சாளர,window
804,வலதுசாரி,wing
571,குளிர்காலத்தில்,winter
633,கம்பி,wire
567,விரும்புகிறேன்,wish
10,உடன்,with
799,பெண்,woman
906,பெண்கள்,women
378,தெரியவில்லை,wonder
752,இல்லை,won’t
272,மரம்,wood
20,விக்சனரி,word
103,பணி,work
95,உலக,world
163,என்று,would
162,எழுத,write
573,எழுதப்பட்ட,written
989,தவறு,wrong
614,எழுதியது,wrote
622,முற்றத்தில்,yard
117,ஆண்டு,year
839,மஞ்சள்,yellow
394,ஆம்,yes
537,இதுவரை,yet
26,நீங்கள்,you
305,இளம்,young
156,உங்கள்,your
