number,norwegian,english
581,kanten,edge
789,effekt,effect
506,egg,egg
702,åtte,eight
721,enten,either
790,elektrisk,electric
770,element,element
652,annet,else
60,ende,end
883,fiende,enemy
501,energi,energy
545,motor,engine
301,nok,enough
834,inn,enter
639,lik,equal
386,likestille,equate
915,spesielt,especially
69,selv,even
939,kveld,evening
958,hendelse,event
308,noensinne,ever
120,alle,every
607,eksakte,exact
283,eksempel,example
613,bortsett fra,except
747,opphisse,excite
563,trening,exercise
791,forvente,expect
925,erfaring,experience
688,eksperiment,experiment
222,øye,eye
271,ansikt,face
449,faktisk,fact
645,rettferdig,fair
407,høst,fall
318,familie,family
820,berømt,famous
236,langt,far
230,gård,farm
467,rask,fast
863,fett,fat
100,far,father
858,favorisere,favor
823,frykt,fear
941,fôr,feed
312,føler,feel
298,føtter,feet
642,falt,fell
534,følte,felt
249,noen,few
419,felt,field
916,fig,fig
744,kampen,fight
415,figur,figure
396,fylle,fill
432,endelig,final
200,finne,find
404,bot,fine
741,fingeren,finger
593,ferdig,finish
339,brann,fire
193,første,first
260,fisk,fish
643,passe,fit
458,fem,five
694,flat,flat
720,etasje,floor
644,flyte,flow
596,blomst,flower
406,fly,fly
76,følg,follow
216,mat,food
366,foten,foot
7,for,for
358,kraft,force
552,skog,forest
130,skjema,form
922,frem,forward
207,funnet,found
218,fire,four
551,brøkdel,fraction
440,gratis,free
836,frisk,fresh
257,venn,friend
17,fra,from
429,foran,front
755,frukt,fruit
357,fullt,full
586,moro,fun
384,spill,game
638,hage,garden
588,gass,gas
980,samle,gather
433,ga,gave
526,generell,general
798,skånsom,gentle
106,få,get
303,jente,girl
123,gi,give
864,glad,glad
577,glass,glass
179,gå,go
373,gull,gold
599,borte,gone
121,god,good
281,fikk,got
496,regulerer,govern
535,grand,grand
578,gress,grass
990,grå,gray
132,stor,great
434,grønn,green
629,vokste,grew
464,bakken,ground
286,gruppe,group
210,vokse,grow
801,gjett,guess
924,veilede,guide
840,pistol,gun
28,hadde,had
717,hår,hair
336,halv,half
64,hånd,hand
332,skje,happen
594,lykkelig,happy
231,vanskelig,hard
174,har,has
953,hat,hat
15,har,have
5,han,he
201,hode,head
265,høre,hear
451,hørt,heard
540,hjerte,heart
390,hete,heat
543,tung,heavy
716,holdt,held
135,hjelpe,help
167,henne,her
71,her,here
74,høy,high
724,hill,hill
172,ham,him
3,hans,his
788,historie,history
771,rammet,hit
462,holde,hold
699,hull,hole
62,hjem,home
595,håper,hope
266,hest,horse
19,varm,hot
387,hot,hot
453,time,hour
87,huset,house
46,hvordan,how
918,stor,huge
787,menneskelig,human
457,hundre,hundred
502,jakt,hunt
828,skynde,hurry
2,jeg,i
527,is,ice
259,ide,idea
44,hvis,if
794,forestille,imagine
34,i,in
351,tommers,inch
531,inkludere,include
783,indikere,indicate
742,industrien,industry
780,insekt,insect
877,instant,instant
575,instrument,instrument
465,interesse,interest
970,oppfinne,invent
691,jern,iron
24,er,is
365,øy,island
25,den,it
580,jobb,job
617,bli med,join
570,glede,joy
700,hopp,jump
129,bare,just
221,holde,keep
576,holdt,kept
690,nøkkel,key
657,drepe,kill
84,kind,kind
349,king,king
344,visste,knew
189,vet,know
621,damen,lady
659,innsjø,lake
70,landet,land
399,språk,language
66,stor,large
224,siste,last
240,sent,late
379,latter,laugh
730,lov,law
482,lå,lay
408,føre,lead
213,lære,learn
610,minst,least
321,forlate,leave
929,ledet,led
239,venstre,left
562,leg,leg
516,lengde,length
474,mindre,less
225,la,let
293,brev,letter
978,nivå,level
745,løgn,lie
248,livet,life
848,lift,lift
83,lys,light
164,som,like
137,etter,line
894,væske,liquid
310,liste,list
470,lytte,listen
113,lite,little
109,leve,live
777,isere,locate
895,logg,log
561,lone,lone
168,lang,long
175,se,look
635,tapt,lost
687,mye,lot
662,høyt,loud
487,elsker,love
136,lav,low
411,maskin,machine
108,gjort,made
909,magnet,magnet
273,hoved,main
835,stor,major
169,gjøre,make
116,mann,man
159,mange,many
493,kartet,map
291,mark,mark
878,markedet,market
932,masse,mass
851,mester,master
913,kamp,match
550,material,material
528,saken,matter
195,kan,may
122,meg,me
142,mener,mean
896,ment,meant
323,måle,measure
817,kjøtt,meat
704,møtes,meet
601,melodi,melody
80,menn,men
709,metall,metal
672,metode,method
656,midten,middle
233,kanskje,might
295,mile,mile
670,melk,milk
591,millioner,million
444,sinn,mind
832,gruve,mine
441,minutt,minute
388,savner,miss
631,bland,mix
769,moderne,modern
987,molekyl,molecule
660,øyeblikk,moment
489,penger,money
590,måned,month
364,månen,moon
176,mer,more
475,morgen,morning
185,mest,most
94,mor,mother
892,bevegelse,motion
566,mount,mount
261,fjellet,mountain
606,munn,mouth
144,flytte,move
141,mye,much
352,multiplisere,multiply
288,musikk,music
72,må,must
187,min,my
126,navn,name
668,nasjon,nation
748,naturlig,natural
889,natur,nature
96,nær,near
802,nødvendig,necessary
900,halsen,neck
86,trenger,need
806,nabo,neighbor
223,aldri,never
102,ny,new
277,neste,next
246,natt,night
975,ni,nine
184,no,no
977,støy,noise
767,noon,noon
947,eller,nor
250,nord,north
996,nese,nose
412,notat,note
353,ingenting,nothing
499,varsel,notice
418,substantiv,noun
199,nå,now
182,nummer,number
328,tall,numeral
360,objekt,object
664,observere,observe
886,forekomme,occur
438,ocean,ocean
30,av,of
85,off,off
873,tilbudet,offer
603,kontor,office
292,ofte,often
435,oh,oh
626,olje,oil
147,gammel,old
8,på,on
263,gang,once
14,ett,one
114,bare,only
274,åpent,open
760,betjene,operate
963,motsatt,opposite
27,eller,or
338,rekkefølge,order
673,organ,organ
865,opprinnelige,original
38,andre,other
124,vår,our
37,ut,out
188,løpet,over
203,egen,own
901,oksygen,oxygen
204,side,page
398,maling,paint
530,pair,pair
285,papir,paper
713,avsnitt,paragraph
853,forelder,parent
104,del,part
959,særlig,particular
774,fest,party
345,passere,pass
584,fortid,past
893,bane,path
484,mønster,pattern
674,betale,pay
186,folk,people
510,kanskje,perhaps
782,periode,period
488,personer,person
734,frase,phrase
511,plukke,pick
88,bilde,picture
342,piece,piece
930,banen,pitch
107,sted,place
302,plain,plain
414,planen,plan
375,planet,plane
827,planet,planet
214,anlegg,plant
58,spille,play
765,vennligst,please
997,flertall,plural
813,dikt,poem
93,punkt,point
686,dårlig,poor
880,befolke,populate
65,port,port
320,posere,pose
546,stilling,position
374,mulig,possible
860,post,post
423,pund,pound
402,makt,power
761,praksis,practice
994,forberede,prepare
542,stede,present
244,trykk,press
904,pen,pretty
842,print,print
503,sannsynlig,probable
341,problem,problem
759,prosessen,process
448,produsere,produce
325,produkt,product
871,riktig,proper
985,eiendom,property
766,beskytte,protect
560,bevise,prove
795,gi,provide
497,trekke,pull
711,push,push
61,sette,put
974,kvart,quart
331,spørsmål,question
436,rask,quick
680,stille,quiet
653,ganske,quite
897,kvotient,quotient
554,veddeløp,race
784,radioen,radio
793,skinne,rail
494,regn,rain
707,heve,raise
382,ran,ran
890,range,range
809,heller,rather
466,nå,reach
63,lese,read
306,klar,ready
247,real,real
515,grunnen,reason
604,motta,receive
370,rekord,record
309,red,red
520,region,region
459,huske,remember
991,gjenta,repeat
884,svar,reply
517,representerer,represent
992,krever,require
420,resten,rest
722,resultat,result
756,rik,rich
507,ride,ride
145,høyre,right
778,ring,ring
623,stige,rise
296,elv,river
492,vei,road
337,stein,rock
739,rulle,roll
256,rom,room
705,rot,root
935,tau,rope
840,rose,rose
115,runde,round
605,rad,row
818,gni,rub
495,regelen,rule
241,kjøre,run
725,trygg,safe
47,sa,said
549,seil,sail
995,saltet,salt
149,samme,same
737,sand,sand
572,sat,sat
648,spare,save
235,sag,saw
134,si,say
661,skala,scale
209,skole,school
254,vitenskap,science
926,poengsum,score
237,sea,sea
837,søk,search
907,sesong,season
949,sete,seat
300,andre,second
676,seksjon,section
171,se,see
615,seedet,seed
275,synes,seem
874,segment,segment
988,velg,select
98,selv,self
954,selge,sell
838,send,send
750,følelse,sense
640,sendt,sent
131,setning,sentence
762,separat,separate
490,tjene,serve
52,sett,set
523,bosette,settle
712,syv,seven
478,flere,several
715,skal,shall
385,form,shape
866,aksje,share
803,skarp,sharp
150,hun,she
856,ark,sheet
899,shell,shell
984,skinne,shine
334,skip,ship
965,shoe,shoe
981,butikk,shop
854,shore,shore
327,kort,short
205,bør,should
966,skulder,shoulder
612,rop,shout
119,vis,show
197,side,side
284,synet,sight
582,skilt,sign
735,taus,silent
910,sølv,silver
923,lignende,similar
477,enkel,simple
346,siden,since
469,synge,sing
692,enslig,single
919,søster,sister
553,sitte,sit
471,seks,six
521,størrelse,size
905,ferdighet,skill
696,hud,skin
568,himmel,sky
875,slave,slave
559,søvn,sleep
936,slip,slip
485,langsom,slow
59,liten,small
945,lukt,smell
697,smil,smile
391,snø,snow
165,så,so
585,myk,soft
738,jord,soil
758,soldat,soldier
908,løsning,solution
708,løse,solve
23,noen,some
658,sønn,son
322,sangen,song
315,snart,soon
183,høres,sound
340,sør,south
450,plass,space
524,snakke,speak
443,spesiell,special
888,tale,speech
671,hastighet,speed
67,stave,spell
861,bruke,spend
785,snakket,spoke
844,sted,spot
967,spredningen,spread
663,våren,spring
514,square,square
202,stå,stand
416,stjerners,star
232,start,start
220,stat,state
867,stasjonen,station
355,opphold,stay
376,stedet,stead
891,steam,steam
920,stål,steel
460,trinn,step
693,stick,stick
212,fortsatt,still
681,stein,stone
427,sto,stood
262,stoppe,stop
556,butikken,store
234,historien,story
666,rett,straight
598,merkelig,strange
822,stream,stream
350,street,street
982,stretch,stretch
814,streng,string
442,sterk,strong
772,studenten,student
211,studien,study
519,lagt,subject
857,substans,substance
957,subtrahere,subtract
955,suksess,success
75,slik,such
512,plutselige,sudden
914,suffiks,suffix
902,sukker,sugar
618,foreslå,suggest
846,drakt,suit
557,sommer,summer
217,sol,sun
775,forsyning,supply
887,støtte,support
268,sikker,sure
362,overflaten,surface
679,overraskelse,surprise
961,svømmetur,swim
533,stavelse,syllable
608,symbol,symbol
367,system,system
472,bord,table
447,halen,tail
105,ta,take
313,diskusjon,talk
736,høyt,tall
430,undervise,teach
632,teamet,team
898,tenner,teeth
50,fortelle,tell
740,temperatur,temperature
476,ti,ten
962,term,term
369,test,test
191,enn,than
911,takk,thank
4,at,that
29,den,the
42,deres,their
161,dem,them
160,deretter,then
152,det,there
166,disse,these
11,de,they
757,tykk,thick
825,tynn,thin
170,ting,thing
133,tror,think
714,tredje,third
16,dette,this
289,de,those
311,skjønt,though
226,trodde,thought
380,tusen,thousand
53,tre,three
128,gjennom,through
983,kaste,throw
797,dermed,thus
833,slips,tie
43,tid,time
682,tiny,tiny
392,dekk,tire
31,til,to
276,sammen,together
343,fortalte,told
616,tonen,tone
148,også,too
253,tok,took
942,verktøy,tool
347,toppen,top
943,totalt,total
628,røre,touch
480,mot,toward
403,byen,town
852,spor,track
600,handel,trade
558,tog,train
473,reise,travel
228,tre,tree
826,trekant,triangle
602,tur,trip
611,trøbbel,trouble
976,lastebil,truck
455,sant,true
89,prøve,try
819,tube,tube
139,sving,turn
695,tjue,twenty
173,to,two
729,typen,type
125,etter,under
401,enhet,unit
294,før,until
154,opp,up
90,oss,us
155,bruk,use
304,vanlig,usual
946,dalen,valley
743,verdi,value
522,variere,vary
468,verb,verb
127,veldig,very
749,visning,view
703,landsby,village
583,besøk,visit
500,stemme,voice
479,vokal,vowel
413,vente,wait
282,gå,walk
564,veggen,wall
54,ønsker,want
481,krig,war
439,varm,warm
6,var,was
807,vask,wash
269,se,watch
190,vann,water
538,wave,wave
157,måte,way
35,vi,we
637,slitasje,wear
589,vær,weather
431,uke,week
525,vekt,weight
56,godt,well
82,gikk,went
39,var,were
463,vest,west
22,hva,what
356,wheel,wheel
153,når,when
110,der,where
710,enten,whether
40,som,which
243,mens,while
278,hvit,white
194,som,who
348,hele,whole
776,hvis,whose
78,hvorfor,why
548,wide,wide
964,kone,wife
574,vill,wild
45,vil,will
937,vinne,win
330,vind,wind
555,vindu,window
804,vinge,wing
571,vinter,winter
633,ledning,wire
567,ønsker,wish
10,med,with
799,kvinne,woman
906,kvinner,women
378,rart,wonder
752,vil ikke,won’t
272,tre,wood
20,ordet,word
103,arbeid,work
95,verden,world
163,ville,would
162,skrive,write
573,skrevet,written
989,galt,wrong
614,skrev,wrote
622,tunet,yard
117,år,year
839,gul,yellow
394,ja,yes
537,ennå,yet
26,du,you
305,ung,young
156,din,your
