number,kannada,english
119,ಪ್ರದರ್ಶನ,show
197,ಅಡ್ಡ,side
284,ದೃಷ್ಟಿ,sight
582,ಸೈನ್,sign
735,ಮೂಕ,silent
910,ಬೆಳ್ಳಿ,silver
923,ಇದೇ,similar
477,ಸರಳ,simple
346,ರಿಂದ,since
469,ಹಾಡಲು,sing
692,ಏಕ,single
919,ಸಹೋದರಿ,sister
553,ಕುಳಿತು,sit
471,ಆರು,six
521,ಗಾತ್ರ,size
905,ಕೌಶಲ್ಯ,skill
696,ಚರ್ಮದ,skin
568,ಆಕಾಶ,sky
875,ಗುಲಾಮ,slave
559,ನಿದ್ರೆ,sleep
936,ಸ್ಲಿಪ್,slip
485,ನಿಧಾನ,slow
59,ಸಣ್ಣ,small
945,ವಾಸನೆ,smell
697,ಸ್ಮೈಲ್,smile
391,ಹಿಮ,snow
165,ಆದ್ದರಿಂದ,so
585,ಮೃದು,soft
738,ಮಣ್ಣಿನ,soil
758,ಸೈನಿಕ,soldier
908,ಪರಿಹಾರ,solution
708,ಪರಿಹರಿಸಲು,solve
23,ಕೆಲವು,some
658,ಮಗ,son
322,ಹಾಡು,song
315,ಶೀಘ್ರದಲ್ಲೇ,soon
183,ಧ್ವನಿ,sound
340,ದಕ್ಷಿಣ,south
450,ಸ್ಪೇಸ್,space
524,ಮಾತನಾಡಲು,speak
443,ವಿಶೇಷ,special
888,ಭಾಷಣ,speech
671,ವೇಗ,speed
67,ಕಾಗುಣಿತ,spell
861,ಖರ್ಚು,spend
785,ಮಾತನಾಡಿದರು,spoke
844,ಸ್ಪಾಟ್,spot
967,ಹರಡುವಿಕೆ,spread
663,ವಸಂತ,spring
514,ಚದರ,square
202,ನಿಲ್ಲಲು,stand
