number,slovak,english
361,rozhodnúť,decide
650,desatinné,decimal
363,hlboké,deep
879,stupeň,degree
816,závisí,depend
718,popísať,describe
845,púšť,desert
685,design,design
973,určiť,determine
437,rozvíjať,develop
669,slovník,dictionary
181,áno,did
609,zomrieť,die
138,sa líšia,differ
763,obtiažny,difficult
319,priame,direct
921,diskutovať,discuss
395,vzdialenej,distant
532,rozdeliť,divide
855,divízie,division
41,robiť,do
764,lekár,doctor
51,robí,does
317,pes,dog
921,dolár,dollar
424,hotovo,done
242,nie,don’t
324,dvere,door
948,double,double
196,dole,down
238,kresliť,draw
938,sen,dream
677,šaty,dress
885,nápoj,drink
426,pohon,drive
539,pokles,drop
377,suchý,dry
876,kačica,duck
456,počas,during
49,každý,each
651,ucho,ear
461,čoskoro,early
99,krajiny,earth
284,jednoduchosť,ease
397,východ,east
255,jesť,eat
581,hrana,edge
789,efekt,effect
506,vajcia,egg
702,osem,eight
721,buď,either
790,elektrické,electric
770,prvok,element
652,iný,else
60,koniec,end
883,nepriateľ,enemy
501,energie,energy
545,motor,engine
301,dosť,enough
834,vstúpiť,enter
639,rovná,equal
386,znamienko rovnosti,equate
915,najmä,especially
69,dokonca,even
939,večer,evening
958,udalosť,event
308,kedy,ever
120,každý,every
607,presné,exact
283,príklad,example
613,s výnimkou,except
747,vzrušovať,excite
563,cvičenie,exercise
791,"očakávať, že",expect
925,skúsenosť,experience
688,experimentu,experiment
222,oko,eye
271,tvár,face
449,skutočnosť,fact
645,veľtrh,fair
407,spadnúť,fall
318,rodina,family
820,slávny,famous
236,ďaleko,far
230,farma,farm
467,rýchlo,fast
863,tuk,fat
100,otec,father
858,priazeň,favor
823,strach,fear
941,zdroj,feed
312,cítiť,feel
298,nohy,feet
642,spadol,fell
534,cítil,felt
249,málo,few
419,polia,field
916,obr,fig
744,boj,fight
415,číslo,figure
396,vyplniť,fill
432,finále,final
200,nájsť,find
404,jemný,fine
741,prst,finger
593,úprava,finish
339,oheň,fire
193,prvý,first
260,ryby,fish
643,nosenie,fit
458,päť,five
694,byt,flat
720,podlahy,floor
644,prietok,flow
596,kvetina,flower
406,pozrite sa,fly
76,nasledovať,follow
216,jedlo,food
366,noha,foot
7,pre,for
358,sila,force
552,les,forest
130,forma,form
922,vpred,forward
207,nájdených,found
218,štyri,four
551,časť,fraction
440,voľný,free
836,čerstvé,fresh
257,priateľ,friend
17,od,from
429,predné,front
755,ovocie,fruit
357,vedal,full
586,zábava,fun
384,hra,game
638,záhrada,garden
588,plyn,gas
980,zhromaždiť,gather
433,dal,gave
526,všeobecne,general
798,jemný,gentle
106,so,get
303,dievča,girl
123,dať,give
864,rád,glad
577,sklo,glass
179,ísť,go
373,zlato,gold
599,preč,gone
121,dobrý,good
281,dostal,got
496,vládnuť,govern
535,becne,grand
578,tráva,grass
990,sivá,gray
132,veľký,great
434,zelená,green
629,rástol,grew
464,krajiny,ground
286,skupina,group
210,rast,grow
801,hádať,guess
924,sprievodca,guide
840,pištole,gun
28,mal,had
717,vlasy,hair
336,polovica,half
64,ručné,hand
332,stať sa,happen
594,šťastný,happy
231,ťažké,hard
174,má,has
953,klobúk,hat
15,majú,have
5,sa,he
201,hlava,head
265,počuť,hear
451,počuť,heard
540,srdce,heart
390,tepla,heat
543,ťažká,heavy
716,ručné,held
135,pomoc,help
167,nej,her
71,tu,here
74,vysoká,high
724,kopec,hill
172,ho,him
3,jeho,his
788,histórie,history
771,hit,hit
462,držať,hold
699,palice,hole
62,domáce,home
595,nádeje,hope
266,kôň,horse
19,hot,hot
387,horúce,hot
453,hodín,hour
87,dom,house
46,ako,how
918,obrovský,huge
787,človek,human
457,sto,hundred
502,lov,hunt
828,ponáhľať,hurry
2,ja,i
527,ľad,ice
259,nápad,idea
44,ak,if
794,predstavte si,imagine
34,v,in
351,inch,inch
531,patrí,include
783,označiť,indicate
742,priemysel,industry
780,hmyz,insect
877,instant,instant
575,nástroj,instrument
465,záujem,interest
970,vymyslieť,invent
691,železo,iron
24,je,is
365,ostrov,island
25,to,it
580,práca,job
617,spojiť,join
570,radosť,joy
700,skok,jump
129,len,just
221,udržať,keep
576,stále,kept
690,kľúč,key
657,zabiť,kill
84,druh,kind
349,kráľ,king
344,"vedel,",knew
189,vedieť,know
621,dáma,lady
659,jazero,lake
70,krajiny,land
399,jazyk,language
66,veľký,large
224,posledná,last
240,neskoro,late
379,smiech,laugh
730,zákon,law
482,ležal,lay
408,viesť,lead
213,učiť sa,learn
610,najmenej,least
321,odísť,leave
929,viedol,led
239,vľavo,left
562,noha,leg
516,dĺžka,length
474,menej,less
225,nechajte,let
293,list,letter
978,úroveň,level
745,lož,lie
248,život,life
848,výťah,lift
83,svetlo,light
164,ako,like
137,linka,line
894,kvapalina,liquid
310,zoznam,list
470,počúvať,listen
113,málo,little
109,žiť,live
777,vyhľadať,locate
895,prihlásiť,log
561,osamelý,lone
168,dlho,long
175,hľadať,look
635,stratil,lost
687,veľa,lot
662,hlasný,loud
487,láska,love
136,nízky,low
411,stroj,machine
108,z,made
909,magnet,magnet
273,hlavný,main
835,hlavné,major
169,aby,make
116,muž,man
159,veľa,many
493,mapa,map
291,značka,mark
878,trhu,market
932,hmotnosť,mass
851,majster,master
913,zápas,match
550,materiál,material
528,"ohľadu na to,",matter
195,mája,may
122,ma,me
142,stredná,mean
896,"znamenalo,",meant
323,opatrenia,measure
817,mäso,meat
704,spĺňajú,meet
601,melódie,melody
80,muži,men
709,kov,metal
672,metóda,method
656,stredná,middle
233,možno,might
295,míle,mile
670,mlieko,milk
591,miliónov,million
444,myseľ,mind
832,baňa,mine
441,minúta,minute
388,slečna,miss
631,mix,mix
769,moderné,modern
987,molekula,molecule
660,áska,moment
489,peniaze,money
590,mesiac,month
364,mesiac,moon
176,viac,more
475,ráno,morning
185,najviac,most
94,matka,mother
892,pohyb,motion
566,mount,mount
261,hora,mountain
606,v ústach,mouth
144,voria,move
141,veľa,much
352,násobiť,multiply
288,music,music
72,musí,must
187,my,my
126,názov,name
668,národ,nation
748,prírodné,natural
889,príroda,nature
96,blízkosti,near
802,potreby,necessary
900,krk,neck
86,potrebujú,need
806,sused,neighbor
223,nikdy,never
102,nový,new
277,ďalšie,next
246,noc,night
975,deväť,nine
184,nie,no
977,hluk,noise
767,poludnie,noon
947,ani,nor
250,sever,north
996,nos,nose
412,poznámka,note
353,nič,nothing
499,oznámenia,notice
418,podstatné meno,noun
199,teraz,now
182,číslo,number
328,číslica,numeral
360,objekt,object
664,pozorovať,observe
886,dôjsť,occur
438,oceán,ocean
30,z,of
85,oľvek,off
873,ponuka,offer
603,kancelária,office
292,často,often
435,ó,oh
626,olej,oil
147,starý,old
8,na,on
263,raz,once
14,jeden,one
114,iba,only
274,otvorené,open
760,prevádzka,operate
963,proti,opposite
27,alebo,or
338,objednávka,order
673,varhany,organ
865,originál,original
38,ďalšie,other
124,naše,our
37,out,out
188,cez,over
203,vlastné,own
901,kyslík,oxygen
204,strana,page
398,maľovať,paint
530,pár,pair
285,papier,paper
713,bod,paragraph
853,rodič,parent
104,časť,part
959,najmä,particular
774,strana,party
345,prejsť,pass
584,okolo,past
893,cesta,path
484,vzor,pattern
674,zaplatiť,pay
186,ľudia,people
510,možná,perhaps
782,obdobie,period
488,osoba,person
734,frázy,phrase
511,vybrať,pick
88,obrázok,picture
342,kus,piece
930,rozstup,pitch
107,miesto,place
302,prostý,plain
414,plán,plan
375,lietadlo,plane
827,planéta,planet
214,závod,plant
58,hrať,play
765,prosím,please
997,množné,plural
813,báseň,poem
93,bod,point
686,zlá,poor
880,naplniť,populate
65,prístav,port
320,predstavovať,pose
546,pozície,position
374,možné,possible
860,príspevok,post
423,libra,pound
402,výkon,power
761,praxe,practice
994,pripraviť,prepare
542,prítomný,present
244,stlačte tlačidlo,press
904,pekný,pretty
842,tlač,print
503,"pravdepodobné,",probable
341,problém,problem
759,proces,process
448,vyrábať,produce
325,produkt,product
871,vlastné,proper
985,nehnuteľnosti,property
766,chrániť,protect
560,ukázať,prove
795,poskytnúť,provide
497,ťahať,pull
711,push,push
61,dať,put
974,kvart,quart
331,otázka,question
436,rýchly,quick
680,tichý,quiet
653,celkom,quite
897,podiel,quotient
554,závod,race
784,rádio,radio
793,zábradlia,rail
494,dážď,rain
707,zvýšiť,raise
382,rán,ran
890,rozsah,range
809,skôr,rather
466,dosah,reach
63,čítať,read
306,pripravený,ready
247,skutočný,real
515,dôvod,reason
604,príjem,receive
370,záznam,record
309,červená,red
520,región,region
459,pamätať,remember
991,opakovanie,repeat
884,odpovedať,reply
517,predstavovať,represent
992,vyžadovať,require
420,ostatné,rest
722,výsledok,result
756,bohatý,rich
507,jazda,ride
145,právo,right
778,krúžok,ring
623,stúpať,rise
296,rieka,river
492,cesty,road
337,skala,rock
739,role,roll
256,izbu,room
705,koreň,root
935,lano,rope
840,ruže,rose
115,kolo,round
605,riadok,row
818,rub,rub
495,pravidlo,rule
241,beh,run
725,bezpečný,safe
47,uvedený,said
549,plachta,sail
995,soľ,salt
149,rovnaký,same
737,piesok,sand
572,satelitom,sat
648,uložiť,save
235,píla,saw
134,hovoria,say
661,stupnice,scale
209,škola,school
254,veda,science
926,skóre,score
237,more,sea
837,hľadanie,search
907,sezóna,season
949,sídlo,seat
300,druhej,second
676,časť,section
171,viď,see
615,semeno,seed
275,zdá sa,seem
874,segmentu,segment
988,vyberte,select
98,ja,self
954,predaj,sell
838,odoslať,send
750,zmysel,sense
640,poslal,sent
131,veta,sentence
762,samostatná,separate
490,slúžiť,serve
52,sada,set
523,usadiť,settle
712,sedem,seven
478,viac,several
715,musí,shall
385,tvar,shape
866,podiel,share
803,sharp,sharp
150,ona,she
856,list,sheet
899,škrupina,shell
984,lesk,shine
334,loď,ship
965,topánky,shoe
981,obchod,shop
854,pobrežie,shore
327,krátky,short
205,by,should
966,rameno,shoulder
612,kričať,shout
119,výstava,show
197,strana,side
284,pohľad,sight
582,znamenie,sign
735,tichý,silent
910,striebro,silver
923,podobný,similar
477,jednoduché,simple
346,od,since
469,spievať,sing
692,jednoposteľová,single
919,sestra,sister
553,sedieť,sit
471,šesť,six
521,veľkosť,size
905,zručnosť,skill
696,koža,skin
568,obloha,sky
875,otrok,slave
559,spánok,sleep
936,sklzu,slip
485,pomaly,slow
59,malé,small
945,vôňa,smell
697,úsmev,smile
391,sneh,snow
165,tak,so
585,mäkké,soft
738,pôda,soil
758,vojak,soldier
908,riešenie,solution
708,vyriešiť,solve
23,niektorí,some
658,syn,son
322,pieseň,song
315,čoskoro,soon
183,zvuk,sound
340,na juh,south
450,miesto,space
524,hovoriť,speak
443,špeciálny,special
888,reč,speech
671,rýchlosť,speed
67,kúzlo,spell
861,minúť,spend
785,lúče,spoke
844,miesto,spot
967,spread,spread
663,na jar,spring
514,námestí,square
202,stáť,stand
416,hviezda,star
232,štart,start
220,stáť,state
867,stanica,station
355,pobyt,stay
376,namiesto toho,stead
891,pary,steam
920,oceľ,steel
460,krok,step
693,palicu,stick
212,stále,still
681,kameň,stone
427,stál,stood
262,stop,stop
556,obchod,store
234,príbeh,story
666,rovný,straight
598,podivný,strange
822,prúd,stream
350,ulice,street
982,úsek,stretch
814,reťaz,string
442,silný,strong
772,študent,student
211,štúdie,study
519,predmet,subject
857,látka,substance
957,odčítanie,subtract
955,úspech,success
75,taký,such
512,náhly,sudden
914,prípona,suffix
902,cukor,sugar
618,navrhnúť,suggest
846,oblek,suit
557,leto,summer
217,slnko,sun
775,napájanie,supply
887,podpora,support
268,istý,sure
362,povrch,surface
679,prekvapenie,surprise
961,plávanie,swim
533,slabika,syllable
608,symbol,symbol
367,systém,system
472,tabuľka,table
447,chvost,tail
105,sa,take
313,diskusia,talk
736,vysoký,tall
430,učiť,teach
632,tím,team
898,zuby,teeth
50,povedať,tell
740,teplota,temperature
476,desať,ten
962,termín,term
369,skúška,test
191,ako,than
911,ďakujem,thank
4,že,that
29,biela,the
42,ich,their
161,je,them
160,potom,then
152,tu,there
166,tieto,these
11,sa,they
757,tučný,thick
825,tenký,thin
170,vec,thing
133,myslíte,think
714,tretej,third
16,tento,this
289,"tie,",those
311,hoci,though
226,myšlienka,thought
380,tisíc,thousand
53,tri,three
128,cez,through
983,hodiť,throw
797,teda,thus
833,kravata,tie
43,čas,time
682,tiny,tiny
392,pneumatika,tire
31,na,to
276,spolu,together
343,povedal,told
616,tón,tone
148,príliš,too
253,sa,took
942,náradie,tool
347,top,top
943,celkový,total
628,dotyk,touch
480,k,toward
403,mesto,town
852,dráha,track
600,obchod,trade
558,vlak,train
473,cestovanie,travel
228,strom,tree
826,trojuholník,triangle
602,výlet,trip
611,ťažkosť,trouble
976,truck,truck
455,pravda,true
89,skúste,try
819,trubka,tube
139,turn,turn
695,dvadsať,twenty
173,dva,two
729,typ,type
125,pod,under
401,jednotka,unit
294,do,until
154,up,up
90,us,us
155,použitie,use
304,zvyčajne,usual
946,údolie,valley
743,hodnota,value
522,kolísať,vary
468,sloveso,verb
127,veľmi,very
749,pohľad,view
703,obec,village
583,návšteva,visit
500,hlas,voice
479,samohláska,vowel
413,počkajte,wait
282,chodiť,walk
564,múr,wall
54,chcieť,want
481,vojna,war
439,teplý,warm
6,bol,was
807,pranie,wash
269,hodinky,watch
190,voda,water
538,vlna,wave
157,cesta,way
35,sme,we
637,oblečenie,wear
589,počasie,weather
431,týždeň,week
525,hmotnosť,weight
56,dobre,well
82,šiel,went
39,boli,were
463,západ,west
22,čo,what
356,kolesá,wheel
153,kedy,when
110,kde,where
710,či,whether
40,ktorý,which
243,zatiaľ čo,while
278,biela,white
194,kto,who
348,celá,whole
776,ktorého,whose
78,prečo,why
548,široký,wide
964,manželka,wife
574,divoký,wild
45,vôľa,will
937,víťazstvo,win
330,vietor,wind
555,okno,window
804,krídlo,wing
571,zimné,winter
633,drôt,wire
567,želanie,wish
10,s,with
799,žena,woman
906,ženy,women
378,"zaujímalo by ma,",wonder
752,nebude,won’t
272,drevo,wood
20,slovo,word
103,práca,work
95,svet,world
163,by,would
162,napísať,write
573,písomná,written
989,zle,wrong
614,napísal,wrote
622,dvore,yard
117,rok,year
839,žltá,yellow
394,áno,yes
537,ešte,yet
26,ste,you
305,mladý,young
156,vaše,your
