number,myanmar_(burmese),english
368,အလုပ်ရှုပ်သည်,busy
21,ဒါပေမဲ့,but
706,မဝယ်,buy
18,အားဖြင့်,by
192,ခေါ်ဝေါ်,call
118,လာကြ၏,came
969,စခန်း,camp
36,နိုင်,can
751,မြို့တော်,capital
800,ကပ္ပတိန်,captain
297,ကား,car
933,ကဒ်,card
299,ပြုစုစောင့်ရှောက်မှု,care
252,သယ်,carry
655,အမှု,case
726,ကြောင်,cat
565,ဖမ်း,catch
781,ဖမ်းမိ,caught
140,အကွောငျး,cause
508,ကလာပ်စည်း,cell
630,ရာခိုင်,cent
486,အလယ်ဗဟို,center
727,ရာစု,century
405,အချို့,certain
753,ကုလားထိုင်,chair
979,အခွင့်အလမ်း,chance
81,ပွောငျးလဲ,change
779,ဇာတ်ကောင်စရိုက်,character
870,တာဝန်ခံ,charge
952,ဇယား,chart
383,စစ်ဆေးခြင်း,check
881,ယင်း,chick
829,ကာကွယ်ရေးဦးစီးချုပ်,chief
665,ကလေး,child
279,ကလေးများ,children
641,ရှေးခယျြ,choose
862,ကြိုး,chord
529,အဝိုင်း,circle
227,မြို့,city
999,တောင်းဆိုမှု,claim
329,အမျိုးအစား,class
619,သန့်ရှင်းသော,clean
446,ရှင်းလင်းသော,clear
683,တက်,climb
831,နာရီ,clock
245,ပိတ်,close
597,အဝတ်နှင့်ဖုံးလွှမ်း,clothe
678,မိုဃ်းတိမ်သည်,cloud
732,ပင်လယ်ကမ်း,coast
931,ကုတ်အင်္ကျီ,coat
498,အအေး,cold
647,စုဝေး,collect
830,ကိုလိုနီ,colony
270,အရောင်,color
986,ကော်လံ,column
180,လာ,come
372,ဘုံ,common
956,ကုမ္ပဏီ,company
812,နှိုင်းယှဉ်ကြည့်,compare
333,ပြည့်စုံသော,complete
940,အခြေအနေ,condition
859,ဆက်,connect
728,စဉ်းစားပါ,consider
667,ဗျည်း,consonant
428,ပါဝင်,contain
1000,တိုက်,continent
950,ဆက်ပြီး,continue
649,ထိန်းချုပ်မှု,control
719,ချက်ပြုတ်,cook
684,အေးချမ်းသော,cool
733,မိတ္တူ,copy
811,ပြောင်းဖူး,corn
773,ထောင့်,corner
421,မှန်ကန်သော,correct
634,ကုန်ကျစရိတ်,cost
971,ဝါ,cotton
178,နိုင်,could
513,ရေတွက်,count
206,ပြည်,country
354,သင်တန်း,course
215,အဖုံး,cover
579,နွားမ,cow
698,တွန့်,crease
805,ဖန်တီး,create
768,အသီးအနှံ,crop
229,လက်ဝါးကပ်တိုင်,cross
810,လူစုလူဝေး,crowd
409,အော်ဟစ်,cry
847,ယခု,current
267,ဖြတ်,cut
868,အဖေ,dad
544,အကအခုန်,dance
754,အန္တရာယ်,danger
410,မှောင်မိုက်,dark
177,နေ့,day
843,သေသော,dead
960,စာချုပ်,deal
882,ချစ်လှစွာသော,dear
903,သေဆုံးခြင်း,death
361,ဆုံးဖြတ်,decide
650,ဆယ်လီ,decimal
363,နက်သော,deep
879,ဒီဂရီ,degree
816,မှီခို,depend
718,ဖေါ်ပြ,describe
845,သဲကန္တာရ,desert
685,ပုံစံ,design
973,သတ်မှတ်,determine
437,တိုးတက်,develop
669,အဘိဓါန်,dictionary
181,ပြု.,did
609,သေဆုံး,die
138,ကွဲပြားခြားနား,differ
763,ခက်ခဲ,difficult
319,ညွှန်ပြ,direct
921,ဆွေးနွေး,discuss
395,ဝေးကွာသော,distant
532,သွေးခွဲ,divide
855,အချင်းချင်းကွဲပြားခြင်း,division
41,ပြုပါ,do
764,ဆရာဝန်,doctor
51,မ,does
317,ခှေး,dog
921,ဒေါ်လာစျေး,dollar
424,အဖေပြီးအောင်,done
242,မလုပ်ပါနှင့်,don’t
324,တံခါးပေါက်,door
948,ကို double,double
196,ဆင်း,down
238,မဲ,draw
938,အိပ်မက်,dream
677,အဝတ်အစား,dress
885,သောက်စရာ,drink
426,မောင်း,drive
539,တစ်စက်,drop
377,ခြောက်သွေ့သော,dry
876,ဘဲ,duck
456,စဉ်အတွင်း,during
49,တစ်ခုချင်းစီ,each
651,နား,ear
461,စောစော,early
99,မြေကြီးပေါ်မှာ,earth
284,ငြိမ်ဝပ်စွာနေ,ease
397,အရှေ့,east
255,စား,eat
581,အစပ်,edge
789,အကျိုး,effect
506,ကြက်ဥ,egg
702,ရှစ်,eight
721,ဖြစ်စေ,either
790,လျှပ်စစ်,electric
770,ဓါတ်,element
652,အခြားမည်,else
60,အဆုံး,end
883,ရန်သူ,enemy
501,အင်အား,energy
545,အင်ဂျင်ကို,engine
301,လုံလောက်သော,enough
834,ဝင်ရောက်,enter
639,တူညီသော,equal
386,တူညီနေသည်,equate
915,အထူးသဖြင့်,especially
69,ပင်,even
939,ညနေ,evening
958,အဖြစ်အပျက်,event
308,အစဉ်,ever
120,တိုင်း,every
607,အတိအကျ,exact
283,နမူနာ,example
613,မှတပါး,except
747,excite,excite
563,လေ့ကျင့်,exercise
791,မြျှောလငျ့,expect
925,အတွေ့အကြုံ,experience
688,စမ်းသပ်မှု,experiment
222,မျက်စိ,eye
271,မျက်နှာ,face
449,အချက်အလက်,fact
645,တရားမျှတတဲ့,fair
407,ကျ,fall
318,မိသားစု,family
820,ကျော်ကြား,famous
236,ဝေးလံသော,far
230,လယ်ယာ,farm
467,လျင်မြန်စွာ,fast
863,ဆီ,fat
100,ဖခင်,father
858,ကြေးဇူး,favor
823,ကြောက်လန့်,fear
941,အစာ,feed
312,ခံစား,feel
298,ခြေဘဝါးတော်,feet
642,လဲကျ,fell
534,ခံစားခဲ့ရ,felt
249,နည်းသော,few
419,လယ်ယာ,field
916,သဖန်းသီး,fig
744,တိုကျပှဲ,fight
415,ဂဏန်း,figure
396,ဖြည့်,fill
432,ဖိုင်နယ်,final
200,ရှာတွေ့,find
404,ကောင်းသော,fine
741,လက်ညှိုးထိုး,finger
593,အပြီးသတ်,finish
339,မီး,fire
193,ပဌမ,first
260,ငါး,fish
643,မထိုက်မတန်,fit
458,ငါး,five
694,ပြားချပ်ချပ်,flat
720,အထပ်,floor
644,စီးဆင်း,flow
596,ပန်း,flower
406,ယင်ကောင်,fly
76,လိုက်,follow
216,အစာ,food
366,ခြေလျင်,foot
7,အတွက်,for
358,အင်အား,force
552,သစ်တော,forest
130,ပုံသဏ္ဌာန်,form
922,ရှေ့သို့,forward
207,တွေ့ရှိ,found
218,လေး,four
551,အစိတ်အပိုင်း,fraction
440,အခမဲ့,free
836,လတ်ဆတ်သော,fresh
257,မိတ်ဆွေ,friend
17,မှ,from
429,ရှေ့,front
755,အသီး,fruit
357,ပြည့်သော,full
586,ပျော်စရာ,fun
384,ဂိမ်း,game
638,ဥယျာဉ်,garden
588,ဓာတ်ငွေ့,gas
980,စုရုံး,gather
433,ကိုပေး၏,gave
526,ယေဘုယျ,general
798,နူးညံ့သိမ်မွေ့,gentle
106,ရယူ,get
303,မိန်းကလေး,girl
123,ပေး,give
864,ဝမ်းမြောက်ခြင်း,glad
577,ဖန်ခွက်,glass
179,သွား,go
373,ရွှေစင်,gold
599,သွားကြောင်း,gone
121,ကောင်းသော,good
281,တယ်,got
496,အုပ်ချုပ်,govern
535,ခမ်းနားကြီးကျယ်,grand
578,မြက်,grass
990,မီးခိုးရောင်,gray
132,ကြီးမားသော,great
434,စိမ်းလန်းသော,green
629,ကြီးပြင်းလာ,grew
464,မြေပြင်,ground
286,အစု,group
210,ကြီးထွား,grow
801,တှေးဆ,guess
924,လမ်းညွှန်,guide
840,သေနတ်,gun
28,ရှိခဲ့,had
717,ဆံပင်,hair
336,တဝက်,half
64,လက်,hand
332,ဖြစ်ပျက်,happen
594,မင်္ဂလာရှိသော,happy
231,ခိုင်မာသော,hard
174,ရှိပါတယ်,has
953,ဦးထုပ်,hat
15,ရှိ,have
5,သူ,he
201,ဦးခေါင်း,head
265,ကြား,hear
451,ကြားလျှင်,heard
540,နှလုံး,heart
390,အပူ,heat
543,လေးလံသော,heavy
716,ကျင်းပ,held
135,ကူညီကြပါ,help
167,သူမ၏,her
71,ဒီမှာ,here
74,မြင့်သော,high
724,တောင်တော်,hill
172,သူ့ကို,him
3,သူ၏,his
788,သမိုင်း,history
771,ထိုး,hit
462,ကိုင်,hold
699,အပေါက်,hole
62,နေအိမ်,home
595,မျှော်လင့်ချက်,hope
266,မြင်း,horse
19,ပူသော,hot
387,ပူသော,hot
453,နာရီ,hour
87,အိမ်,house
46,ဘယ်လိုလဲ,how
918,ကြီးမားသော,huge
787,လူ့,human
457,တရာ,hundred
502,အမဲလိုက်ခြင်း,hunt
828,အလျင်စလို,hurry
2,ကျွန်တော်,i
527,ရေခဲ,ice
259,စိတ်ကူး,idea
44,အကယ်.,if
794,စိတ်ကူး,imagine
34,တွင်,in
351,လက်မ,inch
531,ပါဝင်,include
783,ညွှန်ပြ,indicate
742,စက်မှုလုပ်ငန်း,industry
780,ပိုးကောင်,insect
877,ခဏ,instant
575,တူရိယာ,instrument
465,ဝါသနာ,interest
970,တီထွင်,invent
691,သံ,iron
24,ဖြစ်,is
365,ကျွန်း,island
25,က,it
580,အလုပ်,job
617,ပူးပေါင်း,join
570,ဝမ်းမြောက်သောစိတ်,joy
700,ခုန်,jump
129,့,just
221,သိုထား,keep
576,ထားရှိမည်,kept
690,သော့,key
657,သတ်ဖြတ်,kill
84,အမျိုးအစား,kind
349,မင်းကြီးသည်,king
344,သိ.,knew
189,သိ,know
621,အမျိုးသမီး,lady
659,အင်းအိုင်,lake
70,မြေယာ,land
399,ဘာသာစကား,language
66,ကြီးမားတဲ့,large
224,နောက်ဆုံး,last
240,နောက်ကျ,late
379,ရယ်မော,laugh
730,ပညတ္တိကျမ်း,law
482,ချထား,lay
408,ခဲ,lead
213,သင်ကြား,learn
610,အနည်းဆုံး,least
321,ထွက်သွား,leave
929,အယ်လ်အီးဒီ,led
239,လက်ဝဲဘက်,left
562,ခြေထောက်,leg
516,အရှည်,length
474,နည်းသော,less
225,ကုန်အံ့,let
293,စာ,letter
978,အဆင့်,level
745,မုသား,lie
248,အသက်,life
848,ဓာတ်လှေကား,lift
83,အလင်း,light
164,ကဲ့သို့,like
137,လိုင်း,line
894,အရည်,liquid
310,စာရင်း,list
470,နားထောင်,listen
113,အနည်းငယ်,little
109,အသက်ရှင်သော,live
777,နေရာချထား,locate
895,တုံး,log
561,lone,lone
168,ရှည်လျားသော,long
175,ကြည့်ရှု,look
635,ပျောက်ဆုံး,lost
687,အများကြီး,lot
662,အသံကျယ်သော,loud
487,ချစ်ခြင်းမေတ္တာ,love
136,နိမ့်ကျ,low
411,စက်ယန္တရား,machine
108,ဖန်ဆင်းတော်,made
909,သံလိုက်,magnet
273,အဓိက,main
835,ဗိုလ်မှူး,major
169,အောင်,make
116,ယောက်ျား,man
159,များသော,many
493,မြေပုံကို,map
291,အမှတ်,mark
878,ဈေးကွက်,market
932,အစုလိုက်အပြုံလိုက်,mass
851,မာစတာ,master
913,မီးခြစ်,match
550,ပစ္စည်း,material
528,ကိစ္စ,matter
195,နိုင်,may
122,အကြှနျုပျ,me
142,ဆိုလို,mean
896,ရည်ရွယ်,meant
323,တိုင်းတာ,measure
817,အသား,meat
704,ဆုံ,meet
601,တေးသွား,melody
80,ယောက်ျား,men
709,သတ္တုဒြပ်စင်,metal
672,နည်းလမ်း,method
656,အလယ်,middle
233,အစွမ်းသတ္တိ,might
295,မိုင်,mile
670,နို့,milk
591,သန်း,million
444,စိတ်ကို,mind
832,သတ္တုတွင်း,mine
441,မိနစ်,minute
388,လွမ်း,miss
631,ရောနှော,mix
769,ခေတ်သစ်,modern
987,မော်လီကျူး,molecule
660,တခဏ,moment
489,ပိုက်ဆံ,money
590,လ,month
364,လ,moon
176,နောက်ထပ်,more
475,နံနက်,morning
185,အများဆုံး,most
94,မိခင်,mother
892,ရွေ့လျားမှု,motion
566,တောင်ပေါ်မှာ,mount
261,တောင်,mountain
606,ပါးစပ်,mouth
144,လှုပ်ရှား,move
141,အလွန်,much
352,များပြား,multiply
288,ဂီတ,music
72,ရ,must
187,ငါ့,my
126,နာမကို,name
668,လူမျိုးသည်,nation
748,သဘာဝက,natural
889,သဘာဝ,nature
96,အနား,near
802,လိုအပ်သော,necessary
900,လည်ပင်း,neck
86,လိုအပ်,need
806,အိမ်နီးချင်း,neighbor
223,ဘယ်တော့မှမ,never
102,အသစ်,new
277,နောက်တစ်ခု,next
246,ည,night
975,ကိုး,nine
184,အဘယ်သူမျှမ,no
977,ဆူညံသံ,noise
767,မွန်းတည့်,noon
947,မသာ,nor
250,မြောက်ဘက်သို့,north
996,နှာခေါင်း,nose
412,မှတ်ချက်,note
353,အဘယ်အရာကိုမျှ,nothing
499,အသိပေးစာ,notice
418,နာမ်,noun
199,ယခု,now
182,ဂဏန်း,number
328,ဂဏန်း,numeral
360,ကန့်ကွက်,object
664,စောင့်ရှောက်,observe
886,ဖြစ်ပျက်,occur
438,သမုဒ္ဒရာ,ocean
30,၏,of
85,သွား,off
873,ပေးကမ်း,offer
603,ရုံး,office
292,ခဏခဏ,often
435,oh,oh
626,ဆီ,oil
147,အဟောင်း,old
8,အပေါ်,on
263,တခါ,once
14,တစ်,one
114,သာ,only
274,ဖွင့်လှစ်,open
760,လည်ပတ်,operate
963,ဆန့်ကျင်ဘက်,opposite
27,သို့မဟုတ်,or
338,အစီအစဉ်,order
673,ကိုယ်အင်္ဂါ,organ
865,မူရင်း,original
38,အခြား,other
124,ကျွန်တော်တို့၏,our
37,ထုတ်,out
188,ကျော်,over
203,ပိုင်ဆိုင်,own
901,အောက်စီဂျင်,oxygen
204,စာမျက်နှာ,page
398,ဆေးသုတ်,paint
530,လင်မယား,pair
285,စက္ကူ,paper
713,စာပိုဒ်,paragraph
853,မိဘတစ်,parent
104,အပိုင်း,part
959,အထူးသဖြင့်,particular
774,ပါတီ,party
345,သွား,pass
584,အတိတ်,past
893,လမ်းကြောင်းကို,path
484,ပုံစံ,pattern
674,အခပေး,pay
186,လူထု,people
510,ဖြစ်ကောင်းဖြစ်နိုင်,perhaps
782,ကာလ,period
488,လူ,person
734,ထားသောစာပိုဒ်တိုများ,phrase
511,ခူး,pick
88,ရုပ်ပုံ,picture
342,အပိုင်းအစ,piece
930,ကတ္တရာစေး,pitch
107,နေရာ,place
302,လွင်ပြင်,plain
414,စီမံကိန်း,plan
375,လေယာဉ်သည်,plane
827,ဂြိုဟ်,planet
214,စက်ရုံ,plant
58,ကစား,play
765,ကျေးဇူးပြု,please
997,၏အများကိန်း,plural
813,ကဗျာတစ်ပုဒ်,poem
93,အမှတ်,point
686,ဆင်းရဲသော,poor
880,နေထိုင်စေ,populate
65,port ကို,port
320,ရှိုး,pose
546,အနေအထား,position
374,ဖြစ်နိုင်သော,possible
860,တိုင်,post
423,ပေါင်,pound
402,စွမ်းအား,power
761,အလေ့အကျင့်,practice
994,ပြင်ဆင်ထား,prepare
542,လက်ဆောင်,present
244,စာနယ်ဇင်းများ,press
904,လှပသော,pretty
842,ပုံနှိပ်,print
503,ဖြစ်နိုင်ခြေ,probable
341,ပြဿနာ,problem
759,ဖြစ်စဉ်,process
448,ဟင်းသီးဟင်းရွက်,produce
325,ထုတ်ကုန်,product
871,သင့်လျော်သော,proper
985,ပစ္စည်းဥစ္စာပိုင်ဆိုင်မှု,property
766,ကာကွယ်,protect
560,သက်သေပြ,prove
795,ပေး,provide
497,ဆွဲပါ,pull
711,တွန်း,push
61,ထား,put
974,ဆေးမြီးတို,quart
331,မေးခွန်း,question
436,မြန်ဆန်ပြီး,quick
680,တိတ်ဆိတ်သော,quiet
653,လုံးလုံး,quite
897,လဒ်,quotient
554,လူမျိုး,race
784,ရေဒီယို,radio
793,ရထားလမ်း,rail
494,မိုးရေ,rain
707,မြှင့်တင်,raise
382,ပြေး,ran
890,အကွာအဝေး,range
809,ထက်,rather
466,ရောက်ရှိ,reach
63,ဖတ်,read
306,အသင့်ရှိ,ready
247,စစ်မှန်သော,real
515,အကွောငျးရငျး,reason
604,ခံယူ,receive
370,စံချိန်,record
309,နီသော,red
520,ဒေသ,region
459,သတိရ,remember
991,ထပ်,repeat
884,ပြန်ကြားချက်,reply
517,ကိုယ်စားပြု,represent
992,တောင်းဆို,require
420,အနားယူ,rest
722,ရလဒ်,result
756,ကြွယ်ဝသော,rich
507,စီးနင်း,ride
145,မှန်သော,right
778,လက်စွပ်,ring
623,တက်,rise
296,မြစ်,river
492,လမ်း,road
337,ကျောက်လုံးကြီး,rock
739,အလိပ်,roll
256,အခန်း,room
705,အမြစ်,root
935,ကြိုး,rope
840,နှင်းဆီ,rose
115,လှည့်လည်,round
605,အတန်း,row
818,ပွတ်တိုက်,rub
495,အုပ်ချုပ်,rule
241,ပွေးသှား,run
725,ဘေးကင်းလုံခြုံ,safe
47,ကပြောပါတယ်,said
549,ရွက်,sail
995,ဆား,salt
149,တူညီတဲ့,same
737,သဲ,sand
572,sat,sat
648,ကယ်ဆယ်,save
235,လွှ,saw
134,ပြော,say
661,စကေး,scale
209,ကြောငျး,school
254,သိပ္ပံပညာရပ်,science
926,နိုင်ပြီ,score
237,ပင်လယ်,sea
837,ရှာဖွေရေး,search
907,ရာသီ,season
949,ထိုင်ခုံ,seat
300,ဒုတိယ,second
676,အပိုင်း,section
171,မြင်,see
615,အစေ့,seed
275,ထင်ရ,seem
874,မြွှာ,segment
988,ကိုရွေးပါ,select
98,မိမိ,self
954,ရောင်းချ,sell
838,ပေးပို့,send
750,အာရုံ,sense
640,စေလွှတ်,sent
131,ဝါကျ,sentence
762,သီးခြား,separate
490,အစေခံ,serve
52,အစုံ,set
523,စေ့စပ်,settle
712,ခုနှစ်,seven
478,အတော်ကြာ,several
715,မည်,shall
385,ပုံသဏ္ဌာန်,shape
866,ဝေစု,share
803,ထက်သော,sharp
150,သူမ,she
856,စာရွက်,sheet
899,shell ကို,shell
984,တောက်ပ,shine
334,သငေ်္ဘာ,ship
965,ဖိနပ်,shoe
981,ကုန်ဆိုင်,shop
854,ကမ်း,shore
327,တိုတောင်းသော,short
205,သင့်,should
966,ပခုံး,shoulder
612,အော်,shout
119,ပြသ,show
197,ဘက်,side
284,မျက်မှောက်,sight
582,အမှတ်လက္ခဏာ,sign
735,အသံတိတ်,silent
910,ငွေကို,silver
923,အလားတူ,similar
477,လွယ်ကူသော,simple
346,မှစ.,since
469,sing,sing
692,တခုတည်းသော,single
919,အစ်မ,sister
553,ထိုင်,sit
471,ခွောကျ,six
521,အရွယ်,size
905,ကျွမ်းကျင်မှု,skill
696,အသားအရေ,skin
568,မိုးကောင်းကင်,sky
875,ကျွန်,slave
559,အိပ်,sleep
936,စလစ်,slip
485,နှေးသော,slow
59,သေးငယ်သော,small
945,အနံ့,smell
697,ပွုံးရယျ,smile
391,မိုးပွင့်,snow
165,ဒါကြောင့်,so
585,ပျော့ပျောင်း,soft
738,မြေဆီလွှာ,soil
758,စစ်သား,soldier
908,ဖြေရှင်းချက်,solution
708,ဖြေရှင်းပေး,solve
23,အချို့သော,some
658,သား,son
322,သီချင်း,song
315,မကြာမီ,soon
183,သံကို,sound
340,တောင်,south
450,အာကာသ,space
524,စကားပြော,speak
443,အထူး,special
888,မိန့်ခွန်း,speech
671,အရှိန်,speed
67,စာလုံးပေါင်း,spell
861,သုံးစှဲ,spend
785,စကားပြော,spoke
844,အစက်,spot
967,ပျံ့နှံ့,spread
663,စိမ့်စမ်း,spring
514,စတုရန်းလေးထောင့,square
202,ရပ်နေ,stand
416,ကြယ်,star
232,စတင်,start
220,ပြည်နယ်,state
867,ဘူတာရုံ,station
355,နေခြင်း,stay
376,ခမည်းတော်အရာ၌,stead
891,ရေနွေးငွေ့,steam
920,သံမဏိ,steel
460,လှမ်း,step
693,တုတ်,stick
212,ဆဲ,still
681,ကျောက်သည်,stone
427,ရပ်နေကြ၏,stood
262,ရပ်,stop
556,စတိုးဆိုင်,store
234,ဇာတ်လမ်း,story
666,တည့်တည့်,straight
598,ထူးဆန်းတဲ့,strange
822,စမ်းချောင်း,stream
350,လမ်း,street
982,ဆန့်,stretch
814,ကြိုး,string
442,အားကြီးသော,strong
772,ကျောင်းသား,student
211,လေ့လာ,study
519,ဘာသာရပ်,subject
857,ပစ္စည်းဥစ္စာ,substance
957,အနုတ်,subtract
955,အောင်မြင်ခြင်း,success
75,ထိုကဲ့သို့သော,such
512,ရုတ်တရက်,sudden
914,နောက်ဆက်,suffix
902,သကြား,sugar
618,အကြံပြု,suggest
846,ဝတ်စုံ,suit
557,နွေရာသီ,summer
217,နေ,sun
775,ပေးသွင်း,supply
887,ထောက်ပံ့,support
268,သေချာ,sure
362,မျက်နှာပြင်,surface
679,အံ့သြ,surprise
961,ရေကူး,swim
533,syllable,syllable
608,အထိမ်းအမှတ်,symbol
367,စံနစ်,system
472,စားပှဲ,table
447,အမြီး,tail
105,ယူ,take
313,ဆွေးနွေးချက်,talk
736,မြင့်သော,tall
430,သင်ပေး,teach
632,အဖွဲ့,team
898,အံသွားခဲ,teeth
50,ပြောပြ,tell
740,အပူအအေး,temperature
476,ဆယ်,ten
962,သက်တမ်း,term
369,စမ်းသပ်,test
191,ထက်,than
911,ကျေးဇူးတင်,thank
4,ထို,that
29,ထို,the
42,သူတို့၏,their
161,သူတို့ကို,them
160,ထိုအခါ,then
152,ဟိုမှာ,there
166,ဤ,these
11,သူတို့,they
757,ထူသော,thick
825,ပိန်သော,thin
170,အရာ,thing
133,ထင်,think
714,တတိယ,third
16,ဤ,this
289,ထို,those
311,သော်လည်း,though
226,စိတ်ထင်,thought
380,တထောင်,thousand
53,သုံး,three
128,ဖြတ်.,through
983,ပစ်,throw
797,ထိုသို့,thus
833,လည်စည်း,tie
43,အချိန်,time
682,အလွန်သေးငယ်သော,tiny
392,တာယာ,tire
31,သို့,to
276,အတူတူ,together
343,သို့ပြောသည်,told
616,အသံ,tone
148,လွန်း,too
253,ကိုယူ,took
942,ဒီ tool,tool
347,ထိပ်တန်း,top
943,စုစုပေါင်း,total
628,တို့,touch
480,ကို,toward
403,မြို့,town
852,အရာ,track
600,ကုန်သွယ်,trade
558,မီးရထား,train
473,ခရီးသွား,travel
228,သစ်ပင်,tree
826,တြိဂံ,triangle
602,ခရီးစဉ်,trip
611,ဒုက္ခ,trouble
976,ထရပ်ကား,truck
455,စစ်မှန်တဲ့,true
89,ကြိုးစား,try
819,ပြွန်,tube
139,အလှည့်,turn
695,နှစ်ဆယ်,twenty
173,နှစ်,two
729,ပုံစံ,type
125,အောက်,under
401,ယူနစ်,unit
294,သည်အထိ,until
154,တက်,up
90,ကျွန်တော်တို့ကို,us
155,အသုံးပြု,use
304,ခါတိုင်းလို,usual
946,တောင်ကြား,valley
743,အဘိုး,value
522,ကွဲပြားခြားနား,vary
468,ကြိယာ,verb
127,အလွန်,very
749,အမြင်,view
703,ရွာ,village
583,အလည်အပတ်,visit
500,အသံ,voice
479,သရသံ,vowel
413,စောင့်,wait
282,လမျးလြှောကျသှား,walk
564,နံရံ,wall
54,အလိုရှိ,want
481,စစ်,war
439,ပူနွေးသော,warm
6,ခဲ့,was
807,ရေချိုး,wash
269,အစောင့်,watch
190,ရေ,water
538,လှိုငျး,wave
157,လမ်း,way
35,ကျွန်တော်တို့,we
637,ဝတ်ဆင်,wear
589,ရာသီဥတုက,weather
431,ရက်သတ္တပတ်,week
525,အလေးချိန်,weight
56,ကောင်းစွာ,well
82,သွားလေ၏,went
39,ခဲ့ကြတယ်,were
463,အနောက်,west
22,ဘာလဲ,what
356,ဘီး,wheel
153,ဘယ်တော့လဲ,when
110,ဘယ်မှာ,where
710,ဖြစ်စေ,whether
40,အရာ,which
243,စဉ်,while
278,အဖြူ,white
194,အဘယ်သူသည်,who
348,အလုံးစုံ,whole
776,မည်သူ၏,whose
78,အဘယ်ကြောင့်,why
548,ကျယ်ဝန်းသော,wide
964,ဇနီး,wife
574,ရိုင်းသော,wild
45,လိမ့်မည်,will
937,အောင်မြင်,win
330,လေတိုက်,wind
555,ပြတင်းပေါက်,window
804,အတောင်,wing
571,ဆောင်းတွင်း,winter
633,ဝါယာကြိုး,wire
567,အလို,wish
10,နှင့်,with
799,မိန်းမ,woman
906,အမျိုးသမီးများ,women
378,အံ့ဘွယ်သောအမှု,wonder
752,မသွားဘူး,won’t
272,သစ်သား,wood
20,စကားလုံး,word
103,အလုပ်,work
95,ကမ္ဘာ,world
163,အလိုတခုတည်း,would
162,ရေးသား,write
573,ကျမ်းစာ၌လာသည်,written
989,မှားသော,wrong
614,ရေးသားခဲ့သည်,wrote
622,ခြံထဲမှာ,yard
117,ခုနှစ်,year
839,ဝါသော,yellow
394,ဟုတ်ကဲ့,yes
537,သေး,yet
26,ခင်ဗျား,you
305,ငယ်ရွယ်,young
156,သင့်,your
