number,korean,english
823,무서움,fear
941,먹이,feed
312,느낌,feel
298,피트,feet
642,하락,fell
534,느낌,felt
249,조금,few
419,필드,field
916,그림,fig
744,싸움,fight
415,그림,figure
396,입력,fill
432,최종,final
200,발견,find
404,잘,fine
741,손가락,finger
593,끝,finish
339,화재,fire
193,첫째,first
260,물고기,fish
643,적합,fit
458,오,five
694,플랫,flat
720,바닥,floor
644,흐름,flow
596,꽃,flower
406,비행,fly
76,따라,follow
216,음식,food
366,발,foot
7,에 대한,for
358,힘,force
552,숲,forest
130,양식,form
922,앞으로,forward
207,발견,found
218,네,four
551,분수,fraction
440,무료,free
836,신선한,fresh
257,친구,friend
17,부터,from
429,앞,front
755,과일,fruit
357,전체,full
586,재미,fun
384,게임,game
638,정원,garden
588,가스,gas
980,수집,gather
433,준,gave
526,일반,general
798,부드러운,gentle
106,도착,get
303,소녀,girl
123,제공,give
864,다행,glad
577,유리,glass
179,이동,go
373,금,gold
599,사라,gone
121,좋은,good
281,있어,got
496,적용,govern
535,그랜드,grand
578,잔디,grass
990,회색,gray
132,큰,great
434,녹색,green
629,성장,grew
464,지상,ground
286,그룹,group
210,성장,grow
801,추측,guess
924,가이드,guide
840,총,gun
28,했다,had
717,머리,hair
336,반,half
64,손,hand
332,일,happen
594,행복,happy
231,단단한,hard
174,이,has
953,모자,hat
15,이,have
5,그,he
201,머리,head
265,듣다,hear
451,들어,heard
540,마음,heart
390,열,heat
543,무거운,heavy
716,개최,held
135,도움,help
167,그녀의,her
71,여기,here
74,높은,high
724,언덕,hill
172,그,him
3,그의,his
788,역사,history
771,히트,hit
462,개최,hold
699,구멍,hole
62,홈,home
595,기대,hope
266,말,horse
19,뜨거운,hot
387,뜨거운,hot
453,시간,hour
87,집,house
46,방법,how
918,거대한,huge
787,인간,human
457,백,hundred
502,사냥,hunt
828,서둘러,hurry
2,나는,i
527,얼음,ice
259,아이디어,idea
44,면,if
794,상상,imagine
34,에,in
351,인치,inch
531,포함,include
783,표시,indicate
742,산업,industry
780,곤충,insect
877,인스턴트,instant
575,악기,instrument
465,관심,interest
970,발명하다,invent
691,철,iron
24,이다,is
365,섬,island
25,그,it
580,작업,job
617,가입,join
570,즐거움,joy
700,점프,jump
129,단지,just
221,유지,keep
576,유지,kept
690,키,key
657,죽,kill
84,종류,kind
349,왕,king
344,알고,knew
189,알고,know
621,아가씨,lady
659,호수,lake
70,땅,land
399,언어,language
66,큰,large
224,마지막,last
240,후반,late
379,웃음,laugh
730,법,law
482,누워,lay
408,지도,lead
213,학습,learn
610,이상,least
321,떠나,leave
929,주도,led
239,왼쪽,left
562,다리,leg
516,길이,length
474,이하,less
225,하자,let
293,편지,letter
978,수준,level
745,거짓말,lie
248,생활,life
848,리프트,lift
83,빛,light
164,같은,like
137,온라인,line
894,액체,liquid
310,표,list
470,청취,listen
113,작은,little
109,살고있다,live
777,위치,locate
895,로그인,log
561,고독한,lone
168,긴,long
175,봐,look
635,손실,lost
687,많은,lot
662,큰 소리로,loud
487,사랑,love
136,낮은,low
411,기계,machine
108,만든,made
909,자석,magnet
273,주,main
835,주요,major
169,확인,make
116,사람,man
159,많은,many
493,지도,map
291,마르크,mark
878,시장,market
932,질량,mass
851,마스터,master
913,경기,match
550,재료,material
528,문제,matter
195,수도,may
122,나를,me
142,의미,mean
896,의미,meant
323,측정,measure
817,고기,meat
704,대회,meet
601,멜로디,melody
80,남자,men
709,금속,metal
672,방법,method
656,중간,middle
233,수도,might
295,마일,mile
670,우유,milk
591,만,million
444,마음,mind
832,내,mine
441,분,minute
388,미스,miss
631,혼합,mix
769,현대,modern
987,분자,molecule
660,순간,moment
489,돈,money
590,개월,month
364,달,moon
176,더,more
475,아침,morning
185,가장,most
94,어머니,mother
892,모션,motion
566,마운트,mount
261,산,mountain
606,입,mouth
144,움직임,move
141,많은,much
352,곱,multiply
288,음악,music
72,해야,must
187,내,my
126,이름,name
668,국민,nation
748,자연,natural
889,자연,nature
96,가까운,near
802,필요,necessary
900,목,neck
86,필요가있다,need
806,이웃,neighbor
223,결코,never
102,새로운,new
277,다음,next
246,밤,night
975,구,nine
184,없음,no
977,잡음,noise
767,정오,noon
947,도,nor
250,북,north
996,코,nose
412,주의,note
353,아무것도,nothing
499,예고,notice
418,명사,noun
199,지금,now
182,수,number
328,숫자,numeral
360,객체,object
664,관찰,observe
886,발생,occur
438,대양,ocean
30,의,of
85,오프,off
873,제안,offer
603,사무실,office
292,자주,often
435,오,oh
626,기름,oil
147,늙은,old
8,에,on
263,한 번,once
14,일,one
114,만,only
274,오픈,open
760,운영,operate
963,정반대의,opposite
27,또는,or
338,주문,order
673,기관,organ
865,원래,original
38,다른,other
124,우리의,our
37,아웃,out
188,이상,over
203,자신의,own
901,산소,oxygen
204,페이지,page
398,페인트,paint
530,쌍,pair
285,종이,paper
713,단락,paragraph
853,부모,parent
104,일부,part
959,특히,particular
774,파티,party
345,통과,pass
584,지난,past
893,경로,path
484,패턴,pattern
674,지불,pay
186,사람들,people
510,어쩌면,perhaps
782,기간,period
488,사람,person
734,문구,phrase
511,선택,pick
88,사진,picture
342,조각,piece
930,피치,pitch
107,장소,place
302,일반,plain
414,계획,plan
375,비행기,plane
827,행성,planet
214,공장,plant
58,재생,play
765,제발,please
997,복수,plural
813,시,poem
93,포인트,point
686,가난한,poor
880,웁니다,populate
65,포트,port
320,포즈,pose
546,위치,position
374,가능한,possible
860,포스트,post
423,파운드,pound
402,힘,power
761,연습,practice
994,준비,prepare
542,현재,present
244,키를 누릅니다,press
904,꽤,pretty
842,인쇄,print
503,가능성,probable
341,문제,problem
759,과정,process
448,생산,produce
325,제품,product
871,적절한,proper
985,등록,property
766,보호,protect
560,증명,prove
795,제공,provide
497,당겨,pull
711,푸시,push
61,넣어,put
974,쿼트,quart
331,질문,question
436,빨리,quick
680,조용한,quiet
653,아주,quite
897,지수,quotient
554,레이스,race
784,라디오,radio
793,레일,rail
494,비,rain
707,인상,raise
382,실행,ran
890,범위,range
809,오히려,rather
466,범위,reach
63,읽기,read
306,준비된,ready
247,실제,real
515,이유,reason
604,수신,receive
370,기록,record
309,빨간색,red
520,지역,region
459,기억,remember
991,반복,repeat
884,응답,reply
517,대표,represent
992,필요,require
420,나머지,rest
722,결과,result
756,풍부한,rich
507,타고,ride
145,바로,right
778,링,ring
623,상승,rise
296,강,river
492,도로,road
337,바위,rock
739,롤,roll
256,방,room
705,루트,root
935,로프,rope
840,장미,rose
115,둥근,round
605,행,row
818,문지,rub
495,규칙,rule
241,실행,run
725,안전한,safe
47,말했다,said
549,항해,sail
995,소금,salt
149,동일,same
737,모래,sand
572,토,sat
648,저장,save
235,톱,saw
134,말,say
661,규모,scale
209,학교,school
254,과학,science
926,점수,score
237,바다,sea
837,검색,search
907,시즌,season
949,좌석,seat
300,초,second
676,섹션,section
171,참조,see
615,씨앗,seed
275,것,seem
874,세그먼트,segment
988,선택,select
98,자기,self
954,판매,sell
838,보내,send
750,의미,sense
640,전송,sent
131,문장,sentence
762,별도의,separate
490,봉사,serve
52,세트,set
523,정착,settle
712,일곱,seven
478,여러,several
715,하여야한다,shall
385,모양,shape
866,주,share
803,날카로운,sharp
150,그녀,she
856,시트,sheet
899,쉘,shell
984,광택,shine
334,배,ship
965,신발,shoe
981,상점,shop
854,해안,shore
327,짧은,short
205,해야,should
966,어깨,shoulder
612,소리,shout
119,쇼,show
197,측면,side
284,시력,sight
582,로그인,sign
735,침묵,silent
910,실버,silver
923,비슷한,similar
477,간단한,simple
346,이후,since
469,노래,sing
692,단일,single
919,자매,sister
553,앉아,sit
471,육,six
521,크기,size
905,기술,skill
696,피부,skin
568,하늘,sky
875,슬레이브,slave
559,잠,sleep
936,슬립,slip
485,느린,slow
59,작은,small
945,냄새,smell
697,미소,smile
391,눈,snow
165,그래서,so
585,소프트,soft
738,토양,soil
758,군인,soldier
908,용액,solution
708,해결,solve
23,다소,some
658,아들,son
322,노래,song
315,곧,soon
183,소리,sound
340,남쪽,south
450,공간,space
524,이야기,speak
443,특수,special
888,음성,speech
671,속도,speed
67,철자,spell
861,지출,spend
785,이야기,spoke
844,자리,spot
967,확산,spread
663,봄,spring
514,광장,square
202,서,stand
416,스타,star
232,시작,start
220,상태,state
867,역,station
355,유지,stay
376,대신,stead
891,증기,steam
920,스틸,steel
460,단계,step
693,스틱,stick
212,여전히,still
681,돌,stone
427,서,stood
262,중지,stop
556,상점,store
234,이야기,story
666,직선,straight
598,기이 한,strange
822,스트림,stream
350,거리,street
982,스트레칭,stretch
814,문자열,string
442,강한,strong
772,학생,student
211,연구,study
519,주제,subject
857,물질,substance
957,빼기,subtract
955,성공,success
75,이러한,such
512,갑자기,sudden
914,접미사,suffix
902,설탕,sugar
618,제안,suggest
846,정장,suit
557,여름,summer
217,일,sun
775,공급,supply
887,지원,support
268,확실한,sure
362,표면,surface
679,놀람,surprise
961,수영,swim
533,음절,syllable
608,기호,symbol
367,시스템,system
472,나타난,table
447,꼬리,tail
105,소요,take
313,이야기,talk
736,키,tall
430,가르쳐,teach
632,팀,team
898,치아,teeth
50,이야기,tell
740,온도,temperature
476,열,ten
962,용어,term
369,테스트,test
191,보다,than
911,감사,thank
4,그,that
29,에,the
42,자신의,their
161,그,them
160,다음,then
152,그곳에,there
166,이들,these
11,그들,they
757,두께,thick
825,얇은,thin
170,일,thing
133,생각,think
714,세번째,third
16,이,this
289,그,those
311,그래도,though
226,생각,thought
380,천,thousand
53,세,three
128,를 통해,through
983,던져,throw
797,따라서,thus
833,넥타이,tie
43,시간,time
682,작은,tiny
392,타이어,tire
31,에,to
276,함께,together
343,이야기,told
616,톤,tone
148,너무,too
253,했다,took
942,도구,tool
347,최고,top
943,총,total
628,터치,touch
480,방향,toward
403,마을,town
852,트랙,track
600,무역,trade
558,기차,train
473,여행,travel
228,트리,tree
826,삼각형,triangle
602,여행,trip
611,수고,trouble
976,트럭,truck
455,사실,true
89,시험,try
819,튜브,tube
139,회전,turn
695,스물,twenty
173,두,two
729,유형,type
125,아래의,under
401,단위,unit
294,까지,until
154,올라,up
90,우리,us
155,사용,use
304,보통,usual
946,계곡,valley
743,값,value
522,다양,vary
468,동사,verb
127,대단히,very
749,보기,view
703,마을,village
583,방문,visit
500,음성,voice
479,모음,vowel
413,대기,wait
282,도보,walk
564,벽,wall
54,필요,want
481,전쟁,war
439,따뜻한,warm
6,했다,was
807,세척,wash
269,손목 시계,watch
190,물,water
538,파,wave
157,방법,way
35,우리,we
637,착용,wear
589,날씨,weather
431,주,week
525,무게,weight
56,잘,well
82,갔다,went
39,했다,were
463,서쪽,west
22,무엇,what
356,휠,wheel
153,때,when
110,어디에,where
710,여부,whether
40,하는,which
243,반면,while
278,흰색,white
194,사람,who
348,전체,whole
776,누구의,whose
78,이유,why
548,폭,wide
964,아내,wife
574,야생,wild
45,것,will
937,승리,win
330,바람,wind
555,창,window
804,날개,wing
571,겨울,winter
633,와이어,wire
567,소원,wish
10,와,with
799,여성,woman
906,여성,women
378,궁금,wonder
752,하지 않습니다,won’t
272,나무,wood
20,단어,word
103,일,work
95,세계,world
163,것,would
162,쓰기,write
573,기록,written
989,나쁜,wrong
614,썼다,wrote
622,야드,yard
117,년,year
839,노란색,yellow
394,예,yes
537,아직,yet
26,당신,you
305,젊은,young
156,당신의,your
