number,welsh,english
678,cwmwl,cloud
732,arfordir,coast
931,côt,coat
498,oer,cold
647,casglu,collect
830,nythfa,colony
270,lliw,color
986,colofn,column
180,dod,come
372,gyffredin,common
956,cwmni,company
812,cymharu,compare
333,cwblhau,complete
940,cyflwr,condition
859,cysylltu,connect
728,ystyried,consider
667,cytseiniaid,consonant
428,cynnwys,contain
1000,cyfandir,continent
950,parhau,continue
649,rheoli,control
719,cogydd,cook
684,oer,cool
733,copi,copy
811,corn,corn
773,cornel,corner
421,gywir,correct
634,chost,cost
971,cotwm,cotton
178,gallai,could
513,cyfrif,count
206,gwlad,country
354,cwrs,course
215,clawr,cover
579,buwch,cow
698,cris,crease
805,creu,create
768,cnwd,crop
229,croesi,cross
810,dorf,crowd
409,crio,cry
847,ar hyn o bryd,current
267,torri,cut
868,dad,dad
544,dawns,dance
754,perygl,danger
410,tywyll,dark
177,diwrnod,day
843,marw,dead
960,delio,deal
882,annwyl,dear
903,marwolaeth,death
361,penderfynu,decide
650,degol,decimal
363,dwfn,deep
879,gradd,degree
816,dibynnu,depend
718,disgrifio,describe
845,anialwch,desert
685,dylunio,design
973,penderfynu,determine
437,datblygu,develop
669,geiriadur,dictionary
181,wnaeth,did
609,marw,die
138,yn wahanol,differ
763,anodd,difficult
319,uniongyrchol,direct
921,trafod,discuss
395,bell,distant
532,rhaniad,divide
855,is-adran,division
41,wneud,do
764,meddyg,doctor
51,gwneud,does
317,ci,dog
921,doler,dollar
424,da,done
242,peidiwch â,don’t
324,drws,door
948,dwbl,double
196,i lawr,down
238,tynnu,draw
938,freuddwyd,dream
677,gwisg,dress
885,diod,drink
426,gyriant,drive
539,gollwng,drop
377,sych,dry
876,hwyaden,duck
456,yn ystod,during
49,pob un,each
651,clust,ear
461,gynnar,early
99,ddaear,earth
284,leddfu,ease
397,ddwyrain,east
255,bwyta,eat
581,ymyl,edge
789,effaith,effect
506,wy,egg
702,wyth,eight
721,naill ai,either
790,trydan,electric
770,elfen,element
652,arall,else
60,pen,end
883,gelyn,enemy
501,ynni,energy
545,peiriant,engine
301,ddigon,enough
834,fynd i mewn,enter
639,gyfartal,equal
386,cyfateb,equate
915,yn enwedig,especially
69,hyd yn oed,even
939,gyda’r nos,evening
958,digwyddiad,event
308,erioed,ever
120,bob,every
607,union,exact
283,enghraifft,example
613,ac eithrio,except
747,cyffroi,excite
563,ymarfer corff,exercise
791,disgwyl,expect
925,profiad,experience
688,arbrawf,experiment
222,llygad,eye
271,wyneb,face
449,ffaith,fact
645,deg,fair
407,disgyn,fall
318,teulu,family
820,enwog,famous
236,yn hyn,far
230,fferm,farm
467,cyflym,fast
863,braster,fat
100,tad,father
858,ffafrio,favor
823,ofn,fear
941,porthiant,feed
312,teimlo,feel
298,traed,feet
642,syrthiodd,fell
534,teimlwyd,felt
249,ychydig,few
419,maes,field
916,ffig,fig
744,frwydr,fight
415,ffigur,figure
396,llenwi,fill
432,terfynol,final
200,dod o hyd i,find
404,dirwy,fine
741,bys,finger
593,gorffen,finish
339,tân,fire
193,yn gyntaf,first
260,pysgod,fish
643,ffitio,fit
458,pump,five
694,fflat,flat
720,llawr,floor
644,llif,flow
596,blodyn,flower
406,hedfan,fly
76,dilyn,follow
216,bwyd,food
366,droed,foot
7,gyfer,for
358,grym,force
552,goedwig,forest
130,ffurflen,form
922,ymlaen,forward
207,dod o hyd i,found
218,pedwar,four
551,ffracsiwn,fraction
440,rhad ac am ddim,free
836,ffres,fresh
257,ffrind,friend
17,o,from
429,blaen,front
755,ffrwythau,fruit
357,llawn,full
586,hwyl,fun
384,gêm,game
638,gardd,garden
588,nwy,gas
980,casglu,gather
433,rhoddodd,gave
526,gyffredinol,general
798,ysgafn,gentle
106,cael,get
303,merch,girl
123,rhoi,give
864,falch,glad
577,gwydr,glass
179,fynd,go
373,aur,gold
599,wedi mynd,gone
121,dda,good
281,got,got
496,llywodraethu,govern
535,mawreddog,grand
578,glaswellt,grass
990,llwyd,gray
132,mawr,great
434,gwyrdd,green
629,tyfodd,grew
464,ddaear,ground
286,grŵp,group
210,tyfu,grow
801,dyfalu,guess
924,arwain,guide
840,gwn,gun
28,roedd gan,had
717,gwallt,hair
336,hanner,half
64,llaw,hand
332,yn digwydd,happen
594,hapus,happy
231,caled,hard
174,mae gan,has
953,het,hat
15,wedi,have
5,ef,he
201,pen,head
265,clywed,hear
451,clywed,heard
540,galon,heart
390,gwres,heat
543,trwm,heavy
716,a gedwir yn,held
135,helpu,help
167,hi,her
71,yma,here
74,uchel,high
724,bryn,hill
172,iddo,him
3,ei,his
788,hanes,history
771,taro,hit
462,dal,hold
699,twll,hole
62,cartref,home
595,gobeithio,hope
266,ceffyl,horse
19,poeth,hot
387,poeth,hot
453,awr,hour
87,tŷ,house
46,sut,how
918,enfawr,huge
787,dynol,human
457,cant,hundred
502,helfa,hunt
828,frys,hurry
2,yr wyf yn,i
527,iâ,ice
259,syniad,idea
44,os,if
794,dychmygu,imagine
34,yn,in
351,modfedd,inch
531,cynnwys,include
783,dangos,indicate
742,diwydiant,industry
780,pryfed,insect
877,amrantiad,instant
575,offeryn,instrument
465,llog,interest
970,dyfeisio,invent
691,haearn,iron
24,yw,is
365,ynys,island
25,mae’n,it
580,swydd,job
617,ymuno,join
570,llawenydd,joy
700,neidio,jump
129,yn unig,just
221,cadw,keep
576,cadw,kept
690,allweddol,key
657,lladd,kill
84,fath,kind
349,brenin,king
344,gwybod,knew
189,gwybod,know
621,wraig,lady
659,llyn,lake
70,tir,land
399,iaith,language
66,mawr,large
224,diwethaf,last
240,hwyr,late
379,chwerthin,laugh
730,gyfraith,law
482,lleyg,lay
408,arwain,lead
213,dysgu,learn
610,lleiaf,least
321,gadael,leave
929,arweinir,led
239,gadawodd,left
562,goes,leg
516,hyd,length
474,llai,less
225,gadewch,let
293,llythyr,letter
978,lefel,level
745,gorwedd,lie
248,bywyd,life
848,lifft,lift
83,golau,light
164,hoffi,like
137,llinell,line
894,hylif,liquid
310,rhestr,list
470,gwrando,listen
113,bach,little
109,byw,live
777,o hyd,locate
895,log,log
561,eich pen eich hun,lone
168,hir,long
175,edrych,look
635,gollwyd,lost
687,llawer,lot
662,uchel,loud
487,wrth eu bodd,love
136,isel,low
411,peiriant,machine
108,wnaed,made
909,magnet,magnet
273,prif,main
835,mawr,major
169,gwneud,make
116,dyn,man
159,llawer,many
493,fap,map
291,marc,mark
878,farchnad,market
932,màs,mass
851,meistr,master
913,gêm,match
550,deunydd,material
528,mater,matter
195,gall,may
122,mi,me
142,golygu,mean
896,golygu,meant
323,mesur,measure
817,cig,meat
704,cwrdd,meet
601,alaw,melody
80,dynion,men
709,metel,metal
672,dull,method
656,canol,middle
233,allai,might
295,milltir,mile
670,llaeth,milk
591,miliwn,million
444,meddwl,mind
832,mwynglawdd,mine
441,munud,minute
388,miss,miss
631,cymysgu,mix
769,modern,modern
987,moleciwl,molecule
660,hyn o bryd,moment
489,arian,money
590,mis,month
364,lleuad,moon
176,mwy,more
475,bore,morning
185,y rhan fwyaf,most
94,mam,mother
892,cynnig,motion
566,mynydd,mount
261,mynydd,mountain
606,geg,mouth
144,symud,move
141,llawer,much
352,lluosi,multiply
288,cerddoriaeth,music
72,rhaid,must
187,fy,my
126,enw,name
668,cenedl,nation
748,naturiol,natural
889,natur,nature
96,ger,near
802,angenrheidiol,necessary
900,gwddf,neck
86,angen,need
806,cymydog,neighbor
223,byth,never
102,newydd,new
277,nesaf,next
246,nos,night
975,naw,nine
184,dim,no
977,sŵn,noise
767,canol dydd,noon
947,nac,nor
250,gogledd,north
996,trwyn,nose
412,nodyn,note
353,dim byd,nothing
499,rhybudd,notice
418,enw,noun
199,awr,now
182,rhif,number
328,rhifolyn,numeral
360,gwrthrych,object
664,arsylwi,observe
886,yn digwydd,occur
438,cefnfor,ocean
30,yr,of
85,off,off
873,cynnig,offer
603,swyddfa,office
292,yn aml,often
435,oh,oh
626,olew,oil
147,oed,old
8,ar,on
263,unwaith,once
14,un,one
114,yn unig,only
274,agored,open
760,gweithredu,operate
963,gyferbyn,opposite
27,neu,or
338,gorchymyn,order
673,organ,organ
865,gwreiddiol,original
38,arall,other
124,ein,our
37,allan,out
188,dros,over
203,eu hunain,own
901,ocsigen,oxygen
204,dudalen,page
398,paent,paint
530,pâr,pair
285,papur,paper
713,paragraff,paragraph
853,rhiant,parent
104,rhan,part
959,penodol,particular
774,parti,party
345,pasio,pass
584,gorffennol,past
893,llwybr,path
484,patrwm,pattern
674,talu,pay
186,pobl,people
510,efallai,perhaps
782,cyfnod,period
488,person,person
734,ymadrodd,phrase
511,ddewis,pick
88,llun,picture
342,darn,piece
930,traw,pitch
107,lle,place
302,plaen,plain
414,cynllun,plan
375,awyren,plane
827,blaned,planet
214,planhigion,plant
58,chwarae,play
765,os gwelwch yn dda,please
997,lluosog,plural
813,cerdd,poem
93,pwynt,point
686,gwael,poor
880,boblogi,populate
65,porthladd,port
320,peri,pose
546,sefyllfa,position
374,bosibl,possible
860,swydd,post
423,punt,pound
402,pŵer,power
761,ymarfer,practice
994,paratoi,prepare
542,bresennol,present
244,wasg,press
904,’n bert,pretty
842,print,print
503,tebygol,probable
341,problem,problem
759,broses,process
448,cynhyrchu,produce
325,cynnyrch,product
871,briodol,proper
985,eiddo,property
766,amddiffyn,protect
560,profi,prove
795,darparu,provide
497,tynnu,pull
711,gwthio,push
61,rhoi,put
974,chwart,quart
331,cwestiwn,question
436,cyflym,quick
680,dawel,quiet
653,eithaf,quite
897,cyniferydd,quotient
554,hil,race
784,cymru,radio
793,rheilffyrdd,rail
494,glaw,rain
707,codi,raise
382,rhedodd,ran
890,amrediad,range
809,yn hytrach,rather
466,cyrraedd,reach
63,darllen,read
306,barod,ready
247,go iawn,real
515,rheswm,reason
604,derbyn,receive
370,cofnod,record
309,coch,red
520,rhanbarth,region
459,cofio,remember
991,ailadrodd,repeat
884,ateb,reply
517,cynrychioli,represent
992,ei gwneud yn ofynnol,require
420,gorffwys,rest
722,canlyniad,result
756,gyfoethog,rich
507,taith,ride
145,hawl,right
778,ffoniwch,ring
623,codi,rise
296,afon,river
492,ffordd,road
337,graig,rock
739,gofrestr,roll
256,ystafell,room
705,gwraidd,root
935,rhaff,rope
840,rhosyn,rose
115,rownd,round
605,rhes,row
818,rhwbio,rub
495,rheol,rule
241,rhedeg,run
725,yn ddiogel,safe
47,dywedodd,said
549,hwylio,sail
995,halen,salt
149,un fath,same
737,tywod,sand
572,sat,sat
648,arbed,save
235,welodd,saw
134,dweud,say
661,graddfa,scale
209,ysgol,school
254,gwyddoniaeth,science
926,sgôr,score
237,môr,sea
837,chwilio,search
907,tymor,season
949,sedd,seat
300,yn ail,second
676,adran,section
171,gweld,see
615,hadau,seed
275,ymddangos,seem
874,gylchran,segment
988,dewis,select
98,hunan,self
954,gwerthu,sell
838,anfon,send
750,synnwyr,sense
640,anfon,sent
131,dedfryd,sentence
762,ar wahân,separate
490,gwasanaethu,serve
52,set,set
523,setlo,settle
712,saith,seven
478,nifer,several
715,rhaid,shall
385,siâp,shape
866,rhannu,share
803,miniog,sharp
150,hi,she
856,taflen,sheet
899,cragen,shell
984,disgleirio,shine
334,llong,ship
965,esgid,shoe
981,siop,shop
854,lan,shore
327,byr,short
205,dylai,should
966,ysgwydd,shoulder
612,gweiddi,shout
119,sioe,show
197,ochr,side
284,golwg,sight
582,arwydd,sign
735,dawel,silent
910,arian,silver
923,tebyg,similar
477,syml,simple
346,ers,since
469,canu,sing
692,sengl,single
919,chwaer,sister
553,eistedd,sit
471,chwech,six
521,maint y,size
905,sgiliau,skill
696,croen,skin
568,awyr,sky
875,gaethweision,slave
559,cysgu,sleep
936,slip,slip
485,araf,slow
59,bach,small
945,arogl,smell
697,gwenu,smile
391,eira,snow
165,felly,so
585,meddal,soft
738,pridd,soil
758,milwr,soldier
908,ateb,solution
708,datrys,solve
23,rhai,some
658,mab,son
322,cân,song
315,yn fuan,soon
183,sain,sound
340,de,south
450,gofod,space
524,siarad,speak
443,arbennig,special
888,lleferydd,speech
671,cyflymder,speed
67,sillafu,spell
861,gwario,spend
785,siaradodd,spoke
844,fan a’r lle,spot
967,lledaenu,spread
663,gwanwyn,spring
514,sgwâr,square
202,sefyll,stand
416,seren,star
232,cychwyn,start
220,cyflwr,state
867,orsaf,station
355,aros,stay
376,le ef,stead
891,stêm,steam
920,dur,steel
460,cam,step
693,ffon,stick
212,dal,still
681,cerrig,stone
427,sefyll,stood
262,rhoi’r gorau i,stop
556,siop,store
234,stori,story
666,syth,straight
598,rhyfedd,strange
822,nant,stream
350,stryd,street
982,ymestyn,stretch
814,llinyn,string
442,gryf,strong
772,myfyriwr,student
211,astudiaeth,study
519,pwnc,subject
857,sylweddau,substance
957,tynnu,subtract
955,llwyddiant,success
75,fath,such
512,sydyn,sudden
914,ôl-ddodiad,suffix
902,siwgr,sugar
618,awgrymu,suggest
846,siwt,suit
557,haf,summer
217,haul,sun
775,cyflenwad,supply
887,cymorth,support
268,siwr,sure
362,wyneb,surface
679,syndod,surprise
961,nofio,swim
533,sillaf,syllable
608,arwydd,symbol
367,system,system
472,tabl,table
447,gynffon,tail
105,cymryd,take
313,sgwrs,talk
736,tal,tall
430,dysgu,teach
632,tîm,team
898,dannedd,teeth
50,dweud,tell
740,tymheredd,temperature
476,deg,ten
962,dymor,term
369,prawf,test
191,nag,than
911,diolch,thank
4,bod,that
29,â’r,the
42,eu,their
161,nhw,them
160,"yna,",then
152,yno,there
166,rhain,these
11,maent,they
757,trwchus,thick
825,tenau,thin
170,beth,thing
133,meddwl,think
714,trydydd,third
16,hwn,this
289,y rhai,those
311,er bod,though
226,meddwl,thought
380,mil,thousand
53,tri,three
128,trwy,through
983,taflu,throw
797,felly,thus
833,tei,tie
43,amser,time
682,bach,tiny
392,teiars,tire
31,i’r,to
276,gyda’i gilydd,together
343,gwybod,told
616,tôn,tone
148,rhy,too
253,cymerodd,took
942,offeryn,tool
347,top,top
943,cyfanswm,total
628,cyffwrdd,touch
480,tuag,toward
403,dref,town
852,trac,track
600,masnach,trade
558,trên,train
473,teithio,travel
228,goeden,tree
826,triongl,triangle
602,daith,trip
611,trafferth,trouble
976,lori,truck
455,yn wir,true
89,ceisiwch,try
819,tiwb,tube
139,dro,turn
695,ugain,twenty
173,dau,two
729,math,type
125,o dan,under
401,uned,unit
294,nes,until
154,i fyny,up
90,ni,us
155,defnydd,use
304,arferol,usual
946,dyffryn,valley
743,gwerth,value
522,amrywio,vary
468,berf,verb
127,iawn,very
749,barn,view
703,pentref,village
583,ymweliad,visit
500,llais,voice
479,llafariad,vowel
413,aros,wait
282,cerdded,walk
564,wal,wall
54,eisiau,want
481,rhyfel,war
439,gynnes,warm
6,oedd,was
807,golchi,wash
269,gwylio,watch
190,dŵr,water
538,don,wave
157,ffordd,way
35,rydym,we
637,gwisgo,wear
589,tywydd,weather
431,wythnos,week
525,pwysau,weight
56,yn dda,well
82,aeth,went
39,roedd,were
463,orllewin,west
22,beth,what
356,olwyn,wheel
153,pan,when
110,lle,where
710,p’un a,whether
40,sy’n,which
243,tra,while
278,gwyn,white
194,pwy,who
348,cyfan,whole
776,y mae ei,whose
78,pam,why
548,eang,wide
964,gwraig,wife
574,gwyllt,wild
45,bydd,will
937,ennill,win
330,gwynt,wind
555,ffenestr,window
804,adain,wing
571,gaeaf,winter
633,gwifren,wire
567,dymuno,wish
10,gyda,with
799,fenyw,woman
906,menywod,women
378,tybed,wonder
752,ni fydd,won’t
272,pren,wood
20,gair,word
103,gwaith,work
95,byd,world
163,byddai,would
162,ysgrifennu,write
573,ysgrifenedig,written
989,anghywir,wrong
614,ysgrifennodd,wrote
622,iard,yard
117,flwyddyn,year
839,melyn,yellow
394,ie,yes
537,eto,yet
26,chi,you
305,ifanc,young
156,eich,your
