number,lithuanian,english
418,daiktavardis,noun
199,dabar,now
182,skaičius,number
328,skaitvardis,numeral
360,objektas,object
664,stebėti,observe
886,atsirasti,occur
438,vandenynas,ocean
30,iš,of
85,nuo,off
873,pasiūlymas,offer
603,biuras,office
292,dažnai,often
435,oh,oh
626,alyva,oil
147,senas,old
8,nuo,on
263,kartą,once
14,vienas,one
114,tik,only
274,atvira,open
760,veikia,operate
963,priešais,opposite
27,arba,or
338,kad,order
673,organas,organ
865,originalus,original
38,kitas,other
124,mūsų,our
37,iš,out
188,per,over
203,savo,own
901,deguonies,oxygen
204,puslapis,page
398,dažai,paint
530,pora,pair
285,popieriaus,paper
713,punktas,paragraph
853,tėvų,parent
104,dalis,part
959,pirma,particular
774,šalis,party
345,pereiti,pass
584,praeitis,past
893,kelias,path
484,modelis,pattern
674,mokėti,pay
186,žmonės,people
510,galbūt,perhaps
782,laikotarpis,period
488,asmuo,person
734,frazė,phrase
511,pasirinkti,pick
88,nuotrauka,picture
342,gabalas,piece
930,pikis,pitch
107,vieta,place
302,paprastas,plain
414,planas,plan
375,lėktuvas,plane
827,planeta,planet
214,augalų,plant
58,žaisti,play
765,prašom,please
997,daugiskaitos,plural
813,eilėraštis,poem
93,taškas,point
686,prastas,poor
880,užpildyti,populate
65,uostas,port
320,kelti,pose
546,pozicija,position
374,galimas,possible
860,pranešimas,post
423,svaras,pound
402,galia,power
761,praktika,practice
994,parengti,prepare
542,metu,present
244,paspauskite,press
904,gana,pretty
842,spausdinti,print
503,"tikėtina,",probable
341,problema,problem
759,procesas,process
448,gaminti,produce
325,produktas,product
871,tinkamas,proper
985,turtas,property
766,apsaugoti,protect
560,įrodyti,prove
795,teikti,provide
497,traukti,pull
711,stumti,push
61,sudėti,put
974,kvorta,quart
331,klausimas,question
436,greitai,quick
680,ramus,quiet
653,gana,quite
897,dalmuo,quotient
554,varžybos,race
784,radijo,radio
793,geležinkelių,rail
494,lietus,rain
707,pakelti,raise
382,arklys,ran
890,diapazonas,range
809,gana,rather
466,pasiekti,reach
63,skaityti,read
306,pasiruošęs,ready
247,tikras,real
515,priežastis,reason
604,gauti,receive
370,įrašas,record
309,raudonas,red
520,regionas,region
459,prisiminti,remember
991,pakartokite,repeat
884,atsakinėti,reply
517,atstovauti,represent
992,reikalauti,require
420,poilsio,rest
722,rezultatas,result
756,turtingas,rich
507,važinėti,ride
145,teisė,right
778,žiedas,ring
623,padidės,rise
296,upės,river
492,kelių,road
337,rokas,rock
739,ritinys,roll
256,kambario,room
705,šaknis,root
935,virvės,rope
840,rožė,rose
115,turas,round
605,eilė,row
818,rublių,rub
495,taisyklė,rule
241,paleisti,run
725,saugus,safe
47,sakė,said
549,burė,sail
995,druska,salt
149,tas pats,same
737,smėlio,sand
572,sat,sat
648,išsaugoti,save
235,pjūklas,saw
134,pasakyti,say
661,skalė,scale
209,mokykla,school
254,mokslas,science
926,rezultatas,score
237,jūra,sea
837,paieška,search
907,sezonas,season
949,sėdynė,seat
300,antra,second
676,skyrius,section
171,pamatyti,see
615,sėklos,seed
275,atrodo,seem
874,segmentas,segment
988,pasirinkti,select
98,savarankiškai,self
954,parduoti,sell
838,siųsti,send
750,jausmas,sense
640,siunčiami,sent
131,sakinys,sentence
762,atskiras,separate
490,tarnauti,serve
52,rinkinys,set
523,atsiskaityti,settle
712,septyni,seven
478,kelis,several
715,turi,shall
385,forma,shape
866,dalis,share
803,aštrus,sharp
150,ji,she
856,lapas,sheet
899,apvalkalas,shell
984,valymo,shine
334,laivas,ship
965,batų,shoe
981,parduotuvė,shop
854,kranto,shore
327,trumpas,short
205,turėtų,should
966,petys,shoulder
612,šaukti,shout
119,šou,show
197,pusė,side
284,reginys,sight
582,ženklas,sign
735,tylus,silent
910,sidabras,silver
923,panašus,similar
477,paprastas,simple
346,nuo,since
469,dainuoti,sing
692,vieno,single
919,sesuo,sister
553,sėdėti,sit
471,šešių,six
521,dydis,size
905,įgūdžių,skill
696,oda,skin
568,dangus,sky
875,vergas,slave
559,miegas,sleep
936,slydimo,slip
485,lėtai,slow
59,mažas,small
945,kvapas,smell
697,šypsena,smile
391,sniego,snow
165,taip,so
585,minkštas,soft
738,dirvožemis,soil
758,eilinis,soldier
908,sprendimas,solution
708,išspręsti,solve
23,kai,some
658,sūnus,son
322,daina,song
315,greičiau,soon
183,garso,sound
340,į pietus,south
450,vietos,space
524,kalbėti,speak
443,ypatingą,special
888,kalbos,speech
671,greitis,speed
67,reikšti,spell
861,praleisti,spend
785,kalbėjo,spoke
844,vieta,spot
967,plitimas,spread
663,pavasaris,spring
514,aikštė,square
202,stovėti,stand
416,žvaigždė,star
232,pradžia,start
220,valstybės,state
867,stotis,station
355,likti,stay
376,sodyba,stead
891,garo,steam
920,plieno,steel
460,žingsnis,step
693,stick,stick
212,dar,still
681,akmuo,stone
427,stovėjo,stood
262,sustabdyti,stop
556,parduotuvė,store
234,istorija,story
666,tiesiai,straight
598,keista,strange
822,srautas,stream
350,gatvės,street
982,ruožas,stretch
814,styga,string
442,stiprus,strong
772,studentas,student
211,tyrimas,study
519,tema,subject
857,medžiaga,substance
957,atimti,subtract
955,sėkmė,success
75,toks,such
512,staiga,sudden
914,priesaga,suffix
902,cukraus,sugar
618,pasiūlyti,suggest
846,kostiumas,suit
557,vasara,summer
217,saulė,sun
775,tiekimas,supply
887,parama,support
268,tikrai,sure
362,paviršius,surface
679,staigmena,surprise
961,plaukti,swim
533,skiemuo,syllable
608,simbolis,symbol
367,sistema,system
472,lentelė,table
447,uodega,tail
105,imti,take
313,aptarimas,talk
736,aukštas,tall
430,mokyti,teach
632,komanda,team
898,dantys,teeth
50,pasakyti,tell
740,temperatūra,temperature
476,dešimt,ten
962,terminas,term
369,testas,test
191,nei,than
911,ačiū,thank
4,kad,that
29,pamatyti,the
42,jų,their
161,jiems,them
160,tada,then
152,ten,there
166,tai,these
11,jie,they
757,storas,thick
825,plonas,thin
170,dalykas,thing
133,galvoti,think
714,trečia,third
16,tai,this
289,tie,those
311,nors,though
226,mintis,thought
380,tūkstančių,thousand
53,trijų,three
128,per,through
983,mesti,throw
797,taip,thus
833,kaklaraištis,tie
43,laikas,time
682,mažytis,tiny
392,padanga,tire
31,į,to
276,kartu,together
343,sakė,told
616,tonas,tone
148,taip pat,too
253,paėmė,took
942,priemonė,tool
347,viršus,top
943,visas,total
628,paliesti,touch
480,link,toward
403,miestas,town
852,takelis,track
600,prekyba,trade
558,traukinys,train
473,kelionė,travel
228,medis,tree
826,trikampis,triangle
602,kelionės,trip
611,bėda,trouble
976,sunkvežimis,truck
455,tiesa,true
89,pabandyti,try
819,vamzdis,tube
139,posūkis,turn
695,dvidešimt,twenty
173,du,two
729,tipas,type
125,pagal,under
401,vienetas,unit
294,iki,until
154,į viršų,up
90,mums,us
155,naudoti,use
304,įprasta,usual
946,slėnis,valley
743,vertė,value
522,skirtis,vary
468,veiksmažodis,verb
127,labai,very
749,vaizdas,view
703,kaimas,village
583,apsilankymas,visit
500,balsas,voice
479,balsis,vowel
413,laukti,wait
282,vaikščioti,walk
564,sienos,wall
54,noriu,want
481,karas,war
439,šiltas,warm
6,buvo,was
807,skalbimas,wash
269,žiūrėti,watch
190,vanduo,water
538,banga,wave
157,būdas,way
35,mes,we
637,dėvėti,wear
589,oras,weather
431,savaitę,week
525,svoris,weight
56,gerai,well
82,nuvyko,went
39,buvo,were
463,vakarų,west
22,ką,what
356,ratų,wheel
153,kai,when
110,kur,where
710,ar,whether
40,kurie,which
243,o,while
278,baltas,white
194,kas,who
348,visas,whole
776,kurio,whose
78,kodėl,why
548,pločio,wide
964,žmona,wife
574,laukinis,wild
45,bus,will
937,laimėti,win
330,vėjas,wind
555,langas,window
804,sparnas,wing
571,žiema,winter
633,vielos,wire
567,norėti,wish
10,su,with
799,moteris,woman
906,moterys,women
378,nenuostabu,wonder
752,nebus,won’t
272,medienos,wood
20,žodis,word
103,darbas,work
95,pasaulis,world
163,būtų,would
162,rašyti,write
573,parašyta,written
989,negerai,wrong
614,rašė,wrote
622,kiemas,yard
117,metai,year
839,geltonas,yellow
394,taip,yes
537,dar,yet
26,jūs,you
305,jauna,young
156,savo,your
