number,nepali,english
863,बोसो,fat
100,पिता,father
858,कृपा,favor
823,डर,fear
941,फिड,feed
312,महसुस,feel
298,खुट्टा,feet
642,खसे,fell
534,महसुस,felt
249,केही,few
419,क्षेत्र,field
916,नेभाराको,fig
744,लडाई,fight
415,आंकडा,figure
396,भर्ने,fill
432,अन्तिम,final
200,फेला,find
404,राम्रो,fine
741,औंला,finger
593,समाप्त,finish
339,आगो,fire
193,पहिलो,first
260,माछा,fish
643,फिट,fit
458,पाँच,five
694,तला,flat
720,तल्ला,floor
644,प्रवाह,flow
596,फूल,flower
406,उड,fly
76,पछ्याउन,follow
216,खाना,food
366,खुट्टा,foot
7,को लागि,for
358,बल,force
552,वन,forest
130,फारम,form
922,अगाडी,forward
207,फेला,found
218,चार,four
551,अंश,fraction
440,निःशुल्क,free
836,ताजा,fresh
257,मित्र,friend
17,देखि,from
429,अगाडि,front
755,फल,fruit
357,पूर्ण,full
586,मजा,fun
384,खेल,game
638,बगैंचामा,garden
588,ग्याँस,gas
980,भेला,gather
433,दिए,gave
526,सामान्य,general
798,कोमल,gentle
106,प्राप्त,get
303,केटी,girl
123,दिन,give
864,खुसी,glad
577,ग्लास,glass
179,जाने,go
373,सुन,gold
599,पाएकै,gone
121,राम्रो,good
281,मिल्यो,got
496,शासन,govern
535,महान्,grand
578,घाँस,grass
990,ग्रे,gray
132,ठूलो,great
434,हरियो,green
629,बढ्दै,grew
464,जमीन,ground
286,समूह,group
210,बढ्दै,grow
801,अनुमान,guess
924,डोऱ्याउन,guide
840,बन्दूक,gun
28,थियो,had
717,कपाल,hair
336,आधा,half
64,हात,hand
332,के,happen
594,खुसी,happy
231,कडा,hard
174,छ,has
953,टोपी,hat
15,छ,have
5,उहाँले,he
201,टाउको,head
265,सुन्छन्,hear
451,सुनेको,heard
540,हृदय,heart
390,गर्मी,heat
543,भारी,heavy
716,धान,held
135,मदत,help
167,उनको,her
71,यहाँ,here
74,उच्च,high
724,पहाडी,hill
172,तिनलाई,him
3,आफ्नो,his
788,इतिहास,history
771,मारा,hit
462,पकड,hold
699,प्वाल,hole
62,घर,home
595,आशा,hope
266,घोडा,horse
19,तातो,hot
387,तातो,hot
453,घण्टा,hour
87,घर,house
46,कसरी,how
918,विशाल,huge
787,मानव,human
457,सय,hundred
502,शिकार,hunt
828,हतार,hurry
2,म,i
527,बरफ,ice
259,विचार,idea
44,यदि,if
794,कल्पना,imagine
34,मा,in
351,इन्चको,inch
531,समावेश,include
783,सङ्केत,indicate
742,उद्योग,industry
780,कीरा,insect
877,तत्काल,instant
575,साधन,instrument
465,चासो,interest
970,आविष्कार,invent
691,फलाम,iron
24,छ,is
365,द्वीप,island
25,यो,it
580,काम,job
617,join,join
570,आनन्द,joy
700,हामफाल्नु,jump
129,बस,just
221,राखन,keep
576,राखिएको,kept
690,प्रमुख,key
657,मार्न,kill
84,दयालु,kind
349,राजा,king
344,थाह थियो,knew
189,थाहा,know
621,महिला,lady
659,ताल,lake
70,भूमि,land
399,भाषा,language
66,ठूलो,large
224,अन्तिम,last
240,लेट,late
379,हाँसेको,laugh
730,व्यवस्था,law
482,सुते,lay
408,नेतृत्व,lead
213,सिक्न,learn
610,कम से कम,least
321,छोड,leave
929,नेतृत्व,led
239,बायाँ,left
562,खुट्टा,leg
516,लम्बाइ,length
474,कम,less
225,गरौं,let
293,पत्र,letter
978,स्तर,level
745,झूट,lie
248,जीवन,life
848,लिफ्ट,lift
83,प्रकाश,light
164,जस्तै,like
137,नयाँ,line
894,तरल,liquid
310,सूची,list
470,सुन्न,listen
113,साना,little
109,बाँच्न,live
777,तोक्न,locate
895,लग,log
561,लोन,lone
168,लामो,long
175,रुप,look
635,गुमाए,lost
687,धेरै,lot
662,चर्को,loud
487,प्रेम,love
136,कम,low
411,मिसिन,machine
108,गरे,made
909,चुम्बक,magnet
273,मुख्य,main
835,प्रमुख,major
169,बनाउन,make
116,मानिस,man
159,धेरै,many
493,नक्शा,map
291,मार्क,mark
878,बजार,market
932,सामूहिक,mass
851,मालिक,master
913,म्याच,match
550,भौतिक,material
528,कुरा,matter
195,may,may
122,मलाई,me
142,अर्थ,mean
896,अर्थ,meant
323,उपाय,measure
817,मासु,meat
704,बैठक,meet
601,माधुर्य,melody
80,पुरुष,men
709,धातु,metal
672,विधि,method
656,बीचमा,middle
233,होस्,might
295,मील,mile
670,दूध,milk
591,लाख,million
444,मन,mind
832,मेरो,mine
441,मिनेट,minute
388,मिस,miss
631,मिश्रण,mix
769,आधुनिक,modern
987,अणु,molecule
660,क्षण,moment
489,पैसा,money
590,महिना,month
364,चन्द्र,moon
176,थप,more
475,बिहान,morning
185,सबैभन्दा,most
94,आमा,mother
892,गति,motion
566,माउन्ट,mount
261,पहाड,mountain
606,मुख,mouth
144,कदम,move
141,धेरै,much
352,वृद्धि,multiply
288,संगीत,music
72,पर्छ,must
187,मेरो,my
126,नाम,name
668,राष्ट्र,nation
748,प्राकृतिक,natural
889,प्रकृति,nature
96,निकट,near
802,आवश्यक,necessary
900,घाँटी,neck
86,आवश्यक,need
806,छिमेकीलाई,neighbor
223,कहिल्यै,never
102,नयाँ,new
277,अर्को,next
246,रात,night
975,नौ,nine
184,कुनै,no
977,शोर,noise
767,दिउसो,noon
947,न त,nor
250,उत्तर,north
996,नाक,nose
412,नोट,note
353,केही,nothing
499,सूचना,notice
418,संज्ञा,noun
199,अब,now
182,नम्बर,number
328,सङ्ख्याको,numeral
360,वस्तु,object
664,पालन,observe
886,हुन,occur
438,सागर,ocean
30,को,of
85,बन्द,off
873,प्रस्ताव,offer
603,कार्यालयको,office
292,अक्सर,often
435,हरे,oh
626,तेल,oil
147,पुराना,old
8,मा,on
263,एक पटक,once
14,एक,one
114,केवल,only
274,खुला,open
760,सञ्चालन,operate
963,विपरीत,opposite
27,वा,or
338,आदेश,order
673,अंग,organ
865,मूल,original
38,अन्य,other
124,हाम्रो,our
37,बाहिर,out
188,मा,over
203,आफ्नै,own
901,अक्सिजन,oxygen
204,पृष्ठ,page
398,उतार्न,paint
530,जोडी,pair
285,कागज,paper
713,अनुच्छेद,paragraph
853,आमा,parent
104,अंश,part
959,विशेष,particular
774,पार्टी,party
345,पारित,pass
584,विगत,past
893,बाटो,path
484,नमुना,pattern
674,तिर्न,pay
186,मान्छे,people
510,सायद,perhaps
782,अवधिमा,period
488,व्यक्ति,person
734,वाक्यांश,phrase
511,लेने,pick
88,picture,picture
342,टुक्रा,piece
930,पिच,pitch
107,ठाउँ,place
302,सादा,plain
414,योजना,plan
375,विमान,plane
827,ग्रह,planet
214,बिरूवा,plant
58,खेल,play
765,कृपया,please
997,बहुवचन,plural
813,कविता,poem
93,बिन्दु,point
686,गरिब,poor
880,आबाद,populate
65,पोर्ट,port
320,pose,pose
546,स्थिति,position
374,सम्भव,possible
860,पोस्ट,post
423,पाउन्ड,pound
402,शक्ति,power
761,अभ्यास,practice
994,तयार,prepare
542,वर्तमान,present
244,प्रेस,press
904,धेरै,pretty
842,मुद्रण,print
503,संभावित,probable
341,समस्या,problem
759,प्रक्रिया,process
448,उत्पादन,produce
325,उत्पादन,product
871,उचित,proper
985,सम्पत्ति,property
766,सुरक्षा,protect
560,प्रमाणित,prove
795,प्रदान,provide
497,पुल,pull
711,धक्का,push
61,डाल,put
974,रमा,quart
331,प्रश्न,question
436,छिटो,quick
680,शान्त,quiet
653,एकदम,quite
897,भागफल,quotient
554,दौड,race
784,रेडियो,radio
793,रेल,rail
494,वर्षा,rain
707,हुर्काउन,raise
382,भाग्यो,ran
890,सीमा,range
809,बरु,rather
466,पुग्न,reach
63,पढ्न,read
306,तयार,ready
247,वास्तविक,real
515,कारण,reason
604,प्राप्त,receive
370,रेकर्ड,record
309,रातो,red
520,क्षेत्र,region
459,सम्झना,remember
991,फेरि,repeat
884,जवाफ,reply
517,प्रतिनिधित्व,represent
992,आवश्यकता,require
420,बाँकी,rest
722,परिणाम,result
756,धनी,rich
507,सवारी,ride
145,सही,right
778,औंठी,ring
623,उठ्नेछ,rise
296,नदी,river
492,सडक,road
337,चट्टान,rock
739,रोल,roll
256,कोठा,room
705,मूल,root
935,डोरी,rope
840,गुलाब,rose
115,गोल,round
605,पङ्क्ति,row
818,दल्नु,rub
495,नियम,rule
241,रन,run
725,सुरक्षित,safe
47,भने,said
549,पाल,sail
995,नुन,salt
149,त्यसै,same
737,बालुवा,sand
572,sat,sat
648,बचत,save
235,देख्यो,saw
134,भन्न,say
661,मात्रा,scale
209,स्कूल,school
254,विज्ञान,science
926,स्कोर,score
237,समुद्र,sea
837,खोज,search
907,मौसम,season
949,सीट,seat
300,दोस्रो,second
676,खण्ड,section
171,हेर्नुहोस्,see
615,बीउ,seed
275,जस्तो,seem
874,भाग,segment
988,चयन,select
98,आत्म,self
954,बेचन,sell
838,पठाउन,send
750,अर्थ,sense
640,पठाए,sent
131,सजाय,sentence
762,अलग,separate
490,सेवा,serve
52,सेट,set
523,सुल्झाउन,settle
712,सात,seven
478,धेरै,several
715,गर्छु,shall
385,आकार,shape
866,शेयर,share
803,धारिलो,sharp
150,त्यो,she
856,पाना,sheet
899,खोल,shell
984,घाम लागोस्,shine
334,जहाज,ship
965,जूता,shoe
981,पसल,shop
854,किनारमा,shore
327,छोटो,short
205,चाहिए,should
966,काँध,shoulder
612,स्वरले,shout
119,शो,show
197,पक्ष,side
284,दृष्टि,sight
582,साइन,sign
735,मौन,silent
910,चाँदी,silver
923,यस्तै,similar
477,सरल,simple
346,पछि,since
469,गाउँछन्,sing
692,एकल,single
919,बहिनी,sister
553,बस्न,sit
471,छ,six
521,आकार,size
905,सीप,skill
696,छाला,skin
568,आकाश,sky
875,दास,slave
559,निद्रामा,sleep
936,पर्ची,slip
485,ढिलो,slow
59,साना,small
945,बास्ना,smell
697,मुस्कान,smile
391,हिउँ,snow
165,यति,so
585,नरम,soft
738,माटो,soil
758,सिपाही,soldier
908,समाधान,solution
708,समाधान,solve
23,केही,some
658,छोरा,son
322,गीत,song
315,चाँडै,soon
183,sound,sound
340,दक्षिण,south
450,अन्तरिक्ष,space
524,बोल्न,speak
443,विशेष,special
888,बोली,speech
671,गति,speed
67,हिज्जे,spell
861,खर्च,spend
785,कुरा,spoke
844,स्थान,spot
967,फैलियो,spread
663,वसन्त,spring
514,वर्ग,square
202,खडा,stand
416,तारा,star
232,सुरु,start
220,राज्य,state
867,स्टेशन,station
355,रहन,stay
376,उनीपछि नयाँ,stead
891,भाप,steam
920,स्टील,steel
460,कदम,step
693,छडी,stick
212,अझै पनि,still
681,ढुङ्गा,stone
427,उभिए,stood
262,बन्द,stop
556,स्टोर,store
234,कथा,story
666,सीधा,straight
598,अनौठो,strange
822,प्रवाह,stream
350,सडक,street
982,तान्नु,stretch
814,स्ट्रिङ,string
442,बलियो,strong
772,विद्यार्थीको,student
211,अध्ययन,study
519,विषयगत,subject
857,पदार्थ,substance
957,घटाउनुहोस्,subtract
955,सफलता,success
75,यस्तो,such
512,अचानक,sudden
914,प्रत्यय,suffix
902,चिनी,sugar
618,सुझाव,suggest
846,सूट,suit
557,गर्मी,summer
217,सूर्य,sun
775,आपूर्ति,supply
887,सहयोग,support
268,निश्चित,sure
362,सतह,surface
679,आश्चर्य,surprise
961,पौडी,swim
533,शब्दांश,syllable
608,प्रतीक,symbol
367,प्रणाली,system
472,तालिका,table
447,पुच्छर,tail
105,ले,take
313,भाषण,talk
736,अग्लो,tall
430,सिकाउँछन्,teach
632,टीम,team
898,दाँत,teeth
50,भन्नु,tell
740,तापमान,temperature
476,दस,ten
962,अवधि,term
369,परीक्षण,test
191,भन्दा,than
911,धन्यवाद,thank
4,कि,that
29,को,the
42,आफ्नो,their
161,तिनीहरूलाई,them
160,त्यसपछि,then
152,त्यहाँ,there
166,यी,these
11,तिनीहरू,they
757,बाक्लो,thick
825,पातलो,thin
170,कुरा,thing
133,विचार,think
714,तेस्रो,third
16,यो,this
289,ती,those
311,यद्यपि,though
226,लाग्यो,thought
380,हजार,thousand
53,तीन,three
128,माध्यम,through
983,बिसाउन,throw
797,यसरी,thus
833,टाई,tie
43,समय,time
682,साना,tiny
392,टायर,tire
31,गर्न,to
276,सँगै,together
343,यसो भने,told
616,टोन,tone
148,पनि,too
253,लिनुभयो,took
942,उपकरण,tool
347,शीर्ष,top
943,कुल,total
628,छुन,touch
480,तिर,toward
403,शहर,town
852,ट्रयाक,track
600,व्यापार,trade
558,रेल,train
473,यात्रा,travel
228,रूख,tree
826,त्रिकोण,triangle
602,यात्रा,trip
611,समस्या,trouble
976,ट्रक,truck
455,साँचो,true
89,प्रयास,try
819,ट्यूब,tube
139,फलस्वरूप,turn
695,बीस,twenty
173,दुई,two
729,प्रकार,type
125,अन्तर्गत,under
401,एकाइ,unit
294,सम्म,until
154,अप,up
90,हामीलाई,us
155,प्रयोग,use
304,सामान्य,usual
946,उपत्यकामा,valley
743,मूल्य,value
522,भिन्न,vary
468,क्रिया,verb
127,धेरै,very
749,दृष्टिकोण,view
703,गाउँमा,village
583,भ्रमण,visit
500,आवाज,voice
479,स्वर,vowel
413,प्रतीक्षा,wait
282,हिंड्न,walk
564,पर्खाल,wall
54,चाहनुहुन्छ,want
481,युद्ध,war
439,न्यानो,warm
6,थियो,was
807,धुनु,wash
269,घडी,watch
190,पानी,water
538,लहर,wave
157,बाटो,way
35,हामी,we
637,लगाउँछन्,wear
589,मौसम,weather
431,हप्ता,week
525,वजन,weight
56,राम्रो,well
82,गए,went
39,थिए,were
463,पश्चिम,west
22,के,what
356,पाङ्ग्रा,wheel
153,जब,when
110,जहाँ,where
710,कि,whether
40,जो,which
243,जबकि,while
278,सेतो,white
194,जो,who
348,सारा,whole
776,जसको,whose
78,किन,why
548,व्यापक,wide
964,पत्नी,wife
574,जङ्गली,wild
45,हुनेछ,will
937,जीत,win
330,हावा,wind
555,सञ्झ्याल,window
804,भाग,wing
571,जाडो,winter
633,तार,wire
567,इच्छा,wish
10,संग,with
799,महिला,woman
906,महिला,women
378,आश्चर्य,wonder
752,नहीं हुनेछ,won’t
272,काठ,wood
20,शब्द,word
103,काम,work
95,संसार,world
163,हुनेछ,would
162,लेख्न,write
573,लिखित,written
989,गलत,wrong
614,यस्तो लेखे,wrote
622,यार्ड,yard
117,वर्ष,year
839,पहेंलो,yellow
394,हो,yes
537,अझै,yet
26,तपाईं,you
305,जवान,young
156,आफ्नो,your
