number,kazakh,english
64,қол,hand
332,орын,happen
594,бақытты,happy
231,қиын,hard
174,бар,has
953,hat,hat
15,бар,have
5,ол,he
201,бас,head
265,тыңдау,hear
451,естідім,heard
540,жүрек,heart
390,ыстық,heat
543,ауыр,heavy
716,өткізілген,held
135,көмектесіңіздер,help
167,оның,her
71,мұнда,here
74,биік,high
724,төбе,hill
172,оған,him
3,оның,his
788,тарихы,history
771,hit,hit
462,ұстау,hold
699,тесік,hole
62,үй,home
595,үміт,hope
266,жылқы,horse
19,ыстық,hot
387,ыстық,hot
453,сағат,hour
87,үй,house
46,қалай,how
918,үлкен,huge
787,адам,human
457,жүз,hundred
502,аңшылық,hunt
828,асығу,hurry
2,мен,i
527,мұз,ice
259,идея,idea
44,егер,if
794,елестету,imagine
34,жылы,in
351,дюймдік,inch
531,қамтиды,include
783,көрсету,indicate
742,өнеркәсіп,industry
780,жәндік,insect
877,лезде,instant
575,аспап,instrument
465,қызығушылық,interest
970,ойлап,invent
691,темір,iron
24,болып табылады,is
365,арал,island
25,бұл,it
580,жұмыс,job
617,қосылу,join
570,қуаныш,joy
700,секіру,jump
129,әділ,just
221,ұстау,keep
576,сақталады,kept
690,кілт,key
657,өлтіру,kill
84,мейірімді,kind
349,патша,king
344,білген,knew
189,білу,know
621,ханым,lady
659,көл,lake
70,жер,land
399,тіл,language
66,үлкен,large
224,соңғы,last
240,кеш,late
379,күлкі,laugh
730,заң,law
482,қою,lay
408,қорғасын,lead
213,үйрену,learn
610,кем дегенде,least
321,қалдыру,leave
929,жарық диодты индикатор,led
239,сол,left
562,аяқ,leg
516,ұзындық,length
474,аздау,less
225,мүмкіндік,let
293,хат,letter
978,деңгей,level
745,өтірік,lie
248,өмір,life
848,көтеру,lift
83,жеңіл,light
164,сияқты,like
137,сызық,line
894,сұйық,liquid
310,тізім,list
470,тыңдау,listen
113,кішкентай,little
109,тірі,live
777,орналастыру,locate
895,журнал,log
561,жалғыз,lone
168,ұзақ,long
175,іздеу,look
635,жоғалған,lost
687,көп,lot
662,қатты,loud
487,махаббат,love
136,төмен,low
411,машина,machine
108,құрады,made
909,магнит,magnet
273,басты,main
835,майор,major
169,жасау,make
116,адам,man
159,көптеген,many
493,карта,map
291,белгі,mark
878,базар,market
932,масса,mass
851,мастер,master
913,матч,match
550,материал,material
528,мәселе,matter
195,мүмкін,may
122,маған,me
142,білдіреді,mean
896,білдіреді,meant
323,өлшеу,measure
817,ет,meat
704,кездестіру,meet
601,әуен,melody
80,ерлер,men
709,металл,metal
672,әдіс,method
656,орта,middle
233,лязат,might
295,миля,mile
670,сүт,milk
591,миллион,million
444,ақыл,mind
832,шахта,mine
441,минут,minute
388,сағыну,miss
631,араластыру,mix
769,қазіргі заманғы,modern
987,молекуласы,molecule
660,сәт,moment
489,ақша,money
590,ай,month
364,ай,moon
176,көбірек,more
475,таң,morning
185,көбінесе,most
94,ана,mother
892,қозғалыс,motion
566,mount,mount
261,тау,mountain
606,ауыз,mouth
144,ауыстыру,move
141,өте,much
352,көбейту,multiply
288,музыка,music
72,керек,must
187,менің,my
126,ат,name
668,ұлт,nation
748,табиғи,natural
889,табиғат,nature
96,жақын,near
802,қажет,necessary
900,мойын,neck
86,мұқтаждық,need
806,көрші,neighbor
223,ешқашан да,never
102,жаңа,new
277,келесі,next
246,түн,night
975,тоғыз,nine
184,жоқ,no
977,шу,noise
767,талтүс,noon
947,"де,",nor
250,солтүстік,north
996,мұрын,nose
412,ескерту,note
353,ештеңе,nothing
499,ескерту,notice
418,зат есім,noun
199,қазір,now
182,нөмір,number
328,сан,numeral
360,зат,object
664,байқау,observe
886,пайда,occur
438,мұхит,ocean
30,туралы,of
85,ажыратылған,off
873,ұсыну,offer
603,кеңсе,office
292,жиі,often
435,oh,oh
626,мұнай,oil
147,ескі,old
8,бойынша,on
263,бір рет,once
14,бір,one
114,тек,only
274,ашық,open
760,басқару,operate
963,қарама-қарсы,opposite
27,немесе,or
338,тапсырыс,order
673,орган,organ
865,түпнұсқа,original
38,басқа,other
124,біздің,our
37,жүзеге,out
188,үстінде,over
203,өз,own
901,оттегі,oxygen
204,бет,page
398,бояу,paint
530,жұп,pair
285,қағаз,paper
713,параграф,paragraph
853,ата-аналар,parent
104,бөлім,part
959,ерекше,particular
774,партия,party
345,өту,pass
584,өткен,past
893,соқпақ,path
484,үлгі,pattern
674,төлеу,pay
186,адамдар,people
510,мүмкін,perhaps
782,кезең,period
488,адам,person
734,сөйлем,phrase
511,жинау,pick
88,сурет,picture
342,кесек,piece
930,қадам,pitch
107,орын,place
302,анық,plain
414,жоспар,plan
375,ұшақ,plane
827,планета,planet
214,өсімдік,plant
58,ойын,play
765,өтінемін,please
997,көптік,plural
813,өлең,poem
93,тармақ,point
686,кедей,poor
880,толтыру,populate
65,порт,port
320,қалып,pose
546,позиция,position
374,мүмкін,possible
860,кейінгі,post
423,қадақ,pound
402,күш,power
761,практика,practice
994,әзірлеу,prepare
542,қазіргі,present
244,баспасөз,press
904,әдемі,pretty
842,басу,print
503,ықтимал,probable
341,проблема,problem
759,процесс,process
448,шығару,produce
325,өнім,product
871,дұрыс,proper
985,меншік,property
766,қорғау,protect
560,дәлелдеу,prove
795,қамтамасыз ету,provide
497,тарт,pull
711,басыңыз,push
61,қою,put
974,тоқсан,quart
331,сұрақ,question
436,жылдам,quick
680,тыныш,quiet
653,әбден,quite
897,фактор,quotient
554,нәсіл,race
784,радио,radio
793,рельс,rail
494,жаңбыр,rain
707,көтеру,raise
382,ran,ran
890,диапазон,range
809,тезірек,rather
466,жету,reach
63,оқу,read
306,дайын,ready
247,шын,real
515,себеп,reason
604,алу,receive
370,рекорд,record
309,қызыл,red
520,аймақ,region
459,есте сақтау,remember
991,қайталау,repeat
884,жауап,reply
517,бейнелеу,represent
992,талап,require
420,демалыс,rest
722,нәтиже,result
756,бай,rich
507,жүру,ride
145,оң,right
778,жүзік,ring
623,көтерілу,rise
296,өзен,river
492,жол,road
337,rock,rock
739,орам,roll
256,бөлме,room
705,түбір,root
935,арқан,rope
840,раушан,rose
115,дөңгелек,round
605,қатар,row
818,руб,rub
495,ереже,rule
241,жүгіру,run
725,қауіпсіз,safe
47,деді,said
549,жүзу,sail
995,тұз,salt
149,бірдей,same
737,құм,sand
572,сб,sat
648,құтқару,save
235,ара,saw
134,айту,say
661,ауқымды,scale
209,мектеп,school
254,ғылым,science
926,гол,score
237,теңіз,sea
837,іздеу,search
907,маусымы,season
949,орын,seat
300,секунд,second
676,бөлім,section
171,көру,see
615,тұқым,seed
275,көрінуі,seem
874,сегмент,segment
988,таңдау,select
98,өзін-өзі,self
954,сату,sell
838,жіберу,send
750,сезім,sense
640,жіберілген,sent
131,сөйлем,sentence
762,жеке,separate
490,қызмет ету,serve
52,орнату,set
523,реттеуге,settle
712,жеті,seven
478,бірнеше,several
715,міндетті,shall
385,кескін,shape
866,үлес,share
803,өткір,sharp
150,ол,she
856,табақ,sheet
899,қабыршақ,shell
984,жылтыр,shine
334,кеме,ship
965,туфли,shoe
981,дүкен,shop
854,жаға,shore
327,қысқа,short
205,қажет,should
966,иық,shoulder
612,айқайлау,shout
119,көрсету,show
197,тарап,side
284,көру,sight
582,белгі,sign
735,тыныш,silent
910,күміс,silver
923,ұқсас,similar
477,қарапайым,simple
346,бастап,since
469,ән салу,sing
692,бір,single
919,қарындас,sister
553,отыру,sit
471,алты,six
521,мөлшері,size
905,шеберлік,skill
696,тері,skin
568,аспан,sky
875,құл,slave
559,ұйықтау,sleep
936,таю,slip
485,баяу,slow
59,кішкентай,small
945,иіс,smell
697,күлімсіреу,smile
391,қар,snow
165,осылай,so
585,жұмсақ,soft
738,топырақ,soil
758,солдат,soldier
908,шешім,solution
708,шешу,solve
23,кейбір,some
658,ұл,son
322,ән,song
315,тез,soon
183,дыбыс,sound
340,оңтүстік,south
450,ғарыш,space
524,айту,speak
443,арнаулы,special
888,сөйлеу,speech
671,жылдамдық,speed
67,емле,spell
861,жұмсауға,spend
785,спица,spoke
844,дақ,spot
967,тарату,spread
663,көктем,spring
514,шаршы,square
202,тұру,stand
416,жұлдыз,star
232,бастау,start
220,мемлекет,state
867,станция,station
355,болу,stay
376,stead,stead
891,бу,steam
920,болат,steel
460,қадам,step
693,таяқ,stick
212,қимылсыз,still
681,тас,stone
427,тұрды,stood
262,тоқта,stop
556,қойма,store
234,әңгіме,story
666,түзу,straight
598,оғаш,strange
822,ағыны,stream
350,көше,street
982,созу,stretch
814,жол,string
442,күшті,strong
772,студент,student
211,оқу,study
519,пән,subject
857,зат,substance
957,шегеру,subtract
955,табыс,success
75,сондай,such
512,кенет,sudden
914,жұрнақ,suffix
902,қант,sugar
618,ұсынамыз,suggest
846,костюм,suit
557,жаз,summer
217,күн,sun
775,жабдықтау,supply
887,қолдау,support
268,сенімді,sure
362,беті,surface
679,тосын,surprise
961,жүзу,swim
533,слог,syllable
608,символы,symbol
367,жүйе,system
472,үстел,table
447,құйрық,tail
105,қабылдау,take
313,әңгіме,talk
736,ұзын бойлы,tall
430,үйрету,teach
632,команда,team
898,тістері,teeth
50,айту,tell
740,температура,temperature
476,он,ten
962,мерзім,term
369,сынақ,test
191,қарағанда,than
911,алғыс айту,thank
4,сол,that
29,the,the
42,олардың,their
161,оларға,them
160,содан кейін,then
152,ана жерде,there
166,осы,these
11,олар,they
757,қалың,thick
825,жұқа,thin
170,нәрсе,thing
133,ойлау,think
714,үшінші,third
16,осы,this
289,олар,those
311,дегенмен,though
226,ой,thought
380,мың,thousand
53,үш,three
128,арқылы,through
983,лақтыру,throw
797,осылайша,thus
833,галстук,tie
43,уақыт,time
682,кішкентай,tiny
392,шина,tire
31,қарай,to
276,бірге,together
343,айтты,told
616,үн,tone
148,де,too
253,алды,took
942,аспап,tool
347,үстінен,top
943,жалпы,total
628,жанасу,touch
480,қарай,toward
403,қала,town
852,жол,track
600,сауда,trade
558,поезд,train
473,саяхат,travel
228,ағаш,tree
826,үшбұрыш,triangle
602,сапар,trip
611,қиыншылық,trouble
976,жүк көлігі,truck
455,шынайы,true
89,әрекет,try
819,түтік,tube
139,бұрылу,turn
695,жиырма,twenty
173,екі,two
729,түрі,type
125,астында,under
401,бірлік,unit
294,дейін,until
154,жоғары,up
90,бізді,us
155,пайдалану,use
304,әдеттегі,usual
946,аңғар,valley
743,құн,value
522,өзгерту,vary
468,етістік,verb
127,өте,very
749,көрініс,view
703,ауыл,village
583,бару,visit
500,дауыс,voice
479,дауысты,vowel
413,күту,wait
282,серуен,walk
564,қабырға,wall
54,келеді,want
481,соғыс,war
439,жылы,warm
6,болды,was
807,жуу,wash
269,сағат,watch
190,су,water
538,толқын,wave
157,жол,way
35,біз,we
637,кию,wear
589,ауа райы,weather
431,апта,week
525,салмақ,weight
56,жақсы,well
82,барды,went
39,болды,were
463,батыс,west
22,не,what
356,дөңгелек,wheel
153,қашан,when
110,қайда,where
710,ма,whether
40,қай,which
243,уақыт,while
278,ақ,white
194,кім,who
348,бүтін,whole
776,кімнің,whose
78,неге,why
548,кең,wide
964,әйел,wife
574,жабайы,wild
45,ерік,will
937,жеңіс,win
330,жел,wind
555,терезе,window
804,қанат,wing
571,қыс,winter
633,сым,wire
567,тілек,wish
10,бірге,with
799,әйел,woman
906,әйелдер,women
378,керемет,wonder
752,емес болады,won’t
272,орман,wood
20,сөз,word
103,жұмыс,work
95,әлем,world
163,еді,would
162,жазу,write
573,жазбаша,written
989,қате,wrong
614,деп жазды,wrote
622,аула,yard
117,жыл,year
839,сары,yellow
394,иә,yes
537,тағы,yet
26,сіз,you
305,жас,young
156,сіздің,your
