number,malayalam,english
587,തിളങ്ങുന്ന,bright
393,കൊണ്ടുവരിക,bring
993,വിശാലമായ,broad
654,തകർത്തുകളഞ്ഞു,broke
505,സഹോദരൻ,brother
389,കൊണ്ടുവന്നു,brought
636,തവിട്ട്,brown
97,പണിയുക,build
723,കത്തിക്കുക,burn
368,തിരക്ക്,busy
21,പക്ഷേ,but
706,വാങ്ങുക,buy
18,കൊണ്ട്,by
192,വിളി,call
118,വന്നു,came
969,പാളയം,camp
36,കഴിയും,can
751,തലസ്ഥാനം,capital
800,നായകൻ,captain
297,കാര്,car
933,കാർഡ്,card
299,സംരക്ഷണം,care
252,കൊണ്ടുപോകും,carry
655,കേസ്,case
726,പൂച്ച,cat
565,പിടിക്കുക,catch
781,പിടിച്ചു,caught
140,കാരണം,cause
508,കോശം,cell
630,ശതമാനം,cent
486,കേന്ദ്രം,center
727,നൂറ്റാണ്ട്,century
405,ചില,certain
753,കസേര,chair
979,അവസരം,chance
81,മാറ്റം,change
779,പ്രതീകം,character
870,ചാർജ്ജ്,charge
952,ചാർട്ട്,chart
383,പരിശോധന,check
881,കൊഴി,chick
829,നേതാവ്,chief
665,കുട്ടി,child
279,മക്കൾ,children
641,തിരഞ്ഞെടുക്കുക,choose
862,ശബ്ദവലയം,chord
529,വലയം,circle
227,നഗരം,city
999,അവകാശം,claim
329,ക്ലാസ്,class
619,വെടിപ്പുള്ള,clean
446,തെളിഞ്ഞ,clear
683,കയറുക,climb
831,ഘടികാരം,clock
245,അടയ്ക്കുക,close
597,ധരിപ്പിക്കും,clothe
678,മേഘം,cloud
732,തീരം,coast
931,അങ്കി,coat
498,തണുത്ത,cold
647,ശേഖരിക്കുക,collect
830,കോളനി,colony
270,നിറം,color
986,കോളം,column
180,വരിക,come
372,പൊതുവായ,common
956,സംഘം,company
812,താരതമ്യം,compare
333,പൂർണ്ണമായ,complete
940,അവസ്ഥ,condition
859,കണക്ട്,connect
728,പരിഗണിക്കുക,consider
667,വഞ്ജനാക്ഷരം,consonant
428,അടങ്ങിയിട്ടുണ്ട്,contain
1000,ഭൂഖണ്ഡം,continent
950,തുടരുക,continue
649,നിയന്ത്രണം,control
719,പാചകക്കാരന്,cook
684,അടിപൊളി,cool
733,പകര്പ്പ്,copy
811,ചോളം,corn
773,മൂല,corner
421,ശരിയായ,correct
634,വില,cost
971,പരുത്തി,cotton
178,കഴിഞ്ഞില്ല,could
513,എണ്ണം,count
206,രാജ്യം,country
354,ഗതി,course
215,മൂടി,cover
579,പശു,cow
698,ക്രീസിൽ,crease
805,സൃഷ്ടിക്കുക,create
768,വിളവ്,crop
229,കുരിശ്,cross
810,കൂട്ടം,crowd
409,നിലവിളി,cry
847,നിലവിലെ,current
267,മുറിക്കുക,cut
868,അച്ഛന്,dad
544,നൃത്തം,dance
754,അപായം,danger
410,ഇരുണ്ട,dark
177,ദിവസം,day
843,മരിച്ച,dead
960,കരാര്,deal
882,പ്രിയ,dear
903,മരണം,death
361,തീരുമാനിക്കുക,decide
650,ദശാംശ,decimal
363,ആഴമുള്ള,deep
879,ബിരുദം,degree
816,ആശ്രയിച്ചിരിക്കുന്നു,depend
718,വിവരിക്കുക,describe
845,മരുഭൂമിയിൽ,desert
685,ഡിസൈന്,design
973,തീരുമാനിക്കുക,determine
437,വികസിപ്പിക്കുക,develop
669,നിഘണ്ടു,dictionary
181,ചെയ്തു,did
609,മരിക്കുക,die
138,ഭിന്നത,differ
763,പ്രയാസമാണ്,difficult
319,നേരായ,direct
921,ചർച്ച,discuss
395,ദൂരെയുള്ള,distant
532,വീതിക്കുക,divide
855,ഡിവിഷൻ,division
41,ചെയ്യുക,do
764,ഡോക്ടര്,doctor
51,does,does
317,നായ്,dog
921,ഡോളറിന്,dollar
424,പൂർത്തിയായി,done
242,ചെയ്യരുത്,don’t
324,വാതില്,door
948,ഇരട്ട,double
196,ഇറങ്ങി,down
238,വര്ണിക്കുക,draw
938,സ്വപ്നം,dream
677,ഉടുക്കുക,dress
885,പാനീയം,drink
426,ഡ്രൈവ്,drive
539,ഡ്രോപ്പ്,drop
377,ഉണങ്ങിയ,dry
876,ഡക്ക്,duck
456,കാലത്ത്,during
49,ഓരോ,each
651,ചെവി,ear
461,നേരത്തെയുള്ള,early
99,ഭൂമി,earth
284,എളുപ്പമുണ്ടായിരിക്കും,ease
397,കിഴക്ക്,east
255,ഭക്ഷണം,eat
581,അറ്റം,edge
789,ഫലം,effect
506,മുട്ട,egg
702,എട്ട്,eight
721,ഒന്നുകിൽ,either
790,വൈദ്യുത,electric
770,മൂലകം,element
652,മറ്റാരെങ്കിലും,else
60,അവസാനിക്കുന്നു,end
883,ശത്രു,enemy
501,ഊര്ജം,energy
545,എഞ്ചിൻ,engine
301,മതി,enough
834,നൽകുക,enter
639,ചിഹ്നം,equal
386,ആക്കുമോ,equate
915,വിശേഷാല്,especially
69,പോലും,even
939,വൈകുന്നേരം,evening
958,സംഭവം,event
308,എപ്പോഴും,ever
120,ഓരോ,every
607,സൂക്ഷ്മമായ,exact
283,ഉദാഹരണം,example
613,ഒഴികെ,except
747,ഉണര്ത്തുക,excite
563,വ്യായാമം,exercise
791,പ്രതീക്ഷ,expect
925,പരിചയം,experience
688,പരീക്ഷണം,experiment
222,കണ്ണ്,eye
271,മുഖം,face
449,വസ്തുത,fact
645,മേള,fair
407,വീഴ്ച,fall
318,കുടുംബം,family
820,പേരുകേട്ട,famous
236,ഇതുവരെ,far
230,ഫാം,farm
467,ഉപവാസം,fast
863,കൊഴുപ്പ്,fat
100,പിതാവ്,father
858,അനുഗ്രഹം,favor
823,ഭയം,fear
941,തീറ്റ,feed
312,സ്പര്ശിക്കുക,feel
298,കാൽ,feet
642,അസ്വസ്ഥനായിരുന്നു,fell
534,തോന്നി,felt
249,കുറെ,few
419,മണ്ഡലം,field
916,അത്തിപ്പഴം,fig
744,യുദ്ധം,fight
415,ചിത്രം,figure
396,നിറയ്ക്കുക,fill
432,ഫൈനലിൽ,final
200,കണ്ടെത്തുക,find
404,പിഴ,fine
741,വിരല്,finger
593,തീര്ക്കുക,finish
339,തീ,fire
193,ആദ്യം,first
260,മത്സ്യം,fish
643,യോജമാക്കുക,fit
458,അഞ്ച്,five
694,പരന്ന,flat
720,തറ,floor
644,ഒഴുക്ക്,flow
596,പൂവ്,flower
406,ഈച്ച,fly
76,പിന്തുടരുക,follow
216,ഭക്ഷണം,food
366,പാദം,foot
7,വേണ്ടി,for
358,ശക്തി,force
552,കാട്,forest
130,രൂപം,form
922,മുന്നോട്ട്,forward
207,കണ്ടെത്തി,found
218,നാല്,four
551,അംശം,fraction
440,സ്വതന്ത്ര,free
836,പുതിയ,fresh
257,സ്നേഹിതന്,friend
17,നിന്ന്,from
429,ഫ്രണ്ട്,front
755,പഴം,fruit
357,നിറഞ്ഞ,full
586,തമാശ,fun
384,കളി,game
638,തോട്ടം,garden
588,വാതകം,gas
980,ശേഖരിച്ചു,gather
433,കൊടുത്തു,gave
526,പൊതുവായ,general
798,ശാന്തനും,gentle
106,തെരഞ്ഞെടുക്കപ്പെട്ടതാണ്,get
303,പെണ്കുട്ടി,girl
123,കൊടുക്കുക,give
864,സന്തോഷിച്ചു,glad
577,ഗ്ലാസ്,glass
179,പോയി,go
373,സ്വർണം,gold
599,മാറിപ്പോയല്ലോ,gone
121,നല്ല,good
281,കിട്ടി,got
496,ഭരിക്കുക,govern
535,grand,grand
578,പുല്ല്,grass
990,ചാര,gray
132,മഹത്തായ,great
434,പച്ചയായ,green
629,വളർന്നു,grew
464,നിലത്തു,ground
286,ഗ്രൂപ്പ്,group
210,വളരും,grow
801,ഊഹിക്കുക,guess
924,വഴികാട്ടി,guide
840,നോക്ക്,gun
28,ഉണ്ടായിരുന്നു,had
717,തലമുടി,hair
336,പകുതി,half
64,കൈ,hand
332,സംഭവിക്കുക,happen
594,സന്തുഷ്ടമായ,happy
231,ഹാർഡ്,hard
174,ഉണ്ട്,has
953,തൊപ്പി,hat
15,ഞങ്ങൾക്കുണ്ട്,have
5,അവന്,he
201,തല,head
265,കേള്ക്കുക,hear
451,കേട്ടു,heard
540,ഹൃദയം,heart
390,ചൂട്,heat
543,ഭാരമുള്ള,heavy
716,held,held
135,സഹായം,help
167,അവള്,her
71,ഇവിടെ,here
74,ഉയര്ന്ന,high
724,കുന്ന്,hill
172,അവനെ,him
3,അവന്റെ,his
788,ചരിത്രം,history
771,തല്ലുക,hit
462,പിടിക്കുക,hold
699,തുള,hole
62,വീട്,home
595,പ്രത്യാശ,hope
266,കുതിര,horse
19,ചൂടുള്ള,hot
387,ചൂടുള്ള,hot
453,മണിക്കൂര്,hour
87,വീട്,house
46,എങ്ങനെ,how
918,വലിയ,huge
787,മാനുഷികമായ,human
457,നൂറ്,hundred
502,നായാട്ട്,hunt
828,ധൃതികൂട്ടുക,hurry
2,ഞാന്,i
527,മഞ്ഞ്,ice
259,ആശയം,idea
44,എങ്കില്,if
794,സങ്കൽപ്പിക്കാൻ,imagine
34,ലെ,in
351,ഇഞ്ച്,inch
531,ഉൾപ്പെടുന്നു,include
783,സൂചിപ്പിക്കുക,indicate
742,വ്യവസായം,industry
780,പുഴു,insect
877,തൽക്ഷണ,instant
575,ഉപകരണം,instrument
465,പലിശ,interest
970,കെട്ടിയുണ്ടാക്കുകയുമാണ്,invent
691,ഇരുമ്പ്,iron
24,ആകുന്നു,is
365,ദ്വീപ്,island
25,അത്,it
580,ജോലി,job
617,ചേരാൻ,join
570,സന്തോഷം,joy
700,കുതിക്കുക,jump
129,വെറും,just
221,സൂക്ഷിക്കുക,keep
576,ആചരിച്ചു,kept
690,കീ,key
657,കൊല്ലുക,kill
84,തരം,kind
349,രാജാവ്,king
344,അറിഞ്ഞു,knew
189,അറിയുക,know
621,യുവതിയുടെ,lady
659,തടാകം,lake
70,നിലം,land
399,ഭാഷ,language
66,വലിയ,large
224,കഴിഞ്ഞ,last
240,വൈകി,late
379,ചിരിക്കുക,laugh
730,നിയമം,law
482,കിടന്നു,lay
408,ഈയം,lead
213,പഠിക്കാൻ,learn
610,കുറഞ്ഞത്,least
321,വിട്ടേക്കുക,leave
929,എൽഇഡി,led
239,ഇടത്തെ,left
562,കാല്,leg
516,ദൈർഘ്യം,length
474,കുറവ്,less
225,എന്നു,let
293,അക്ഷരം,letter
978,നില,level
745,നുണ,lie
248,ജീവന്,life
848,ലിഫ്റ്റ്,lift
83,വെളിച്ചം,light
164,പോലെ,like
137,വര,line
894,ദ്രാവക,liquid
310,പട്ടിക,list
470,കേൾക്കാൻ,listen
113,ചെറിയ,little
109,ജീവിക്കുക,live
777,കണ്ടുപിടിക്കുക,locate
895,രേഖ,log
561,ഏക,lone
168,നീളമുള്ള,long
175,നോക്കുക,look
635,നഷ്ടപ്പെട്ട,lost
687,ചീട്ടു,lot
662,ഉച്ചത്തിലുള്ള,loud
487,സ്നേഹം,love
136,കുറഞ്ഞ,low
411,യന്ത്രം,machine
108,ഉണ്ടാക്കി,made
909,കാന്തം,magnet
273,പ്രധാന,main
835,പ്രധാന,major
169,ഉണ്ടാക്കുക,make
116,മനുഷ്യൻ,man
159,വളരെ,many
493,ഭൂപടം,map
291,അടയാളം,mark
878,വിപണി,market
932,പിണ്ഡം,mass
851,യജമാനന്,master
913,മത്സരം,match
550,വസ്തു,material
528,കാര്യം,matter
195,മേയ്,may
122,എന്നോട്,me
142,അർത്ഥമാക്കുന്നത്,mean
896,ഉദ്ദേശിച്ചത്,meant
323,അളവ്,measure
817,മാംസം,meat
704,സംഗമം,meet
601,മാധുരമായ,melody
80,പുരുഷന്മാർ,men
709,ലോഹം,metal
672,രീതി,method
656,മദ്ധ്യ,middle
233,ശക്തി,might
295,നാഴിക,mile
670,പാൽ,milk
591,ദശലക്ഷം,million
444,മനസ്സ്,mind
832,എന്റെ,mine
441,മിനിറ്റ്,minute
388,നഷ്ടപ്പെടുക,miss
631,കൂട്ടിക്കലര്ത്തുക,mix
769,ആധുനികമായ,modern
987,തന്മാത്ര,molecule
660,നിമിഷം,moment
489,പണം,money
590,മാസം,month
364,ചന്ദ്രൻ,moon
176,കൂടുതൽ,more
475,രാവിലെ,morning
185,ഏറ്റവും,most
94,അമ്മ,mother
892,ചലനം,motion
566,മൌണ്ട്,mount
261,പര്വ്വതം,mountain
606,വായ,mouth
144,നീക്കുക,move
141,വളരെ,much
352,പെരുക്കുക,multiply
288,സംഗീതം,music
72,ആവശമാകുന്നു,must
187,എന്റെ,my
126,പേര്,name
668,ജാതി,nation
748,പ്രകൃതി,natural
889,പ്രകൃതി,nature
96,അടുത്തു,near
802,ആവശ്യമായ,necessary
900,കഴുത്ത്,neck
86,ആവശ്യം,need
806,കൂട്ടുകാരനെ,neighbor
223,ഒരിക്കലും,never
102,പുതിയ,new
277,അടുത്തത്,next
246,രാത്രി,night
975,ഒന്പത്,nine
184,ഇല്ല,no
977,ശബ്ദം,noise
767,ഉച്ചയ്ക്ക്,noon
947,അരുതു,nor
250,വടക്ക്,north
996,മൂക്ക്,nose
412,കുറിപ്പ്,note
353,ഒന്നും,nothing
499,അറിയിപ്പ്,notice
418,നാമം,noun
199,ഇപ്പോള്,now
182,അക്കം,number
328,സംഖ,numeral
360,വസ്തു,object
664,നിരീക്ഷിക്കുക,observe
886,സംഭവിക്കുക,occur
438,സമുദ്രം,ocean
30,ഒരു,of
85,ഓഫ്,off
873,വാഗ്ദാനം,offer
603,ഓഫീസ്,office
292,അടിക്കടി,often
435,ഓ,oh
626,എണ്ണ,oil
147,പഴയ,old
8,മേല്,on
263,ഒരിക്കല്,once
14,ഒന്ന്,one
114,മാത്രം,only
274,തുറക്കുക,open
760,ഓപ്പറേറ്റ്,operate
963,സമ്മുഖ,opposite
27,അഥവാ,or
338,ഓർഡർ,order
673,ശരീരാവയവം,organ
865,യഥാർത്ഥ,original
38,മറ്റ്,other
124,നമ്മുടെ,our
37,പുറത്ത്,out
188,ഓരോ,over
203,സ്വന്തം,own
901,ഓക്സിജൻ,oxygen
204,പേജ്,page
398,ചായം,paint
530,ഇണ,pair
285,കടലാസ്,paper
713,ഖണ്ഡിക,paragraph
853,പാരന്റ്,parent
104,ഭാഗം,part
959,പ്രത്യേക,particular
774,കക്ഷി,party
345,ചുരം,pass
584,കഴിഞ്ഞ,past
893,പാത,path
484,മാതൃക,pattern
674,കൂലി,pay
186,ജനം,people
510,ഒരുപക്ഷേ,perhaps
782,കാലഘട്ടം,period
488,വ്യക്തി,person
734,ശൈലി,phrase
511,തിരഞ്ഞെടുക്കാവുന്നതാണ്,pick
88,ചിതം,picture
342,കഷണം,piece
930,പിച്ച്,pitch
107,സ്ഥലം,place
302,പ്ലെയിൻ,plain
414,പദ്ധതി,plan
375,വിമാനം,plane
827,ഗ്രഹം,planet
214,ചെടി,plant
58,കളി,play
765,ദയവായി,please
997,പദത്തിന്റെ,plural
813,കവിത,poem
93,ബിന്ദു,point
686,പാവപ്പെട്ട,poor
880,ജനപ്രിയമാക്കുന്നതിന്,populate
65,തുറമുഖം,port
320,ഭാവം,pose
546,സ്ഥാനം,position
374,സാധ്യത,possible
860,സ്ഥാനം,post
423,റാത്തല്,pound
402,ശക്തി,power
761,പരിശീലനം,practice
994,ഒരുക്കും,prepare
542,സമ്മാനം,present
244,അമർത്തുക,press
904,പ്രെറ്റി,pretty
842,അച്ചടിക്കുക,print
503,സംഭാവമായ,probable
341,പ്രശ്നം,problem
759,പ്രക്രിയ,process
448,ഉൽപ്പാദിപ്പിക്കുക,produce
325,ഉത്പന്നം,product
871,ശരിയായ,proper
985,യോഗ്യത,property
766,സംരക്ഷിക്കുക,protect
560,തെളിയിക്കുക,prove
795,നൽകുന്നതിന്,provide
497,വലിക്കുക,pull
711,തള്ളുക,push
61,ഇടുക,put
974,നല്ലൊരു,quart
331,ചോദ്യം,question
436,പെട്ടെന്നുള്ള,quick
680,മിണ്ടാതിരിപ്പാൻ,quiet
653,തികച്ചും,quite
897,ഘടകഗ്രൂപ്പുകൾ,quotient
554,ഓട്ടം,race
784,റേഡിയോ,radio
793,റെയിൽ,rail
494,മഴ,rain
707,ഉളവാക്കുവാൻ,raise
382,ത്ത്,ran
890,പരിധി,range
809,അധികമായി,rather
466,എത്താൻ,reach
63,വായിക്കുക,read
306,തയ്യാറായ,ready
247,യഥാർത്ഥ,real
515,കാരണം,reason
604,ലഭിക്കും,receive
370,രേഖ,record
309,ചുവപ്പ്,red
520,പ്രദേശം,region
459,സ്മരിക്കുക,remember
991,ആവര്ത്തിക്കുക,repeat
884,മറുപടി,reply
517,പ്രതിനിധാനം,represent
992,ആവശ്യമായ,require
420,ബാക്കി,rest
722,ഫലം,result
756,സമ്പന്നമായ,rich
507,കുതിരസവാരി,ride
145,വലത്,right
778,വളയം,ring
623,വർധന,rise
296,നദി,river
492,റോഡ്,road
337,പാറ,rock
739,ഉരുളുക,roll
256,ഇടം,room
705,വേര്,root
935,കയര്,rope
840,പനിനീര്പ്പൂവ്,rose
115,ചുറ്റും,round
605,നിര,row
818,തടവുക,rub
495,ചട്ടം,rule
241,ഓട്ടം,run
725,സുരക്ഷിതമായ,safe
47,പറഞ്ഞു,said
549,കപ്പല്യാതചെയ്യുക,sail
995,ഉപ്പ്,salt
149,ഒരേ,same
737,മണല്,sand
572,ശ,sat
648,അല്ലാതെ,save
235,കണ്ടു,saw
134,പറയുക,say
661,സ്കെയിൽ,scale
209,സ്കൂൾ,school
254,ശാസ്ത്രം,science
926,സ്കോർ,score
237,കടല്,sea
837,തിരയൽ,search
907,കാലം,season
949,ഇരിപ്പിടം,seat
300,സെക്കന്റ്,second
676,വിഭാഗം,section
171,കാണുക,see
615,വിത്ത്,seed
275,തോന്നുക,seem
874,സെഗ്മെന്റ്,segment
988,തെരഞ്ഞെടുക്കുക,select
98,സ്വയം,self
954,വിറ്റു,sell
838,അയയ്ക്കുക,send
750,അർഥത്തിൽ,sense
640,അയച്ചു,sent
131,വിധി,sentence
762,പ്രത്യേക,separate
490,സേവിക്കുക,serve
52,ഗണം,set
523,settle,settle
712,ഏഴ്,seven
478,നിരവധി,several
715,എന്നു,shall
385,ആകൃതി,shape
866,പങ്കിടുക,share
803,കൂര്ത്ത,sharp
150,അവള്,she
856,ഷീറ്റ്,sheet
899,ഷെൽ,shell
984,തിളക്കം,shine
334,കപ്പല്,ship
965,ചെരുപ്പ്,shoe
981,കട,shop
854,തീരം,shore
327,കുറിയ,short
205,വേണം,should
966,തോളിൽ,shoulder
612,അലറുക,shout
119,കാണിക്കുക,show
197,വശം,side
284,കാഴ്ച,sight
582,അടയാളം,sign
735,നിശ്ശബ്ദമായ,silent
910,വെള്ളി,silver
923,സമാനമായ,similar
477,ലഘുവായ,simple
346,പിന്നീട്,since
469,പാടുക,sing
692,ഒറ്റ,single
919,സഹോദരി,sister
553,ഇരുന്നു,sit
471,ആറ്,six
521,വലുപ്പം,size
905,നൈപുണ്യ,skill
696,തൊലി,skin
568,ആകാശം,sky
875,അടിമ,slave
559,ഉറക്കം,sleep
936,അടിവസ്തം,slip
485,സ്ലോ,slow
59,ചെറിയ,small
945,മണം,smell
697,പുഞ്ചിരി,smile
391,മഞ്ഞ്,snow
165,അതുപോലെ,so
585,മൃദുവായ,soft
738,മണ്ണ്,soil
758,സൈനികന്റെ,soldier
908,പരിഹാരം,solution
708,പരിഹരിക്കാൻ,solve
23,കുറെ,some
658,മകൻ,son
322,പാട്ട്,song
315,പെട്ടെന്ന്,soon
183,ശബ്ദം,sound
340,തെക്ക്,south
450,ഇടം,space
524,സംസാരിക്കുക,speak
443,പ്രത്യേക,special
888,മൊഴി,speech
671,വേഗം,speed
67,അക്ഷരപ്പിശക്,spell
861,ചെലവഴിക്കുകയും,spend
785,സ്പോക്,spoke
844,പുള്ളി,spot
967,വിരിക്കുക,spread
663,അരുവി,spring
514,സമചതുരം,square
202,സ്റ്റാൻഡ്,stand
416,നക്ഷത്ര,star
232,തുടക്കം,start
220,അവസ്ഥ,state
867,സ്റ്റേഷൻ,station
355,താമസിക്കാൻ,stay
376,പകരം,stead
891,ആവി,steam
920,ഉരുക്ക്,steel
460,ചുവട്,step
693,വടി,stick
212,ഇപ്പോഴും,still
681,കല്ല്,stone
427,നിന്നു,stood
262,നിർത്തുക,stop
556,സ്റ്റോർ,store
234,കഥ,story
666,ഋജുവായത്,straight
598,അസാധാരണമായ,strange
822,സ്ട്രീം,stream
350,തെരുവ്,street
982,പരത്തുക,stretch
814,സ്ട്രിംഗ്,string
442,ശക്തമായ,strong
772,വിദ്യാർത്ഥി,student
211,പഠിക്കുക,study
519,വിഷയം,subject
857,സമ്പത്തു,substance
957,കുറയ്ക്കുക,subtract
955,വിജയം,success
75,അത്തരം,such
512,പെട്ടെന്നുള്ള,sudden
914,പ്രത്യയം,suffix
902,പഞ്ചസാര,sugar
618,suggest,suggest
846,വസ്തം,suit
557,വേനല്ക്കാലം,summer
217,സൂര്യൻ,sun
775,വിതരണം,supply
887,പിന്തുണ,support
268,ഉറപ്പാണോ,sure
362,ഉപരിതലം,surface
679,സർപ്രൈസ്,surprise
961,നീന്തുക,swim
533,അക്ഷരങ്ങൾ,syllable
608,ചിഹ്നം,symbol
367,സിസ്റ്റം,system
472,പട്ടിക,table
447,വാല്,tail
105,എടുക്കുക,take
313,സംവാദം,talk
736,പൊക്കമുള്ള,tall
430,പഠിപ്പിക്കുക,teach
632,ടീം,team
898,പല്ലുകൾ,teeth
50,പറയുന്നു,tell
740,താപനില,temperature
476,പത്ത്,ten
962,കാലാവധി,term
369,പരിശോധന,test
191,അധികം,than
911,നന്ദിപറയുക,thank
4,ആ,that
29,നബി,the
42,അവരുടെ,their
161,അവരെ,them
160,അപ്പോള്,then
152,അവിടെ,there
166,ഇവ,these
11,അവര്,they
757,കട്ടിയുള്ള,thick
825,കനംകുറഞ്ഞ,thin
170,വസ്തു,thing
133,ചിന്തിക്കുക,think
714,മൂന്നാമത്തെ,third
16,ഈ,this
289,ആ,those
311,ആയാലും,though
226,ചിന്ത,thought
380,ആയിരം,thousand
53,മൂന്ന്,three
128,മുഖാന്തിരം,through
983,എറിയുക,throw
797,ഇങ്ങനെ,thus
833,ടൈ,tie
43,കാലം,time
682,തീരെച്ചെറിയ,tiny
392,ക്ഷീണം,tire
31,ലേക്ക്,to
276,ഒന്നിച്ച്,together
343,പറഞ്ഞു,told
616,ഛായ,tone
148,കൂടി,too
253,എടുത്തു,took
942,ഉപകരണം,tool
347,മുകളിൽ,top
943,മൊത്തം,total
628,ടച്ച്,touch
480,നേരെ,toward
403,പട്ടണം,town
852,പാത,track
600,വ്യാപാരം,trade
558,തീവണ്ടി,train
473,യാത്രാ,travel
228,മരം,tree
826,തികോണം,triangle
602,ട്രിപ്പ്,trip
611,കഷ്ടത,trouble
976,വണ്ടി,truck
455,സത്യം,true
89,ശ്രമിക്കുക,try
819,കുഴല്,tube
139,വളവ്,turn
695,ഇരുപത്,twenty
173,രണ്ട്,two
729,ടൈപ്പ് ചെയ്യുക,type
125,കീഴെ,under
401,ഘടകം,unit
294,വരെ,until
154,അപ്,up
90,ഞങ്ങളെ,us
155,ഉപയോഗം,use
304,സാധാരണമായ,usual
946,താഴ്വര,valley
743,വില,value
522,വ്യത്യാസപ്പെടാം,vary
468,ക്രിയ,verb
127,വളരെ,very
749,കാഴ്ച,view
703,ഗ്രാമം,village
583,സന്ദര്ശനം,visit
500,ശബ്ദം,voice
479,സരം,vowel
413,കാക്കുക,wait
282,നടക്കുക,walk
564,ചുവര്,wall
54,ആഗ്രഹിക്കുന്നു,want
481,യുദ്ധം,war
439,ഊഷ്മള,warm
6,ആയിരുന്നു,was
807,കഴുകുക,wash
269,കാവൽ,watch
190,വെള്ളം,water
538,തിരമാല,wave
157,വഴി,way
35,ഞങ്ങള്,we
637,ധരിക്കാൻ,wear
589,കാലാവസ്ഥ,weather
431,ആഴ്ച,week
525,ഭാരം,weight
56,കിണറ്,well
82,പോയി,went
39,ആയിരുന്നു,were
463,പടിഞ്ഞാറ്,west
22,എന്ത്,what
356,ചക്രം,wheel
153,എപ്പോൾ,when
110,എവിടെ,where
710,എന്ന്,whether
40,ഏത്,which
243,സമയത്ത്,while
278,വെളുത്ത,white
194,ആര്,who
348,മുഴുവൻ,whole
776,ആരുടെ,whose
78,എന്തുകൊണ്ട്,why
548,വീതിയുള്ള,wide
964,ഭാര്യ,wife
574,കാട്ടുപന്നി,wild
45,will,will
937,വിജയം,win
330,കാറ്റ്,wind
555,ജാലകം,window
804,ചിറക്,wing
571,ശീതകാലം,winter
633,കന്വി,wire
567,അഭിലാഷം,wish
10,കൂടെ,with
799,സ്ത്രീ,woman
906,സ്ത്രീകൾ,women
378,വിസ്മയം,wonder
752,മനസ്സില്ല,won’t
272,മരം,wood
20,വാക്ക്,word
103,വേല,work
95,ലോകം,world
163,would,would
162,എഴുതുക,write
573,എഴുതിയ,written
989,തെറ്റായ,wrong
614,എഴുതി,wrote
622,ഗജം,yard
117,വര്ഷം,year
839,മഞ്ഞ,yellow
394,അതെ,yes
537,ഇതുവരെ,yet
26,നിങ്ങളെ,you
305,ഇളം,young
156,നിങ്ങളുടെ,your
