number,armenian,english
858,կողմ,favor
823,վախ,fear
941,վարդեր,feed
312,զգալ,feel
298,ոտքերը,feet
642,ընկել,fell
534,"զգացի,",felt
249,քիչ,few
419,դաշտ,field
916,թուզ,fig
744,կռիվ,fight
415,գործիչ,figure
396,լրացնել,fill
432,եզրափակիչ,final
200,գտնել,find
404,տուգանք,fine
741,մատ,finger
593,սալոնի,finish
339,կրակ,fire
193,առաջին,first
260,ձուկ,fish
643,տեղավորել,fit
458,հինգ,five
694,բնակարան,flat
720,հարկ,floor
644,հոսքը,flow
596,ծաղիկ,flower
406,թռչել,fly
76,հետեւել,follow
216,սնունդ,food
366,ոտքով,foot
7,համար,for
358,ուժ,force
552,անտառ,forest
130,ձեւը,form
922,առաջ,forward
207,հայտնաբերել,found
218,չորս,four
551,կոտորակ,fraction
440,ազատ,free
836,թարմ,fresh
257,ընկեր,friend
17,– ից,from
429,ճակատ,front
755,միրգ,fruit
357,լրիվ,full
586,զվարճանք,fun
384,խաղ,game
638,այգի,garden
588,գազ,gas
980,հավաքել,gather
433,տվեց,gave
526,գլխավոր,general
798,մեղմ,gentle
106,ստանալ,get
303,աղջիկ,girl
123,տալ,give
864,ուրախ,glad
577,ապակի,glass
179,գնալ,go
373,ոսկի,gold
599,գնացել,gone
121,լավ,good
281,ստացել,got
496,կառավարել,govern
535,մեծ,grand
578,խոտ,grass
990,գորշ,gray
132,մեծ,great
434,կանաչ,green
629,աճել,grew
464,հիմք,ground
286,խումբ,group
210,աճել,grow
801,ենթադրություն,guess
924,ուղեցույց,guide
840,ատրճանակ,gun
28,էր,had
717,մազերը,hair
336,կես,half
64,ձեռք,hand
332,պատահել,happen
594,ուրախ,happy
231,դժվար,hard
174,ունի,has
953,գլխարկը,hat
15,ունենալ,have
5,նա,he
201,ղեկավար,head
265,լսել,hear
451,լսել,heard
540,սիրտ,heart
390,շոգ,heat
543,ծանր,heavy
716,հերոս,held
135,օգնություն,help
167,նրան,her
71,այստեղ,here
74,բարձր,high
724,բլուր,hill
172,նրան,him
3,նրա,his
788,պատմություն,history
771,հարվածել,hit
462,պահել,hold
699,փոս,hole
62,տուն,home
595,հուսով,hope
266,ձի,horse
19,տաք,hot
387,տաք,hot
453,ժամ,hour
87,տուն,house
46,ինչպես,how
918,հսկայական,huge
787,մարդկային,human
457,հարյուր,hundred
502,որս,hunt
828,շտապել,hurry
2,ես,i
527,սառույց,ice
259,գաղափար,idea
44,եթե,if
794,պատկերացնել,imagine
34,– ին,in
351,դյույմ,inch
531,ներառում են,include
783,ցույց տալ,indicate
742,արդյունաբերություն,industry
780,միջատ,insect
877,ակնթարթ,instant
575,գործիք,instrument
465,հետաքրքրություն,interest
970,հնարել,invent
691,երկաթ,iron
24,է,is
365,կղզի,island
25,այն,it
580,աշխատանք,job
617,միանալ,join
570,ուրախություն,joy
700,"անցնել,",jump
129,պարզապես,just
221,պահել,keep
576,պահել,kept
690,հիմնական,key
657,սպանել,kill
84,բարի,kind
349,թագավորը,king
344,"գիտեր,",knew
189,իմանալ,know
621,տիկին,lady
659,լիճ,lake
70,երկիր,land
399,լեզու,language
66,մեծ,large
224,անցյալ,last
240,ուշ,late
379,ծիծաղել,laugh
730,օրենք,law
482,դնել,lay
408,հանգեցնել,lead
213,սովորել,learn
610,նվազագույնը,least
321,լքել,leave
929,առաջնորդվում,led
239,ձախ,left
562,ոտք,leg
516,երկարություն,length
474,ավելի քիչ,less
225,թող,let
293,նամակ,letter
978,մակարդակ,level
745,սուտ,lie
248,կյանք,life
848,վերելակների,lift
83,լույս,light
164,նման,like
137,գիծ,line
894,հեղուկ,liquid
310,ցուցակ,list
470,լսել,listen
113,քիչ բան,little
109,ապրել,live
777,տեղադրել,locate
895,մուտք,log
561,մենակ,lone
168,դեռ,long
175,նայել,look
635,կորցրել,lost
687,շատ,lot
662,բարձրաձայն,loud
487,ոչ,love
136,ցածր,low
411,մեքենա,machine
108,է,made
909,մագնիս,magnet
273,հիմնական,main
835,հիմնական,major
169,անել,make
116,մարդ,man
159,շատ,many
493,քարտեզ,map
291,նշան,mark
878,շուկա,market
932,զանգված,mass
851,վարպետ,master
913,զույգ,match
550,նյութական,material
528,"անկախ նրանից, թե",matter
195,կարող,may
122,ինձ,me
142,նշանակում,mean
896,նշանակում,meant
323,չափել,measure
817,միս,meat
704,հանդիպում,meet
601,մեղեդին,melody
80,տղամարդիկ,men
709,մետաղ,metal
672,մեթոդ,method
656,միջին,middle
233,զորություն,might
295,մղոն,mile
670,կաթ,milk
591,միլիոն,million
444,միտքը,mind
832,իմ,mine
441,րոպե,minute
388,վրիպել,miss
631,խառնել,mix
769,ժամանակակից,modern
987,մոլեկուլ,molecule
660,պահ,moment
489,գումար,money
590,ամիս,month
364,լուսին,moon
176,ավելի շատ,more
475,առավոտ,morning
185,մեծ մասը,most
94,մայր,mother
892,միջնորդությունը,motion
566,լեռ,mount
261,լեռնային,mountain
606,բերան,mouth
144,քայլ,move
141,շատ,much
352,բազմապատկել,multiply
288,երաժշտություն,music
72,պետք է,must
187,իմ,my
126,անունը,name
668,ազգ,nation
748,բնական,natural
889,բնություն,nature
96,մոտ,near
802,անհրաժեշտ,necessary
900,պարանոց,neck
86,անհրաժեշտ,need
806,հարեւանը,neighbor
223,երբեք,never
102,նոր,new
277,հաջորդ,next
246,գիշեր,night
975,ինը,nine
184,ոչ,no
977,աղմուկ,noise
767,կեսօր,noon
947,ոչ,nor
250,հյուսիս,north
996,քիթը,nose
412,նշում,note
353,ոչինչ,nothing
499,ծանուցում,notice
418,noun,noun
199,այժմ,now
182,թիվը,number
328,թվական,numeral
360,օբյեկտ,object
664,պահպանել,observe
886,տեղի ունենալ,occur
438,օվկիանոս,ocean
30,եւ,of
85,դուրս,off
873,առաջարկ,offer
603,գրասենյակ,office
292,հաճախ,often
435,ախ,oh
626,ձեթ,oil
147,հին,old
8,– ին,on
263,անգամ,once
14,մեկ,one
114,միայն,only
274,բաց,open
760,գործել,operate
963,հակադիր,opposite
27,կամ,or
338,կարգը,order
673,մարմին,organ
865,օրիգինալ,original
38,այլ,other
124,մեր,our
37,դուրս,out
188,է,over
203,սեփական,own
901,թթվածին,oxygen
204,էջ,page
398,նկարել,paint
530,զույգ,pair
285,թուղթ,paper
713,պարբերություն,paragraph
853,ծնող,parent
104,մաս,part
959,մասնավորապես,particular
774,կուսակցություն,party
345,անցնել,pass
584,անցյալը,past
893,ճանապարհը,path
484,օրինակ,pattern
674,վճարել,pay
186,մարդ,people
510,գուցե,perhaps
782,ժամկետը,period
488,մարդ,person
734,արտահայտություն,phrase
511,ընտրել,pick
88,նկար,picture
342,կտոր,piece
930,սկիպիդար,pitch
107,տեղ,place
302,պարզ,plain
414,պլան,plan
375,ինքնաթիռ,plane
827,մոլորակ,planet
214,գործարան,plant
58,խաղալ,play
765,խնդրում,please
997,հոգնակի,plural
813,բանաստեղծություն,poem
93,կետ,point
686,աղքատ,poor
880,բնակեցնել,populate
65,նավահանգիստ,port
320,ստեղծում,pose
546,դիրքորոշումը,position
374,հնարավոր,possible
860,հաղորդագրություն,post
423,ֆունտ,pound
402,իշխանություն,power
761,պրակտիկա,practice
994,պատրաստել,prepare
542,ներկա,present
244,մամուլ,press
904,բավականին,pretty
842,տպել,print
503,հավանական,probable
341,խնդիր,problem
759,ընթացք,process
448,արտադրել,produce
325,արդյունք,product
871,ճիշտ,proper
985,սեփականություն,property
766,պաշտպանել,protect
560,ապացուցել,prove
795,ապահովել,provide
497,քաշեք,pull
711,հրում,push
61,ի,put
974,կվարտա,quart
331,հարց,question
436,արագ,quick
680,հանգիստ,quiet
653,բավականին,quite
897,քանորդ,quotient
554,մրցավազք,race
784,ռադիո,radio
793,երկաթուղի,rail
494,անձրեւ,rain
707,բարձրացնել,raise
382,վազում,ran
890,շարք,range
809,այլ,rather
466,հասնել,reach
63,կարդալ,read
306,պատրաստ,ready
247,իրական,real
515,պատճառ,reason
604,ստանալ,receive
370,գրառումը,record
309,կարմիր,red
520,մարզ,region
459,հիշում,remember
991,կրկնել,repeat
884,պատասխանել,reply
517,ներկայացնել,represent
992,պահանջում,require
420,մնացածը,rest
722,արդյունք,result
756,հարուստ,rich
507,զբոսանք,ride
145,իրավունք,right
778,մատանի,ring
623,բարձրացում,rise
296,գետ,river
492,ճանապարհային,road
337,ժայռ,rock
739,գլորում,roll
256,սենյակ,room
705,արմատ,root
935,պարան,rope
840,վարդ,rose
115,կլոր,round
605,կարգ,row
818,շփում,rub
495,կանոն,rule
241,վազում,run
725,ապահով,safe
47,ասել,said
549,վարել,sail
995,աղ,salt
149,նույն,same
737,ավազ,sand
572,sat,sat
648,պահել,save
235,սղոց,saw
134,ասել,say
661,մասշտաբ,scale
209,դպրոց,school
254,գիտություն,science
926,հաշիվը,score
237,ծով,sea
837,որոնում,search
907,սեզոն,season
949,օջախ,seat
300,երկրորդ,second
676,բաժին,section
171,տեսնել,see
615,սերմ,seed
275,կարծես,seem
874,հատված,segment
988,ընտրել,select
98,ինքնուրույն,self
954,վաճառել,sell
838,ուղարկել,send
750,իմաստ,sense
640,ուղարկել,sent
131,նախադասություն,sentence
762,առանձին,separate
490,ծառայել,serve
52,շարք,set
523,լուծել,settle
712,յոթ,seven
478,մի քանի,several
715,պետք,shall
385,ձեւը,shape
866,բաժնետոմս,share
803,սուր,sharp
150,նա,she
856,թերթ,sheet
899,վահանակ,shell
984,փայլ,shine
334,նավ,ship
965,պայտ,shoe
981,խանութ,shop
854,ափը,shore
327,կարճ,short
205,պետք,should
966,բոթել,shoulder
612,բղավել,shout
119,շոու,show
197,կողմը,side
284,տեսարան,sight
582,նշանը,sign
735,լռակյաց,silent
910,արծաթ,silver
923,նման,similar
477,պարզ,simple
346,հետո,since
469,երգեցողություն,sing
692,միայնակ,single
919,քույր,sister
553,նստել,sit
471,վեց,six
521,չափը,size
905,հմտություն,skill
696,մաշկի,skin
568,երկինք,sky
875,ստրուկ,slave
559,երազ,sleep
936,բլանկ,slip
485,դանդաղ,slow
59,փոքր,small
945,հոտ,smell
697,ժպիտը,smile
391,ձյուն,snow
165,այնքան,so
585,փափուկ,soft
738,հող,soil
758,զինվոր,soldier
908,լուծում,solution
708,լուծել,solve
23,մի քանի,some
658,որդի,son
322,երգ,song
315,շուտով,soon
183,հնչել,sound
340,հարավ,south
450,տարածք,space
524,խոսել,speak
443,հատուկ,special
888,խոսք,speech
671,արագություն,speed
67,տառ առ տառ ասել,spell
861,ծախսել,spend
785,խոսեց,spoke
844,տեղում,spot
967,տարածումը,spread
663,գարուն,spring
514,հրապարակ,square
202,կանգնել,stand
416,աստղ,star
232,սկիզբ,start
220,պետական,state
867,կայան,station
355,մնալ,stay
376,նույնիսկ,stead
891,գոլորշի,steam
920,պողպատ,steel
460,քայլ,step
693,քարտ,stick
212,դեռ,still
681,քար,stone
427,կանգնած,stood
262,կանգ առնել,stop
556,խանութ,store
234,պատմություն,story
666,ուղիղ,straight
598,տարօրինակ,strange
822,հոսք,stream
350,փողոց,street
982,ձգվել,stretch
814,լարային,string
442,ուժեղ,strong
772,ուսանող,student
211,սովորել,study
519,ենթակա,subject
857,նյութ,substance
957,հանել,subtract
955,հաջողություն,success
75,այդպիսի,such
512,հանկարծակի,sudden
914,վերջածանց,suffix
902,շաքար,sugar
618,առաջարկում,suggest
846,կոստյում,suit
557,ամառ,summer
217,արեւ,sun
775,մատակարարում,supply
887,աջակցություն,support
268,վստահ,sure
362,մակերեւույթ,surface
679,զարմանք,surprise
961,լողալը,swim
533,վանկ,syllable
608,խորհրդանիշ,symbol
367,համակարգ,system
472,սեղան,table
447,պոչ,tail
105,վերցնել,take
313,խոսել,talk
736,բարձրահասակ,tall
430,սովորեցնել,teach
632,թիմ,team
898,ատամիկ,teeth
50,ասել,tell
740,ջերմաստիճան,temperature
476,տասը,ten
962,ժամկետ,term
369,փորձարկում,test
191,քան,than
911,thank,thank
4,որ,that
29,the,the
42,իրենց,their
161,նրանց,them
160,ապա,then
152,կան,there
166,այդ,these
11,նրանք,they
757,հաստ,thick
825,բարակ,thin
170,բան,thing
133,մտածել,think
714,երրորդ,third
16,այս,this
289,այն,those
311,սակայն,though
226,միտք,thought
380,հազար,thousand
53,երեք,three
128,միջոցով,through
983,նետել,throw
797,այսպիսով,thus
833,ոքի,tie
43,ժամանակ,time
682,փոքրիկ,tiny
392,անվադող,tire
31,մինչեւ,to
276,միասին,together
343,ասել,told
616,տոնուս,tone
148,էլ,too
253,էր,took
942,գործիք,tool
347,վերեւ,top
943,ընդհանուր,total
628,դիպչել,touch
480,դեպի,toward
403,քաղաքի,town
852,շավիղ,track
600,առեւտրի,trade
558,գնացք,train
473,ճանապարհորդություն,travel
228,ծառ,tree
826,եռանկյունի,triangle
602,ուղեւորություն,trip
611,trouble,trouble
976,բեռնատար մեքենա,truck
455,ճիշտ,true
89,փորձել,try
819,խողովակ,tube
139,հերթը,turn
695,քսան,twenty
173,երկու,two
729,տիպ,type
125,տակ,under
401,միավոր,unit
294,մինչեւ,until
154,մինչեւ,up
90,մեզ,us
155,օգտագործումը,use
304,սովորական,usual
946,հովիտ,valley
743,արժեք,value
522,տարբերվել,vary
468,բայ,verb
127,շատ,very
749,դիտել,view
703,գյուղ,village
583,մուտքը,visit
500,ձայն,voice
479,ձայնավոր,vowel
413,սպասել,wait
282,քայլել,walk
564,պատ,wall
54,ուզում,want
481,պատերազմ,war
439,ջերմ,warm
6,էր,was
807,լվանալը,wash
269,դիտել,watch
190,ջուր,water
538,ալիք,wave
157,ճանապարհ,way
35,մենք,we
637,հագնել,wear
589,եղանակ,weather
431,շաբաթ,week
525,քաշը,weight
56,լավ,well
82,գնաց,went
39,են,were
463,արեւմուտք,west
22,ինչ,what
356,անիվ,wheel
153,երբ,when
110,որտեղ,where
710,արդյոք,whether
40,որը,which
243,իսկ,while
278,ճերմակ,white
194,ով,who
348,ամբողջություն,whole
776,ում,whose
78,ինչու,why
548,լայն,wide
964,կին,wife
574,վայրի,wild
45,կամք,will
937,հաղթանակ,win
330,քամի,wind
555,պատուհան,window
804,թեւը,wing
571,ձմեռ,winter
633,մետաղալար,wire
567,մաղթում,wish
10,հետ,with
799,կին,woman
906,կանայք,women
378,զարմանում,wonder
752,չի,won’t
272,փայտ,wood
20,բառ,word
103,աշխատանք,work
95,աշխարհ,world
163,որ,would
162,գրել,write
573,գրավոր,written
989,սխալ,wrong
614,գրել,wrote
622,բակ,yard
117,տարի,year
839,դեղին,yellow
394,այո,yes
537,դեռ,yet
26,դուք,you
305,երիտասարդ,young
156,ձեր,your
