number,latvian,english
939,vakars,evening
958,notikums,event
308,kādreiz,ever
120,ik,every
607,precīzu,exact
283,piemērs,example
613,izņemot,except
747,satraukt,excite
563,vingrinājums,exercise
791,gaidīt,expect
925,pieredze,experience
688,eksperiments,experiment
222,acs,eye
271,seja,face
449,fakts,fact
645,godīgi,fair
407,kritums,fall
318,ģimene,family
820,slavens,famous
236,tālu,far
230,saimniecība,farm
467,ātrs,fast
863,tauki,fat
100,tēvs,father
858,priekšroku,favor
823,bailes,fear
941,barības,feed
312,justies,feel
298,kājām,feet
642,samazinājās,fell
534,jutās,felt
249,maz,few
419,lauka,field
916,fig,fig
744,cīņa,fight
415,skaitlis,figure
396,aizpildīt,fill
432,galīgs,final
200,atrast,find
404,fine,fine
741,pirksts,finger
593,apdare,finish
339,ugunsgrēks,fire
193,pirmais,first
260,zivis,fish
643,piemērots,fit
458,pieci,five
694,flat,flat
720,stāvs,floor
644,plūsmas,flow
596,zieds,flower
406,lidot,fly
76,sekot,follow
216,pārtika,food
366,kāju,foot
7,par,for
358,spēks,force
552,mežs,forest
130,forma,form
922,uz priekšu,forward
207,dibināt,found
218,četri,four
551,daļa,fraction
440,bezmaksas,free
836,svaigs,fresh
257,draugs,friend
17,no,from
429,priekšējais,front
755,augļi,fruit
357,pilns,full
586,jautrība,fun
384,spēle,game
638,dārzs,garden
588,gāze,gas
980,savākt,gather
433,deva,gave
526,vispārējs,general
798,maigs,gentle
106,nokļūt,get
303,meitene,girl
123,dot,give
864,priecīgs,glad
577,stikls,glass
179,iet,go
373,zelta,gold
599,aizgājuši,gone
121,labs,good
281,got,got
496,valdīt,govern
535,lielā,grand
578,zāle,grass
990,pelēks,gray
132,liels,great
434,zaļa,green
629,pieauga,grew
464,zemes,ground
286,grupa,group
210,augt,grow
801,uzminēt,guess
924,virzīt,guide
840,lielgabals,gun
28,bija,had
717,mati,hair
336,puse,half
64,roku,hand
332,notikt,happen
594,laimīgs,happy
231,grūti,hard
174,ir,has
953,cepure,hat
15,ir,have
5,viņš,he
201,vadītājs,head
265,dzirdēt,hear
451,dzirdējis,heard
540,sirds,heart
390,siltums,heat
543,smags,heavy
716,ko,held
135,palīdzēt,help
167,viņai,her
71,šeit,here
74,augsta,high
724,kalns,hill
172,viņam,him
3,viņa,his
788,vēsture,history
771,hit,hit
462,turēt,hold
699,caurums,hole
62,mājas,home
595,cerība,hope
266,zirgs,horse
19,karsts,hot
387,karsts,hot
453,stunda,hour
87,māja,house
46,cik,how
918,milzīgs,huge
787,cilvēku,human
457,simti,hundred
502,medības,hunt
828,steigā,hurry
2,es,i
527,ledus,ice
259,ideja,idea
44,ja,if
794,iedomāties,imagine
34,in,in
351,inch,inch
531,ietvert,include
783,norādīt,indicate
742,nozare,industry
780,kukainis,insect
877,tūlītējs,instant
575,instrumentam,instrument
465,procenti,interest
970,izgudrot,invent
691,dzelzs,iron
24,ir,is
365,sala,island
25,tā,it
580,darbs,job
617,pievienoties,join
570,prieks,joy
700,lēkt,jump
129,tikai,just
221,glabāt,keep
576,tur,kept
690,taustiņš,key
657,nogalināt,kill
84,veids,kind
349,karalis,king
344,zināja,knew
189,zināt,know
621,dāma,lady
659,ezers,lake
70,zeme,land
399,valoda,language
66,liels,large
224,pagājušajā,last
240,vēlu,late
379,smieties,laugh
730,likums,law
482,gulēja,lay
408,vadīt,lead
213,mācīties,learn
610,vismaz,least
321,atstāt,leave
929,vadīja,led
239,kreisi,left
562,kāja,leg
516,garums,length
474,mazāk,less
225,ļaujiet,let
293,vēstule,letter
978,līmenis,level
745,meli,lie
248,dzīve,life
848,pacēlājs,lift
83,gaisma,light
164,"piemēram,",like
137,līnija,line
894,šķidrums,liquid
310,saraksts,list
470,klausīties,listen
113,maz,little
109,dzīvot,live
777,atrodiet,locate
895,log,log
561,vientuļš,lone
168,garš,long
175,meklēt,look
635,zaudējis,lost
687,daudz,lot
662,skaļi,loud
487,mīlestība,love
136,zems,low
411,mašīna,machine
108,veikts,made
909,magnēts,magnet
273,galvenais,main
835,galvenais,major
169,padarīt,make
116,vīrietis,man
159,daudz,many
493,karte,map
291,zīme,mark
878,tirgus,market
932,masa,mass
851,master,master
913,mačs,match
550,materiāls,material
528,jautājums,matter
195,var,may
122,mani,me
142,nozīmēt,mean
896,nozīmēja,meant
323,izmērīt,measure
817,gaļa,meat
704,apmierināt,meet
601,melodija,melody
80,cilvēki,men
709,metāla,metal
672,metode,method
656,vidus,middle
233,varētu,might
295,jūdze,mile
670,piens,milk
591,miljons,million
444,prāts,mind
832,raktuve,mine
441,minūte,minute
388,miss,miss
631,samaisa,mix
769,mūsdienu,modern
987,molekula,molecule
660,brīdis,moment
489,nauda,money
590,mēnesis,month
364,pavadonis,moon
176,vairāk,more
475,rīts,morning
185,visvairāk,most
94,māte,mother
892,kustības,motion
566,kalns,mount
261,kalns,mountain
606,mute,mouth
144,pārvietot,move
141,daudz,much
352,reizināt,multiply
288,mūzika,music
72,nepieciešams,must
187,mans,my
126,nosaukums,name
668,tauta,nation
748,dabisks,natural
889,daba,nature
96,netālu,near
802,nepieciešams,necessary
900,kakls,neck
86,vajadzība,need
806,kaimiņš,neighbor
223,nekad,never
102,jaunā,new
277,nākamais,next
246,nakts,night
975,deviņi,nine
184,nē,no
977,troksnis,noise
767,pusdienlaiks,noon
947,nedz,nor
250,ziemeļiem,north
996,deguns,nose
412,piezīme,note
353,nekas,nothing
499,paziņojums,notice
418,lietvārds,noun
199,tagad,now
182,numurs,number
328,cipars,numeral
360,objekts,object
664,novērot,observe
886,notikt,occur
438,ocean,ocean
30,no,of
85,no,off
873,piedāvājums,offer
603,birojs,office
292,bieži,often
435,oh,oh
626,eļļa,oil
147,vecs,old
8,gada,on
263,reizi,once
14,viens,one
114,tikai,only
274,atvērts,open
760,darboties,operate
963,pretī,opposite
27,vai,or
338,rīkojums,order
673,ērģeles,organ
865,oriģināls,original
38,citi,other
124,mūsu,our
37,ārā,out
188,vairāk,over
203,paša,own
901,skābeklis,oxygen
204,lapa,page
398,gleznot,paint
530,pāris,pair
285,papīrs,paper
713,daļa,paragraph
853,vecāks,parent
104,daļa,part
959,īpaši,particular
774,puse,party
345,caurlaide,pass
584,pagātne,past
893,ceļš,path
484,raksts,pattern
674,samaksāt,pay
186,cilvēki,people
510,varbūt,perhaps
782,periods,period
488,persona,person
734,frāze,phrase
511,pick,pick
88,attēlu,picture
342,gabals,piece
930,piķis,pitch
107,vieta,place
302,vienkāršs,plain
414,plāns,plan
375,plakne,plane
827,planēta,planet
214,augs,plant
58,play,play
765,lūdzu,please
997,daudzskaitlis,plural
813,dzejolis,poem
93,punkts,point
686,slikts,poor
880,apdzīvot,populate
65,port,port
320,uzdot,pose
546,pozīciju,position
374,iespējams,possible
860,pasta,post
423,mārciņa,pound
402,jauda,power
761,prakse,practice
994,sagatavoties,prepare
542,dāvana,present
244,nospiediet,press
904,diezgan,pretty
842,print,print
503,iespējams,probable
341,problēma,problem
759,process,process
448,ražot,produce
325,produkts,product
871,pienācīgs,proper
985,īpašums,property
766,aizsargāt,protect
560,izrādīties,prove
795,nodrošināt,provide
497,vilkt,pull
711,stumtu,push
61,likts,put
974,cet,quart
331,jautājums,question
436,ātri,quick
680,kluss,quiet
653,diezgan,quite
897,koeficients,quotient
554,skrējiens,race
784,radiofrekvenču,radio
793,dzelzceļš,rail
494,lietus,rain
707,paaugstināt,raise
382,skrēja,ran
890,diapazons,range
809,drīzāk,rather
466,sasniegt,reach
63,lasīt,read
306,gatavs,ready
247,real,real
515,iemesls,reason
604,saņem,receive
370,ieraksts,record
309,sarkans,red
520,rajons,region
459,atcerēties,remember
991,atkārtot,repeat
884,atbildēt,reply
517,pārstāvēt,represent
992,pieprasīt,require
420,atpūta,rest
722,rezultāts,result
756,bagāts,rich
507,ride,ride
145,tiesības,right
778,gredzens,ring
623,pieaugt,rise
296,river,river
492,ceļš,road
337,klinšu,rock
739,rullis,roll
256,telpa,room
705,sakne,root
935,virve,rope
840,roze,rose
115,kārta,round
605,rinda,row
818,berzēt,rub
495,noteikums,rule
241,palaist,run
725,drošs,safe
47,teica,said
549,bura,sail
995,sāls,salt
149,tas pats,same
737,smiltis,sand
572,sat,sat
648,glābt,save
235,zāģis,saw
134,teikt,say
661,skala,scale
209,skola,school
254,zinātne,science
926,punktu skaits,score
237,jūra,sea
837,meklēšana,search
907,sezona,season
949,sēdeklis,seat
300,otrais,second
676,sadaļa,section
171,sk,see
615,sēkla,seed
275,likties,seem
874,segments,segment
988,izvēlieties,select
98,pats,self
954,pārdot,sell
838,sūtīt,send
750,saprāts,sense
640,nosūtīts,sent
131,teikums,sentence
762,atsevišķs,separate
490,kalpot,serve
52,komplekts,set
523,nokārtot,settle
712,septiņi,seven
478,vairāki,several
715,veic,shall
385,forma,shape
866,daļa,share
803,ass,sharp
150,viņa,she
856,lapa,sheet
899,apvalks,shell
984,spīdēt,shine
334,kuģis,ship
965,apavu,shoe
981,veikals,shop
854,krasts,shore
327,īss,short
205,vajadzētu,should
966,plecu,shoulder
612,kliegt,shout
119,izstāde,show
197,side,side
284,skats,sight
582,zīme,sign
735,kluss,silent
910,sudrabs,silver
923,līdzīga,similar
477,vienkāršs,simple
346,kopš,since
469,dziedāt,sing
692,vienotā,single
919,māsa,sister
553,sēdēt,sit
471,seši,six
521,izmērs,size
905,prasme,skill
696,āda,skin
568,debesis,sky
875,vergu,slave
559,miegs,sleep
936,buksēšana,slip
485,lēni,slow
59,mazs,small
945,smarža,smell
697,smaids,smile
391,sniegs,snow
165,tā,so
585,mīksts,soft
738,augsne,soil
758,karavīrs,soldier
908,risinājums,solution
708,atrisināt,solve
23,daži,some
658,dēls,son
322,dziesma,song
315,drīz,soon
183,skaņu,sound
340,dienvidu,south
450,telpa,space
524,runāt,speak
443,īpašs,special
888,runas,speech
671,ātrums,speed
67,pareizrakstības,spell
861,tērēt,spend
785,runāja,spoke
844,vieta,spot
967,izplatība,spread
663,pavasaris,spring
514,kvadrātveida,square
202,stāvēt,stand
416,zvaigzne,star
232,sākums,start
220,valsts,state
867,stacija,station
355,uzturēties,stay
376,baudiet,stead
891,tvaiks,steam
920,tērauds,steel
460,solis,step
693,nūja,stick
212,vēl,still
681,akmens,stone
427,stāvēja,stood
262,apstāties,stop
556,veikals,store
234,stāsts,story
666,taisni,straight
598,dīvains,strange
822,straume,stream
350,iela,street
982,stiept,stretch
814,rinda,string
442,spēcīga,strong
772,students,student
211,pētījums,study
519,pakļauts,subject
857,viela,substance
957,atņemt,subtract
955,veiksme,success
75,piemēram,such
512,pēkšņs,sudden
914,piedēklis,suffix
902,cukurs,sugar
618,iesaku,suggest
846,uzvalks,suit
557,vasara,summer
217,saule,sun
775,piegāde,supply
887,atbalsts,support
268,pārliecināts,sure
362,virsma,surface
679,pārsteigums,surprise
961,peldēt,swim
533,zilbe,syllable
608,simbols,symbol
367,sistēma,system
472,tabula,table
447,aste,tail
105,ņemt,take
313,diskusija,talk
736,augsts,tall
430,mācīt,teach
632,komanda,team
898,zobi,teeth
50,pateikt,tell
740,temperatūras,temperature
476,desmit,ten
962,termins,term
369,testa,test
191,nekā,than
911,paldies,thank
4,ka,that
29,siltums,the
42,viņu,their
161,viņiem,them
160,pēc tam,then
152,tur,there
166,šie,these
11,viņi,they
757,biezs,thick
825,plānas,thin
170,lieta,thing
133,domā,think
714,trešais,third
16,šī,this
289,tās,those
311,tomēr,though
226,doma,thought
380,tūkstotis,thousand
53,trīs,three
128,cauri,through
983,mest,throw
797,tādējādi,thus
833,kaklasaite,tie
43,laiks,time
682,niecīgs,tiny
392,riepa,tire
31,līdz,to
276,kopā,together
343,pastāstīja,told
616,tonis,tone
148,pārāk,too
253,paņēma,took
942,rīks,tool
347,tops,top
943,kopējais,total
628,pieskarieties,touch
480,virzienā,toward
403,pilsēta,town
852,track,track
600,tirdzniecība,trade
558,vilciens,train
473,ceļot,travel
228,koks,tree
826,trīsstūris,triangle
602,brauciens,trip
611,nepatikšanas,trouble
976,truck,truck
455,patiess,true
89,mēģināt,try
819,caurule,tube
139,kārta,turn
695,divdesmit,twenty
173,divi,two
729,tips,type
125,saskaņā ar,under
401,vienība,unit
294,līdz,until
154,augšup,up
90,us,us
155,izmantot,use
304,ierasts,usual
946,ieleja,valley
743,vērtība,value
522,mainīties,vary
468,darbības vārds,verb
127,ļoti,very
749,skats,view
703,ciems,village
583,apmeklējums,visit
500,balss,voice
479,patskaņu,vowel
413,pagaidiet,wait
282,staigāt,walk
564,siena,wall
54,gribu,want
481,karš,war
439,silts,warm
6,bija,was
807,mazgāšana,wash
269,skatīties,watch
190,ūdens,water
538,vilnis,wave
157,veids,way
35,mēs,we
637,valkāt,wear
589,laika,weather
431,nedēļa,week
525,svars,weight
56,labi,well
82,aizgāja,went
39,bija,were
463,rietumu,west
22,ko,what
356,ritenis,wheel
153,kad,when
110,kur,where
710,vai,whether
40,kas,which
243,kamēr,while
278,balts,white
194,kurš,who
348,viss,whole
776,kuru,whose
78,kāpēc,why
548,plašs,wide
964,sieva,wife
574,savvaļā,wild
45,griba,will
937,win,win
330,vējš,wind
555,logu,window
804,spārnu,wing
571,ziema,winter
633,stieple,wire
567,vēlēties,wish
10,ar,with
799,sieviete,woman
906,sievietes,women
378,brīnums,wonder
752,nebūs,won’t
272,koks,wood
20,vārds,word
103,darbs,work
95,pasaule,world
163,būtu,would
162,rakstīt,write
573,rakstisks,written
989,nepareizs,wrong
614,rakstīja,wrote
622,yard,yard
117,gads,year
839,dzeltena,yellow
394,jā,yes
537,vēl,yet
26,jums,you
305,jauniešiem,young
156,jūsu,your
