number,igbo,english
74,elu,high
724,ugwu,hill
172,ya,him
3,ya,his
788,akụkọ ihe mere eme,history
771,kụrụ,hit
462,jide,hold
699,oghere,hole
62,n’ụlọ,home
595,nwere olileanya,hope
266,ịnyịnya,horse
19,na-ekpo ọkụ,hot
387,na-ekpo ọkụ,hot
453,awa,hour
87,ụlọ,house
46,otú,how
918,nnukwu,huge
787,mmadụ,human
457,narị,hundred
502,ichu nta,hunt
828,ọsọ ọsọ,hurry
2,m,i
527,ice,ice
259,echiche,idea
44,ma ọ bụrụ na,if
794,iche,imagine
34,na,in
351,buru ibu dị sentimita,inch
531,na-agụnye,include
783,egosi,indicate
742,ụlọ ọrụ,industry
780,ahụhụ,insect
877,ozugbo,instant
575,ngwá,instrument
465,mmasị,interest
970,dịrị,invent
691,ígwè,iron
24,bụ,is
365,agwaetiti,island
25,ya,it
580,ọrụ,job
617,sonyere,join
570,ọṅụ,joy
700,na-awụlikwa elu,jump
129,dị nnọọ,just
221,na-,keep
576,na-,kept
690,igodo,key
657,igbu,kill
84,ụdị,kind
349,eze,king
344,maara,knew
189,mara,know
621,nwanyị,lady
659,ọdọ mmiri,lake
70,ala,land
399,asụsụ,language
66,nnukwu,large
224,ikpeazụ,last
240,oge,late
379,ochi,laugh
730,iwu,law
482,dina,lay
408,mbu,lead
213,ịmụta,learn
610,"dịkarịa ala,",least
321,ahapụ,leave
929,dugara,led
239,ekpe,left
562,ụkwụ,leg
516,ogologo,length
474,mpekarị,less
225,ka,let
293,ozi,letter
978,larịị,level
745,ụgha,lie
248,ndụ,life
848,ebulinwu,lift
83,ìhè,light
164,dị ka,like
137,akara,line
894,mmiri,liquid
310,ndepụta,list
470,ntị,listen
113,obere,little
109,ndụ,live
777,chọta,locate
895,banye,log
561,nanị,lone
168,ogologo,long
175,anya,look
635,furu efu,lost
687,ọtụtụ,lot
662,oké,loud
487,n’anya,love
136,ala,low
411,igwe,machine
108,mere,made
909,ndọta,magnet
273,isi,main
835,isi,major
169,eme ka,make
116,nwoke,man
159,ọtụtụ,many
493,map,map
291,akara,mark
878,ahịa,market
932,uka,mass
851,ukwu,master
913,egwuregwu,match
550,ihe,material
528,okwu,matter
195,ike,may
122,m,me
142,pụtara,mean
896,pụtara,meant
323,ịlele,measure
817,anụ,meat
704,zukoro,meet
601,abụ olu ụtọ,melody
80,ndị ikom,men
709,ígwè,metal
672,usoro,method
656,n’etiti,middle
233,ike,might
295,mile,mile
670,mmiri ara,milk
591,nde,million
444,uche,mind
832,m,mine
441,nkeji,minute
388,igafe ihe,miss
631,mix,mix
769,n’oge a,modern
987,molekul,molecule
660,oge,moment
489,ego,money
590,ọnwa,month
364,ọnwa,moon
176,ọzọ,more
475,ụtụtụ,morning
185,kacha,most
94,nne,mother
892,ngagharị,motion
566,n’ugwu,mount
261,ugwu,mountain
606,ọnụ,mouth
144,nkwaghari,move
141,ukwuu,much
352,mụbaa,multiply
288,music,music
72,ana,must
187,m,my
126,aha,name
668,mba,nation
748,eke,natural
889,agwa,nature
96,nso,near
802,dị mkpa,necessary
900,olu,neck
86,mkpa,need
806,agbata obi,neighbor
223,mgbe,never
102,ọhụrụ,new
277,ọzọ,next
246,abalị,night
975,itoolu,nine
184,mba,no
977,mkpọtụ,noise
767,ehihie,noon
947,ma ọ bụ,nor
250,ugwu,north
996,imi,nose
412,dee,note
353,ihe,nothing
499,mara,notice
418,aha,noun
199,ugbu a,now
182,ọnụ ọgụgụ,number
328,onuogugu,numeral
360,ihe,object
664,na-edebe,observe
886,ime,occur
438,oké osimiri,ocean
30,nke,of
85,anya,off
873,enye,offer
603,ọrụ,office
292,mgbe,often
435,na na na oh,oh
626,mmanụ,oil
147,ochie,old
8,ụfọdụ,on
263,ozugbo,once
14,otu,one
114,naanị,only
274,oghe,open
760,ọrụ,operate
963,abụghị,opposite
27,ma ọ bụ,or
338,iji,order
673,ngwa,organ
865,mbụ,original
38,ọzọ,other
124,anyị,our
37,si,out
188,n’elu,over
203,aka,own
901,oxygen,oxygen
204,peeji nke,page
398,agba,paint
530,ụzọ,pair
285,akwụkwọ,paper
713,paragraf,paragraph
853,nne na nna,parent
104,akụkụ,part
959,karịsịa,particular
774,otu,party
345,gafere,pass
584,n’oge gara aga,past
893,ụzọ,path
484,ụkpụrụ,pattern
674,ịkwụ ụgwọ,pay
186,ndị mmadụ,people
510,ikekwe,perhaps
782,oge,period
488,onye,person
734,okwu,phrase
511,bulie,pick
88,foto,picture
342,ibe,piece
930,pitch,pitch
107,ebe,place
302,larịị,plain
414,atụmatụ,plan
375,ụgbọelu,plane
827,na mbara ala,planet
214,osisi,plant
58,igwu egwu,play
765,biko,please
997,otutu,plural
813,abụ,poem
93,ebe,point
686,ogbenye,poor
880,populate,populate
65,ọdụ ụgbọ mmiri,port
320,abụrụ,pose
546,ọnọdụ,position
374,kwere omume,possible
860,post,post
423,paụnd,pound
402,ike,power
761,omume,practice
994,kwadebe,prepare
542,ugbu a,present
244,akuko,press
904,mara mma,pretty
842,ebipụta,print
503,puru omume,probable
341,nsogbu,problem
759,usoro,process
448,mepụta,produce
325,ngwaahịa,product
871,kwesịrị ekwesị,proper
985,onwunwe,property
766,chebe,protect
560,gosi,prove
795,nye,provide
497,dọọ,pull
711,kwaa,push
61,tinye,put
974,quart,quart
331,ajụjụ,question
436,ngwa ngwa,quick
680,jụụ,quiet
653,nnọọ,quite
897,quotient,quotient
554,agbụrụ,race
784,redio,radio
793,tren,rail
494,mmiri ozuzo,rain
707,bulie,raise
382,efehe,ran
890,iche,range
809,kama,rather
466,iru,reach
63,na-agụ,read
306,njikere,ready
247,n’ezie,real
515,ihe,reason
604,enweta,receive
370,ndekọ,record
309,acha ọbara ọbara,red
520,mpaghara,region
459,na-echeta,remember
991,megharịa,repeat
884,zaghachi,reply
517,na-anọchite anya,represent
992,chọrọ,require
420,ike,rest
722,n’ihi,result
756,ọgaranya,rich
507,na-agba ịnyịnya,ride
145,nri,right
778,mgbanaka,ring
623,bilie,rise
296,osimiri,river
492,okporo ụzọ,road
337,nkume,rock
739,mpịakọta,roll
256,ụlọ,room
705,mgbọrọgwụ,root
935,eriri,rope
840,bilie,rose
115,gburugburu,round
605,n’ahịrị,row
818,ite,rub
495,ọchịchị,rule
241,omume,run
725,nchebe,safe
47,kwuru,said
549,na-akwọpụ,sail
995,nnu,salt
149,otu,same
737,aja,sand
572,nọdụ,sat
648,azọpụta,save
235,ikwo,saw
134,na-ekwu,say
661,n’ọtụtụ na,scale
209,ụlọ akwụkwọ,school
254,sayensị,science
926,akara,score
237,osimiri,sea
837,search,search
907,n’oge,season
949,oche,seat
300,nke abụọ,second
676,ngalaba,section
171,ịhụ,see
615,mkpụrụ,seed
275,iyi,seem
874,agba,segment
988,họrọ,select
98,onwe,self
954,ere,sell
838,iziga,send
750,uche,sense
640,zitere,sent
131,ikpe,sentence
762,iche iche,separate
490,ozi,serve
52,set,set
523,dozie,settle
712,asaa,seven
478,ọtụtụ,several
715,ga-,shall
385,ọdịdị,shape
866,òkè,share
803,nkọ,sharp
150,ọ,she
856,akwụkwọ,sheet
899,iheesereese,shell
984,na-enwu,shine
334,ụgbọ mmiri,ship
965,akpụkpọ ụkwụ,shoe
981,ụlọ ahịa,shop
854,n’ikperé mmiri,shore
327,obere,short
205,kwesịrị,should
966,ubu,shoulder
612,tie mkpu,shout
119,izi,show
197,n’akụkụ,side
284,n’anya,sight
582,ịrịba ama,sign
735,nkịtị,silent
910,ọlaọcha,silver
923,yiri,similar
477,mfe,simple
346,ebe,since
469,na-abụ abụ,sing
692,otu,single
919,nwanne nwaanyị,sister
553,ọdụ,sit
471,isii,six
521,size,size
905,nkà,skill
696,akpụkpọ,skin
568,elu-igwe,sky
875,ohu,slave
559,ụra,sleep
936,ego,slip
485,ngwa,slow
59,obere,small
945,ísì,smell
697,ọchị,smile
391,snow,snow
165,otú,so
585,nro,soft
738,ala,soil
758,agha,soldier
908,ngwọta,solution
708,idozi,solve
23,ụfọdụ,some
658,nwa,son
322,song,song
315,anya,soon
183,ada,sound
340,ndịda,south
450,ohere,space
524,na-ekwu okwu,speak
443,pụrụ iche,special
888,okwu,speech
671,ọsọ,speed
67,asụpe,spell
861,na-eji,spend
785,kwuru,spoke
844,ebe,spot
967,na-agbasa,spread
663,mmiri,spring
514,square,square
202,eguzo,stand
416,kpakpando,star
232,mmalite,start
220,ala,state
867,ebe,station
355,anọ,stay
376,itie,stead
891,uzuoku,steam
920,nchara,steel
460,nzọụkwụ,step
693,mkpisi,stick
212,ka,still
681,nkume,stone
427,guzoro,stood
262,kwụsị,stop
556,ụlọ ahịa,store
234,akụkọ,story
666,ogologo,straight
598,iche,strange
822,mmiri,stream
350,n’okporo ámá,street
982,gbatia,stretch
814,eriri,string
442,ike,strong
772,na-amụrụ,student
211,ọmụmụ,study
519,isiokwu,subject
857,umi,substance
957,iwepu wepu,subtract
955,ịga nke ọma,success
75,dị,such
512,mberede,sudden
914,suffix,suffix
902,sugar,sugar
618,na-atụ aro,suggest
846,ekike,suit
557,n’oge okpomọkụ,summer
217,anyanwụ,sun
775,enweta,supply
887,nkwado,support
268,hụ,sure
362,n’elu,surface
679,anya,surprise
961,igwu,swim
533,nkeji okwu,syllable
608,akara,symbol
367,usoro,system
472,okpokoro,table
447,ọdụ,tail
105,nara,take
313,okwu,talk
736,ogologo,tall
430,na-akụziri,teach
632,otu,team
898,ezé,teeth
50,ịgwa,tell
740,ọnọdụ okpomọkụ,temperature
476,iri,ten
962,okwu,term
369,ule,test
191,karịa,than
911,na-ekele,thank
4,na,that
29,na,the
42,ha,their
161,ha,them
160,mgbe ahụ,then
152,n’ebe ahụ,there
166,ndị a,these
11,ha,they
757,oké,thick
825,tara,thin
170,ihe,thing
133,chere,think
714,atọ,third
16,a,this
289,ndị,those
311,ezie,though
226,chere,thought
380,puku,thousand
53,atọ,three
128,site na,through
983,otutu,throw
797,"n’ihi ya,",thus
833,tie,tie
43,oge,time
682,obere,tiny
392,taya,tire
31,na-,to
276,ọnụ,together
343,gwara,told
616,olu,tone
148,oke,too
253,were,took
942,ngwá ọrụ,tool
347,top,top
943,mkpokọta,total
628,metụ,touch
480,n’ebe,toward
403,obodo,town
852,akara,track
600,ọrụ,trade
558,ụgbọ,train
473,njem,travel
228,osisi,tree
826,triangle,triangle
602,njem,trip
611,nsogbu,trouble
976,gwongworo,truck
455,ezi,true
89,na-agbalị,try
819,tube,tube
139,n’aka,turn
695,iri abụọ na,twenty
173,abụọ,two
729,ụdị,type
125,n’okpuru,under
401,unit,unit
294,ruo mgbe,until
154,elu,up
90,anyị,us
155,iji,use
304,na-adị,usual
946,na ndagwurugwu,valley
743,uru,value
522,iche iche,vary
468,ngwaa,verb
127,nnọọ,very
749,ele,view
703,obodo,village
583,nleta,visit
500,olu,voice
479,ụdaume,vowel
413,chere,wait
282,na-eje ije,walk
564,mgbidi,wall
54,chọrọ,want
481,agha,war
439,na-ekpo ọkụ,warm
6,bụ,was
807,na-asacha,wash
269,na-ekiri,watch
190,mmiri,water
538,ife,wave
157,ụzọ,way
35,anyị,we
637,eyi,wear
589,ihu igwe,weather
431,izu,week
525,arọ,weight
56,ọma,well
82,wee,went
39,ndị,were
463,n’ebe ọdịda anyanwụ,west
22,ihe,what
356,wheel,wheel
153,mgbe,when
110,ebe,where
710,ma,whether
40,nke,which
243,ebe,while
278,ọcha,white
194,onye,who
348,dum,whole
776,onye,whose
78,ya mere,why
548,n’obosara,wide
964,nwunye,wife
574,anụ ọhịa,wild
45,ekpe,will
937,imeri,win
330,ifufe,wind
555,windo,window
804,nku,wing
571,oyi,winter
633,izipu,wire
567,chọrọ,wish
10,ọrụ,with
799,nwanyị,woman
906,inyom,women
378,na-eche,wonder
752,agaghị,won’t
272,osisi,wood
20,okwu,word
103,ọrụ,work
95,ụwa,world
163,ga-,would
162,dee,write
573,dere,written
989,njọ,wrong
614,dere,wrote
622,na-aza èzí,yard
117,afọ,year
839,acha odo odo,yellow
394,ee,yes
537,ma,yet
26,ị,you
305,nwa,young
156,gị,your
