number,chinese,english
184,泻,diarrhea
768,褋,die
861,不同,different
304,难,difficult
433,维,dimension
641,议,discuss
401,师,division
7,吗,do
75,搞,do
772,办,do
959,做,do
978,嗎,do
63,別,do not
983,别,do not
103,不知道,do not know
831,不喜,do not like
810,不需要,do not need to
215,不想,do not want to
937,博士,doctor
79,狗,dog
593,在做,doing
819,在做,doing
521,做了,done
792,门,door
241,褌,drawers
538,梦,dream
527,装,dress
418,喝,drink
617,药,drug
123,干,dry
155,幹,dry
165,每,each
721,早,early
453,东,east
498,吃,eat
555,蛋,egg
405,电,electricity
890,象,elephant
746,终,end
55,够,enough
458,进,enter
547,入,enter
520,完全,entirely
646,托,entrust
502,弗,eph.
701,一樣,equally
783,备,equipment
800,等等,etc.
371,欧,europe
14,什,even
573,甚至,even
807,连,even
835,各位,everybody
777,大家,everyone
936,所有人,everyone
236,一切,everything
529,恶,evil
973,邪,evil
723,超,exceed
895,操,exercise
503,尽,exhausted
923,探,explore
271,目,eye
350,眼,eye
651,眼睛,eye
850,脸,face
507,掉,fall
51,远,far
977,快,fast
96,父,father
767,爸爸,father
808,怕,fear
567,费,fee
95,喂,feed
106,觉,feel
644,覺得,feel
742,感到,feel
173,女,female
551,节,festival
775,场,field
112,打,fight
811,争,fight
787,找到,find
265,指,finger
175,火,fire
256,第一,first
335,先,first
352,第一次,first
907,鱼,fish
596,五,five
822,五,five
758,定,fixed
730,楼,floor
610,花,flower
50,飞,fly
863,随,follow
902,脚,foot
29,为,for
449,為,for
683,替,for
332,力,force
172,林,forest
413,森,forest
188,永,forever
354,忘,forget
560,忘了,forget
859,幸,fortunately
729,四,four
914,自由,free
490,朋友,friend
308,自,from
448,從,from
462,离,from
465,从,from
582,可不,from time to
300,果,fruit
692,炸,fry
193,满,full
272,根本,fundamental
647,赛,game
214,气,gas
255,普,general
44,得,get
445,得到,get
621,弄,get
185,鬼,ghost
99,女孩,girl
8,去,go
125,走,go
150,去了,go
168,走吧,go
312,走了,go
179,回去,go back
739,下去,go on
162,神,god
438,天啊,god
797,上帝,god
81,金,gold
30,好,good
141,好的,good
642,好好,good
873,晚安,good night
612,天哪,gosh
83,姆,governess
786,恩,grace
975,克,gram
361,太棒,great
774,格,grid
459,地,ground
389,组,group
395,顾,gu
886,卫,guard
802,猜,guess
839,导,guide
318,枪,gun
177,家伙,guy
302,哈,ha
107,发,hair
669,半,half
480,手,hand
880,帕,handkerchief
233,喜,happy
455,欢,happy
632,害,harm
356,谐,harmonious
239,一直,has been
10,有,have
377,都有,have
24,他,he
414,伊,he
484,头,head
673,生了,health
124,心,heart
461,帮,help
709,助,help
557,麻,hemp
788,她的,her
613,這裡,here
128,嘿,hey
204,嗨,hi
260,很高,high
402,高,high
117,他的,his
82,史,history
475,家,home
210,希望,hope
691,希,hope
467,马,horse
735,院,hospital
869,热,hot
614,房子,house
43,怎,how
90,如何,how
419,怎麼,how
946,多久,how long
163,多少,how much
497,然,however
328,伤,hurt
94,夫,husband
384,丈夫,husband
19,我,i
390,i,i
501,我喜,i am pleased to
679,對不起,i am sorry
892,真不,i really do not
283,要是,if
971,如果,if
108,像,image
512,器,implement
297,不可能,impossible
3,里,in
27,在,in
132,中,in
609,裏,in
734,裡,in
367,除了,in addition to
431,到底,in the end
922,收,income
229,确,indeed
650,独,independent
534,业,industry
97,亚,inferior
828,亞,inferior
989,械,instrument
761,保,insurance
421,兴,interest
816,有趣,interesting
393,倒,inverted
662,才是,is
965,就是,is
66,是不是,is not
31,吧,it
967,呢,it
969,它,it
407,件,item
516,其,its
703,杰克,jack
710,乔,joe
273,联,join
732,玩笑,joke
889,跳,jump
87,刚,just
711,义,justice
682,保持,keeping
147,杀,kill
879,殺,kill
708,王,king
32,知道,know
694,知,know
348,识,knowledge
286,丽,korea
793,啦,la
577,语,language
981,大,large
180,最后,last
374,昨晚,last night
279,笑,laugh
481,法,law
883,勒,le
245,学,learn
353,離開,leave
904,少,less
276,不到,less than
228,讓,let
964,让,let
373,级,level
580,莱,levin
403,莉,li
54,生活,life
576,命,life
707,生命,life
426,轻,light
515,光,light
169,好像,like
591,喜歡,like
681,像是,like
817,喜歡,like
259,线,line
974,听,listen
86,活,live
424,住,live
659,住在,lives in
201,地方,local
138,长,long
205,看看,look
463,找,look for
513,松,loose
624,失,lose
745,失去,lose
275,愛,love
766,情,love
999,爱,love
198,鲁,lu
71,吉,lucky
608,伦,lun
303,罗,luo
113,机,machine
720,狂,mad
601,主,main
324,作,make
725,使,make
72,男人,man
253,曼,man
337,很多,many
675,图,map
597,标,mark
823,标,mark
417,婚,marriage
931,玛,mary
327,物,matter
488,可能,may
230,意思,meaning
791,意,meaning
443,接,meet
320,员,member
284,提,mention
785,计,meter
794,米,meter
64,军,military
432,雷,mine
323,分,minute
531,小姐,miss
575,莫,mo
136,妈,mom
938,媽媽,mom
242,钱,money
686,錢,money
844,蒙,mongolian
119,德,moral
244,更,more
814,越,more
619,早上,morning
336,最,most
583,母,mother
846,山,mountain
540,嘴,mouth
590,口,mouth
146,动,move
982,先生,mr.
894,夫人,mrs.
287,女士,ms.
111,多,multi-
70,乐,music
91,须,must
798,必,must
912,必須,must
101,不要,must not
33,我的,my
355,我自己,myself
737,娜,na
152,名,name
341,名字,name
134,需要,need
68,不用,need not
473,懈,negligent
346,新,new
690,新的,new
830,消息,news
315,明,next
635,妮,ni
464,尼,nigeria
872,晚,night
47,不是,no
202,沒有,no
485,无,no
909,不再,no longer
5,没,not
13,不,not
156,不了,not
549,都不,not
799,沒,not
875,未,not
430,不行,not work
900,注意,note
674,而已,nothing more
246,現在,now
56,号,number
514,数,number
628,斜,oblique
919,际,occasion
525,奇,odd
21,的,of
809,化,of
871,當然,of course
648,任,office
329,官,official
579,常,often
482,噢,oh
505,喔,oh
987,哦,oh
400,好嗎,okay
789,老,old
18,就,on
954,上,on
843,代,on behalf of
654,放在,on the
339,一次,once
539,曾,once
722,一天,one day
206,自己,oneself
37,只,only
477,才,only
963,开,open
60,或,or
429,或者,or
747,還是,or
57,兰,orchid
623,原,original
509,其他,other
129,出,out
331,出去,out
585,外,outside
728,外面,outside
545,杰,outstanding
278,自己的,own
749,包,package
598,画,painting
824,画,painting
325,巴,pakistan
781,亲,parent
940,父母,parents
876,参,participate
301,伙,partner
740,传,pass
640,客,passenger
718,付,pay
2,人,people
391,也許,perhaps
334,者,person
200,相,phase
270,菲,philippines
544,照,photo
934,照片,photo
759,处,place
804,打算,plan
322,玩,play
697,戏,play
727,演,play
491,请,please
595,請,please
629,拜托,please
821,請,please
317,加,plus
254,點,point
962,点,point
518,极,pole
294,警,police
406,警察,police
379,差,poor
65,正,positive
957,现,present
196,威,prestige
415,以前,previous
748,价,price
813,狱,prison
837,問題,problem
469,利,profit
492,许,promise
896,诺,promise
440,护,protect
171,公,public
476,拉,pull
227,放,put
700,放下,put down
752,准,quasi-
558,很快,quickly
604,静,quiet
926,乱,random
126,比,ratio
450,生,raw
59,达,reach
217,实,real
565,真正,real
760,真是,really
985,真的,really
316,理,reason
716,原因,reason
935,收到,receive
392,最近,recently
541,认,recognize
867,录,record
274,丹,red
947,红,red
564,视,regard
182,不管,regardless of
671,释,release
237,记,remember
340,报,report
262,求,request
851,责,responsibility
451,回,return
88,回家,return home
878,饭,rice
856,权,right
295,险,risk
74,路,road
330,道,road
439,洛,rockwell
399,滚,roll
416,房,room
523,室,room
554,根,root
474,行,row
928,毁,ruin
638,治,rule
630,跑,run
360,赶,rush
763,安,safe
695,說的,said
489,薪,salary
49,样,sample
848,沙,sand
313,褬,sang
122,真,sant
713,救,save
28,说,say
479,說,say
511,士,scholar
288,校,school
209,屑,scrap
164,海,sea
366,索,search
78,次,secondary
189,安全,security
478,看到,see
952,看,see
990,见,see
149,种,seed
899,选,selected
898,卖,sell
412,送,send
510,派,send
213,感,sense
191,爾,seoul
454,尔,seoul
578,性,sex
522,影,shadow
562,莎,shakespeare
6,她,she
89,贝,shellfish
187,船,ship
588,惊,shock
884,射,shoot
916,馆,shop
944,店,shop
530,应,should
603,應該,should
858,显,show
247,边,side
170,单,single
298,坐,sit
397,六,six
195,皮,skin
548,睡,sleep
998,小,small
192,這麼,so
307,這樣,so
470,所以,so
542,如此,so
345,解,solution
102,些,some
157,有些,some
203,有人,some
306,一些,some
854,歌,song
238,抱歉,sorry
428,声,sound
447,音,sound
689,讲,speak
1000,特,special
666,言,speech
891,灵,spirit
932,方,square
958,斯,sri lanka
855,星,star
145,起,start
706,開始,start
840,州,state
657,站,station
584,留下,stay
62,蒂,stem
258,棒,stick
375,石,stone
292,停,stop
698,塞,stopper
563,故事,story
363,直,straight
677,怪,strange
941,奇怪,strange
533,强,strength
357,严,strict
160,击,strike
383,努力,strive
678,字幕,subtitle
874,成功,success
805,适,suitable
98,肯定,sure
243,面,surface
58,瑞,swiss
779,系,system
885,表,table
765,拿,take
829,脱,take off
411,谈,talk
167,教,teach
347,队,team
857,术,technique
73,告訴,tell
984,告,tell
319,万,ten thousand
526,试,test
625,考,test
908,验,test
369,泰,thai
986,谢,thank
602,謝謝,thank you
645,谢谢,thank you
12,那,that
190,那個,that
676,該,that
993,该,that
23,了,the
211,所,the
235,之,the
592,the,the
818,the,the
311,最好,the best
398,行了,the line
220,然后,then
372,然後,then
594,那麼,then
639,便,then
812,则,then
820,那麼,then
252,论,theory
277,這些,these
26,们,they
457,他們,they
643,們,they
208,事情,thing
296,東西,thing
951,事,thing
364,認為,think
380,思,think
921,想到,think
517,想我,think i
11,这,this
587,此,this
756,這個,this
795,本,this
970,這,this
494,那些,those
314,胁,threaten
69,三,three
257,通,through
556,紧,tight
877,瓦,tile
688,時,time
741,時間,time
961,时,time
226,题,title
40,对,to
41,把,to
48,到,to
219,給,to
234,對,to
310,向,to
344,到了,to
955,给,to
881,待,to be
680,去看,to see
224,今天,today
496,一起,together
435,明天,tomorrow
420,今晚,tonight
109,太,too
948,太多,too
333,总,total
699,碰,touch
559,游,tour
441,塔,tower
442,运,transport
338,医,treatment
636,凯,triumphant
506,褍,tuan
719,管,tube
285,调,tune
199,转,turn
866,二,two
770,美,u.s.
251,呃,uh
466,下,under
553,了解,understand
743,懂,understand
782,明白,understand
282,唯一,unique
924,直到,until
930,急,urgent
116,用,use
38,很,very
771,非常,very
137,候,wait
750,等,wait
36,想,want
762,想要,want
687,想知道,want to know
92,战,war
181,水,water
620,波,wave
949,咱,we
953,我們,we
868,武器,weapon
446,穿,wear
561,戴,wear
664,周,week
269,重,weight
704,迎,welcome
115,好了,well
133,好吧,well
216,嘛,well
456,很好,well
733,好啊,well
994,西,western
25,么,what
121,什麼,what
381,啥,what
615,何,what
633,麽,what
183,麦,wheat
656,的時候,when
586,當,when the
991,当,when the
757,在哪,where
882,是否,whether
472,哪,which
670,白,white
408,誰,who
483,谁,who
388,全部,whole
532,整,whole
569,全,whole
546,為什麼,why
365,老婆,wife
849,妻子,wife
887,太太,wife
342,将,will
738,將,will
93,不會,will not
61,愿,willing
668,赢,win
194,风,wind
607,酒,wine
903,丝,wire
17,要,wish
376,有了,with
468,以,with
618,同,with
834,著,with
968,着,with
972,跟,with
425,内,within
309,女人,woman
571,字,word
988,话,words
487,工作,work
905,工,work
100,世界,world
684,拜,worship
264,哇,wow
499,写,write
140,错,wrong
504,耶,yeah
778,呀,yeah
493,年,years
626,岁,years
980,是的,yes
920,产,yield
20,你,you
248,你們,you
321,妳,you
769,您,you
939,you,you
35,你的,your
852,你自己,yourself
663,褕,yu
266,张,zhang
268,锌,zinc
