number,french,english
498,froid,cold
647,recueillir,collect
830,colonie,colony
270,couleur,color
986,colonne,column
180,venir,come
372,commun,common
956,entreprise,company
812,comparer,compare
333,complète,complete
940,condition,condition
859,relier,connect
728,envisager,consider
667,consonne,consonant
428,contenir,contain
1000,continent…,continent
950,continuer,continue
649,contrôle,control
719,cuisinier,cook
684,frais,cool
733,copie,copy
811,blé,corn
773,coin,corner
421,correct,correct
634,coût,cost
971,coton,cotton
178,pourrait,could
513,compter,count
206,pays,country
354,cours,course
215,couvercle,cover
579,vache,cow
698,pli,crease
805,créer,create
768,récolte,crop
229,traverser,cross
810,foule,crowd
409,cri,cry
847,courant,current
267,coupe,cut
868,papa,dad
544,danse,dance
754,danger,danger
410,sombre,dark
177,jour,day
843,mort,dead
960,accord,deal
882,cher,dear
903,décès,death
361,décider,decide
650,décimal,decimal
363,profond,deep
879,degré,degree
816,dépendre,depend
718,décrire,describe
845,désert,desert
685,conception,design
973,déterminer,determine
437,développer,develop
669,dictionnaire,dictionary
181,fait,did
609,mourir,die
138,différer,differ
763,difficile,difficult
319,direct,direct
921,discuter,discuss
395,lointain,distant
532,fracture,divide
855,division,division
41,faire,do
764,médecin,doctor
51,ne,does
317,chien,dog
921,dollar,dollar
424,terminé,done
242,needs a context,don’t
324,porte,door
948,double,double
196,vers le bas,down
238,tirer,draw
938,rêver,dream
677,robe,dress
885,boisson,drink
426,entraînement,drive
539,tomber,drop
377,sec,dry
876,canard,duck
456,pendant,during
49,chaque,each
651,oreille,ear
461,tôt,early
99,terre,earth
284,facilité,ease
397,est,east
255,manger,eat
581,bord,edge
789,effet,effect
506,œuf,egg
702,huit,eight
721,chaque,either
790,électrique,electric
770,élément,element
652,autre,else
60,fin,end
883,ennemi,enemy
501,énergie,energy
545,moteur,engine
301,assez,enough
834,entrer,enter
639,égal,equal
386,assimiler,equate
915,particulièrement,especially
69,même,even
939,soirée,evening
958,événement,event
308,jamais,ever
120,tous,every
607,exact,exact
283,exemple,example
613,sauf,except
747,exciter,excite
563,exercice,exercise
791,attendre,expect
925,expérience,experience
688,expérience,experiment
222,œil,eye
271,face,face
449,fait,fact
645,juste,fair
407,tomber,fall
318,famille,family
820,célèbre,famous
236,loin,far
230,ferme,farm
467,rapide,fast
863,graisse,fat
100,père,father
858,favoriser,favor
823,peur,fear
941,alimentation,feed
312,sentir,feel
298,pieds,feet
642,est tombé,fell
534,feutre,felt
249,peu,few
419,domaine,field
916,figue,fig
744,lutte,fight
415,figure,figure
396,remplir,fill
432,finale,final
200,trouver,find
404,fin,fine
741,doigt,finger
593,finition,finish
339,feu,fire
193,première,first
260,poisson,fish
643,s’adapter,fit
458,cinq,five
694,plat,flat
720,étage,floor
644,débit,flow
596,fleur,flower
406,voler,fly
76,suivre,follow
216,nourriture,food
366,pied,foot
7,pour,for
358,force,force
552,forêt,forest
130,forme,form
922,avant,forward
207,trouvé,found
218,quatre,four
551,fraction,fraction
440,gratuit,free
836,frais,fresh
257,ami,friend
17,à partir de,from
429,avant,front
755,fruit,fruit
357,plein,full
586,amusement,fun
384,jeu,game
638,jardin,garden
588,gaz,gas
980,recueillir,gather
433,donné,gave
526,général,general
798,doux,gentle
106,obtenir,get
303,fille,girl
123,donner,give
864,heureux,glad
577,verre,glass
179,aller,go
373,or,gold
599,disparu,gone
121,bon,good
281,eu,got
496,gouverner,govern
535,grandiose,grand
578,herbe,grass
990,gris,gray
132,grand,great
434,vert,green
629,a augmenté,grew
464,sol,ground
286,groupe,group
210,croître,grow
801,deviner,guess
924,guider,guide
840,pistolet,gun
28,eu,had
717,cheveux,hair
336,moitié,half
64,main,hand
332,arriver,happen
594,heureux,happy
231,dur,hard
174,a,has
953,chapeau,hat
15,avoir,have
5,il,he
201,tête,head
265,entendre,hear
451,entendu,heard
540,cœur,heart
390,chaleur,heat
543,lourd,heavy
716,en attente,held
135,aider,help
167,son,her
71,ici,here
74,haut,high
724,colline,hill
172,lui,him
3,son,his
788,histoire,history
771,frapper,hit
462,tenir,hold
699,trou,hole
62,maison,home
595,espoir,hope
266,cheval,horse
19,chaud,hot
387,chaud,hot
453,heure,hour
87,maison,house
46,comment,how
918,énorme,huge
787,humain,human
457,cent,hundred
502,chasse,hunt
828,se dépêcher,hurry
2,je,i
527,glace,ice
259,idée,idea
44,si,if
794,imaginer,imagine
34,dans,in
351,pouce,inch
531,inclure,include
783,indiquer,indicate
742,industrie,industry
780,insecte,insect
877,instant,instant
575,instrument,instrument
465,intérêt,interest
970,inventer,invent
691,fer,iron
24,est,is
365,île,island
25,il,it
580,emploi,job
617,joindre,join
570,joie,joy
700,sauter,jump
129,juste,just
221,garder,keep
576,conservé,kept
690,clé,key
657,tuer,kill
84,genre,kind
349,roi,king
344,savait,knew
189,savoir,know
621,dame,lady
659,lac,lake
70,terre,land
399,langue,language
66,grand,large
224,dernier,last
240,tard,late
379,rire,laugh
730,droit,law
482,poser,lay
408,conduire,lead
213,apprendre,learn
610,moins,least
321,laisser,leave
929,led,led
239,gauche,left
562,jambe,leg
516,longueur,length
474,moins,less
225,laisser,let
293,lettre,letter
978,niveau,level
745,mensonge,lie
248,vie,life
848,ascenseur,lift
83,lumière,light
164,comme,like
137,ligne,line
894,liquide,liquid
310,liste,list
470,écouter,listen
113,peu,little
109,vivre,live
777,localiser,locate
895,enregistrer,log
561,seul,lone
168,long,long
175,regarder,look
635,perdu,lost
687,lot,lot
662,fort,loud
487,amour,love
136,faible,low
411,machine,machine
108,fabriqué,made
909,aimant,magnet
273,principal,main
835,majeur,major
169,faire,make
116,homme,man
159,beaucoup,many
493,carte,map
291,marque,mark
878,marché,market
932,masse,mass
851,maître,master
913,rencontre,match
550,matériel,material
528,question,matter
195,peut,may
122,moi,me
142,signifier,mean
896,signifiait,meant
323,mesurer,measure
817,viande,meat
704,se rencontrent,meet
601,mélodie,melody
80,hommes,men
709,métal,metal
672,méthode,method
656,milieu,middle
233,puissance,might
295,mile,mile
670,lait,milk
591,million,million
444,esprit,mind
832,mine,mine
441,minute,minute
388,manquer,miss
631,mélanger,mix
769,moderne,modern
987,molécule,molecule
660,moment,moment
489,argent,money
590,mois,month
364,lune,moon
176,plus,more
475,matin,morning
185,plus,most
94,mère,mother
892,mouvement,motion
566,monture,mount
261,montagne,mountain
606,bouche,mouth
144,déménagement,move
141,beaucoup,much
352,multiplier,multiply
288,musique,music
72,il faut,must
187,ma,my
126,nom,name
668,nation,nation
748,naturel,natural
889,nature,nature
96,près de,near
802,nécessaire,necessary
900,cou,neck
86,besoin,need
806,voisin,neighbor
223,jamais,never
102,nouveau,new
277,suivant,next
246,nuit,night
975,neuf,nine
184,aucun,no
977,bruit,noise
767,midi,noon
947,ni,nor
250,nord,north
996,nez,nose
412,note,note
353,rien,nothing
499,avis,notice
418,nom,noun
199,maintenant,now
182,nombre,number
328,chiffre,numeral
360,objet,object
664,observer,observe
886,se produire,occur
438,océan,ocean
30,de,of
85,de,off
873,proposition,offer
603,bureau,office
292,souvent,often
435,oh,oh
626,huile,oil
147,vieux,old
8,sur,on
263,une fois,once
14,un,one
114,seulement,only
274,ouvert,open
760,fonctionner,operate
963,opposé,opposite
27,ou,or
338,ordre,order
673,organe,organ
865,original,original
38,autre,other
124,notre,our
37,dehors,out
188,sur,over
203,propre,own
901,oxygène,oxygen
204,page,page
398,peindre,paint
530,paire,pair
285,papier,paper
713,paragraphe,paragraph
853,mère,parent
104,partie,part
959,particulier,particular
774,partie,party
345,passer,pass
584,passé,past
893,chemin,path
484,modèle,pattern
674,payer,pay
186,personnes,people
510,peut-être,perhaps
782,période,period
488,personne,person
734,phrase,phrase
511,choisir,pick
88,image,picture
342,pièce,piece
930,pas,pitch
107,lieu,place
302,plaine,plain
414,plan,plan
375,plan,plane
827,planète,planet
214,usine,plant
58,jouer,play
765,s’il vous plaît,please
997,pluriel,plural
813,poème,poem
93,point,point
686,pauvres,poor
880,peupler,populate
65,port,port
320,pose,pose
546,position,position
374,possible,possible
860,poste,post
423,livre,pound
402,puissance,power
761,pratique,practice
994,préparer,prepare
542,présent,present
244,presse,press
904,assez,pretty
842,impression,print
503,probable,probable
341,problème,problem
759,processus,process
448,produire,produce
325,produit,product
871,propre,proper
985,propriété,property
766,protéger,protect
560,prouver,prove
795,fournir,provide
497,tirer,pull
711,pousser,push
61,mettre,put
974,litre,quart
331,question,question
436,rapide,quick
680,calme,quiet
653,tout à fait,quite
897,quotient,quotient
554,course,race
784,radio,radio
793,rail,rail
494,pluie,rain
707,augmenter,raise
382,ran,ran
890,gamme,range
809,plutôt,rather
466,atteindre,reach
63,lire,read
306,prêt,ready
247,réel,real
515,raison,reason
604,recevoir,receive
370,record,record
309,rouge,red
520,région,region
459,rappeler,remember
991,répétition,repeat
884,répondre,reply
517,représenter,represent
992,exiger,require
420,reste,rest
722,résultat,result
756,riche,rich
507,tour,ride
145,droit,right
778,anneau,ring
623,augmenter,rise
296,rivière,river
492,route,road
337,rock,rock
739,rouleau,roll
256,chambre,room
705,racine,root
935,corde,rope
840,rose,rose
115,tour,round
605,rangée,row
818,rub,rub
495,règle,rule
241,courir,run
725,coffre-fort,safe
47,dit,said
549,voile,sail
995,sel,salt
149,même,same
737,sable,sand
572,sat,sat
648,sauver,save
235,scie,saw
134,dire,say
661,échelle,scale
209,école,school
254,science,science
926,score,score
237,mer,sea
837,recherche,search
907,saison,season
949,siège,seat
300,deuxième,second
676,section,section
171,voir,see
615,semence,seed
275,paraître,seem
874,segment,segment
988,sélectionner,select
98,soi,self
954,vendre,sell
838,envoyer,send
750,sens,sense
640,expédié,sent
131,phrase,sentence
762,séparé,separate
490,servir,serve
52,ensemble,set
523,régler,settle
712,sept,seven
478,plusieurs,several
715,doit,shall
385,forme,shape
866,part,share
803,net,sharp
150,elle,she
856,feuille,sheet
899,coquille,shell
984,éclat,shine
334,navire,ship
965,chaussure,shoe
981,boutique,shop
854,rivage,shore
327,court,short
205,devrait,should
966,épaule,shoulder
612,cri,shout
119,montrer,show
197,côté,side
284,vue,sight
582,signe,sign
735,silencieux,silent
910,argent,silver
923,similaire,similar
477,simple,simple
346,depuis,since
469,chanter,sing
692,unique,single
919,sœur,sister
553,s’asseoir,sit
471,six,six
521,taille,size
905,compétence,skill
696,peau,skin
568,ciel,sky
875,esclave,slave
559,sommeil,sleep
936,glissement,slip
485,lent,slow
59,petit,small
945,odeur,smell
697,sourire,smile
391,neige,snow
165,si,so
585,doux,soft
738,sol,soil
758,soldat,soldier
908,solution,solution
708,résoudre,solve
23,certains,some
658,fils,son
322,chanson,song
315,bientôt,soon
183,son,sound
340,sud,south
450,espace,space
524,parler,speak
443,spécial,special
888,discours,speech
671,vitesse,speed
67,épeler,spell
861,passer,spend
785,rayon,spoke
844,place,spot
967,propagation,spread
663,printemps,spring
514,carré,square
202,supporter,stand
416,étoile,star
232,début,start
220,état,state
867,station,station
355,rester,stay
376,place,stead
891,vapeur,steam
920,acier,steel
460,étape,step
693,bâton,stick
212,encore,still
681,pierre,stone
427,résisté,stood
262,arrêtez,stop
556,magasin,store
234,histoire,story
666,droit,straight
598,étrange,strange
822,courant,stream
350,rue,street
982,tronçon,stretch
814,chaîne,string
442,fort,strong
772,étudiant,student
211,étude,study
519,sujet,subject
857,substance,substance
957,soustraire,subtract
955,succès,success
75,tel,such
512,soudain,sudden
914,suffixe,suffix
902,sucre,sugar
618,suggérer,suggest
846,costume,suit
557,été,summer
217,soleil,sun
775,alimentation,supply
887,support,support
268,sûr,sure
362,surface,surface
679,surprise,surprise
961,baignade,swim
533,syllabe,syllable
608,symbole,symbol
367,système,system
472,table,table
447,queue,tail
105,prendre,take
313,parler,talk
736,haut,tall
430,enseigner,teach
632,équipe,team
898,dents,teeth
50,dire,tell
740,température,temperature
476,dix,ten
962,terme,term
369,test,test
191,que,than
911,merci,thank
4,que,that
29,la,the
42,leur,their
161,les,them
160,puis,then
152,là,there
166,ces,these
11,ils,they
757,épais,thick
825,mince,thin
170,chose,thing
133,penser,think
714,troisième,third
16,ce,this
289,ceux,those
311,bien que,though
226,pensée,thought
380,mille,thousand
53,trois,three
128,par,through
983,jeter,throw
797,ainsi,thus
833,lien,tie
43,temps,time
682,minuscule,tiny
392,pneu,tire
31,à,to
276,ensemble,together
343,dit,told
616,ton,tone
148,trop,too
253,a pris,took
942,outil,tool
347,haut,top
943,total,total
628,toucher,touch
480,vers,toward
403,ville,town
852,piste,track
600,commerce,trade
558,train,train
473,voyage,travel
228,arbre,tree
826,triangle,triangle
602,voyage,trip
611,difficulté,trouble
976,camion,truck
455,vrai,true
89,essayer,try
819,tube,tube
139,tour,turn
695,vingt,twenty
173,deux,two
729,type,type
125,sous,under
401,unité,unit
294,jusqu’à ce que,until
154,jusqu’à,up
90,nous,us
155,utiliser,use
304,habituel,usual
946,vallée,valley
743,valeur,value
522,varier,vary
468,verbe,verb
127,très,very
749,vue,view
703,village,village
583,visite,visit
500,voix,voice
479,voyelle,vowel
413,patienter,wait
282,marcher,walk
564,mur,wall
54,vouloir,want
481,guerre,war
439,chaud,warm
6,était,was
807,lavage,wash
269,regarder,watch
190,eau,water
538,vague,wave
157,manière,way
35,nous,we
637,porter,wear
589,temps,weather
431,semaine,week
525,poids,weight
56,bien,well
82,est allé,went
39,étaient,were
463,ouest,west
22,que,what
356,roue,wheel
153,quand,when
110,où,where
710,si,whether
40,qui,which
243,tandis que,while
278,blanc,white
194,qui,who
348,ensemble,whole
776,dont,whose
78,pourquoi,why
548,large,wide
964,femme,wife
574,sauvage,wild
45,volonté,will
937,gagner,win
330,vent,wind
555,fenêtre,window
804,aile,wing
571,hiver,winter
633,fil,wire
567,souhaiter,wish
10,avec,with
799,femme,woman
906,femmes,women
378,se demander,wonder
752,ne sera pas,won’t
272,bois,wood
20,mot,word
103,travail,work
95,monde,world
163,voudrais,would
162,écrire,write
573,écrit,written
989,mal,wrong
614,écrit,wrote
622,cour,yard
117,année,year
839,jaune,yellow
394,oui,yes
537,encore,yet
26,vous,you
305,jeune,young
156,votre,your
