number,uyghur,english
521,зурлыгы,size
905,осталык,skill
696,тире,skin
568,күк,sky
875,кол,slave
559,йокы,sleep
936,тайгак,slip
485,әкрен,slow
59,кечкенә,small
945,ис,smell
697,елмаеп кара,smile
391,кар,snow
165,шулай,so
585,йомшак,soft
738,туфрак,soil
758,солдат,soldier
908,чишелеш,solution
708,чишү,solve
23,кайберләре,some
658,улы,son
322,җыр,song
315,тиздән,soon
183,тавыш,sound
340,көньяк,south
450,киңлек,space
524,сөйләш,speak
443,махсус,special
888,сөйләм,speech
671,тизлек,speed
67,имла,spell
861,сарыф итү,spend
785,сөйләде,spoke
844,урын,spot
967,таралу,spread
663,яз,spring
514,квадрат,square
202,тор,stand
416,йолдыз,star
232,башлау,start
220,дәүләт,state
867,станция,station
355,калыгыз,stay
376,урынына,stead
891,пар,steam
920,корыч,steel
460,адым,step
693,таяк,stick
212,һаман,still
681,таш,stone
427,торды,stood
262,тукта,stop
556,кибет,store
234,хикәя,story
666,туры,straight
598,сәер,strange
822,агым,stream
350,урам,street
982,суз,stretch
814,кыл,string
442,көчле,strong
772,студент,student
211,өйрәнү,study
519,тема,subject
857,матдә,substance
957,алу,subtract
955,уңыш,success
75,мондый,such
512,кинәт,sudden
914,суффикс,suffix
902,шикәр,sugar
618,тәкъдим итегез,suggest
846,костюм,suit
557,җәй,summer
217,кояш,sun
775,тәэмин итү,supply
887,ярдәм,support
268,sureичшиксез,sure
362,өслеге,surface
679,сюрприз,surprise
961,йөзү,swim
533,буын,syllable
608,символы,symbol
367,системасы,system
472,өстәл,table
447,койрыгы,tail
105,алыгыз,take
313,сөйләшү,talk
736,озын,tall
430,өйрәт,teach
632,команда,team
898,тешләр,teeth
50,әйт,tell
740,температура,temperature
476,ун,ten
962,термин,term
369,тест,test
191,караганда,than
911,рәхмәт,thank
4,бу,that
29,бу,the
42,аларның,their
161,алар,them
160,аннары,then
152,тегендә,there
166,болар,these
11,алар,they
757,калын,thick
825,нечкә,thin
170,нәрсә,thing
133,уйла,think
714,өченче,third
16,бу,this
289,алар,those
311,булса да,though
226,– дип уйлады,thought
380,мең,thousand
53,өч,three
128,аша,through
983,ыргыту,throw
797,шулай итеп,thus
833,галстук,tie
43,вакыт,time
682,кечкенә,tiny
392,шина,tire
31,to,to
276,бергә,together
343,– диде,told
616,тон,tone
148,шулай ук,too
253,алды,took
942,корал,tool
347,өстә,top
943,барлыгы,total
628,кагылу,touch
480,ягына,toward
403,шәһәр,town
852,трек,track
600,сәүдә,trade
558,поезд,train
473,сәяхәт,travel
228,агач,tree
826,өчпочмак,triangle
602,сәяхәт,trip
611,проблема,trouble
976,йөк машинасы,truck
455,чын,true
89,тырышып кара,try
819,труба,tube
139,борылу,turn
695,егерме,twenty
173,ике,two
729,тибы,type
125,астында,under
401,берәмлек,unit
294,кадәр,until
154,өскә,up
90,без,us
155,куллану,use
304,гадәти,usual
946,үзән,valley
743,кыйммәт,value
522,төрле,vary
468,фигыль,verb
127,бик,very
749,карау,view
703,авыл,village
583,килү,visit
500,тавыш,voice
479,аваз,vowel
413,көт,wait
282,йөрергә,walk
564,дивар,wall
54,кирәк,want
481,сугыш,war
439,җылы,warm
6,булган,was
807,юу,wash
269,карау,watch
190,су,water
538,дулкын,wave
157,юл,way
35,без,we
637,кием,wear
589,һава торышы,weather
431,атна,week
525,авырлык,weight
56,әйбәт,well
82,китте,went
39,булган,were
463,көнбатыш,west
22,нәрсә,what
356,тәгәрмәч,wheel
153,кайчан,when
110,кайда,where
710,буламы,whether
40,кайсы,which
243,шул вакытта,while
278,белый,white
194,кем,who
348,тулы,whole
776,кем,whose
78,нигә,why
548,киң,wide
964,хатыны,wife
574,кыргый,wild
45,булачак,will
937,җиңү,win
330,җил,wind
555,тәрәзә,window
804,канат,wing
571,кыш,winter
633,чыбык,wire
567,теләк,wish
10,белән,with
799,хатын-кыз,woman
906,хатын-кызлар,women
378,гаҗәпләнү,wonder
752,булмый,won’t
272,агач,wood
20,сүз,word
103,эш,work
95,дөнья,world
163,.әр сүзнең,would
162,яз,write
573,язылган,written
989,ялгыш,wrong
614,язган,wrote
622,ишегалды,yard
117,ел,year
839,сары,yellow
394,әйе,yes
537,әле,yet
26,син,you
305,яшь,young
156,сезнең,your
