number,russian,english
145,право,right
778,кольцо,ring
623,подниматься,rise
296,река,river
492,дорога,road
337,рок,rock
739,рулон,roll
256,номер,room
705,корень,root
935,веревка,rope
840,выросла,rose
115,круглый,round
605,строка,row
818,руб,rub
495,правило,rule
241,запустить,run
725,сейф,safe
47,указанный,said
549,парус,sail
995,соль,salt
149,же,same
737,песок,sand
572,сб,sat
648,сохранить,save
235,пила,saw
134,сказать,say
661,шкала,scale
209,школа,school
254,наука,science
926,счет,score
237,море,sea
837,поиск,search
907,сезон,season
949,сиденья,seat
300,второй,second
676,раздел,section
171,посмотреть,see
615,семян,seed
275,кажется,seem
874,сегмент,segment
988,выбирать,select
98,самостоятельно,self
954,продать,sell
838,отправить,send
750,смысл,sense
640,отправлено,sent
131,приговор,sentence
762,отдельный,separate
490,служить,serve
52,набор,set
523,урегулировать,settle
712,семь,seven
478,несколько,several
715,должен,shall
385,форма,shape
866,доля,share
803,резкое,sharp
150,она,she
856,лист,sheet
899,оболочка,shell
984,блеск,shine
334,корабль,ship
965,обуви,shoe
981,магазин,shop
854,берег,shore
327,короткая,short
205,должны,should
966,плечо,shoulder
612,крик,shout
119,шоу,show
197,сторона,side
284,зрение,sight
582,знак,sign
735,тихий,silent
910,серебро,silver
923,похожи,similar
477,простой,simple
346,с,since
469,петь,sing
692,один,single
919,сестра,sister
553,сидеть,sit
471,шесть,six
521,размер,size
905,умение,skill
696,кожа,skin
568,небо,sky
875,раб,slave
559,сон,sleep
936,скольжение,slip
485,медленно,slow
59,небольшой,small
945,запах,smell
697,улыбка,smile
391,снег,snow
165,так,so
585,мягкая,soft
738,почвы,soil
758,солдат,soldier
908,решение,solution
708,решить,solve
23,некоторые,some
658,сын,son
322,песня,song
315,скоро,soon
183,звук,sound
340,юг,south
450,пространство,space
524,говорить,speak
443,специальный,special
888,речь,speech
671,скорость,speed
67,заклинание,spell
861,провести,spend
785,говорил,spoke
844,место,spot
967,распространение,spread
663,весна,spring
514,квадратный,square
202,стоять,stand
416,звезда,star
232,начало,start
220,состояние,state
867,станция,station
355,оставаться,stay
376,вместо него,stead
891,пара,steam
920,сталь,steel
460,шаг,step
693,палка,stick
212,еще,still
681,камень,stone
427,стоял,stood
262,остановить,stop
556,магазин,store
234,история,story
666,прямо,straight
598,странный,strange
822,поток,stream
350,улица,street
982,протяжение,stretch
814,строка,string
442,сильный,strong
772,студент,student
211,исследование,study
519,заголовок,subject
857,вещество,substance
957,вычитать,subtract
955,успех,success
75,такие,such
512,внезапный,sudden
914,суффикс,suffix
902,сахар,sugar
618,предложить,suggest
846,костюм,suit
557,лето,summer
217,солнце,sun
775,поставка,supply
887,поддержка,support
268,уверен,sure
362,поверхность,surface
679,сюрприз,surprise
961,плавать,swim
533,слог,syllable
608,символ,symbol
367,система,system
472,стол,table
447,хвост,tail
105,принимать,take
313,разговор,talk
736,высокий,tall
430,учить,teach
632,команда,team
898,зубы,teeth
50,сказать,tell
740,температура,temperature
476,десять,ten
962,термин,term
369,тест,test
191,чем,than
911,спасибо,thank
4,что,that
29,площадь,the
42,их,their
161,их,them
160,затем,then
152,там,there
166,эти,these
11,они,they
757,толщиной,thick
825,тонкий,thin
170,вещь,thing
133,думать,think
714,третий,third
16,это,this
289,"тех,",those
311,хотя,though
226,мысль,thought
380,тыс,thousand
53,три,three
128,через,through
983,бросать,throw
797,таким образом,thus
833,связать,tie
43,время,time
682,крошечный,tiny
392,шина,tire
31,гора,to
276,вместе,together
343,сказал,told
616,тон,tone
148,слишком,too
253,взял,took
942,инструмент,tool
347,топ,top
943,общий,total
628,коснуться,touch
480,к,toward
403,город,town
852,трек,track
600,торговля,trade
558,поезд,train
473,поездки,travel
228,дерево,tree
826,треугольник,triangle
602,поездка,trip
611,беда,trouble
976,грузовик,truck
455,правда,true
89,пытаться,try
819,трубка,tube
139,поворот,turn
695,двадцать,twenty
173,два,two
729,тип,type
125,под,under
401,блок,unit
294,до,until
154,вверх,up
90,нам,us
155,использование,use
304,обычно,usual
946,долина,valley
743,значение,value
522,меняться,vary
468,глагол,verb
127,очень,very
749,вид,view
703,деревня,village
583,визит,visit
500,голос,voice
479,гласный,vowel
413,ждать,wait
282,ходить,walk
564,стена,wall
54,хочу,want
481,война,war
439,теплый,warm
6,было,was
807,стирка,wash
269,смотреть,watch
190,вода,water
538,волна,wave
157,способ,way
35,мы,we
637,носить,wear
589,погода,weather
431,неделя,week
525,вес,weight
56,хорошо,well
82,пошел,went
39,были,were
463,запад,west
22,что,what
356,колеса,wheel
153,когда,when
110,где,where
710,ли,whether
40,который,which
243,в то время как,while
278,белый,white
194,кто,who
348,весь,whole
776,чьи,whose
78,почему,why
548,широкий,wide
964,жена,wife
574,дикий,wild
45,будет,will
937,выиграть,win
330,ветер,wind
555,окно,window
804,крыло,wing
571,зима,winter
633,провод,wire
567,хотите,wish
10,с,with
799,женщина,woman
906,женщины,women
378,интересно,wonder
752,не будет,won’t
272,дерево,wood
20,слово,word
103,работа,work
95,мир,world
163,бы,would
162,запись,write
573,написанный,written
989,неправильно,wrong
614,писал,wrote
622,двор,yard
117,год,year
839,желтый,yellow
394,да,yes
537,еще,yet
26,вы,you
305,молодой,young
156,ваш,your
