number,sinhala,english
810,සමූහයා,crowd
409,ගැස්මට,cry
847,වත්මන්,current
267,සැපයුම අත්හිටුවන,cut
868,තාත්තා,dad
544,නැටුම්,dance
754,අනතුර,danger
410,අඳුරු,dark
177,දින,day
843,මිය ගිය,dead
960,ගනුදෙනුව,deal
882,ආදරණීය,dear
903,මරණය,death
361,තීරණය,decide
650,දශම,decimal
363,ගැඹුරු,deep
879,උපාධිය,degree
816,රඳා පවතී,depend
718,විස්තර,describe
845,කාන්තාර,desert
685,නිර්මාණ,design
973,තීරණය,determine
437,සංවර්ධනය,develop
669,ශබ්ද කෝෂය,dictionary
181,කළා,did
609,මිය,die
138,වෙනස්,differ
763,දුෂ්කර,difficult
319,සෘජු,direct
921,සාකච්ඡා,discuss
395,ඈත,distant
532,බෙදීම්,divide
855,අංශය,division
41,කරන්න,do
764,වෛද්යවරයා,doctor
51,කරන්නේ,does
317,බල්ලා,dog
921,ඩොලර්,dollar
424,සිදු,done
242,නෑ,don’t
324,දොර,door
948,ද්විත්ව,double
196,වසා,down
238,දිනුම් ඇදීම,draw
938,සිහිනය,dream
677,ඇඳුම,dress
885,බීම,drink
426,තැටිය,drive
539,පහත,drop
377,වියළි,dry
876,තාරාවා,duck
456,තුළ,during
49,එක් එක්,each
651,කණ,ear
461,මුල්,early
99,පොළොව,earth
284,පහසුවෙන්,ease
397,නැගෙනහිර,east
255,කන්න,eat
581,වෝටර්ස් එජ්,edge
789,ක්රියාත්මක,effect
506,බිත්තර,egg
702,අට,eight
721,එක්කෝ,either
790,විදුලි,electric
770,මූලද්රව්යය,element
652,වෙන,else
60,අවසානය,end
883,සතුරා,enemy
501,බලශක්ති,energy
545,එන්ජිම,engine
301,ඇති,enough
834,ඇතුළු,enter
639,සමාන,equal
386,සමාන,equate
915,විශේෂයෙන්,especially
69,පවා,even
939,සවස,evening
958,උත්සවය,event
308,මෙතෙක්,ever
120,සෑම,every
607,හරියටම,exact
283,උදාහරණයක්,example
613,හැර,except
747,උද්දීපනය,excite
563,ව්යායාම,exercise
791,බලාපොරොත්තු,expect
925,අත්දැකීම්,experience
688,අත්හදා බැලීම,experiment
222,ඇස,eye
271,මුහුණ,face
449,ඇත්ත,fact
645,සාධාරණ,fair
407,වැටීම,fall
318,පවුලේ,family
820,ප්රසිද්ධ,famous
236,දුර,far
230,ගොවිපල,farm
467,වේගයෙන්,fast
863,මේදය,fat
100,පියා,father
858,පක්ෂව,favor
823,බිය,fear
941,ආහාර,feed
312,හිතෙනවා,feel
298,අඩි,feet
642,රැයකින්,fell
534,දැනුණේ,felt
249,කිහිපයක්,few
419,ක්ෂේත්රයේ,field
916,රූපය,fig
744,සටන,fight
415,චරිතයක්,figure
396,පිරවීම,fill
432,අවසන්,final
200,සොයා,find
404,දඩ,fine
741,ඇඟිල්ල,finger
593,නිමි,finish
339,ගිනි,fire
193,පළමු,first
260,මාළු,fish
643,සුදුසු,fit
458,පස්,five
694,පැතලි,flat
720,බිම,floor
644,ප්රවාහය,flow
596,මල්,flower
406,පියාසර තහනම්,fly
76,අනුගමනය,follow
216,ආහාර,food
366,අඩි,foot
7,සඳහා,for
358,බලය,force
552,වනාන්තර,forest
130,ආකෘති පත්රය,form
922,ඉදිරියට,forward
207,සොයා,found
218,හතර,four
551,භාගය,fraction
440,නිදහස්,free
836,නැවුම්,fresh
257,මිතුරා,friend
17,සිට,from
429,ඉදිරිපස,front
755,පළතුරු,fruit
357,පූර්ණ,full
586,විනෝද,fun
384,ක්රීඩාව,game
638,වත්ත,garden
588,ගෑස්,gas
980,රැස්,gather
433,දුන්,gave
526,පොදු,general
798,මෘදු,gentle
106,ලබා,get
303,දැරිය,girl
123,දෙන්න,give
864,සතුටු,glad
577,වීදුරු,glass
179,යන්න,go
373,රන්,gold
599,ගිහින්,gone
121,හොඳ,good
281,වී,got
496,පාලනය,govern
535,මහා,grand
578,තෘණ,grass
990,අළු,gray
132,මහා,great
434,හරිත,green
629,වර්ධනය වී,grew
464,බිම,ground
286,පිරිසක්,group
210,වර්ධනය,grow
801,අනුමානය,guess
924,guide,guide
840,තුවක්කුවක්,gun
28,තිබූ,had
717,කෙස්,hair
336,අර්ධ,half
64,අත,hand
332,සිදු,happen
594,සතුටු,happy
231,වෙහෙස මහන්සි වී,hard
174,ඇත,has
953,තොප්පිය,hat
15,ඇති,have
5,ඔහු,he
201,හිස,head
265,සවන්,hear
451,අසා,heard
540,හදවත,heart
390,තාපය,heat
543,බර,heavy
716,පැවති,held
135,උදව්,help
167,ඇය,her
71,මෙතැන,here
74,ඉහළ,high
724,කඳු,hill
172,ඔහු,him
3,ඔහුගේ,his
788,ඉතිහාසය,history
771,ඝාතකයා,hit
462,පැවැත්වීමට,hold
699,කුහරය,hole
62,මුල් පිටුව,home
595,බලාපොරොත්තුව,hope
266,අශ්වයා,horse
19,උණුසුම්,hot
387,උණුසුම්,hot
453,පැය,hour
87,නිවසක්,house
46,කොහොමද,how
918,විශාල,huge
787,මානව,human
457,සියයක්,hundred
502,දඩයම,hunt
828,කඩිමුඩියේ,hurry
2,මම,i
527,අයිස්,ice
259,අදහස,idea
44,නම්,if
794,හිතාගන්න,imagine
34,දී,in
351,අඟල්,inch
531,ඇතුළත්,include
783,සඳහන්,indicate
742,කර්මාන්තය,industry
780,කෘමි,insect
877,ක්ෂණික,instant
575,මෙවලමක්,instrument
465,පොලී,interest
970,නිර්මාණය,invent
691,යකඩ,iron
24,වේ,is
365,දිවයින,island
25,එය,it
580,රැකියා,job
617,එක්වන,join
570,ප්රීතිය,joy
700,වෙත පනින්න,jump
129,පමණක්,just
221,තබා,keep
576,තබා,kept
690,ප්රධාන,key
657,මරා,kill
84,කාරුණික,kind
349,රජු,king
344,දැන,knew
189,දැන,know
621,කාන්තාව,lady
659,විල,lake
70,ඉඩම්,land
399,භාෂාව,language
66,විශාල,large
224,පසුගිය,last
240,අග,late
379,සිනහ,laugh
730,නීතිය,law
482,ගිහි,lay
408,පෙරමුණ,lead
213,ඉගෙන,learn
610,අවම වශයෙන්,least
321,නිවාඩු,leave
929,led,led
239,වම්,left
562,කකුලක්,leg
516,දිග,length
474,අඩු,less
225,ඉඩ දෙන්න,let
293,ලිපිය,letter
978,මට්ටමින්,level
745,බොරුවක්,lie
248,ජීවිතය,life
848,විදුලි සෝපානය,lift
83,ආලෝකය,light
164,වැනි,like
137,මාර්ගය,line
894,දියර,liquid
310,ලැයිස්තුව,list
470,සවන්,listen
113,කුඩා,little
109,සජීවී,live
777,සොයා,locate
895,ලඝු-සටහන,log
561,තනි වූ,lone
168,දිගු,long
175,බලන්න,look
635,අහිමි,lost
687,ගොඩක්,lot
662,ශබ්ද විකාශන යන්ත්ර,loud
487,ආදරය,love
136,අඩු,low
411,යන්ත්රය,machine
108,සිදු,made
909,චුම්භකයක්,magnet
273,ප්රධාන,main
835,ප්රධාන,major
169,කරන්න,make
116,මිනිසා,man
159,බොහෝ,many
493,සිතියම,map
291,ලකුණ,mark
878,වෙළෙඳපොළ,market
932,මහා,mass
851,ස්වාමියා,master
913,තරගය,match
550,ද්රව්ය,material
528,කාරණය,matter
195,හැකිය,may
122,මට,me
142,අදහස්,mean
896,අදහස්,meant
323,පියවරක්,measure
817,මස්,meat
704,තරග,meet
601,තනු නිර්මාණය,melody
80,මිනිසුන්,men
709,ලෝහ,metal
672,ක්රමය,method
656,මධ්යම,middle
233,සමහරවිට,might
295,සැතපුම්,mile
670,කිරි,milk
591,මිලියන,million
444,මනස,mind
832,බිම් බෝම්බ,mine
441,විනාඩි,minute
388,මම ඔයාට ආදරේ,miss
631,මිශ්ර,mix
769,නවීන,modern
987,අණුවක්,molecule
660,මොහොතක්,moment
489,මුදල්,money
590,මාසය,month
364,සඳ,moon
176,තව,more
475,අද උදෑසන,morning
185,බොහෝ,most
94,මව,mother
892,යෝජනාව,motion
566,කන්ද,mount
261,කඳු,mountain
606,මුඛයෙන්,mouth
144,පියවර,move
141,බොහෝ,much
352,ගුණ,multiply
288,සංගීතය,music
72,කල යුතු,must
187,මගේ,my
126,නම,name
668,ජාතිය,nation
748,ස්වාභාවික,natural
889,ස්වභාවය,nature
96,අසල,near
802,අවශ්ය,necessary
900,ගෙල,neck
86,අවශ්යතාව,need
806,අසල්වැසියා,neighbor
223,කවදාවත්,never
102,නව,new
277,ඊළඟ,next
246,රාත්රී,night
975,නවය,nine
184,කිසිදු,no
977,ශබ්ද,noise
767,දහවල්,noon
947,"වත්,",nor
250,උතුරු,north
996,නාසය,nose
412,සටහන,note
353,කිසිවක්,nothing
499,දැනුම් දීමකින්,notice
418,නාම පදයක්,noun
199,දැන්,now
182,සංඛ්යාව,number
328,ඉලක්කම,numeral
360,වස්තුව,object
664,නිරීක්ෂණය,observe
886,සිදු,occur
438,සාගර,ocean
30,පිළිබඳ,of
85,කපා,off
873,ඉල්ලුමට,offer
603,කාර්යාලය,office
292,බොහෝ විට,often
435,අයියෝ,oh
626,තෙල්,oil
147,පැරණි,old
8,මත,on
263,වරක්,once
14,එක්,one
114,පමණක්,only
274,විවෘත,open
760,ක්රියාත්මක,operate
963,ප්රතිවිරුද්ධ,opposite
27,හෝ,or
338,නියෝගයක්,order
673,ඉන්ද්රිය,organ
865,මුල්,original
38,වෙනත්,other
124,අපගේ,our
37,පිටතට,out
188,කට,over
203,ම,own
901,ඔක්සිජන්,oxygen
204,පිටුව,page
398,තීන්ත,paint
530,යුගල,pair
285,කඩදාසි,paper
713,ඡේදය,paragraph
853,මව්,parent
104,කොටසක්,part
959,විශේෂයෙන්,particular
774,පක්ෂ,party
345,සාමාර්ථයක්,pass
584,පසුගිය,past
893,මාර්ගය,path
484,රටාව,pattern
674,වැටුප්,pay
186,ජනතාව,people
510,සමහර විට,perhaps
782,කාලය,period
488,පුද්ගලයා,person
734,වැකිය,phrase
511,පික්,pick
88,පින්තූරයක්,picture
342,කෑල්ලක්,piece
930,තණතීරුව,pitch
107,ස්ථානය,place
302,තැනිතලා,plain
414,සැලැස්ම,plan
375,තලය,plane
827,ග්රහ,planet
214,බලාගාරය,plant
58,නාට්යයේ,play
765,කරුණාකර,please
997,බහු වචන,plural
813,කවිය,poem
93,පේදුරු,point
686,දුප්පත්,poor
880,පිරවිය,populate
65,වරාය,port
320,මතු,pose
546,තත්ත්වය,position
374,හැකි,possible
860,පශ්චාත්,post
423,රාත්තල්,pound
402,බලය,power
761,ප්රායෝගික,practice
994,සූදානම්,prepare
542,වර්තමාන,present
244,මාධ්ය,press
904,ලස්සන,pretty
842,මුද්රණය,print
503,අනුමාන,probable
341,ප්රශ්නය,problem
759,ක්රියාවලිය,process
448,නිපැයුම,produce
325,නිෂ්පාදන,product
871,නිසි,proper
985,දේපල,property
766,ආරක්ෂා,protect
560,ඔප්පු,prove
795,ලබා,provide
497,අදින්න,pull
711,තල්ලු කරනවා,push
61,put,put
974,නැළියකට විකිණීම,quart
331,ප්රශ්නය,question
436,ඉක්මන්,quick
680,නිහඬව,quiet
653,තරමක්,quite
897,ලබ්ධිය,quotient
554,ජාතිය,race
784,ගුවන් විදුලි,radio
793,දුම්රිය,rail
494,වැසි,rain
707,මතු,raise
382,රන්,ran
890,පරාසයක,range
809,ඒ වෙනුවට,rather
466,ළඟා,reach
63,කියවන්න,read
306,සූදානම්,ready
247,සැබෑ,real
515,හේතුව,reason
604,හිමි,receive
370,වාර්තා,record
309,රතු,red
520,කලාපයේ,region
459,මතක තබා,remember
991,නැවත,repeat
884,පිළිතුරු,reply
517,නියෝජනය,represent
992,අවශ්ය,require
420,ඉතිරි,rest
722,ප්රතිඵලය,result
756,පොහොසත්,rich
507,සවාරියක් යෑමේ,ride
145,අයිතිය,right
778,මුද්ද,ring
623,නැගීම,rise
296,ගඟ,river
492,මාර්ග,road
337,ගල්,rock
739,රෝල්,roll
256,කාමරය,room
705,මූල,root
935,කඹය,rope
840,රෝස,rose
115,වටයේ,round
605,පේළි,row
818,එතැනයි,rub
495,පාලනය,rule
241,ලකුණු,run
725,ආරක්ෂිත,safe
47,පවසයි,said
549,රුවල්,sail
995,ලුණු,salt
149,එම,same
737,වැලි,sand
572,සෙන,sat
648,බේරා,save
235,කියත්,saw
134,කියන්න,say
661,පරිමාණ,scale
209,පාසල්,school
254,විද්යාව,science
926,ස්කෝර්,score
237,මුහුදු,sea
837,සොයන්න,search
907,කන්නයේ,season
949,ආසන,seat
300,දෙවන,second
676,කොටස,section
171,බලන්න,see
615,බීජ,seed
275,පෙනේ,seem
874,කොටස,segment
988,තෝරා,select
98,ස්වයං,self
954,විකුණා,sell
838,එවන,send
750,හැඟීමක්,sense
640,එවා,sent
131,දඬුවම,sentence
762,වෙනම,separate
490,සේවය,serve
52,කට්ටලය,set
523,පදිංචි,settle
712,හත,seven
478,කිහිපයක්,several
715,යුතුය,shall
385,හැඩය,shape
866,කොටස,share
803,තියුණු,sharp
150,ඇය,she
856,පත්රය,sheet
899,ෂෙල්,shell
984,ඔප දමන,shine
334,නෞකාව,ship
965,සපත්තු,shoe
981,වෙළඳ සැලක්,shop
854,වෙරළ,shore
327,කෙටි,short
205,කළ යුත්තේ,should
966,උරහිස්,shoulder
612,ඝෝෂා කරනවා,shout
119,පෙන්වන්න,show
197,පැත්ත,side
284,පෙනීම,sight
582,ලකුණක්,sign
735,නිහඬ,silent
910,රිදී,silver
923,සමාන,similar
477,සරල,simple
346,සිට,since
469,ගී ගයන්න,sing
692,තනි,single
919,සහෝදරිය,sister
553,වාඩි,sit
471,හය,six
521,විශාලත්වය,size
905,නිපුණතා,skill
696,සම,skin
568,අහස,sky
875,වහල්,slave
559,නින්ද,sleep
936,ස්ලිප්,slip
485,මන්දගාමී,slow
59,කුඩා,small
945,සුවඳ,smell
697,සිනහව,smile
391,හිම,snow
165,එසේ,so
585,මෘදු,soft
738,පස,soil
758,යුද හමුදා සෙබලෙකු,soldier
908,විසඳුමක්,solution
708,විසඳීමට,solve
23,සමහර,some
658,පුතා,son
322,ගීතය,song
315,ඉක්මනින්,soon
183,ශබ්ද,sound
340,දකුණු,south
450,අවකාශය,space
524,කතා,speak
443,විශේෂ,special
888,කතාව,speech
671,වේගය,speed
67,අක්ෂර වින්යාස,spell
861,වැය,spend
785,කථා,spoke
844,ස්ථානයේදීම,spot
967,පැතිරීම,spread
663,වසන්ත,spring
514,වර්ග,square
202,ස්ථාවරය,stand
416,තරු,star
232,ආරම්භයක්,start
220,රාජ්ය,state
867,ස්ථානය,station
355,ඉන්න,stay
376,වෙනුවට,stead
891,වාෂ්ප,steam
920,වානේ,steel
460,පියවර,step
693,කෙවිටේ,stick
212,තවමත්,still
681,ගල්,stone
427,සිටගෙන,stood
262,නවත්වන්න,stop
556,ගබඩා,store
234,කතාව,story
666,කෙලින්ම,straight
598,අමුතු,strange
822,විෂය ධාරාව,stream
350,වීදි,street
982,දුර,stretch
814,සංගීත,string
442,ශක්තිමත්,strong
772,ශිෂ්ය,student
211,අධ්යයනය,study
519,විෂය,subject
857,ද්රව්යයක්,substance
957,අඩු,subtract
955,සාර්ථකත්වය,success
75,එවැනි,such
512,හදිසි,sudden
914,ෙපර ෙයදුම,suffix
902,සීනි,sugar
618,යෝජනා,suggest
846,ඇඳුම,suit
557,ගිම්හාන,summer
217,හිරු,sun
775,සැපයුම,supply
887,සහාය,support
268,වග බලා ගන්න,sure
362,මතුපිට,surface
679,පුදුම,surprise
961,පිහිනීම,swim
533,syllable,syllable
608,සංකේතය,symbol
367,පද්ධතිය,system
472,වගුව,table
447,වලිගය,tail
105,ගත,take
313,සාකච්ඡාව,talk
736,උස,tall
430,ඉගැන්වීමට,teach
632,කණ්ඩායම,team
898,දත්,teeth
50,කියන්න,tell
740,උෂ්ණත්වය,temperature
476,දස,ten
962,කාලීන,term
369,ටෙස්ට්,test
191,වඩා,than
911,ස්තුති,thank
4,බව,that
29,මෙම,the
42,ඔවුන්ගේ,their
161,ඔවුන්,them
160,එවකට,then
152,එතන,there
166,මෙම,these
11,ඔවුන්,they
757,ඝන,thick
825,සිහින්,thin
170,දෙයක්,thing
133,හිතන්න,think
714,තුන්වන,third
16,මෙම,this
289,එම,those
311,නමුත්,though
226,කල්පනා,thought
380,දහසක්,thousand
53,තුනක්,three
128,හරහා,through
983,විසි,throw
797,මෙසේ,thus
833,ටයි පටියක්,tie
43,කාලය,time
682,ඉතා කුඩා,tiny
392,ටයර්,tire
31,කිරීමට,to
276,එකට,together
343,පවසා,told
616,ස්වරය,tone
148,ද,too
253,ගත්,took
942,මෙවලමක්,tool
347,ඉහළ,top
943,මුළු,total
628,ස්පර්ශ,touch
480,දෙසට,toward
403,නගරයේ,town
852,මාර්ගය,track
600,වෘත්තීය,trade
558,දුම්රිය,train
473,සංචාරක,travel
228,ගසක්,tree
826,ත්රිකෝණය,triangle
602,චාරිකාව,trip
611,කරදර,trouble
976,ට්රක් රථ,truck
455,සැබෑ,true
89,උත්සාහ,try
819,නළ,tube
139,අනෙක් අතට,turn
695,විසි,twenty
173,දෙකක්,two
729,වර්ගය,type
125,යටතේ,under
401,ඒකකය,unit
294,දක්වා,until
154,දක්වා,up
90,අපට,us
155,භාවිතය,use
304,සුපුරුදු,usual
946,නිම්නය,valley
743,වටිනාකම,value
522,වෙනස් විය,vary
468,ක්රියා පදයෙන්,verb
127,ඉතා,very
749,දැක්ම,view
703,ගමේ,village
583,සංචාරය,visit
500,හඬ,voice
479,ස්වර,vowel
413,ඉන්න,wait
282,ඇවිදින්න,walk
564,වෝල්,wall
54,අවශ්ය,want
481,යුද්ධය,war
439,උණුසුම්,warm
6,විය,was
807,වොෂ්,wash
269,වොච්,watch
190,ජල,water
538,රැල්ල,wave
157,මාර්ගය,way
35,අපි,we
637,ඇඳීමට,wear
589,කාලගුණය,weather
431,සතියේ,week
525,සිරුරේ බර,weight
56,හොඳින්,well
82,ගිය,went
39,වූහ,were
463,බටහිර,west
22,කුමක් ද,what
356,රෝද,wheel
153,කවදා ද,when
110,එහිදී,where
710,යන්න,whether
40,වන,which
243,අතර,while
278,සුදු,white
194,කරන,who
348,මුළු,whole
776,කාගේ,whose
78,ඇයි,why
548,පුරා,wide
964,බිරිඳ,wife
574,වල්,wild
45,ඇත,will
937,ජය,win
330,සුළං,wind
555,කවුළුව,window
804,වාමාංශික,wing
571,ශීත,winter
633,කම්බි,wire
567,ප්රාර්ථනය,wish
10,සමග,with
799,කාන්තාව,woman
906,කාන්තාවන්,women
378,පුදුමයක්,wonder
752,නෑ,won’t
272,ලී,wood
20,වචනය,word
103,වැඩ,work
95,ලෝකයේ,world
163,බවත්,would
162,ලියන්න,write
573,ලිඛිත,written
989,වැරදි,wrong
614,මෙසේ ලිවීය,wrote
622,අංගනයක්,yard
117,වසර,year
839,කහ,yellow
394,ඔව්,yes
537,තවමත්,yet
26,ඔබ,you
305,තරුණ,young
156,ඔබගේ,your
