number,urdu,english
677,کپڑے,dress
885,ڈرنک,drink
426,ڈرائیو,drive
539,ڈراپ,drop
377,خشک,dry
876,بتھ,duck
456,کے دوران,during
49,ہر ایک,each
651,کان,ear
461,ابتدائی,early
99,زمین,earth
284,کم,ease
397,وسطی,east
255,کھانے,eat
581,کنارے,edge
789,اثر,effect
506,انڈے,egg
702,آٹھ,eight
721,یا تو,either
790,بجلی,electric
770,عنصر,element
652,اور,else
60,آخر,end
883,دشمن,enemy
501,توانائی,energy
545,انجن,engine
301,کافی,enough
834,داخل,enter
639,برابر,equal
386,برابر,equate
915,خاص طور پر,especially
69,بھی,even
939,شام,evening
958,واقعہ,event
308,کبھی,ever
120,ہر,every
607,عین مطابق,exact
283,مثال کے طور پر,example
613,سوائے,except
747,اتیجیت,excite
563,ورزش,exercise
791,توقع,expect
925,تجربہ,experience
688,تجربہ,experiment
222,آنکھ,eye
271,چہرے,face
449,حقیقت یہ ہے,fact
645,منصفانہ,fair
407,گر,fall
318,خاندان,family
820,مشہور,famous
236,اب تک,far
230,فارم,farm
467,تیزی سے,fast
863,چربی,fat
100,والد,father
858,کی حمایت,favor
823,خوف,fear
941,فیڈ,feed
312,محسوس,feel
298,پاؤں,feet
642,گر,fell
534,محسوس,felt
249,چند,few
419,میدان,field
916,انجیر,fig
744,جنگ,fight
415,کے اعداد و شمار,figure
396,بھرنے,fill
432,آخری,final
200,تلاش,find
404,ٹھیک,fine
741,انگلی,finger
593,ختم,finish
339,آگ,fire
193,پہلے,first
260,مچھلی,fish
643,فٹ,fit
458,پانچ,five
694,فلیٹ,flat
720,منزل,floor
644,بہاؤ,flow
596,پھول,flower
406,پرواز,fly
76,فالو کریں,follow
216,کھانا,food
366,پاؤں,foot
7,کے لئے,for
358,طاقت,force
552,جنگل,forest
130,فارم,form
922,آگے,forward
207,پایا,found
218,چار,four
551,حصہ,fraction
440,مفت,free
836,تازہ,fresh
257,دوست,friend
17,سے,from
429,سامنے,front
755,پھل,fruit
357,مکمل,full
586,مزہ,fun
384,کھیل ہی کھیل میں,game
638,باغ,garden
588,گیس,gas
980,جمع,gather
433,دی,gave
526,جنرل,general
798,نرم,gentle
106,حاصل,get
303,لڑکی,girl
123,دے,give
864,خوشی,glad
577,گلاس,glass
179,جاؤ,go
373,سونا,gold
599,چلا گیا,gone
121,اچھا,good
281,ملا,got
496,حکومت,govern
535,گرینڈ,grand
578,گھاس,grass
990,بھوری رنگ,gray
132,عظیم,great
434,سبز,green
629,اضافہ ہوا,grew
464,زمین,ground
286,گروپ,group
210,اضافہ,grow
801,لگتا ہے,guess
924,رہنمائی,guide
840,بندوق,gun
28,تھا,had
717,بال,hair
336,نصف,half
64,ہاتھ,hand
332,ہو,happen
594,خوش,happy
231,مشکل,hard
174,ہے,has
953,ٹوپی,hat
15,ہے,have
5,وہ,he
201,سر,head
265,سن,hear
451,سنا,heard
540,دل,heart
390,گرمی,heat
543,بھاری,heavy
716,منعقد,held
135,مدد,help
167,اس,her
71,یہاں,here
74,اعلی,high
724,پہاڑی,hill
172,اس,him
3,ان,his
788,تاریخ,history
771,مارا,hit
462,پکڑ,hold
699,سوراخ,hole
62,گھر,home
595,امید,hope
266,گھوڑا,horse
19,گرم، شہوت انگیز,hot
387,گرم، شہوت انگیز,hot
453,گھنٹے,hour
87,گھر,house
46,کس طرح,how
918,بہت بڑا,huge
787,انسانی,human
457,سو,hundred
502,ہنٹ,hunt
828,جلدی,hurry
2,میں,i
527,برف,ice
259,خیال,idea
44,اگر,if
794,تصور,imagine
34,میں,in
351,انچ,inch
531,شامل,include
783,اس بات کی نشاندہی,indicate
742,صنعت,industry
780,کیڑے,insect
877,فوری طور پر,instant
575,آلہ,instrument
465,دلچسپی,interest
970,ایجاد,invent
691,لوہے,iron
24,ہے,is
365,جزائر,island
25,یہ,it
580,کام,job
617,میں شامل,join
570,خوشی,joy
700,کود,jump
129,صرف,just
221,رکھنے کے,keep
576,رکھا,kept
690,اہم,key
657,قتل,kill
84,قسم,kind
349,بادشاہ,king
344,جانتا تھا,knew
189,جانتے ہیں,know
621,لیڈی,lady
659,جھیل,lake
70,ملک,land
399,زبان,language
66,بڑے,large
224,آخری,last
240,دیر سے,late
379,ہنسی,laugh
730,قانون,law
482,پوشیدہ,lay
408,قیادت,lead
213,جاننے کے,learn
610,کم از کم,least
321,چھوڑ,leave
929,قیادت,led
239,بائیں,left
562,ٹانگ,leg
516,لمبائی,length
474,کم,less
225,دو,let
293,خط,letter
978,سطح,level
745,جھوٹ,lie
248,زندگی,life
848,لفٹ,lift
83,روشنی,light
164,کی طرح,like
137,لائن,line
894,مائع,liquid
310,فہرست,list
470,سننا,listen
113,تھوڑا,little
109,رہتے,live
777,تلاش,locate
895,لاگ ان,log
561,واحد,lone
168,طویل,long
175,نظر,look
635,کھو,lost
687,بہت,lot
662,بلند آواز,loud
487,محبت,love
136,کم,low
411,مشین,machine
108,بنا,made
909,مقناطیس,magnet
273,اہم,main
835,اہم,major
169,بنانے,make
116,آدمی,man
159,بہت سے,many
493,نقشہ,map
291,مارک,mark
878,مارکیٹ,market
932,بڑے پیمانے پر,mass
851,ماسٹر,master
913,میچ,match
550,مواد,material
528,معاملہ,matter
195,ہو سکتا ہے,may
122,مجھے,me
142,مطلب,mean
896,مطلب,meant
323,پیمائش,measure
817,گوشت,meat
704,ملو,meet
601,میلوڈی,melody
80,مردوں کے,men
709,دھات,metal
672,طریقہ,method
656,مشرق,middle
233,ہو سکتا ہے,might
295,میل,mile
670,دودھ,milk
591,ملین,million
444,ذہن,mind
832,میرا,mine
441,منٹ,minute
388,مس,miss
631,ملا,mix
769,جدید,modern
987,انو,molecule
660,لمحے,moment
489,پیسہ,money
590,ماہ,month
364,چاند,moon
176,مزید,more
475,صبح,morning
185,سب سے زیادہ,most
94,ماں,mother
892,تحریک,motion
566,پہاڑ,mount
261,پہاڑ,mountain
606,منہ,mouth
144,اقدام,move
141,زیادہ سے زیادہ,much
352,ضرب,multiply
288,موسیقی,music
72,ضروری,must
187,میرا,my
126,نام,name
668,قوم,nation
748,قدرتی,natural
889,نوعیت,nature
96,قریب,near
802,ضروری,necessary
900,گردن,neck
86,ضرورت,need
806,پڑوسی,neighbor
223,کبھی نہیں,never
102,نئے,new
277,اگلا,next
246,رات,night
975,نو,nine
184,کوئی,no
977,شور,noise
767,دوپہر,noon
947,اور نہ ہی,nor
250,شمالی,north
996,ناک,nose
412,نوٹ,note
353,کچھ بھی نہیں,nothing
499,نوٹس,notice
418,سنجشتھا,noun
199,اب,now
182,تعداد,number
328,ہندسی,numeral
360,اعتراض,object
664,کا مشاہدہ,observe
886,پائے جاتے ہیں,occur
438,سمندر,ocean
30,کے,of
85,بند,off
873,پیشکش,offer
603,دفتر,office
292,اکثر,often
435,اوہ,oh
626,تیل,oil
147,پرانے,old
8,پر,on
263,ایک بار,once
14,ایک,one
114,صرف,only
274,کھولیں,open
760,کام,operate
963,اس کے برعکس,opposite
27,یا,or
338,حکم,order
673,عضو,organ
865,اصل,original
38,دیگر,other
124,ہمارے,our
37,باہر,out
188,پر,over
203,اپنے,own
901,آکسیجن,oxygen
204,صفحہ,page
398,پینٹ,paint
530,جوڑی,pair
285,کاغذ,paper
713,پیراگراف,paragraph
853,والدین,parent
104,حصہ,part
959,خاص طور پر,particular
774,پارٹی,party
345,پاس,pass
584,ماضی,past
893,راستہ,path
484,پیٹرن,pattern
674,ادائیگی,pay
186,لوگ,people
510,شاید,perhaps
782,مدت,period
488,شخص,person
734,جملہ,phrase
511,منتخب,pick
88,تصویر,picture
342,ٹکڑا,piece
930,پچ,pitch
107,جگہ,place
302,سادہ,plain
414,منصوبہ بندی,plan
375,ہوائی جہاز,plane
827,سیارے,planet
214,پلانٹ,plant
58,ادا,play
765,براہ مہربانی,please
997,جمع,plural
813,نظم,poem
93,نقطہ,point
686,غریب,poor
880,آباد,populate
65,پورٹ,port
320,لاحق,pose
546,پوزیشن,position
374,ممکن,possible
860,پوسٹ,post
423,پونڈ,pound
402,بجلی,power
761,پریکٹس,practice
994,تیار,prepare
542,موجودہ,present
244,پریس,press
904,خوبصورت,pretty
842,پرنٹ,print
503,ممکنہ,probable
341,مسئلہ,problem
759,عمل,process
448,پیداوار,produce
325,مصنوعات,product
871,مناسب,proper
985,جائیداد,property
766,حفاظت,protect
560,ثابت,prove
795,فراہم کرتے ہیں,provide
497,ھیںچو,pull
711,دھکا,push
61,ڈال,put
974,کرسٹل,quart
331,سوال,question
436,فوری,quick
680,پرسکون,quiet
653,بہت,quite
897,قسیم,quotient
554,ریس,race
784,ریڈیو,radio
793,ریل,rail
494,بارش,rain
707,بلند,raise
382,بھاگ گیا,ran
890,رینج,range
809,بلکہ,rather
466,تک پہنچنے,reach
63,پڑھیں,read
306,تیار,ready
247,اصلی,real
515,وجہ,reason
604,حاصل,receive
370,ریکارڈ,record
309,ریڈ,red
520,خطے,region
459,یاد,remember
991,دوبارہ,repeat
884,جواب,reply
517,کی نمائندگی,represent
992,کی ضرورت ہوتی ہے,require
420,باقی,rest
722,نتیجہ,result
756,امیر,rich
507,سواری,ride
145,حق,right
778,انگوٹی,ring
623,اضافہ,rise
296,دریا,river
492,سڑک,road
337,راک,rock
739,رول,roll
256,کمرے,room
705,جڑ,root
935,رسی,rope
840,گلاب,rose
115,گول,round
605,قطار,row
818,مسح,rub
495,اصول,rule
241,رن,run
725,محفوظ,safe
47,انہوں نے کہا کہ,said
549,سیل,sail
995,نمک,salt
149,ہی,same
737,ریت,sand
572,ہفتہ,sat
648,کو بچانے کے,save
235,ص,saw
134,کا کہنا ہے کہ,say
661,پیمانے,scale
209,اسکول,school
254,سائنس,science
926,اسکور,score
237,سمندر,sea
837,تلاش,search
907,موسم,season
949,نشست,seat
300,دوسری,second
676,سیکشن,section
171,دیکھیں,see
615,بیج,seed
275,لگتا ہے,seem
874,طبقہ,segment
988,منتخب کریں,select
98,خود,self
954,فروخت,sell
838,بھیجیں,send
750,احساس,sense
640,بھیجا,sent
131,سزا,sentence
762,علیحدہ,separate
490,خدمت,serve
52,سیٹ,set
523,حل,settle
712,سات,seven
478,کئی,several
715,گے,shall
385,شکل,shape
866,حصہ,share
803,تیز,sharp
150,وہ,she
856,شیٹ,sheet
899,شیل,shell
984,چمک,shine
334,جہاز,ship
965,جوتا,shoe
981,دکان,shop
854,کنارے,shore
327,مختصر,short
205,چاہئے,should
966,کندھے,shoulder
612,چللاو,shout
119,شو,show
197,کی طرف,side
284,نظر,sight
582,سائن ان کریں,sign
735,خاموش,silent
910,چاندی,silver
923,اسی طرح,similar
477,سادہ,simple
346,سے,since
469,گانا,sing
692,ایک,single
919,بہن,sister
553,بیٹھ,sit
471,چھ,six
521,سائز,size
905,مہارت,skill
696,جلد,skin
568,آسمان,sky
875,غلام,slave
559,نیند,sleep
936,پرچی,slip
485,سست,slow
59,چھوٹے,small
945,بو,smell
697,مسکراہٹ,smile
391,برف,snow
165,تو,so
585,نرم,soft
738,مٹی,soil
758,فوجی,soldier
908,حل,solution
708,حل,solve
23,کچھ,some
658,بیٹا,son
322,نغمہ,song
315,جلد ہی,soon
183,آواز,sound
340,جنوبی,south
450,خلائی,space
524,بات,speak
443,خصوصی,special
888,تقریر,speech
671,رفتار,speed
67,جادو,spell
861,خرچ,spend
785,بات چیت,spoke
844,اسپاٹ,spot
967,پھیلاؤ,spread
663,موسم بہار,spring
514,چوک,square
202,کھڑے,stand
416,ستارہ,star
232,آغاز,start
220,ریاست,state
867,اسٹیشن,station
355,رہنا,stay
376,جگہ,stead
891,بھاپ,steam
920,سٹیل,steel
460,قدم,step
693,چسپاں,stick
212,اب بھی,still
681,پتھر,stone
427,کھڑا,stood
262,کو روکنے کے,stop
556,سٹور,store
234,کہانی,story
666,براہ راست,straight
598,عجیب,strange
822,ندی,stream
350,سڑک,street
982,مسلسل,stretch
814,تار,string
442,مضبوط,strong
772,طالب علم,student
211,مطالعہ,study
519,موضوع,subject
857,مادہ,substance
957,منہا,subtract
955,کامیابی,success
75,اس طرح,such
512,اچانک,sudden
914,لاحقہ,suffix
902,چینی,sugar
618,مشورہ,suggest
846,سوٹ,suit
557,موسم گرما,summer
217,سورج,sun
775,فراہمی,supply
887,کی حمایت,support
268,اس بات کا یقین,sure
362,سطح,surface
679,تعجب کی بات,surprise
961,تیر,swim
533,شبدانش,syllable
608,علامت,symbol
367,نظام,system
472,ٹیبل,table
447,دم,tail
105,لے,take
313,بات,talk
736,قد,tall
430,سکھانا,teach
632,ٹیم,team
898,دانت,teeth
50,بتانا,tell
740,درجہ حرارت,temperature
476,دس,ten
962,اصطلاح,term
369,ٹیسٹ,test
191,سے,than
911,شکریہ,thank
4,کہ,that
29,فہرست,the
42,ان,their
161,ان,them
160,پھر,then
152,وہاں,there
166,ان,these
11,وہ,they
757,موٹی,thick
825,پتلی,thin
170,بات,thing
133,لگتا ہے,think
714,تیسری,third
16,اس,this
289,ان,those
311,اگرچہ,though
226,سوچا,thought
380,ہزار,thousand
53,تین,three
128,کے ذریعے,through
983,پھینک,throw
797,اس طرح,thus
833,ٹائی,tie
43,وقت,time
682,چھوٹے,tiny
392,ٹائر,tire
31,کرنے کے لئے,to
276,ایک ساتھ مل کر,together
343,بتایا,told
616,سر,tone
148,بھی,too
253,لیا,took
942,آلے,tool
347,سب سے اوپر,top
943,کل,total
628,چھو,touch
480,کی طرف,toward
403,شہر,town
852,ٹریک,track
600,تجارت,trade
558,ٹرین,train
473,سفر,travel
228,درخت,tree
826,مثلث,triangle
602,سفر,trip
611,مصیبت,trouble
976,ٹرک,truck
455,سچ,true
89,کوشش,try
819,ٹیوب,tube
139,باری,turn
695,بیس,twenty
173,دو,two
729,قسم,type
125,کے تحت,under
401,یونٹ,unit
294,جب تک,until
154,اپ,up
90,ہم,us
155,استعمال,use
304,معمول,usual
946,وادی,valley
743,قیمت,value
522,مختلف,vary
468,فعل,verb
127,بہت,very
749,دیکھیں,view
703,گاؤں,village
583,دورہ,visit
500,آواز,voice
479,سر,vowel
413,انتظار,wait
282,چلنا,walk
564,دیوار,wall
54,چاہتے ہیں,want
481,جنگ,war
439,گرم,warm
6,تھا,was
807,واش,wash
269,گھڑی,watch
190,پانی,water
538,لہر,wave
157,راستہ,way
35,ہم,we
637,پہننا,wear
589,موسم,weather
431,ہفتے,week
525,وزن,weight
56,اچھی طرح سے,well
82,گیا,went
39,تھے,were
463,مغرب,west
22,کیا,what
356,وہیل,wheel
153,جب,when
110,جہاں,where
710,چاہے,whether
40,جس,which
243,جبکہ,while
278,سفید,white
194,جو,who
348,پورے,whole
776,جن,whose
78,کیوں,why
548,وسیع,wide
964,بیوی,wife
574,جنگلی,wild
45,گا,will
937,جیت,win
330,ہوا,wind
555,ونڈو,window
804,ونگ,wing
571,موسم سرما,winter
633,تار,wire
567,خواہش,wish
10,کے ساتھ,with
799,عورت,woman
906,خواتین,women
378,حیرت ہے,wonder
752,نہیں,won’t
272,لکڑی,wood
20,لفظ,word
103,کام,work
95,دنیا,world
163,گا,would
162,لکھنا,write
573,لکھا,written
989,غلط,wrong
614,لکھا,wrote
622,یارڈ,yard
117,سال,year
839,پیلے رنگ,yellow
394,جی ہاں,yes
537,ابھی,yet
26,آپ,you
305,نوجوان,young
156,آپ,your
