number,spanish,english
806,volar,fly
76,siga,follow
416,alimentos,food
666,pie,foot
7,para,for
658,fuerza,force
1052,bosque,forest
230,forma,form
1822,adelante,forward
407,encontrado,found
418,cuatro,four
1051,fracción,fraction
840,libre,free
1636,fresco,fresh
457,amigo,friend
17,desde,from
829,delante,front
1455,fruta,fruit
657,completo,full
1086,diversión,fun
684,juego,game
1238,jardín,garden
1088,gas,gas
1880,reunir,gather
833,dio,gave
1026,general,general
1498,suave,gentle
206,conseguir,get
603,chica,girl
223,dar,give
1664,contento,glad
1077,vidrio,glass
279,ir,go
673,oro,gold
1099,se ha ido,gone
221,buena,good
481,conseguido,got
896,gobernar,govern
1035,gran,grand
1078,hierba,grass
1890,gris,gray
232,gran,great
834,verde,green
1229,creció,grew
864,suelo,ground
486,grupo,group
410,crecer,grow
1601,adivinar,guess
1824,guiar,guide
1640,pistola,gun
28,tenido,had
1417,pelo,hair
636,medio,half
64,mano,hand
632,suceder,happen
1094,feliz,happy
431,duro,hard
274,tiene,has
1853,sombrero,hat
15,tener,have
5,él,he
401,cabeza,head
465,escuchar,hear
851,oído,heard
1040,corazón,heart
690,calor,heat
1043,pesada,heavy
1416,en espera,held
235,ayudar,help
267,su,her
71,aquí,here
74,alto,high
1424,colina,hill
272,él,him
3,su,his
1488,historia,history
1471,golpear,hit
862,mantenga,hold
1299,agujero,hole
62,casa,home
1095,esperanza,hope
466,caballo,horse
19,caliente,hot
687,caliente,hot
853,horas,hour
87,casa,house
46,cómo,how
1818,enorme,huge
1487,humana,human
857,cien,hundred
1002,caza,hunt
1628,prisa,hurry
2,i,i
1027,hielo,ice
459,gusta,idea
44,si,if
1494,imaginar,imagine
34,en,in
651,pulgadas,inch
1031,incluir,include
1483,indicar,indicate
1442,industria,industry
1480,insecto,insect
1677,instantánea,instant
1075,instrumento,instrument
865,interés,interest
1870,inventar,invent
1291,hierro,iron
24,es,is
665,isla,island
25,lo,it
1080,trabajo,job
1217,unirse,join
1070,alegría,joy
1300,saltar,jump
229,sólo,just
421,mantener,keep
1076,guardado,kept
1290,clave,key
1257,matar,kill
84,tipo,kind
649,rey,king
644,sabía,knew
289,saber,know
1221,dama,lady
1259,lago,lake
70,tierra,land
699,idioma,language
66,grande,large
424,último,last
440,tarde,late
679,risa,laugh
1430,ley,law
882,sentar,lay
808,conducir,lead
413,aprender,learn
1210,menos,least
621,dejar,leave
1829,llevado,led
439,izquierda,left
1062,pierna,leg
1016,longitud,length
874,menos,less
425,dejar,let
493,carta,letter
1878,nivel,level
1445,mentira,lie
448,vida,life
1648,ascensor,lift
83,luz,light
264,como,like
237,línea,line
1694,líquido,liquid
610,lista,list
870,escuchar,listen
213,poco,little
209,vivir,live
1477,localizar,locate
1695,log,log
1061,solitario,lone
268,largo,long
275,buscar,look
1235,perdido,lost
1287,mucho,lot
1262,fuerte,loud
887,amar,love
236,bajo,low
811,máquina,machine
208,hecho,made
1809,imán,magnet
473,principal,main
1635,importante,major
269,hacer,make
216,hombre,man
259,muchos,many
893,mapa,map
491,marca,mark
1678,mercado,market
1832,masa,mass
1651,master,master
1813,partido,match
1050,materiales,material
1028,materia,matter
295,puede,may
222,me,me
242,significará,mean
1696,significado,meant
623,medir,measure
1617,carne,meat
1404,se reúnen,meet
1201,melodía,melody
80,hombres,men
1409,de metal,metal
1272,método,method
1256,medio,middle
433,podría,might
495,milla,mile
1270,leche,milk
1091,millones,million
844,mente,mind
1632,mina,mine
841,minuto,minute
688,señorita,miss
1231,mezclar,mix
1469,moderno,modern
1887,molécula,molecule
1260,momento,moment
889,dinero,money
1090,mes,month
664,luna,moon
276,más,more
875,mañana,morning
285,más,most
94,madre,mother
1692,movimiento,motion
1066,monte,mount
461,montaña,mountain
1206,boca,mouth
244,movimiento,move
241,mucho,much
652,multiplicar,multiply
488,música,music
72,debe,must
287,mi,my
226,nombre,name
1268,nación,nation
1448,naturales,natural
1689,naturaleza,nature
96,cerca,near
1602,necesario,necessary
1700,cuello,neck
86,necesitará,need
1606,vecino,neighbor
423,nunca,never
202,nuevo,new
477,próximo,next
446,noche,night
1875,nueve,nine
284,no,no
1877,ruido,noise
1467,mediodía,noon
1847,ni,nor
450,norte,north
1896,nariz,nose
812,nota,note
653,nada,nothing
899,aviso,notice
818,sustantivo,noun
299,ahora,now
282,número,number
628,numeral,numeral
660,objeto,object
1264,observar,observe
1686,producirse,occur
838,océano,ocean
30,de,of
85,fuera,off
1673,oferta,offer
1203,oficina,office
492,menudo,often
835,oh,oh
1226,aceite,oil
247,viejo,old
8,en,on
463,una vez,once
14,uno,one
214,sólo,only
474,abierta,open
1460,operar,operate
1863,opuesta,opposite
27,o,or
638,orden,order
1273,órgano,organ
1665,originales,original
38,otros,other
224,nuestro,our
37,fuera,out
288,sobre,over
403,propio,own
1801,oxígeno,oxygen
404,página,page
698,pintar,paint
1030,par,pair
485,papel,paper
1413,párrafo,paragraph
1653,padre,parent
204,parte,part
1859,"particular,",particular
1474,partido,party
645,pasar,pass
1084,pasado,past
1693,camino,path
884,patrón,pattern
1274,pagar,pay
286,personas,people
1010,quizás,perhaps
1482,período,period
888,persona,person
1434,frase,phrase
1011,recoger,pick
88,imagen,picture
642,pieza,piece
1830,pitch,pitch
207,lugar,place
602,llano,plain
814,plan de,plan
675,plano,plane
1627,planeta,planet
414,planta,plant
58,jugar,play
1465,por favor,please
1897,plurales,plural
1613,poema,poem
93,punto,point
1286,pobre,poor
1680,poblar,populate
65,puerto,port
620,plantear,pose
1046,posición,position
674,posible,possible
1660,mensaje,post
823,libra,pound
802,potencia,power
1461,práctica,practice
1894,preparar,prepare
1042,presente,present
444,prensa,press
1804,bastante,pretty
1642,print,print
1003,probable,probable
641,problema,problem
1459,proceso,process
848,produce,produce
625,producto,product
1671,adecuada,proper
1885,propiedad,property
1466,proteger,protect
1060,demostrar,prove
1495,proporcionar,provide
897,halar,pull
1411,empujar,push
61,poner,put
1874,cuarto de galón,quart
631,pregunta,question
836,rápido,quick
1280,tranquila,quiet
1253,bastante,quite
1697,cociente,quotient
1054,carrera,race
1484,radio,radio
1493,ferrocarril,rail
894,lluvia,rain
1407,aumentar,raise
682,corrió,ran
1690,alcance,range
1609,más bien,rather
866,llegar,reach
63,leer,read
606,listo,ready
447,reales,real
1015,razón,reason
1204,recibir,receive
670,registro,record
609,rojo,red
1020,región,region
859,recordar,remember
1891,repita,repeat
1684,responder,reply
1017,representar,represent
1892,exigir,require
820,resto,rest
1422,resultado,result
1456,rica,rich
1007,paseo,ride
245,derecho,right
1478,anillo,ring
1223,aumentando,rise
496,río,river
892,carretera,road
637,roca,rock
1439,rollo,roll
456,habitación,room
1405,raíz,root
1835,cuerda,rope
1640,rosa,rose
215,ronda,round
1205,fila,row
1618,frotar,rub
895,regla,rule
441,ejecutar,run
1425,seguro,safe
47,dicho,said
1049,vela,sail
1895,sal,salt
249,misma,same
1437,arena,sand
1072,satélite,sat
1248,guardar,save
435,sierra,saw
234,decir,say
1261,escala,scale
409,escuela,school
454,ciencia,science
1826,puntuación,score
437,mar,sea
1637,búsqueda,search
1807,temporada,season
1849,asiento,seat
600,segundo,second
1276,sección,section
271,ver,see
1215,semilla,seed
475,parecer,seem
1674,segmento,segment
1888,seleccionar,select
98,auto,self
1854,vender,sell
1638,enviar,send
1450,sentido,sense
1240,enviado,sent
231,frase,sentence
1462,separada,separate
890,servir,serve
52,conjunto,set
1023,resolver,settle
1412,siete,seven
878,varios,several
1415,deberá,shall
685,forma,shape
1666,cuota,share
1603,agudo,sharp
250,ella,she
1656,hoja,sheet
1699,concha,shell
1884,brillo,shine
634,buque,ship
1865,zapato,shoe
1881,tienda,shop
1654,orilla,shore
627,corto,short
405,debería,should
1866,hombro,shoulder
1212,grito,shout
219,show,show
297,lado,side
1084,vista,sight
1082,signo,sign
1435,silencio,silent
1810,plata,silver
1823,similar,similar
877,sencilla,simple
646,desde,since
869,cantar,sing
1292,sola,single
1819,hermana,sister
1053,sentarse,sit
871,seis,six
1021,tamaño,size
1805,habilidad,skill
1296,piel,skin
1068,cielo,sky
1675,esclavo,slave
1059,sueño,sleep
1836,deslizamiento,slip
885,lenta,slow
59,pequeño,small
1845,olor,smell
1297,sonrisa,smile
691,nieve,snow
265,así,so
1085,suave,soft
1438,suelo,soil
1458,soldado,soldier
1808,solución,solution
1408,resolver,solve
23,algunos,some
1258,hijo,son
622,canción,song
615,pronto,soon
283,sonar,sound
640,sur,south
850,espacio,space
1024,hablar,speak
843,especial,special
1688,discurso,speech
1271,velocidad,speed
67,deletrear,spell
1661,pasar,spend
1485,habló,spoke
1644,lugar,spot
1867,propagación,spread
1263,primavera,spring
1014,plaza,square
402,de pie,stand
816,estrella,star
432,inicio,start
420,estado,state
1667,estación,station
655,quedarse,stay
676,lugar,stead
1691,vapor,steam
1820,acero,steel
860,paso,step
1293,palillo,stick
412,todavía,still
1281,piedra,stone
827,destacado,stood
462,deténgase,stop
1056,tienda,store
434,historia,story
1266,recta,straight
1098,extraño,strange
1622,corriente,stream
650,calle,street
1882,tramo,stretch
1614,cadena,string
842,fuerte,strong
1472,estudiante,student
411,estudio,study
1019,sujeto,subject
1657,sustancia,substance
1857,restar,subtract
1855,éxito,success
75,tal,such
1012,repentina,sudden
1814,sufijo,suffix
1802,azúcar,sugar
1218,sugerir,suggest
1646,traje,suit
1057,verano,summer
417,sol,sun
1475,suministro,supply
1687,apoyo,support
468,seguro,sure
662,superficie,surface
1279,sorpresa,surprise
1861,nadar,swim
1033,sílaba,syllable
1208,símbolo,symbol
667,sistema,system
872,mesa,table
847,cola,tail
205,tomar,take
613,charla,talk
1436,de altura,tall
830,enseñar,teach
1232,equipo,team
1698,dientes,teeth
50,decir,tell
1440,temperatura,temperature
876,diez,ten
1862,plazo,term
669,prueba,test
291,que,than
1811,gracias,thank
4,que,that
29,la,the
42,su,their
261,ellos,them
260,entonces,then
252,hay,there
266,éstos,these
11,ellos,they
1457,de espesor,thick
1625,delgado,thin
270,cosa,thing
233,pensar,think
1414,tercero,third
16,este,this
489,los,those
611,aunque,though
426,pensado,thought
680,mil,thousand
53,tres,three
228,a través de,through
1883,lanzar,throw
1497,"por tanto,",thus
1633,empate,tie
43,tiempo,time
1282,pequeño,tiny
692,neumáticos,tire
31,a,to
476,juntos,together
643,dicho,told
1216,tono,tone
248,demasiado,too
453,tomó,took
1842,herramienta,tool
647,cima,top
1843,totales,total
1228,tocar,touch
880,hacia,toward
803,ciudad,town
1652,pista,track
1100,comercio,trade
1058,tren,train
873,viajes,travel
428,árbol,tree
1626,triángulo,triangle
1202,viaje,trip
1211,problema,trouble
1876,camión,truck
855,verdadero,true
89,tratar,try
1619,tubo,tube
239,"a su vez,",turn
1295,veinte,twenty
273,dos,two
1429,tipo,type
225,bajo,under
801,unidad,unit
494,hasta,until
254,hasta,up
90,nosotros,us
255,uso,use
604,habitual,usual
1846,valle,valley
1443,valor,value
1022,variar,vary
868,verbo,verb
227,muy,very
1449,vista,view
1403,pueblo,village
1083,visita,visit
900,voz,voice
879,vocal,vowel
813,espere,wait
482,caminar,walk
1064,pared,wall
54,querer,want
881,guerra,war
839,caliente,warm
6,era,was
1607,lavado,wash
469,ver,watch
290,agua,water
1038,ola,wave
257,camino,way
35,nos,we
1237,desgaste,wear
1089,tiempo,weather
831,semana,week
1025,peso,weight
56,así,well
82,se fue,went
39,eran,were
863,oeste,west
22,qué,what
656,rueda,wheel
253,cuando,when
210,donde,where
1410,si,whether
40,que,which
443,mientras,while
478,blanco,white
294,que,who
648,todo,whole
1476,cuya,whose
78,por qué,why
1048,amplio,wide
1864,esposa,wife
1074,salvaje,wild
45,lo hará,will
1837,ganar,win
630,viento,wind
1055,ventana,window
1604,ala,wing
1071,invierno,winter
1233,alambre,wire
1067,desear,wish
10,con,with
1499,mujer,woman
1806,mujeres,women
678,maravilla,wonder
1452,no lo hará,won’t
472,madera,wood
20,palabra,word
203,trabajo,work
95,mundo,world
263,haría,would
262,escribir,write
1073,escrito,written
1889,mal,wrong
1214,escribió,wrote
1222,patio,yard
217,años,year
1639,amarillo,yellow
694,sí,yes
1037,aún,yet
26,usted,you
605,joven,young
256,su,your
