number,sindhi,english
971,ڪپهه,cotton
178,ٿي سگهي,could
513,شمار,count
206,ملڪ,country
354,البته,course
215,ڪپڙا,cover
579,ڍڳي,cow
698,crease,crease
805,پيدا,create
768,فصل,crop
229,صليب,cross
810,ميڙ,crowd
409,رڙ,cry
847,موجوده,current
267,پٽي,cut
868,داد,dad
544,ناچ,dance
754,خطرو,danger
410,سڪو,dark
177,ڏينهن,day
843,مري,dead
960,ڊيل,deal
882,پيارا,dear
903,موت,death
361,فيصلو,decide
650,اعشاري,decimal
363,رڙيون,deep
879,وڏا,degree
816,ڀاڙي,depend
718,بيان,describe
845,ٿر,desert
685,خاڪي,design
973,اهو طئي,determine
437,ترقيء,develop
669,لغت,dictionary
181,ڪيو,did
609,مرڻ,die
138,اختلاف,differ
763,مشڪل,difficult
319,سڌو,direct
921,بحث,discuss
395,جي فاصلي تي,distant
532,جدا,divide
855,جدائي,division
41,ٿا,do
764,ڊاڪٽر,doctor
51,ٿو,does
317,ڪتو,dog
921,ڊالر,dollar
424,مڪمل ٿيو,done
242,نه ڪندا,don’t
324,در,door
948,ڊبل,double
196,نازل,down
238,ڪڍو,draw
938,خواب,dream
677,لباس,dress
885,پيو,drink
426,بيوس,drive
539,بوند,drop
377,سڪي,dry
876,بدڪ,duck
456,دوران,during
49,هر,each
651,ڪن,ear
461,جي شروعات,early
99,زمين,earth
284,آسانيء,ease
397,اوڀر,east
255,کائڻ,eat
581,پاسيري,edge
789,اثر,effect
506,آنا,egg
702,اٺ,eight
721,يا,either
790,بجليء,electric
770,هدايت,element
652,هم عصر,else
60,آخر ۾,end
883,دشمن,enemy
501,توانائي,energy
545,انجڻ,engine
301,ڪافي,enough
834,داخل,enter
639,برابر,equal
386,مائر,equate
915,خاص طور تي,especially
69,به,even
939,شام,evening
958,واقعي,event
308,هونئن به,ever
120,هر,every
607,ٺيڪ ٺاڪ,exact
283,مثال,example
613,کان سواء,except
747,وجھي,excite
563,ج,exercise
791,اميد,expect
925,تجربو,experience
688,تجربو,experiment
222,اک,eye
271,منهن,face
449,حقيقت اها آهي ته,fact
645,چڱو,fair
407,گر,fall
318,خاندان,family
820,مشهور,famous
236,پري,far
230,کيت,farm
467,روزو,fast
863,وسا,fat
100,پيءُ,father
858,احسان,favor
823,خوف,fear
941,فيڊ,feed
312,لڳي,feel
298,پير,feet
642,ور,fell
534,محسوس,felt
249,چند,few
419,ميدان ۾,field
916,انجير,fig
744,جنگ,fight
415,شخصيت,figure
396,ڀريندا,fill
432,آخري,final
200,مل,find
404,ٺيڪ,fine
741,آڱر,finger
593,ختم ڪر,finish
339,باهه,fire
193,پهريون,first
260,مڇي,fish
643,مناسب,fit
458,پنج,five
694,لوڻ,flat
720,منزل,floor
644,وهڪري,flow
596,گلن,flower
406,مک,fly
76,جي تابعداري ڪريو,follow
216,کاڌو,food
366,دامن,foot
7,لاء,for
358,قوت,force
552,ٻيلو,forest
130,فارم,form
922,اڳتي,forward
207,مليو,found
218,چار,four
551,تعريف,fraction
440,واندو,free
836,تازو,fresh
257,دوست,friend
17,کان,from
429,مئٽرڪ,front
755,ڦر,fruit
357,مڪمل,full
586,لطف,fun
384,شڪار,game
638,باغ,garden
588,گئس,gas
980,گڏ,gather
433,ڏنوسون,gave
526,عام,general
798,مهربان,gentle
106,حاصل,get
303,ڇوڪري,girl
123,ڏي,give
864,خوشخبري,glad
577,گلاس,glass
179,وڃو,go
373,هونء به,gold
599,ٿي چڪي,gone
121,سٺو,good
281,وغيره وغيره,got
496,حڪومت,govern
535,پوٽي,grand
578,گاهه,grass
990,ڀورو,gray
132,زبردست,great
434,سائو,green
629,پوک,grew
464,زمين,ground
286,گروپ,group
210,سٺا,grow
801,گمان,guess
924,ھدايت ڪرڻ وارو,guide
840,گن,gun
28,پيو,had
717,وار,hair
336,اڌ,half
64,هٿ,hand
332,ايڏو وڏو,happen
594,خوش,happy
231,سخت,hard
174,ڪئي آهي,has
953,ٽوپي,hat
15,آهي,have
5,هن چيو ته,he
201,سر,head
265,ٻڌي,hear
451,ٻڌو,heard
540,دل,heart
390,گرمي,heat
543,بهار,heavy
716,منعقد,held
135,مدد,help
167,سندس,her
71,هتي,here
74,تيز,high
724,ٽڪريء,hill
172,کيس,him
3,سندس,his
788,تاريخ,history
771,اچي ويو,hit
462,ڏسجي,hold
699,سوراخ,hole
62,گهر,home
595,اميد,hope
266,گهوڙي,horse
19,گرم,hot
387,گرم,hot
453,ڪلاڪ,hour
87,گھر,house
46,ڪيئن,how
918,وڏي,huge
787,انساني,human
457,سو,hundred
502,تلاش,hunt
828,جلدي,hurry
2,مون کي,i
527,برف,ice
259,خيال,idea
44,ته,if
794,تصور,imagine
34,۾,in
351,انچ,inch
531,شامل,include
783,صاف ظاهر آهي,indicate
742,صنعت,industry
780,مقطع,insect
877,تڪڙي,instant
575,آلي,instrument
465,فائدي,interest
970,ٺاھ ٺاھيندا,invent
691,لوھ,iron
24,آهي,is
365,ٻيٽ,island
25,ان,it
580,نوڪري,job
617,شامل,join
570,خوشي,joy
700,ٽپو ڏئي,jump
129,بس,just
221,رکيو,keep
576,رکي,kept
690,اهم,key
657,قتل,kill
84,قسم,kind
349,بادشاهه,king
344,ڄاڻن,knew
189,خبر,know
621,لکيا,lady
659,ڍنڍ,lake
70,ملڪ,land
399,ٻولي,language
66,وڏي,large
224,آخري,last
240,شهيد,late
379,کلڻ,laugh
730,قانون,law
482,رکون,lay
408,ڏس,lead
213,معلوم ٿئي ٿو,learn
610,گهٽ,least
321,ڇڏي,leave
929,ٿياسون,led
239,کاٻو,left
562,پيئي,leg
516,ڊيگهه,length
474,گهٽ,less
225,آڻي,let
293,خط,letter
978,سطح,level
745,ڪوڙ,lie
248,زندگي,life
848,لفٽ,lift
83,نور,light
164,جهڙو,like
137,ليڪ,line
894,سيال,liquid
310,فهرست,list
470,سن,listen
113,ٿورو,little
109,رهن ٿا,live
777,لڳائڻ,locate
895,لاگ ان,log
561,لون,lone
168,ايتري,long
175,نظر,look
635,گم,lost
687,پلاٽ,lot
662,بلند,loud
487,عشق,love
136,گهٽ,low
411,مشين,machine
108,ڪيو,made
909,مقناطيسي,magnet
273,مکيه,main
835,اهم,major
169,ڪر,make
116,انسان,man
159,ڪيترن ئي,many
493,نقشي,map
291,نشان,mark
878,مارڪيٽ,market
932,ڪاميٽي,mass
851,رکن ٿا,master
913,ميچ,match
550,مواد,material
528,ڪم,matter
195,مئي,may
122,مون کي,me
142,مطلب,mean
896,مطلب,meant
323,ماڻ,measure
817,گوشت,meat
704,ملن ٿا,meet
601,ڪيترا سريلا,melody
80,ماڻھن کي,men
709,ڌاتو,metal
672,جو طريقو,method
656,وچ,middle
233,شايد,might
295,ميل,mile
670,کير,milk
591,لک,million
444,من,mind
832,منهنجو,mine
441,منٽ,minute
388,آهين,miss
631,گڏيو,mix
769,جديد,modern
987,آنو,molecule
660,پل پل,moment
489,رقم,money
590,مهينو,month
364,چنڊ,moon
176,وڌيڪ,more
475,صبح,morning
185,سڀ کان,most
94,ماءُ,mother
892,تحرڪ,motion
566,(جبل),mount
261,جبل,mountain
606,وات,mouth
144,پيش,move
141,گهڻو,much
352,ضرب,multiply
288,موسيقي,music
72,هجي,must
187,منهنجي,my
126,نالو,name
668,قوم,nation
748,قدرتي,natural
889,فطرت,nature
96,ويجھو,near
802,ضروري آهي,necessary
900,ڳچيء ۾,neck
86,ضرورت,need
806,پاڙيسري,neighbor
223,ڪڏهن به,never
102,نئون,new
277,ايندڙ,next
246,رات,night
975,نو,nine
184,نه,no
977,شور,noise
767,منجھند,noon
947,۽ نڪي,nor
250,اتر,north
996,نڪ,nose
412,نوٽ,note
353,ڪجھ به نه,nothing
499,نوٽيس,notice
418,اچار,noun
199,هاڻي,now
182,تعداد,number
328,ڏونائي,numeral
360,اعتراض,object
664,مشاهدو,observe
886,نمودار,occur
438,سامونڊي,ocean
30,جي,of
85,بند,off
873,آڇ,offer
603,آفيس,office
292,اڪثر,often
435,آه,oh
626,تيل,oil
147,پراڻي,old
8,تي,on
263,هڪ دفعو,once
14,هڪ,one
114,صرف,only
274,کليل,open
760,هلائڻ,operate
963,سامهون,opposite
27,يا,or
338,حڪم,order
673,عضوو,organ
865,اصل,original
38,ٻئي,other
124,اسان,our
37,ٻاهر,out
188,جي حوالي سان,over
203,پنهنجي,own
901,آڪسيجن,oxygen
204,صفحو,page
398,رنگ,paint
530,جوڙو,pair
285,پيپر,paper
713,پيراگراف,paragraph
853,والدين,parent
104,حصو,part
959,خاص,particular
774,پارٽي,party
345,لڪ,pass
584,گذريل,past
893,واٽ,path
484,طرز,pattern
674,ادا,pay
186,ماڻهو,people
510,مان,perhaps
782,دور ۾,period
488,ماڻهو,person
734,جملي,phrase
511,کڻو,pick
88,تصوير,picture
342,ٽڪرو,piece
930,گندرف,pitch
107,جاء,place
302,انهيء,plain
414,رٿ,plan
375,جهاز,plane
827,سيارو,planet
214,ٻوٽو,plant
58,راند,play
765,مهرباني ڪري,please
997,جمع,plural
813,نظم,poem
93,نڪتو,point
686,غريب,poor
880,ڀري,populate
65,پورٽ,port
320,وقت,pose
546,پوزيشن,position
374,ممڪن,possible
860,پوسٽ,post
423,جئر,pound
402,قدرت,power
761,رواج,practice
994,تيار,prepare
542,هاڻوڪي,present
244,پريس,press
904,پيارو,pretty
842,پرنٽ,print
503,امڪان,probable
341,مسئلو,problem
759,عمل,process
448,پيدا,produce
325,پراڊڪٽ,product
871,مناسب,proper
985,مال,property
766,جي حفاظت,protect
560,ثابت,prove
795,مهيا ڪرڻ,provide
497,پل,pull
711,لوڏا,push
61,وجهي,put
974,سير کي سوا سير,quart
331,سوال,question
436,تڪڙا,quick
680,پهر,quiet
653,ڪافي,quite
897,انس,quotient
554,ڄامشورو,race
784,ريڊيو,radio
793,ريل,rail
494,مينهن,rain
707,اٿي,raise
382,ورهين,ran
890,حد,range
809,بلڪه,rather
466,پهچي,reach
63,پڙهڻ,read
306,تيار,ready
247,حقيقي,real
515,سبب,reason
604,ملي,receive
370,رڪارڊ,record
309,ڳاڙهو,red
520,علائقي,region
459,ياد,remember
991,ورجائي,repeat
884,جواب,reply
517,جي نمائندگي,represent
992,جي ضرورت آهي,require
420,باقي,rest
722,نتيجي ۾,result
756,امير,rich
507,سواري,ride
145,ساڄو,right
778,منڊي,ring
623,جنم,rise
296,سنڌوء,river
492,رستي ۾,road
337,پٿريلي,rock
739,رول,roll
256,ڪمري ۾,room
705,پاڙ,root
935,رسي,rope
840,گلاب,rose
115,لکين,round
605,قطار,row
818,ڪينسل,rub
495,راڄ,rule
241,هلائي,run
725,محفوظ,safe
47,چيو,said
549,ترنديون,sail
995,لوڻ,salt
149,ساڳئي,same
737,واريء,sand
572,ڇنڇر,sat
648,محفوظ,save
235,کين,saw
134,چون ٿا,say
661,پيماني تي,scale
209,اسڪول,school
254,سائنس,science
926,ايڊليڊ:,score
237,سمنڊ,sea
837,ڳولا,search
907,موسم,season
949,مسند,seat
300,ٻيون,second
676,سيڪشن,section
171,ڏسڻ,see
615,ٻج,seed
275,لڳي,seem
874,ڀاڱي,segment
988,منتخب ڪريو,select
98,خود,self
954,وڪرو,sell
838,موڪليو,send
750,احساس,sense
640,موڪليو,sent
131,سزا,sentence
762,جدا جدا,separate
490,جي عبادت ڪريو,serve
52,مقرر,set
523,آباد,settle
712,ست,seven
478,ڪيترن ئي,several
715,ملندو,shall
385,شڪل,shape
866,حصو,share
803,تکي,sharp
150,هوء,she
856,ورق,sheet
899,شيل,shell
984,روشن,shine
334,ٻيڙي,ship
965,بوٽن,shoe
981,جو دڪان,shop
854,اڇليوسون,shore
327,مختصر,short
205,وڃي,should
966,ڪلهي,shoulder
612,ھڪل,shout
119,نظر,show
197,پاسي,side
284,اکيون,sight
582,سائين,sign
735,خاموش,silent
910,چاندي,silver
923,ساڳي,similar
477,سادي,simple
346,کان,since
469,روهتاس,sing
692,واحد,single
919,ڀيڻ,sister
553,ويھ,sit
471,ڇهه,six
521,ڪرائون سائيز واري,size
905,ڪاريگر,skill
696,جلد ئي,skin
568,آسمان,sky
875,غلام,slave
559,ننڊ,sleep
936,پرچي,slip
485,آهستي,slow
59,ننڍي,small
945,عضوا,smell
697,مرڪ,smile
391,برف,snow
165,پوء,so
585,نرم,soft
738,ڌرتيء,soil
758,سپاهي,soldier
908,حل,solution
708,حل ڪرڻ,solve
23,ڪجهه,some
658,پُٽ,son
322,گيت,song
315,جلد,soon
183,آواز,sound
340,ڏکڻ,south
450,خلا,space
524,ڳالهائڻ,speak
443,خاص,special
888,تقرير,speech
671,رفتار,speed
67,ڪيلن مان,spell
861,خرچ,spend
785,ارن,spoke
844,جاء,spot
967,وڇائي,spread
663,بهار جي,spring
514,چورس,square
202,موقف,stand
416,تارو,star
232,شروع,start
220,رياست,state
867,اسٽيشن,station
355,رهو,stay
376,ڪا,stead
891,ٻاڦ,steam
920,اسٽيل,steel
460,قدم,step
693,لٺ,stick
212,اڃا,still
681,پٿر,stone
427,بيٺو,stood
262,بند,stop
556,اسٽور,store
234,ڪهاڻي,story
666,سڌي,straight
598,عجيب,strange
822,وهڪرو,stream
350,گلي,street
982,البت,stretch
814,اهو جملو,string
442,مضبوط,strong
772,شاگرد,student
211,مطالعي,study
519,موضوع,subject
857,مال,substance
957,ڪٽ,subtract
955,ڪاميابي,success
75,اهڙي,such
512,اوچتو,sudden
914,وهڪرو,suffix
902,کنڊ,sugar
618,صلاح,suggest
846,مناسبت,suit
557,اونهاري,summer
217,سج,sun
775,جي سامان جو,supply
887,حمايت,support
268,پڪ,sure
362,مٿاڇري,surface
679,تعجب,surprise
961,ترڻ,swim
533,پدن,syllable
608,نشان,symbol
367,نظام,system
472,ميز,table
447,پڇ,tail
105,وٺي,take
313,ڳالهائي,talk
736,قد,tall
430,هڪٻئي کي,teach
632,ٽيم,team
898,ڏند,teeth
50,ٻڌايو,tell
740,گرمي پد,temperature
476,ڏهه,ten
962,مدت,term
369,امتحان,test
191,کان,than
911,آنو,thank
4,ته,that
29,جي,the
42,سندن,their
161,انھن کي,them
160,پوء,then
152,نه,there
166,انهن,these
11,اھي,they
757,دلدار,thick
825,پتلي,thin
170,شيء,thing
133,خيال,think
714,ٽيون,third
16,هن,this
289,سي,those
311,جيتوڻيڪ,though
226,فڪر,thought
380,هزار,thousand
53,ٽي,three
128,جي ذريعي,through
983,ڌوڙ,throw
797,اهڙيء طرح,thus
833,ڳنڍ,tie
43,وقت,time
682,ٺهي,tiny
392,ٽائر,tire
31,جي طرف,to
276,گڏ,together
343,ٻڌايو,told
616,سر,tone
148,به,too
253,ورتو,took
942,اوزار,tool
347,مٿي,top
943,ڪل,total
628,رابطو,touch
480,رخ,toward
403,ڳوٺ,town
852,ڪچي,track
600,واپار,trade
558,سکيا,train
473,سفر,travel
228,وڻ,tree
826,تكون,triangle
602,سفر,trip
611,ڏکي,trouble
976,ٽرڪ,truck
455,سچ,true
89,ڪوشش ڪر,try
819,ٽيوب,tube
139,موڙ,turn
695,ويهه,twenty
173,ٻه,two
729,قسم,type
125,هيٺ,under
401,يونٽ,unit
294,ايتري قدر,until
154,مٿي,up
90,اسان,us
155,استعمال,use
304,ويچارا,usual
946,واديء,valley
743,قدر,value
522,ناهيون,vary
468,فعل,verb
127,تمام,very
749,ڏسڻ,view
703,ڳوٺ,village
583,دوري,visit
500,آواز,voice
479,اسمن,vowel
413,انتظار,wait
282,سير,walk
564,ڀت,wall
54,چاهي ٿو,want
481,جنگ,war
439,گرم,warm
6,هو,was
807,ڌوئڻ,wash
269,واچ,watch
190,پاڻي,water
538,موج,wave
157,واٽ,way
35,اسان,we
637,پائڻ,wear
589,موسم,weather
431,هفتو,week
525,وزن,weight
56,چڱي,well
82,ويو,went
39,ويا,were
463,اولهه,west
22,ڇا,what
356,ڦيٿي,wheel
153,جڏهن,when
110,جتي,where
710,ت,whether
40,ڪھڙي,which
243,جڏهن ته,while
278,اڇو,white
194,جو,who
348,سڄي,whole
776,جن جي,whose
78,ڇو,why
548,وڏين,wide
964,زال,wife
574,جهنگلي,wild
45,ٿيندو,will
937,ورتي,win
330,واء,wind
555,دري,window
804,ونگ,wing
571,سياري ۾,winter
633,تار,wire
567,خواهش,wish
10,سان,with
799,عورت,woman
906,عورتن,women
378,عجب,wonder
752,نه ڪندو,won’t
272,ڪاٺ,wood
20,لفظ,word
103,ڪم,work
95,دنيا,world
163,ها,would
162,لکڻ,write
573,لکيو,written
989,ظلم,wrong
614,لکيو,wrote
622,لينڊ يارڊ,yard
117,سال,year
839,پيلو,yellow
394,ها,yes
537,موجود,yet
26,توهان,you
305,جوان,young
156,تنهنجو,your
