number,thai,english
842,พิมพ์,print
503,น่าจะเป็น,probable
341,ปัญหา,problem
759,กระบวนการ,process
448,ผลิต,produce
325,ผลิตภัณฑ์,product
871,ที่เหมาะสม,proper
985,สถานที่ให้บริการ,property
766,ป้องกัน,protect
560,พิสูจน์,prove
795,ให้,provide
497,ดึง,pull
711,การผลักดัน,push
61,ใส่,put
974,ควอร์,quart
331,คำถาม,question
436,อย่างรวดเร็ว,quick
680,เงียบสงบ,quiet
653,ค่อนข้าง,quite
897,เชาวน์,quotient
554,การแข่งขัน,race
784,วิทยุ,radio
793,ทางรถไฟ,rail
494,ฝน,rain
707,ยก,raise
382,วิ่ง,ran
890,ช่วง,range
809,ค่อนข้าง,rather
466,เข้าถึง,reach
63,อ่าน,read
306,พร้อมแล้ว,ready
247,จริง,real
515,เหตุผลที่,reason
604,ได้รับ,receive
370,บันทึก,record
309,สีแดง,red
520,ภูมิภาค,region
459,จำได้ว่า,remember
991,ทำซ้ำ,repeat
884,ตอบ,reply
517,เป็นตัวแทนของ,represent
992,ต้องการ,require
420,ส่วนที่เหลือ,rest
722,ผล,result
756,อุดมไปด้วย,rich
507,นั่ง,ride
145,ขวา,right
778,แหวน,ring
623,ลุกขึ้น,rise
296,แม่น้ำ,river
492,ถนน,road
337,หิน,rock
739,ม้วน,roll
256,ห้อง,room
705,ราก,root
935,เชือก,rope
840,ดอกกุหลาบ,rose
115,รอบ,round
605,แถว,row
818,ถู,rub
495,กฎ,rule
241,การทำงาน,run
725,ความปลอดภัย,safe
47,กล่าวว่า,said
549,แล่นเรือ,sail
995,เกลือ,salt
149,เดียวกัน,same
737,ทราย,sand
572,นั่ง,sat
648,บันทึก,save
235,เลื่อย,saw
134,พูด,say
661,ขนาด,scale
209,โรงเรียน,school
254,วิทยาศาสตร์,science
926,คะแนน,score
237,ทะเล,sea
837,ค้นหา,search
907,ฤดู,season
949,ที่นั่ง,seat
300,ที่สอง,second
676,ส่วน,section
171,เห็น,see
615,เมล็ดพันธุ์,seed
275,ดูเหมือน,seem
874,ส่วน,segment
988,เลือก,select
98,ตนเอง,self
954,ขาย,sell
838,ส่ง,send
750,ความรู้สึก,sense
640,ส่ง,sent
131,ประโยค,sentence
762,แยกต่างหาก,separate
490,ให้บริการ,serve
52,ชุด,set
523,ชำระ,settle
712,เจ็ด,seven
478,หลาย,several
715,จะต้อง,shall
385,รูปร่าง,shape
866,ส่วนแบ่ง,share
803,คมชัด,sharp
150,เธอ,she
856,แผ่น,sheet
899,เปลือก,shell
984,เงางาม,shine
334,เรือ,ship
965,รองเท้า,shoe
981,ร้านขายของ,shop
854,ฝั่ง,shore
327,สั้น,short
205,ควร,should
966,ไหล่,shoulder
612,ตะโกน,shout
119,แสดง,show
197,ด้าน,side
284,สายตา,sight
582,เข้าสู่ระบบ,sign
735,เงียบ,silent
910,สีเงิน,silver
923,คล้ายคลึงกัน,similar
477,ง่าย,simple
346,ตั้งแต่,since
469,ร้องเพลง,sing
692,เดียว,single
919,น้องสาวของ,sister
553,นั่ง,sit
471,หก,six
521,ขนาด,size
905,ทักษะ,skill
696,ผิว,skin
568,ท้องฟ้า,sky
875,ทาส,slave
559,การนอนหลับ,sleep
936,ลื่น,slip
485,ช้า,slow
59,ขนาดเล็ก,small
945,กลิ่น,smell
697,รอยยิ้ม,smile
391,หิมะ,snow
165,ดังนั้น,so
585,อ่อน,soft
738,ดิน,soil
758,ทหาร,soldier
908,การแก้ปัญหา,solution
708,แก้,solve
23,บาง,some
658,บุตรชาย,son
322,เพลง,song
315,เร็ว ๆ นี้,soon
183,เสียง,sound
340,ทางตอนใต้,south
450,พื้นที่,space
524,พูด,speak
443,พิเศษ,special
888,คำพูด,speech
671,ความเร็ว,speed
67,สะกด,spell
861,ใช้จ่าย,spend
785,พูด,spoke
844,จุด,spot
967,การแพร่กระจาย,spread
663,ฤดูใบไม้ผลิ,spring
514,ตาราง,square
202,ยืน,stand
416,ดาว,star
232,เริ่มต้นที่,start
220,รัฐ,state
867,สถานี,station
355,พักอยู่,stay
376,แทน,stead
891,ไอน้ำ,steam
920,เหล็ก,steel
460,ขั้นตอนที่,step
693,ติด,stick
212,ยังคง,still
681,หิน,stone
427,ยืนอยู่,stood
262,หยุด,stop
556,การจัดเก็บ,store
234,เรื่องราว,story
666,ตรง,straight
598,แปลก,strange
822,กระแส,stream
350,ถนน,street
982,ยืด,stretch
814,สตริง,string
442,ที่แข็งแกร่ง,strong
772,นักเรียน,student
211,การศึกษา,study
519,เรื่อง,subject
857,สาร,substance
957,ลบ,subtract
955,ประสบความสำเร็จ,success
75,เช่น,such
512,ฉับพลัน,sudden
914,ต่อท้าย,suffix
902,น้ำตาล,sugar
618,ขอแนะนำให้,suggest
846,สูท,suit
557,ฤดูร้อน,summer
217,ดวงอาทิตย์,sun
775,อุปทาน,supply
887,สนับสนุน,support
268,แน่ใจ,sure
362,พื้นผิว,surface
679,แปลกใจ,surprise
961,การว่ายน้ำ,swim
533,พยางค์,syllable
608,สัญลักษณ์,symbol
367,ระบบ,system
472,ตาราง,table
447,หาง,tail
105,ใช้เวลา,take
313,พูดคุย,talk
736,สูง,tall
430,สั่งสอน,teach
632,ทีมงาน,team
898,ฟัน,teeth
50,บอก,tell
740,อุณหภูมิ,temperature
476,สิบ,ten
962,ระยะ,term
369,การทดสอบ,test
191,กว่า,than
911,ขอขอบคุณ,thank
4,ว่า,that
29,ได้,the
42,ของพวกเขา,their
161,พวกเขา,them
160,แล้วก็,then
152,มี,there
166,เหล่านี้,these
11,พวกเขา,they
757,หนา,thick
825,บาง,thin
170,สิ่งที่,thing
133,คิดว่า,think
714,ที่สาม,third
16,นี้,this
289,ผู้ที่,those
311,แม้ว่า,though
226,คิดว่า,thought
380,พัน,thousand
53,สาม,three
128,ตลอด,through
983,โยน,throw
797,ดังนั้น,thus
833,ผูกเน็คไท,tie
43,เวลา,time
682,จิ๋ว,tiny
392,ยาง,tire
31,ที่จะ,to
276,เข้าด้วยกัน,together
343,บอก,told
616,โทน,tone
148,เกินไป,too
253,เอา,took
942,เครื่องมือ,tool
347,ด้านบน,top
943,ทั้งหมด,total
628,แตะ,touch
480,ต่อ,toward
403,เมือง,town
852,ติดตาม,track
600,การค้า,trade
558,รถไฟ,train
473,การเดินทาง,travel
228,ต้นไม้,tree
826,สามเหลี่ยม,triangle
602,การเดินทาง,trip
611,ปัญหา,trouble
976,รถบรรทุก,truck
455,ที่แท้จริง,true
89,พยายาม,try
819,หลอด,tube
139,เลี้ยว,turn
695,ยี่สิบ,twenty
173,สอง,two
729,ชนิด,type
125,ภายใต้,under
401,หน่วย,unit
294,จนกระทั่ง,until
154,ขึ้น,up
90,เรา,us
155,การใช้งาน,use
304,ปกติ,usual
946,หุบเขา,valley
743,มูลค่า,value
522,แตกต่าง,vary
468,คำกริยา,verb
127,มาก,very
749,มุมมอง,view
703,หมู่บ้าน,village
583,การเยี่ยมชม,visit
500,เสียง,voice
479,สระ,vowel
413,รอสักครู่,wait
282,เดิน,walk
564,ผนัง,wall
54,ต้องการ,want
481,สงคราม,war
439,อบอุ่น,warm
6,เป็น,was
807,ล้าง,wash
269,ชม,watch
190,น้ำ,water
538,คลื่น,wave
157,ทาง,way
35,เรา,we
637,สวมใส่,wear
589,สภาพอากาศ,weather
431,สัปดาห์ที่,week
525,น้ำหนัก,weight
56,ดี,well
82,ไป,went
39,เป็น,were
463,ทางทิศตะวันตก,west
22,สิ่งที่,what
356,ล้อ,wheel
153,เมื่อ,when
110,ที่,where
710,ไม่ว่าจะเป็น,whether
40,ซึ่ง,which
243,ในขณะที่,while
278,สีขาว,white
194,ที่,who
348,ทั้ง,whole
776,ใคร,whose
78,เหตุผลที่,why
548,กว้าง,wide
964,ภรรยา,wife
574,ป่า,wild
45,จะ,will
937,ชนะ,win
330,ลม,wind
555,หน้าต่าง,window
804,ปีก,wing
571,ฤดูหนาว,winter
633,ลวด,wire
567,หวังว่า,wish
10,ด้วย,with
799,หญิง,woman
906,ผู้หญิง,women
378,ไม่น่าแปลกใจ,wonder
752,จะไม่,won’t
272,เนื้อไม้,wood
20,คำ,word
103,การทำงาน,work
95,โลก,world
163,จะ,would
162,เขียน,write
573,เขียน,written
989,ผิด,wrong
614,เขียน,wrote
622,ลาน,yard
117,ปี,year
839,สีเหลือง,yellow
394,ใช่,yes
537,ยัง,yet
26,คุณ,you
305,หนุ่ม,young
156,ของคุณ,your
