number,hmong,english
779,cim,character
870,them,charge
952,daim ntawv,chart
383,xyuas,check
881,qaib,chick
829,hmoob,chief
665,tus me nyuam,child
279,cov me nyuam,children
641,xaiv,choose
862,chord,chord
529,vajvoog,circle
227,nroog,city
999,daim ntawv thov,claim
329,chav kawm ntawv,class
619,huv si,clean
446,ntshiab,clear
683,nce lub roob,climb
831,moos,clock
245,ze,close
597,hnav khaub ncaws,clothe
678,huab,cloud
732,ntug dej hiav txwv,coast
931,tsho tiv no,coat
498,txias,cold
647,sau,collect
830,colony,colony
270,xim nqaij daim tawv,color
986,kem,column
180,tuaj,come
372,ntau,common
956,lub tuam txhab,company
812,piv,compare
333,tiav,complete
940,mob,condition
859,txuas,connect
728,xav txog,consider
667,tus tsiaj ntawv,consonant
428,muaj,contain
1000,teb chaws,continent
950,mus ntxiv,continue
649,tswj,control
719,ua noj,cook
684,txias,cool
733,daim ntawv luam,copy
811,pob kws,corn
773,ces kaum,corner
421,tseeb,correct
634,nqi,cost
971,paj rwb,cotton
178,ua,could
513,suav,count
206,lub teb chaws,country
354,cov hoob kawm,course
215,cover,cover
579,nyuj,cow
698,crease,crease
805,tsim,create
768,qoob loo,crop
229,hla,cross
810,neeg coob coob,crowd
409,quaj,cry
847,tam sim no,current
267,txiav,cut
868,txiv,dad
544,seev cev,dance
754,txaus ntshai,danger
410,tsaus,dark
177,hnub,day
843,tuag,dead
960,deal,deal
882,nyob zoo,dear
903,tuag,death
361,txiav txim siab,decide
650,zauv,decimal
363,sib sib zog nqus,deep
879,degree,degree
816,nyob ntawm seb,depend
718,piav qhia txog,describe
845,suab puam,desert
685,tsim,design
973,txiav txim,determine
437,tsim,develop
669,phau ntawv txhais lus,dictionary
181,puas tau,did
609,tuag,die
138,txawv,differ
763,nyuaj,difficult
319,ncaj qha,direct
921,sib tham txog,discuss
395,nyob deb,distant
532,cais,divide
855,division,division
41,ua,do
764,tus kws kho mob,doctor
51,puas,does
317,aub,dog
921,duas,dollar
424,ua,done
242,ua tsis tau,don’t
324,qhov rooj,door
948,ob,double
196,down,down
238,kos,draw
938,kev npau suav,dream
677,hnav ris tsho,dress
885,haus dej,drink
426,tsav,drive
539,poob,drop
377,qhuav,dry
876,os,duck
456,thaum lub sij hawm,during
49,txhua,each
651,pob ntseg,ear
461,thaum ntxov,early
99,lub ntiaj teb,earth
284,tsis,ease
397,sab hnub tuaj,east
255,noj,eat
581,ntug,edge
789,nyhuv,effect
506,qe,egg
702,yim,eight
721,tog twg los,either
790,hluav taws xob,electric
770,keeb,element
652,lwm tus neeg,else
60,kawg,end
883,yeeb ncuab,enemy
501,zog,energy
545,cav,engine
301,txaus,enough
834,nkag mus,enter
639,sib npaug zos,equal
386,equate,equate
915,tshwj xeeb tshaj yog,especially
69,txawm,even
939,thaum yav tsaus ntuj,evening
958,kev tshwm sim,event
308,puas tau,ever
120,txhua txhua,every
607,kos,exact
283,piv txwv li,example
613,tsuas yog,except
747,muaj siab,excite
563,qoj ib ce,exercise
791,cia siab tias,expect
925,kev,experience
688,xyaum ua tej yam,experiment
222,qhov muag,eye
271,lub ntsej muag,face
449,qhov tseeb,fact
645,ncaj ncees,fair
407,poob,fall
318,tsev neeg,family
820,naas ej,famous
236,deb,far
230,ua liaj ua teb,farm
467,ceev ceev,fast
863,muaj roj,fat
100,txiv,father
858,nyiam,favor
823,ntshai,fear
941,pub,feed
312,xav,feel
298,ob txhais taw,feet
642,poob,fell
534,xav,felt
249,ob peb,few
419,teb,field
916,fig,fig
744,sib ntaus,fight
415,duab,figure
396,sau,fill
432,zaum kawg,final
200,nrhiav,find
404,zoo,fine
741,ntiv tes,finger
593,finish,finish
339,hluav taws,fire
193,thawj,first
260,ntses,fish
643,haum,fit
458,tsib,five
694,ca,flat
720,pem teb,floor
644,ntws,flow
596,paj,flower
406,ya,fly
76,ua raws li,follow
216,khoom noj khoom haus,food
366,ko taw,foot
7,rau,for
358,quab yuam,force
552,hav zoov,forest
130,daim ntawv,form
922,pem hauv ntej,forward
207,pom,found
218,plaub,four
551,feem,fraction
440,free,free
836,tshiab,fresh
257,phooj ywg,friend
17,los ntawm,from
429,pem hauv ntej,front
755,txiv hmab txiv ntoo,fruit
357,tag nrho,full
586,kev lom zem,fun
384,kev ua si,game
638,vaj,garden
588,gas,gas
980,sib sau ua ke,gather
433,muab,gave
526,general,general
798,maj mam,gentle
106,tau,get
303,hluas nkauj,girl
123,muab,give
864,zoo siab,glad
577,iav,glass
179,mus,go
373,kub,gold
599,ploj,gone
121,zoo,good
281,tau txais,got
496,kav,govern
535,loj,grand
578,nyom,grass
990,grey,gray
132,zoo,great
434,ntsuab,green
629,loj hlob,grew
464,hauv av,ground
286,pab pawg neeg,group
210,loj hlob,grow
801,twv,guess
924,coj,guide
840,phom,gun
28,muaj,had
717,cov plaub hau,hair
336,ib nrab,half
64,tes,hand
332,tshwm sim,happen
594,zoo siab,happy
231,nyuaj,hard
174,muaj,has
953,lub kaus mom,hat
15,muaj,have
5,nws,he
201,lub taub hau,head
265,hnov,hear
451,hnov,heard
540,lub plawv,heart
390,tshav kub kub,heat
543,hnyav,heavy
716,tsis tshua muaj lub,held
135,pab,help
167,nws,her
71,nyob ntawm no,here
74,siab,high
724,toj,hill
172,nws,him
3,nws,his
788,keeb kwm,history
771,ntaus,hit
462,tuav,hold
699,qhov,hole
62,tsev,home
595,cia siab,hope
266,nees,horse
19,kub,hot
387,kub,hot
453,teev,hour
87,tsev,house
46,ua li cas,how
918,lossis loj,huge
787,tib neeg,human
457,puas,hundred
502,hunt,hunt
828,hurry,hurry
2,kuv,i
527,ice,ice
259,lub tswv yim,idea
44,yog tias,if
794,xav txog tej yam,imagine
34,nyob rau hauv,in
351,nti,inch
531,muaj xws li,include
783,qhia,indicate
742,kev lag luam,industry
780,kab,insect
877,instant,instant
575,lub cuab tam,instrument
465,paj,interest
970,txua,invent
691,hlau,iron
24,yog,is
365,kob,island
25,nws,it
580,txoj hauj lwm,job
617,koom,join
570,muaj kev xyiv fab,joy
700,dhia,jump
129,xwb,just
221,kom,keep
576,khaws cia,kept
690,tseem ceeb,key
657,tua,kill
84,zoo,kind
349,huab tais,king
344,paub,knew
189,paub,know
621,tus pojniam,lady
659,pas dej,lake
70,av,land
399,lus,language
66,loj,large
224,kawg,last
240,lig,late
379,luag,laugh
730,txoj cai lij choj,law
482,pw,lay
408,coj,lead
213,kawm,learn
610,tsawg kawg,least
321,tawm,leave
929,coj,led
239,tshuav,left
562,txhais ceg,leg
516,ntev,length
474,tsawg,less
225,cia,let
293,tsab ntawv,letter
978,theem,level
745,dag,lie
248,lub neej,life
848,nqa,lift
83,lub teeb,light
164,zoo li,like
137,kab,line
894,kua,liquid
310,daim ntawv teev,list
470,mloog,listen
113,me ntsis,little
109,nyob,live
777,nrhiav,locate
895,cag ntoo,log
561,leeg,lone
168,ntev,long
175,saib,look
635,poob lawm,lost
687,ntau,lot
662,nrov,loud
487,hlub,love
136,tsawg,low
411,tshuab,machine
108,ua,made
909,hlau nplaum,magnet
273,ntsiab,main
835,loj,major
169,ua,make
116,txiv neej,man
159,ntau,many
493,daim ntawv qhia,map
291,cim,mark
878,kev ua lag luam,market
932,huab hwm coj,mass
851,tswv,master
913,match,match
550,cov ntaub ntawv,material
528,teeb meem,matter
195,tau,may
122,kuv,me
142,txhais li cas,mean
896,meant,meant
323,ntsuas,measure
817,nqaij,meat
704,ntsib,meet
601,suab,melody
80,cov txiv neej,men
709,hlau,metal
672,txoj kev,method
656,nruab nrab,middle
233,zaum,might
295,mile,mile
670,mis nyuj,milk
591,lab,million
444,siab,mind
832,kuv,mine
441,feeb,minute
388,miss,miss
631,sib tov,mix
769,niaj hnub,modern
987,qauv,molecule
660,caij,moment
489,nyiaj,money
590,lub hlis,month
364,hli,moon
176,ntau,more
475,thaum sawv ntxov,morning
185,feem ntau,most
94,niam,mother
892,tsa suab,motion
566,mount,mount
261,roob,mountain
606,lub qhov ncauj,mouth
144,txav,move
141,ntau,much
352,multiply,multiply
288,music,music
72,yuav tsum,must
187,kuv,my
126,lub npe,name
668,lub teb chaws,nation
748,tej yam ntuj tso,natural
889,qhov,nature
96,nyob ze,near
802,tsim nyog,necessary
900,caj dab,neck
86,xav tau,need
806,neeg nyob ze,neighbor
223,yeej tsis,never
102,tshiab,new
277,tom ntej no,next
246,hmo ntuj,night
975,cuaj,nine
184,tsis muaj,no
977,suab nrov,noise
767,tav su,noon
947,los yog,nor
250,sab qaum teb,north
996,lub qhov ntswg,nose
412,daim ntawv,note
353,tsis muaj dab tsi,nothing
499,daim ntawv ceeb toom,notice
418,noun,noun
199,tam sim no,now
182,muaj pes tsawg tus,number
328,tus nab npawj,numeral
360,yam khoom,object
664,saib,observe
886,tshwm sim,occur
438,dej hiav txwv,ocean
30,ntawm,of
85,tawm,off
873,kev,offer
603,chaw ua hauj lwm,office
292,feem ntau,often
435,huag,oh
626,roj,oil
147,qub,old
8,on,on
263,ib zaug,once
14,ib,one
114,tsuas,only
274,qhib,open
760,khiav lag luam,operate
963,rov qab,opposite
27,los yog,or
338,yuav,order
673,hloov,organ
865,thawj,original
38,lwm yam,other
124,peb,our
37,tawm,out
188,tshaj,over
203,tus kheej,own
901,oxygen,oxygen
204,page,page
398,xim,paint
530,khub,pair
285,daim ntawv,paper
713,pawg lus,paragraph
853,niam txiv,parent
104,ib feem,part
959,xyov,particular
774,tog,party
345,dhau,pass
584,yav dhau los,past
893,txoj kev,path
484,qauv,pattern
674,them,pay
186,cov neeg,people
510,tej zaum,perhaps
782,lub sij hawm,period
488,tus neeg,person
734,kab lus,phrase
511,tos,pick
88,daim duab,picture
342,daim,piece
930,twawb,pitch
107,qhov chaw,place
302,tiaj,plain
414,txoj kev npaj,plan
375,dav hlau,plane
827,ntiaj chaw,planet
214,tsob nroj,plant
58,ua si,play
765,thov,please
997,plural,plural
813,paj huam,poem
93,taw tes,point
686,pluag,poor
880,populate,populate
65,chaw nres nkoj,port
320,pose,pose
546,txoj hauj lwm,position
374,tau,possible
860,post,post
423,phaus,pound
402,hwj chim,power
761,xyaum,practice
994,npaj,prepare
542,tam sim no,present
244,xovxwm,press
904,zoo nkauj,pretty
842,sau,print
503,tej zaum,probable
341,teeb meem,problem
759,cov txheej txheem,process
448,tsim,produce
325,khoom,product
871,kom,proper
985,vaj tse,property
766,tiv thaiv,protect
560,ua pov thawj,prove
795,muab,provide
497,rub,pull
711,laub,push
61,muab tso rau,put
974,quart,quart
331,lo lus nug,question
436,ceev,quick
680,ntsiag to,quiet
653,heev,quite
897,quotient,quotient
554,haiv neeg,race
784,xov tooj cua,radio
793,rail,rail
494,los nag,rain
707,tsa,raise
382,khiav,ran
890,ntau yam,range
809,es,rather
466,cuag,reach
63,nyeem,read
306,npaj txhij,ready
247,tiag tiag,real
515,yog vim li cas,reason
604,tau txais,receive
370,cov ntaub ntawv,record
309,liab,red
520,cheeb tsam,region
459,nco ntsoov,remember
991,rov,repeat
884,teb,reply
517,sawv cev rau,represent
992,tsum,require
420,so,rest
722,tau,result
756,nplua nuj,rich
507,caij,ride
145,txoj cai,right
778,nplhaib,ring
623,sawv,rise
296,dej,river
492,txoj kev,road
337,pob zeb,rock
739,yob,roll
256,chav tsev,room
705,paus,root
935,hlua,rope
840,sawv,rose
115,puag ncig,round
605,kab,row
818,xuas,rub
495,txoj cai,rule
241,khiav,run
725,muaj kev nyab xeeb,safe
47,hais tias,said
549,sail,sail
995,ntsev,salt
149,tib,same
737,xuab zeb,sand
572,xee,sat
648,txuag,save
235,kaw,saw
134,hais,say
661,scale,scale
209,lub tsev kawm ntawv,school
254,science,science
926,qhab nia,score
237,hiav txwv,sea
837,nrhiav,search
907,lub caij,season
949,rooj zaum,seat
300,thib ob,second
676,kem,section
171,saib,see
615,noob,seed
275,zoo li,seem
874,ntu,segment
988,xaiv,select
98,nws tus kheej,self
954,muag,sell
838,xa,send
750,siab,sense
640,xa,sent
131,kab lus,sentence
762,cais,separate
490,pab,serve
52,tso,set
523,khom,settle
712,xya,seven
478,ob peb,several
715,yuav,shall
385,zoo,shape
866,sib qhia,share
803,ntse,sharp
150,nws,she
856,daim ntawv,sheet
899,plhaub,shell
984,ci,shine
334,nkoj,ship
965,khau,shoe
981,khw,shop
854,ntug dej,shore
327,luv luv,short
205,yuav tsum,should
966,xub pwg,shoulder
612,qw,shout
119,qhia tau tias,show
197,sab,side
284,pom,sight
582,kos npe,sign
735,ntsiag to,silent
910,silver,silver
923,zoo sib xws,similar
477,yooj yim,simple
346,txij li thaum,since
469,hu nkauj,sing
692,ib,single
919,tus muam,sister
553,zaum,sit
471,rau,six
521,loj,size
905,kev txawj,skill
696,daim tawv nqaij,skin
568,ntuj,sky
875,qhev,slave
559,pw tsaug zog,sleep
936,plam,slip
485,qeeb,slow
59,me me,small
945,tsis hnov tsw,smell
697,luag,smile
391,snow,snow
165,yog li,so
585,mos,soft
738,av,soil
758,tub rog,soldier
908,daws,solution
708,daws,solve
23,ib co,some
658,tus tub,son
322,song,song
315,sai,soon
183,sound,sound
340,sab qab teb,south
450,qhov chaw,space
524,hais lus,speak
443,tshwj xeeb,special
888,hais lus,speech
671,ceev,speed
67,yees siv,spell
861,siv,spend
785,hais lus,spoke
844,chaw,spot
967,kis,spread
663,caij nplooj ntoos hlav,spring
514,square,square
202,sawv ntsug,stand
416,lub hnub qub,star
232,pib,start
220,lub xeev,state
867,chaw nres tsheb,station
355,nyob twj ywm,stay
376,stead,stead
891,zog,steam
920,cov hlau,steel
460,kauj ruam,step
693,pas,stick
212,tseem,still
681,pob zeb,stone
427,sawv,stood
262,nres,stop
556,khw,store
234,zaj dab neeg,story
666,ncaj,straight
598,coj txawv txawv,strange
822,kwj,stream
350,txoj kev,street
982,stretch,stretch
814,hlua,string
442,muaj zog,strong
772,me nyuam kawm ntawv,student
211,txoj kev tshawb,study
519,raug,subject
857,substance,substance
957,rho,subtract
955,kawm tau zoo,success
75,xws,such
512,ua ciav,sudden
914,tom qab,suffix
902,qab zib,sugar
618,qhia,suggest
846,nplua,suit
557,lub caij ntuj sov,summer
217,hnub,sun
775,mov,supply
887,kev pab txhawb nqa,support
268,paub tseeb,sure
362,nto,surface
679,surprise,surprise
961,luam dej,swim
533,sylla,syllable
608,lub cim,symbol
367,system,system
472,rooj,table
447,tsov tus tw,tail
105,noj,take
313,tham,talk
736,siab,tall
430,qhia,teach
632,pab neeg,team
898,cov hniav,teeth
50,qhia,tell
740,kub,temperature
476,kaum,ten
962,lub sij hawm,term
369,xeem,test
191,tshaj,than
911,ua tsaug,thank
4,uas,that
29,tus,the
42,lawv,their
161,lawv,them
160,ces,then
152,muaj,there
166,cov,these
11,lawv,they
757,tuab,thick
825,nyias,thin
170,tshaj plaws,thing
133,xav hais tias,think
714,thib peb,third
16,no,this
289,cov neeg,those
311,tab sis yog,though
226,xav,thought
380,txhiab,thousand
53,peb,three
128,los ntawm,through
983,muab pov,throw
797,yog li,thus
833,khi,tie
43,lub sij hawm,time
682,me me,tiny
392,log,tire
31,mus rau,to
276,ua ke,together
343,hais rau,told
616,tone,tone
148,heev,too
253,coj,took
942,cuab tam,tool
347,sab saum toj,top
943,tag nrho,total
628,kov,touch
480,mus rau,toward
403,lub zos,town
852,khiav,track
600,luam,trade
558,tsheb ciav hlau,train
473,mus ncig teb chaws,travel
228,tsob ntoo,tree
826,daim duab peb sab,triangle
602,dawm,trip
611,teeb meem,trouble
976,tsheb,truck
455,muaj tseeb,true
89,sim,try
819,tube,tube
139,tig,turn
695,nees nkaum,twenty
173,ob,two
729,hom,type
125,nyob rau hauv,under
401,unit,unit
294,kom txog rau thaum,until
154,mus txog,up
90,peb,us
155,siv,use
304,li ib txwm,usual
946,hav,valley
743,nqi,value
522,sib txawv,vary
468,nqe lus,verb
127,heev,very
749,saib,view
703,lub zos,village
583,mus ntsib,visit
500,suab,voice
479,vowel,vowel
413,tos,wait
282,mus kev,walk
564,phab ntsa,wall
54,xav,want
481,ua tsov ua rog,war
439,sov,warm
6,yog,was
807,ntxuav,wash
269,saib,watch
190,dej,water
538,yoj,wave
157,txoj kev,way
35,peb,we
637,hnav,wear
589,huab cua,weather
431,lub lim tiam,week
525,hnyav,weight
56,zoo,well
82,mus,went
39,twb,were
463,sab hnub poob,west
22,dab tsi,what
356,log,wheel
153,thaum,when
110,qhov chaw uas,where
710,seb,whether
40,uas,which
243,thaum,while
278,dawb,white
194,uas,who
348,tag nrho,whole
776,uas nws,whose
78,yog vim li cas,why
548,thoob,wide
964,tus poj niam,wife
574,qus,wild
45,yuav,will
937,yeej,win
330,cua,wind
555,qhov rais,window
804,tis,wing
571,lub caij ntuj no,winter
633,hlau,wire
567,xav,wish
10,nrog,with
799,poj niam,woman
906,cov poj niam,women
378,xav paub,wonder
752,yuav tsis,won’t
272,wood,wood
20,lo lus,word
103,ua hauj lwm,work
95,ntiaj teb no,world
163,yuav,would
162,sau ntawv,write
573,sau,written
989,tsis ncaj ncees lawm,wrong
614,sau,wrote
622,mev,yard
117,xyoo,year
839,daj,yellow
394,yawg,yes
537,tsis tau,yet
26,koj,you
305,hluas,young
156,koj,your
