number,malagasy,english
820,malaza,famous
236,lavitra,far
230,toeram-pambolena,farm
467,fifadian-kanina,fast
863,tavy,fat
100,ray,father
858,mankasitraka,favor
823,tahotra,fear
941,fahana,feed
312,mahatsapa,feel
298,tongotra,feet
642,latsaka,fell
534,nahatsapa,felt
249,vitsivitsy,few
419,an-tsaha,field
916,aviavy,fig
744,ady,fight
415,endrika,figure
396,mameno,fill
432,farany,final
200,hahita,find
404,tsara dia tsara,fine
741,rantsan-tànany,finger
593,farany,finish
339,afo,fire
193,voalohany,first
260,trondro,fish
643,antonona,fit
458,dimy,five
694,marin-,flat
720,rihana,floor
644,mikoriana,flow
596,voninkazo,flower
406,manidina,fly
76,manaraka,follow
216,sakafo,food
366,tongotra,foot
7,fa,for
358,hery,force
552,ala,forest
130,endrika,form
922,handroso,forward
207,hita,found
218,efatra,four
551,ampahany,fraction
440,maimaim-poana,free
836,vaovao,fresh
257,namana,friend
17,amin’ny,from
429,anoloana,front
755,vokatra,fruit
357,feno,full
586,mahafinaritra,fun
384,lalao,game
638,zaridaina,garden
588,mandatsa-dranomaso,gas
980,hanangona,gather
433,nanome,gave
526,ankapobeny,general
798,malemy fanahy,gentle
106,mahazo,get
303,ankizivavy,girl
123,manome,give
864,faly,glad
577,fitaratra,glass
179,mandeha,go
373,volamena,gold
599,lasa,gone
121,tsara,good
281,nahazo,got
496,hitantana,govern
535,lehibe,grand
578,ny ahitra,grass
990,volondavenona,gray
132,lehibe,great
434,maitso,green
629,nitombo,grew
464,tany,ground
286,vondrona,group
210,mitombo,grow
801,maminavina,guess
924,hitari-dalana,guide
840,basy,gun
28,nanana,had
717,volony,hair
336,antsasany,half
64,tanana,hand
332,hitranga,happen
594,sambatra,happy
231,mafy,hard
174,manana,has
953,satroka,hat
15,manana,have
5,izy,he
201,lohany,head
265,mihainoa,hear
451,nandre,heard
540,fo,heart
390,hafanana,heat
543,mavesatra,heavy
716,held,held
135,vonjeo,help
167,azy,her
71,eto,here
74,avo,high
724,colina,hill
172,azy,him
3,ny,his
788,tantara,history
771,voa,hit
462,mihazona,hold
699,lavaka,hole
62,an-trano,home
595,manantena,hope
266,soavaly,horse
19,mafana,hot
387,mafana,hot
453,ora,hour
87,trano,house
46,ahoana,how
918,goavana,huge
787,olombelona,human
457,jato,hundred
502,mihaza,hunt
828,faingana,hurry
2,i,i
527,ranomandry,ice
259,hevitra,idea
44,raha,if
794,sary an-tsaina,imagine
34,amin’ny,in
351,mirefy,inch
531,anisan’ny,include
783,maneho,indicate
742,orinasa,industry
780,bibikely,insect
877,avy hatrany,instant
575,fitaovana,instrument
465,mahaliana,interest
970,mamorona,invent
691,vy,iron
24,dia,is
365,nosy,island
25,izany,it
580,asa,job
617,hiaraka,join
570,fifaliana,joy
700,hitsambikina,jump
129,fotsiny,just
221,foana,keep
576,foana,kept
690,fototra,key
657,mamono,kill
84,tsara fanahy,kind
349,mpanjaka,king
344,nahalala,knew
189,mahafantatra,know
621,vehivavy,lady
659,farihy,lake
70,tany,land
399,fiteny,language
66,lehibe,large
224,farany,last
240,tara,late
379,nihomehy mihitsy,laugh
730,lalàna,law
482,mametraka,lay
408,mitarika,lead
213,mianatra,learn
610,kely indrindra,least
321,miala,leave
929,led,led
239,niala,left
562,tongotra,leg
516,lavany,length
474,kely kokoa,less
225,aoka,let
293,taratasy,letter
978,ambaratonga,level
745,lainga,lie
248,fiainana,life
848,atraka,lift
83,fahazavana,light
164,toy ny,like
137,tsipika,line
894,rano,liquid
310,lisitra,list
470,mihaino,listen
113,kely,little
109,velona,live
777,toerana,locate
895,midira,log
561,irery,lone
168,ela,long
175,mijery,look
635,very,lost
687,be dia be,lot
662,mafy,loud
487,fitiavana,love
136,ambany,low
411,milina,machine
108,nanao,made
909,andriamby,magnet
273,lehibe,main
835,lehibe,major
169,manao,make
116,ny olona,man
159,maro,many
493,sarintany,map
291,marika,mark
878,tsena,market
932,faobe,mass
851,tompony,master
913,lalao,match
550,fitaovana,material
528,zavatra,matter
195,mety,may
122,ahy,me
142,hoe,mean
896,natao,meant
323,mandrefy,measure
817,hena,meat
704,mivory,meet
601,hira fiderana,melody
80,ny olona,men
709,metaly,metal
672,fomba,method
656,afovoany,middle
233,mety,might
295,kilaometatra,mile
670,ronono,milk
591,tapitrisa,million
444,an-tsaina,mind
832,ny ahy,mine
441,minitra,minute
388,miss,miss
631,afangaro,mix
769,ankehitriny,modern
987,molekiola,molecule
660,fotoana,moment
489,vola,money
590,volana,month
364,volana,moon
176,bebe kokoa,more
475,maraina,morning
185,indrindra,most
94,ny reniny,mother
892,soratra masina,motion
566,tendrombohitra,mount
261,tendrombohitra,mountain
606,vava,mouth
144,hetsika,move
141,be,much
352,hahamaro,multiply
288,mozika,music
72,tsy maintsy,must
187,ny,my
126,anarana,name
668,firenena,nation
748,voajanahary,natural
889,toetra,nature
96,akaiky,near
802,ilaina,necessary
900,tendany,neck
86,mila,need
806,mpiara-belona,neighbor
223,na oviana na oviana,never
102,vaovao,new
277,manaraka,next
246,alina,night
975,sivy,nine
184,tsy,no
977,feo,noise
767,mitataovovonana,noon
947,na,nor
250,avaratra,north
996,orona,nose
412,fanamarihana,note
353,na inona na inona,nothing
499,filazana,notice
418,anarana iombonana,noun
199,ankehitriny,now
182,isa,number
328,anarana iombonana,numeral
360,zavatra,object
664,mandinika,observe
886,mitranga,occur
438,ranomasina,ocean
30,ny,of
85,eny,off
873,tolotra,offer
603,birao,office
292,matetika,often
435,ô,oh
626,menaka,oil
147,taloha,old
8,amin’ny,on
263,indray mandeha,once
14,iray,one
114,ihany,only
274,misokatra,open
760,miasa,operate
963,mifanohitra,opposite
27,na,or
338,mba,order
673,taova,organ
865,tany am-boalohany,original
38,hafa,other
124,ny,our
37,avy,out
188,ny,over
203,manokana,own
901,ôksizenina,oxygen
204,pejy,page
398,nandoko,paint
530,mpivady,pair
285,taratasy,paper
713,andinin-tsoratra,paragraph
853,ray aman-dreny,parent
104,fizarana,part
959,manokana,particular
774,antoko,party
345,nitranga,pass
584,ny lasa,past
893,lalana,path
484,fomba,pattern
674,vola,pay
186,ny olona,people
510,angamba,perhaps
782,fotoana,period
488,olona,person
734,andian-teny,phrase
511,haka,pick
88,sary,picture
342,kely,piece
930,dity,pitch
107,toerana,place
302,tani-hay,plain
414,drafitra,plan
375,fiaramanidina,plane
827,planeta,planet
214,fototra,plant
58,milalao,play
765,mba miangavy re,please
997,teny,plural
813,tononkalo,poem
93,hevitra,point
686,mahantra,poor
880,hameno,populate
65,seranan-tsambo,port
320,mametraka,pose
546,toerana,position
374,azo atao,possible
860,lahatsoratra,post
423,pound,pound
402,fahefana,power
761,fanao,practice
994,hiomana,prepare
542,ankehitriny,present
244,mpanao gazety,press
904,tsara tarehy,pretty
842,printy,print
503,inoana,probable
341,olana,problem
759,dingana,process
448,voka-pambolena sy fiompiana,produce
325,vokatra,product
871,iombonana,proper
985,fananana,property
766,miaro,protect
560,manaporofo,prove
795,manome,provide
497,sintony,pull
711,atoseho,push
61,mametraka,put
974,litatra,quart
331,fanontaniana,question
436,haingana,quick
680,mangina,quiet
653,tena,quite
897,quotient,quotient
554,hazakazaka,race
784,onjam-peo,radio
793,lalamby,rail
494,orana,rain
707,atsangano,raise
382,nihazakazaka,ran
890,isan-karazany,range
809,fa,rather
466,hahatratra,reach
63,vakio,read
306,vonona,ready
247,tena,real
515,antony,reason
604,mandray,receive
370,rakitsoratra,record
309,mena,red
520,faritra,region
459,tsarovy,remember
991,avereno,repeat
884,navalin’i,reply
517,maneho,represent
992,mitaky,require
420,fitsaharana,rest
722,vokatra,result
756,manan-karena,rich
507,mitaingina,ride
145,marina,right
778,peratra,ring
623,mitsangana,rise
296,ony,river
492,lalana,road
337,vato,rock
739,horonam-boky,roll
256,efitra,room
705,faka,root
935,tady,rope
840,nitsangana,rose
115,manodidina,round
605,ny laharana,row
818,rub,rub
495,fitsipika,rule
241,run,run
725,azo antoka,safe
47,nanao hoe:,said
549,niondrana an-tsambo,sail
995,sira,salt
149,toy izany koa,same
737,fasika,sand
572,sat,sat
648,afa-,save
235,tsofa,saw
134,milaza,say
661,ambaratonga,scale
209,am-pianarana,school
254,ny siansa,science
926,maty,score
237,ranomasina,sea
837,fikarohana,search
907,vanim-potoana,season
949,seza,seat
300,faharoa,second
676,faritra,section
171,jereo,see
615,voa,seed
275,toa,seem
874,ampahany,segment
988,mifidy,select
98,tena,self
954,mivarotra,sell
838,handefa,send
750,hevitra,sense
640,naniraka,sent
131,didim-pitsarana,sentence
762,misaraka,separate
490,manompo,serve
52,napetraka,set
523,hanorim-ponenana,settle
712,fito,seven
478,maro,several
715,dia,shall
385,endrika,shape
866,anjara,share
803,maranitra,sharp
150,izy,she
856,lamba,sheet
899,akorandriaka,shell
984,hamirapiratra,shine
334,sambo,ship
965,kiraro,shoe
981,fivarotana,shop
854,eny an-tanety,shore
327,fohy,short
205,tokony,should
966,soroka,shoulder
612,manaova feo fifaliana,shout
119,fampisehoana,show
197,lafiny,side
284,fahitana,sight
582,famantarana,sign
735,mangina,silent
910,volafotsy,silver
923,mitovy,similar
477,tsotra,simple
346,satria,since
469,mihira,sing
692,tokan-tena,single
919,rahavavy,sister
553,mipetraka,sit
471,enina,six
521,habeny,size
905,fahaiza-manao,skill
696,hoditra,skin
568,lanitra,sky
875,mpanompo,slave
559,torimaso,sleep
936,taratasy mi-,slip
485,miadana,slow
59,kely,small
945,manimbolo,smell
697,tsiky,smile
391,oram-panala,snow
165,izany,so
585,malefaka,soft
738,nofon-tany,soil
758,miaramila,soldier
908,vahaolana,solution
708,mamaha,solve
23,ny sasany,some
658,zazalahy,son
322,hira,song
315,tsy ho ela,soon
183,feo,sound
340,atsimo,south
450,toerana,space
524,miteny,speak
443,manokana,special
888,miteny,speech
671,hafainganam-pandeha,speed
67,tsipelina,spell
861,mandany,spend
785,niteny,spoke
844,toerana,spot
967,fielezan’ny,spread
663,lohataona,spring
514,kianja,square
202,mitsangana,stand
416,kintana,star
232,nanomboka,start
220,fanjakana,state
867,peo,station
355,mijanona,stay
376,hisolo,stead
891,etona,steam
920,vy,steel
460,dingana,step
693,tapa-kazo,stick
212,mbola,still
681,vato,stone
427,nitsangana,stood
262,mijanòna,stop
556,fivarotana,store
234,tantara,story
666,mahitsy,straight
598,hafahafa,strange
822,stream,stream
350,teny an-dalana,street
982,mihinjitra,stretch
814,kofehy,string
442,mahery,strong
772,mpianatra,student
211,fianarana,study
519,foto-kevitra,subject
857,fananana,substance
957,analana,subtract
955,fahombiazana,success
75,toy izany,such
512,tampoka,sudden
914,suffix,suffix
902,siramamy,sugar
618,hevitra,suggest
846,niantso ny fiangonany,suit
557,fahavaratra,summer
217,masoandro,sun
775,famatsiana,supply
887,fanohanana,support
268,azo antoka,sure
362,ambonin’ny,surface
679,tsy nampoizina,surprise
961,milomano,swim
533,vanin,syllable
608,famantarana,symbol
367,rafitra,system
472,latabatra,table
447,rambo,tail
105,handray,take
313,lahateny,talk
736,lava,tall
430,mampianatra,teach
632,ekipa,team
898,nify,teeth
50,milaza,tell
740,mari-pana,temperature
476,folo,ten
962,teny,term
369,fitsapana,test
191,noho ny,than
911,misaotra,thank
4,fa,that
29,ny,the
42,ny,their
161,azy ireo,them
160,avy eo,then
152,ery,there
166,ireo,these
11,izy ireo,they
757,matevina,thick
825,manify,thin
170,zavatra,thing
133,mieritreritra,think
714,fahatelo,third
16,izany,this
289,ireo,those
311,aza,though
226,nihevitra,thought
380,arivo,thousand
53,telo,three
128,ny alalan ’,through
983,hitora,throw
797,dia toy izany no,thus
833,karavato,tie
43,fotoana,time
682,kely,tiny
392,kodiarana,tire
31,ny,to
276,miara-,together
343,nilaza,told
616,fiteny,tone
148,koa,too
253,naka,took
942,fitaovana,tool
347,ambony,top
943,tanteraka,total
628,mikasika,touch
480,amin’ny,toward
403,tanàna,town
852,lalana,track
600,varotra,trade
558,fiaran-dalamby,train
473,tsangatsangana,travel
228,hazo,tree
826,telozoro,triangle
602,saran-dalana,trip
611,olana,trouble
976,kamiao,truck
455,marina,true
89,manandrana,try
819,fantsona,tube
139,indray,turn
695,roa-polo,twenty
173,roa,two
729,karazany,type
125,eo ambany,under
401,vondrona,unit
294,mandra-,until
154,ny,up
90,antsika,us
155,fampiasana,use
304,mahazatra,usual
946,dohasaha,valley
743,danja,value
522,tsy mitovy,vary
468,ny matoanteny amin’ny,verb
127,tena,very
749,view,view
703,tanàna,village
583,fitsidihana,visit
500,feo,voice
479,zanatsoratra,vowel
413,miandry,wait
282,mandeha,walk
564,rindrina,wall
54,te,want
481,ady,war
439,mafana,warm
6,dia,was
807,wash,wash
269,mijery,watch
190,rano,water
538,alon,wave
157,fomba,way
35,izahay,we
637,mitondra,wear
589,toetrandro,weather
431,herinandro,week
525,lanja,weight
56,tsara,well
82,nandeha,went
39,ireo,were
463,andrefana,west
22,inona,what
356,kodiarana,wheel
153,rahoviana,when
110,izay,where
710,na,whether
40,izay,which
243,raha,while
278,fotsy,white
194,izay,who
348,rehetra,whole
776,izay,whose
78,antony,why
548,malalaka,wide
964,vadiny,wife
574,bibidia,wild
45,ho,will
937,win,win
330,rivotra,wind
555,varavarankely,window
804,elatra,wing
571,ririnina,winter
633,tariby,wire
567,maniry,wish
10,amin’ny,with
799,vehivavy,woman
906,vehivavy,women
378,manontany tena,wonder
752,dia tsy,won’t
272,hazo,wood
20,teny,word
103,asa,work
95,izao tontolo izao,world
163,te,would
162,manoratra,write
573,voasoratra,written
989,diso,wrong
614,nanoratra,wrote
622,tokontany,yard
117,taona,year
839,mavo,yellow
394,eny,yes
537,nefa,yet
26,ianao,you
305,tanora,young
156,ny,your
