number,greek,english
952,διάγραμμα,chart
383,έλεγχος,check
881,κοτοπουλάκι,chick
829,επικεφαλής,chief
665,παιδί,child
279,παιδιά,children
641,επιλέξτε,choose
862,χορδή,chord
529,κύκλο,circle
227,πόλη,city
999,αξίωση,claim
329,κατηγορία,class
619,καθαρό,clean
446,σαφής,clear
683,ανάβαση,climb
831,ρολόι,clock
245,κοντά,close
597,ντύσει,clothe
678,cloud,cloud
732,ακτή,coast
931,παλτό,coat
498,κρύο,cold
647,συλλέγουν,collect
830,αποικία,colony
270,χρώμα,color
986,στήλη,column
180,έρχονται,come
372,κοινός,common
956,η εταιρεία,company
812,συγκρίνετε,compare
333,πλήρης,complete
940,κατάσταση,condition
859,συνδεθείτε,connect
728,σκεφτείτε,consider
667,σύμφωνο,consonant
428,περιέχουν,contain
1000,ήπειρο,continent
950,συνεχίσει,continue
649,ελέγχου,control
719,μάγειρας,cook
684,δροσερό,cool
733,αντίγραφο,copy
811,καλαμπόκι,corn
773,γωνία,corner
421,σωστός,correct
634,κόστος,cost
971,βαμβάκι,cotton
178,θα μπορούσε,could
513,μετράνε,count
206,χώρα,country
354,πορεία,course
215,κάλυμμα,cover
579,αγελάδα,cow
698,πτυχή,crease
805,δημιουργήσετε,create
768,καλλιέργεια,crop
229,σταυρός,cross
810,πλήθος,crowd
409,κραυγή,cry
847,ρεύμα,current
267,κόψιμο,cut
868,μπαμπάς,dad
544,χορού,dance
754,κίνδυνο,danger
410,σκούρο,dark
177,ημέρα,day
843,νεκρός,dead
960,συμφωνία,deal
882,αγαπητός,dear
903,θάνατο,death
361,αποφασίζει,decide
650,δεκαδικό,decimal
363,βαθιά,deep
879,βαθμό,degree
816,εξαρτηθεί,depend
718,περιγράψει,describe
845,έρημο,desert
685,σχεδιασμός,design
973,καθοριστεί,determine
437,ανάπτυξη,develop
669,λεξικό,dictionary
181,έκανε,did
609,πεθαίνω,die
138,διαφέρουν,differ
763,δύσκολο,difficult
319,απευθείας,direct
921,συζητήσουν,discuss
395,μακρινές,distant
532,χάσματος,divide
855,διαίρεση,division
41,κάνει,do
764,γιατρός,doctor
51,κάνει,does
317,σκύλος,dog
921,δολάριο,dollar
424,done,done
242,μη,don’t
324,πόρτα,door
948,διπλό,double
196,κάτω,down
238,κλήρωση,draw
938,όνειρο,dream
677,φόρεμα,dress
885,ποτό,drink
426,drive,drive
539,πτώση,drop
377,ξηρό,dry
876,πάπια,duck
456,κατά τη διάρκεια της,during
49,κάθε,each
651,αυτί,ear
461,νωρίς,early
99,γη,earth
284,ευκολία,ease
397,ανατολικά,east
255,φάτε,eat
581,άκρο,edge
789,επίδραση,effect
506,αυγό,egg
702,οκτώ,eight
721,είτε,either
790,ηλεκτρικός,electric
770,στοιχείο,element
652,άλλος,else
60,τέλος,end
883,εχθρός,enemy
501,ενέργεια,energy
545,κινητήρας,engine
301,αρκετά,enough
834,εισάγετε,enter
639,ίση,equal
386,εξισώνουν,equate
915,ιδιαίτερα,especially
69,ακόμη,even
939,βράδυ,evening
958,εκδήλωση,event
308,πάντα,ever
120,κάθε,every
607,ακριβής,exact
283,παράδειγμα,example
613,εκτός,except
747,διεγείρει,excite
563,άσκηση,exercise
791,αναμένω,expect
925,εμπειρία,experience
688,πείραμα,experiment
222,μάτι,eye
271,πρόσωπο,face
449,γεγονός,fact
645,δίκαιος,fair
407,πτώση,fall
318,οικογένεια,family
820,διάσημος,famous
236,σήμερα,far
230,αγρόκτημα,farm
467,γρήγορα,fast
863,λίπος,fat
100,ο πατέρας,father
858,ευνοούν,favor
823,φόβος,fear
941,ζωοτροφές,feed
312,αισθάνονται,feel
298,πόδια,feet
642,έπεσε,fell
534,αισθάνθηκε,felt
249,λίγα,few
419,τομέα,field
916,σύκο,fig
744,αγώνα,fight
415,εικόνα,figure
396,συμπληρώστε,fill
432,τελικό,final
200,βρείτε,find
404,πρόστιμο,fine
741,δάχτυλο,finger
593,φινίρισμα,finish
339,φωτιά,fire
193,πρώτη,first
260,ψάρι,fish
643,ταιριάζει,fit
458,πέντε,five
694,επίπεδη,flat
720,πάτωμα,floor
644,ροή,flow
596,λουλούδι,flower
406,πετάξει,fly
76,ακολουθήστε,follow
216,τροφίμων,food
366,πόδι,foot
7,για,for
358,δύναμη,force
552,δάσος,forest
130,μορφή,form
922,προς τα εμπρός,forward
207,βρέθηκαν,found
218,τέσσερα,four
551,κλάσμα,fraction
440,δωρεάν,free
836,φρέσκο,fresh
257,φίλος,friend
17,από,from
429,μπροστά,front
755,φρούτα,fruit
357,πλήρους,full
586,διασκέδαση,fun
384,παιχνίδι,game
638,κήπο,garden
588,αερίου,gas
980,συγκεντρώσει,gather
433,έδωσε,gave
526,γενικές,general
798,ευγενής,gentle
106,πάρετε,get
303,κορίτσι,girl
123,δώσει,give
864,ευτυχής,glad
577,ποτήρι,glass
179,πηγαίνω,go
373,χρυσό,gold
599,φύγει,gone
121,καλός,good
281,πήρε,got
496,διέπουν,govern
535,grand,grand
578,γρασίδι,grass
990,γκρί,gray
132,μεγάλος,great
434,πράσινος,green
629,μεγάλωσε,grew
464,έδαφος,ground
286,ομάδα,group
210,μεγαλώνουν,grow
801,υποθέτω,guess
924,καθοδηγήσει,guide
840,όπλο,gun
28,είχε,had
717,μαλλιά,hair
336,ήμισυ,half
64,χέρι,hand
332,συμβεί,happen
594,ευτυχισμένος,happy
231,σκληρά,hard
174,έχει,has
953,καπέλο,hat
15,έχω,have
5,αυτός,he
201,κεφάλι,head
265,ακούστε,hear
451,ακούσει,heard
540,καρδιά,heart
390,θερμότητα,heat
543,βαριά,heavy
716,χειρός,held
135,βοηθήσει,help
167,της,her
71,εδώ,here
74,υψηλός,high
724,λόφος,hill
172,τον,him
3,του,his
788,ιστορία,history
771,χτύπημα,hit
462,κρατήστε,hold
699,τρύπα,hole
62,σπίτι,home
595,ελπίζω,hope
266,άλογο,horse
19,hot,hot
387,ζεστό,hot
453,ώρα,hour
87,σπίτι,house
46,πως,how
918,τεράστια,huge
787,ανθρώπινη,human
457,εκατό,hundred
502,κυνήγι,hunt
828,βιασύνη,hurry
2,εδώ,i
527,πάγος,ice
259,ιδέα,idea
44,αν,if
794,φανταστείτε,imagine
34,σε,in
351,ιντσών,inch
531,περιλαμβάνουν,include
783,υποδεικνύουν,indicate
742,βιομηχανία,industry
780,έντομο,insect
877,στιγμιαία,instant
575,οργάνου,instrument
465,ενδιαφέρον,interest
970,εφεύρουν,invent
691,σίδερο,iron
24,είναι,is
365,νησί,island
25,το,it
580,δουλειά,job
617,ένωση,join
570,χαρά,joy
700,άλμα,jump
129,μόνο,just
221,κρατήσετε,keep
576,φυλάσσονται,kept
690,κλειδί,key
657,σκοτώνουν,kill
84,είδος,kind
349,βασιλιά,king
344,ήξερε,knew
189,ξέρετε,know
621,η κυρία,lady
659,λίμνη,lake
70,γη,land
399,γλώσσα,language
66,μεγάλες,large
224,τελευταία,last
240,αργά,late
379,γέλιο,laugh
730,του νόμου,law
482,θέσει,lay
408,οδηγήσει,lead
213,μάθετε,learn
610,τουλάχιστον,least
321,αφήστε,leave
929,οδήγησε,led
239,αριστερά,left
562,πόδι,leg
516,μήκος,length
474,λιγότερο,less
225,ας,let
293,γράμμα,letter
978,επίπεδο,level
745,ψέμα,lie
248,ζωή,life
848,ανελκυστήρα,lift
83,φως,light
164,σαν,like
137,γραμμή,line
894,υγρό,liquid
310,λίστα,list
470,ακούστε,listen
113,λίγο,little
109,ζω,live
777,εντοπίσετε,locate
895,συνδεθείτε,log
561,μοναχικός,lone
168,μακρά,long
175,δείτε,look
635,χαμένος,lost
687,πολλά,lot
662,δυνατά,loud
487,αγάπη,love
136,χαμηλής,low
411,μηχανή,machine
108,που,made
909,μαγνήτη,magnet
273,κύρια,main
835,μεγάλες,major
169,κάνω,make
116,άνθρωπος,man
159,πολλά,many
493,χάρτης,map
291,σήμα,mark
878,αγορά,market
932,μάζα,mass
851,κύριος,master
913,αγώνα,match
550,υλικό,material
528,θέμα,matter
195,μπορεί,may
122,μου,me
142,σημαίνει,mean
896,σήμαινε,meant
323,μέτρο,measure
817,κρέας,meat
704,πληρούν,meet
601,μελωδία,melody
80,άνδρες,men
709,μετάλλων,metal
672,μέθοδος,method
656,μέση,middle
233,θα μπορούσε,might
295,μίλι,mile
670,γάλα,milk
591,εκατομμύρια,million
444,νου,mind
832,ορυχείο,mine
441,λεπτό,minute
388,δεσποινίς,miss
631,αναμίξτε,mix
769,σύγχρονος,modern
987,μόριο,molecule
660,στιγμή,moment
489,χρήματα,money
590,μήνα,month
364,φεγγάρι,moon
176,περισσότερα,more
475,πρωί,morning
185,πλέον,most
94,η μητέρα,mother
892,κίνηση,motion
566,mount,mount
261,βουνό,mountain
606,το στόμα,mouth
144,κίνηση,move
141,πολύ,much
352,πολλαπλασιάστε,multiply
288,μουσική,music
72,πρέπει,must
187,μου,my
126,όνομα,name
668,έθνος,nation
748,φυσικές,natural
889,φύση,nature
96,κοντά,near
802,απαραίτητο,necessary
900,λαιμό,neck
86,ανάγκη,need
806,γείτονας,neighbor
223,ποτέ,never
102,νέα,new
277,επόμενος,next
246,νύχτα,night
975,εννέα,nine
184,δεν,no
977,θόρυβο,noise
767,το μεσημέρι,noon
947,ούτε,nor
250,βόρεια,north
996,μύτη,nose
412,σημείωση,note
353,τίποτα,nothing
499,ειδοποίηση,notice
418,όνομα,noun
199,τώρα,now
182,αριθμός,number
328,αριθμητικό,numeral
360,αντικείμενο,object
664,παρατηρώ,observe
886,συμβαίνουν,occur
438,ωκεανός,ocean
30,από,of
85,απενεργοποίηση,off
873,προσφορά,offer
603,γραφείο,office
292,συχνά,often
435,αμάν,oh
626,πετρελαίου,oil
147,γριά,old
8,επί,on
263,μια φορά,once
14,ένας,one
114,μόνο,only
274,ανοιχτή,open
760,λειτουργούν,operate
963,απέναντι,opposite
27,ή,or
338,για,order
673,οργάνου,organ
865,πρωτότυπο,original
38,άλλα,other
124,μας,our
37,από,out
188,πέρα,over
203,δική,own
901,οξυγόνο,oxygen
204,σελίδα,page
398,ζωγραφίσει,paint
530,ζεύγος,pair
285,χαρτί,paper
713,παράγραφο,paragraph
853,μητρική εταιρεία,parent
104,μέρος,part
959,ειδικότερα,particular
774,κόμμα,party
345,περάσει,pass
584,παρελθόν,past
893,μονοπάτι,path
484,μοτίβο,pattern
674,πληρωμή,pay
186,άνθρωποι,people
510,ίσως,perhaps
782,περίοδο,period
488,πρόσωπο,person
734,φράση,phrase
511,επιλέξτε,pick
88,εικόνα,picture
342,κομμάτι,piece
930,γήπεδο,pitch
107,θέση,place
302,απλό,plain
414,σχέδιο,plan
375,αεροπλάνο,plane
827,πλανήτης,planet
214,φυτό,plant
58,παιχνίδι,play
765,παρακαλώ,please
997,πληθυντικός,plural
813,ποίημα,poem
93,σημείο,point
686,φτωχός,poor
880,συμπληρώσετε,populate
65,λιμάνι,port
320,ενέχουν,pose
546,θέση,position
374,δυνατός,possible
860,μετά,post
423,λίρα,pound
402,δύναμη,power
761,πρακτική,practice
994,προετοιμασία,prepare
542,παρόν,present
244,τύπου,press
904,αρκετά,pretty
842,αποτύπωμα,print
503,πιθανή,probable
341,πρόβλημα,problem
759,διαδικασία,process
448,παράγουν,produce
325,προϊόν,product
871,κατάλληλος,proper
985,ακίνητα,property
766,προστασία,protect
560,αποδειχθούν,prove
795,παρέχουν,provide
497,τραβήξτε,pull
711,ώθηση,push
61,που,put
974,λίτρο,quart
331,ερώτηση,question
436,γρήγορα,quick
680,ήσυχο,quiet
653,αρκετά,quite
897,πηλίκο,quotient
554,φυλή,race
784,ράδιο,radio
793,σιδηροδρομικές,rail
494,βροχή,rain
707,αύξηση,raise
382,έτρεξε,ran
890,εύρος,range
809,μάλλον,rather
466,φτάσουν,reach
63,διαβάστε,read
306,έτοιμο,ready
247,πραγματική,real
515,λόγος,reason
604,λαμβάνω,receive
370,ρεκόρ,record
309,κόκκινο,red
520,περιοχή,region
459,θυμηθείτε,remember
991,επανάληψη,repeat
884,απάντηση,reply
517,εκπροσωπώ,represent
992,απαιτούν,require
420,ανάπαυση,rest
722,αποτέλεσμα,result
756,πλούσιος,rich
507,βόλτα,ride
145,δεξιά,right
778,δαχτυλίδι,ring
623,αυξηθεί,rise
296,ποτάμι,river
492,δρόμος,road
337,βράχος,rock
739,ρολό,roll
256,δωμάτιο,room
705,ρίζα,root
935,σκοινί,rope
840,τριαντάφυλλο,rose
115,γύρος,round
605,σειρά,row
818,τρίψιμο,rub
495,κανόνας,rule
241,τρέχει,run
725,ασφαλής,safe
47,είπε,said
549,ιστίο,sail
995,αλάτι,salt
149,ίδιο,same
737,άμμου,sand
572,σαβ,sat
648,αποθηκεύσετε,save
235,πριόνι,saw
134,λένε,say
661,κλίμακα,scale
209,σχολείο,school
254,επιστήμη,science
926,σκορ,score
237,θάλασσα,sea
837,αναζήτηση,search
907,εποχή,season
949,κάθισμα,seat
300,δεύτερη,second
676,τμήμα,section
171,βλέπω,see
615,σπόρων,seed
275,φαίνεται,seem
874,τμήμα,segment
988,επιλέξτε,select
98,αυτο,self
954,πωλήσει,sell
838,στείλετε,send
750,νόημα,sense
640,αποστέλλονται,sent
131,φράση,sentence
762,ξεχωριστός,separate
490,εξυπηρετούν,serve
52,σετ,set
523,εγκατασταθούν,settle
712,επτά,seven
478,αρκετές,several
715,θα,shall
385,σχήμα,shape
866,μετοχή,share
803,αιχμηρός,sharp
150,που,she
856,φύλλο,sheet
899,κέλυφος,shell
984,λάμψη,shine
334,πλοίο,ship
965,παπούτσι,shoe
981,κατάστημα,shop
854,ακτή,shore
327,σύντομο,short
205,θα πρέπει να,should
966,ώμο,shoulder
612,κραυγή,shout
119,σόου,show
197,πλευρά,side
284,όραση,sight
582,πινακίδα,sign
735,σιωπηλή,silent
910,ασήμι,silver
923,παρόμοια,similar
477,απλό,simple
346,από,since
469,τραγουδώ,sing
692,ενιαίου,single
919,αδελφή,sister
553,καθίσει,sit
471,έξι,six
521,μέγεθος,size
905,επιδεξιότητα,skill
696,δέρματος,skin
568,ουρανό,sky
875,δούλος,slave
559,ύπνου,sleep
936,ολίσθησης,slip
485,αργή,slow
59,μικρό,small
945,μυρωδιά,smell
697,χαμόγελο,smile
391,χιόνι,snow
165,έτσι,so
585,μαλακός,soft
738,χώμα,soil
758,στρατιώτης,soldier
908,λύση,solution
708,επιλύσει,solve
23,περίπου,some
658,ο γιος,son
322,τραγούδι,song
315,σύντομα,soon
183,ήχος,sound
340,νότια,south
450,χώρο,space
524,μιλούν,speak
443,ειδικός,special
888,ομιλία,speech
671,ταχύτητα,speed
67,σημάνει,spell
861,ξοδεύουν,spend
785,μίλησε,spoke
844,σημείο,spot
967,διάδοση,spread
663,άνοιξη,spring
514,πλατεία,square
202,στάση,stand
416,αστέρι,star
232,αρχή,start
220,κατάσταση,state
867,σταθμός,station
355,μείνετε,stay
376,αντ ’,stead
891,ατμού,steam
920,χάλυβας,steel
460,βήμα,step
693,ραβδί,stick
212,ακόμα,still
681,πέτρα,stone
427,στάθηκε,stood
262,στάση,stop
556,κατάστημα,store
234,ιστορία,story
666,ευθεία,straight
598,παράξενα,strange
822,ρεύμα,stream
350,δρόμος,street
982,τέντωμα,stretch
814,κορδόνι,string
442,ισχυρή,strong
772,φοιτητής,student
211,μελέτη,study
519,θέμα,subject
857,ουσία,substance
957,αφαιρέστε,subtract
955,επιτυχία,success
75,όπως,such
512,ξαφνική,sudden
914,επίθημα,suffix
902,ζάχαρη,sugar
618,προτείνουν,suggest
846,κοστούμι,suit
557,καλοκαίρι,summer
217,ήλιος,sun
775,προμήθεια,supply
887,υποστήριξη,support
268,βέβαιος,sure
362,επιφάνεια,surface
679,έκπληξη,surprise
961,κολύμπι,swim
533,συλλαβή,syllable
608,σύμβολο,symbol
367,σύστημα,system
472,τραπέζι,table
447,ουρά,tail
105,λαμβάνουν,take
313,συζήτηση,talk
736,ψηλός,tall
430,διδάξουν,teach
632,η ομάδα,team
898,δόντια,teeth
50,πείτε,tell
740,θερμοκρασία,temperature
476,δέκα,ten
962,όρος,term
369,δοκιμή,test
191,από,than
911,ευχαριστώ,thank
4,ότι,that
29,ο,the
42,τους,their
161,τους,them
160,τότε,then
152,εκεί,there
166,αυτά,these
11,αυτοί,they
757,παχύ,thick
825,λεπτός,thin
170,πράγμα,thing
133,νομίζω,think
714,τρίτο,third
16,αυτό,this
289,εκείνοι,those
311,αν,though
226,σκέψης,thought
380,χιλιάδες,thousand
53,τρία,three
128,μέσω,through
983,ρίξει,throw
797,έτσι,thus
833,γραβάτα,tie
43,χρόνος,time
682,μικροσκοπικός,tiny
392,ελαστικών,tire
31,να,to
276,μαζί,together
343,είπε,told
616,τόνος,tone
148,πάρα πολύ,too
253,πήρε,took
942,εργαλείο,tool
347,κορυφή,top
943,σύνολο,total
628,αγγίζετε,touch
480,προς,toward
403,πόλη,town
852,κομμάτι,track
600,εμπόριο,trade
558,τρένο,train
473,ταξίδι,travel
228,δέντρο,tree
826,τρίγωνο,triangle
602,ταξίδι,trip
611,πρόβλημα,trouble
976,φορτηγό,truck
455,αληθής,true
89,δοκιμάστε,try
819,σωλήνα,tube
139,στροφή,turn
695,είκοσι,twenty
173,δυο,two
729,τύπος,type
125,υπό,under
401,μονάδα,unit
294,μέχρι,until
154,επάνω,up
90,μας,us
155,χρήση,use
304,συνήθεις,usual
946,κοιλάδα,valley
743,αξία,value
522,ποικίλλουν,vary
468,ρήμα,verb
127,πολύ,very
749,θέα,view
703,χωριό,village
583,επίσκεψη,visit
500,φωνή,voice
479,φωνήεν,vowel
413,περιμένετε,wait
282,με τα πόδια,walk
564,τοίχο,wall
54,θέλω,want
481,πόλεμο,war
439,ζεστό,warm
6,ήταν,was
807,πλύση,wash
269,παρακολουθήσετε,watch
190,νερό,water
538,κύμα,wave
157,τρόπος,way
35,εμείς,we
637,φθορά,wear
589,καιρός,weather
431,εβδομάδα,week
525,βάρος,weight
56,καλά,well
82,πήγε,went
39,ήταν,were
463,δυτικά,west
22,τι,what
356,τροχός,wheel
153,όταν,when
110,όπου,where
710,αν,whether
40,ο οποίος,which
243,ενώ,while
278,λευκό,white
194,που,who
348,ολόκληρο,whole
776,των οποίων,whose
78,γιατί,why
548,ευρύ,wide
964,γυναίκα,wife
574,άγρια,wild
45,θα,will
937,νίκη,win
330,άνεμος,wind
555,παράθυρο,window
804,φτερό,wing
571,χειμώνας,winter
633,σύρμα,wire
567,επιθυμούν,wish
10,με,with
799,γυναίκα,woman
906,γυναίκες,women
378,αναρωτιέμαι,wonder
752,δεν θα,won’t
272,ξύλο,wood
20,λέξη,word
103,εργασία,work
95,κόσμο,world
163,θα,would
162,γράφω,write
573,γραπτή,written
989,λάθος,wrong
614,έγραψε,wrote
622,αυλή,yard
117,έτους,year
839,κίτρινο,yellow
394,ναί,yes
537,ακόμη,yet
26,σας,you
305,νέους,young
156,σας,your
