number,xhosa,english
971,umqhaphu,cotton
178,nako,could
513,bala,count
206,ilizwe,country
354,ikhosi,course
215,isiciko,cover
579,inkomo,cow
698,ngokucha-,crease
805,dala,create
768,isivuno,crop
229,umnqamlezo,cross
810,isihlwele,crowd
409,isikhalo,cry
847,angoku,current
267,sika,cut
868,utata,dad
544,umdaniso,dance
754,ingozi,danger
410,mnyama,dark
177,usuku,day
843,ofileyo,dead
960,nesahlulo,deal
882,abathandekayo,dear
903,ukufa,death
361,gqiba,decide
650,wokugqibela,decimal
363,nzulu,deep
879,iqondo,degree
816,kuxhomekeka,depend
718,chaza,describe
845,intlango,desert
685,uyilo,design
973,ukumisela,determine
437,phuhlisa,develop
669,isichazi-magama,dictionary
181,wenza,did
609,kufa,die
138,kwahluka,differ
763,nzima,difficult
319,ngqo,direct
921,xoxa,discuss
395,kude,distant
532,yahlula,divide
855,ulwahlulo,division
41,ukwenza,do
764,ugqirha,doctor
51,ntoni,does
317,inja,dog
921,dollar,dollar
424,nzileyo,done
242,musa,don’t
324,ucango,door
948,kabini,double
196,phantsi,down
238,zoba,draw
938,iphupha,dream
677,isinxibo,dress
885,isiselo,drink
426,qhuba,drive
539,imenyu,drop
377,omile,dry
876,idada,duck
456,ngexesha,during
49,ngamnye,each
651,indlebe,ear
461,kusasa,early
99,umhlaba,earth
284,ukonwaba,ease
397,bucala ngasekhohlo,east
255,nidle,eat
581,isiphelo,edge
789,isiphumo,effect
506,iqanda,egg
702,sibhozo,eight
721,nokuba,either
790,ombane,electric
770,isiqalelo,element
652,enye,else
60,isiphelo,end
883,utshaba,enemy
501,amandla,energy
545,injini,engine
301,konele,enough
834,faka,enter
639,ngokulinganayo,equal
386,kungaba,equate
915,ngakumbi,especially
69,nokuba,even
939,ngokuhlwa,evening
958,isiganeko,event
308,kuze,ever
120,yonke,every
607,kanye,exact
283,umzekelo,example
613,ngaphandle,except
747,-nik’ihlombe,excite
563,umsebenzi,exercise
791,silindele,expect
925,amava,experience
688,umfuniselo,experiment
222,iliso,eye
271,ubuso,face
449,inyaniso,fact
645,lungile,fair
407,bawe,fall
318,usapho,family
820,dumile,famous
236,kude,far
230,ifama,farm
467,ngokukhawuleza,fast
863,amafutha,fat
100,utata,father
858,isisa,favor
823,uloyiko,fear
941,ifidi,feed
312,bazive,feel
298,iinyawo,feet
642,wawa,fell
534,waziva,felt
249,mbalwa,few
419,intsimi,field
916,ikhiwane,fig
744,umlo,fight
415,inani,figure
396,zalisa,fill
432,sokugqibela,final
200,fumana,find
404,isohlwayo,fine
741,umnwe,finger
593,entanjeni,finish
339,umlilo,fire
193,ekuqaleni,first
260,intlanzi,fish
643,ilingane,fit
458,ntlanu,five
694,iflethi,flat
720,umgangatho,floor
644,iiflowu,flow
596,intyatyambo,flower
406,impukane,fly
76,landela,follow
216,ukutya,food
366,unyawo,foot
7,kuba,for
358,amandla,force
552,ihlathi,forest
130,imo,form
922,phambili,forward
207,bafumana,found
218,ne,four
551,iqhezu,fraction
440,khulula,free
836,fresh,fresh
257,umhlobo,friend
17,ku,from
429,phambili,front
755,iziqhamo,fruit
357,ngokupheleleyo,full
586,ukonwaba,fun
384,umdlalo,game
638,igadi,garden
588,igesi,gas
980,ndibahlanganise,gather
433,wanika,gave
526,ngokubanzi,general
798,nobubele,gentle
106,fumana,get
303,intombazana,girl
123,nika,give
864,ndiyavuya,glad
577,iglasi,glass
179,ukuya,go
373,igolide,gold
599,phelile,gone
121,kulungile,good
281,wavuka,got
496,lawula,govern
535,grand,grand
578,ingca,grass
990,ngwevu,gray
132,kakhulu,great
434,luhlaza,green
629,wakhula,grew
464,umhlaba,ground
286,iqela,group
210,khula,grow
801,unokuthekelela,guess
924,khokela,guide
840,umpu,gun
28,kwafuneka,had
717,iinwele,hair
336,isiqingatha,half
64,isandla,hand
332,kwenzeka,happen
594,onwabile,happy
231,lukhuni,hard
174,unalo,has
953,umnqwazi,hat
15,kuba,have
5,yena,he
201,intloko,head
265,eniyivayo,hear
451,ndeva,heard
540,intliziyo,heart
390,ubushushu,heat
543,nzima,heavy
716,zabanjwa,held
135,nceda,help
167,yena,her
71,apha,here
74,phezulu,high
724,induli,hill
172,yena,him
3,yakhe,his
788,imbali,history
771,betha,hit
462,bamba,hold
699,umngxuma,hole
62,ikhaya,home
595,ithemba,hope
266,ihashe,horse
19,shushu,hot
387,shushu,hot
453,yure,hour
87,indlu,house
46,njani,how
918,enkulu,huge
787,umntu,human
457,ikhulu,hundred
502,ukuzingela,hunt
828,khawuleza,hurry
2,mna,i
527,umkhenkce,ice
259,uluvo,idea
44,ukuba,if
794,ucinge,imagine
34,e,in
351,intshi,inch
531,ziquka,include
783,zibonisa,indicate
742,ishishini,industry
780,isinambuzane,insect
877,ngephanyazo,instant
575,isixhobo,instrument
465,umdla,interest
970,abaliqulunqa,invent
691,intsimbi,iron
24,na,is
365,isiqithi,island
25,kuyo,it
580,umsebenzi,job
617,joyina,join
570,uvuyo,joy
700,xhuma,jump
129,nje,just
221,gcina,keep
576,zigcinwe,kept
690,isitshixo,key
657,bulala,kill
84,uhlobo,kind
349,ukumkani,king
344,wayesazi,knew
189,azi,know
621,inenekazi,lady
659,ichibi,lake
70,umhlaba,land
399,ulwimi,language
66,ezinkulu,large
224,kugqibela,last
240,kade,late
379,hleka,laugh
730,umthetho,law
482,beka,lay
408,ukukhokela,lead
213,funda,learn
610,ubuncinane,least
321,shiya,leave
929,i-led,led
239,khohlo,left
562,umlenze,leg
516,ubude,length
474,ngaphantsi,less
225,makhe,let
293,ileta,letter
978,kwinqanaba,level
745,ubuxoki,lie
248,ubomi,life
848,nyusa,lift
83,ukukhanya,light
164,ezifana,like
137,umgca,line
894,ulwelo,liquid
310,uluhlu,list
470,ukuphulaphula,listen
113,kancinane,little
109,phila,live
777,fumana,locate
895,ilog,log
561,eyedwa,lone
168,elide,long
175,khangela,look
635,ezilahlekileyo,lost
687,iqashiso,lot
662,elikhulu,loud
487,uthando,love
136,phantsi,low
411,umatshini,machine
108,yenziwe,made
909,imagnethi,magnet
273,eyona,main
835,enkulu,major
169,enza,make
116,indoda,man
159,ezininzi,many
493,imephu,map
291,uphawu,mark
878,imarike,market
932,ubunzima,mass
851,inkosi,master
913,umdlalo,match
550,imathiriyeli,material
528,umcimbi,matter
195,ucanzibe,may
122,mna,me
142,kuthetha,mean
896,kwakuthetha,meant
323,umlinganiselo,measure
817,inyama,meat
704,dibana,meet
601,uncuthu lwengoma,melody
80,amadoda,men
709,isinyithi,metal
672,indlela yokwenza,method
656,phakathi,middle
233,amandla,might
295,imayile,mile
670,ubisi,milk
591,kwezigidi,million
444,ingqondo,mind
832,yam,mine
441,mzuzu,minute
388,khumbula,miss
631,xuba,mix
769,yanamhlanje,modern
987,zinemoletyhule,molecule
660,umzuzu,moment
489,imali,money
590,inyanga,month
364,inyanga,moon
176,kaninzi,more
475,ntseni,morning
185,uninzi,most
94,umama,mother
892,isindululo,motion
566,entabeni,mount
261,intaba,mountain
606,umlomo,mouth
144,shukuma,move
141,kakhulu,much
352,kuyandisa,multiply
288,umculo,music
72,kufuneka,must
187,yam,my
126,igama,name
668,isizwe,nation
748,endalo,natural
889,indalo,nature
96,kufutshane,near
802,kuyimfuneko,necessary
900,intamo,neck
86,imfuneko,need
806,ummelwane,neighbor
223,soze,never
102,olutsha,new
277,okulandelayo,next
246,busuku,night
975,thoba,nine
184,hayi,no
977,ingxolo,noise
767,emini enkulu,noon
947,okanye,nor
250,mantla,north
996,impumlo,nose
412,phawula,note
353,akukho nto,nothing
499,isaziso,notice
418,isibizo,noun
199,ngoku,now
182,inani,number
328,inani,numeral
360,into,object
664,qaphela,observe
886,zenzeka,occur
438,ocean,ocean
30,ye,of
85,off,off
873,umnikelo,offer
603,iofisi,office
292,rhoqo,often
435,oh,oh
626,ioyile,oil
147,ubudala,old
8,phezu,on
263,kanye,once
14,nye,one
114,kuphela,only
274,vula,open
760,ukusebenza,operate
963,malunga,opposite
27,okanye,or
338,umyalelo,order
673,ilungu lomzimba,organ
865,original,original
38,omnye,other
124,yethu,our
37,phandle,out
188,phezu,over
203,yakhe,own
901,ioksijini,oxygen
204,iphepha,page
398,ukupeyinta,paint
530,iperi,pair
285,iphepha,paper
713,umhlathi,paragraph
853,umzali,parent
104,inxalenye,part
959,kanye,particular
774,iqela,party
345,kwathi,pass
584,elidlulileyo,past
893,indlela,path
484,ipatheni,pattern
674,hlawula,pay
186,abantu,people
510,mhlawumbi,perhaps
782,ixesha,period
488,umntu,person
734,ibinzana,phrase
511,ukcola,pick
88,umfanekiso,picture
342,iqhekeza,piece
930,lokuqhubekeka,pitch
107,indawo,place
302,cacile,plain
414,iplani,plan
375,moya,plane
827,iplanethi,planet
214,isityalo,plant
58,umdlalo,play
765,ndiyacela,please
997,isininzi,plural
813,umbongo,poem
93,indawo,point
686,amahlwempu,poor
880,bazalise,populate
65,izibuko,port
320,woku-,pose
546,indawo,position
374,nokwenzeka,possible
860,isikhundla,post
423,isikiti,pound
402,amandla,power
761,ukwenza,practice
994,lungiselela,prepare
542,isipho,present
244,cinezela,press
904,intle,pretty
842,ushicilelo,print
503,mhlawumbi,probable
341,ingxaki,problem
759,inkqubo,process
448,velisa,produce
325,imveliso,product
871,eyiyo,proper
985,ipropati,property
766,khusela,protect
560,zingqina,prove
795,ukubonelela,provide
497,tsala,pull
711,dudula,push
61,beka,put
974,nelitha,quart
331,umbuzo,question
436,ngokukhawuleza,quick
680,zolile,quiet
653,kakhulu,quite
897,quotient,quotient
554,uhlanga,race
784,unomathotholo,radio
793,ngololiwe,rail
494,imvula,rain
707,ukunyusa,raise
382,wabaleka,ran
890,uluhlu,range
809,kunokuba,rather
466,ukufikelela,reach
63,funda,read
306,lungele,ready
247,yenene,real
515,isizathu,reason
604,kufumana,receive
370,irekhodi,record
309,bomvu,red
520,ummandla,region
459,khumbula,remember
991,phinda,repeat
884,impendulo,reply
517,mela,represent
992,funa,require
420,phumla,rest
722,isiphumo,result
756,tyebile,rich
507,ukukhwela,ride
145,kunene,right
778,umsesane,ring
623,phakama,rise
296,umlambo,river
492,indlela,road
337,iliwa,rock
739,umqulu,roll
256,igumbi,room
705,ingcambu,root
935,intambo,rope
840,wavuka,rose
115,ngqukuva,round
605,ukrozo,row
818,hlikihla,rub
495,umthetho,rule
241,baleka,run
725,ekhuselekileyo,safe
47,wathi,said
549,iseyile,sail
995,ityuwa,salt
149,enye,same
737,isanti,sand
572,wahlala,sat
648,gcina,save
235,isarha,saw
134,ithi,say
661,isikali,scale
209,isikolo,school
254,inzululwazi,science
926,inqaku,score
237,ulwandle,sea
837,ukufuna,search
907,ixesha lonyaka,season
949,isihlalo,seat
300,isibini,second
676,icandelo,section
171,khangela,see
615,imbewu,seed
275,ngathi,seem
874,segment,segment
988,khetha,select
98,ukuzeyisa,self
954,thengisa,sell
838,thumela,send
750,intsingiselo,sense
640,wathumela,sent
131,isigwebo,sentence
762,eyahlukileyo,separate
490,khonza,serve
52,iseti,set
523,lungisa,settle
712,sixhenxe,seven
478,eziliqela,several
715,uya,shall
385,ukumila,shape
866,isabelo,share
803,ezibukhali,sharp
150,yena,she
856,ishiti,sheet
899,iqokobhe,shell
984,ukukhanya,shine
334,inqanawa,ship
965,isihlangu,shoe
981,ivenkile,shop
854,unxweme,shore
327,mfutshane,short
205,kufuneka,should
966,igxalaba,shoulder
612,amayeyeye,shout
119,bonisa,show
197,icala,side
284,ukubona,sight
582,uphawu,sign
735,cwaka,silent
910,isilivere,silver
923,ezifanayo,similar
477,elula,simple
346,ukususela,since
469,cula,sing
692,enye,single
919,usisi,sister
553,hlala,sit
471,ntandathu,six
521,ubungakanani,size
905,ubuchule,skill
696,ulusu,skin
568,isibhakabhaka,sky
875,ikhoboka,slave
559,ukulala,sleep
936,isiliphu,slip
485,olucothayo,slow
59,amancinane,small
945,ivumba,smell
697,uncumo,smile
391,ikhephu,snow
165,ukuze,so
585,ezithambileyo,soft
738,umhlaba,soil
758,ijoni,soldier
908,isisombululo,solution
708,sombulula,solve
23,ezinye,some
658,unyana,son
322,ingoma,song
315,msinyane,soon
183,isandi,sound
340,mazantsi,south
450,isithuba,space
524,thetha,speak
443,ezikhethekileyo,special
888,intetho,speech
671,isantya,speed
67,pela,spell
861,chitha,spend
785,wathetha,spoke
844,ibala,spot
967,sasaza,spread
663,intlakohlaza,spring
514,isikwere,square
202,yima,stand
416,inkwenkwezi,star
232,ukuqala,start
220,imeko,state
867,isitishi,station
355,ukuhlala,stay
376,esikhundleni,stead
891,umphunga,steam
920,intsimbi,steel
460,inyathelo,step
693,intonga,stick
212,nangoku,still
681,ilitye,stone
427,wema,stood
262,yeka,stop
556,ivenkile,store
234,ibali,story
666,ngqo,straight
598,engaqhelekanga,strange
822,umlambo,stream
350,isitalato,street
982,kumgama,stretch
814,umtya,string
442,olomeleleyo,strong
772,umfundi,student
211,isifundo,study
519,isifundo,subject
857,into,substance
957,thabatha,subtract
955,impumelelo,success
75,ezifana,such
512,ngequbuliso,sudden
914,isimamva,suffix
902,iswekile,sugar
618,bacebisa,suggest
846,isuti,suit
557,ihlobo,summer
217,ilanga,sun
775,isibonelelo,supply
887,inkxaso,support
268,qiniseka,sure
362,umphandle,surface
679,ndamangaliswa,surprise
961,qubha,swim
533,nelungu,syllable
608,umqondiso,symbol
367,isixokelelwano,system
472,itafile,table
447,umsila,tail
105,thabatha,take
313,thetha,talk
736,emide,tall
430,fundisa,teach
632,iqela,team
898,amazinyo,teeth
50,xelela,tell
740,iqondo lobushushu,temperature
476,shumi,ten
962,ikota,term
369,uvavanyo,test
191,ngaphezu,than
911,bulela,thank
4,ukuba,that
29,le,the
42,zabo,their
161,bona,them
160,ngelo xesha,then
152,pha,there
166,ezi,these
11,bona,they
757,zamafu,thick
825,angamarhoqorhoqo,thin
170,into,thing
133,cinga,think
714,isithathu,third
16,le,this
289,abo,those
311,nangona,though
226,ingcinga,thought
380,iwaka,thousand
53,ntathu,three
128,ngokusebenzisa,through
983,ukuphosa,throw
797,ngoko ke,thus
833,iqhina,tie
43,ixesha,time
682,zincinane,tiny
392,ukudinisa,tire
31,ukuze,to
276,kunye,together
343,wathi,told
616,ilizwi,tone
148,kakhulu,too
253,wathabatha,took
942,isixhobo,tool
347,umphezulu,top
943,iyonke,total
628,ukuchukumisa,touch
480,ndibhekise,toward
403,idolophu,town
852,umkhondo,track
600,urhwebo,trade
558,uloliwe,train
473,hamba,travel
228,umthi,tree
826,unxantathu,triangle
602,uhambo,trip
611,inkathazo,trouble
976,ilori,truck
455,oyinyaniso,true
89,zama,try
819,umbhobho,tube
139,lithuba,turn
695,amashumi amabini,twenty
173,mbini,two
729,uhlobo,type
125,phantsi,under
401,unit,unit
294,kude,until
154,phezulu,up
90,thina,us
155,ukusebenzisa,use
304,njengesiqhelo,usual
946,intlambo,valley
743,ixabiso,value
522,kwahluka,vary
468,isenzi,verb
127,kakhulu,very
749,uluvo,view
703,ilali,village
583,utyelelo,visit
500,ilizwi,voice
479,isikhamiso,vowel
413,yima,wait
282,ukuhamba,walk
564,udonga,wall
54,nqwenela,want
481,imfazwe,war
439,efudumeleyo,warm
6,yaba,was
807,hlamba,wash
269,khangela,watch
190,amanzi,water
538,iliza,wave
157,indlela,way
35,thina,we
637,nxiba,wear
589,yemozulu,weather
431,iveki,week
525,ubunzima,weight
56,kakuhle,well
82,waya,went
39,zaye,were
463,bucala ngasekunene,west
22,intoni,what
356,ivili,wheel
153,nini,when
110,apho,where
710,nokuba,whether
40,apho,which
243,lo gama,while
278,mhlophe,white
194,ngubani,who
348,onke,whole
776,kabani,whose
78,ngoba,why
548,banzi,wide
964,inkosikazi,wife
574,zasendle,wild
45,uya,will
937,ukuphumelela,win
330,umoya,wind
555,ifestile,window
804,iphiko,wing
571,ubusika,winter
633,ucingo,wire
567,umnqweno,wish
10,kunye,with
799,inkosikazi,woman
906,abafazi,women
378,ukumangaliswa,wonder
752,akayi,won’t
272,iinkuni,wood
20,igama,word
103,umsebenzi,work
95,ihlabathi,world
163,babeya,would
162,bhala,write
573,ebhaliweyo,written
989,engalunganga,wrong
614,wabhala,wrote
622,iyadi,yard
117,unyaka,year
839,lubhelu,yellow
394,ewe,yes
537,kanti,yet
26,nina,you
305,abatsha,young
156,akho,your
