number,irish,english
768,barr,crop
229,tras,cross
810,slua,crowd
409,caoin,cry
847,atá ann faoi láthair,current
267,gearrtha,cut
868,daidí,dad
544,rince,dance
754,contúirt,danger
410,dorcha,dark
177,lá,day
843,marbh,dead
960,déileáil,deal
882,daor,dear
903,bás,death
361,cinneadh a dhéanamh,decide
650,dheachúlach,decimal
363,domhain,deep
879,céim,degree
816,ag brath,depend
718,cur síos a dhéanamh,describe
845,fásach,desert
685,dearadh,design
973,chinneadh,determine
437,fhorbairt,develop
669,foclóir,dictionary
181,rinne,did
609,bás,die
138,difriúil,differ
763,deacair,difficult
319,díreach,direct
921,plé a dhéanamh ar,discuss
395,i bhfad i gcéin,distant
532,deighilt,divide
855,roinn,division
41,dhéanamh,do
764,dochtúir,doctor
51,dhéanann,does
317,madra,dog
921,cheadú,dollar
424,rinneadh,done
242,nach,don’t
324,doras,door
948,dúbailte,double
196,síos,down
238,a tharraingt,draw
938,aisling,dream
677,gúna,dress
885,deoch,drink
426,tiomáint,drive
539,titim,drop
377,tirim,dry
876,lacha,duck
456,le linn,during
49,gach,each
651,cluas,ear
461,go luath,early
99,cré,earth
284,maolú ar,ease
397,soir,east
255,ithe,eat
581,imeall,edge
789,éifeacht,effect
506,ubh,egg
702,ocht,eight
721,ceachtar,either
790,leictreacha,electric
770,eilimint,element
652,eile,else
60,deireadh,end
883,namhaid,enemy
501,fuinnimh,energy
545,inneall,engine
301,leor,enough
834,isteach,enter
639,comhionann,equal
386,ionann,equate
915,go háirithe,especially
69,fiú,even
939,tráthnóna,evening
958,imeacht,event
308,riamh,ever
120,gach,every
607,cruinn,exact
283,mar shampla,example
613,ach amháin,except
747,spreagfaidh,excite
563,a fheidhmiú,exercise
791,ag súil leis,expect
925,taithí,experience
688,turgnamh,experiment
222,súl,eye
271,aghaidh,face
449,go deimhin,fact
645,cóir,fair
407,titim,fall
318,teaghlach,family
820,cáiliúil,famous
236,i bhfad,far
230,feirme,farm
467,tapa,fast
863,saill,fat
100,athair,father
858,bhfabhar,favor
823,eagla,fear
941,beatha,feed
312,bhraitheann,feel
298,cosa,feet
642,thit,fell
534,bhraith,felt
249,beag,few
419,réimse,field
916,fige,fig
744,troid i,fight
415,figiúr,figure
396,líonadh,fill
432,deiridh,final
200,aimsiú,find
404,fíneáil,fine
741,mhéar,finger
593,chríochnú,finish
339,dóiteáin,fire
193,ar dtús,first
260,iasc,fish
643,oiriúnach,fit
458,cúig,five
694,árasán,flat
720,urlár,floor
644,sreabhadh,flow
596,bláth,flower
406,eitilt,fly
76,leanúint,follow
216,bia,food
366,cos,foot
7,do,for
358,bhfeidhm,force
552,foraoise,forest
130,fhoirm,form
922,ar aghaidh,forward
207,fuair,found
218,ceithre,four
551,chodán,fraction
440,saor in aisce,free
836,úr,fresh
257,cara,friend
17,ó,from
429,tosaigh,front
755,torthaí,fruit
357,lán,full
586,spraoi,fun
384,cluiche,game
638,gairdín,garden
588,gáis,gas
980,bhailiú,gather
433,thug,gave
526,ginearálta,general
798,mhín,gentle
106,a fháil,get
303,cailín,girl
123,thabhairt,give
864,sásta,glad
577,gloine,glass
179,dul,go
373,óir,gold
599,imithe,gone
121,maith,good
281,fuair,got
496,rialaíonn,govern
535,mhór,grand
578,féar,grass
990,liath,gray
132,mór,great
434,glas,green
629,d’fhás,grew
464,talamh,ground
286,grúpa,group
210,fás,grow
801,buille faoi thuairim,guess
924,treoir,guide
840,gunna,gun
28,bhí,had
717,gruaig,hair
336,leath,half
64,lámh,hand
332,tharlóidh,happen
594,sásta,happy
231,crua,hard
174,tá,has
953,hata,hat
15,tá,have
5,sé,he
201,ceann,head
265,chloisteáil,hear
451,éisteacht,heard
540,croí,heart
390,teas,heat
543,trom,heavy
716,seilbh,held
135,cabhrú,help
167,di,her
71,anseo,here
74,ard,high
724,cnoc,hill
172,air,him
3,a,his
788,stair,history
771,hit,hit
462,shealbhú,hold
699,poll,hole
62,baile,home
595,tá súil,hope
266,capall,horse
19,te,hot
387,te,hot
453,uair an chloig,hour
87,teach,house
46,conas,how
918,ollmhór,huge
787,daonna,human
457,céad,hundred
502,fiach,hunt
828,hurry,hurry
2,mé,i
527,oighear,ice
259,smaoineamh,idea
44,más rud é,if
794,shamhlú,imagine
34,i,in
351,orlach,inch
531,i measc na,include
783,léiríonn,indicate
742,tionscal,industry
780,feithidí,insect
877,toirt,instant
575,ionstraim,instrument
465,ús,interest
970,chumadh,invent
691,iarann,iron
24,tá,is
365,oileán,island
25,sé,it
580,post,job
617,páirt a,join
570,áthas,joy
700,léim,jump
129,ach,just
221,choinneáil,keep
576,choimeád,kept
690,eochair,key
657,mharú,kill
84,chineál,kind
349,rí,king
344,bhí a fhios,knew
189,tá a fhios,know
621,bhean,lady
659,loch,lake
70,talamh,land
399,teanga,language
66,mór,large
224,seo caite,last
240,déanach,late
379,gáire,laugh
730,dlí,law
482,leagan,lay
408,luaidhe,lead
213,foghlaim,learn
610,ar a laghad,least
321,saoire,leave
929,faoi stiúir,led
239,chlé,left
562,cos,leg
516,fad,length
474,níos lú,less
225,a ligean,let
293,litir,letter
978,leibhéal,level
745,bréag,lie
248,saol,life
848,ardaitheoir,lift
83,solas,light
164,cosúil le,like
137,líne,line
894,leacht,liquid
310,liosta,list
470,éisteacht,listen
113,beag,little
109,beo,live
777,aimsiú,locate
895,logáil isteach,log
561,aonaracha,lone
168,fada,long
175,breathnú,look
635,caillte,lost
687,leor,lot
662,glórach,loud
487,grá,love
136,íseal,low
411,meaisín,machine
108,déanta,made
909,maighnéad,magnet
273,príomh-,main
835,mór-,major
169,dhéanamh,make
116,fear,man
159,go leor,many
493,léarscáil,map
291,marc,mark
878,margadh,market
932,mais,mass
851,máistir,master
913,cluiche,match
550,ábhar,material
528,ábhar,matter
195,féadfaidh,may
122,dom,me
142,ciallóidh,mean
896,i gceist,meant
323,a thomhas,measure
817,feoil,meat
704,le chéile,meet
601,séis,melody
80,fir,men
709,miotail,metal
672,modh,method
656,lár,middle
233,d’fhéadfadh,might
295,míle,mile
670,bainne,milk
591,milliún,million
444,aigne,mind
832,mianach,mine
441,nóiméad,minute
388,chailleann,miss
631,meascán,mix
769,nua-aimseartha,modern
987,móilín,molecule
660,nóiméad,moment
489,airgead,money
590,mí,month
364,gealach,moon
176,níos mó,more
475,maidin,morning
185,an chuid is mó,most
94,máthair,mother
892,tairiscint,motion
566,mount,mount
261,sliabh,mountain
606,béal,mouth
144,bogadh,move
141,i bhfad,much
352,iolrú,multiply
288,ceol,music
72,ní mór,must
187,mo,my
126,ainm,name
668,náisiún,nation
748,nádúrtha,natural
889,nádúr,nature
96,in aice le,near
802,gá,necessary
900,muineál,neck
86,ní mór,need
806,comharsa,neighbor
223,riamh,never
102,nua,new
277,seo chugainn,next
246,oíche,night
975,naoi,nine
184,aon,no
977,torann,noise
767,meán lae,noon
947,ná,nor
250,ó thuaidh,north
996,srón,nose
412,nóta,note
353,aon rud,nothing
499,fógra,notice
418,ainmfhocail,noun
199,anois,now
182,líon,number
328,uimhreán,numeral
360,réad,object
664,breathnú ar,observe
886,tharlaíonn,occur
438,farraige,ocean
30,ar,of
85,amach,off
873,tairiscint,offer
603,oifig,office
292,is minic,often
435,curfá,oh
626,ola,oil
147,d’aois,old
8,ar,on
263,uair amháin,once
14,amháin,one
114,ach,only
274,oscailte,open
760,oibriú,operate
963,os coinne,opposite
27,nó,or
338,ordú,order
673,orgán,organ
865,bunaidh,original
38,eile,other
124,ár n-,our
37,amach,out
188,níos mó ná,over
203,féin,own
901,ocsaigin,oxygen
204,leathanach,page
398,péint,paint
530,péire,pair
285,páipéar,paper
713,mír,paragraph
853,tuismitheoir,parent
104,chuid,part
959,ar leith,particular
774,páirtí,party
345,pas a fháil,pass
584,am atá thart,past
893,cosán,path
484,patrún,pattern
674,íoc,pay
186,daoine,people
510,b’fhéidir,perhaps
782,tréimhse,period
488,duine,person
734,frása,phrase
511,pioc,pick
88,pictiúr,picture
342,píosa,piece
930,tuinairde,pitch
107,áit,place
302,plain,plain
414,plean,plan
375,eitleán,plane
827,pláinéad,planet
214,plandaí,plant
58,imirt,play
765,le do thoil,please
997,iolra,plural
813,dán,poem
93,pointe,point
686,droch-,poor
880,populate,populate
65,calafoirt,port
320,údar,pose
546,seasamh,position
374,féidir,possible
860,post,post
423,punt,pound
402,cumhacht,power
761,cleachtas,practice
994,ullmhú,prepare
542,i láthair,present
244,preas,press
904,deas,pretty
842,cló,print
503,is dócha,probable
341,fhadhb,problem
759,próiseas,process
448,ar aird,produce
325,táirge,product
871,ceart,proper
985,maoin,property
766,chosaint,protect
560,chruthú,prove
795,a chur ar fáil,provide
497,tarraingt,pull
711,bhrú,push
61,chur,put
974,leanna,quart
331,ceist,question
436,tapaidh,quick
680,ciúin,quiet
653,go leor,quite
897,chomhrann,quotient
554,cine,race
784,raidió,radio
793,iarnróid,rail
494,báisteach,rain
707,ardú,raise
382,rith,ran
890,raon,range
809,in áit,rather
466,a bhaint amach,reach
63,léamh,read
306,réidh,ready
247,fíor,real
515,chúis,reason
604,fháil,receive
370,taifead,record
309,dearg,red
520,réigiún,region
459,cuimhnigh,remember
991,athuair,repeat
884,freagra,reply
517,ionadaíocht a dhéanamh,represent
992,a cheangal ar,require
420,chuid eile,rest
722,toradh,result
756,saibhir,rich
507,marcaíochta,ride
145,ceart,right
778,fáinne,ring
623,ardú,rise
296,abhainn,river
492,bóthar,road
337,carraig,rock
739,rolla,roll
256,seomra,room
705,fréimhe,root
935,téad,rope
840,ardaigh,rose
115,bhabhta,round
605,as a chéile,row
818,rub,rub
495,riail,rule
241,rith,run
725,sábháilte,safe
47,dúirt,said
549,seol,sail
995,salann,salt
149,céanna,same
737,gaineamh,sand
572,shuigh,sat
648,shábháil,save
235,chonaic,saw
134,rá,say
661,scála,scale
209,scoil,school
254,eolaíocht,science
926,scór,score
237,farraige,sea
837,cuardach,search
907,séasúr,season
949,suíochán,seat
300,an dara,second
676,alt,section
171,féach,see
615,síol,seed
275,is cosúil go,seem
874,deighleog,segment
988,roghnaigh,select
98,féin,self
954,dhíol,sell
838,sheoladh,send
750,ciall,sense
640,sheoladh,sent
131,abairt,sentence
762,ar leithligh,separate
490,freastal,serve
52,leagtha,set
523,réiteach,settle
712,seacht,seven
478,roinnt,several
715,déanfaidh,shall
385,cruth,shape
866,scair,share
803,géar,sharp
150,sí,she
856,bileog,sheet
899,bhlaosc,shell
984,shine,shine
334,long,ship
965,bróg,shoe
981,siopa,shop
854,gcósta,shore
327,gearr,short
205,ba chóir,should
966,ghualainn,shoulder
612,shout,shout
119,thaispeáint,show
197,taobh,side
284,radharc,sight
582,comhartha,sign
735,adh,silent
910,airgid,silver
923,den chineál céanna,similar
477,simplí,simple
346,ós rud é,since
469,chanadh,sing
692,singil,single
919,deirfiúr,sister
553,suí,sit
471,sé,six
521,méid,size
905,scil,skill
696,craiceann,skin
568,spéir,sky
875,daor,slave
559,codlata,sleep
936,duillín,slip
485,mall,slow
59,beag,small
945,boladh,smell
697,aoibh gháire,smile
391,sneachta,snow
165,mar sin,so
585,bog,soft
738,ithir,soil
758,saighdiúir,soldier
908,réiteach,solution
708,réiteach,solve
23,roinnt,some
658,mac,son
322,song,song
315,go luath,soon
183,fuaim,sound
340,ó dheas,south
450,spás,space
524,labhairt,speak
443,speisialta,special
888,urlabhra,speech
671,luas,speed
67,litriú,spell
861,chaitheamh,spend
785,labhair,spoke
844,láthair,spot
967,leathadh,spread
663,earrach,spring
514,cearnach,square
202,seasamh,stand
416,réalta,star
232,tús,start
220,stáit,state
867,stáisiún,station
355,fanacht,stay
376,ionad,stead
891,gaile,steam
920,cruach,steel
460,céim,step
693,bata,stick
212,fós,still
681,cloch,stone
427,sheas,stood
262,stad,stop
556,siopa,store
234,scéal,story
666,díreach,straight
598,aisteach,strange
822,sruth,stream
350,ainm,street
982,stráice,stretch
814,teaghrán,string
442,láidir,strong
772,mac léinn,student
211,staidéar,study
519,ábhar,subject
857,substaint,substance
957,dealaigh,subtract
955,rath,success
75,den sórt sin a,such
512,tobann,sudden
914,iarmhír,suffix
902,siúcra,sugar
618,fios,suggest
846,oireann,suit
557,samhradh,summer
217,ghrian,sun
775,soláthar,supply
887,tacaíocht,support
268,cinnte,sure
362,dromchla,surface
679,iontas,surprise
961,snámh,swim
533,siolla,syllable
608,siombail,symbol
367,córas,system
472,tábla,table
447,eireaball,tail
105,ghlacadh,take
313,plé,talk
736,ard,tall
430,mhúineadh,teach
632,fhoireann,team
898,fiacla,teeth
50,insint,tell
740,teocht,temperature
476,deich,ten
962,téarma,term
369,tástáil,test
191,ná,than
911,go raibh maith,thank
4,go,that
29,an,the
42,n-,their
161,iad,them
160,ansin,then
152,ann,there
166,na,these
11,siad,they
757,tiubh,thick
825,tanaí,thin
170,rud,thing
133,"i mo thuairimse,",think
714,tríú,third
16,seo,this
289,sin,those
311,cé go,though
226,shíl,thought
380,míle,thousand
53,trí,three
128,trí,through
983,caith,throw
797,dá bhrí sin,thus
833,comhionannas vótaí,tie
43,am,time
682,beag bídeach,tiny
392,bonn,tire
31,go,to
276,le chéile,together
343,inis,told
616,ton,tone
148,freisin,too
253,ghlac,took
942,uirlis,tool
347,barr,top
943,iomlán,total
628,teagmháil,touch
480,i dtreo,toward
403,baile,town
852,rian,track
600,trádáil,trade
558,traein,train
473,taisteal,travel
228,crann,tree
826,triantáin,triangle
602,turas,trip
611,dtrioblóid,trouble
976,trucail,truck
455,fíor,true
89,iarracht,try
819,feadán,tube
139,cas,turn
695,fiche,twenty
173,dhá,two
729,cineál,type
125,faoi,under
401,aonad,unit
294,go dtí,until
154,suas,up
90,dúinn,us
155,úsáid,use
304,gnách,usual
946,gleann,valley
743,luach,value
522,athrú,vary
468,briathar,verb
127,an-,very
749,dearcadh,view
703,sráidbhaile,village
583,cuairt a thabhairt ar,visit
500,guth,voice
479,guta,vowel
413,fan,wait
282,siúl,walk
564,balla,wall
54,ba mhaith,want
481,cogadh,war
439,te,warm
6,bhí,was
807,nigh,wash
269,féachaint ar,watch
190,uisce,water
538,tonn,wave
157,bhealach,way
35,againn,we
637,chaitheamh,wear
589,aimsir,weather
431,seachtain,week
525,meáchan,weight
56,go maith,well
82,chuaigh,went
39,bhí,were
463,siar,west
22,cad,what
356,roth,wheel
153,nuair,when
110,i gcás ina,where
710,cé acu,whether
40,a,which
243,cé go,while
278,bán,white
194,a,who
348,fad,whole
776,a bhfuil a,whose
78,cén fáth,why
548,ar fud an,wide
964,bean chéile,wife
574,fiáin,wild
45,beidh,will
937,bhuachan,win
330,gaoithe,wind
555,fuinneog,window
804,sciathán,wing
571,gheimhridh,winter
633,sreang,wire
567,is mian,wish
10,le,with
799,bean,woman
906,mná,women
378,wonder,wonder
752,ní bheidh,won’t
272,adhmad,wood
20,focal,word
103,obair,work
95,domhan,world
163,bheadh,would
162,scríobh,write
573,scríofa,written
989,mícheart,wrong
614,scríobh,wrote
622,clós,yard
117,bliain,year
839,buí,yellow
394,yes,yes
537,fós,yet
26,tú,you
305,óg,young
156,do,your
