number,marathi,english
863,चरबी,fat
100,वडील,father
858,मर्जी,favor
823,भीती,fear
941,फीड,feed
312,वाटत,feel
298,पाय,feet
642,पडले,fell
534,वाटले,felt
249,काही,few
419,फील्ड,field
916,अंजीर,fig
744,लढा,fight
415,आकृती,figure
396,भरा,fill
432,अंतिम,final
200,शोधू,find
404,सुरेख,fine
741,हाताचे बोट,finger
593,समाप्त,finish
339,आग,fire
193,प्रथम,first
260,मासे,fish
643,फिट,fit
458,पाच,five
694,फ्लॅट,flat
720,मजला,floor
644,प्रवाह,flow
596,फ्लॉवर,flower
406,उडता,fly
76,अनुसरण,follow
216,अन्न,food
366,पाऊल,foot
7,साठी,for
358,शक्ती,force
552,वन,forest
130,फॉर्म,form
922,पुढे,forward
207,आढळले,found
218,चार,four
551,अपूर्णांक,fraction
440,मोफत,free
836,ताज्या,fresh
257,मित्र,friend
17,पासून,from
429,समोर,front
755,फळ,fruit
357,पूर्ण,full
586,मजा,fun
384,खेळ,game
638,बाग,garden
588,गॅस,gas
980,गोळा,gather
433,दिली,gave
526,सामान्य,general
798,सभ्य,gentle
106,मिळवा,get
303,मुलगी,girl
123,देणे,give
864,आनंद,glad
577,काच,glass
179,जा,go
373,सोने,gold
599,गेला,gone
121,चांगले,good
281,आला,got
496,राज्य,govern
535,ग्रँड,grand
578,गवत,grass
990,राखाडी,gray
132,महान,great
434,हिरव्या,green
629,वाढला,grew
464,ग्राउंड,ground
286,गट,group
210,वाढू,grow
801,अंदाज,guess
924,मार्गदर्शन,guide
840,तोफा,gun
28,होते,had
717,केस,hair
336,अर्धा,half
64,हात,hand
332,घडू,happen
594,आनंदी,happy
231,हार्ड,hard
174,आहे,has
953,हॅट,hat
15,आहे,have
5,तो,he
201,डोके,head
265,लक्ष देऊन ऐकणे,hear
451,ऐकले,heard
540,हृदय,heart
390,उष्णता,heat
543,जोरदार,heavy
716,या,held
135,मदत,help
167,तिच्या,her
71,येथे,here
74,उच्च,high
724,हिल,hill
172,त्याला,him
3,त्याच्या,his
788,इतिहास,history
771,दाबा,hit
462,धारण,hold
699,भोक,hole
62,मुख्य पान,home
595,आशा आहे,hope
266,घोडा,horse
19,गरम,hot
387,गरम,hot
453,तास,hour
87,घर,house
46,कसे,how
918,प्रचंड,huge
787,मानवी,human
457,शंभर,hundred
502,शोधाशोध,hunt
828,धांदल,hurry
2,मी,i
527,बर्फ,ice
259,कल्पना,idea
44,तर,if
794,कल्पना,imagine
34,मध्ये,in
351,इंच,inch
531,समावेश,include
783,सूचित,indicate
742,उद्योग,industry
780,किटक,insect
877,झटपट,instant
575,इन्स्ट्रुमेंट,instrument
465,व्याज,interest
970,नवीन शोध लावणे,invent
691,लोखंड,iron
24,आहे,is
365,बेट,island
25,तो,it
580,नोकरी,job
617,सामील,join
570,आनंद,joy
700,उडी,jump
129,फक्त,just
221,ठेवा,keep
576,ठेवली,kept
690,कळ,key
657,मारणे,kill
84,प्रकारची,kind
349,राजा,king
344,माहीत,knew
189,माहित,know
621,महिला,lady
659,लेक,lake
70,जमीन,land
399,भाषा,language
66,मोठ्या,large
224,गेल्या,last
240,उशीरा,late
379,हसणे,laugh
730,कायदा,law
482,पोवाडा,lay
408,आघाडी,lead
213,जाणा,learn
610,किमान,least
321,सोडा,leave
929,नेतृत्व,led
239,बाकी,left
562,पाय,leg
516,लांबी,length
474,कमी,less
225,द्या,let
293,पत्र,letter
978,पातळी,level
745,खोटे बोलणे,lie
248,जीवन,life
848,वर उचलणे,lift
83,प्रकाश,light
164,जसे,like
137,ओळ,line
894,द्रव,liquid
310,यादी,list
470,ऐका,listen
113,थोडे,little
109,राहतात,live
777,शोधून काढणे,locate
895,लॉग इन,log
561,एकमेव,lone
168,लांब,long
175,पाहण्यासारखे,look
635,गमावले,lost
687,भरपूर,lot
662,मोठा आवाज,loud
487,प्रेम,love
136,शोधा,low
411,मशीन,machine
108,केले,made
909,लोहचुंबक,magnet
273,मुख्य,main
835,मुख्य,major
169,करा,make
116,मनुष्य,man
159,अनेक,many
493,नकाशा,map
291,खूण,mark
878,बाजार,market
932,वस्तुमान,mass
851,मास्टर,master
913,सामना,match
550,साहित्य,material
528,बाब,matter
195,असू शकेल,may
122,मला,me
142,अर्थ,mean
896,करायचं,meant
323,मोजण्यासाठी,measure
817,मांस,meat
704,बैठक,meet
601,गोडवा,melody
80,पुरुष,men
709,धातू,metal
672,पद्धत,method
656,मध्यम,middle
233,कदाचित,might
295,मैलाचे,mile
670,दूध,milk
591,दशलक्ष,million
444,मन,mind
832,खाण,mine
441,मिनिट,minute
388,न सापडणे,miss
631,मिक्स,mix
769,आधुनिक,modern
987,परमाणू,molecule
660,क्षण,moment
489,पैसा,money
590,महिना,month
364,चंद्र,moon
176,अधिक,more
475,सकाळी,morning
185,सर्वात,most
94,आई,mother
892,गती,motion
566,माउंट,mount
261,माउंटन,mountain
606,तोंड,mouth
144,हलवा,move
141,पुष्कळ,much
352,गुणाकार,multiply
288,संगीत,music
72,पाहिजे,must
187,माझा,my
126,नाव,name
668,राष्ट्र,nation
748,नैसर्गिक,natural
889,निसर्ग,nature
96,जवळ,near
802,आवश्यक,necessary
900,मान,neck
86,गरज,need
806,शेजारी,neighbor
223,कधीही,never
102,नवीन,new
277,पुढील,next
246,रात्री,night
975,नऊ,nine
184,नाही,no
977,आवाज,noise
767,दुपारी,noon
947,किंवा,nor
250,उत्तरेचा,north
996,नाक,nose
412,टीप,note
353,काहीही,nothing
499,सूचना,notice
418,नाम,noun
199,आता,now
182,संख्या,number
328,आकडा,numeral
360,ऑब्जेक्ट,object
664,देखणे,observe
886,उद्भवू,occur
438,महासागर,ocean
30,च्या,of
85,बंद,off
873,ऑफर,offer
603,कार्यालय,office
292,अनेकदा,often
435,बापरे,oh
626,तेल,oil
147,जुन्या,old
8,वर,on
263,एकदा,once
14,एक,one
114,केवळ,only
274,उघडा,open
760,ऑपरेट,operate
963,उलट,opposite
27,किंवा,or
338,ऑर्डर,order
673,शरीराचा अवयव,organ
865,मूळ,original
38,इतर,other
124,आमच्या,our
37,बाहेर,out
188,प्रती,over
203,स्वत:,own
901,ऑक्सिजन,oxygen
204,पृष्ठ,page
398,रंगविण्यासाठी,paint
530,जोडी,pair
285,कागद,paper
713,परिच्छेद,paragraph
853,पालक,parent
104,भाग,part
959,विशिष्ट,particular
774,पक्ष,party
345,पास,pass
584,गेल्या,past
893,मार्ग,path
484,नमुना,pattern
674,पे,pay
186,लोक,people
510,कदाचित,perhaps
782,कालावधी,period
488,व्यक्ती,person
734,वाक्यांश,phrase
511,निवडा,pick
88,चित्र,picture
342,तुकडा,piece
930,खेळपट्टीवर,pitch
107,स्थान,place
302,साधा,plain
414,योजना,plan
375,विमान,plane
827,ग्रह,planet
214,वनस्पती,plant
58,प्ले,play
765,कृपया,please
997,अनेकवचन,plural
813,कविता,poem
93,बिंदू,point
686,गरीब,poor
880,वसाहत,populate
65,पोर्ट,port
320,विशिष्ट प्रकारे (स्थितीत) बसवणे,pose
546,स्थान,position
374,शक्य,possible
860,पोस्ट,post
423,पाउंड,pound
402,शक्ती,power
761,सराव,practice
994,तयार,prepare
542,उपस्थित,present
244,दाबा,press
904,खूपच,pretty
842,मुद्रण,print
503,शक्य,probable
341,समस्या,problem
759,प्रक्रिया,process
448,उत्पादन,produce
325,उत्पादन,product
871,योग्य,proper
985,मालमत्ता,property
766,संरक्षण,protect
560,सिद्ध,prove
795,प्रदान,provide
497,खेचणे,pull
711,पुश,push
61,ठेवले,put
974,quart,quart
331,प्रश्न,question
436,जलद,quick
680,शांत,quiet
653,जोरदार,quite
897,भागाकार,quotient
554,शर्यत,race
784,रेडिओ,radio
793,रेल्वे,rail
494,पाऊस,rain
707,बढती,raise
382,संपली,ran
890,श्रेणी,range
809,ऐवजी,rather
466,पोहोचण्याचा,reach
63,वाचा,read
306,तयार,ready
247,खरा,real
515,कारण,reason
604,प्राप्त,receive
370,रेकॉर्ड,record
309,लाल,red
520,प्रदेश,region
459,लक्षात ठेवा,remember
991,पुनरावृत्ती,repeat
884,प्रत्युत्तर,reply
517,प्रतिनिधित्व,represent
992,आवश्यक,require
420,विश्रांती,rest
722,परिणाम,result
756,श्रीमंत,rich
507,त्यातील,ride
145,योग्य,right
778,अंगठी,ring
623,वर जाणे,rise
296,नदी,river
492,रस्ता,road
337,रॉक,rock
739,रोल,roll
256,खोली,room
705,मूळ,root
935,दोरी,rope
840,गुलाब,rose
115,गोल,round
605,पंक्ती,row
818,घासणे,rub
495,नियम,rule
241,धाव,run
725,सुरक्षित,safe
47,म्हणाला,said
549,शीड,sail
995,मीठ,salt
149,त्याच,same
737,वाळू,sand
572,शनि,sat
648,जतन,save
235,करवत,saw
134,म्हणू,say
661,स्केल,scale
209,शाळा,school
254,विज्ञान,science
926,धावसंख्या,score
237,समुद्र,sea
837,शोध,search
907,हंगाम,season
949,आसन,seat
300,दुसरा,second
676,विभाग,section
171,पहा,see
615,बी,seed
275,वाटते,seem
874,वर्तुळखंड,segment
988,निवडा,select
98,स्वत:,self
954,विक्री,sell
838,पाठवा,send
750,अर्थ,sense
640,पाठविले,sent
131,वाक्य,sentence
762,स्वतंत्र,separate
490,सर्व्ह,serve
52,संच,set
523,पुर्तता,settle
712,सात,seven
478,अनेक,several
715,"करील,",shall
385,आकार,shape
866,शेअर,share
803,तीक्ष्ण,sharp
150,ती,she
856,पत्रक,sheet
899,शेल,shell
984,प्रकाशणे,shine
334,जहाज,ship
965,जोडा,shoe
981,दुकान,shop
854,किनारा,shore
327,लहान,short
205,पाहिजे,should
966,खांदा,shoulder
612,ओरडणे,shout
119,शो,show
197,बाजूला,side
284,दृष्टी,sight
582,साइन,sign
735,मूक,silent
910,चांदी,silver
923,तत्सम,similar
477,साधी,simple
346,पासून,since
469,गाणे,sing
692,एकच,single
919,बहीण,sister
553,बसणे,sit
471,सहा,six
521,आकार,size
905,कौशल्य,skill
696,त्वचा,skin
568,आकाश,sky
875,गुलाम,slave
559,झोप,sleep
936,स्लिप,slip
485,मंद,slow
59,लहान,small
945,वास,smell
697,स्मित,smile
391,बर्फ,snow
165,त्यामुळे,so
585,मऊ,soft
738,माती,soil
758,सैन्यातील शिपाई,soldier
908,उपाय,solution
708,सोडविण्यास,solve
23,काही,some
658,मुलगा,son
322,गाणे,song
315,लवकरच,soon
183,आवाज पातळी,sound
340,दक्षिण,south
450,जागा,space
524,बोलता,speak
443,विशेष,special
888,भाषण,speech
671,गती,speed
67,शब्दलेखन,spell
861,खर्च,spend
785,बोलले,spoke
844,स्पॉट,spot
967,प्रसार,spread
663,स्प्रिंग,spring
514,चौरस,square
202,उभे,stand
416,स्टार,star
232,प्रारंभ,start
220,राज्य,state
867,स्टेशन,station
355,रहा,stay
376,जागा,stead
891,वाफ,steam
920,स्टील,steel
460,पाऊल,step
693,स्टिक,stick
212,अजूनही,still
681,दगड,stone
427,उभा राहिला,stood
262,थांबा,stop
556,स्टोअर,store
234,कथा,story
666,सरळ,straight
598,विचित्र,strange
822,प्रवाह,stream
350,रस्त्यावर,street
982,ताणून,stretch
814,स्ट्रिंग,string
442,मजबूत,strong
772,विद्यार्थी,student
211,अभ्यास,study
519,विषय,subject
857,पदार्थ,substance
957,वजाबाकी,subtract
955,यश,success
75,अशा,such
512,अचानक,sudden
914,प्रत्यय,suffix
902,साखर,sugar
618,सूचित,suggest
846,खटला,suit
557,उन्हाळ्यात,summer
217,सूर्य,sun
775,पुरवठा,supply
887,समर्थन,support
268,खात्री,sure
362,पृष्ठभाग,surface
679,आश्चर्य,surprise
961,पोहणे,swim
533,अक्षर,syllable
608,प्रतीक,symbol
367,प्रणाली,system
472,टेबल,table
447,शेपूट,tail
105,घ्या,take
313,चर्चा,talk
736,उंच,tall
430,शिकवले,teach
632,संघ,team
898,दात,teeth
50,सांगा,tell
740,तापमान,temperature
476,दहा,ten
962,मुदत,term
369,चाचणी,test
191,पेक्षा,than
911,आभार,thank
4,त्या,that
29,अगोदर निर्देश,the
42,त्यांच्या,their
161,त्यांना,them
160,नंतर,then
152,तेथे,there
166,या,these
11,ते,they
757,जाड,thick
825,पातळ,thin
170,गोष्ट,thing
133,विचार,think
714,तिसरा,third
16,या,this
289,त्या,those
311,तरी,though
226,विचार,thought
380,हजार,thousand
53,तीन,three
128,द्वारे,through
983,फेकणे,throw
797,अशा प्रकारे,thus
833,टाय,tie
43,वेळ,time
682,लहान,tiny
392,टायर,tire
31,ते,to
276,एकत्र,together
343,सांगितले,told
616,टोन,tone
148,खूप,too
253,घेतला,took
942,साधन,tool
347,टॉप,top
943,एकूण,total
628,स्पर्श,touch
480,दिशेने,toward
403,शहर,town
852,ट्रॅक,track
600,व्यापार,trade
558,रेल्वे,train
473,प्रवास,travel
228,झाड,tree
826,त्रिकोण,triangle
602,ट्रिप,trip
611,समस्या,trouble
976,ट्रक,truck
455,खरे,true
89,प्रयत्न,try
819,नलिका,tube
139,वळण,turn
695,वीस,twenty
173,दोन,two
729,प्रकार,type
125,अंतर्गत,under
401,एकक,unit
294,पर्यंत,until
154,अप,up
90,आम्हाला,us
155,वापर,use
304,नेहमीच्या,usual
946,दरी,valley
743,मूल्य,value
522,बदलू,vary
468,क्रियापद,verb
127,फार,very
749,दृश्य,view
703,गावात,village
583,भेट,visit
500,आवाज,voice
479,चालणार,vowel
413,प्रतीक्षा,wait
282,चालणे,walk
564,भिंत,wall
54,इच्छित,want
481,युद्ध,war
439,उबदार,warm
6,होते,was
807,वॉश,wash
269,पाहू,watch
190,पाणी,water
538,लहर,wave
157,मार्ग,way
35,आम्ही,we
637,बोलता,wear
589,हवामान,weather
431,आठवडा,week
525,वजन,weight
56,तसेच,well
82,गेला,went
39,होते,were
463,पश्चिमेकडे,west
22,काय,what
356,चाक,wheel
153,तेव्हा,when
110,जेथे,where
710,की नाही,whether
40,जे,which
243,तर,while
278,पांढरा,white
194,कोण,who
348,संपूर्ण,whole
776,ज्यांचे,whose
78,का,why
548,रुंद,wide
964,पत्नी,wife
574,वन्य,wild
45,खाईन,will
937,विजय,win
330,वारा,wind
555,विंडो,window
804,विंग,wing
571,हिवाळा,winter
633,वायर,wire
567,इच्छा,wish
10,सह,with
799,स्त्री,woman
906,महिला,women
378,आश्चर्य,wonder
752,येणार नाही,won’t
272,लाकूड,wood
20,शब्द,word
103,काम,work
95,जग,world
163,बरी होईल,would
162,लेखन,write
573,लेखी,written
989,चूक,wrong
614,लिहिले,wrote
622,आवारातील,yard
117,वर्ष,year
839,पिवळा,yellow
394,होय,yes
537,अद्याप,yet
26,आपण,you
305,तरुण,young
156,आपल्या,your
