number,ukrainian,english
718,описати,describe
845,пустеля,desert
685,дизайн,design
973,визначити,determine
437,розвивати,develop
669,словник,dictionary
181,зробив,did
609,померти,die
138,відрізняються,differ
763,важкий,difficult
319,прямій,direct
921,обговорювати,discuss
395,віддалена,distant
532,ділити,divide
855,поділ,division
41,зробити,do
764,лікар,doctor
51,робить,does
317,собака,dog
921,долар,dollar
424,зроблено,done
242,,don’t
324,двері,door
948,двічі,double
196,вниз,down
238,залучити,draw
938,мріяти,dream
677,плаття,dress
885,напій,drink
426,привод,drive
539,падіння,drop
377,сухий,dry
876,качка,duck
456,під,during
49,кожен,each
651,вухо,ear
461,рано,early
99,емля,earth
284,полегшити,ease
397,схід,east
255,з’їсти,eat
581,край,edge
789,ефект,effect
506,яйце,egg
702,вісім,eight
721,небудь,either
790,електрична,electric
770,елемент,element
652,ще,else
60,кінець,end
883,ворог,enemy
501,енергія,energy
545,двигун,engine
301,достатньо,enough
834,вводити,enter
639,дорівнюють,equal
386,прирівнювати,equate
915,особливо,especially
69,навіть,even
939,вечір,evening
958,захід,event
308,коли-небудь,ever
120,кожен,every
607,точна,exact
283,приклад,example
613,крім,except
747,порушувати,excite
563,вправа,exercise
791,очікувати,expect
925,досвід,experience
688,експеримент,experiment
222,очей,eye
271,особа,face
449,факт,fact
645,ярмарок,fair
407,падати,fall
318,сім’я,family
820,відомий,famous
236,далеко,far
230,ферма,farm
467,швидко,fast
863,жиру,fat
100,батько,father
858,користь,favor
823,страх,fear
941,подача,feed
312,відчувати,feel
298,ноги,feet
642,впав,fell
534,почував,felt
249,кілька,few
419,поле,field
916,рис,fig
744,боротьба,fight
415,фігура,figure
396,заповнювати,fill
432,остаточний,final
200,знайти,find
404,відмінно,fine
741,палець,finger
593,оздоблення,finish
339,вогонь,fire
193,перший,first
260,риба,fish
643,відповідати,fit
458,п’ять,five
694,плоским,flat
720,поверх,floor
644,текти,flow
596,квітка,flower
406,літати,fly
76,слідувати,follow
216,їжа,food
366,фут,foot
7,для,for
358,сила,force
552,ліс,forest
130,форма,form
922,вперед,forward
207,знайдено,found
218,чотири,four
551,частка,fraction
440,безкоштовно,free
836,свіжий,fresh
257,друг,friend
17,від,from
429,передні,front
755,фрукти,fruit
357,повний,full
586,весело,fun
384,гра,game
638,сад,garden
588,ається,gas
980,збирати,gather
433,дав,gave
526,загальний,general
798,ніжний,gentle
106,отримувати,get
303,дівчина,girl
123,давати,give
864,радий,glad
577,скло,glass
179,йти,go
373,золото,gold
599,пішов,gone
121,добре,good
281,отримав,got
496,управляти,govern
535,гранд,grand
578,трава,grass
990,сірий,gray
132,великий,great
434,зелений,green
629,виросла,grew
464,земля,ground
286,група,group
210,зростати,grow
801,думаю,guess
924,направляти,guide
840,пістолет,gun
28,було,had
717,волосся,hair
336,половина,half
64,рука,hand
332,станеться,happen
594,щасливі,happy
231,важко,hard
174,має,has
953,капелюх,hat
15,мати,have
5,він,he
201,керівник,head
265,чути,hear
451,чув,heard
540,серце,heart
390,тепло,heat
543,важкий,heavy
716,ручні,held
135,допомогти,help
167,її,her
71,тут,here
74,високий,high
724,пагорб,hill
172,його,him
3,його,his
788,історія,history
771,хіт,hit
462,утримуйте,hold
699,отвір,hole
62,додому,home
595,сподіватися,hope
266,кінь,horse
19,гаряча,hot
387,гаряча,hot
453,годину,hour
87,будинок,house
46,як,how
918,величезний,huge
787,людина,human
457,сто,hundred
502,охота,hunt
828,поспішати,hurry
2,я,i
527,лід,ice
259,ідея,idea
44,якщо,if
794,уявіть,imagine
34,в,in
351,дюйм,inch
531,включати,include
783,вказують,indicate
742,промисловість,industry
780,комаха,insect
877,миттєве,instant
575,інструмент,instrument
465,інтерес,interest
970,винайти,invent
691,аліза,iron
24,вогонь,is
365,острів,island
25,це,it
580,робота,job
617,приєднатися,join
570,радість,joy
700,стрибати,jump
129,просто,just
221,тримати,keep
576,зберігається,kept
690,ключ,key
657,вбити,kill
84,вид,kind
349,король,king
344,знав,knew
189,знаю,know
621,леді,lady
659,озеро,lake
70,емля,land
399,мову,language
66,великий,large
224,останній,last
240,пізно,late
379,сміх,laugh
730,акон,law
482,закласти,lay
408,привести,lead
213,дізнатися,learn
610,мірою,least
321,залишити,leave
929,призвело,led
239,зліва,left
562,нога,leg
516,довжина,length
474,менше,less
225,нехай,let
293,лист,letter
978,рівень,level
745,брехня,lie
248,життя,life
848,ліфт,lift
83,світло,light
164,подібно,like
137,лінія,line
894,рідини,liquid
310,список,list
470,слухати,listen
113,трохи,little
109,жити,live
777,знайти,locate
895,увійти,log
561,самотній,lone
168,довго,long
175,дивитися,look
635,втрачений,lost
687,багато,lot
662,голосно,loud
487,люблю,love
136,низький,low
411,машина,machine
108,зробив,made
909,магнит,magnet
273,головна,main
835,основним,major
169,робити,make
116,людина,man
159,багато,many
493,карта,map
291,знак,mark
878,ринок,market
932,маса,mass
851,майстер,master
913,матч,match
550,матеріал,material
528,справа,matter
195,може,may
122,мене,me
142,значить,mean
896,означало,meant
323,виміру,measure
817,м’ясо,meat
704,задоволення,meet
601,мелодія,melody
80,чоловіки,men
709,металу,metal
672,метод,method
656,середній,middle
233,міць,might
295,км,mile
670,молоко,milk
591,млн,million
444,розум,mind
832,шахта,mine
441,хвилин,minute
388,міс,miss
631,плутати,mix
769,сучасний,modern
987,молекула,molecule
660,момент,moment
489,гроші,money
590,місяць,month
364,місяць,moon
176,ще,more
475,ранок,morning
185,найбільш,most
94,мать,mother
892,рух,motion
566,кріплення,mount
261,гора,mountain
606,рот,mouth
144,хід,move
141,багато,much
352,помножити,multiply
288,музика,music
72,повинні,must
187,мій,my
126,ім’я,name
668,нація,nation
748,природний,natural
889,природа,nature
96,рядом,near
802,необхідно,necessary
900,шия,neck
86,потрібно,need
806,сусід,neighbor
223,ніколи,never
102,новий,new
277,наступний,next
246,ніч,night
975,дев’ять,nine
184,немає,no
977,шум,noise
767,опівдні,noon
947,ні,nor
250,на північ,north
996,ніс,nose
412,примітка,note
353,нічого,nothing
499,сповіщення,notice
418,іменник,noun
199,зараз,now
182,число,number
328,цифра,numeral
360,об’єкт,object
664,спостерігати,observe
886,відбуваються,occur
438,океан,ocean
30,и,of
85,від,off
873,пропозиція,offer
603,офіс,office
292,часто,often
435,ой,oh
626,масло,oil
147,старий,old
8,на,on
263,раз,once
14,один,one
114,тільки,only
274,відкритий,open
760,працювати,operate
963,навпроти,opposite
27,або,or
338,порядок,order
673,орган,organ
865,оригінальний,original
38,другий,other
124,наш,our
37,чере,out
188,над,over
203,власний,own
901,кисень,oxygen
204,сторінка,page
398,фарба,paint
530,пара,pair
285,папір,paper
713,пункт,paragraph
853,батько,parent
104,частина,part
959,конкретний,particular
774,партія,party
345,пройти,pass
584,мимо,past
893,шлях,path
484,шаблон,pattern
674,платити,pay
186,люди,people
510,"можливо,",perhaps
782,період,period
488,людина,person
734,фраза,phrase
511,вибирати,pick
88,картинка,picture
342,шт,piece
930,крок,pitch
107,місце,place
302,рівнина,plain
414,план,plan
375,літак,plane
827,планета,planet
214,завод,plant
58,грати,play
765,будь ласка,please
997,множинне,plural
813,вірш,poem
93,точка,point
686,бідних,poor
880,аповнення,populate
65,порт,port
320,поза,pose
546,положення,position
374,можливо,possible
860,повідомлення,post
423,фунт,pound
402,потужність,power
761,практика,practice
994,готувати,prepare
542,присутній,present
244,натисніть,press
904,досить,pretty
842,друк,print
503,"ймовірно,",probable
341,проблема,problem
759,процес,process
448,виробляти,produce
325,продукт,product
871,власне,proper
985,нерухомість,property
766,захисту,protect
560,довести,prove
795,забезпечити,provide
497,тягнути,pull
711,поштовх,push
61,ставити,put
974,кварта,quart
331,питання,question
436,швидко,quick
680,тихо,quiet
653,цілком,quite
897,фактор,quotient
554,гонка,race
784,радіо,radio
793,залізничні,rail
494,дощ,rain
707,підняти,raise
382,побіг,ran
890,діапазон,range
809,жуватися,rather
466,досягати,reach
63,читати,read
306,готовий,ready
247,реальний,real
515,причина,reason
604,отримувати,receive
370,запис,record
309,червоний,red
520,область,region
459,пам’ятаю,remember
991,повторення,repeat
884,відповісти,reply
517,представляють,represent
992,вимагати,require
420,інші,rest
722,результат,result
756,багаті,rich
507,поїздка,ride
145,право,right
778,кільце,ring
623,підніматися,rise
296,річка,river
492,дорога,road
337,рок,rock
739,рулон,roll
256,номер,room
705,корінь,root
935,мотузка,rope
840,виросла,rose
115,круглий,round
605,рядок,row
818,руб,rub
495,правило,rule
241,пробіг,run
725,сейф,safe
47,аначений,said
549,вітрило,sail
995,сіль,salt
149,те ж саме,same
737,пісок,sand
572,субота,sat
648,економити,save
235,пила,saw
134,сказати,say
661,шкала,scale
209,школа,school
254,наука,science
926,рахунок,score
237,морі,sea
837,пошук,search
907,сезон,season
949,сидіння,seat
300,другий,second
676,розділ,section
171,подивитися,see
615,насіння,seed
275,здається,seem
874,сегмент,segment
988,вибирати,select
98,самостійно,self
954,продати,sell
838,послати,send
750,сенс,sense
640,відправлено,sent
131,вирок,sentence
762,окремий,separate
490,служити,serve
52,набір,set
523,врегулювати,settle
712,сім,seven
478,кілька,several
715,повинен,shall
385,форма,shape
866,частка,share
803,різке,sharp
150,вона,she
856,лист,sheet
899,оболонка,shell
984,блиск,shine
334,корабель,ship
965,взуття,shoe
981,магазин,shop
854,берег,shore
327,короткий,short
205,повинен,should
966,плече,shoulder
612,крик,shout
119,шоу,show
197,сторона,side
284,ору,sight
582,знак,sign
735,мовчання,silent
910,срібло,silver
923,аналогічний,similar
477,простий,simple
346,до,since
469,співати,sing
692,один,single
919,сестра,sister
553,сидіти,sit
471,шість,six
521,розмір,size
905,вміння,skill
696,шкіра,skin
568,небо,sky
875,раб,slave
559,сон,sleep
936,ковзання,slip
485,повільно,slow
59,невеликої,small
945,нюх,smell
697,усмішка,smile
391,сніг,snow
165,так,so
585,м’який,soft
738,грунту,soil
758,солдат,soldier
908,рішення,solution
708,вирішити,solve
23,деякі,some
658,син,son
322,пісня,song
315,скоро,soon
183,звук,sound
340,південно,south
450,простір,space
524,говорити,speak
443,спеціальна,special
888,промову,speech
671,швидкість,speed
67,аклинань,spell
861,провести,spend
785,спицями,spoke
844,пляма,spot
967,поширення,spread
663,весна,spring
514,квадратний,square
202,стояти,stand
416,зірка,star
232,початок,start
220,стан,state
867,станція,station
355,залишатися,stay
376,замість нього,stead
891,пар,steam
920,сталь,steel
460,крок,step
693,палиця,stick
212,ще,still
681,камінь,stone
427,стояв,stood
262,зупинити,stop
556,магазин,store
234,історія,story
666,прямо,straight
598,дивно,strange
822,потік,stream
350,вулиця,street
982,протяг,stretch
814,рядок,string
442,сильний,strong
772,студент,student
211,дослідження,study
519,тема,subject
857,речовина,substance
957,відняти,subtract
955,успіх,success
75,таких,such
512,раптове,sudden
914,суфікс,suffix
902,цукор,sugar
618,запропонувати,suggest
846,костюм,suit
557,літо,summer
217,нд,sun
775,харчування,supply
887,підтримка,support
268,звичайно,sure
362,поверхню,surface
679,сюрприз,surprise
961,плавати,swim
533,склад,syllable
608,символ,symbol
367,система,system
472,стіл,table
447,хвіст,tail
105,приймати,take
313,обговорення,talk
736,високий,tall
430,вчити,teach
632,команда,team
898,зуби,teeth
50,скаати,tell
740,температура,temperature
476,десять,ten
962,термін,term
369,тест,test
191,ніж,than
911,спасибі,thank
4,що,that
29,план,the
42,їх,their
161,їх,them
160,потім,then
152,є,there
166,це,these
11,вони,they
757,товщиною,thick
825,тонкий,thin
170,річ,thing
133,думаю,think
714,третя,third
16,це,this
289,ті,those
311,хоча,though
226,думка,thought
380,тис,thousand
53,три,three
128,через,through
983,кидати,throw
797,таким чином,thus
833,галстук,tie
43,час,time
682,крихітний,tiny
392,шини,tire
31,до,to
276,разом,together
343,сказав,told
616,тон,tone
148,занадто,too
253,взяв,took
942,інструмент,tool
347,кращих,top
943,спільну,total
628,торкайтеся,touch
480,до,toward
403,місто,town
852,трек,track
600,торгівля,trade
558,поїзд,train
473,поїздки,travel
228,дерево,tree
826,трикутник,triangle
602,поїздка,trip
611,біда,trouble
976,вантажівка,truck
455,правда,true
89,спробуйте,try
819,трубка,tube
139,поворот,turn
695,двадцять,twenty
173,два,two
729,тип,type
125,під,under
401,блок,unit
294,до,until
154,до,up
90,нам,us
155,використання,use
304,зазвичай,usual
946,долина,valley
743,начення,value
522,варіюватися,vary
468,дієслово,verb
127,дуже,very
749,вид,view
703,деревня,village
583,візит,visit
500,голос,voice
479,гласний,vowel
413,чекати,wait
282,ходити,walk
564,стіна,wall
54,хотіти,want
481,війна,war
439,теплий,warm
6,було,was
807,прання,wash
269,дивитися,watch
190,води,water
538,хвиля,wave
157,спосіб,way
35,ми,we
637,носити,wear
589,погода,weather
431,тиждень,week
525,вага,weight
56,добре,well
82,пішов,went
39,були,were
463,запад,west
22,що,what
356,колеса,wheel
153,коли,when
110,де,where
710,чи,whether
40,які,which
243,в той час як,while
278,білий,white
194,хто,who
348,вся,whole
776,якого,whose
78,чому,why
548,широкий,wide
964,дружина,wife
574,дикий,wild
45,буде,will
937,виграти,win
330,вітер,wind
555,вікно,window
804,крило,wing
571,зима,winter
633,провід,wire
567,хочете,wish
10,еякі,with
799,жінка,woman
906,жінки,women
378,цікаво,wonder
752,буде,won’t
272,дерево,wood
20,слово,word
103,робота,work
95,світ,world
163,б,would
162,написати,write
573,написано,written
989,неправильно,wrong
614,написав,wrote
622,двір,yard
117,рік,year
839,жовтий,yellow
394,да,yes
537,ще,yet
26,ви,you
305,молодий,young
156,ваш,your
