number,maori,english
60,mutunga,end
883,hoariri,enemy
501,pūngao,energy
545,pūkaha,engine
301,nui,enough
834,tomo,enter
639,rite,equal
386,whakaōrite i,equate
915,rawa,especially
69,ara,even
939,ahiahi,evening
958,takahanga,event
308,ake,ever
120,nga,every
607,tangohia,exact
283,tauira,example
613,ki te kahore,except
747,tokomauri,excite
563,mahi,exercise
791,e ti’aturi,expect
925,wheako,experience
688,whakamātau,experiment
222,kanohi,eye
271,kanohi,face
449,meka,fact
645,ataahua,fair
407,hinga,fall
318,whānau,family
820,rongonui,famous
236,tawhiti,far
230,pāmu,farm
467,nohopuku,fast
863,te ngako,fat
100,papa,father
858,kia paingia,favor
823,wehi,fear
941,kai,feed
312,ite,feel
298,waewae,feet
642,hinga,fell
534,ua,felt
249,torutoru,few
419,mara,field
916,piki,fig
744,whawhai,fight
415,ahua,figure
396,whakakiia e,fill
432,whakamutunga,final
200,kitea,find
404,pai,fine
741,maihao,finger
593,whakaoti,finish
339,te ahi,fire
193,tuatahi,first
260,ika,fish
643,uru,fit
458,e rima,five
694,flat,flat
720,papa,floor
644,rere,flow
596,puawai,flower
406,rere,fly
76,te whai,follow
216,kai,food
366,waewae,foot
7,hoki,for
358,kaha,force
552,ngahere,forest
130,puka,form
922,whakamua,forward
207,kitea,found
218,e wha,four
551,hautanga,fraction
440,noa,free
836,hou,fresh
257,hoa,friend
17,mei,from
429,mua,front
755,hua,fruit
357,tonu,full
586,pārekareka,fun
384,game,game
638,kari,garden
588,hau,gas
980,kohikohi,gather
433,i hoatu,gave
526,whānui,general
798,ngawari,gentle
106,whiwhi,get
303,kotiro,girl
123,hoatu,give
864,koa,glad
577,karaihe,glass
179,haere,go
373,koura,gold
599,riro,gone
121,pai,good
281,ka,got
496,faatere i,govern
535,rahi,grand
578,tarutaru,grass
990,hina,gray
132,nui,great
434,matomato,green
629,tupu,grew
464,whenua,ground
286,rōpū,group
210,tupu,grow
801,imi i,guess
924,te ārahi i,guide
840,pū,gun
28,ia,had
717,makawe,hair
336,hawhe,half
64,ringa,hand
332,tupu,happen
594,hari,happy
231,pakeke,hard
174,he,has
953,pōtae,hat
15,e,have
5,e ia,he
201,upoko,head
265,rongo,hear
451,rongo,heard
540,ngakau,heart
390,wera,heat
543,taimaha,heavy
716,pūpuri,held
135,tauturu i te,help
167,ia,her
71,i konei,here
74,tiketike,high
724,pukepuke,hill
172,ia ia,him
3,tona,his
788,hītori,history
771,patua,hit
462,mau,hold
699,rua,hole
62,te kāinga,home
595,te ti’aturi nei,hope
266,hoiho,horse
19,wera,hot
387,wera,hot
453,haora,hour
87,whare,house
46,pehea,how
918,nui,huge
787,tangata,human
457,rau,hundred
502,whaiwhai,hunt
828,hohoro,hurry
2,ahau,i
527,te huka,ice
259,whakaaro,idea
44,ki te,if
794,whakaaro,imagine
34,i roto i te,in
351,inihi,inch
531,ngā,include
783,tohu,indicate
742,ahumahi,industry
780,pepeke,insect
877,tonu,instant
575,taputapu,instrument
465,pānga,interest
970,whakaaroa,invent
691,rino,iron
24,ko te,is
365,motu,island
25,reira,it
580,mahi,job
617,amui atu,join
570,hari,joy
700,peke,jump
129,tika,just
221,kia mau,keep
576,pupuri,kept
690,matua,key
657,te whakamate,kill
84,atawhai,kind
349,te kingi,king
344,i mohio,knew
189,e mohio ana,know
621,wahine,lady
659,roto,lake
70,te whenua,land
399,te reo,language
66,nui,large
224,whakamutunga,last
240,te mutunga,late
379,i kata,laugh
730,te ture,law
482,takoto,lay
408,arahi,lead
213,ako,learn
610,te iti rawa,least
321,waiho,leave
929,arahina,led
239,mahue,left
562,waewae,leg
516,roa,length
474,iti iho,less
225,kia,let
293,reta,letter
978,taumata,level
745,teka,lie
248,ora,life
848,ararewa,lift
83,te marama,light
164,rite,like
137,raina,line
894,wai,liquid
310,rārangi,list
470,whakarongo,listen
113,iti,little
109,ora,live
777,te kimi,locate
895,takiuru,log
561,ana’e,lone
168,roa,long
175,titiro,look
635,ngaro,lost
687,rota,lot
662,nui,loud
487,aroha,love
136,iti,low
411,mihini,machine
108,hanga,made
909,ovahine,magnet
273,matua,main
835,matua,major
169,hanga,make
116,te tangata,man
159,maha,many
493,map,map
291,tohu,mark
878,mākete,market
932,papatipu,mass
851,ariki,master
913,ōrite,match
550,rauemi,material
528,mea,matter
195,kia,may
122,ahau,me
142,te tikanga,mean
896,te auraa,meant
323,whanganga,measure
817,kai,meat
704,hui,meet
601,e waiata ana,melody
80,tangata,men
709,whakarewa,metal
672,tikanga,method
656,waenganui,middle
233,te kaha,might
295,mile,mile
670,te waiu,milk
591,miriona,million
444,whakaaro,mind
832,oku,mine
441,meneti,minute
388,pahemo,miss
631,uru,mix
769,hou,modern
987,muingota,molecule
660,taime,moment
489,moni,money
590,marama,month
364,marama,moon
176,atu,more
475,ata,morning
185,te nuinga,most
94,whaea,mother
892,motini,motion
566,maunga,mount
261,maunga,mountain
606,mangai,mouth
144,nekehanga,move
141,nui,much
352,kia tini,multiply
288,waiata,music
72,me,must
187,toku,my
126,ingoa,name
668,iwi,nation
748,māori,natural
889,āhua,nature
96,tata,near
802,e tika ana,necessary
900,kaki,neck
86,me,need
806,hoa,neighbor
223,kore,never
102,hou,new
277,i muri,next
246,te po,night
975,e iwa,nine
184,kahore,no
977,haruru,noise
767,te poutumarotanga,noon
947,e kore,nor
250,ki te raki,north
996,ihu,nose
412,tuhipoka,note
353,kahore,nothing
499,pānui,notice
418,noun,noun
199,i teie nei,now
182,te tau,number
328,whika,numeral
360,ahanoa,object
664,puritia e,observe
886,puta,occur
438,moana,ocean
30,o,of
85,atu,off
873,tuku,offer
603,tari,office
292,maha,often
435,oh,oh
626,hinu,oil
147,tau,old
8,runga i,on
263,kotahi,once
14,kotahi,one
114,anake,only
274,tuwhera,open
760,whakahaere,operate
963,te ritenga atu,opposite
27,ranei,or
338,kia,order
673,whēkau,organ
865,taketake,original
38,atu,other
124,to tatou,our
37,i roto i,out
188,ki runga,over
203,ake,own
901,hāora,oxygen
204,whārangi,page
398,peita,paint
530,takirua,pair
285,pepa,paper
713,kōwae,paragraph
853,matua,parent
104,wāhanga,part
959,ngā,particular
774,rōpū,party
345,haere,pass
584,mua,past
893,ara,path
484,tauira,pattern
674,aufau i te,pay
186,te iwi,people
510,pea,perhaps
782,wā,period
488,tangata,person
734,kīanga,phrase
511,tangohia,pick
88,pikitia,picture
342,wahi,piece
930,te ware,pitch
107,wahi,place
302,mania,plain
414,mahere,plan
375,plane,plane
827,ao,planet
214,te tipu,plant
58,te tākaro,play
765,tēnā,please
997,vahine,plural
813,ruri,poem
93,tata,point
686,rawakore,poor
880,huri,populate
65,tauranga,port
320,tūpono,pose
546,tūnga,position
374,taea,possible
860,pou,post
423,pauna,pound
402,mana,power
761,mahi,practice
994,te faaineine,prepare
542,reira,present
244,press,press
904,pretty,pretty
842,tā,print
503,pea,probable
341,raruraru,problem
759,tukanga,process
448,te whakaputa,produce
325,hua,product
871,tika,proper
985,rawa,property
766,te tiaki,protect
560,hei whakamatautau,prove
795,whakarato,provide
497,hutia,pull
711,pana,push
61,maka,put
974,hine,quart
331,pātai,question
436,tere,quick
680,ata,quiet
653,tino,quite
897,huawehe,quotient
554,iwi,race
784,reo irirangi,radio
793,whakakorekore mo,rail
494,ua,rain
707,whakaara,raise
382,rere,ran
890,ngā tūmomo,range
809,kaua,rather
466,tae,reach
63,tai’o,read
306,rite,ready
247,tūturu,real
515,take,reason
604,ia farii i,receive
370,record,record
309,whero,red
520,rohe,region
459,mahara,remember
991,tukurua,repeat
884,whakautu,reply
517,tohu,represent
992,e rapu,require
420,era atu,rest
722,hua,result
756,taonga,rich
507,tere,ride
145,matau,right
778,mowhiti,ring
623,whakatika,rise
296,te awa,river
492,te ara,road
337,toka,rock
739,pukapuka,roll
256,ruma,room
705,pakiaka,root
935,taura,rope
840,whakatika,rose
115,tawhio,round
605,rarangi,row
818,te horoitanga i,rub
495,tikanga,rule
241,oma,run
725,haumaru,safe
47,mea,said
549,rere,sail
995,tote,salt
149,taua,same
737,onepu,sand
572,rahoroi,sat
648,whakaora,save
235,kite,saw
134,mea,say
661,tauine,scale
209,te kura,school
254,pūtaiao,science
926,kaute,score
237,te moana,sea
837,rapu,search
907,wa,season
949,nohoanga,seat
300,tuarua,second
676,wāhanga,section
171,kite,see
615,uri,seed
275,te mea,seem
874,wāhanga,segment
988,tīpako,select
98,whaiaro,self
954,hoko,sell
838,tukua atu,send
750,tikanga,sense
640,ka tonoa,sent
131,rerenga kōrero,sentence
762,wehe,separate
490,e mahi,serve
52,huinga,set
523,whakatau,settle
712,e whitu,seven
478,e rave rahi,several
715,ka,shall
385,hanga,shape
866,share,share
803,koi,sharp
150,ia,she
856,whārangi,sheet
899,anga,shell
984,whiti,shine
334,kaipuke,ship
965,hu,shoe
981,toa,shop
854,uta,shore
327,poto,short
205,kia,should
966,pokohiwi,shoulder
612,hamama,shout
119,whakaatu,show
197,taha,side
284,titiro,sight
582,tohu,sign
735,puku,silent
910,hiriwa,silver
923,rite,similar
477,simple,simple
346,mai,since
469,waiata,sing
692,kotahi,single
919,tuahine,sister
553,noho,sit
471,e ono,six
521,rahi,size
905,pūkenga,skill
696,kiri,skin
568,rangi,sky
875,pononga,slave
559,moe,sleep
936,pepa,slip
485,puhoi,slow
59,iti,small
945,kakara,smell
697,ataata,smile
391,hukarere,snow
165,na,so
585,ngohengohe,soft
738,oneone,soil
758,hoia,soldier
908,otinga,solution
708,te whakaoti,solve
23,etahi,some
658,tama,son
322,waiata,song
315,hohoro,soon
183,tangi,sound
340,ki te tonga,south
450,wāhi,space
524,korero,speak
443,motuhake,special
888,kupu,speech
671,tere,speed
67,takikupu,spell
861,whakapau,spend
785,ka korero,spoke
844,wahi,spot
967,horapa,spread
663,puna,spring
514,tapawha,square
202,tu,stand
416,whetu,star
232,tīmatanga,start
220,kāwanatanga,state
867,teihana,station
355,noho,stay
376,i muri ia ia,stead
891,korohū,steam
920,maitai,steel
460,taahiraa,step
693,tokotoko,stick
212,tonu,still
681,kohatu,stone
427,tu,stood
262,mutu,stop
556,toa,store
234,kōrero,story
666,tika tonu,straight
598,ke,strange
822,awa,stream
350,street,street
982,totoro,stretch
814,string,string
442,kaha,strong
772,ngā ākonga,student
211,te tai’oraa i te,study
519,i raro,subject
857,taonga,substance
957,tango,subtract
955,angitu,success
75,i taua,such
512,ohorere,sudden
914,pīmuri,suffix
902,huka,sugar
618,whakaaro,suggest
846,take,suit
557,raumati,summer
217,ra,sun
775,homai,supply
887,tautoko,support
268,tino,sure
362,mata,surface
679,maere,surprise
961,kaukau,swim
533,haukūoro,syllable
608,tohu,symbol
367,pūnaha,system
472,tepu,table
447,hiku,tail
105,tango,take
313,korero,talk
736,roroa,tall
430,e whakaako,teach
632,rōpū,team
898,niho,teeth
50,korero ki,tell
740,pāmahana,temperature
476,tekau,ten
962,wā,term
369,whakamātautau,test
191,atu,than
911,whakawhetai,thank
4,e,that
29,te,the
42,ratou,their
161,ratou,them
160,ka,then
152,i reira,there
166,enei,these
11,ratou,they
757,matotoru,thick
825,kikokore,thin
170,mea,thing
133,whakaaro,think
714,te toru,third
16,tenei,this
289,te hunga,those
311,ahakoa,though
226,whakaaro,thought
380,mano,thousand
53,e toru,three
128,i roto i,through
983,maka,throw
797,te kupu,thus
833,here,tie
43,te wā,time
682,iti,tiny
392,mauiui,tire
31,ki,to
276,tahi,together
343,ka korerotia,told
616,reo,tone
148,rawa,too
253,ka tango,took
942,taputapu,tool
347,runga,top
943,katoa,total
628,pa ki,touch
480,ki,toward
403,pa,town
852,ara,track
600,hokohoko,trade
558,tereina,train
473,haere,travel
228,rakau,tree
826,tapatoru,triangle
602,haerenga,trip
611,raruraru,trouble
976,taraka,truck
455,pono,true
89,tamata,try
819,ngongo,tube
139,tahuri,turn
695,e rua tekau,twenty
173,e rua,two
729,momo,type
125,i raro i,under
401,kōwae,unit
294,tae noa ki,until
154,ake,up
90,tatou,us
155,whakamahi,use
304,mua,usual
946,raorao,valley
743,uara,value
522,rerekē,vary
468,verb,verb
127,rawa,very
749,tiro,view
703,kainga,village
583,haerenga,visit
500,reo,voice
479,oropuare,vowel
413,tatari,wait
282,haere,walk
564,taiepa,wall
54,hiahia,want
481,te whawhai,war
439,mahana,warm
6,ko,was
807,horoi,wash
269,mataara,watch
190,wai,water
538,poipoi,wave
157,ara,way
35,tatou i,we
637,kakahu,wear
589,rangi,weather
431,wiki,week
525,taimaha,weight
56,pai,well
82,haere,went
39,he,were
463,hauauru,west
22,te aha,what
356,wira,wheel
153,ka,when
110,i reira,where
710,ahakoa,whether
40,nei,which
243,ia,while
278,white,white
194,nei,who
348,katoa,whole
776,tona,whose
78,he aha,why
548,whānui,wide
964,wahine,wife
574,mohoao,wild
45,e pai,will
937,wikitōria,win
330,hau,wind
555,matapihi,window
804,parirau,wing
571,hotoke,winter
633,waea,wire
567,hiahia,wish
10,ki,with
799,te wahine,woman
906,wahine,women
378,uiui nei,wonder
752,e kore e,won’t
272,rakau,wood
20,kupu,word
103,mahi,work
95,te ao,world
163,pai,would
162,te tuhituhi,write
573,i tuhituhia,written
989,he,wrong
614,i tuhituhi,wrote
622,iari,yard
117,tau,year
839,kōwhai,yellow
394,ae,yes
537,ano,yet
26,koutou,you
305,taitamariki,young
156,koutou,your
