number,turkmen,english
870,zarýad,charge
952,diagramma,chart
383,barlaň,check
881,jüýje,chick
829,başlygy,chief
665,çaga,child
279,çagalar,children
641,saýlaň,choose
862,akord,chord
529,tegelek,circle
227,şäher,city
999,talap,claim
329,synp,class
619,arassa,clean
446,düşnükli,clear
683,dyrmaşmak,climb
831,sagat,clock
245,ýakyn,close
597,geýin,clothe
678,bulut,cloud
732,kenar,coast
931,palto,coat
498,sowuk,cold
647,ýygnamak,collect
830,koloniýasy,colony
270,reňk,color
986,sütün,column
180,gel,come
372,umumy,common
956,kompaniýasy,company
812,deňeşdiriň,compare
333,doly,complete
940,şert,condition
859,birikdiriň,connect
728,serediň,consider
667,çekimli ses,consonant
428,öz içine alýar,contain
1000,materik,continent
950,dowam et,continue
649,gözegçilik,control
719,bişiriň,cook
684,gowy,cool
733,göçürmek,copy
811,mekgejöwen,corn
773,burç,corner
421,dogry,correct
634,bahasy,cost
971,pagta,cotton
178,edip bilerdi,could
513,hasapla,count
206,ýurt,country
354,elbetde,course
215,gapagy,cover
579,sygyr,cow
698,krem,crease
805,döretmek,create
768,ekin,crop
229,haç,cross
810,märeke,crowd
409,agla,cry
847,tok,current
267,kes,cut
868,kaka,dad
544,tans ediň,dance
754,howp,danger
410,garaňky,dark
177,gün,day
843,öldi,dead
960,şertnama,deal
882,ezizim,dear
903,ölüm,death
361,karar ber,decide
650,onluk,decimal
363,çuň,deep
879,derejesi,degree
816,baglydyr,depend
718,suratlandyryň,describe
845,çöl,desert
685,dizaýn,design
973,kesgitlemek,determine
437,ösdürmeli,develop
669,sözlük,dictionary
181,etdi,did
609,öl,die
138,tapawutlanýar,differ
763,kyn,difficult
319,göni,direct
921,ara alyp maslahatlaşyň,discuss
395,uzakda,distant
532,bölmek,divide
855,bölünişik,division
41,et,do
764,lukman,doctor
51,edýär,does
317,it,dog
921,dollar,dollar
424,ýerine ýetirildi,done
242,etme,don’t
324,gapy,door
948,goşa,double
196,aşak,down
238,çyzmak,draw
938,düýş gör,dream
677,köýnek,dress
885,içmek,drink
426,sürmek,drive
539,düşmek,drop
377,gury,dry
876,ördek,duck
456,wagtynda,during
49,hersi,each
651,gulak,ear
461,ir,early
99,ýer,earth
284,ýeňillik,ease
397,gündogar,east
255,iýiň,eat
581,gyrasy,edge
789,täsiri,effect
506,ýumurtga,egg
702,sekiz,eight
721,ýa-da,either
790,elektrik,electric
770,elementi,element
652,başga,else
60,soňy,end
883,duşman,enemy
501,energiýa,energy
545,hereketlendiriji,engine
301,ýeterlik,enough
834,gir,enter
639,deňdir,equal
386,deňlemek,equate
915,esasanam,especially
69,hatda,even
939,agşam,evening
958,waka,event
308,hemişe,ever
120,hersi,every
607,takyk,exact
283,mysal,example
613,muňa degişli däldir,except
747,tolgun,excite
563,maşk,exercise
791,garaşyň,expect
925,tejribe,experience
688,synag,experiment
222,göz,eye
271,ýüzi,face
449,hakykat,fact
645,ýarmarka,fair
407,ýykylmak,fall
318,maşgala,family
820,meşhur,famous
236,uzakda,far
230,ferma,farm
467,çalt,fast
863,ýag,fat
100,kakasy,father
858,hoşniýetlilik,favor
823,gorky,fear
941,iýmit,feed
312,duý,feel
298,aýak,feet
642,ýykyldy,fell
534,duýuldy,felt
249,az,few
419,meýdany,field
916,injir,fig
744,söweş,fight
415,şekil,figure
396,doldur,fill
432,jemleýji,final
200,tap,find
404,gowy,fine
741,barmak,finger
593,gutar,finish
339,ot,fire
193,ilki bilen,first
260,balyk,fish
643,laýyk,fit
458,bäş,five
694,tekiz,flat
720,pol,floor
644,akymy,flow
596,gül,flower
406,uçmak,fly
76,yzarla,follow
216,iýmit,food
366,aýak,foot
7,üçin,for
358,güýç,force
552,tokaý,forest
130,görnüşi,form
922,öňe,forward
207,tapyldy,found
218,dört,four
551,fraksiýa,fraction
440,mugt,free
836,täze,fresh
257,dost,friend
17,dan,from
429,öň,front
755,miwesi,fruit
357,doly,full
586,gyzykly,fun
384,oýun,game
638,bag,garden
588,gaz,gas
980,ýygnan,gather
433,berdi,gave
526,umumy,general
798,mylaýym,gentle
106,al,get
303,gyz,girl
123,ber,give
864,begenýärin,glad
577,aýna,glass
179,git,go
373,altyn,gold
599,gitdi,gone
121,gowy,good
281,aldym,got
496,dolandyrmak,govern
535,uly,grand
578,ot,grass
990,çal,gray
132,ajaýyp,great
434,ýaşyl,green
629,ösdi,grew
464,ýer,ground
286,topary,group
210,ösmek,grow
801,çaklaň,guess
924,gollanma,guide
840,ýarag,gun
28,bardy,had
717,saç,hair
336,ýarysy,half
64,eli,hand
332,bolup geçýär,happen
594,bagtly,happy
231,gaty,hard
174,bar,has
953,şlýapa,hat
15,bar,have
5,ol,he
201,kellesi,head
265,eşidiň,hear
451,eşitdi,heard
540,ýürek,heart
390,ýylylyk,heat
543,agyr,heavy
716,geçirildi,held
135,kömek ediň,help
167,ol,her
71,şu ýerde,here
74,beýik,high
724,depe,hill
172,ol,him
3,onuň,his
788,taryh,history
771,ur,hit
462,tut,hold
699,deşik,hole
62,öý,home
595,umyt,hope
266,at,horse
19,yssy,hot
387,yssy,hot
453,sagat,hour
87,jaý,house
46,nädip,how
918,ullakan,huge
787,adam,human
457,ýüz,hundred
502,aw,hunt
828,howlukma,hurry
2,men,i
527,buz,ice
259,ideýa,idea
44,eger,if
794,göz öňüne getiriň,imagine
34,içinde,in
351,dýuým,inch
531,goşmak,include
783,görkez,indicate
742,senagaty,industry
780,mör-möjek,insect
877,dessine,instant
575,gural,instrument
465,göterim,interest
970,oýlap tapyň,invent
691,demir,iron
24,bolup durýar,is
365,ada,island
25,bu,it
580,iş,job
617,goşul,join
570,şatlyk,joy
700,bökmek,jump
129,diňe,just
221,sakla,keep
576,saklanýar,kept
690,açary,key
657,öldürmek,kill
84,görnüşli,kind
349,patyşa,king
344,bilýärdi,knew
189,bil,know
621,hanym,lady
659,köl,lake
70,ýer,land
399,dili,language
66,uly,large
224,iň soňky,last
240,giç,late
379,gül,laugh
730,kanun,law
482,ýat,lay
408,gurşun,lead
213,öwreniň,learn
610,iň bolmanda,least
321,git,leave
929,alyp bardy,led
239,çep,left
562,aýak,leg
516,uzynlygy,length
474,az,less
225,goý,let
293,hat,letter
978,derejesi,level
745,ýalan,lie
248,durmuş,life
848,götermek,lift
83,ýagtylyk,light
164,ýaly,like
137,setir,line
894,suwuk,liquid
310,sanawy,list
470,diňle,listen
113,az,little
109,ýaşa,live
777,tapmak,locate
895,gündeligi,log
561,ýalňyz,lone
168,uzyn,long
175,seret,look
635,ýitdi,lost
687,köp,lot
662,gaty ses bilen,loud
487,söýgi,love
136,pes,low
411,maşyn,machine
108,ýasaldy,made
909,magnit,magnet
273,esasy,main
835,maýor,major
169,ýasamak,make
116,adam,man
159,köp,many
493,karta,map
291,bellik,mark
878,bazary,market
932,massa,mass
851,ussat,master
913,gabat gel,match
550,material,material
528,mesele,matter
195,bolup biler,may
122,men,me
142,diýmekdir,mean
896,diýmekdir,meant
323,ölçemek,measure
817,et,meat
704,duşuşmak,meet
601,saz,melody
80,erkekler,men
709,metal,metal
672,usuly,method
656,ortasy,middle
233,bolup biler,might
295,mil,mile
670,süýt,milk
591,million,million
444,akyl,mind
832,meniňki,mine
441,minut,minute
388,sypdyrmak,miss
631,garmaly,mix
769,döwrebap,modern
987,molekulasy,molecule
660,pursat,moment
489,pul,money
590,aý,month
364,aý,moon
176,has köp,more
475,irden,morning
185,köpüsi,most
94,ejesi,mother
892,hereket,motion
566,dakyň,mount
261,dag,mountain
606,agzy,mouth
144,hereket et,move
141,köp,much
352,köpeltmek,multiply
288,aýdym-saz,music
72,hökman,must
187,meniň,my
126,ady,name
668,millet,nation
748,tebigy,natural
889,tebigat,nature
96,ýakyn,near
802,zerur,necessary
900,boýn,neck
86,zerur,need
806,goňşusy,neighbor
223,hiç haçan,never
102,täze,new
277,indiki,next
246,gije,night
975,dokuz,nine
184,ýok,no
977,ses,noise
767,günortan,noon
947,ýa-da däl,nor
250,demirgazyk,north
996,burun,nose
412,bellik,note
353,hiç zat,nothing
499,duýduryş,notice
418,at,noun
199,indi,now
182,sany,number
328,san,numeral
360,obýekt,object
664,syn et,observe
886,bolup geçýär,occur
438,umman,ocean
30,of,of
85,öçürildi,off
873,teklip,offer
603,ofis,office
292,köplenç,often
435,aý,oh
626,ýag,oil
147,köne,old
8,üstünde,on
263,bir gezek,once
14,biri,one
114,diňe,only
274,açyk,open
760,işlemek,operate
963,tersine,opposite
27,ýa-da,or
338,sargyt,order
673,organ,organ
865,asyl,original
38,beýlekisi,other
124,biziň,our
37,çykdy,out
188,gutardy,over
203,eýeçilik edýär,own
901,kislorod,oxygen
204,sahypa,page
398,boýag,paint
530,jübüt,pair
285,kagyz,paper
713,abzas,paragraph
853,ene-atasy,parent
104,bölegi,part
959,aýratyn,particular
774,partiýa,party
345,geçmek,pass
584,geçmiş,past
893,ýol,path
484,nagyş,pattern
674,tölemek,pay
186,adamlar,people
510,belki,perhaps
782,döwür,period
488,adam,person
734,söz düzümi,phrase
511,saýla,pick
88,surat,picture
342,bölek,piece
930,meýdança,pitch
107,ýeri,place
302,sada,plain
414,meýilnama,plan
375,uçar,plane
827,planeta,planet
214,ösümlik,plant
58,oýnamak,play
765,haýyş edýärin,please
997,köplük,plural
813,goşgy,poem
93,nokat,point
686,garyp,poor
880,ilat,populate
65,port,port
320,poz,pose
546,ýagdaýy,position
374,mümkin,possible
860,post,post
423,funt,pound
402,kuwwat,power
761,tejribe,practice
994,taýýarla,prepare
542,häzirki wagtda,present
244,basyň,press
904,owadan,pretty
842,çap et,print
503,ähtimal,probable
341,mesele,problem
759,prosesi,process
448,öndürýär,produce
325,önüm,product
871,laýyk,proper
985,emläk,property
766,gora,protect
560,subut et,prove
795,üpjün etmek,provide
497,çekmek,pull
711,iteklemek,push
61,goý,put
974,kwartal,quart
331,sorag,question
436,çalt,quick
680,ümsüm,quiet
653,gaty gowy,quite
897,paý,quotient
554,ýaryş,race
784,radio,radio
793,demir ýol,rail
494,ýagyş,rain
707,ýokarlandyrmak,raise
382,ylgady,ran
890,aralygy,range
809,"däl-de, eýsem",rather
466,ýetmek,reach
63,oka,read
306,taýýar,ready
247,hakyky,real
515,sebäp,reason
604,al,receive
370,ýazgy,record
309,gyzyl,red
520,sebiti,region
459,ýadyňyzda saklaň,remember
991,gaýtala,repeat
884,jogap ber,reply
517,wekilçilik edýär,represent
992,talap edýär,require
420,dynç al,rest
722,netije,result
756,baý,rich
507,münmek,ride
145,dogry,right
778,jaň,ring
623,ýokarlanmak,rise
296,derýa,river
492,ýol,road
337,gaýa,rock
739,rulon,roll
256,otag,room
705,kök,root
935,ýüp,rope
840,gül boldy,rose
115,tegelek,round
605,hatar,row
818,sürtmek,rub
495,düzgün,rule
241,ylga,run
725,howpsuz,safe
47,-diýdi,said
549,ýelkenli,sail
995,duz,salt
149,şol bir,same
737,gum,sand
572,oturdy,sat
648,tygşytlaň,save
235,gördi,saw
134,diýiň,say
661,masştab,scale
209,mekdebi,school
254,ylym,science
926,bal,score
237,deňiz,sea
837,gözlemek,search
907,möwsüm,season
949,oturgyç,seat
300,ikinji,second
676,bölümi,section
171,seret,see
615,tohum,seed
275,ýaly görünýär,seem
874,segmenti,segment
988,saýlaň,select
98,özi,self
954,sat,sell
838,iber,send
750,manysy,sense
640,iberildi,sent
131,sözlem,sentence
762,aýry,separate
490,hyzmat et,serve
52,düzmek,set
523,çözmek,settle
712,ýedi,seven
478,birnäçe,several
715,eder,shall
385,görnüşi,shape
866,paýlaş,share
803,ýiti,sharp
150,ol,she
856,sahypa,sheet
899,gabyk,shell
984,şöhle saç,shine
334,gämi,ship
965,köwüş,shoe
981,dükan,shop
854,kenar,shore
327,gysga,short
205,etmeli,should
966,egin,shoulder
612,gygyr,shout
119,görkezmek,show
197,tarapy,side
284,görmek,sight
582,gol,sign
735,dymdy,silent
910,kümüş,silver
923,meňzeş,similar
477,ýönekeý,simple
346,şondan bäri,since
469,aýdym aýdyň,sing
692,ýeke,single
919,aýal dogany,sister
553,otur,sit
471,alty,six
521,ululygy,size
905,ussatlygy,skill
696,deri,skin
568,asman,sky
875,gul,slave
559,uky,sleep
936,süýşmek,slip
485,haýal,slow
59,kiçi,small
945,ys,smell
697,ýylgyr,smile
391,gar,snow
165,şeýle,so
585,ýumşak,soft
738,toprak,soil
758,esger,soldier
908,çözgüt,solution
708,çözmek,solve
23,käbirleri,some
658,ogly,son
322,aýdym,song
315,basym,soon
183,ses,sound
340,günorta,south
450,boşluk,space
524,gürle,speak
443,ýörite,special
888,çykyş,speech
671,tizlik,speed
67,jady,spell
861,harçlamak,spend
785,gürledi,spoke
844,ýer,spot
967,ýaýramagy,spread
663,bahar,spring
514,inedördül,square
202,dur,stand
416,ýyldyz,star
232,başla,start
220,ýagdaýy,state
867,bekedi,station
355,gal,stay
376,ýerine,stead
891,bug,steam
920,polat,steel
460,ädim,step
693,taýak,stick
212,henizem,still
681,daş,stone
427,durdy,stood
262,dur,stop
556,dükany,store
234,hekaýa,story
666,göni,straight
598,geň,strange
822,akym,stream
350,köçe,street
982,uzat,stretch
814,setir,string
442,güýçli,strong
772,okuwçy,student
211,öwrenmek,study
519,mowzuk,subject
857,madda,substance
957,aýyrmak,subtract
955,üstünlik,success
75,ýaly,such
512,duýdansyz,sudden
914,goşulmasy,suffix
902,şeker,sugar
618,teklip ediň,suggest
846,kostýum,suit
557,tomus,summer
217,gün,sun
775,üpjün etmek,supply
887,goldaw,support
268,elbetde,sure
362,üstü,surface
679,geň galdyryjy,surprise
961,ýüzmek,swim
533,bogun,syllable
608,nyşany,symbol
367,ulgamy,system
472,tablisa,table
447,guýrugy,tail
105,al,take
313,gürleş,talk
736,uzyn,tall
430,öwret,teach
632,topary,team
898,dişler,teeth
50,aýt,tell
740,temperatura,temperature
476,on,ten
962,termin,term
369,synag,test
191,garanyňda,than
911,sag bol,thank
4,bu,that
29,mälimlik görkeziji artikl,the
42,olaryň,their
161,olar,them
160,soň,then
152,ol ýerde,there
166,bular,these
11,olar,they
757,galyň,thick
825,inçe,thin
170,zat,thing
133,pikirlen,think
714,üçünji,third
16,bu,this
289,bular,those
311,garamazdan,though
226,pikir etdi,thought
380,müň,thousand
53,üç,three
128,üsti bilen,through
983,zyň,throw
797,şeýlelik bilen,thus
833,galstuk,tie
43,wagt,time
682,kiçijik,tiny
392,teker,tire
31,to,to
276,bilelikde,together
343,aýtdy,told
616,äheňi,tone
148,şeýle hem,too
253,aldy,took
942,gural,tool
347,ýokarky,top
943,jemi,total
628,degmek,touch
480,tarapa,toward
403,şäher,town
852,yzarla,track
600,söwda,trade
558,otly,train
473,syýahat,travel
228,agaç,tree
826,üçburçluk,triangle
602,syýahat,trip
611,kynçylyk,trouble
976,ýük maşyny,truck
455,hakykat,true
89,synap görüň,try
819,turba,tube
139,öwrüň,turn
695,ýigrimi,twenty
173,iki,two
729,görnüşi,type
125,astynda,under
401,birligi,unit
294,çenli,until
154,ýokary,up
90,biz,us
155,ulanmak,use
304,adaty,usual
946,jülgesi,valley
743,bahasy,value
522,üýtgeýär,vary
468,işlik,verb
127,gaty gowy,very
749,görmek,view
703,obasy,village
583,baryp görmek,visit
500,ses,voice
479,çekimli ses,vowel
413,garaş,wait
282,ýöremek,walk
564,diwar,wall
54,isleýär,want
481,uruş,war
439,ýyly,warm
6,boldy,was
807,ýuw,wash
269,sagat,watch
190,suw,water
538,tolkun,wave
157,ýol,way
35,biz,we
637,geýmek,wear
589,howa,weather
431,hepde,week
525,agramy,weight
56,gowy,well
82,gitdi,went
39,boldy,were
463,günbatar,west
22,näme,what
356,tigir,wheel
153,haçan,when
110,nirede,where
710,bolsun,whether
40,haýsy,which
243,wagtynda,while
278,ak,white
194,kim,who
348,tutuşlygyna,whole
776,kim,whose
78,näme üçin,why
548,giň,wide
964,aýaly,wife
574,ýabany,wild
45,eder,will
937,ýeňiş,win
330,ýel,wind
555,penjire,window
804,ganaty,wing
571,gyş,winter
633,sim,wire
567,arzuw edýärin,wish
10,bilen,with
799,aýal,woman
906,aýallar,women
378,geň gal,wonder
752,bolmaz,won’t
272,agaç,wood
20,söz,word
103,işlemek,work
95,dünýä,world
163,eder,would
162,ýaz,write
573,ýazylan,written
989,nädogry,wrong
614,ýazdy,wrote
622,howly,yard
117,ýyl,year
839,sary,yellow
394,hawa,yes
537,entek,yet
26,sen,you
305,ýaş,young
156,seniň,your
