216,ai,food
366,wawae,foot
6,"no ka mea,",for
358,ikaika,force
552,nahele,forest
130,ano,form
922,mua,forward
207,loaa,found
218,ʻehā,four
551,mahele,fraction
440,like me,free
836,hawaiian,fresh
257,hoaaloha,friend
16,mai,from
429,alo,front
755,hua,fruit
357,piha,full
586,leʻaleʻa,fun
384,hihiu,game
638,kīhāpai,garden
588,kinoea,gas
980,houluulu,gather
433,haawi,gave
526,nui,general
798,akahai,gentle
106,loaa,get
303,kaikamahine,girl
123,haawi,give
864,olioli,glad
577,aniani,glass
179,hele,go
373,gula,gold
599,hana party,gone
121,maikaʻi loa,good
281,loaʻa,got
496,hoomalu,govern
535,luna nui,grand
578,ka mauu,grass
990,hinahina,gray
132,nui,great
434,ʻōmaʻomaʻo,green
629,ulu,grew
464,honua,ground
286,hui,group
210,ulu,grow
801,koho,guess
924,alakai,guide
840,ka pū,gun
28,i,had
717,lauoho,hair
336,hapalua,half
64,lima,hand
332,hiki mai ana,happen
594,hauʻoli,happy
231,paakiki,hard
174,i,has
953,ua inaina i ka,hat
14,loaa,have
1,ka mea,he
201,poo,head
265,lohe,hear
451,lohe,heard
540,puʻuwai,heart
390,wela,heat
543,kaumaha,heavy
716,paa ana,held
135,kokua,help
167,ia,her
71,maanei,here
74,kiʻekiʻe,high
724,puu,hill
172,ia,him
2,kona,his
788,mōʻaukala,history
771,ku,hit
462,paa,hold
699,puka,hole
62,ka hale,home
595,manaolana,hope
266,ka lio,horse
18,anal,hot
387,anal,hot
453,hola,hour
87,ka hale,house
46,pehea,how
918,nui,huge
787,kanaka,human
457,haneri,hundred
502,i hoʻohālua,hunt
828,wikiwiki,hurry
4,i,i
527,hau,ice
259,manaʻo,idea
44,ina,if
794,manao wale,imagine
34,iloko o,in
351,’īniha,inch
531,nā,include
783,hoike,indicate
742,hana,industry
780,insect,insect
877,koi aku la lakou,instant
575,hana,instrument
465,panee,interest
970,invent,invent
691,hao,iron
24,ka mea,is
365,mokupuni,island
25,ia,it
580,oihana,job
617,hui,join
570,olioli,joy
700,lele,jump
129,pono,just
221,malama,keep
576,malama,kept
690,kī,key
657,pepehi,kill
84,keia ano,kind
349,ke alii,king
344,ike,knew
189,ike,know
621,wahine,lady
659,lake,lake
70,aina,land
399,’ōlelo,language
66,nui,large
224,hope,last
240,hopena o,late
379,akaaka,laugh
730,kanawai,law
482,waiho,lay
408,alakai,lead
213,e ao,learn
610,ka liʻiliʻi loa,least
321,waiho,leave
929,alakai,led
239,hema,left
562,wawae,leg
516,loa,length
474,emi,less
225,e,let
293,palapala,letter
978,ilikai,level
745,moe,lie
248,ola,life
848,ke eaʻe,lift
83,malamalama,light
164,like me,like
137,laina,line
894,wai,liquid
310,papa,list
470,hoolohe,listen
113,iki,little
109,ola,live
777,huli ana,locate
895,mōʻaukala,log
561,lone,lone
168,loihi,long
175,nana,look
635,nalowale,lost
687,puu,lot
662,loa,loud
487,aloha,love
136,haahaa,low
411,maker,machine
108,hana,made
909,mākēneki,magnet
273,ka papa kuhikuhie,main
835,nui,major
169,hana,make
116,kanaka,man
159,he nui,many
493,palapala ’āina,map
291,mark,mark
878,makeke,market
932,nuipa,mass
851,haku,master
913,ń,match
550,mea,material
528,mea,matter
195,mei,may
122,mai iaʻu,me
142,ke ano o,mean
896,"ia mea,",meant
323,ana,measure
817,ai,meat
704,ku i,meet
601,e hoʻonui i,melody
80,kanaka,men
709,metala,metal
672,hana,method
656,waena,middle
233,ikaika,might
295,ka mile,mile
670,waiu,milk
591,miliona,million
444,manao,mind
832,i koʻu,mine
441,minuke,minute
388,miss,miss
631,hui,mix
769,kēia,modern
987,molecule,molecule
660,manawa,moment
489,kala,money
590,mahina,month
364,luna,moon
176,hou,more
475,kakahiaka,morning
185,loa,most
94,makuahine,mother
892,ka noi,motion
566,mauna,mount
261,mauna,mountain
606,waha,mouth
144,hu,move
141,nui,much
352,hoonui,multiply
288,aloha,music
72,pono,must
187,i koʻu,my
126,inoa,name
668,lahuikanaka,nation
748,maoli,natural
889,maoli,nature
96,kokoke,near
802,pono,necessary
900,’ā’ī,neck
86,pono,need
806,hoalauna,neighbor
223,loa,never
102,hou,new
277,aʻe,next
246,pō,night
975,ʻeiwa,nine
184,ʻaʻole,no
977,a noise,noise
767,awakea,noon
947,aole,nor
250,ke akau,north
996,ihu,nose
412,palapala aie,note
353,aole,nothing
499,hoike,notice
418,noun,noun
199,ano,now
182,helu,number
328,numeral,numeral
360,mea,object
664,malama,observe
886,ana,occur
438,moana,ocean
30,a,of
85,aku,off
873,kaumaha,offer
603,oihana,office
292,pinepine,often
435,oh la,oh
626,aila,oil
147,ka wa kahiko,old
7,maluna o,on
263,pākahi,once
13,ʻekahi,one
114,wale no,only
274,hamama,open
760,hana,operate
963,ku pono ana,opposite
27,"ai ole ia,",or
338,aoao,order
673,hui,organ
865,kiʻi,original
38,kekahi,other
124,makou,our
37,aku,out
188,maluna o,over
203,iho,own
901,ka oxygen,oxygen
204,palapala,page
398,pena,paint
530,mau,pair
285,pepa,paper
713,paukū,paragraph
853,makua,parent
104,hapa,part
959,mau,particular
774,’aoʻao,party
345,kekahi,pass
584,i hala iho nei,past
893,ala,path
484,kumu,pattern
674,uku,pay
186,kanaka,people
510,paha,perhaps
782,manawa,period
488,kanaka,person
734,hopuna’ōlelo,phrase
511,e koho i,pick
88,kiʻi,picture
342,kauwahi,piece
930,kukulu iho,pitch
107,wahi,place
302,maopopo,plain
414,kuka,plan
375,pelane,plane
827,honua,planet
214,kanu,plant
58,paani,play
765,e ʻoluʻolu,please
997,plural,plural
813,poem,poem
93,wahi,point
686,ilihune,poor
880,hoolahaia’ku [na kanaka,populate
65,ke awa,port
320,oweliweli,pose
546,wahi,position
374,hiki,possible
860,lāʻau kū,post
423,paona,pound
402,mana,power
761,hana,practice
994,hoomakaukau,prepare
542,keia,present
244,kaomi,press
904,nani,pretty
842,paʻi,print
503,paha,probable
341,pilikia,problem
759,kaʻina,process
448,paka,produce
325,huahana,product
871,pono,proper
985,waiwai,property
766,hoomalu,protect
560,hoao,prove
795,e hoomakaukau i,provide
497,huki,pull
711,pale wale,push
61,kau,put
974,quart,quart
331,ninau,question
436,"poe ola,",quick
680,mālie,quiet
653,loa,quite
897,puu,quotient
554,lāhui,race
784,radio,radio
793,hoino aku,rail
494,ka ua,rain
707,hoala mai,raise
382,holo,ran
890,huahelu,range
809,e aho,rather
466,hiki,reach
63,heluhelu mai o,read
306,makaukau,ready
247,maoli,real
515,kumu,reason
604,loaa,receive
370,mooolelo,record
309,ʻulaʻula,red
520,māhele,region
459,no,remember
991,hana hou,repeat
884,pane,reply
517,ho i,represent
992,pono,require
420,maha,rest
722,result,result
756,waiwai,rich
507,no lilo,ride
145,akau,right
778,ke komo lima,ring
623,ala,rise
296,muliwai,river
492,alanui,road
337,pohaku,rock
739,’ōwili,roll
256,lumi,room
705,aa,root
935,kaula,rope
840,ala,rose
115,a,round
605,lalani,row
818,hamo i,rub
495,rula,rule
241,hoʻoholo,run
725,maluhia,safe
47,mai la,said
549,holo,sail
995,ka paʻakai,salt
149,ia,same
737,one,sand
572,pōʻaono,sat
648,hoola,save
235,i ike ai,saw
134,aku nei au,say
661,pālākiō,scale
209,kula,school
254,nauka,science
926,manual,score
237,kai,sea
837,huli,search
907,manawa,season
949,noho,seat
300,ka lua,second
676,pauku,section
171,ike,see
615,hua,seed
275,he,seem
874,hoʻohana,segment
988,koho i,select
98,iho,self
954,kuai,sell
838,hoouna aku,send
750,hoohalike,sense
640,hoouna,sent
131,olelo,sentence
762,ana,separate
490,malama,serve
52,i,set
523,hoonoho au,settle
712,ʻehiku,seven
478,mau,several
715,e,shall
385,helehelena,shape
866,puu,share
803,oi,sharp
150,ia,she
856,pepa,sheet
899,iwi,shell
984,alohi,shine
334,moku,ship
965,kāmaʻa,shoe
854,mauka,shore
327,pōkole,short
205,e,should
966,poʻohiwi,shoulder
981,poʻohiwi,shoulder
612,hooho,shout
119,hoike,show
197,aoao,side
284,maka,sight
582,hoailona,sign
735,hāmau,silent
910,kala,silver
923,ano like,similar
477,mea,simple
346,mai,since
469,mele,sing
692,hookahi,single
919,"kaikuaʻana, kaikaina",sister
553,noho,sit
471,ʻeono,six
521,ka nui,size
905,akamai,skill
696,ili,skin
568,lani,sky
875,kauwa,slave
559,hiamoe,sleep
936,oihana,slip
485,kali,slow
59,uuku,small
945,honi,smell
697,minoʻaka,smile
391,hau,snow
165,pela,so
585,pahee,soft
738,aina,soil
758,koa,soldier
908,pāʻoihana,solution
708,ke hoʻoponopono,solve
22,kekahi,some
658,keikikāne,son
322,mele,song
315,koke,soon
183,hookani,sound
340,ka hema,south
450,makahiki,space
524,olelo,speak
443,kūikawā,special
888,olelo,speech
671,ka mämä holo,speed
67,wale,spell
861,ke lilo aku,spend
785,olelo,spoke
844,wahi,spot
967,hoolaha aku,spread
663,waipuna,spring
514,pāhoʻonui,square
202,ku,stand
416,hoku,star
232,hoʻomaka,start
220,moku’āina,state
867,wahi,station
355,noho,stay
376,wahi,stead
891,mahu,steam
920,kila,steel
460,’anuʻu,step
693,koʻokoʻo,stick
212,malie,still
681,pohaku,stone
427,ku,stood
262,hooki,stop
556,hale kūʻai,store
234,moʻolelo,story
666,pololei,straight
598,malihini,strange
822,kahawai o,stream
350,alanui,street
982,’ō,stretch
814,kaula,string
442,ikaika,strong
772,haumana,student
211,like,study
519,kumuhana,subject
857,waiwai,substance
957,unuhi,subtract
955,holomua,success
75,ia,such
512,ulia,sudden
914,kau hope,suffix
902,kōpaʻa,sugar
618,paipai,suggest
846,hoopii,suit
557,ke kau,summer
217,lā,sun
775,lako hou,supply
887,kākoʻo,support
268,"paa,",sure
362,ili,surface
679,haohao,surprise
961,’auʻau,swim
533,syllable,syllable
608,hōʻailona,symbol
367,nenoaiu,system
472,papaʻaina,table
447,huelo,tail
105,lawe,take
313,o anakuhi,talk
736,kiʻekiʻe,tall
430,ao,teach
632,hui,team
898,niho,teeth
50,hai aku,tell
740,wela,temperature
476,ʻumi,ten
962,manawa,term
369,hōʻike,test
191,mamua o,than
911,aloha,thank
3,ia,that
29,ka,the
42,ko lakou,their
161,ia lakou,them
160,"alaila,",then
152,laila,there
166,mau,these
10,lakou,they
757,manoanoa,thick
825,lahilahi,thin
170,mea,thing
133,manao,think
714,ke kolu,third
15,keia,this
289,mau,those
311,nae,though
226,manaʻo,thought
380,tausani,thousand
53,ʻekolu,three
128,ma,through
983,hoolei,throw
797,pela,thus
833,ka hawai i,tie
43,manawa,time
682,wahi,tiny
392,kaea,tire
31,i,to
276,pu,together
343,haʻi,told
616,leo,tone
148,oi aku,too
253,lawe,took
942,hoʻopololei,tool
347,luna,top
943,huina,total
628,hoopa aku,touch
480,ma,toward
403,kulanakauhale,town
852,track,track
600,kuai,trade
558,nalowale,train
473,hele,travel
228,laau,tree
826,triangle,triangle
602,huakai,trip
611,pilikia,trouble
976,kona kalaka,truck
455,oiaio,true
89,hoao,try
819,tube,tube
139,huli,turn
695,ʻiwakālua,twenty
173,ʻelua,two
729,ʻano,type
125,malalo o,under
401,pa alima,unit
294,a hiki i,until
154,ae la,up
90,makou,us
155,hoʻohana,use
304,mau,usual
946,awāwa,valley
743,waiwai,value
522,lauwili,vary
468,verb,verb
127,loa,very
749,hawaii,view
703,kauhale,village
583,makaikai.,visit
500,leo,voice
479,vowel,vowel
413,kali,wait
282,hele,walk
564,pa,wall
54,makemake,want
481,kaua,war
439,pumehana,warm
5,ia,was
807,holoi ai,wash
269,kiai,watch
190,ka wai,water
538,hawewe,wave
157,ala,way
35,makou,we
637,komo,wear
589,map,weather
431,pule,week
525,kaumaha,weight
56,pono,well
82,hele,went
39,he,were
463,komohana,west
21,ka mea,what
356,huila,wheel
153,i ka wa,when
110,kahi,where
710,paha,whether
40,ka mea,which
243,oiai,while
278,keʻokeʻo,white
194,ka mea,who
348,a pau,whole
776,kona,whose
78,no ke aha mai,why
548,"ka laula,",wide
964,wahine,wife
574,hihiu,wild
45,makemake,will
937,lanakila ’,win
330,makani,wind
555,puka makani,window
804,’ēheu,wing
571,hooilo,winter
633,uea,wire
567,makemake,wish
9,me,with
799,wahine,woman
906,na wahine,women
378,hoohuoi,wonder
752,e ole,won’t
272,laau,wood
19,olelo,word
103,hana,work
95,ao,world
163,makemake,would
162,kakau,write
573,kakauia,written
989,hewa,wrong
614,kakau iho la,wrote
622,iwilei,yard
117,makahiki,year
839,melemele,yellow
394,ʻae,yes
537,"aka,",yet
26,oe,you
305,opiopio,young
156,oukou,your
