number,bengali,english
466,নাগাল,reach
63,পড়া,read
306,প্রস্তুত,ready
247,বাস্তব,real
515,কারণ,reason
604,পাবেন,receive
370,রেকর্ড,record
309,লাল,red
520,অঞ্চল,region
459,"মনে রাখবেন,",remember
991,পুনরাবৃত্তি,repeat
884,উত্তর,reply
517,প্রতিনিধিত্ব,represent
992,প্রয়োজন,require
420,বাকি,rest
722,ফলে,result
756,সমৃদ্ধ,rich
507,যাত্রায়,ride
145,অধিকার,right
778,রিং,ring
623,ওঠা,rise
296,নদী,river
492,রাস্তা,road
337,শিলা,rock
739,রোল,roll
256,রুম,room
705,রুট,root
935,দড়ি,rope
840,গোলাপ,rose
115,বৃত্তাকার,round
605,সারি,row
818,বিপত্তি,rub
495,নিয়ম,rule
241,রান,run
725,নিরাপদ,safe
47,"তিনি বলেন,",said
549,পাল তোলা,sail
995,লবণ,salt
149,একই,same
737,বালি,sand
572,শনি,sat
648,সংরক্ষণ,save
235,করাত,saw
134,বলে,say
661,স্কেল,scale
209,স্কুল,school
254,বিজ্ঞান,science
926,স্কোর,score
237,সমুদ্র,sea
837,অনুসন্ধান,search
907,ঋতু,season
949,আসন,seat
300,দ্বিতীয়,second
676,অধ্যায়,section
171,দেখা,see
615,বীজ,seed
275,মনে হচ্ছে,seem
874,অংশ,segment
988,নির্বাচন,select
98,স্ব,self
954,বিক্রি,sell
838,পাঠান,send
750,জ্ঞান,sense
640,পাঠানো,sent
131,বাক্য,sentence
762,পৃথক,separate
490,পরিবেশন করা,serve
52,সেট,set
523,স্থায়ীভাবে বসবাস করা,settle
712,সাত,seven
478,বিভিন্ন,several
715,হইবে,shall
385,আকৃতি,shape
866,ভাগ,share
803,ধারালো,sharp
150,তিনি,she
856,শীট,sheet
899,খোলা,shell
984,উজ্জ্বল,shine
334,জাহাজ,ship
965,জুতো,shoe
981,দোকান,shop
854,তীরে,shore
327,সংক্ষিপ্ত,short
205,উচিত,should
966,কাঁধ,shoulder
612,চিত্কার,shout
119,শো,show
197,পাশ,side
284,দৃষ্টিশক্তি,sight
582,সাইন,sign
735,নীরব,silent
910,রূপালী,silver
923,অনুরূপ,similar
477,সহজ,simple
346,খবর,since
469,গাত্তয়া,sing
692,একক,single
919,বোন,sister
553,বসতে,sit
471,ছয়,six
521,আকার,size
905,দক্ষতা,skill
696,ত্বক,skin
568,আকাশ,sky
875,ক্রীতদাস,slave
559,ঘুম,sleep
936,স্লিপ,slip
485,ধীর,slow
59,ছোট,small
945,গন্ধ,smell
697,হাসি,smile
391,তুষার,snow
165,সুতরাং,so
585,নরম,soft
738,মাটি,soil
758,সৈনিক,soldier
908,সমাধান,solution
708,সমাধান,solve
23,কিছু,some
658,ছেলে,son
322,গান,song
315,শীঘ্রই,soon
183,শব্দ,sound
340,দক্ষিণ,south
450,স্থান,space
524,কথা বলতে,speak
443,বিশেষ,special
888,বক্তৃতা,speech
671,গতি,speed
67,বানান,spell
861,ব্যয়,spend
785,বক্তব্য রাখেন,spoke
844,অকুস্থল,spot
967,বিস্তার,spread
663,বসন্ত,spring
514,বর্গ,square
202,দাঁড়ানো,stand
416,তারা,star
232,শুরু,start
220,রাষ্ট্র,state
867,স্টেশন,station
355,থাকার,stay
376,উপকার,stead
891,বাষ্প,steam
920,ইস্পাত,steel
460,পদক্ষেপ,step
693,লাঠি,stick
212,এখনও,still
681,পাথর,stone
427,দাঁড়িয়ে,stood
262,বন্ধ,stop
556,দোকান,store
234,গল্প,story
666,সোজা,straight
598,অদ্ভুত,strange
822,প্রবাহ,stream
350,রাস্তায়,street
982,প্রসারিত,stretch
814,স্ট্রিং,string
442,শক্তিশালী,strong
772,ছাত্র,student
211,গবেষণা,study
519,বিষয়,subject
857,পদার্থ,substance
957,বিয়োগ করা,subtract
955,সাফল্য,success
75,এমন,such
512,আকস্মিক,sudden
914,মূল শব্দের অন্তে যুক্ত প্রত্যয় বিভক্তি প্রভৃতি,suffix
902,চিনি,sugar
618,সুপারিশ,suggest
846,মামলা,suit
557,গ্রীষ্ম,summer
217,সূর্য,sun
775,সরবরাহ,supply
887,সমর্থন,support
268,নিশ্চিত,sure
362,পৃষ্ঠ,surface
679,বিস্ময়,surprise
961,সাঁতার কাটা,swim
533,শব্দাংশ,syllable
608,প্রতীক,symbol
367,সিস্টেম,system
472,টেবিল,table
447,লেঙ্গুড়,tail
105,গ্রহণ করা,take
313,আলাপ,talk
736,লম্বা,tall
430,শেখান,teach
632,দল,team
898,দাঁত,teeth
50,বলুন,tell
740,তাপমাত্রা,temperature
476,দশ,ten
962,শব্দ,term
369,পরীক্ষা,test
191,তুলনায়,than
911,ধন্যবাদ,thank
4,যে,that
29,দী,the
42,তাদের,their
161,তাদের,them
160,তারপর,then
152,সেখানে,there
166,এই,these
11,তারা,they
757,পুরু,thick
825,পাতলা,thin
170,বিষয়,thing
133,মনে,think
714,তৃতীয়,third
16,এই,this
289,যারা,those
311,যদিও,though
226,চিন্তার,thought
380,হাজার,thousand
53,তিন,three
128,মাধ্যমে,through
983,নিক্ষেপ,throw
797,এইভাবে,thus
833,টাই,tie
43,সময়,time
682,অতি ক্ষুদ্র,tiny
392,টায়রা,tire
31,থেকে,to
276,একসঙ্গে,together
343,বলা,told
616,স্বন,tone
148,খুব,too
253,গ্রহণ,took
942,টুল,tool
347,শীর্ষ,top
943,মোট,total
628,স্পর্শ,touch
480,দিকে,toward
403,শহরে,town
852,ট্র্যাক,track
600,বাণিজ্য,trade
558,ট্রেন,train
473,ভ্রমণ,travel
228,গাছ,tree
826,ত্রিভুজ,triangle
602,ট্রিপ,trip
611,কষ্ট,trouble
976,ট্রাক,truck
455,সত্য,true
89,চেষ্টা,try
819,টিউব,tube
139,পালা,turn
695,বিশ,twenty
173,দুই,two
729,টাইপ,type
125,অধীন,under
401,ইউনিট,unit
294,পর্যন্ত,until
154,আপ,up
90,আমাদের,us
155,ব্যবহার,use
304,স্বাভাবিক,usual
946,উপত্যকা,valley
743,মূল্য,value
522,পরিবর্তিত হতে,vary
468,ক্রিয়া,verb
127,খুব,very
749,দেখুন,view
703,গ্রাম,village
583,দর্শন,visit
500,ভয়েস,voice
479,স্বরবর্ণ,vowel
413,অপেক্ষা করুন,wait
282,পদব্রজে ভ্রমণ,walk
564,প্রাচীর,wall
54,চান,want
481,যুদ্ধ,war
439,উষ্ণ,warm
6,ছিল,was
807,ধোয়ার,wash
269,ঘড়ি,watch
190,জল,water
538,তরঙ্গ,wave
157,উপায়,way
35,আমরা,we
637,পরিধান,wear
589,আবহাওয়া,weather
431,সপ্তাহে,week
525,ওজন,weight
56,ভাল,well
82,গিয়েছিলাম,went
39,ছিল,were
463,পশ্চিম,west
22,কি,what
356,চাকা,wheel
153,যখন,when
110,যেখানে,where
710,কিনা,whether
40,যা,which
243,যখন,while
278,সাদা,white
194,যারা,who
348,সমগ্র,whole
776,যার,whose
78,কেন,why
548,ব্যাপক,wide
964,স্ত্রী,wife
574,বন্য,wild
45,অভিলাষ,will
937,জয়,win
330,বায়ু,wind
555,উইন্ডো,window
804,গরূৎ,wing
571,শীতকালীন,winter
633,তারের,wire
567,ইচ্ছুক,wish
10,সঙ্গে,with
799,নারী,woman
906,নারী,women
378,আশ্চর্যের,wonder
752,না করবে না,won’t
272,কাঠ,wood
20,শব্দ,word
103,কাজ,work
95,বিশ্বের,world
163,হবে,would
162,লিখুন,write
573,লেখা,written
989,ভুল,wrong
614,লিখেছেন,wrote
622,গজ,yard
117,বছর,year
839,হলুদ,yellow
394,হ্যাঁ,yes
537,এখনো,yet
26,আপনি,you
305,তরুণ,young
156,আপনার,your
