number,slovenian,english
227,mesto,city
999,trditev,claim
329,razred,class
619,čist,clean
446,jasno,clear
683,vzpon,climb
831,ura,clock
245,zapri,close
597,oblekli,clothe
678,oblaku,cloud
732,obala,coast
931,plašč,coat
498,hladno,cold
647,zbiranje,collect
830,kolonija,colony
270,barva,color
986,stolpec,column
180,prišel,come
372,pogosti,common
956,podjetje,company
812,primerjati,compare
333,popolna,complete
940,pogoj,condition
859,povezati,connect
728,"menijo,",consider
667,soglasnikom,consonant
428,vsebujejo,contain
1000,celina,continent
950,naprej,continue
649,nadzor,control
719,kuharica,cook
684,cool,cool
733,izvod,copy
811,koruza,corn
773,kotiček,corner
421,pravilna,correct
634,stroški,cost
971,bombaž,cotton
178,lahko,could
513,računati,count
206,država,country
354,seveda,course
215,pokrov,cover
579,krava,cow
698,mečkanju,crease
805,ustvariti,create
768,pridelka,crop
229,čez,cross
810,množica,crowd
409,cry,cry
847,sedanji,current
267,cut,cut
868,oče,dad
544,ples,dance
754,nevarnost,danger
410,temna,dark
177,dan,day
843,mrtvi,dead
960,dogovor,deal
882,dragi,dear
903,smrt,death
361,odloči,decide
650,decimalno,decimal
363,globoko,deep
879,stopnja,degree
816,odvisni,depend
718,opisati,describe
845,desert,desert
685,zasnova,design
973,določitev,determine
437,razvoj,develop
669,slovar,dictionary
181,storil,did
609,die,die
138,razlikujejo,differ
763,težko,difficult
319,neposredne,direct
921,razpravljali,discuss
395,oddaljeni,distant
532,divide,divide
855,delitev,division
41,storiti,do
764,zdravnik,doctor
51,ne,does
317,pes,dog
921,dolarjih,dollar
424,narejeno,done
242,ne,don’t
324,vrata,door
948,dvojna,double
196,navzdol,down
238,pripravi,draw
938,sanjati,dream
677,obleka,dress
885,pijača,drink
426,pogon,drive
539,spusti,drop
377,suha,dry
876,duck,duck
456,med,during
49,vsak,each
651,uho,ear
461,zgodaj,early
99,zemlja,earth
284,enostavnost,ease
397,vzhod,east
255,jesti,eat
581,rob,edge
789,učinek,effect
506,jajce,egg
702,osem,eight
721,bodisi,either
790,električni,electric
770,elementa,element
652,ostalo,else
60,konec,end
883,sovražnik,enemy
501,energije,energy
545,motor,engine
301,dovolj,enough
834,vpišite,enter
639,enako,equal
386,enačijo,equate
915,še posebej,especially
69,celo,even
939,večer,evening
958,dogodek,event
308,kdaj,ever
120,vsak,every
607,natančen,exact
283,primer,example
613,razen,except
747,navdušile,excite
563,vadba,exercise
791,pričakujejo,expect
925,izkušnje,experience
688,eksperiment,experiment
222,oči,eye
271,obraz,face
449,dejstvo,fact
645,poštena,fair
407,padec,fall
318,družina,family
820,slavni,famous
236,daleč,far
230,kmetija,farm
467,hitro,fast
863,maščobe,fat
100,oče,father
858,prednost,favor
823,strah,fear
941,krma,feed
312,počutijo,feel
298,feet,feet
642,padel,fell
534,čutil,felt
249,nekaj,few
419,polje,field
916,fig,fig
744,boj,fight
415,slika,figure
396,izpolnite,fill
432,final,final
200,ugotovijo,find
404,fina,fine
741,prstov,finger
593,konča,finish
339,požar,fire
193,prva,first
260,ribe,fish
643,fit,fit
458,pet,five
694,pavšalni,flat
720,nadstropje,floor
644,tok,flow
596,cvet,flower
406,letenje,fly
76,sledite,follow
216,hrana,food
366,foot,foot
7,za,for
358,sila,force
552,gozd,forest
130,obrazec,form
922,naprej,forward
207,najdenih,found
218,štiri,four
551,frakcija,fraction
440,brezplačno,free
836,sveža,fresh
257,prijatelj,friend
17,od,from
429,spredaj,front
755,sadje,fruit
357,polno,full
586,zabavno,fun
384,igra,game
638,vrt,garden
588,plin,gas
980,zbrati,gather
433,dal,gave
526,splošno,general
798,nežna,gentle
106,zaslužiti,get
303,dekle,girl
123,dati,give
864,vesel,glad
577,steklo,glass
179,pojdi,go
373,gold,gold
599,odšli,gone
121,dobro,good
281,dobil,got
496,urejajo,govern
535,jurjev,grand
578,trava,grass
990,siva,gray
132,velika,great
434,zelena,green
629,rasla,grew
464,zemlja,ground
286,skupina,group
210,raste,grow
801,verjetno,guess
924,vodič,guide
840,gun,gun
28,imela,had
717,lasje,hair
336,pol,half
64,hand,hand
332,zgodilo,happen
594,srečen,happy
231,težko,hard
174,ima,has
953,hat,hat
15,imajo,have
5,je,he
201,glava,head
265,slišal,hear
451,slišal,heard
540,srce,heart
390,toplota,heat
543,težka,heavy
716,ročna,held
135,pomaga,help
167,jo,her
71,tukaj,here
74,visoka,high
724,hribu,hill
172,njega,him
3,njegov,his
788,zgodovina,history
771,udaril,hit
462,držite,hold
699,luknja,hole
62,domov,home
595,"upam,",hope
266,konj,horse
19,hot,hot
387,hot,hot
453,ura,hour
87,hiša,house
46,kako,how
918,velika,huge
787,človek,human
457,sto,hundred
502,lov,hunt
828,pohiti,hurry
2,i,i
527,ice,ice
259,ideja,idea
44,če,if
794,predstavljate,imagine
34,v,in
351,inch,inch
531,vključujejo,include
783,navesti,indicate
742,industrija,industry
780,insect,insect
877,takojšnje,instant
575,inštrument,instrument
465,obresti,interest
970,izumiti,invent
691,likalnik,iron
24,je,is
365,otok,island
25,lastna,it
580,delo,job
617,pridružite,join
570,joy,joy
700,skok,jump
129,samo,just
221,hraniti,keep
576,hrani,kept
690,ključ,key
657,ubiti,kill
84,vrsta,kind
349,king,king
344,vedel,knew
189,vedeti,know
621,lady,lady
659,jezero,lake
70,zemljišč,land
399,jezik,language
66,velika,large
224,zadnja,last
240,pozno,late
379,smeh,laugh
730,pravo,law
482,določiti,lay
408,vodi,lead
213,naučiti,learn
610,vsaj,least
321,zapusti,leave
929,vodil,led
239,levo,left
562,leg,leg
516,dolžina,length
474,manj,less
225,naj,let
293,pismo,letter
978,raven,level
745,laž,lie
248,življenje,life
848,vlečnica,lift
83,svetloba,light
164,kot,like
137,vrstica,line
894,tekočina,liquid
310,seznam,list
470,poslušati,listen
113,malo,little
109,živeti,live
777,poiščite,locate
895,se prijavite,log
561,samoten,lone
168,dolgo,long
175,poglej,look
635,izgubil,lost
687,veliko,lot
662,glasno,loud
487,ljubezen,love
136,nizka,low
411,stroj,machine
108,je,made
909,magnetni,magnet
273,glavni,main
835,velika,major
169,bi,make
116,moški,man
159,veliko,many
493,zemljevid,map
291,znamka,mark
878,trg,market
932,masa,mass
851,mojster,master
913,tekma,match
550,material,material
528,"glede na to,",matter
195,lahko,may
122,me,me
142,pomeni,mean
896,pomenilo,meant
323,merjenje,measure
817,meso,meat
704,izpolnjujejo,meet
601,melodijo,melody
80,moški,men
709,kovine,metal
672,metoda,method
656,middle,middle
233,morda,might
295,miljo,mile
670,mleko,milk
591,milijonov,million
444,razum,mind
832,rudnik,mine
441,minute,minute
388,gospodična,miss
631,premešamo,mix
769,sodobna,modern
987,molekula,molecule
660,trenutek,moment
489,denar,money
590,mesec,month
364,mesec,moon
176,več,more
475,jutro,morning
185,najbolj,most
94,mati,mother
892,gibanja,motion
566,nastavek,mount
261,gorsko,mountain
606,usta,mouth
144,poteza,move
141,veliko,much
352,množijo,multiply
288,glasba,music
72,mora,must
187,my,my
126,ime,name
668,narod,nation
748,naravna,natural
889,narava,nature
96,blizu,near
802,potrebno,necessary
900,vratu,neck
86,potrebujete,need
806,sosed,neighbor
223,nikoli,never
102,novo,new
277,naslednja,next
246,noč,night
975,devetimi,nine
184,ne,no
977,hrup,noise
767,opoldne,noon
947,niti,nor
250,sever,north
996,nos,nose
412,opomba,note
353,nič,nothing
499,obvestilo,notice
418,samostalnik,noun
199,zdaj,now
182,številka,number
328,številka,numeral
360,predmet,object
664,opazovati,observe
886,pojavijo,occur
438,oceanov,ocean
30,od,of
85,izklopite,off
873,ponudba,offer
603,pisarna,office
292,pogosto,often
435,oh,oh
626,olje,oil
147,star,old
8,o,on
263,enkrat,once
14,ena,one
114,samo,only
274,open,open
760,deluje,operate
963,nasproti,opposite
27,ali,or
338,da,order
673,organov,organ
865,izvirnik,original
38,druga,other
124,naše,our
37,out,out
188,več,over
203,lastna,own
901,kisika,oxygen
204,stran,page
398,barve,paint
530,par,pair
285,papir,paper
713,odstavek,paragraph
853,matična,parent
104,del,part
959,zlasti,particular
774,zabava,party
345,mimo,pass
584,mimo,past
893,pot,path
484,vzorec,pattern
674,plačati,pay
186,ljudje,people
510,morda,perhaps
782,obdobje,period
488,oseba,person
734,stavek,phrase
511,izberi,pick
88,slika,picture
342,kos,piece
930,smola,pitch
107,kraj,place
302,plain,plain
414,načrt,plan
375,plane,plane
827,planet,planet
214,rastlin,plant
58,igrajo,play
765,prosim,please
997,množina,plural
813,pesem,poem
93,točka,point
686,slaba,poor
880,zapolnijo,populate
65,pristanišče,port
320,predstavljajo,pose
546,položaj,position
374,mogoče,possible
860,objave,post
423,pound,pound
402,moč,power
761,praksa,practice
994,pripraviti,prepare
542,prisoten,present
244,pritisnite,press
904,precej,pretty
842,print,print
503,verjetno,probable
341,težava,problem
759,proces,process
448,proizvajajo,produce
325,izdelek,product
871,pravilno,proper
985,nepremičnine,property
766,zaščito,protect
560,dokazati,prove
795,zagotavljajo,provide
497,potegnite,pull
711,pritisni,push
61,dal,put
974,kvartal,quart
331,vprašanje,question
436,hitra,quick
680,tiho,quiet
653,precej,quite
897,kvocient,quotient
554,rase,race
784,radijska,radio
793,železnici,rail
494,dež,rain
707,dvigniti,raise
382,tekel,ran
890,območje,range
809,precej,rather
466,doseže,reach
63,preberite,read
306,pripravljen,ready
247,real,real
515,razlog,reason
604,prejemanje,receive
370,zapis,record
309,rdeča,red
520,okolica,region
459,ne pozabite,remember
991,repeat,repeat
884,odgovor,reply
517,predstavljajo,represent
992,zahtevajo,require
420,počitek,rest
722,rezultat,result
756,bogata,rich
507,vožnje,ride
145,prav,right
778,obroč,ring
623,narašča,rise
296,river,river
492,cesta,road
337,skala,rock
739,rolo,roll
256,soba,room
705,koren,root
935,rope,rope
840,povečale,rose
115,krog,round
605,vrstica,row
818,rub,rub
495,pravilo,rule
241,rok,run
725,varna,safe
47,je dejal,said
549,jadra,sail
995,sol,salt
149,enako,same
737,pesek,sand
572,sat,sat
648,shranite,save
235,žaga,saw
134,reči,say
661,lestvica,scale
209,šola,school
254,znanost,science
926,ocena,score
237,morje,sea
837,iskanje,search
907,sezona,season
949,sedež,seat
300,drugi,second
676,oddelek,section
171,glej,see
615,seme,seed
275,zdi,seem
874,segmenta,segment
988,izberite,select
98,samozaposlene,self
954,prodamo,sell
838,pošlji,send
750,občutek,sense
640,poslano,sent
131,stavek,sentence
762,ločena,separate
490,služijo,serve
52,set,set
523,poravnavo,settle
712,sedem,seven
478,več,several
715,se,shall
385,oblika,shape
866,delež,share
803,ostra,sharp
150,ona,she
856,stanja,sheet
899,lupine,shell
984,lesk,shine
334,ladja,ship
965,čevelj,shoe
981,trgovina,shop
854,shore,shore
327,short,short
205,smeli,should
966,ramo,shoulder
612,vzklik,shout
119,prikaži,show
197,side,side
284,pogled,sight
582,znamenje,sign
735,tiho,silent
910,srebrna,silver
923,podobno,similar
477,preprost,simple
346,saj,since
469,pojejo,sing
692,enojni,single
919,sestra,sister
553,sit,sit
471,šest,six
521,velikost,size
905,spretnost,skill
696,koža,skin
568,nebo,sky
875,suženj,slave
559,spanja,sleep
936,slip,slip
485,počasen,slow
59,majhna,small
945,vonj,smell
697,nasmešek,smile
391,sneg,snow
165,tako,so
585,mehki,soft
738,tal,soil
758,vojak,soldier
908,rešitev,solution
708,reševanje,solve
23,nekateri,some
658,sin,son
322,pesem,song
315,kmalu,soon
183,zvok,sound
340,južno,south
450,prostor,space
524,govorijo,speak
443,posebna,special
888,govor,speech
671,hitrost,speed
67,črkovati,spell
861,preživeti,spend
785,govoril,spoke
844,mesto,spot
967,širjenje,spread
663,pomlad,spring
514,square,square
202,stojalo,stand
416,zvezda,star
232,začetek,start
220,država,state
867,postaja,station
355,bivanje,stay
376,stead je,stead
891,paro,steam
920,jeklo,steel
460,korak,step
693,palica,stick
212,vedno,still
681,kamen,stone
427,stal,stood
262,ustaviti,stop
556,trgovina,store
234,zgodba,story
666,naravnost,straight
598,čudno,strange
822,tok,stream
350,ulica,street
982,odsek,stretch
814,niz,string
442,močna,strong
772,študent,student
211,študija,study
519,predmet,subject
857,snov,substance
957,odštevanje,subtract
955,uspeh,success
75,kot,such
512,nenadna,sudden
914,pripona,suffix
902,sladkorja,sugar
618,predlagam,suggest
846,obleka,suit
557,poletje,summer
217,sonce,sun
775,oskrba,supply
887,podpora,support
268,prepričajte,sure
362,površina,surface
679,presenečenje,surprise
961,swim,swim
533,zlog,syllable
608,simbol,symbol
367,sistem,system
472,miza,table
447,rep,tail
105,sprejmejo,take
313,pogovor,talk
736,visok,tall
430,poučevanje,teach
632,ekipa,team
898,zobje,teeth
50,povej,tell
740,temperaturo,temperature
476,ten,ten
962,izraz,term
369,preskus,test
191,kot,than
911,hvala,thank
4,da,that
29,pojdi,the
42,njihovo,their
161,jim,them
160,potem,then
152,obstaja,there
166,ti,these
11,so,they
757,debela,thick
825,tanka,thin
170,stvar,thing
133,mislim,think
714,tretji,third
16,to,this
289,"tisti,",those
311,čeprav,though
226,mislila,thought
380,tisoč,thousand
53,tri,three
128,skozi,through
983,vrgel,throw
797,torej,thus
833,tie,tie
43,čas,time
682,droben,tiny
392,pnevmatik,tire
31,za,to
276,skupaj,together
343,povedal,told
616,tona,tone
148,tudi,too
253,je,took
942,orodje,tool
347,na vrh,top
943,objav,total
628,dotikajte,touch
480,proti,toward
403,mesto,town
852,steza,track
600,trgovina,trade
558,vlak,train
473,travel,travel
228,drevo,tree
826,trikotnik,triangle
602,izlet,trip
611,težava,trouble
976,tovornjak,truck
455,velja,true
89,poskusite,try
819,cev,tube
139,zavoj,turn
695,dvajset,twenty
173,dve,two
729,tip,type
125,pod,under
401,enota,unit
294,dokler,until
154,up,up
90,nam,us
155,uporaba,use
304,običajni,usual
946,dolina,valley
743,vrednost,value
522,razlikujejo,vary
468,glagol,verb
127,zelo,very
749,pogled,view
703,vas,village
583,obisk,visit
500,glas,voice
479,samoglasnik,vowel
413,počakajte,wait
282,sprehod,walk
564,stena,wall
54,želim,want
481,vojna,war
439,toplo,warm
6,je bil,was
807,pranje,wash
269,gledam,watch
190,vode,water
538,val,wave
157,način,way
35,smo,we
637,nosite,wear
589,vreme,weather
431,teden,week
525,teža,weight
56,dobro,well
82,šel,went
39,so bili,were
463,zahodno,west
22,kaj,what
356,kolo,wheel
153,ko,when
110,kjer je,where
710,ali,whether
40,ki,which
243,medtem,while
278,bela,white
194,ki,who
348,celoten,whole
776,katerih,whose
78,zakaj,why
548,široka,wide
964,žena,wife
574,divje,wild
45,bo,will
937,win,win
330,veter,wind
555,okno,window
804,krila,wing
571,zima,winter
633,žica,wire
567,želja,wish
10,s,with
799,ženska,woman
906,ženske,women
378,"sprašujem se,",wonder
752,ne bo,won’t
272,les,wood
20,beseda,word
103,delo,work
95,svet,world
163,bi,would
162,pisati,write
573,pisna,written
989,narobe,wrong
614,napisal,wrote
622,dvorišče,yard
117,letnik,year
839,rumena,yellow
394,pritrdilen,yes
537,še,yet
26,si,you
305,mlada,young
156,vaš,your
