number,hebrew,english
814,מחרוזת,string
442,חזק,strong
772,סטודנט,student
211,מחקר,study
519,נושא,subject
857,חומר,substance
957,להחסיר,subtract
955,הצלחה,success
75,כזה,such
512,פתאומי,sudden
914,סיומת,suffix
902,סוכר,sugar
618,מציע,suggest
846,חליפה,suit
557,הקיץ,summer
217,שמש,sun
775,אספקה,supply
887,תמיכה,support
268,בטוח,sure
362,פני השטח,surface
679,הפתעה,surprise
961,לשחות,swim
533,הברה,syllable
608,סמל,symbol
367,מערכת,system
472,שולחן,table
447,זנב,tail
105,לקחת,take
313,דיבורים,talk
736,גבוה,tall
430,ללמד,teach
632,צוות,team
898,שיניים,teeth
50,לספר,tell
740,טמפרטורה,temperature
476,עשר,ten
962,טווח,term
369,מבחן,test
191,מאשר,than
911,תודה,thank
4,ש,that
29,עבור,the
42,שלהם,their
161,שלהם,them
160,אז,then
152,שם,there
166,אלה,these
11,הם,they
757,עבה,thick
825,דק,thin
170,דבר,thing
133,חושב,think
714,שלישי,third
16,זה,this
289,אלה,those
311,למרות ש,though
226,חשבתי,thought
380,אלף,thousand
53,שלוש,three
128,דרך,through
983,לזרוק,throw
797,כך,thus
833,עניבה,tie
43,זמן,time
682,זעיר,tiny
392,צמיג,tire
31,אל,to
276,יחד,together
343,אמר לי,told
616,טון,tone
148,גם,too
253,לקחתי,took
942,כלי,tool
347,עליון,top
943,סך הכל,total
628,לגעת,touch
480,לקראת,toward
403,העיר,town
852,מסלול,track
600,מסחר,trade
558,רכבת,train
473,נסיעה,travel
228,עץ,tree
826,משולש,triangle
602,טיול,trip
611,צרות,trouble
976,משאית,truck
455,נכון,true
89,לנסות,try
819,צינור,tube
139,תור,turn
695,עשרים,twenty
173,שנים,two
729,סוג,type
125,תחת,under
401,יחידה,unit
294,עד,until
154,למעלה,up
90,שלנו,us
155,שימוש,use
304,כרגיל,usual
946,עמק,valley
743,ערך,value
522,להשתנות,vary
468,פועל,verb
127,מאוד,very
749,תצוגה,view
703,כפר,village
583,ביקור,visit
500,קול,voice
479,תנועה,vowel
413,לחכות,wait
282,ללכת,walk
564,קיר,wall
54,רוצה,want
481,מלחמה,war
439,חם,warm
6,היה,was
807,לשטוף,wash
269,לצפות,watch
190,מים,water
538,גל,wave
157,דרך,way
35,אנחנו,we
637,ללבוש,wear
589,מזג אוויר,weather
431,שבוע,week
525,משקל,weight
56,גם,well
82,הלכתי,went
39,היו,were
463,מערב,west
22,מה,what
356,גלגל,wheel
153,כאשר,when
110,איפה,where
710,אם,whether
40,ש,which
243,תוך,while
278,לבן,white
194,מי,who
348,כל,whole
776,של מי,whose
78,מדוע,why
548,רחב,wide
964,אישה,wife
574,פראי,wild
45,יהיה,will
937,לנצח,win
330,רוח,wind
555,חלון,window
804,כנף,wing
571,חורף,winter
633,חוט,wire
567,מאחל לי,wish
10,עם,with
799,אישה,woman
906,נשים,women
378,פלא,wonder
752,לא יהיה,won’t
272,עץ,wood
20,מילה,word
103,עבודה,work
95,עולם,world
163,היית,would
162,לכתוב,write
573,נכתב,written
989,לא נכון,wrong
614,כתבתי,wrote
622,חצר,yard
117,שנה,year
839,צהוב,yellow
394,כן,yes
537,בכל זאת,yet
26,אתה,you
305,צעיר,young
156,שלך,your
