number,shona,english
669,duramazwi,dictionary
181,akaita,did
609,kufa,die
138,wakasiyana,differ
763,zvakaoma,difficult
319,chaipoipo,direct
921,kurukura,discuss
395,kure,distant
532,kamura,divide
855,kupesana,division
41,ita,do
764,chiremba,doctor
51,anoita,does
317,imbwa,dog
921,dhora,dollar
424,nokuita,done
242,regai,don’t
324,musuo,door
948,kaviri,double
196,pasi,down
238,kuzochera,draw
938,rota,dream
677,pfeka,dress
885,chinwiwa,drink
426,fambisa,drive
539,donhedza,drop
377,akaoma,dry
876,dhadha,duck
456,munguva,during
49,chimwe nechimwe,each
651,nzeve,ear
461,mangwanani,early
99,pasi,earth
284,unyore,ease
397,mabvazuva,east
255,udye,eat
581,mucheto,edge
789,chaizvoizvo,effect
506,zai,egg
702,sere,eight
721,kana,either
790,zvemagetsi,electric
770,eremendi,element
652,mumwe,else
60,magumo,end
883,muvengi,enemy
501,simba,energy
545,injini,engine
301,zvakakwana,enough
834,pinda,enter
639,enzana,equal
386,inofananidza,equate
915,kunyanya,especially
69,kunyange,even
939,manheru,evening
958,chiitiko,event
308,nokusingaperi,ever
120,ose,every
607,chaizvoizvo,exact
283,muenzaniso,example
613,kusiya,except
747,fadza,excite
563,kusimbisa muviri,exercise
791,kutarisira,expect
925,ruzivo,experience
688,ekisiperimendi,experiment
222,ziso,eye
271,uso,face
449,chokwadi,fact
645,zvakanaka,fair
407,kuwa,fall
318,mhuri,family
820,nembiri,famous
236,kure,far
230,purazi,farm
467,kutsanya,fast
863,mafuta,fat
100,baba,father
858,tsigiro,favor
823,kutya,fear
941,chikafu,feed
312,nzwa,feel
298,tsoka,feet
642,vakawira,fell
534,akanzwa,felt
249,shoma,few
419,munda,field
916,onde,fig
744,kurwisana,fight
415,figiri,figure
396,zadza,fill
432,yokupedzisira,final
200,wana,find
404,naka,fine
741,chigunwe,finger
593,pedza,finish
339,moto,fire
193,chekutanga,first
260,hove,fish
643,fita,fit
458,shanu,five
694,pamhama,flat
720,uriri,floor
644,yerera,flow
596,ruva,flower
406,nhunzi,fly
76,tevera,follow
216,chikafu,food
366,rutsoka,foot
7,nokuti,for
358,simba,force
552,dondo,forest
130,fomu,form
922,mberi,forward
207,akawanikwa,found
218,china,four
551,hacho,fraction
440,vakasununguka,free
836,tawanda,fresh
257,shamwari,friend
17,kubva,from
429,mberi,front
755,muchero,fruit
357,azere,full
586,mafaro,fun
384,mutambo,game
638,mubindu,garden
588,mweya,gas
980,kuunganidza,gather
433,akapa,gave
526,kazhinji,general
798,munyoro,gentle
106,tora,get
303,musikana,girl
123,ipai,give
864,fara,glad
577,girazi,glass
179,famba,go
373,goridhe,gold
599,akaendepiko,gone
121,kugona,good
281,akamuka,got
496,tonga,govern
535,chikuru,grand
578,uswa,grass
990,gireyi,gray
132,hukuru,great
434,girinhi,green
629,akakura,grew
464,ivhu,ground
286,boka,group
210,kura,grow
801,kufembera,guess
924,tungamirira,guide
840,pfuti,gun
28,aiva,had
717,bvudzi,hair
336,hafu,half
64,ruoko,hand
332,itika,happen
594,fara,happy
231,zvakaoma,hard
174,ane,has
953,heti,hat
15,vane,have
5,iye,he
201,musoro,head
265,nzwa,hear
451,akanzwa,heard
540,mwoyo,heart
390,kupisa,heat
543,rinorema,heavy
716,wakaitwa,held
135,batsira,help
167,naye,her
71,pano,here
74,yakakwirira,high
724,chikomo,hill
172,iye,him
3,ake,his
788,nhoroondo,history
771,rova,hit
462,bata,hold
699,mwena,hole
62,musha,home
595,tarisiro,hope
266,bhiza,horse
19,hot,hot
387,hot,hot
453,awa,hour
87,imba,house
46,sei,how
918,kura,huge
787,munhu,human
457,zana,hundred
502,kuvhima,hunt
828,kurumidza,hurry
2,ini,i
527,chando,ice
259,zano,idea
44,kana,if
794,fungidzira,imagine
34,mu,in
351,padiki,inch
531,sanganisira,include
783,dzinoratidza,indicate
742,indasitiri,industry
780,kambuyu,insect
877,nekukurumidza,instant
575,chombo,instrument
465,mubereko,interest
970,wekuvamba,invent
691,simbi,iron
24,ndiko,is
365,chitsuwa,island
25,naro,it
580,basa,job
617,kubatana,join
570,rufaro,joy
700,janhuka,jump
129,chete,just
221,chengeta,keep
576,akaramba,kept
690,anokosha,key
657,kuuraya,kill
84,mhando,kind
349,mambo,king
344,aiziva,knew
189,ziva,know
621,mudzimai,lady
659,nyanza,lake
70,munda,land
399,mutauro,language
66,guru,large
224,ekupedzisira,last
240,pakunopera,late
379,seka,laugh
730,mutemo,law
482,akarara,lay
408,tungamira,lead
213,dzidza,learn
610,muduku,least
321,siya,leave
929,akatungamirira,led
239,ruboshwe,left
562,gumbo,leg
516,urefu,length
474,zvishoma,less
225,regai,let
293,tsamba,letter
978,terama,level
745,manyepo,lie
248,upenyu,life
848,burutso,lift
83,chiedza,light
164,se,like
137,mutsetse,line
894,mvura-mvura,liquid
310,pamazita,list
470,teerera,listen
113,shoma,little
109,kurarama,live
777,tsvaka,locate
895,danda,log
561,lone,lone
168,refu,long
175,tsvaka,look
635,rasika,lost
687,mugove,lot
662,ruzha,loud
487,rudo,love
136,yakaderera,low
411,machine,machine
108,akaita,made
909,magineti,magnet
273,kuru,main
835,zvikuru,major
169,kuita,make
116,murume,man
159,zhinji,many
493,mepu,map
291,maka,mark
878,musika,market
932,uremu,mass
851,tenzi,master
913,mutambo,match
550,zvinhu,material
528,nyaya,matter
195,chivabvu,may
122,ini,me
142,zvinoreva,mean
896,zvaireva,meant
323,chipimo,measure
817,nyama,meat
704,sangana,meet
601,chuni,melody
80,varume,men
709,simbi,metal
672,nzira,method
656,pakati,middle
233,simba,might
295,maira,mile
670,mukaka,milk
591,miriyoni,million
444,pfungwa,mind
832,zvangu,mine
441,mineti,minute
388,potsa,miss
631,sanganisa,mix
769,ano,modern
987,morekuru,molecule
660,nguva,moment
489,mari,money
590,mwedzi,month
364,mwedzi,moon
176,zvimwe,more
475,mangwanani,morning
185,vakawanda,most
94,amai,mother
892,chitsungo,motion
566,pagomo,mount
261,gomo,mountain
606,muromo,mouth
144,famba,move
141,zvikuru,much
352,muwande,multiply
288,mumhanzi,music
72,fanira,must
187,dzangu,my
126,zita,name
668,nyika,nation
748,dzinongoitika,natural
889,muzvarirwo,nature
96,pedo,near
802,zvakakodzera,necessary
900,mutsipa,neck
86,vanoda,need
806,muvakidzani,neighbor
223,haana,never
102,itsva,new
277,chinotevera,next
246,husiku,night
975,pfumbamwe,nine
184,aihwa,no
977,ruzha,noise
767,masikati,noon
947,kana,nor
250,mawodzanyemba,north
996,mhino,nose
412,chitsamba,note
353,hapana,nothing
499,chiziviso,notice
418,pazita,noun
199,ikozvino,now
182,nhamba,number
328,nhamba,numeral
360,chinhu,object
664,kutevedza,observe
886,itika,occur
438,gungwa,ocean
30,pamusoro,of
85,kure,off
873,chipo,offer
603,hofisi,office
292,kazhinji,often
435,o,oh
626,mafuta,oil
147,yekare,old
8,pamusoro,on
263,kamwe,once
14,poshi,one
114,chete,only
274,yakazaruka,open
760,tekenya,operate
963,pakatarisana,opposite
27,kana,or
338,hurongwa,order
673,nhego,organ
865,yepakutanga,original
38,mwe,other
124,yedu,our
37,panze,out
188,pamusoro,over
203,pachake,own
901,okisijeni,oxygen
204,peji,page
398,penda,paint
530,peya,pair
285,bepa,paper
713,ndima,paragraph
853,mubereki,parent
104,chidimbu,part
959,kunyanya,particular
774,pati,party
345,zvakaitika,pass
584,zvekare,past
893,nzira,path
484,muenzaniso,pattern
674,kubhadhara,pay
186,vanhu,people
510,zvichida,perhaps
782,nguva,period
488,munhu,person
734,chirevo,phrase
511,nhonga,pick
88,mufananidzo,picture
342,chidimbu,piece
930,nenamo,pitch
107,nzvimbo,place
302,bani,plain
414,urongwa,plan
375,ndege,plane
827,nyika,planet
214,chirimwa,plant
58,tamba,play
765,ndapota,please
997,uwandu,plural
813,detembo,poem
93,nguva,point
686,murombo,poor
880,vazadze,populate
65,poti,port
320,pozi,pose
546,nzvimbo,position
374,zvinogoneka,possible
860,pambiru,post
423,paundi,pound
402,simba,power
761,tsika,practice
994,gadzirira,prepare
542,chipo,present
244,dzvanya,press
904,runako,pretty
842,dhinda,print
503,fungidzira,probable
341,dambudziko,problem
759,urongwa,process
448,kubereka,produce
325,chigadzirwa,product
871,fanira,proper
985,pfuma,property
766,chengetedza,protect
560,ratidza,prove
795,zvinopa,provide
497,kweva,pull
711,kusunda,push
61,isa,put
974,quart,quart
331,mubvunzo,question
436,nokukurumidza,quick
680,nyarara,quiet
653,zvikuru,quite
897,quotient,quotient
554,rudzi,race
784,redhiyo,radio
793,njanji,rail
494,mvura,rain
707,simudza,raise
382,akamhanya,ran
890,dungwerungwe,range
809,asi,rather
466,kusvika,reach
63,verenga,read
306,gadzirira,ready
247,zvechokwadi,real
515,chikonzero,reason
604,kugamuchira,receive
370,rekodhi,record
309,tsvuku,red
520,nharaunda,region
459,yeuka,remember
991,dzokorora,repeat
884,pindura,reply
517,miririra,represent
992,zvinoda,require
420,zororo,rest
722,mugumisiro,result
756,fuma,rich
507,tasva,ride
145,rudyi,right
778,mhete,ring
623,simuka,rise
296,rwizi,river
492,mugwagwa,road
337,ibwe,rock
739,rora,roll
256,mukana,room
705,mudzi,root
935,tambo,rope
840,akasimuka,rose
115,denderedzwa,round
605,mutsara,row
818,kwiza,rub
495,mutemo,rule
241,manya,run
725,ngozi,safe
47,akati,said
549,kwasva,sail
995,munyu,salt
149,chete,same
737,jecha,sand
572,sat,sat
648,kunze,save
235,saha,saw
134,vanoti,say
661,chikero,scale
209,chikoro,school
254,sainzi,science
926,chibozwa,score
237,gungwa,sea
837,kutsvaka,search
907,mwaka,season
949,chigaro,seat
300,chepiri,second
676,chidimbu,section
171,ona,see
615,mhodzi,seed
275,sokuti,seem
874,chidimbu,segment
988,sarudza,select
98,pachake,self
954,tengesa,sell
838,tuma,send
750,pfungwa,sense
640,akatuma,sent
131,mutongo,sentence
762,paradzanisa,separate
490,kushumira,serve
52,seti,set
523,gadzikana,settle
712,nomwe,seven
478,akawanda,several
715,ko,shall
385,shepi,shape
866,mugove,share
803,unopinza,sharp
150,iye,she
856,bepa,sheet
899,deko,shell
984,penya,shine
334,chikepe,ship
965,shangu,shoe
981,chitoro,shop
854,mahombekombe,shore
327,pfupi,short
205,fanira,should
966,bipito,shoulder
612,kwama,shout
119,ratidza,show
197,divi,side
284,kuona,sight
582,chiratidzo,sign
735,nyarara,silent
910,sirivha,silver
923,zvakafanana,similar
477,nyore,simple
346,kubva,since
469,imba,sing
692,kuroorwa,single
919,hanzvadzi sikana,sister
553,gara,sit
471,nhanhatu,six
521,zera,size
905,unyanzvi,skill
696,ganda,skin
568,denga,sky
875,nhapwa,slave
559,hope,sleep
936,pitikoti,slip
485,nonoka,slow
59,diki,small
945,munhuhwi,smell
697,nyemwerera,smile
391,chando,snow
165,saka,so
585,nyorovera,soft
738,ivhu,soil
758,musoja,soldier
908,mhinduro,solution
708,gadzira,solve
23,vamwe,some
658,mwanakomana,son
322,rwiyo,song
315,nokukurumidza,soon
183,rira,sound
340,chamhembe,south
450,nzvimbo,space
524,taura,speak
443,chaiwo,special
888,nhaurwa,speech
671,havukavu,speed
67,mushinhiriro,spell
861,shandisa,spend
785,akataura,spoke
844,nzvimbo,spot
967,waridza,spread
663,chitubu,spring
514,sikweya,square
202,mira,stand
416,nyeredzi,star
232,kutanga,start
220,mamiriro,state
867,chiteshi,station
355,gara,stay
376,panzvimbo,stead
891,chiutsi,steam
920,simbi,steel
460,danho,step
693,rutanda,stick
212,vachiri,still
681,ibwe,stone
427,akamira,stood
262,mira,stop
556,chitoro,store
234,nyaya,story
666,kururamiswa,straight
598,shamisa,strange
822,chikova,stream
350,mugwagwa,street
982,tatamuka,stretch
814,tambo,string
442,simba,strong
772,mudzidzi,student
211,kudzidza,study
519,chidzidzo,subject
857,fuma,substance
957,bvisa,subtract
955,budiriro,success
75,vakadaro,such
512,kasira,sudden
914,suffix,suffix
902,shuga,sugar
618,anoratidza,suggest
846,svutu,suit
557,chirimo,summer
217,zuva,sun
775,zvitengeswa,supply
887,tsigira,support
268,chokwadi,sure
362,pamusoro,surface
679,katyamadza,surprise
961,dhidha,swim
533,mabhii,syllable
608,chiratidzo,symbol
367,maitiro,system
472,tafura,table
447,muswe,tail
105,tora,take
313,taura,talk
736,reba,tall
430,dzidzisa,teach
632,chikwata,team
898,mazino,teeth
50,udza,tell
740,tembiricha,temperature
476,gumi,ten
962,izwi,term
369,bvunzo,test
191,pane,than
911,tenda,thank
4,kuti,that
29,ari,the
42,zvavo,their
161,kwavari,them
160,ipapo,then
152,ipapo,there
166,izvi,these
11,ivo,they
757,gobvu,thick
825,onda,thin
170,chinhu,thing
133,funga,think
714,chetatu,third
16,ichi,this
289,avo,those
311,zvisinei,though
226,pfungwa,thought
380,churu,thousand
53,tatu,three
128,kuburikidza,through
983,kukanda,throw
797,saka,thus
833,kusingagumi,tie
43,nguva,time
682,dikidiki,tiny
392,maneto,tire
31,kuti,to
276,pamwe chete,together
343,vakaudza,told
616,izwi,tone
148,wo,too
253,vakatora,took
942,turusi,tool
347,pamusoro,top
943,muunganidzwa,total
628,kubata,touch
480,akananga,toward
403,dhorobha,town
852,njanji,track
600,tengeserana,trade
558,chitima,train
473,famba,travel
228,muti,tree
826,triangle,triangle
602,rwendo,trip
611,dambudziko,trouble
976,rori,truck
455,zvechokwadi,true
89,edza,try
819,chubhu,tube
139,chijana,turn
695,makumi maviri,twenty
173,piri,two
729,mhando,type
125,pasi,under
401,chikwata,unit
294,kusvikira,until
154,vakakwira,up
90,isu,us
155,shandisa,use
304,garoitika,usual
946,nhika,valley
743,ukoshi,value
522,siyana,vary
468,chiito,verb
127,chaizvo,very
749,maonero,view
703,musha,village
583,kushanya,visit
500,izwi,voice
479,nzvanyira,vowel
413,mira,wait
282,famba,walk
564,rusvingo,wall
54,chido,want
481,hondo,war
439,kwoushamwari,warm
6,aiva,was
807,geza,wash
269,tarisa,watch
190,mvura,water
538,chinozunguzirwa,wave
157,nzira,way
35,isu,we
637,pfeka,wear
589,mamiriro okunze,weather
431,vhiki,week
525,uremu,weight
56,tsime,well
82,akaenda,went
39,vakanga,were
463,madokero,west
22,chii,what
356,vhiri,wheel
153,apo,when
110,apo,where
710,kana,whether
40,izvo,which
243,apo,while
278,chena,white
194,ani,who
348,ose,whole
776,vane,whose
78,sei,why
548,rakafara,wide
964,mukadzi,wife
574,nyati,wild
45,chido,will
937,hwina,win
330,mhepo,wind
555,hwindo,window
804,bapiro,wing
571,chando,winter
633,waya,wire
567,chido,wish
10,ne,with
799,mukadzi,woman
906,vakadzi,women
378,shamisika,wonder
752,havazodyari,won’t
272,danda,wood
20,izwi,word
103,basa,work
95,nyika,world
163,wakaramba,would
162,nyora,write
573,zvakanyorwa,written
989,zvakaipa,wrong
614,akanyora,wrote
622,yadhi,yard
117,gore,year
839,yero,yellow
394,ehe,yes
537,asi,yet
26,iwe,you
305,diki,young
156,dzako,your
