number,english,english
332,happen,happen
594,happy,happy
231,hard,hard
174,has,has
953,hat,hat
15,have,have
5,he,he
201,head,head
265,hear,hear
451,heard,heard
540,heart,heart
390,heat,heat
543,heavy,heavy
716,held,held
135,help,help
167,her,her
71,here,here
74,high,high
724,hill,hill
172,him,him
3,his,his
788,history,history
771,hit,hit
462,hold,hold
699,hole,hole
62,home,home
595,hope,hope
266,horse,horse
19,hot,hot
387,hot,hot
453,hour,hour
87,house,house
46,how,how
918,huge,huge
787,human,human
457,hundred,hundred
502,hunt,hunt
828,hurry,hurry
2,i,i
527,ice,ice
259,idea,idea
44,if,if
794,imagine,imagine
34,in,in
351,inch,inch
531,include,include
783,indicate,indicate
742,industry,industry
780,insect,insect
877,instant,instant
575,instrument,instrument
465,interest,interest
970,invent,invent
691,iron,iron
24,is,is
365,island,island
25,it,it
580,job,job
617,join,join
570,joy,joy
700,jump,jump
129,just,just
221,keep,keep
576,kept,kept
690,key,key
657,kill,kill
84,kind,kind
349,king,king
344,knew,knew
189,know,know
621,lady,lady
659,lake,lake
70,land,land
399,language,language
66,large,large
224,last,last
240,late,late
379,laugh,laugh
730,law,law
482,lay,lay
408,lead,lead
213,learn,learn
610,least,least
321,leave,leave
929,led,led
239,left,left
562,leg,leg
516,length,length
474,less,less
225,let,let
293,letter,letter
978,level,level
745,lie,lie
248,life,life
848,lift,lift
83,light,light
164,like,like
137,line,line
894,liquid,liquid
310,list,list
470,listen,listen
113,little,little
109,live,live
777,locate,locate
895,log,log
561,lone,lone
168,long,long
175,look,look
635,lost,lost
687,lot,lot
662,loud,loud
487,love,love
136,low,low
411,machine,machine
108,made,made
909,magnet,magnet
273,main,main
835,major,major
169,make,make
116,man,man
159,many,many
493,map,map
291,mark,mark
878,market,market
932,mass,mass
851,master,master
913,match,match
550,material,material
528,matter,matter
195,may,may
122,me,me
142,mean,mean
896,meant,meant
323,measure,measure
817,meat,meat
704,meet,meet
601,melody,melody
80,men,men
709,metal,metal
672,method,method
656,middle,middle
233,might,might
295,mile,mile
670,milk,milk
591,million,million
444,mind,mind
832,mine,mine
441,minute,minute
388,miss,miss
631,mix,mix
769,modern,modern
987,molecule,molecule
660,moment,moment
489,money,money
590,month,month
364,moon,moon
176,more,more
475,morning,morning
185,most,most
94,mother,mother
892,motion,motion
566,mount,mount
261,mountain,mountain
606,mouth,mouth
144,move,move
141,much,much
352,multiply,multiply
288,music,music
72,must,must
187,my,my
126,name,name
668,nation,nation
748,natural,natural
889,nature,nature
96,near,near
802,necessary,necessary
900,neck,neck
86,need,need
806,neighbor,neighbor
223,never,never
102,new,new
277,next,next
246,night,night
975,nine,nine
184,no,no
977,noise,noise
767,noon,noon
947,nor,nor
250,north,north
996,nose,nose
412,note,note
353,nothing,nothing
499,notice,notice
418,noun,noun
199,now,now
182,number,number
328,numeral,numeral
360,object,object
664,observe,observe
886,occur,occur
438,ocean,ocean
30,of,of
85,off,off
873,offer,offer
603,office,office
292,often,often
435,oh,oh
626,oil,oil
147,old,old
8,on,on
263,once,once
14,one,one
114,only,only
274,open,open
760,operate,operate
963,opposite,opposite
27,or,or
338,order,order
673,organ,organ
865,original,original
38,other,other
124,our,our
37,out,out
188,over,over
203,own,own
901,oxygen,oxygen
204,page,page
398,paint,paint
530,pair,pair
285,paper,paper
713,paragraph,paragraph
853,parent,parent
104,part,part
959,particular,particular
774,party,party
345,pass,pass
584,past,past
893,path,path
484,pattern,pattern
674,pay,pay
186,people,people
510,perhaps,perhaps
782,period,period
488,person,person
734,phrase,phrase
511,pick,pick
88,picture,picture
342,piece,piece
930,pitch,pitch
107,place,place
302,plain,plain
414,plan,plan
375,plane,plane
827,planet,planet
214,plant,plant
58,play,play
765,please,please
997,plural,plural
813,poem,poem
93,point,point
686,poor,poor
880,populate,populate
65,port,port
320,pose,pose
546,position,position
374,possible,possible
860,post,post
423,pound,pound
402,power,power
761,practice,practice
994,prepare,prepare
542,present,present
244,press,press
904,pretty,pretty
842,print,print
503,probable,probable
341,problem,problem
759,process,process
448,produce,produce
325,product,product
871,proper,proper
985,property,property
766,protect,protect
560,prove,prove
795,provide,provide
497,pull,pull
711,push,push
61,put,put
974,quart,quart
331,question,question
436,quick,quick
680,quiet,quiet
653,quite,quite
897,quotient,quotient
554,race,race
784,radio,radio
793,rail,rail
494,rain,rain
707,raise,raise
382,ran,ran
890,range,range
809,rather,rather
466,reach,reach
63,read,read
306,ready,ready
247,real,real
515,reason,reason
604,receive,receive
370,record,record
309,red,red
520,region,region
459,remember,remember
991,repeat,repeat
884,reply,reply
517,represent,represent
992,require,require
420,rest,rest
722,result,result
756,rich,rich
507,ride,ride
145,right,right
778,ring,ring
623,rise,rise
296,river,river
492,road,road
337,rock,rock
739,roll,roll
256,room,room
705,root,root
935,rope,rope
840,rose,rose
115,round,round
605,row,row
818,rub,rub
495,rule,rule
241,run,run
725,safe,safe
47,said,said
549,sail,sail
995,salt,salt
149,same,same
737,sand,sand
572,sat,sat
648,save,save
235,saw,saw
134,say,say
661,scale,scale
209,school,school
254,science,science
926,score,score
237,sea,sea
837,search,search
907,season,season
949,seat,seat
300,second,second
676,section,section
171,see,see
615,seed,seed
275,seem,seem
874,segment,segment
988,select,select
98,self,self
954,sell,sell
838,send,send
750,sense,sense
640,sent,sent
131,sentence,sentence
762,separate,separate
490,serve,serve
52,set,set
523,settle,settle
712,seven,seven
478,several,several
715,shall,shall
385,shape,shape
866,share,share
803,sharp,sharp
150,she,she
856,sheet,sheet
899,shell,shell
984,shine,shine
334,ship,ship
965,shoe,shoe
981,shop,shop
854,shore,shore
327,short,short
205,should,should
966,shoulder,shoulder
612,shout,shout
119,show,show
197,side,side
284,sight,sight
582,sign,sign
735,silent,silent
910,silver,silver
923,similar,similar
477,simple,simple
346,since,since
469,sing,sing
692,single,single
919,sister,sister
553,sit,sit
471,six,six
521,size,size
905,skill,skill
696,skin,skin
568,sky,sky
875,slave,slave
559,sleep,sleep
936,slip,slip
485,slow,slow
59,small,small
945,smell,smell
697,smile,smile
391,snow,snow
165,so,so
585,soft,soft
738,soil,soil
758,soldier,soldier
908,solution,solution
708,solve,solve
23,some,some
658,son,son
322,song,song
315,soon,soon
183,sound,sound
340,south,south
450,space,space
524,speak,speak
443,special,special
888,speech,speech
671,speed,speed
67,spell,spell
861,spend,spend
785,spoke,spoke
844,spot,spot
967,spread,spread
663,spring,spring
514,square,square
202,stand,stand
416,star,star
232,start,start
220,state,state
867,station,station
355,stay,stay
376,stead,stead
891,steam,steam
920,steel,steel
460,step,step
693,stick,stick
212,still,still
681,stone,stone
427,stood,stood
262,stop,stop
556,store,store
234,story,story
666,straight,straight
598,strange,strange
822,stream,stream
350,street,street
982,stretch,stretch
814,string,string
442,strong,strong
772,student,student
211,study,study
519,subject,subject
857,substance,substance
957,subtract,subtract
955,success,success
75,such,such
512,sudden,sudden
914,suffix,suffix
902,sugar,sugar
618,suggest,suggest
846,suit,suit
557,summer,summer
217,sun,sun
775,supply,supply
887,support,support
268,sure,sure
362,surface,surface
679,surprise,surprise
961,swim,swim
533,syllable,syllable
608,symbol,symbol
367,system,system
472,table,table
447,tail,tail
105,take,take
313,talk,talk
736,tall,tall
430,teach,teach
632,team,team
898,teeth,teeth
50,tell,tell
740,temperature,temperature
476,ten,ten
962,term,term
369,test,test
191,than,than
911,thank,thank
4,that,that
29,the,the
42,their,their
161,them,them
160,then,then
152,there,there
166,these,these
11,they,they
757,thick,thick
825,thin,thin
170,thing,thing
133,think,think
714,third,third
16,this,this
289,those,those
311,though,though
226,thought,thought
380,thousand,thousand
53,three,three
128,through,through
983,throw,throw
797,thus,thus
833,tie,tie
43,time,time
682,tiny,tiny
392,tire,tire
31,to,to
276,together,together
343,told,told
616,tone,tone
148,too,too
253,took,took
942,tool,tool
347,top,top
943,total,total
628,touch,touch
480,toward,toward
403,town,town
852,track,track
600,trade,trade
558,train,train
473,travel,travel
228,tree,tree
826,triangle,triangle
602,trip,trip
611,trouble,trouble
976,truck,truck
455,true,true
89,try,try
819,tube,tube
139,turn,turn
695,twenty,twenty
173,two,two
729,type,type
125,under,under
401,unit,unit
294,until,until
154,up,up
90,us,us
155,use,use
304,usual,usual
946,valley,valley
743,value,value
522,vary,vary
468,verb,verb
127,very,very
749,view,view
703,village,village
583,visit,visit
500,voice,voice
479,vowel,vowel
413,wait,wait
282,walk,walk
564,wall,wall
54,want,want
481,war,war
439,warm,warm
6,was,was
807,wash,wash
269,watch,watch
190,water,water
538,wave,wave
157,way,way
35,we,we
637,wear,wear
589,weather,weather
431,week,week
525,weight,weight
56,well,well
82,went,went
39,were,were
463,west,west
22,what,what
356,wheel,wheel
153,when,when
110,where,where
710,whether,whether
40,which,which
243,while,while
278,white,white
194,who,who
348,whole,whole
776,whose,whose
78,why,why
548,wide,wide
964,wife,wife
574,wild,wild
45,will,will
937,win,win
330,wind,wind
555,window,window
804,wing,wing
571,winter,winter
633,wire,wire
567,wish,wish
10,with,with
799,woman,woman
906,women,women
378,wonder,wonder
752,won’t,won’t
272,wood,wood
20,word,word
103,work,work
95,world,world
163,would,would
162,write,write
573,written,written
989,wrong,wrong
614,wrote,wrote
622,yard,yard
117,year,year
839,yellow,yellow
394,yes,yes
537,yet,yet
26,you,you
305,young,young
156,your,your
