number,punjabi,english
706,ਖਰੀਦਣ,buy
18,ਕੇ,by
192,ਕਾਲ ਦਾ,call
118,ਆਇਆ ਸੀ,came
969,ਡੇਰੇ,camp
36,ਕਰ ਸਕਦੇ ਹੋ,can
751,ਦੀ ਰਾਜਧਾਨੀ,capital
800,ਕਪਤਾਨ,captain
297,ਕਾਰ ਨੂੰ,car
933,ਕਾਰਡ,card
299,ਦੀ ਦੇਖਭਾਲ,care
252,ਲੈ,carry
655,ਕੇਸ ਦੀ,case
726,ਬਿੱਲੀ,cat
565,ਕੈਚ,catch
781,ਫੜਿਆ,caught
140,ਕਾਰਨ,cause
508,ਸੈੱਲ,cell
630,ਫੀਸਦੀ,cent
486,ਕਦਰ,center
727,ਸਦੀ,century
405,ਕੁਝ ਖਾਸ,certain
753,ਕੁਰਸੀ,chair
979,ਮੌਕਾ,chance
81,ਤਬਦੀਲੀ,change
779,ਅੱਖਰ ਨੂੰ,character
870,ਚਾਰਜ,charge
952,ਚਾਰਟ,chart
383,ਚੈੱਕ ਕਰੋ,check
881,ਮਟਰੀ,chick
829,ਦੇ ਮੁਖੀ,chief
665,ਬੱਚੇ ਨੂੰ,child
279,ਬੱਚੇ,children
641,ਦੀ ਚੋਣ,choose
862,ਕੋਰਿਜ਼,chord
529,ਚੱਕਰ,circle
227,ਸ਼ਹਿਰ ਦੀ,city
999,ਦਾਅਵਾ,claim
329,ਕਲਾਸ ਦੇ,class
619,ਨੂੰ ਸਾਫ਼,clean
446,ਆਸਮਾਨ ਸਾਫ,clear
683,ਚੜ੍ਹਨਾ,climb
831,ਘੜੀ ਦੀ,clock
245,ਬੰਦ ਕਰੋ,close
597,ਸਜਾਵੇਗਾ,clothe
678,ਦੇ ਬੱਦਲ,cloud
732,ਤਟ,coast
931,ਕੋਟ,coat
498,ਠੰਡੇ,cold
647,ਇਕੱਠਾ ਕਰਦੇ,collect
830,ਬਸਤੀ,colony
270,ਰੰਗ ਹੈ,color
986,ਕਾਲਮ,column
180,ਆ,come
372,ਆਮ,common
956,ਕੰਪਨੀ ਨੇ,company
812,ਦੀ ਤੁਲਨਾ ਕਰੋ,compare
333,ਮੁਕੰਮਲ ਹੋ,complete
940,ਹਾਲਤ,condition
859,ਨਾਲ ਜੁੜਨ,connect
728,ਤੇ ਵਿਚਾਰ,consider
667,ਅੱਖਰ ਦੇ,consonant
428,ਸ਼ਾਮਿਲ ਹਨ,contain
1000,ਮਹਾਦੀਪ,continent
950,ਨੂੰ ਜਾਰੀ,continue
649,ਦਾ ਕੰਟਰੋਲ,control
719,ਕੁੱਕ,cook
684,ਠੰਡਾ,cool
733,ਕਾਪੀ,copy
811,ਮਕਈ,corn
773,ਕੋਨੇ,corner
421,ਨੂੰ ਸਹੀ,correct
634,ਲਾਗਤ,cost
971,ਕਪਾਹ,cotton
178,ਹੋ ਸਕਦਾ ਸੀ,could
513,ਗਿਣੋ,count
206,ਦੇਸ਼ ’,country
354,ਦਾ ਕੋਰਸ,course
215,ਦੇ ਕਵਰ,cover
579,ਗਊ,cow
698,ਕ੍ਰੀਜ਼,crease
805,ਨੂੰ ਬਣਾਉਣ,create
768,ਦੀ ਫਸਲ,crop
229,ਪਾਰ,cross
810,ਭੀੜ,crowd
409,ਪੁਕਾਰ,cry
847,ਮੌਜੂਦਾ,current
267,ਕੱਟ,cut
868,ਡੈਡੀ,dad
544,ਨਾਚ,dance
754,ਖ਼ਤਰਾ,danger
410,ਹਨੇਰੇ,dark
177,ਦਿਨ ਦੇ,day
843,ਮਰੇ,dead
960,ਸੌਦਾ,deal
882,ਪਿਆਰੇ,dear
903,ਦੀ ਮੌਤ,death
361,ਇਹ ਫੈਸਲਾ,decide
650,ਦਸ਼ਮਲਵ,decimal
363,ਡੂੰਘੇ,deep
879,ਦੀ ਡਿਗਰੀ,degree
816,ਨਿਰਭਰ,depend
718,ਦਾ ਵਰਣਨ,describe
845,ਮਾਰੂਥਲ,desert
685,ਡਿਜ਼ਾਇਨ,design
973,ਪਤਾ ਕਰਨ,determine
437,ਦਾ ਵਿਕਾਸ,develop
669,ਕੋਸ਼,dictionary
181,ਨੇ ਕੀਤਾ,did
609,ਮਰ,die
138,ਵੱਖਰੇ ਹਨ,differ
763,ਮੁਸ਼ਕਲ ਹੈ,difficult
319,ਸਿੱਧੀ,direct
921,ਤੇ ਚਰਚਾ,discuss
395,ਦੂਰ,distant
532,ਪਾੜਾ,divide
855,ਵੰਡ,division
41,ਕਰਦੇ,do
764,ਡਾਕਟਰ ਨੂੰ,doctor
51,ਕਰਦਾ ਹੈ,does
317,ਕੁੱਤੇ,dog
921,ਡਾਲਰ ਦੇ,dollar
424,ਸਮਾਪਤ,done
242,ਨਾਂ ਕਰੋ,don’t
324,ਦਾ ਦਰਵਾਜ਼ਾ,door
948,ਡਬਲ,double
196,ਡਾਊਨ,down
238,ਖਿੱਚਣ,draw
938,ਸੁਪਨੇ,dream
677,ਪਹਿਰਾਵਾ,dress
885,ਪੀਣ ਨੂੰ,drink
426,ਡਰਾਈਵ ਨੂੰ,drive
539,ਡ੍ਰੌਪ,drop
377,ਖੁਸ਼ਕ,dry
876,ਬਤਖ਼,duck
456,ਦੇ ਦੌਰਾਨ,during
49,ਹਰ ਇੱਕ,each
651,ਕੰਨ,ear
461,ਦੇ ਸ਼ੁਰੂ,early
99,ਧਰਤੀ ਨੂੰ,earth
284,ਸੌਖਾ,ease
397,ਪੂਰਬ,east
255,ਨੂੰ ਖਾਣ,eat
581,ਕਿਨਾਰੇ,edge
789,ਪ੍ਰਭਾਵ ਨੂੰ,effect
506,ਅੰਡੇ,egg
702,ਅੱਠ,eight
721,ਕੋਈ,either
790,ਬਿਜਲੀ ਦੇ,electric
770,ਤੱਤ,element
652,ਕਿਸੇ ਹੋਰ ਨੂੰ,else
60,ਅੰਤ ਵਿੱਚ,end
883,ਦੁਸ਼ਮਣ,enemy
501,ਊਰਜਾ,energy
545,ਇੰਜਣ ਨੂੰ,engine
301,ਕਾਫ਼ੀ,enough
834,"ਦਿਓ,",enter
639,ਬਰਾਬਰ,equal
386,ਜ਼ਿੱਲਤ,equate
915,ਖਾਸ ਕਰਕੇ,especially
69,ਵੀ,even
939,ਸ਼ਾਮ ਨੂੰ,evening
958,ਘਟਨਾ,event
308,ਕਦੇ,ever
120,ਨੂੰ ਹਰ,every
607,ਸਹੀ,exact
283,ਉਦਾਹਰਨ,example
613,ਨੂੰ ਛੱਡ ਕੇ,except
747,ਉਤਸਾਹਿਤ,excite
563,ਕਸਰਤ,exercise
791,ਉਮੀਦ ਹੈ,expect
925,ਦਾ ਤਜਰਬਾ,experience
688,ਤਜਰਬੇ,experiment
222,ਅੱਖ,eye
271,ਦਾ ਚਿਹਰਾ,face
449,ਅਸਲ ’,fact
645,ਮੇਲਾ,fair
407,ਡਿੱਗ,fall
318,ਪਰਿਵਾਰ ਨੂੰ,family
820,ਮਸ਼ਹੂਰ,famous
236,ਦੂਰ,far
230,ਫਾਰਮ ’,farm
467,ਫਾਸਟ,fast
863,ਚਰਬੀ,fat
100,ਪਿਤਾ ਨੂੰ,father
858,ਦੇ ਪੱਖ ’,favor
823,ਡਰ ਹੈ,fear
941,| ਜੂਨ,feed
312,ਲੱਗਦਾ ਹੈ,feel
298,ਪੈਰ,feet
642,ਡਿੱਗ,fell
534,ਮਹਿਸੂਸ ਕੀਤਾ,felt
249,ਕੁਝ,few
419,ਖੇਤਰ,field
916,ਅੰਜੀਰ,fig
744,ਲੜਾਈ,fight
415,ਇਹ ਅੰਕੜਾ,figure
396,ਨੂੰ ਭਰਨ,fill
432,ਫਾਈਨਲ,final
200,ਲੱਭਣ ਲਈ,find
404,ਜੁਰਮਾਨਾ,fine
741,ਫਿੰਗਰ,finger
593,ਤੇ ਮੁਕੰਮਲ,finish
339,ਨੂੰ ਅੱਗ,fire
193,ਪਹਿਲੀ,first
260,ਮੱਛੀ,fish
643,ਫਿੱਟ,fit
458,ਪੰਜ,five
694,ਫਲੈਟ,flat
720,ਮੰਜ਼ਿਲ,floor
644,ਵਹਿਣਾ,flow
596,ਫੁੱਲ,flower
406,ਉੱਡਦੀ,fly
76,ਦੀ ਪਾਲਣਾ ਕਰੋ,follow
216,ਭੋਜਨ,food
366,ਪੈਰ,foot
7,ਲਈ,for
358,ਫੋਰਸ,force
552,ਜੰਗਲ,forest
130,ਫਾਰਮ ਨੂੰ,form
922,ਅੱਗੇ,forward
207,ਪਾਇਆ,found
218,ਨੂੰ ਚਾਰ,four
551,"ਬਾਗ,",fraction
440,ਮੁਫ਼ਤ,free
836,ਤਾਜ਼ਾ,fresh
257,ਦੋਸਤ,friend
17,ਤੱਕ,from
429,ਸਾਹਮਣੇ,front
755,ਫਲ ਨੂੰ,fruit
357,ਪੂਰੇ,full
586,ਮਜ਼ੇਦਾਰ,fun
384,ਖੇਡ ਹੈ,game
638,ਬਾਗ,garden
588,ਗੈਸ,gas
980,ਇਕੱਠਾ,gather
433,ਦੇ ਦਿੱਤੀ ਹੈ,gave
526,ਆਮ ਤੌਰ ’ਤੇ,general
798,ਕੋਮਲ,gentle
106,ਪ੍ਰਾਪਤ,get
303,ਕੁੜੀ ਨੂੰ,girl
123,ਦੇਣ,give
864,ਖੁਸ਼,glad
577,ਗਲਾਸ,glass
179,ਜਾਣ,go
373,ਸੋਨੇ ਦਾ,gold
599,ਚੁੱਕਾ,gone
121,ਚੰਗਾ,good
281,ਮਿਲੀ,got
496,ਰਾਜ,govern
535,ਸ਼ਾਨਦਾਰ,grand
578,ਘਾਹ,grass
990,ਸਲੇਟੀ,gray
132,ਮਹਾਨ,great
434,ਹਰੇ,green
629,ਦਾ ਵਾਧਾ ਹੋਇਆ,grew
464,ਜ਼ਮੀਨ,ground
286,ਗਰੁੱਪ ਨੂੰ,group
210,ਵਾਧਾ,grow
801,guess,guess
924,ਦੀ ਅਗਵਾਈ,guide
840,ਬੰਦੂਕ,gun
28,"ਸੀ,",had
717,ਵਾਲ,hair
336,ਅੱਧੇ,half
64,ਦਾ ਹੱਥ,hand
332,ਕੀ ਹੋ,happen
594,ਖੁਸ਼,happy
231,ਹਾਰਡ,hard
174,ਹੈ,has
953,ਟੋਪੀ,hat
15,ਹੈ,have
5,ਉਸ ਨੇ,he
201,ਸਿਰ ’,head
265,ਸੁਣਦੇ,hear
451,ਸੁਣਿਆ,heard
540,ਦਿਲ ਦੇ,heart
390,ਗਰਮੀ ਦੇ,heat
543,ਭਾਰੀ,heavy
716,ਚਾਰ,held
135,ਦੀ ਮਦਦ,help
167,ਉਸ ਨੂੰ,her
71,ਇਥੇ,here
74,ਉੱਚ,high
724,ਪਹਾੜੀ,hill
172,ਨੇ ਉਸ ਨੂੰ,him
3,ਉਸ ਦੇ,his
788,ਇਤਿਹਾਸ ਨੂੰ,history
771,ਹਿੱਟ,hit
462,ਕੇ ਰੱਖੋ,hold
699,ਮੋਰੀ,hole
62,ਘਰ ਦੇ,home
595,ਆਸ ਹੈ,hope
266,ਘੋੜਾ,horse
19,ਗਰਮ,hot
387,ਗਰਮ,hot
453,ਘੰਟੇ,hour
87,ਦੇ ਘਰ,house
46,ਕਿੰਨੇ,how
918,ਵੱਡੇ,huge
787,ਮਨੁੱਖੀ,human
457,ਸੌ,hundred
502,ਸ਼ਿਕਾਰ,hunt
828,ਛੇਤੀ ਖਿਝ,hurry
2,ਮੈਨੂੰ,i
527,ਆਈਸ,ice
259,ਇਹ ਵਿਚਾਰ,idea
44,ਜੇ,if
794,ਕਲਪਨਾ ਕਰੋ,imagine
34,ਵਿੱਚ,in
351,ਇੰਚ,inch
531,ਸ਼ਾਮਲ ਹਨ,include
783,ਪਤਾ ਲੱਗਦਾ ਹੈ,indicate
742,ਉਦਯੋਗ ਨੂੰ,industry
780,ਕੀੜੇ,insect
877,ਤੁਰੰਤ,instant
575,ਸਾਧਨ,instrument
465,ਵਿਆਜ,interest
970,ਕਾਢ,invent
691,ਲੋਹੇ,iron
24,ਹੈ,is
365,ਟਾਪੂ ’,island
25,ਇਸ ਨੂੰ,it
580,ਦੀ ਨੌਕਰੀ,job
617,ਵਿੱਚ ਸ਼ਾਮਲ,join
570,ਦੀ ਖ਼ੁਸ਼ੀ,joy
700,ਛਾਲ,jump
129,ਹੁਣੇ ਹੀ,just
221,ਰੱਖਣ,keep
576,ਰੱਖਿਆ,kept
690,ਕੁੰਜੀ ਨੂੰ,key
657,ਨੂੰ ਮਾਰਨ,kill
84,ਦਿਆਲੂ,kind
349,ਰਾਜੇ ਨੇ,king
344,ਪਤਾ ਸੀ,knew
189,ਪਤਾ ਹੈ,know
621,ਔਰਤ,lady
659,ਝੀਲ,lake
70,ਜ਼ਮੀਨ ਦੀ,land
399,ਭਾਸ਼ਾ ਦੀ,language
66,ਵੱਡੇ,large
224,ਪਿਛਲੇ,last
240,ਦੇਰ,late
379,ਹੱਸ,laugh
730,ਕਾਨੂੰਨ ਨੂੰ,law
482,ਰੱਖਣਗੇ,lay
408,ਦੀ ਅਗਵਾਈ,lead
213,ਸਿੱਖਣ,learn
610,ਘੱਟ,least
321,ਨੂੰ ਛੱਡ,leave
929,ਦੀ ਅਗਵਾਈ,led
239,ਨੂੰ ਛੱਡ,left
562,ਲੱਤ,leg
516,ਲੰਬਾਈ,length
474,ਘੱਟ,less
225,ਦਿਉ,let
293,ਪੱਤਰ ’,letter
978,ਦਾ ਪੱਧਰ,level
745,ਝੂਠ,lie
248,ਜ਼ਿੰਦਗੀ ਨੂੰ,life
848,ਲਿਫਟ,lift
83,ਹਲਕਾ,light
164,ਵਰਗੇ,like
137,ਲਾਈਨ,line
894,ਤਰਲ,liquid
310,ਸੂਚੀ ਵਿੱਚ,list
470,ਗੱਲ ਸੁਣੋ,listen
113,ਥੋੜਾ,little
109,ਰਹਿੰਦੇ,live
777,ਲੱਭਣ,locate
895,ਲਾਗਇਨ ਕਰਨਾ,log
561,ਇਕੋ,lone
168,ਲੰਬੇ,long
175,ਦੇਖ,look
635,ਹਾਰ ਦਾ,lost
687,ਬਹੁਤ ਕੁਝ,lot
662,ਉੱਚੀ,loud
487,ਪਿਆਰ ਦੀ,love
136,ਖੋਜੋ,low
411,ਮਸ਼ੀਨ ਨੂੰ,machine
108,ਕੀਤੀ ਸੀ,made
909,ਚੁੰਬਕ,magnet
273,ਮੁੱਖ,main
835,ਮੁੱਖ,major
169,ਕਰ,make
116,ਆਦਮੀ ਨੂੰ,man
159,ਬਹੁਤ ਸਾਰੇ,many
493,"ਨਕਸ਼ਾ,",map
291,ਨਿਸ਼ਾਨ,mark
878,ਮਾਰਕੀਟ ਨੂੰ,market
932,ਜਨਤਕ,mass
851,ਮਾਸਟਰ,master
913,ਮੈਚ,match
550,ਸਮੱਗਰੀ,material
528,ਇਸ ਮਾਮਲੇ,matter
195,ਹੋ ਸਕਦਾ ਹੈ,may
122,ਮੈਨੂੰ,me
142,ਦਾ ਮਤਲਬ ਹੈ,mean
896,ਦਾ ਮਤਲਬ ਸੀ,meant
323,ਮਾਪ,measure
817,ਮੀਟ,meat
704,ਮਿਲਦੇ ਹਨ,meet
601,ਭਜਨ,melody
80,ਲੋਕ,men
709,ਮੈਟਲ,metal
672,ਢੰਗ ਹੈ,method
656,ਮੱਧ,middle
233,ਸ਼ਾਇਦ,might
295,ਮੀਲ,mile
670,ਦੁੱਧ,milk
591,ਲੱਖ,million
444,ਮਨ,mind
832,ਮੇਰੇ ਲਈ,mine
441,ਮਿੰਟ,minute
388,ਮਿਸ,miss
631,ਮਿਕਸ,mix
769,ਆਧੁਨਿਕ,modern
987,ਅਣੂ,molecule
660,ਪਲ,moment
489,ਪੈਸੇ ਨੂੰ,money
590,ਮਹੀਨੇ ਦੇ,month
364,ਚੰਦ,moon
176,ਹੋਰ,more
475,ਸਵੇਰ ਦੇ,morning
185,ਸਭ,most
94,ਮਾਤਾ,mother
892,ਮੋਸ਼ਨ,motion
566,ਮਾਊਟ,mount
261,ਪਹਾੜ,mountain
606,ਦੇ ਮੂੰਹ,mouth
144,ਮੂਵ,move
141,ਬਹੁਤ ਕੁਝ,much
352,ਗੁਣਾ,multiply
288,ਸੰਗੀਤ ਨੂੰ,music
72,ਲਾਜ਼ਮੀ ਹੈ ਕਿ,must
187,ਮੇਰੇ,my
126,ਨਾਮ,name
668,ਕੌਮ ਨੂੰ,nation
748,ਕੁਦਰਤੀ,natural
889,ਸੁਭਾਅ ਨੂੰ,nature
96,ਦੇ ਨੇੜੇ,near
802,ਦੀ ਲੋੜ,necessary
900,ਗਰਦਨ,neck
86,ਦੀ ਲੋੜ ਹੈ,need
806,ਨੇੜਲਾ,neighbor
223,ਕਦੇ ਵੀ,never
102,ਨਵ,new
277,ਨੂੰ ਅਗਲੇ,next
246,ਰਾਤ ਨੂੰ,night
975,ਨੌ,nine
184,ਕੋਈ ਵੀ,no
977,ਰੌਲਾ,noise
767,ਦੁਪਹਿਰ,noon
947,ਅਤੇ ਨਾ ਹੀ,nor
250,ਉੱਤਰ,north
996,ਨੱਕ,nose
412,ਨੋਟ,note
353,ਕੁਝ ਵੀ,nothing
499,ਨੂੰ ਨੋਟਿਸ,notice
418,ਨਾਮ,noun
199,ਨੂੰ ਹੁਣ,now
182,ਦਾ ਨੰਬਰ,number
328,ਅੰਕ,numeral
360,ਇਕਾਈ,object
664,ਦੀ ਪਾਲਣਾ,observe
886,ਆ,occur
438,ਸਮੁੰਦਰ,ocean
30,ਦੇ,of
85,ਬੰਦ,off
873,ਪੇਸ਼ਕਸ਼ ਨੂੰ,offer
603,ਦੇ ਦਫ਼ਤਰ,office
292,ਅਕਸਰ,often
435,ਓਹੁ,oh
626,ਤੇਲ ਦੀ,oil
147,ਪੁਰਾਣੀ,old
8,’ਤੇ,on
263,ਇੱਕ ਵਾਰ,once
14,ਇੱਕ,one
114,ਸਿਰਫ,only
274,ਖੁੱਲ੍ਹਾ,open
760,ਨੂੰ ਸੰਚਲਿਤ,operate
963,ਇਸ ਦੇ ਉਲਟ,opposite
27,ਜ,or
338,ਕ੍ਰਮ,order
673,ਅੰਗ,organ
865,ਅਸਲੀ,original
38,ਨੂੰ ਹੋਰ,other
124,ਸਾਡੇ,our
37,ਬਾਹਰ,out
188,ਵੱਧ,over
203,ਆਪਣੇ ਹੀ,own
901,ਆਕਸੀਜਨ,oxygen
204,ਸਫ਼ਾ,page
398,ਚਿੱਤਰਕਾਰੀ,paint
530,ਜੋੜਾ,pair
285,ਪੇਪਰ,paper
713,ਪੈਰਾ,paragraph
853,ਮਾਤਾ,parent
104,ਹਿੱਸਾ ਹੈ,part
959,ਖਾਸ,particular
774,ਪਾਰਟੀ ਦੇ,party
345,ਪਾਸ,pass
584,ਪਿਛਲੇ,past
893,ਮਾਰਗ ’,path
484,ਪੈਟਰਨ,pattern
674,ਦਾ ਭੁਗਤਾਨ,pay
186,ਲੋਕ,people
510,ਸ਼ਾਇਦ,perhaps
782,ਦੀ ਮਿਆਦ,period
488,ਵਿਅਕਤੀ ਨੂੰ,person
734,ਵਾਕੰਸ਼,phrase
511,ਚੁੱਕਣ,pick
88,ਤਸਵੀਰ,picture
342,ਟੁਕੜੇ,piece
930,ਪਿੱਚ,pitch
107,ਸਥਾਨ,place
302,ਸਮਤਲ,plain
414,ਯੋਜਨਾ ਨੂੰ,plan
375,ਜਹਾਜ਼,plane
827,ਗ੍ਰਹਿ,planet
214,ਬੂਟਾ,plant
58,ਖੇਡਣ,play
765,ਕ੍ਰਿਪਾ,please
997,ਬਹੁਵਚਨ,plural
813,ਕਵਿਤਾ,poem
93,ਬਿੰਦੂ,point
686,ਗਰੀਬ,poor
880,ਤਿਆਰ,populate
65,ਪੋਰਟ ਨੂੰ,port
320,ਪੈਦਾ,pose
546,ਸਥਿਤੀ,position
374,ਸੰਭਵ ਹੋ ਸਕੇ,possible
860,ਪੋਸਟ,post
423,ਸੇਰ,pound
402,ਬਿਜਲੀ ਦੀ,power
761,ਅਭਿਆਸ,practice
994,ਨੂੰ ਤਿਆਰ,prepare
542,ਮੌਜੂਦ,present
244,ਪ੍ਰੈੱਸ,press
904,ਪਰੈਟੀ,pretty
842,ਪ੍ਰਿੰਟ,print
503,ਸੰਭਵ,probable
341,ਸਮੱਸਿਆ ਦਾ,problem
759,ਕਾਰਜ ਨੂੰ,process
448,ਉਤਪਾਦਨ,produce
325,ਉਤਪਾਦ,product
871,ਸਹੀ,proper
985,ਸੰਪਤੀ ਨੂੰ,property
766,ਦੀ ਰੱਖਿਆ,protect
560,ਸਾਬਤ,prove
795,ਮੁਹੱਈਆ,provide
497,ਖਿੱਚੋ,pull
711,ਧੱਕਾ,push
61,ਪਾ,put
974,ਕਵਾਟਰ,quart
331,ਸਵਾਲ ਦਾ,question
436,ਤੇਜ਼,quick
680,ਚੁੱਪ,quiet
653,ਕਾਫ਼ੀ,quite
897,ਸਮਰੱਥਾ,quotient
554,ਦੀ ਦੌੜ,race
784,ਰੇਡੀਓ,radio
793,ਰੇਲ,rail
494,", ਮੈਸਿਡੋਨਿਆ,",rain
707,ਚੁੱਕਣ,raise
382,ਭੱਜ,ran
890,"ਸੀਮਾ ਹੈ,",range
809,ਨਾ ਕਿ,rather
466,ਤੱਕ ਪਹੁੰਚਣ,reach
63,ਨੂੰ ਪੜ੍ਹ,read
306,ਤਿਆਰ,ready
247,ਦਾ ਅਸਲੀ,real
515,ਇਸ ਦਾ ਕਾਰਨ,reason
604,ਪ੍ਰਾਪਤ,receive
370,ਦਾ ਰਿਕਾਰਡ,record
309,ਲਾਲ,red
520,ਇਸ ਖੇਤਰ,region
459,ਯਾਦ ਹੈ,remember
991,ਦੁਹਰਾਉ,repeat
884,ਜਵਾਬ,reply
517,ਦੀ ਨੁਮਾਇੰਦਗੀ,represent
992,ਦੀ ਲੋੜ ਹੈ,require
420,ਬਾਕੀ ਦੇ,rest
722,ਨਤੀਜਾ,result
756,ਅਮੀਰ,rich
507,ਸਫ਼ਰ,ride
145,ਦਾ ਹੱਕ,right
778,ਰਿੰਗ,ring
623,ਵਧ,rise
296,ਨਦੀ,river
492,ਸੜਕ ’,road
337,ਚੱਟਾਨ,rock
739,ਰੋਲ,roll
256,ਕਮਰੇ,room
705,ਰੂਟ,root
935,ਰੱਸੀ,rope
840,ਉੱਠਿਆ,rose
115,ਦੌਰ,round
605,ਕਤਾਰ,row
818,ਰੱਬ ਦੀ,rub
495,ਨਿਯਮ ਦੇ,rule
241,ਰਨ,run
725,ਸੁਰੱਖਿਅਤ,safe
47,ਨੇ ਕਿਹਾ ਕਿ,said
549,ਜਹਾਜ਼,sail
995,ਲੂਣ,salt
149,ਉਸੇ ਹੀ,same
737,ਰੇਤ,sand
572,ਨੂੰ ਸਤਿ,sat
648,ਨੂੰ ਬਚਾ,save
235,ਆਰਾ,saw
134,ਦਾ ਕਹਿਣਾ ਹੈ,say
661,ਪੈਮਾਨੇ,scale
209,ਸਕੂਲ ਦੇ,school
254,ਵਿਗਿਆਨ ਦੇ,science
926,ਸਕੋਰ,score
237,ਸਮੁੰਦਰ ਦੇ,sea
837,ਖੋਜ ਨੂੰ,search
907,ਸੀਜ਼ਨ,season
949,ਸੀਟ,seat
300,ਨੂੰ ਦੂਜੀ,second
676,ਅਨੁਭਾਗ,section
171,"ਵੇਖੋ,",see
615,ਬੀਜ,seed
275,ਲੱਗਦਾ ਹੈ,seem
874,ਸਿਗਮਿੰਟ,segment
988,ਦੀ ਚੋਣ ਕਰੋ,select
98,ਸਵੈ,self
954,ਵੇਚਣ,sell
838,ਭੇਜਣ,send
750,ਭਾਵਨਾ,sense
640,ਨੂੰ ਭੇਜਿਆ,sent
131,ਦੀ ਸਜ਼ਾ,sentence
762,ਵੱਖਰੇ,separate
490,ਦੀ ਸੇਵਾ,serve
52,ਸੈੱਟ ਹੈ,set
523,ਵਸਣ,settle
712,ਸੱਤ,seven
478,ਕਈ ਕਈ,several
715,ਦੇਣਗੇ,shall
385,ਸ਼ਕਲ,shape
866,ਸ਼ੇਅਰ,share
803,ਤਿੱਖੀ,sharp
150,ਉਸ ਨੇ,she
856,ਸ਼ੀਟ,sheet
899,ਸ਼ੈੱਲ,shell
984,ਚਾਨਣ,shine
334,ਜਹਾਜ਼,ship
965,ਜੁੱਤੀ,shoe
