number,romanian,english
769,modernă,modern
987,moleculă,molecule
660,clipă,moment
489,bani,money
590,lună,month
364,luna,moon
176,mai mult,more
475,dimineață,morning
185,cel mai,most
94,mamă,mother
892,mișcare,motion
566,montură,mount
261,munte,mountain
606,gura,mouth
144,mișcare,move
141,mult,much
352,multiplica,multiply
288,muzica,music
72,must,must
187,meu,my
126,nume,name
668,națiune,nation
748,natural,natural
889,natura,nature
96,în apropiere,near
802,necesar,necessary
900,gât,neck
86,nevoie,need
806,vecin,neighbor
223,niciodată,never
102,nou,new
277,următor,next
246,noapte,night
975,nouă,nine
184,nu,no
977,zgomot,noise
767,amiază,noon
947,nici,nor
250,nord,north
996,nas,nose
412,notă,note
353,nimic,nothing
499,anunț,notice
418,substantiv,noun
199,acum,now
182,număr,number
328,numeral,numeral
360,obiect,object
664,observa,observe
886,avea loc,occur
438,oceanului,ocean
30,de,of
85,de pe,off
873,oferta,offer
603,birou,office
292,de multe ori,often
435,oh,oh
626,ulei,oil
147,vechi,old
8,pe,on
263,dată,once
14,una,one
114,numai,only
274,deschis,open
760,opera,operate
963,opus,opposite
27,sau,or
338,pentru,order
673,organ,organ
865,originală,original
38,alte,other
124,nostru,our
37,afară,out
188,peste,over
203,propriu,own
901,oxigen,oxygen
204,pagina,page
398,vopsea,paint
530,pereche,pair
285,hârtie,paper
713,punctul,paragraph
853,părinte,parent
104,parte,part
959,special,particular
774,partid,party
345,trece,pass
584,trecut,past
893,cale,path
484,model,pattern
674,plăti,pay
186,oameni,people
510,poate,perhaps
782,perioada,period
488,persoană,person
734,frază,phrase
511,alege,pick
88,imagine,picture
342,bucată,piece
930,pitch,pitch
107,loc,place
302,simplu,plain
414,planul de,plan
375,avion,plane
827,planetă,planet
214,plantă,plant
58,juca,play
765,vă rog,please
997,plural,plural
813,poezie,poem
93,punct,point
686,sărac,poor
880,popula,populate
65,portul,port
320,pune,pose
546,poziție,position
374,posibil,possible
860,mesaj,post
423,lire,pound
402,putere,power
761,practica,practice
994,pregăti,prepare
542,prezent,present
244,presă,press
904,destul de,pretty
842,print,print
503,probabil,probable
341,problemă,problem
759,proces,process
448,produc,produce
325,produs,product
871,corespunzătoare,proper
985,proprietate,property
766,proteja,protect
560,dovedi,prove
795,furniza,provide
497,trage,pull
711,apăsare,push
61,pune,put
974,quart,quart
331,întrebare,question
436,rapid,quick
680,liniștit,quiet
653,destul de,quite
897,coeficient,quotient
554,rasă,race
784,radio,radio
793,feroviar,rail
494,ploaie,rain
707,ridica,raise
382,a fugit,ran
890,gama,range
809,destul,rather
466,ajunge,reach
63,citeste,read
306,gata,ready
247,reală,real
515,motiv,reason
604,primi,receive
370,înregistrare,record
309,roșu,red
520,regiune,region
459,amintiți-vă,remember
991,repeta,repeat
884,raspunde,reply
517,reprezintă,represent
992,necesita,require
420,odihnă,rest
722,rezultat,result
756,bogat,rich
507,plimbare,ride
145,dreapta,right
778,inel,ring
623,crește,rise
296,râu,river
492,rutier,road
337,rocă,rock
739,rulou,roll
256,cameră,room
705,rădăcină,root
935,frânghie,rope
840,a crescut,rose
115,rotund,round
605,rând,row
818,freca,rub
495,regulă,rule
241,a alerga,run
725,în condiții de siguranță,safe
47,a declarat,said
549,naviga,sail
995,sare,salt
149,același,same
737,nisip,sand
572,sat,sat
648,salva,save
235,ferăstrău,saw
134,spune,say
661,scară,scale
209,școală,school
254,știință,science
926,scor,score
237,mare,sea
837,cautare,search
907,sezon,season
949,scaun,seat
300,al doilea,second
676,secțiune,section
171,vezi,see
615,semințe,seed
275,par,seem
874,segment,segment
988,selectați,select
98,auto,self
954,vinde,sell
838,trimite,send
750,sens,sense
640,trimis,sent
131,propoziție,sentence
762,separată,separate
490,servi,serve
52,set,set
523,rezolva,settle
712,șapte,seven
478,mai mulți,several
715,trebuie,shall
385,forma,shape
866,acțiune,share
803,ascuțit,sharp
150,ea,she
856,foaie,sheet
899,coajă,shell
984,strălucire,shine
334,navă,ship
965,pantof,shoe
981,magazin,shop
854,țărm,shore
327,scurt,short
205,ar trebui,should
966,umăr,shoulder
612,strigăt,shout
119,spectacol,show
197,lateral,side
284,vedere,sight
582,semn,sign
735,tăcut,silent
910,argint,silver
923,similare,similar
477,simplu,simple
346,întrucât,since
469,cânta,sing
692,singur,single
919,sora,sister
553,sta,sit
471,șase,six
521,dimensiunea,size
905,calificare,skill
696,piele,skin
568,cer,sky
875,sclav,slave
559,somn,sleep
936,alunecare,slip
485,lent,slow
59,mic,small
945,miros,smell
697,zâmbet,smile
391,zăpadă,snow
165,așa,so
585,moale,soft
738,sol,soil
758,soldat,soldier
908,soluție,solution
708,rezolva,solve
23,unele,some
658,fiu,son
322,cântec,song
315,curând,soon
183,sunet,sound
340,sud,south
450,spațiu,space
524,vorbi,speak
443,special,special
888,discurs,speech
671,viteza,speed
67,scrie,spell
861,petrece,spend
785,a vorbit,spoke
844,loc,spot
967,răspândire,spread
663,arc,spring
514,pătrat,square
202,stand,stand
416,stele,star
232,start,start
220,de stat,state
867,stație,station
355,ședere,stay
376,locul,stead
891,abur,steam
920,oțel,steel
460,pas,step
693,băț,stick
212,încă,still
681,piatră,stone
427,stat,stood
262,opri,stop
556,magazin,store
234,poveste,story
666,drept,straight
598,ciudat,strange
822,flux,stream
350,stradă,street
982,întindere,stretch
814,sir,string
442,puternic,strong
772,elev,student
211,studiu,study
519,subiect,subject
857,substanță,substance
957,scădea,subtract
955,succesul,success
75,astfel de,such
512,brusc,sudden
914,sufix,suffix
902,zahăr,sugar
618,sugerează,suggest
846,costum,suit
557,vară,summer
217,soare,sun
775,aprovizionare,supply
887,suport,support
268,sigur,sure
362,suprafață,surface
679,surpriză,surprise
961,înot,swim
533,silabă,syllable
608,simbol,symbol
367,sistem,system
472,masă,table
447,coadă,tail
105,ia,take
313,discuție,talk
736,înalt,tall
430,învăța,teach
632,echipa,team
898,dinți,teeth
50,spune,tell
740,temperatură,temperature
476,zece,ten
962,termen,term
369,testare,test
191,decât,than
911,multumesc,thank
4,că,that
29,a făcut,the
42,lor,their
161,lor,them
160,apoi,then
152,acolo,there
166,acestea,these
11,ei,they
757,gros,thick
825,subțire,thin
170,lucru,thing
133,cred,think
714,a treia,third
16,acest,this
289,aceste,those
311,deși,though
226,gând,thought
380,mie,thousand
53,trei,three
128,prin,through
983,arunca,throw
797,"astfel,",thus
833,cravată,tie
43,timp,time
682,minuscul,tiny
392,anvelope,tire
31,la,to
276,împreună,together
343,a spus,told
616,ton,tone
148,prea,too
253,a luat,took
942,instrument,tool
347,top,top
943,totală,total
628,atingeți,touch
480,spre,toward
403,oraș,town
852,cale,track
600,comerț,trade
558,tren,train
473,călătorie,travel
228,copac,tree
826,triunghi,triangle
602,excursie,trip
611,probleme,trouble
976,camion,truck
455,adevărat,true
89,încercați,try
819,tub,tube
139,"rândul său,",turn
695,douăzeci,twenty
173,două,two
729,tipul,type
125,sub,under
401,unitate,unit
294,până la,until
154,în sus,up
90,ne,us
155,utilizare,use
304,de obicei,usual
946,vale,valley
743,valoare,value
522,varia,vary
468,verbul,verb
127,foarte,very
749,vedere,view
703,sat,village
583,vizita,visit
500,voce,voice
479,vocală,vowel
413,aștepta,wait
282,de mers pe jos,walk
564,perete,wall
54,vrea,want
481,război,war
439,cald,warm
6,a fost,was
807,spălare,wash
269,ceas,watch
190,de apă,water
538,val,wave
157,cale,way
35,noi,we
637,uzură,wear
589,vremea,weather
431,săptămână,week
525,greutate,weight
56,bine,well
82,a mers,went
39,au fost,were
463,vest,west
22,ce,what
356,roată,wheel
153,când,when
110,unde,where
710,dacă,whether
40,care,which
243,în timp ce,while
278,alb,white
194,care,who
348,întreg,whole
776,a cărui,whose
78,de ce,why
548,larg,wide
964,soție,wife
574,sălbatic,wild
45,va,will
937,victorie,win
330,vânt,wind
555,fereastră,window
804,aripă,wing
571,iarnă,winter
633,sârmă,wire
567,doresc,wish
10,cu,with
799,femeie,woman
906,femei,women
378,întreb,wonder
752,nu va,won’t
272,lemn,wood
20,cuvânt,word
103,locul de muncă,work
95,lume,world
163,ar,would
162,trimite,write
573,scris,written
989,greșit,wrong
614,scris,wrote
622,curte,yard
117,an,year
839,galben,yellow
394,da,yes
537,încă,yet
26,tu,you
305,tineri,young
156,dumneavoastră,your
