number,serbian,english
409,крик,cry
847,струја,current
267,цут,cut
868,тата,dad
544,данце,dance
754,опасност,danger
410,дарк,dark
177,дан,day
843,деад,dead
960,договор,deal
882,деар,dear
903,деатх,death
361,одлучује,decide
650,децимал,decimal
363,дееп,deep
879,степен,degree
816,зависе,depend
718,описати,describe
845,десерт,desert
685,дизајн,design
973,одредити,determine
437,развити,develop
669,речник,dictionary
181,јесте,did
609,дие,die
138,разликују,differ
763,тешко,difficult
319,дирецт,direct
921,дискутовати,discuss
395,дистант,distant
532,дивиде,divide
855,дивисион,division
41,учинити,do
764,лекар,doctor
51,не,does
317,дог,dog
921,доллар,dollar
424,доне,done
242,немој,don’t
324,врата,door
948,доубле,double
196,довн,down
238,драв,draw
938,дреам,dream
677,хаљина,dress
885,пиће,drink
426,дриве,drive
539,дроп,drop
377,суво,dry
876,дуцк,duck
456,током,during
49,сваки,each
651,еар,ear
461,рано,early
99,еартх,earth
284,олакшати,ease
397,источно,east
255,еат,eat
581,ивица,edge
789,ефект,effect
506,егг,egg
702,осам,eight
721,или,either
790,елецтриц,electric
770,елемент,element
652,друго,else
60,крај,end
883,енеми,enemy
501,енерги,energy
545,енгине,engine
301,довољно,enough
834,ентер,enter
639,једнак,equal
386,изједначавају,equate
915,посебно,especially
69,чак,even
939,вече,evening
958,евент,event
308,икад,ever
120,сваки,every
607,тачан,exact
283,пример,example
613,осим,except
747,узбуђују,excite
563,вежба,exercise
791,очекују,expect
925,искуство,experience
688,експеримент,experiment
222,еие,eye
271,фаце,face
449,чињеница,fact
645,фаир,fair
407,пасти,fall
318,породица,family
820,познати,famous
236,далеко,far
230,фарм,farm
467,фаст,fast
863,масти,fat
100,отац,father
858,фаворизовати,favor
823,страх,fear
941,феед,feed
312,осетити,feel
298,феет,feet
642,пала,fell
534,осећао,felt
249,мало,few
419,поље,field
916,фиг,fig
744,фигхт,fight
415,слика,figure
396,попунити,fill
432,коначни,final
200,наћи,find
404,фино,fine
741,прст,finger
593,финисх,finish
339,фире,fire
193,прво,first
260,фисх,fish
643,фит,fit
458,фиве,five
694,стан,flat
720,спрат,floor
644,флов,flow
596,фловер,flower
406,фли,fly
76,фоллов,follow
216,фоод,food
366,фоот,foot
7,за,for
358,сила,force
552,шума,forest
130,облик,form
922,напред,forward
207,фоунд,found
218,четири,four
551,фракција,fraction
440,бесплатно,free
836,фресх,fresh
257,пријатељ,friend
17,из,from
429,фронт,front
755,фруит,fruit
357,пун,full
586,фун,fun
384,гаме,game
638,гарден,garden
588,гас,gas
980,окупљају,gather
433,дао,gave
526,генерал,general
798,нежан,gentle
106,добити,get
303,девојка,girl
123,даје,give
864,драго,glad
577,стакло,glass
179,иди,go
373,злато,gold
599,гоне,gone
121,гоод,good
281,имам,got
496,регулишу,govern
535,гранд,grand
578,трава,grass
990,греи,gray
132,велики,great
434,зелена,green
629,растао,grew
464,тло,ground
286,група,group
210,расти,grow
801,ваљда,guess
924,водич,guide
840,гун,gun
28,имао,had
717,хаир,hair
336,халф,half
64,рука,hand
332,деси,happen
594,срећан,happy
231,тежак,hard
174,има,has
953,шешир,hat
15,имају,have
5,он,he
201,глава,head
265,хеар,hear
451,чуо,heard
540,хеарт,heart
390,топлоте,heat
543,тежак,heavy
716,хелд,held
135,помоћ,help
167,јој,her
71,овде,here
74,висока,high
724,хилл,hill
172,га,him
3,његов,his
788,историја,history
771,ударити,hit
462,држите,hold
699,холе,hole
62,дом,home
595,надам се,hope
266,хорсе,horse
19,хот,hot
387,хот,hot
453,сат,hour
87,хоусе,house
46,како,how
918,огроман,huge
787,људски,human
457,сто,hundred
502,хунт,hunt
828,пожури,hurry
2,и,i
527,ице,ice
259,идеја,idea
44,ако,if
794,замислите,imagine
34,у,in
351,инцх,inch
531,укључују,include
783,указују,indicate
742,индустрија,industry
780,инсеката,insect
877,инстант,instant
575,инструмент,instrument
465,интерест,interest
970,инвент,invent
691,ирон,iron
24,је,is
365,исланд,island
25,она,it
580,јоб,job
617,придружи,join
570,јои,joy
700,јумп,jump
129,само,just
221,задржати,keep
576,чува,kept
690,кеи,key
657,убити,kill
84,врста,kind
349,кинг,king
344,знао,knew
189,знам,know
621,лади,lady
659,лаке,lake
70,ланд,land
399,лангуаге,language
66,велика,large
224,ласт,last
240,касно,late
379,смех,laugh
730,закон,law
482,лаи,lay
408,води,lead
213,научити,learn
610,најмање,least
321,оставити,leave
929,водио,led
239,напустио,left
562,нога,leg
516,дужина,length
474,мање,less
225,лет,let
293,леттер,letter
978,ниво,level
745,лаж,lie
248,живот,life
848,лифт,lift
83,лигхт,light
164,као,like
137,линија,line
894,течност,liquid
310,листа,list
470,листен,listen
113,литтле,little
109,ливе,live
777,лоцирати,locate
895,лог,log
561,усамљен,lone
168,лонг,long
175,изгледа,look
635,изгубио,lost
687,лот,lot
662,гласно,loud
487,лове,love
136,низак,low
411,машина,machine
108,маде,made
909,магнет,magnet
273,маин,main
835,мајор,major
169,направити,make
116,човек,man
159,многи,many
493,карта,map
291,ознака,mark
878,тржиште,market
932,маса,mass
851,мастер,master
913,матцх,match
550,материјал,material
528,материја,matter
195,мај,may
122,ме,me
142,значити,mean
896,значило,meant
323,мерење,measure
817,месни,meat
704,меет,meet
601,мелоди,melody
80,мен,men
709,метал,metal
672,метод,method
656,миддле,middle
233,моћ,might
295,миле,mile
670,млеко,milk
591,милиона,million
444,минд,mind
832,мине,mine
441,минут,minute
388,мисс,miss
631,мик,mix
769,модеран,modern
987,молекул,molecule
660,тренутак,moment
489,новац,money
590,месец,month
364,моон,moon
176,више,more
475,морнинг,morning
185,мост,most
94,мајка,mother
892,мотион,motion
566,моунт,mount
261,моунтаин,mountain
606,уста,mouth
144,потез,move
141,много,much
352,помножите,multiply
288,мусиц,music
72,муст,must
187,мој,my
126,назив,name
668,народ,nation
748,природни,natural
889,природа,nature
96,близу,near
802,неопходно,necessary
900,врат,neck
86,треба,need
806,комшија,neighbor
223,никад,never
102,нев,new
277,следећа,next
246,нигхт,night
975,девет,nine
184,но,no
977,бука,noise
767,ноон,noon
947,нити,nor
250,север,north
996,нос,nose
412,напомена,note
353,ништа,nothing
499,белешка,notice
418,именица,noun
199,сада,now
182,број,number
328,нумерал,numeral
360,објекат,object
664,посматрати,observe
886,доћи,occur
438,оцеан,ocean
30,од,of
85,офф,off
873,понуда,offer
603,канцеларија,office
292,често,often
435,ох,oh
626,уље,oil
147,олд,old
8,о,on
263,једном,once
14,један,one
114,само,only
274,отворен,open
760,раде,operate
963,супротно,opposite
27,или,or
338,редослед,order
673,орган,organ
865,оригинал,original
38,друго,other
124,наш,our
37,напоље,out
188,преко,over
203,сопствени,own
901,кисеоник,oxygen
204,паге,page
398,боја,paint
530,паир,pair
285,папир,paper
713,став,paragraph
853,родитељ,parent
104,парт,part
959,посебно,particular
774,парти,party
345,проћи,pass
584,прошлост,past
893,путања,path
484,паттерн,pattern
674,плате,pay
186,људи,people
510,можда,perhaps
782,период,period
488,лице,person
734,фраза,phrase
511,пицк,pick
88,пицтуре,picture
342,комад,piece
930,нагиб,pitch
107,место,place
302,плаин,plain
414,план,plan
375,плане,plane
827,планет,planet
214,биљка,plant
58,плаи,play
765,молим те,please
997,плурал,plural
813,песма,poem
93,поинт,point
686,лоша,poor
880,населити,populate
65,порт,port
320,посе,pose
546,позиција,position
374,могуће,possible
860,пост,post
423,поунд,pound
402,повер,power
761,пракса,practice
994,припремити,prepare
542,присутна,present
244,пресс,press
904,прилично,pretty
842,штампа,print
503,вероватно,probable
341,проблем,problem
759,процес,process
448,производе,produce
325,продуцт,product
871,правилно,proper
985,проперти,property
766,заштитити,protect
560,доказати,prove
795,обезбедити,provide
497,повући,pull
711,пусх,push
61,пут,put
974,куарт,quart
331,питање,question
436,брзо,quick
680,куиет,quiet
653,сасвим,quite
897,количник,quotient
554,раса,race
784,радио,radio
793,раил,rail
494,раин,rain
707,подићи,raise
382,ран,ran
890,домет,range
809,прилично,rather
466,достићи,reach
63,прочитајте,read
306,реади,ready
247,прави,real
515,разлог,reason
604,добијају,receive
370,рекорд,record
309,црвена,red
520,регион,region
459,запамтите,remember
991,репеат,repeat
884,одговорити,reply
517,представљају,represent
992,захтевају,require
420,одмор,rest
722,резултат,result
756,богат,rich
507,вожња,ride
145,право,right
778,ринг,ring
623,рисе,rise
296,ривер,river
492,пут,road
337,роцк,rock
739,ролна,roll
256,соба,room
705,роот,root
935,конопац,rope
840,росе,rose
115,роунд,round
605,ред,row
818,руб,rub
495,правило,rule
241,рун,run
725,безбедан,safe
47,рекао,said
549,саил,sail
995,со,salt
149,исто,same
737,санд,sand
572,сат,sat
648,сачувати,save
235,сав,saw
134,кажу,say
661,скала,scale
209,сцхоол,school
254,наука,science
926,скор,score
237,сеа,sea
837,претраживање,search
907,сеасон,season
949,сеат,seat
300,други,second
676,секција,section
171,видети,see
615,семе,seed
275,изгледа,seem
874,сегмент,segment
988,изаберите,select
98,селф,self
954,продају,sell
838,сенд,send
750,осећање,sense
640,послао,sent
131,реченица,sentence
762,посебан,separate
490,служе,serve
52,сет,set
523,реше,settle
712,седам,seven
478,неколико,several
715,ће,shall
385,облик,shape
866,схаре,share
803,схарп,sharp
150,она,she
856,лист,sheet
899,шкољка,shell
984,схине,shine
334,схип,ship
965,схое,shoe
981,схоп,shop
854,схоре,shore
327,кратак,short
205,треба,should
966,раме,shoulder
612,схоут,shout
119,схов,show
197,страна,side
284,призор,sight
582,знак,sign
735,нем,silent
910,силвер,silver
923,слично,similar
477,симпле,simple
346,од,since
469,певати,sing
692,сингле,single
919,сестра,sister
553,седети,sit
471,шест,six
521,величина,size
905,вештина,skill
696,кожа,skin
568,ски,sky
875,роб,slave
559,слееп,sleep
936,слип,slip
485,споро,slow
59,мала,small
945,мирис,smell
697,смиле,smile
391,снов,snow
165,тако,so
585,софт,soft
738,земљишта,soil
758,војник,soldier
908,решење,solution
708,решити,solve
23,неки,some
658,син,son
322,сонг,song
315,ускоро,soon
183,звук,sound
340,југ,south
450,спаце,space
524,спеак,speak
443,специал,special
888,говор,speech
671,спеед,speed
67,спелл,spell
861,троше,spend
785,крака,spoke
844,спот,spot
967,спреад,spread
663,пролеће,spring
514,скуаре,square
202,станд,stand
416,звезда,star
232,старт,start
220,држава,state
867,статион,station
355,остани,stay
376,уместо тога,stead
891,стеам,steam
920,стеел,steel
460,корак,step
693,стицк,stick
212,још,still
681,стоне,stone
427,стајао,stood
262,престати,stop
556,сторе,store
234,прича,story
666,страигхт,straight
598,чудно,strange
822,поток,stream
350,улица,street
982,стретцх,stretch
814,стринг,string
442,јака,strong
772,студент,student
211,студија,study
519,предмет,subject
857,супстанца,substance
957,одузмите,subtract
955,успех,success
75,таква,such
512,изненадна,sudden
914,суфикс,suffix
902,шећер,sugar
618,сугеришу,suggest
846,одело,suit
557,суммер,summer
217,сун,sun
775,снабдевање,supply
887,суппорт,support
268,сигуран,sure
362,сурфаце,surface
679,изненађење,surprise
961,свим,swim
533,слог,syllable
608,симбол,symbol
367,систем,system
472,табле,table
447,реп,tail
105,узети,take
313,разговор,talk
736,талл,tall
430,учи,teach
632,тим,team
898,зуби,teeth
50,рећи,tell
740,температура,temperature
476,десет,ten
962,термин,term
369,тест,test
191,од,than
911,хвала,thank
4,да,that
29,ово,the
42,њихове,their
161,им,them
160,онда,then
152,тамо,there
166,ово,these
11,они,they
757,дебела,thick
825,танак,thin
170,ствар,thing
133,мисли,think
714,трећи,third
16,ова,this
289,они,those
311,мада,though
226,мислио,thought
380,хиљада,thousand
53,три,three
128,кроз,through
983,бацити,throw
797,тако,thus
833,тие,tie
43,време,time
682,тини,tiny
392,гума,tire
31,до,to
276,заједно,together
343,рекао,told
616,тоне,tone
148,сувише,too
253,узео,took
942,алат,tool
347,топ,top
943,укупно,total
628,додирнути,touch
480,ка,toward
403,град,town
852,трацк,track
600,траде,trade
558,траин,train
473,травел,travel
228,дрво,tree
826,триангле,triangle
602,трип,trip
611,невоља,trouble
976,камион,truck
455,прави,true
89,пробајте,try
819,тубе,tube
139,ред,turn
695,двадесет,twenty
173,два,two
729,типе,type
125,под,under
401,јединица,unit
294,до,until
154,уп,up
90,нас,us
155,користити,use
304,уобичајено,usual
946,валлеи,valley
743,вриједност,value
522,варирају,vary
468,глагол,verb
127,веома,very
749,виев,view
703,виллаге,village
583,висит,visit
500,воице,voice
479,самогласник,vowel
413,ваит,wait
282,валк,walk
564,валл,wall
54,желим,want
481,рат,war
439,топло,warm
6,био,was
807,васх,wash
269,ватцх,watch
190,вода,water
538,талас,wave
157,ваи,way
35,ми,we
637,носе,wear
589,временска прогноза,weather
431,недеља,week
525,тежина,weight
56,добро,well
82,отишао,went
39,су,were
463,запад,west
22,ста,what
356,точак,wheel
153,када,when
110,где је,where
710,без обзира да ли,whether
40,која,which
243,док,while
278,бела,white
194,који,who
348,цела,whole
776,чији,whose
78,зашто,why
548,виде,wide
964,супруга,wife
574,вилд,wild
45,воља,will
937,вин,win
330,ветар,wind
555,прозор,window
804,винг,wing
571,винтер,winter
633,жица,wire
567,жеља,wish
10,с,with
799,жена,woman
906,жене,women
378,питам се,wonder
752,неће,won’t
272,воод,wood
20,реч,word
103,рад,work
95,свет,world
163,би,would
162,пишу,write
573,написано,written
989,погрешно,wrong
614,написао,wrote
622,иард,yard
117,године,year
839,жут,yellow
394,да,yes
537,још,yet
26,ви,you
305,млади,young
156,ваш,your
