number,italian,english
361,decidere,decide
650,decimale,decimal
363,profondità,deep
879,grado,degree
816,dipendere,depend
718,descrivere,describe
845,deserto,desert
685,design,design
973,determinare,determine
437,sviluppare,develop
669,dizionario,dictionary
181,ha fatto,did
609,morire,die
138,differire,differ
763,difficile,difficult
319,diretto,direct
921,discutere,discuss
395,lontano,distant
532,divide,divide
855,divisione,division
41,fare,do
764,medico,doctor
51,fa,does
317,cane,dog
921,dollaro,dollar
424,done,done
242,non,don’t
324,porta,door
948,doppio,double
196,giù,down
238,disegnare,draw
938,sognare,dream
677,vestito,dress
885,bevanda,drink
426,unità,drive
539,cadere,drop
377,asciutto,dry
876,anatra,duck
456,durante,during
49,ogni,each
651,orecchio,ear
461,presto,early
99,terra,earth
284,alleviare,ease
397,est,east
255,mangiare,eat
581,bordo,edge
789,effetto,effect
506,uovo,egg
702,otto,eight
721,o,either
790,elettrico,electric
770,elemento,element
652,altro,else
60,fine,end
883,nemico,enemy
501,energia,energy
545,motore,engine
301,abbastanza,enough
834,inserire,enter
639,pari,equal
386,uguagliare,equate
915,particolarmente,especially
69,anche,even
939,sera,evening
958,evento,event
308,mai,ever
120,ogni,every
607,esatto,exact
283,esempio,example
613,tranne,except
747,eccitare,excite
563,esercizio,exercise
791,aspettare,expect
925,esperienza,experience
688,esperimento,experiment
222,occhio,eye
271,volto,face
449,fatto,fact
645,fiera,fair
407,cadere,fall
318,famiglia,family
820,famoso,famous
236,lontano,far
230,fattoria,farm
467,veloce,fast
863,grasso,fat
100,padre,father
858,favorire,favor
823,paura,fear
941,alimentazione,feed
312,sentire,feel
298,piedi,feet
642,caduto,fell
534,feltro,felt
249,pochi,few
419,campo,field
916,fico,fig
744,lotta,fight
415,figura,figure
396,riempire,fill
432,finale,final
200,trovare,find
404,fine,fine
741,dito,finger
593,finitura,finish
339,fuoco,fire
193,primo,first
260,pesce,fish
643,adattarsi,fit
458,cinque,five
694,appartamento,flat
720,piano,floor
644,flusso,flow
596,fiore,flower
406,volare,fly
76,seguire,follow
216,cibo,food
366,piede,foot
7,per,for
358,vigore,force
552,foresta,forest
130,forma,form
922,avanti,forward
207,fondare,found
218,quattro,four
551,frazione,fraction
440,gratuito,free
836,fresco,fresh
257,amico,friend
17,da,from
429,frontale,front
755,frutta,fruit
357,completo,full
586,divertimento,fun
384,gioco,game
638,giardino,garden
588,gas,gas
980,raccogliere,gather
433,ha dato,gave
526,generale,general
798,dolce,gentle
106,ottenere,get
303,ragazza,girl
123,dare,give
864,felice,glad
577,vetro,glass
179,andare,go
373,oro,gold
599,gone,gone
121,buono,good
281,ottenuto,got
496,governare,govern
535,grande,grand
578,erba,grass
990,grigio,gray
132,grande,great
434,verde,green
629,è cresciuto,grew
464,terra,ground
286,gruppo,group
210,crescere,grow
801,indovinare,guess
924,guidare,guide
840,pistola,gun
28,aveva,had
717,capelli,hair
336,metà,half
64,mano,hand
332,accadere,happen
594,felice,happy
231,difficile,hard
174,ha,has
953,cappello,hat
15,avere,have
5,lui,he
201,testa,head
265,sentire,hear
451,sentito,heard
540,cuore,heart
390,calore,heat
543,pesante,heavy
716,tenuto,held
135,aiutare,help
167,lei,her
71,qui,here
74,alto,high
724,collina,hill
172,lui,him
3,il suo,his
788,storia,history
771,colpire,hit
462,tenere,hold
699,foro,hole
62,casa,home
595,speranza,hope
266,cavallo,horse
19,caldo,hot
387,caldo,hot
453,ora,hour
87,casa,house
46,come,how
918,enorme,huge
787,umano,human
457,cento,hundred
502,caccia,hunt
828,fretta,hurry
2,io,i
527,ghiaccio,ice
259,idea,idea
44,se,if
794,immaginare,imagine
34,in,in
351,pollice,inch
531,includere,include
783,indicare,indicate
742,industria,industry
780,insetto,insect
877,immediato,instant
575,strumento,instrument
465,interesse,interest
970,inventare,invent
691,ferro,iron
24,è,is
365,isola,island
25,esso,it
580,lavoro,job
617,aderire,join
570,gioia,joy
700,salto,jump
129,solo,just
221,mantenere,keep
576,tenere,kept
690,chiave,key
657,uccidere,kill
84,tipo,kind
349,re,king
344,sapeva,knew
189,sapere,know
621,signora,lady
659,lago,lake
70,terra,land
399,lingua,language
66,grande,large
224,ultimo,last
240,tardi,late
379,ridere,laugh
730,legge,law
482,porre,lay
408,portare,lead
213,imparare,learn
610,meno,least
321,lasciare,leave
929,portato,led
239,sinistra,left
562,gamba,leg
516,lunghezza,length
474,meno,less
225,lasciare,let
293,lettera,letter
978,livello,level
745,bugia,lie
248,vita,life
848,ascensore,lift
83,luce,light
164,come,like
137,linea,line
894,liquido,liquid
310,elenco,list
470,ascoltare,listen
113,poco,little
109,vivere,live
777,individuare,locate
895,log,log
561,solitario,lone
168,lungo,long
175,guardare,look
635,perso,lost
687,lotto,lot
662,forte,loud
487,amore,love
136,basso,low
411,macchina,machine
108,fatto,made
909,magnete,magnet
273,principale,main
835,maggiore,major
169,rendere,make
116,uomo,man
159,molti,many
493,mappa,map
291,marchio,mark
878,mercato,market
932,massa,mass
851,master,master
913,partita,match
550,materiale,material
528,materia,matter
195,può,may
122,me,me
142,dire,mean
896,significava,meant
323,misurare,measure
817,carne,meat
704,si incontrano,meet
601,melodia,melody
80,maschi,men
709,metallo,metal
672,metodo,method
656,mezzo,middle
233,forza,might
295,miglio,mile
670,latte,milk
591,milione,million
444,mente,mind
832,miniera,mine
441,minuto,minute
388,perdere,miss
631,mescolare,mix
769,moderno,modern
987,molecola,molecule
660,momento,moment
489,soldi,money
590,mese,month
364,luna,moon
176,di più,more
475,mattina,morning
185,più,most
94,madre,mother
892,moto,motion
566,monte,mount
261,montagna,mountain
606,bocca,mouth
144,spostare,move
141,molto,much
352,moltiplicare,multiply
288,musica,music
72,mosto,must
187,il mio,my
126,nome,name
668,nazione,nation
748,naturale,natural
889,natura,nature
96,vicino,near
802,necessario,necessary
900,collo,neck
86,bisogno,need
806,prossimo,neighbor
223,mai,never
102,nuovo,new
277,prossimo,next
246,notte,night
975,nove,nine
184,no,no
977,rumore,noise
767,mezzogiorno,noon
947,né,nor
250,nord,north
996,naso,nose
412,nota,note
353,niente,nothing
499,avviso,notice
418,sostantivo,noun
199,ora,now
182,numero,number
328,numerale,numeral
360,oggetto,object
664,osservare,observe
886,verificarsi,occur
438,oceano,ocean
30,di,of
85,spento,off
873,offerta,offer
603,ufficio,office
292,spesso,often
435,oh,oh
626,olio,oil
147,vecchio,old
8,su,on
263,una volta,once
14,uno,one
114,solo,only
274,aperto,open
760,operare,operate
963,opposto,opposite
27,o,or
338,ordine,order
673,organo,organ
865,originale,original
38,altro,other
124,il nostro,our
37,fuori,out
188,oltre,over
203,proprio,own
901,ossigeno,oxygen
204,pagina,page
398,dipingere,paint
530,coppia,pair
285,carta,paper
713,paragrafo,paragraph
853,genitore,parent
104,parte,part
959,particolare,particular
774,partito,party
345,passare,pass
584,passato,past
893,sentiero,path
484,modello,pattern
674,pagare,pay
186,persone,people
510,forse,perhaps
782,periodo,period
488,persona,person
734,frase,phrase
511,scegliere,pick
88,immagine,picture
342,pezzo,piece
930,pece,pitch
107,posto,place
302,pianura,plain
414,piano,plan
375,piano,plane
827,pianeta,planet
214,impianto,plant
58,giocare,play
765,per favore,please
997,plurale,plural
813,poesia,poem
93,punto,point
686,povero,poor
880,popolare,populate
65,porto,port
320,posa,pose
546,posizione,position
374,possibile,possible
860,messaggio,post
423,libbra,pound
402,potenza,power
761,pratica,practice
994,preparare,prepare
542,presente,present
244,stampa,press
904,piuttosto,pretty
842,stampa,print
503,probabile,probable
341,problema,problem
759,processo,process
448,produrre,produce
325,prodotto,product
871,corretto,proper
985,proprietà,property
766,proteggere,protect
560,dimostrare,prove
795,fornire,provide
497,tirare,pull
711,spingere,push
61,mettere,put
974,quarto di gallone,quart
331,domanda,question
436,veloce,quick
680,tranquillo,quiet
653,abbastanza,quite
897,quoziente,quotient
554,gara,race
784,radio,radio
793,ferrovia,rail
494,pioggia,rain
707,aumentare,raise
382,corse,ran
890,gamma,range
809,piuttosto,rather
466,raggiungere,reach
63,leggere,read
306,pronto,ready
247,reale,real
515,motivo,reason
604,ricevere,receive
370,record,record
309,rosso,red
520,regione,region
459,ricordare,remember
991,ripetizione,repeat
884,rispondere,reply
517,rappresentare,represent
992,richiedere,require
420,resto,rest
722,risultato,result
756,ricco,rich
507,giro,ride
145,diritto,right
778,anello,ring
623,salire,rise
296,fiume,river
492,strada,road
337,rock,rock
739,rotolo,roll
256,camera,room
705,radice,root
935,corda,rope
840,rosa,rose
115,turno,round
605,fila,row
818,strofinare,rub
495,regola,rule
241,run,run
725,sicuro,safe
47,suddetto,said
549,vela,sail
995,sale,salt
149,stesso,same
737,sabbia,sand
572,sat,sat
648,salvare,save
235,sega,saw
134,dire,say
661,scala,scale
209,scuola,school
254,scienza,science
926,punteggio,score
237,mare,sea
837,ricerca,search
907,stagione,season
949,sedile,seat
300,secondo,second
676,sezione,section
171,vedere,see
615,seme,seed
275,sembrare,seem
874,segmento,segment
988,selezionare,select
98,se stesso,self
954,vendere,sell
838,inviare,send
750,senso,sense
640,inviato,sent
131,frase,sentence
762,separato,separate
490,servire,serve
52,set,set
523,risolvere,settle
712,sette,seven
478,alcuni,several
715,deve,shall
385,forma,shape
866,quota,share
803,tagliente,sharp
150,lei,she
856,foglio,sheet
899,guscio,shell
984,shine,shine
334,nave,ship
965,scarpa,shoe
981,negozio,shop
854,riva,shore
327,breve,short
205,dovrebbe,should
966,spalla,shoulder
612,shout,shout
119,spettacolo,show
197,lato,side
284,vista,sight
582,segno,sign
735,silenzioso,silent
910,argento,silver
923,simile,similar
477,semplice,simple
346,da,since
469,cantare,sing
692,singolo,single
919,sorella,sister
553,sedersi,sit
471,sei,six
521,dimensione,size
905,abilità,skill
696,pelle,skin
568,cielo,sky
875,schiavo,slave
559,sonno,sleep
936,slittamento,slip
485,lento,slow
59,piccolo,small
945,odore,smell
697,sorriso,smile
391,neve,snow
165,così,so
585,morbido,soft
738,suolo,soil
758,soldato,soldier
908,soluzione,solution
708,risolvere,solve
23,alcuni,some
658,figlio,son
322,canzone,song
315,presto,soon
183,suono,sound
340,sud,south
450,spazio,space
524,parlare,speak
443,speciale,special
888,discorso,speech
671,velocità,speed
67,compitare,spell
861,spendere,spend
785,raggio,spoke
844,spot,spot
967,spread,spread
663,primavera,spring
514,piazza,square
202,stare in piedi,stand
416,stella,star
232,inizio,start
220,stato,state
867,stazione,station
355,soggiornare,stay
376,vece,stead
891,vapore,steam
920,acciaio,steel
460,passo,step
693,bastone,stick
212,ancora,still
681,pietra,stone
427,sorgeva,stood
262,stop,stop
556,negozio,store
234,storia,story
666,dritto,straight
598,strano,strange
822,ruscello,stream
350,strada,street
982,tratto,stretch
814,stringa,string
442,forte,strong
772,studente,student
211,studio,study
519,soggetto,subject
857,sostanza,substance
957,sottrarre,subtract
955,successo,success
75,tale,such
512,improvviso,sudden
914,suffisso,suffix
902,zucchero,sugar
618,suggerire,suggest
846,tuta,suit
557,estate,summer
217,sole,sun
775,fornitura,supply
887,supporto,support
268,sicuro,sure
362,superficie,surface
679,sorpresa,surprise
961,nuoto,swim
533,sillaba,syllable
608,simbolo,symbol
367,sistema,system
472,tavolo,table
447,coda,tail
105,prendere,take
313,discussioni,talk
736,alto,tall
430,insegnare,teach
632,team,team
898,denti,teeth
50,dire,tell
740,temperatura,temperature
476,dieci,ten
962,termine,term
369,test,test
191,di,than
911,grazie,thank
4,che,that
29,il,the
42,loro,their
161,loro,them
160,allora,then
152,ci,there
166,queste,these
11,essi,they
757,spesso,thick
825,sottile,thin
170,cosa,thing
133,pensare,think
714,terzo,third
16,questo,this
289,quelli,those
311,anche se,though
226,pensiero,thought
380,migliaia,thousand
53,tre,three
128,attraverso,through
983,gettare,throw
797,così,thus
833,cravatta,tie
43,tempo,time
682,piccolo,tiny
392,pneumatico,tire
31,a,to
276,insieme,together
343,ha detto,told
616,tono,tone
148,troppo,too
253,ha preso,took
942,strumento,tool
347,top,top
943,totale,total
628,toccare,touch
480,verso,toward
403,città,town
852,pista,track
600,commercio,trade
558,treno,train
473,viaggi,travel
228,albero,tree
826,triangolo,triangle
602,viaggio,trip
611,difficoltà,trouble
976,camion,truck
455,vero,true
89,provare,try
819,tubo,tube
139,turno,turn
695,venti,twenty
173,due,two
729,tipo,type
125,sotto,under
401,unità,unit
294,fino a quando,until
154,su,up
90,noi,us
155,uso,use
304,solito,usual
946,valle,valley
743,valore,value
522,variare,vary
468,verbo,verb
127,molto,very
749,vista,view
703,villaggio,village
583,visita,visit
500,voce,voice
479,vocale,vowel
413,aspettare,wait
282,camminare,walk
564,muro,wall
54,desiderare,want
481,guerra,war
439,caldo,warm
6,era,was
807,lavaggio,wash
269,orologio,watch
190,acqua,water
538,onda,wave
157,modo,way
35,noi,we
637,indossare,wear
589,tempo,weather
431,settimana,week
525,peso,weight
56,bene,well
82,è andato,went
39,erano,were
463,ovest,west
22,cosa,what
356,ruota,wheel
153,quando,when
110,dove,where
710,se,whether
40,che,which
243,mentre,while
278,bianco,white
194,che,who
348,tutto,whole
776,la cui,whose
78,perché,why
548,ampio,wide
964,moglie,wife
574,selvaggio,wild
45,volontà,will
937,vittoria,win
330,vento,wind
555,finestra,window
804,ala,wing
571,inverno,winter
633,filo,wire
567,desiderio,wish
10,con,with
799,donna,woman
906,donne,women
378,meraviglia,wonder
752,non sarà,won’t
272,legno,wood
20,parola,word
103,lavoro,work
95,mondo,world
163,sarebbe,would
162,scrivere,write
573,scritto,written
989,sbagliato,wrong
614,ha scritto,wrote
622,cantiere,yard
117,anno,year
839,giallo,yellow
394,sì,yes
537,ancora,yet
26,voi,you
305,giovane,young
156,il tuo,your
