number,malaysian,english
882,sayang,dear
903,kematian,death
361,membuat keputusan,decide
650,perpuluhan,decimal
363,dalam,deep
879,ijazah,degree
816,bergantung,depend
718,menggambarkan,describe
845,padang pasir,desert
685,reka bentuk,design
973,menentukan,determine
437,membangunkan,develop
669,kamus,dictionary
181,lakukan,did
609,mati,die
138,berbeza,differ
763,sukar,difficult
319,langsung,direct
921,membincangkan,discuss
395,jauh,distant
532,jurang,divide
855,bahagian,division
41,melakukan,do
764,doktor,doctor
51,tidak,does
317,anjing,dog
921,dolar,dollar
424,dilakukan,done
242,tidak,don’t
324,pintu,door
948,dua,double
196,turun,down
238,menarik,draw
938,bermimpi,dream
677,pakaian,dress
885,minuman,drink
426,pemacu,drive
539,drop,drop
377,kering,dry
876,itik,duck
456,semasa,during
49,setiap,each
651,telinga,ear
461,awal,early
99,bumi,earth
284,meringankan,ease
397,timur,east
255,makan,eat
581,kelebihan,edge
789,kesan,effect
506,telur,egg
702,lapan,eight
721,sama ada,either
790,elektrik,electric
770,elemen,element
652,lain,else
60,akhir,end
883,musuh,enemy
501,tenaga,energy
545,enjin,engine
301,cukup,enough
834,memasukkan,enter
639,sama,equal
386,menyamakan,equate
915,terutamanya,especially
69,walaupun,even
939,petang,evening
958,acara,event
308,pernah,ever
120,setiap,every
607,tepat,exact
283,contoh,example
613,kecuali,except
747,merangsang,excite
563,senaman,exercise
791,mengharapkan,expect
925,pengalaman,experience
688,eksperimen,experiment
222,mata,eye
271,muka,face
449,fakta,fact
645,adil,fair
407,jatuh,fall
318,keluarga,family
820,terkenal,famous
236,jauh,far
230,ladang,farm
467,cepat,fast
863,lemak,fat
100,bapa,father
858,memihak kepada,favor
823,ketakutan,fear
941,makanan,feed
312,berasa,feel
298,kaki,feet
642,jatuh,fell
534,merasakan,felt
249,beberapa,few
419,bidang,field
916,ara,fig
744,perjuangan,fight
415,angka,figure
396,mengisi,fill
432,akhir,final
200,mendapati,find
404,denda,fine
741,jari,finger
593,penamat,finish
339,api,fire
193,pertama,first
260,ikan,fish
643,muat,fit
458,lima,five
694,rata,flat
720,lantai,floor
644,mengalir,flow
596,bunga,flower
406,terbang,fly
76,mengikuti,follow
216,makanan,food
366,kaki,foot
7,untuk,for
358,kuasa,force
552,hutan,forest
130,bentuk,form
922,ke hadapan,forward
207,didapati,found
218,empat,four
551,pecahan,fraction
440,percuma,free
836,segar,fresh
257,rakan,friend
17,daripada,from
429,hadapan,front
755,buah-buahan,fruit
357,penuh,full
586,menyeronokkan,fun
384,permainan,game
638,taman,garden
588,gas,gas
980,mengumpul,gather
433,memberi,gave
526,umum,general
798,lembut,gentle
106,mendapatkan,get
303,gadis,girl
123,memberi,give
864,gembira,glad
577,kaca,glass
179,pergi,go
373,emas,gold
599,pergi,gone
121,baik,good
281,mendapat,got
496,mentadbir,govern
535,besar,grand
578,rumput,grass
990,kelabu,gray
132,besar,great
434,hijau,green
629,berkembang,grew
464,tanah,ground
286,kumpulan,group
210,berkembang,grow
801,meneka,guess
924,membimbing,guide
840,pistol,gun
28,mempunyai,had
717,rambut,hair
336,setengah,half
64,tangan,hand
332,berlaku,happen
594,gembira,happy
231,keras,hard
174,mempunyai,has
953,topi,hat
15,mempunyai,have
5,beliau,he
201,kepala,head
265,mendengar,hear
451,mendengar,heard
540,jantung,heart
390,haba,heat
543,berat,heavy
716,diadakan,held
135,membantu,help
167,beliau,her
71,di sini,here
74,tinggi,high
724,bukit,hill
172,dia,him
3,beliau,his
788,sejarah,history
771,melanda,hit
462,memegang,hold
699,lubang,hole
62,rumah,home
595,berharap,hope
266,kuda,horse
19,panas,hot
387,panas,hot
453,jam,hour
87,rumah,house
46,bagaimana,how
918,besar,huge
787,manusia,human
457,ratus,hundred
502,memburu,hunt
828,terburu-buru,hurry
2,saya,i
527,ais,ice
259,idea,idea
44,jika,if
794,bayangkan,imagine
34,dalam,in
351,inci,inch
531,termasuk,include
783,menunjukkan,indicate
742,industri,industry
780,serangga,insect
877,segera,instant
575,instrumen,instrument
465,kepentingan,interest
970,mengada-adakan,invent
691,besi,iron
24,adalah,is
365,pulau,island
25,ia,it
580,kerja,job
617,menyertai,join
570,kegembiraan,joy
700,melompat,jump
129,hanya,just
221,menjaga,keep
576,disimpan,kept
690,utama,key
657,membunuh,kill
84,jenis,kind
349,raja,king
344,tahu,knew
189,tahu,know
621,wanita,lady
659,tasik,lake
70,tanah,land
399,bahasa,language
66,besar,large
224,lalu,last
240,lewat,late
379,ketawa,laugh
730,undang-undang,law
482,meletakkan,lay
408,membawa,lead
213,belajar,learn
610,kurangnya,least
321,meninggalkan,leave
929,membawa,led
239,meninggalkan,left
562,kaki,leg
516,panjang,length
474,kurang,less
225,mari,let
293,surat,letter
978,tahap,level
745,dusta,lie
248,kehidupan,life
848,lif,lift
83,cahaya,light
164,seperti,like
137,talian,line
894,cecair,liquid
310,senarai,list
470,mendengar,listen
113,kecil,little
109,hidup,live
777,mengesan,locate
895,log,log
561,tunggal,lone
168,lama,long
175,melihat,look
635,hilang,lost
687,banyak,lot
662,kuat,loud
487,suka,love
136,rendah,low
411,mesin,machine
108,dibuat,made
909,magnet,magnet
273,utama,main
835,utama,major
169,membuat,make
116,lelaki,man
159,banyak,many
493,peta,map
291,tanda,mark
878,pasaran,market
932,besar-besaran,mass
851,induk,master
913,perlawanan,match
550,bahan,material
528,perkara,matter
195,boleh,may
122,saya,me
142,bermakna,mean
896,bermakna,meant
323,mengukur,measure
817,daging,meat
704,memenuhi,meet
601,melodi,melody
80,lelaki,men
709,logam,metal
672,kaedah,method
656,pertengahan,middle
233,mungkin,might
295,batu,mile
670,susu,milk
591,juta,million
444,fikiran,mind
832,saya,mine
441,minit,minute
388,miss,miss
631,campuran,mix
769,moden,modern
987,molekul,molecule
660,masa,moment
489,wang,money
590,bulan,month
364,bulan,moon
176,lebih,more
475,pagi,morning
185,paling,most
94,ibu,mother
892,gerakan,motion
566,gunung,mount
261,gunung,mountain
606,mulut,mouth
144,langkah,move
141,banyak,much
352,membiak,multiply
288,muzik,music
72,mesti,must
187,saya,my
126,nama,name
668,negara,nation
748,semula jadi,natural
889,alam semula jadi,nature
96,berhampiran,near
802,perlu,necessary
900,leher,neck
86,perlu,need
806,jiran,neighbor
223,tidak pernah,never
102,baru,new
277,seterusnya,next
246,malam,night
975,sembilan,nine
184,ada,no
977,bunyi,noise
767,tengah hari,noon
947,ataupun,nor
250,utara,north
996,hidung,nose
412,nota,note
353,apa-apa,nothing
499,notis,notice
418,kata nama,noun
199,kini,now
182,bilangan,number
328,angka,numeral
360,objek,object
664,memerhatikan,observe
886,berlaku,occur
438,lautan,ocean
30,daripada,of
85,off,off
873,tawaran,offer
603,pejabat,office
292,sering,often
435,oh,oh
626,minyak,oil
147,lama,old
8,pada,on
263,sekali,once
14,satu,one
114,hanya,only
274,terbuka,open
760,beroperasi,operate
963,bertentangan,opposite
27,atau,or
338,perintah,order
673,organ,organ
865,asal,original
38,lain,other
124,kami,our
37,keluar,out
188,lebih,over
203,sendiri,own
901,oksigen,oxygen
204,laman,page
398,cat,paint
530,pasangan,pair
285,kertas,paper
713,perenggan,paragraph
853,ibu bapa,parent
104,sebahagian,part
959,tertentu,particular
774,pihak,party
345,lulus,pass
584,lalu,past
893,jalan,path
484,corak,pattern
674,membayar,pay
186,orang,people
510,mungkin,perhaps
782,tempoh,period
488,orang,person
734,frasa,phrase
511,mengambil,pick
88,gambar,picture
342,sekeping,piece
930,padang,pitch
107,tempat,place
302,dataran,plain
414,pelan,plan
375,kapal terbang,plane
827,planet,planet
214,tumbuhan,plant
58,bermain,play
765,sila,please
997,majmuk,plural
813,puisi,poem
93,titik,point
686,miskin,poor
880,mempopulasikan,populate
65,pelabuhan,port
320,menimbulkan,pose
546,kedudukan,position
374,mungkin,possible
860,jawatan,post
423,pound,pound
402,kuasa,power
761,amalan,practice
994,menyediakan,prepare
542,sekarang,present
244,akhbar,press
904,cantik,pretty
842,cetak,print
503,kemungkinan,probable
341,masalah,problem
759,proses,process
448,menghasilkan,produce
325,produk,product
871,betul,proper
985,harta,property
766,melindungi,protect
560,membuktikan,prove
795,menyediakan,provide
497,menarik,pull
711,push,push
61,meletakkan,put
974,kuart,quart
331,soalan,question
436,cepat,quick
680,tenang,quiet
653,agak,quite
897,hasil bahagi,quotient
554,bangsa,race
784,sejuk,radio
793,kereta api,rail
494,hujan,rain
707,meningkatkan,raise
382,berlari,ran
890,pelbagai,range
809,bukan,rather
466,mencapai,reach
63,membaca,read
306,bersedia,ready
247,sebenar,real
515,sebab,reason
604,menerima,receive
370,rekod,record
309,merah,red
520,rantau,region
459,ingat,remember
991,ulangan,repeat
884,membalas,reply
517,mewakili,represent
992,memerlukan,require
420,selebihnya,rest
722,hasil,result
756,kaya,rich
507,perjalanan,ride
145,betul,right
778,cincin,ring
623,naik,rise
296,sungai,river
492,jalan raya,road
337,batuan,rock
739,daftar,roll
256,bilik,room
705,akar,root
935,tali,rope
840,meningkat,rose
115,pusingan,round
605,berturut-turut,row
818,sapu,rub
495,peraturan,rule
241,jangka,run
725,selamat,safe
47,berkata,said
549,belayar,sail
995,garam,salt
149,sama,same
737,pasir,sand
572,sab,sat
648,menyelamatkan,save
235,saw,saw
134,mengatakan,say
661,skala,scale
209,sekolah,school
254,sains,science
926,perincian,score
237,laut,sea
837,carian,search
907,musim,season
949,tempat duduk,seat
300,kedua,second
676,seksyen,section
171,lihat,see
615,benih,seed
275,seolah-olah,seem
874,segmen,segment
988,pilih,select
98,diri,self
954,menjual,sell
838,menghantar,send
750,rasa,sense
640,dihantar,sent
131,hukuman,sentence
762,berasingan,separate
490,berkhidmat,serve
52,set,set
523,menyelesaikan,settle
712,tujuh,seven
478,beberapa,several
715,hendaklah,shall
385,bentuk,shape
866,saham,share
803,tajam,sharp
150,dia,she
856,lembaran,sheet
899,shell,shell
984,bersinar,shine
334,kapal,ship
965,kasut,shoe
981,kedai,shop
854,pantai,shore
327,pendek,short
205,perlu,should
966,bahu,shoulder
612,jeritan,shout
119,persembahan,show
197,sebelah,side
284,penglihatan,sight
582,tanda,sign
735,senyap,silent
910,perak,silver
923,sama,similar
477,mudah,simple
346,sejak,since
469,menyanyi,sing
692,tunggal,single
919,kakak,sister
553,duduk,sit
471,enam,six
521,saiz,size
905,kemahiran,skill
696,kulit,skin
568,langit,sky
875,hamba,slave
559,tidur,sleep
936,slip,slip
485,perlahan,slow
59,kecil,small
945,bau,smell
697,senyuman,smile
391,salji,snow
165,jadi,so
585,lembut,soft
738,tanah,soil
758,askar,soldier
908,penyelesaian,solution
708,menyelesaikan,solve
23,beberapa,some
658,anak,son
322,lagu,song
315,tidak lama lagi,soon
183,bunyi,sound
340,selatan,south
450,ruang,space
524,bercakap,speak
443,khas,special
888,ucapan,speech
671,kelajuan,speed
67,mengeja,spell
861,menghabiskan,spend
785,bercakap,spoke
844,tempat,spot
967,penyebaran,spread
663,musim bunga,spring
514,persegi,square
202,berdiri,stand
416,bintang,star
232,permulaan,start
220,negeri,state
867,stesen,station
355,tinggal,stay
376,kedudukan,stead
891,stim,steam
920,keluli,steel
460,langkah,step
693,kayu,stick
212,masih,still
681,batu,stone
427,berdiri,stood
262,berhenti,stop
556,kedai,store
234,cerita,story
666,lurus,straight
598,pelik,strange
822,aliran,stream
350,jalan,street
982,regangan,stretch
814,rentetan,string
442,kuat,strong
772,pelajar,student
211,kajian,study
519,tertakluk,subject
857,bahan,substance
957,tolak,subtract
955,kejayaan,success
75,seperti,such
512,secara tiba-tiba,sudden
914,akhiran,suffix
902,gula,sugar
618,mencadangkan,suggest
846,saman,suit
557,musim panas,summer
217,matahari,sun
775,bekalan,supply
887,sokongan,support
268,memastikan,sure
362,permukaan,surface
679,kejutan,surprise
961,berenang,swim
533,suku kata,syllable
608,simbol,symbol
367,sistem,system
472,jadual,table
447,ekor,tail
105,mengambil,take
313,bercakap,talk
736,tinggi,tall
430,mengajar,teach
632,pasukan,team
898,gigi,teeth
50,memberitahu,tell
740,suhu,temperature
476,sepuluh,ten
962,jangka,term
369,ujian,test
191,daripada,than
911,terima,thank
4,yang,that
29,yang,the
42,mereka,their
161,mereka,them
160,kemudian,then
152,ada,there
166,ini,these
11,mereka,they
757,tebal,thick
825,nipis,thin
170,perkara,thing
133,berfikir,think
714,ketiga,third
16,ini,this
289,yang,those
311,walaupun,though
226,fikir,thought
380,ribu,thousand
53,tiga,three
128,melalui,through
983,membuang,throw
797,dengan itu,thus
833,tali leher,tie
43,masa,time
682,kecil,tiny
392,tayar,tire
31,kepada,to
276,bersama-sama,together
343,memberitahu,told
616,nada,tone
148,terlalu,too
253,mengambil,took
942,alat,tool
347,atas,top
943,jumlah,total
628,menyentuh,touch
480,ke arah,toward
403,bandar,town
852,trek,track
600,perdagangan,trade
558,kereta api,train
473,perjalanan,travel
228,pokok,tree
826,segitiga,triangle
602,perjalanan,trip
611,masalah,trouble
976,trak,truck
455,benar,true
89,cuba,try
819,tiub,tube
139,seterusnya,turn
695,dua puluh,twenty
173,dua,two
729,jenis,type
125,di bawah,under
401,unit,unit
294,sehingga,until
154,sehingga,up
90,kami,us
155,penggunaan,use
304,biasa,usual
946,lembah,valley
743,nilai,value
522,berbeza-beza,vary
468,kata kerja,verb
127,sangat,very
749,pandangan,view
703,kampung,village
583,lawatan,visit
500,suara,voice
479,vokal,vowel
413,tunggu,wait
282,berjalan,walk
564,dinding,wall
54,mahu,want
481,perang,war
439,panas,warm
6,adalah,was
807,mencuci,wash
269,menonton,watch
190,air,water
538,gelombang,wave
157,cara,way
35,kami,we
637,memakai,wear
589,cuaca,weather
431,minggu,week
525,berat badan,weight
56,baik,well
82,pergi,went
39,adalah,were
463,barat,west
22,apa,what
356,roda,wheel
153,apabila,when
110,di mana,where
710,sama ada,whether
40,yang,which
243,manakala,while
278,putih,white
194,yang,who
348,keseluruhan,whole
776,yang,whose
78,mengapa,why
548,luas,wide
964,isteri,wife
574,liar,wild
45,akan,will
937,kemenangan,win
330,angin,wind
555,tetingkap,window
804,sayap,wing
571,musim sejuk,winter
633,wayar,wire
567,ingin,wish
10,dengan,with
799,wanita,woman
906,wanita,women
378,tertanya-tanya,wonder
752,tidak akan,won’t
272,kayu,wood
20,perkataan,word
103,kerja,work
95,dunia,world
163,akan,would
162,menulis,write
573,bertulis,written
989,salah,wrong
614,menulis,wrote
622,yard,yard
117,tahun,year
839,kuning,yellow
394,ya,yes
537,belum,yet
26,anda,you
305,muda,young
156,anda,your
