number,frisian,english
415,stal,figure
396,folje,fill
432,lêste,final
200,fine,find
404,moai,fine
741,finger,finger
593,ein,finish
339,fjoer,fire
193,earste,first
260,fisk,fish
643,passe,fit
458,fiif,five
694,flet,flat
720,flier,floor
644,streame,flow
596,blom,flower
406,fleane,fly
76,folgje,follow
216,iten,food
366,foet,foot
6,foar,for
358,krêft,force
552,wâld,forest
130,foarm,form
922,foarút,forward
207,fûn,found
218,fjouwer,four
551,fraksje,fraction
440,frij,free
836,farsk,fresh
257,freon,friend
16,fan,from
429,front,front
755,fruit,fruit
357,fol,full
586,wille,fun
384,wedstriid,game
638,tún,garden
588,gas,gas
980,gather,gather
433,joech,gave
526,algemien,general
798,sêfte,gentle
106,krije,get
303,meisje,girl
123,jaan,give
864,bliid,glad
577,glês,glass
179,gean,go
373,goud,gold
599,gone,gone
121,goed,good
281,got,got
496,bestjoere,govern
535,grand,grand
578,gers,grass
990,griis,gray
132,grut,great
434,grien,green
629,groeide,grew
464,grûn,ground
286,groep,group
210,groeie,grow
801,riede,guess
924,guide,guide
840,gun,gun
27,hie,had
717,hier,hair
336,heal,half
64,hân,hand
332,barre,happen
594,lokkich,happy
231,hurd,hard
174,hat,has
953,hoed,hat
14,hawwe,have
4,hy,he
201,holle,head
265,hearre,hear
451,heard,heard
540,hert,heart
390,hjitte,heat
543,swier,heavy
716,held,held
135,help,help
167,har,her
71,hjir,here
74,heech,high
724,heuvel,hill
172,him,him
2,syn,his
788,skiednis,history
771,slaan,hit
462,hâlde,hold
699,gat,hole
62,thús,home
595,hope,hope
266,hynder,horse
18,hyt,hot
387,hyt,hot
453,oere,hour
87,hûs,house
45,hoe,how
918,grutte,huge
787,minske,human
457,hûndert,hundred
502,jacht,hunt
828,hurry,hurry
1,ik,i
527,iis,ice
259,idee,idea
43,as,if
794,yntinke,imagine
33,yn,in
351,inch,inch
531,include,include
783,oanjaan,indicate
742,yndustry,industry
780,ynsekt,insect
877,instant,instant
575,ynstrumint,instrument
465,rinte,interest
970,útfine,invent
691,izer,iron
23,is,is
365,eilân,island
24,it,it
580,taak,job
617,join,join
570,freugde,joy
700,springe,jump
129,krekt,just
221,hâlde,keep
576,hâlden,kept
690,kaai,key
657,fermoardzje,kill
84,soart,kind
349,kening,king
344,witte,knew
189,witte,know
621,dame,lady
659,mar,lake
70,lân,land
399,taal,language
66,grut,large
224,lêst,last
240,let,late
379,laitsje,laugh
730,wet,law
482,lizze,lay
408,foarsprong,lead
213,leare,learn
610,minst,least
321,ferlitte,leave
929,led,led
239,links,left
562,skonk,leg
516,lingte,length
474,minder,less
225,litte,let
293,letter,letter
978,peil,level
745,lizze,lie
248,libben,life
848,lift,lift
83,ljocht,light
164,lykas,like
137,rigel,line
894,floeistof,liquid
310,list,list
470,harkje,listen
113,lyts,little
109,libje,live
777,locate,locate
895,lochboek,log
561,lone,lone
168,lang,long
175,sjen,look
635,ferlern,lost
687,protte,lot
662,lûd,loud
487,leafde,love
136,leech,low
411,masine,machine
108,makke,made
909,magneet,magnet
273,foarnaamste,main
835,majoar,major
169,meitsje,make
116,man,man
159,folle,many
493,map,map
291,merk,mark
878,merk,market
932,mis,mass
851,master,master
913,wedstriid,match
550,materiaal,material
528,matearje,matter
195,meie,may
122,my,me
142,betsjutte,mean
896,betsjutte,meant
323,mjitte,measure
817,fleis,meat
704,moetsje,meet
601,melody,melody
80,minsken,men
709,metaal,metal
672,metoade,method
656,midden,middle
233,macht,might
295,myl,mile
670,molke,milk
591,miljoen,million
444,geast,mind
832,myn,mine
441,minút,minute
388,misse,miss
631,mix,mix
769,modern,modern
987,molecule,molecule
660,momint,moment
489,jild,money
590,moanne,month
364,moanne,moon
176,mear,more
475,moarntiid,morning
185,measte,most
94,mem,mother
892,moasje,motion
566,mount,mount
261,berch,mountain
606,mûle,mouth
144,bewege,move
141,folle,much
352,fermannichfâldigje,multiply
288,muzyk,music
72,moatte,must
187,myn,my
126,namme,name
668,naasje,nation
748,natuerlik,natural
889,natuer,nature
96,tichtby,near
802,needsaaklik,necessary
900,nekke,neck
86,need,need
806,buorman,neighbor
223,nea,never
102,nij,new
277,folgjende,next
246,nacht,night
975,njoggen,nine
184,nee,no
977,lûd,noise
767,middei,noon
947,noch,nor
250,noard,north
996,noas,nose
412,noat,note
353,neat,nothing
499,notice,notice
418,haadwurd,noun
199,no,now
182,nûmer,number
328,numeral,numeral
360,objekt,object
664,observearjen,observe
886,foarkomme,occur
438,oseaan,ocean
29,fan,of
85,út,off
873,oanbod,offer
603,kantoar,office
292,faak,often
435,oh,oh
626,oalje,oil
147,âld,old
7,op,on
263,ienris,once
13,ien,one
114,allinnich,only
274,iepen,open
760,operearje,operate
963,tsjinoer,opposite
26,of,or
338,oarder,order
673,orgaan,organ
865,oarspronklik,original
37,oar,other
124,ús,our
36,út,out
188,oer,over
203,eigen,own
901,soerstof,oxygen
204,side,page
398,fervje,paint
530,pear,pair
285,papier,paper
713,paragraaf,paragraph
853,âlder,parent
104,diel,part
959,beskaat,particular
774,feest,party
345,pas,pass
584,ferline,past
893,paad,path
484,patroan,pattern
674,betelje,pay
186,folk,people
510,faaks,perhaps
782,perioade,period
488,persoan,person
734,phrase,phrase
511,pick,pick
88,foto,picture
342,stik,piece
930,fjild,pitch
107,plak,place
302,plain,plain
414,plan,plan
375,plane,plane
827,planeet,planet
214,fabryk,plant
58,toanielstik,play
765,asjebleaft,please
997,meartal,plural
813,gedicht,poem
93,punt,point
686,earm,poor
880,populate,populate
65,haven,port
320,pose,pose
546,posysje,position
374,mooglik,possible
860,peal,post
423,pûn,pound
402,krêft,power
761,praktyk,practice
994,tariede,prepare
542,oanwêzich,present
244,parse,press
904,skoander,pretty
842,ôfdrukke,print
503,wierskynlik,probable
341,probleem,problem
759,proses,process
448,produsearje,produce
325,produkt,product
871,proper,proper
985,besit,property
766,beskermje,protect
560,bewize,prove
795,foarsjen,provide
497,lûke,pull
711,triuwe,push
61,sette,put
974,quart,quart
331,fraach,question
436,gau,quick
680,stil,quiet
653,frij,quite
897,quotient,quotient
554,ras,race
784,radio,radio
793,rail,rail
494,rein,rain
707,opslach,raise
382,draafde,ran
890,berik,range
809,leaver,rather
466,berikke,reach
63,lêze,read
306,klear,ready
247,real,real
515,reden,reason
604,ûntfange,receive
370,opnimme,record
309,read,red
520,regio,region
459,remember,remember
991,repeat,repeat
884,antwurdzje,reply
517,fertsjintwurdigje,represent
992,fereaskje,require
420,rêst,rest
722,resultaat,result
756,ryk,rich
507,rit,ride
145,rjochts,right
778,ring,ring
623,opstean,rise
296,rivier,river
492,wei,road
337,rots,rock
739,roll,roll
256,keamer,room
705,woartel,root
935,tou,rope
840,roas,rose
115,rûn,round
605,rigel,row
818,rub,rub
495,regel,rule
241,run,run
725,feilich,safe
46,sei,said
549,sile,sail
995,sâlt,salt
149,selde,same
737,sân,sand
572,sat,sat
648,rêde,save
235,saw,saw
134,sizze,say
661,skaal,scale
209,skoalle,school
254,wittenskip,science
926,skoare,score
237,see,sea
837,sykje,search
907,seizoen,season
949,sit,seat
300,twadde,second
676,ôfdieling,section
171,sjen,see
615,sied,seed
275,lykje,seem
874,segment,segment
988,útkieze,select
98,sels,self
954,ferkeapje,sell
838,stjoere,send
750,sin,sense
640,ferstjoerd,sent
131,sin,sentence
762,skiede,separate
490,tsjinje,serve
51,set,set
523,settle,settle
712,sân,seven
478,ferskate,several
715,sille,shall
385,foarm,shape
866,diele,share
803,skerp,sharp
150,sy,she
856,fel,sheet
899,shell,shell
984,glans,shine
334,skip,ship
965,shoe,shoe
981,winkel,shop
854,wâl,shore
327,koart,short
205,soene,should
966,skouder,shoulder
612,roppe,shout
119,show,show
197,side,side
284,eagen,sight
582,teken,sign
735,stil,silent
910,sulver,silver
923,similar,similar
477,ienfâldich,simple
346,sûnt,since
469,sjonge,sing
692,inkel,single
919,suster,sister
553,sitte,sit
471,seis,six
521,grutte,size
905,feardigens,skill
696,fel,skin
568,himel,sky
875,slaaf,slave
559,sliep,sleep
936,slip,slip
485,stadich,slow
59,lyts,small
945,rûke,smell
697,laitsje,smile
391,snie,snow
165,sa,so
585,sêft,soft
738,ierde,soil
758,soldaat,soldier
908,oplossing,solution
708,oplosse,solve
22,guon,some
658,soan,son
322,liet,song
315,gau,soon
183,sound,sound
340,súd,south
450,rûmte,space
524,sprekke,speak
443,spesjaal,special
888,spraak,speech
671,faasje,speed
67,tsjoen,spell
861,trochbringe,spend
785,spriek,spoke
844,plak,spot
967,spread,spread
663,maitiid,spring
514,fjouwerkant,square
202,stean,stand
416,stjer,star
232,start,start
220,steat,state
867,stasjon,station
355,bliuwe,stay
376,plak,stead
891,steam,steam
920,stiel,steel
460,stap,step
693,stôk,stick
212,noch,still
681,stien,stone
427,stie,stood
262,ophâlde,stop
556,winkel,store
234,ferhaal,story
666,rjocht,straight
598,frjemd,strange
822,stream,stream
350,strjitte,street
982,stretch,stretch
814,string,string
442,sterk,strong
772,studint,student
211,studearje,study
519,ûnderwerp,subject
857,stof,substance
957,subtract,subtract
955,sukses,success
75,sok,such
512,hommels,sudden
914,efterheaksel,suffix
902,sûker,sugar
618,suggest,suggest
846,kostúm,suit
557,simmer,summer
217,sinne,sun
775,leverje,supply
887,stypje,support
268,wis,sure
362,oerflak,surface
679,ferrassing,surprise
961,swimme,swim
533,wurdlid,syllable
608,symboal,symbol
367,systeem,system
472,tafel,table
447,sturt,tail
105,nimme,take
313,prate,talk
736,grut,tall
430,ûnderwize,teach
632,ploech,team
898,tosken,teeth
49,fertelle,tell
740,temperatuer,temperature
476,tsien,ten
962,term,term
369,toets,test
191,as,than
911,tankje,thank
3,dat,that
28,de,the
41,harren,their
161,harren,them
160,dan,then
152,dêr,there
166,dizze,these
10,sy,they
757,dik,thick
825,tin,thin
170,ding,thing
133,tinke,think
714,tredde,third
15,dit,this
289,dy,those
311,lykwols,though
226,tins,thought
380,tûzen,thousand
52,trije,three
128,troch,through
983,goaie,throw
797,dus,thus
833,bine,tie
42,tiid,time
682,tiny,tiny
392,bân,tire
30,nei,to
276,mei-inoar,together
343,ferteld,told
616,toan,tone
148,te,too
253,naam,took
942,helpmiddel,tool
347,top,top
943,totaal,total
628,oanreitsje,touch
480,nei,toward
403,stêd,town
852,spoar,track
600,handel,trade
558,trein,train
473,reizgje,travel
228,beam,tree
826,trijehoek,triangle
602,reis,trip
611,lijen,trouble
976,frachtauto,truck
455,wier,true
89,besykje,try
819,tube,tube
139,draaie,turn
695,tweintich,twenty
173,twa,two
729,type,type
125,ûnder,under
401,ienheid,unit
294,oant,until
154,op,up
90,ús,us
155,brûke,use
304,wenstich,usual
946,delte,valley
743,wearde,value
522,ôfwikselje,vary
468,tiidwurd,verb
127,hiel,very
749,fisy,view
703,doarp,village
583,besite,visit
500,lûd,voice
479,lûd,vowel
413,wachtsje,wait
282,kuier,walk
564,muorre,wall
53,wolle,want
481,oarloch,war
439,waarm,warm
5,wie,was
807,waskje,wash
269,horloazje,watch
190,wetter,water
538,weach,wave
157,wei,way
34,wy,we
637,drage,wear
589,wetter,weather
431,wike,week
525,gewicht,weight
56,goed,well
82,gie,went
38,wiene,were
463,west,west
21,wat,what
356,tsjil,wheel
153,wannear,when
110,wêr,where
710,of,whether
39,dy’t,which
243,wylst,while
278,wyt,white
194,wa,who
348,hiel,whole
776,waans,whose
78,wêrom,why
548,wiid,wide
964,frou,wife
574,wyld,wild
44,wil,will
937,winne,win
330,wyn,wind
555,finster,window
804,wjuk,wing
571,winter,winter
633,wire,wire
567,winsk,wish
9,mei,with
799,frou,woman
906,froulju,women
378,wûnder,wonder
752,sil net,won’t
272,bosk,wood
19,wurd,word
103,wurk,work
95,wrâld,world
163,soe,would
162,skriuwe,write
573,skreaun,written
989,ferkeard,wrong
614,skreau,wrote
622,hiem,yard
117,jier,year
839,giel,yellow
394,ja,yes
537,noch,yet
25,jo,you
305,jong,young
156,dyn,your
