number,japanese,english
80,人々,men
709,金属,metal
672,方法,method
656,ミドル,middle
233,可能性がある,might
295,マイル,mile
670,ミルク,milk
591,万,million
444,心,mind
832,地雷,mine
441,分,minute
388,ミス,miss
631,ミックス,mix
769,モダン,modern
987,分子,molecule
660,瞬間,moment
489,マネー,money
590,月,month
364,ムーン,moon
176,多くの,more
475,朝,morning
185,最も,most
94,母,mother
892,モーション,motion
566,マウント,mount
261,山,mountain
606,口,mouth
144,移動,move
141,ずっと,much
352,掛ける,multiply
288,音楽,music
72,しなければならない,must
187,私の,my
126,名前,name
668,国家,nation
748,ナチュラル,natural
889,自然,nature
96,近く,near
802,必要,necessary
900,首,neck
86,必要,need
806,隣人,neighbor
223,ネバー,never
102,新しい,new
277,次,next
246,夜,night
975,人,nine
184,いいえ,no
977,ノイズ,noise
767,正午,noon
947,も,nor
250,北,north
996,鼻,nose
412,ノート,note
353,何も,nothing
499,予告,notice
418,名詞,noun
199,今,now
182,番号,number
328,数字,numeral
360,オブジェクト,object
664,観察する,observe
886,起こる,occur
438,海,ocean
30,の,of
85,オフ,off
873,申し出,offer
603,オフィス,office
292,しばしば,often
435,ああ,oh
626,オイル,oil
147,古い,old
8,上の,on
263,一度,once
14,一つ,one
114,唯一の,only
274,オープン,open
760,操作する,operate
963,反対,opposite
27,または,or
338,オーダー,order
673,オルガン,organ
865,オリジナル,original
38,その他,other
124,私たちの,our
37,アウト,out
188,オーバー,over
203,独自の,own
901,酸素,oxygen
204,ページ,page
398,ペイント,paint
530,ペア,pair
285,紙,paper
713,パラグラフ,paragraph
853,親,parent
104,パート,part
959,特定の,particular
774,パーティー,party
345,合格,pass
584,過去,past
893,パス,path
484,パターン,pattern
674,支払い,pay
186,人々,people
510,たぶん,perhaps
782,期間,period
488,人,person
734,フレーズ,phrase
511,選ぶ,pick
88,絵,picture
342,作品,piece
930,ピッチ,pitch
107,場所,place
302,平野,plain
414,計画,plan
375,飛行機,plane
827,惑星,planet
214,植物,plant
58,遊ぶ,play
765,どうぞ,please
997,複数,plural
813,詩,poem
93,ポイント,point
686,貧しい,poor
880,投入する,populate
65,ポート,port
320,ポーズ,pose
546,ポジション,position
374,可能,possible
860,ポスト,post
423,ポンド,pound
402,パワー,power
761,練習,practice
994,準備する,prepare
542,現在,present
244,プレス,press
904,かわいい,pretty
842,印刷,print
503,ありそうな,probable
341,問題,problem
759,プロセス,process
448,作る,produce
325,製品,product
871,適切な,proper
985,財産,property
766,守る,protect
560,証明する,prove
795,提供する,provide
497,引っ張る,pull
711,プッシュ,push
61,置く,put
974,クォート,quart
331,質問,question
436,クイック,quick
680,静かな,quiet
653,かなり,quite
897,商,quotient
554,レース,race
784,ラジオ,radio
793,レール,rail
494,雨,rain
707,上げる,raise
382,走った,ran
890,レンジ,range
809,むしろ,rather
466,リーチ,reach
63,読む,read
306,レディー,ready
247,リアル,real
515,理由,reason
604,受け取る,receive
370,記録,record
309,赤,red
520,地域,region
459,覚えている,remember
991,リピート,repeat
884,返事,reply
517,表す,represent
992,必要とする,require
420,残り,rest
722,結果,result
756,金持ち,rich
507,乗る,ride
145,権利,right
778,リング,ring
623,上昇,rise
296,川,river
492,道路,road
337,岩,rock
739,ロール,roll
256,部屋,room
705,ルート,root
935,ロープ,rope
840,ローズ,rose
115,ラウンド,round
605,行,row
818,こする,rub
495,ルール,rule
241,ラン,run
725,金庫,safe
47,前記,said
549,帆,sail
995,塩,salt
149,同じ,same
737,砂,sand
572,土,sat
648,保存,save
235,のこぎり,saw
134,言う,say
661,スケール,scale
209,学校,school
254,科学,science
926,スコア,score
237,海,sea
837,検索,search
907,シーズン,season
949,座席,seat
300,第2,second
676,セクション,section
171,見る,see
615,シード,seed
275,見える,seem
874,セグメント,segment
988,選択する,select
98,自己,self
954,売る,sell
838,送信,send
750,感覚,sense
640,送信された,sent
131,文,sentence
762,別,separate
490,サーブ,serve
52,セット,set
523,落ち着く,settle
712,7,seven
478,いくつかの,several
715,しなければならない,shall
385,形状,shape
866,シェア,share
803,シャープ,sharp
150,彼女,she
856,シート,sheet
899,シェル,shell
984,輝き,shine
334,船,ship
965,靴,shoe
981,ショップ,shop
854,海岸,shore
327,短い,short
205,べき,should
966,肩,shoulder
612,シャウト,shout
119,ショー,show
197,サイド,side
284,視力,sight
582,看板,sign
735,サイレント,silent
910,銀,silver
923,同じような,similar
477,シンプル,simple
346,以来,since
469,歌う,sing
692,シングル,single
919,姉妹,sister
553,座る,sit
471,六,six
521,サイズ,size
905,スキル,skill
696,スキン,skin
568,空,sky
875,スレーブ,slave
559,スリープ,sleep
936,スリップ,slip
485,遅い,slow
59,小さい,small
945,匂い,smell
697,笑顔,smile
391,雪,snow
165,そう,so
585,ソフト,soft
738,土壌,soil
758,兵士,soldier
908,ソリューション,solution
708,解く,solve
23,いくつかの,some
658,息子,son
322,歌,song
315,すぐに,soon
183,聞こえる,sound
340,南,south
450,スペース,space
524,話す,speak
443,特別,special
888,スピーチ,speech
671,スピード,speed
67,スペル,spell
861,過ごす,spend
785,スポーク,spoke
844,スポット,spot
967,スプレッド,spread
663,春,spring
514,広場,square
202,スタンド,stand
416,スター,star
232,スタート,start
220,状態,state
867,駅,station
355,滞在,stay
376,代わり,stead
891,スチーム,steam
920,スチール,steel
460,ステップ,step
693,スティック,stick
212,まだ,still
681,石,stone
427,立っていた,stood
262,停止,stop
556,店,store
234,物語,story
666,ストレート,straight
598,奇妙な,strange
822,ストリーム,stream
350,ストリート,street
982,ストレッチ,stretch
814,文字列,string
442,強い,strong
772,学生,student
211,研究,study
519,テーマ,subject
857,物質,substance
957,引く,subtract
955,成功,success
75,そのような,such
512,突然の,sudden
914,サフィックス,suffix
902,砂糖,sugar
618,提案する,suggest
846,スーツ,suit
557,夏,summer
217,太陽,sun
775,サプライ,supply
887,サポート,support
268,確か,sure
362,表面,surface
679,驚き,surprise
961,泳ぐ,swim
533,音節,syllable
608,シンボル,symbol
367,システム,system
472,テーブル,table
447,テール,tail
105,取る,take
313,トーク,talk
736,背の高い,tall
430,教える,teach
632,チーム,team
898,歯牙,teeth
50,言う,tell
740,温度,temperature
476,十,ten
962,言葉,term
369,テスト,test
191,比べて,than
911,感謝,thank
4,その,that
29,インクルード,the
42,それらの,their
161,それら,them
160,その後,then
152,そこ,there
166,これらの,these
11,彼ら,they
757,厚い,thick
825,薄い,thin
170,もの,thing
133,思う,think
714,第3,third
16,この,this
289,それらの,those
311,しかし,though
226,考え,thought
380,千の,thousand
53,個,three
128,スルー,through
983,投げる,throw
797,このようにして,thus
833,ネクタイ,tie
43,時間,time
682,小さな,tiny
392,タイヤ,tire
31,へ,to
276,一緒に,together
343,言われ,told
616,トーン,tone
148,あまりに,too
253,かかった,took
942,ツール,tool
347,トップ,top
943,合計,total
628,触れる,touch
480,の方へ,toward
403,町,town
852,トラック,track
600,トレード,trade
558,列車,train
473,旅行,travel
228,ツリー,tree
826,三角形,triangle
602,旅,trip
611,トラブル,trouble
976,トラック,truck
455,真の,true
89,試す,try
819,チューブ,tube
139,ターン,turn
695,個の,twenty
173,二つ,two
729,タイプ,type
125,下,under
401,ユニット,unit
294,まで、,until
154,アップ,up
90,私たち,us
155,使用,use
304,いつもの,usual
946,谷,valley
743,値,value
522,変える,vary
468,動詞,verb
127,非常に,very
749,ビュー,view
703,村,village
583,訪問,visit
500,声,voice
479,母音,vowel
413,待つ,wait
282,歩く,walk
564,壁,wall
54,欲しい,want
481,戦争,war
439,暖かい,warm
6,た,was
807,ウォッシュ,wash
269,見る,watch
190,水,water
538,波,wave
157,道,way
35,我々,we
637,着用,wear
589,天候,weather
431,週,week
525,重さ,weight
56,よく,well
82,行ってきました,went
39,だった,were
463,西,west
22,何,what
356,ホイール,wheel
153,時,when
110,どこ,where
710,かどうか,whether
40,これ,which
243,一方、,while
278,白,white
194,誰,who
348,全体,whole
776,その,whose
78,なぜ,why
548,広い,wide
964,妻,wife
574,ワイルド,wild
45,意志,will
937,勝つ,win
330,風,wind
555,窓,window
804,ウイング,wing
571,冬,winter
633,ワイヤー,wire
567,希望,wish
10,とともに,with
799,女,woman
906,女性たち,women
378,不思議,wonder
752,ないでしょう,won’t
272,木材,wood
20,言葉,word
103,仕事,work
95,世界,world
163,でしょう,would
162,書く,write
573,書かれた,written
989,間違った,wrong
614,書いた,wrote
622,庭,yard
117,年,year
839,黄色,yellow
394,はい,yes
537,まだ,yet
26,あなた,you
305,若い,young
156,あなたの,your
