number,sundanese,english
720,tehel,floor
644,ngocor,flow
596,kembang,flower
406,laleur,fly
76,ngiringan,follow
216,kadaharan,food
366,sampean,foot
7,keur,for
358,kakuatan,force
552,leuweung,forest
130,wujud,form
922,di payun,forward
207,kapanggih,found
218,opat,four
551,fraksi,fraction
440,bebas,free
836,seger,fresh
257,sobat,friend
17,ti,from
429,hareup,front
755,buah,fruit
357,pinuh,full
586,fun,fun
384,kaulinan,game
638,kebon,garden
588,gas,gas
980,ngumpulkeun,gather
433,méré,gave
526,umum,general
798,hipu,gentle
106,meunangkeun,get
303,mojang,girl
123,mikeun,give
864,bungah,glad
577,kaca,glass
179,indit,go
373,emas,gold
599,isro,gone
121,alus,good
281,meunang,got
496,marentah,govern
535,grand,grand
578,jukut,grass
990,kulawu,gray
132,gede,great
434,hejo,green
629,tumuwuh,grew
464,tanah,ground
286,kumpulan,group
210,jadi,grow
801,nebak,guess
924,pituduh,guide
840,bedil,gun
28,geus,had
717,bulu,hair
336,satengah,half
64,panangan,hand
332,kajadian,happen
594,bagja,happy
231,teuas,hard
174,ngabogaan,has
953,topi,hat
15,ngabogaan,have
5,manehna,he
201,sirah,head
265,ngadenge,hear
451,kadéngé,heard
540,jajantung,heart
390,panas,heat
543,beurat,heavy
716,dilaksanakeun,held
135,tulung,help
167,milikna,her
71,ieuh,here
74,luhur,high
724,pasir,hill
172,manehna,him
3,na,his
788,sajarah,history
771,neunggeul,hit
462,nyekel,hold
699,lobang,hole
62,imah,home
595,harepan,hope
266,kuda,horse
19,panas,hot
387,panas,hot
453,jam,hour
87,imah,house
46,kumaha,how
918,gede pisan,huge
787,manusa,human
457,ratus,hundred
502,moro,hunt
828,rurusuhan,hurry
2,abdi,i
527,es,ice
259,gagasan,idea
44,upami,if
794,ngabayangkeun,imagine
34,dina,in
351,inci,inch
531,ngasupkeun,include
783,nunjukkeun,indicate
742,industri,industry
780,sato gegeremet,insect
877,instan,instant
575,pakakas,instrument
465,bunga,interest
970,invent,invent
691,beusi,iron
24,nyaeta,is
365,pulau,island
25,eta,it
580,tugas,job
617,ngiluan,join
570,kabagjaan,joy
700,ngaluncat,jump
129,adil,just
221,neundeun,keep
576,terus,kept
690,konci,key
657,maehan,kill
84,macem,kind
349,raja,king
344,terang,knew
189,nyaho,know
621,nyonya,lady
659,dano,lake
70,tanah,land
399,basa,language
66,gede,large
224,panungtung,last
240,pamungkas,late
379,seuri,laugh
730,hukum,law
482,neundeun,lay
408,mingpin,lead
213,diajar,learn
610,saeutikna,least
321,ninggalkeun,leave
929,led,led
239,kénca,left
562,suku,leg
516,panjang,length
474,langkung sakedik,less
225,ngantepkeun,let
293,aksara,letter
978,tingkat,level
745,ngabohong,lie
248,kahirupan,life
848,ngangkat,lift
83,cahaya,light
164,siga,like
137,garis,line
894,barang encer,liquid
310,daptar,list
470,ngadenge,listen
113,leutik,little
109,hirup,live
777,nempatkeun,locate
895,log,log
561,lone,lone
168,lila,long
175,melong,look
635,leungit,lost
687,loba,lot
662,tarik,loud
487,bogoh,love
136,handap,low
411,mesin,machine
108,dijieun,made
909,semprani,magnet
273,utama,main
835,mayor,major
169,nyieun,make
116,lalaki,man
159,loba,many
493,peta,map
291,tanda,mark
878,pasar,market
932,misa,mass
851,ngawasaan,master
913,pertandingan,match
550,material,material
528,zat,matter
195,meunang,may
122,abdi,me
142,maksudna,mean
896,"hartina,",meant
323,ngukur,measure
817,daging,meat
704,papanggih,meet
601,melodi,melody
80,lalaki,men
709,logam,metal
672,metode,method
656,patengahan,middle
233,meureun,might
295,mil,mile
670,susu,milk
591,juta,million
444,pikiran,mind
832,milik urang,mine
441,menit,minute
388,miss,miss
631,nyampur,mix
769,moderen,modern
987,molekul,molecule
660,waktu,moment
489,duit,money
590,sasih,month
364,bulan,moon
176,tambih deui,more
475,isuk,morning
185,paling,most
94,indung,mother
892,gerakan,motion
566,gunung,mount
261,gunung,mountain
606,sungut,mouth
144,pindah,move
141,loba,much
352,ngalikeun,multiply
288,musik,music
72,kudu,must
187,mah,my
126,nami,name
668,bangsa,nation
748,asli,natural
889,alam,nature
96,deukeut,near
802,perlu,necessary
900,beuheung,neck
86,ngabutuhkeun,need
806,tatangga,neighbor
223,teu kungsi,never
102,anyar,new
277,teras,next
246,wengi,night
975,salapan,nine
184,teu,no
977,sora,noise
767,beurang,noon
947,atawa,nor
250,kaler,north
996,irung,nose
412,catetan,note
353,euweuh,nothing
499,mere nyaho,notice
418,kecap barang,noun
199,ayeuna,now
182,jumlah,number
328,angka,numeral
360,barang,object
664,nitenan,observe
886,kajadian,occur
438,sagara,ocean
30,ti,of
85,off,off
873,tawaran,offer
603,kantor,office
292,remen,often
435,oh,oh
626,minyak,oil
147,kolot,old
8,dina,on
263,sakali,once
14,hiji,one
114,ngan,only
274,kabuka,open
760,ngajalankeun,operate
963,papalimpang,opposite
27,atawa,or
338,pesenan,order
673,organ,organ
865,asli,original
38,nu lain,other
124,urang,our
37,geus kaluar,out
188,di luhur,over
203,sorangan,own
901,oksigen,oxygen
204,kaca,page
398,cet,paint
530,pasangan,pair
285,keretas,paper
713,alinea,paragraph
853,indungna,parent
104,bagean,part
959,husus,particular
774,pesta,party
345,ngaliwatan,pass
584,geus kaliwat,past
893,jalan,path
484,corak,pattern
674,mayar,pay
186,jelema,people
510,meureun,perhaps
782,waktu,period
488,jelema,person
734,babasan,phrase
511,metik,pick
88,gambar,picture
342,potongan,piece
930,pitch,pitch
107,tempat,place
302,polos,plain
414,rencana,plan
375,tah kitu,plane
827,planet,planet
214,pabrik,plant
58,ulin,play
765,punten,please
997,jamak,plural
813,sajak,poem
93,titik,point
686,malarat,poor
880,populate,populate
65,palabuhan,port
320,pose,pose
546,posisi,position
374,mungkin,possible
860,pos,post
423,pon,pound
402,kakuatan,power
761,praktek,practice
994,nyiapkeun,prepare
542,ayeuna,present
244,pers,press
904,geulis,pretty
842,nyitak,print
503,probable,probable
341,masalah,problem
759,proses,process
448,ngahasilkeun,produce
325,barang,product
871,pantes,proper
985,sipat,property
766,ngalindungan,protect
560,ngabuktoskeun,prove
795,nyadiakeun,provide
497,betot,pull
711,teken,push
61,neundeun,put
974,quart,quart
331,tatanya,question
436,gancang,quick
680,tenang,quiet
653,rada,quite
897,quotient,quotient
554,balapan,race
784,radio,radio
793,rel,rail
494,hujan,rain
707,ngangkat,raise
382,lumpat,ran
890,jajaran,range
809,rada,rather
466,ngahontal,reach
63,maca,read
306,siap,ready
247,asli,real
515,alesan,reason
604,narima,receive
370,catetan,record
309,beureum,red
520,daerah,region
459,ngelingan,remember
991,malikan deui,repeat
884,walon,reply
517,jadi wawakil,represent
992,ngabutuhkeun,require
420,ngaso,rest
722,hasil,result
756,beunghar,rich
507,numpak,ride
145,bener,right
778,ngirining,ring
623,naek,rise
296,walungan,river
492,jalan,road
337,batu,rock
739,ngagulung,roll
256,kamar,room
705,akar,root
935,tali,rope
840,mawar,rose
115,buleud,round
605,baris,row
818,rub,rub
495,aturan,rule
241,lalumpatan,run
725,tengtrem,safe
47,ceuk,said
549,balayar,sail
995,uyah,salt
149,sarua,same
737,keusik,sand
572,diuk,sat
648,nyalametkeun,save
235,ragaji,saw
134,ngomong,say
661,skala,scale
209,sakola,school
254,elmu pangaweruh,science
926,asup,score
237,sagara,sea
837,neangan,search
907,usum,season
949,kalinggihan,seat
300,kadua,second
676,bagian,section
171,tempo,see
615,siki,seed
275,sigana,seem
874,bagean,segment
988,milih,select
98,sorangan,self
954,ngajual,sell
838,ngirim,send
750,rarasaan,sense
640,dikirim,sent
131,hukuman,sentence
762,misahkeun,separate
490,ngaladenan,serve
52,kumpulan,set
523,settle,settle
712,tujuh,seven
478,sababaraha,several
715,wajib,shall
385,wujud,shape
866,ngabagikeun,share
803,seukeut,sharp
150,manehna,she
856,lambaran,sheet
899,kerang,shell
984,caang,shine
334,kapal,ship
965,sapatu,shoe
981,toko,shop
854,darat,shore
327,pendek,short
205,sakuduna,should
966,taktak,shoulder
612,ngagorowok,shout
119,nunjukkeun,show
197,sisi,side
284,tetempoan,sight
582,tanda,sign
735,tiiseun,silent
910,perak,silver
923,meh sarua,similar
477,sederhana,simple
346,ti mimiti,since
469,nembang,sing
692,hiji,single
919,teteh,sister
553,linggih,sit
471,genep,six
521,ukuran,size
905,kaahlian,skill
696,kulit,skin
568,langit,sky
875,budak,slave
559,sare,sleep
936,dieunakeun,slip
485,alon,slow
59,leutik,small
945,ambeu,smell
697,seuri,smile
391,salju,snow
165,janten,so
585,hipu,soft
738,lemah,soil
758,soldadu,soldier
908,leyuran,solution
708,meupeuskeun,solve
23,sababaraha,some
658,putera,son
322,lagu,song
315,geuwat,soon
183,disada,sound
340,kidul,south
450,angkasa,space
524,ngomong,speak
443,istimewa,special
888,pidato,speech
671,kagancangan,speed
67,ngejah,spell
861,ngabalanjakeun,spend
785,spoke,spoke
844,kokotor,spot
967,nyebarkeun,spread
663,cinyusu,spring
514,alun-alun,square
202,ngadeg,stand
416,bentang,star
232,awal,start
220,nagara,state
867,setasion,station
355,tinggal,stay
376,stead,stead
891,nyeupan,steam
920,waja,steel
460,lengkah,step
693,iteuk,stick
212,masih,still
681,batu,stone
427,pinunjul,stood
262,eureun,stop
556,toko,store
234,dongeng,story
666,lempeng,straight
598,aneh,strange
822,walungan leutik,stream
350,jalan,street
982,manteng,stretch
814,tali,string
442,kuat,strong
772,murid,student
211,diajar,study
519,taluk,subject
857,zat,substance
957,subtract,subtract
955,sukses,success
75,siga,such
512,ujug-ujug,sudden
914,ahiran,suffix
902,gula,sugar
618,nyarankeun,suggest
846,nyaluyukeun,suit
557,usum panas,summer
217,panonpoe,sun
775,asupan,supply
887,sokongan,support
268,yakin,sure
362,permukaan,surface
679,reuwas,surprise
961,ngojay,swim
533,suku kata,syllable
608,simbul,symbol
367,sistim,system
472,meja,table
447,buntut,tail
105,nyokot,take
313,ngomong,talk
736,luhur,tall
430,ngawulang,teach
632,regu,team
898,huntu,teeth
50,nitah,tell
740,suhu,temperature
476,sapuluh,ten
962,istilah,term
369,nguji,test
191,tibatan,than
911,hatur,thank
4,yen,that
29,nu,the
42,maranéhanana,their
161,maranehna,them
160,terus,then
152,tuh,there
166,ieu,these
11,maranehna,they
757,kandel,thick
825,ipis,thin
170,barang,thing
133,mikir,think
714,katilu,third
16,ieu,this
289,eta,those
311,sanajan,though
226,pikiran,thought
380,rebu,thousand
53,tilu,three
128,ngaliwatan,through
983,maledog,throw
797,sahingga,thus
833,dasi,tie
43,waktu,time
682,leutik pisan,tiny
392,ban,tire
31,ka,to
276,bareng,together
343,ka,told
616,nada,tone
148,oge,too
253,nyandak,took
942,alat,tool
347,puncak,top
943,total,total
628,nyabak,touch
480,ka arah,toward
403,kota,town
852,jalan satapak,track
600,padagangan,trade
558,ngadidik,train
473,perjalanan,travel
228,tangkal,tree
826,segitiga,triangle
602,perjalanan,trip
611,kasulitan,trouble
976,truk,truck
455,bener,true
89,nyobaan,try
819,pipah,tube
139,pengkolan,turn
695,dua puluh,twenty
173,dua,two
729,ngetik,type
125,di handap,under
401,unit,unit
294,tepi,until
154,ka luhur,up
90,urang,us
155,pamakean,use
304,biasa,usual
946,gawir,valley
743,nilai,value
522,henteu sarua,vary
468,kecap pagawean,verb
127,pisan,very
749,pintonan,view
703,desa,village
583,nganjang,visit
500,sora,voice
479,pokal,vowel
413,ngantosan,wait
282,leumpang,walk
564,dingding,wall
54,hayang,want
481,perang,war
439,haneut,warm
6,ieu,was
807,nyeuseuh,wash
269,nongton,watch
190,cai,water
538,ombak,wave
157,jalan,way
35,urang,we
637,make,wear
589,hawa,weather
431,minggu,week
525,beurat,weight
56,sumur,well
82,indit,went
39,éta,were
463,kulon,west
22,naon,what
356,gilinding,wheel
153,iraha,when
110,di mana,where
710,lamun,whether
40,nu mana,which
243,waktu,while
278,bodas,white
194,saha,who
348,sakabeh,whole
776,saha,whose
78,kunaon,why
548,rubak,wide
964,pamajikan,wife
574,jarah,wild
45,iyeu,will
937,meunang,win
330,angin,wind
555,jandela,window
804,jangjang,wing
571,usum tiris,winter
633,kawat,wire
567,ngaharep,wish
10,jeung,with
799,awewe,woman
906,awewe,women
378,kaajaiban,wonder
752,iyeu,won’t
272,kayu,wood
20,kecap,word
103,pagawean,work
95,dunya,world
163,ngalakukeunana,would
162,nulis,write
573,ditulis,written
989,salah,wrong
614,wrote,wrote
622,pakarangan,yard
117,taun,year
839,koneng,yellow
394,nuhun,yes
537,tacan,yet
26,maneh,you
305,ngora,young
156,anjeun,your
