number,somali,english
619,nadiif ah,clean
446,cad,clear
683,fuulid,climb
831,saacad,clock
245,dhow,close
597,huwin,clothe
678,daruurta,cloud
732,xeebaha,coast
931,jaakad,coat
498,qabow,cold
647,ururiyaan,collect
830,gumeysi,colony
270,midabka,color
986,khaanadda,column
180,yimaado,come
372,caadi,common
956,shirkadda,company
812,barbardhigi,compare
333,dhammaystiran,complete
940,xaalad,condition
859,xirmaan,connect
728,tixgelin,consider
667,shibbane,consonant
428,ka koobnaan,contain
1000,qaaradda,continent
950,sii,continue
649,control,control
719,kariye,cook
684,qabow,cool
733,nuqul,copy
811,hadhuudhkii,corn
773,geeska,corner
421,sax,correct
634,qiimaha,cost
971,suuf,cotton
178,kari,could
513,tirin,count
206,dalka,country
354,dabcan,course
215,dabool,cover
579,lo’da,cow
698,hooshooda,crease
805,abuuraan,create
768,dalagyada,crop
229,gudbaan,cross
810,dadkii badnaa,crowd
409,qaylo,cry
847,ee hadda,current
267,jaris,cut
868,aabbe,dad
544,qoob ka ciyaarka,dance
754,khatar,danger
410,mugdiga,dark
177,maalin,day
843,dhintay,dead
960,heshiis,deal
882,gacaliye,dear
903,dhimasho,death
361,go’aan ka,decide
650,jajab tobanle,decimal
363,qoto dheer,deep
879,degree,degree
816,ku xiran tahay,depend
718,qeexaan,describe
845,lamadegaanka,desert
685,naqshad,design
973,loo go’aamiyo,determine
437,horumariyo,develop
669,qaamuuska,dictionary
181,yeeleen,did
609,dhintaan,die
138,kala duwan,differ
763,adag,difficult
319,si toos ah,direct
921,kala hadli,discuss
395,fog,distant
532,qaybi,divide
855,kala qeybinta,division
41,samayn,do
764,dhakhtarka,doctor
51,ma,does
317,eyga,dog
921,doolar,dollar
424,samayn,done
242,sameeyaan ma,don’t
324,albaabka,door
948,double,double
196,hoos,down
238,sawiraan,draw
938,riyoodaa,dream
677,dharka,dress
885,cabitaan,drink
426,gaari ku,drive
539,dhicid,drop
377,qallalan,dry
876,duck,duck
456,inta lagu jiro,during
49,kasta,each
651,dhegta,ear
461,hore,early
99,dhulka,earth
284,sahal,ease
397,bari,east
255,cunin,eat
581,qarkiisa,edge
789,dhaqan,effect
506,ukun,egg
702,sideed,eight
721,ama,either
790,korontada,electric
770,element,element
652,kale,else
60,dhamaadka,end
883,cadowga,enemy
501,tamar,energy
545,engine,engine
301,ku filan,enough
834,galaan,enter
639,siman,equal
386,dhiga,equate
915,gaar ahaan,especially
69,xataa,even
939,fiidka,evening
958,dhacdo,event
308,weligaa,ever
120,kasta,every
607,saxda ah,exact
283,tusaale ahaan,example
613,marka laga reebo,except
747,cajeb,excite
563,jimicsiga,exercise
791,filayaan,expect
925,waayo-aragnimo,experience
688,tijaabadii,experiment
222,indhaha,eye
271,weji,face
449,xaqiiqda,fact
645,cadaalad,fair
407,dhici,fall
318,qoyska,family
820,caanka ah,famous
236,ilaa hadda,far
230,beeraha,farm
467,dhakhso u,fast
863,baruurta,fat
100,aabaha,father
858,eexan,favor
823,cabsida,fear
941,cunto,feed
312,dareemaan,feel
298,feet,feet
642,dhaceen,fell
534,dareemay,felt
249,yar,few
419,garoonka,field
916,berdaha,fig
744,dagaal,fight
415,jaantuska,figure
396,buuxiyo,fill
432,final,final
200,ka heli,find
404,ganaax,fine
741,farta,finger
593,dhammayn,finish
339,dab,fire
193,marka hore,first
260,kalluunka,fish
643,ku haboon,fit
458,shan,five
694,guri,flat
720,dabaqa,floor
644,qulquli,flow
596,ubax,flower
406,duuli,fly
76,raacaan,follow
216,cunto,food
366,cagta,foot
7,for,for
358,ciidanka,force
552,kaynta,forest
130,foomka,form
922,weeraryahanka,forward
207,helay,found
218,afar,four
551,jajab,fraction
440,lacag la’aan ah,free
836,cusub,fresh
257,saaxiib,friend
17,laga bilaabo,from
429,hore,front
755,midho,fruit
357,buuxa,full
586,madadaalo,fun
384,ciyaarta,game
638,beer,garden
588,gaaska,gas
980,ururiyaan,gather
433,siiyeen,gave
526,guud ahaan,general
798,tur,gentle
106,heli,get
303,gabadh,girl
123,siin,give
864,faraxsanahay,glad
577,galaas,glass
179,tagaan,go
373,dahab,gold
599,jiheysteen,gone
121,wanaag,good
281,helay,got
496,xukumaan,govern
535,grand,grand
578,cawska,grass
990,cawl,gray
132,weyn,great
434,cagaar ah,green
629,koray,grew
464,dhulka,ground
286,kooxda,group
210,koraan,grow
801,malo,guess
924,hagaan,guide
840,qoriga,gun
28,lahayd,had
717,timaha,hair
336,qeybtii,half
64,gacanta,hand
332,dhici,happen
594,ku faraxsan,happy
231,adag,hard
174,waxay leedahay,has
953,hat,hat
15,leeyihiin,have
5,uu,he
201,madaxa,head
265,bay maqlaan,hear
451,maqlay,heard
540,wadnaha,heart
390,kulaylka,heat
543,culus,heavy
716,ay caado,held
135,caawin,help
167,iyada,her
71,halkan,here
74,sare,high
724,kur,hill
172,isaga,him
3,uu,his
788,taariikhda,history
771,dhuftey,hit
462,qaban,hold
699,god,hole
62,guriga,home
595,rajeyneynaa,hope
266,faras,horse
19,kulul,hot
387,kulul,hot
453,saacad,hour
87,guriga,house
46,sida,how
918,weyn,huge
787,aadanaha,human
457,boqol,hundred
502,ugaarsi,hunt
828,degdegay,hurry
2,ayaan,i
527,baraf,ice
259,fikrad,idea
44,haddii,if
794,qiyaasi,imagine
34,in,in
351,inji ah,inch
531,waxaa ka mid ah,include
783,waxay tilmaamayaan,indicate
742,warshadaha,industry
780,cayayaanka,insect
877,dumaya,instant
575,aalad,instrument
465,danta,interest
970,soo jeedi,invent
691,birta,iron
24,waa,is
365,jasiirada,island
25,waxa,it
580,shaqo,job
617,biiraan,join
570,farxad,joy
700,boodaan,jump
129,kaliya,just
221,hayn,keep
576,hayn,kept
690,muhiimka ah,key
657,dilaan,kill
84,nooca,kind
349,oo boqorkii,king
344,ogaa,knew
189,ogahay,know
621,marwada,lady
659,harada,lake
70,dhulka,land
399,luqadda,language
66,waaweyn,large
224,ee la soo dhaafay,last
240,dabayaaqadii,late
379,qosol,laugh
730,sharciga,law
482,"jiifay,",lay
408,keeni,lead
213,bartaan,learn
610,ugu yaraan,least
321,ka tago,leave
929,keentay,led
239,ka tagay,left
562,lugta,leg
516,dherer,length
474,yar,less
225,ha,let
293,warqad,letter
978,heerka,level
745,been ku,lie
248,nolosha,life
848,wiishka,lift
83,nalka,light
164,sida,like
137,line,line
894,dareere,liquid
310,liiska,list
470,dhegayso,listen
113,yar,little
109,ku nooshahay,live
777,hel,locate
895,diiwaan,log
561,keliya,lone
168,dheer,long
175,fiiri,look
635,badiyay,lost
687,badan,lot
662,weyn,loud
487,jecel,love
136,hooseeyo,low
411,mashiinka,machine
108,sameeyey,made
909,soojiidashada,magnet
273,main,main
835,waaweyn ee,major
169,sameeyo,make
116,nin,man
159,badan,many
493,khariidad,map
291,calaamadda,mark
878,suuqa,market
932,mass,mass
851,sayidkiisii,master
913,ciyaar,match
550,wax,material
528,arrinta,matter
195,waxaa laga yaabaa,may
122,ii,me
142,macnaheedu,mean
896,loogu tala galay,meant
323,loo qiyaaso,measure
817,hilibka,meat
704,kulmin,meet
601,luuq,melody
80,ragga,men
709,biraha,metal
672,habka,method
656,dhexe,middle
233,itaal,might
295,mile,mile
670,caanaha,milk
591,milyan oo,million
444,maskaxda,mind
832,anigaa iska leh,mine
441,daqiiqadii,minute
388,daahid,miss
631,qaso,mix
769,casri ah,modern
987,molecule,molecule
660,joogo,moment
489,lacag,money
590,bil,month
364,dayaxuna,moon
176,dheeraad ah,more
475,subax,morning
185,ugu,most
94,hooyo,mother
892,dhaqdhaqaaq,motion
566,buur,mount
261,buur,mountain
606,afka,mouth
144,dhaqaaqo,move
141,badan,much
352,ku dhufo,multiply
288,music,music
72,waa in,must
187,aan,my
126,magaca,name
668,qaranka,nation
748,dabiiciga ah,natural
889,dabiiciga ah,nature
96,dhow,near
802,lagama maarmaan,necessary
900,luqunta,neck
86,u baahan,need
806,deris,neighbor
223,marnaba,never
102,cusub,new
277,soo socda,next
246,habeen,night
975,sagaal,nine
184,no,no
977,buuq,noise
767,duhurkii,noon
947,mana,nor
250,waqooyiga,north
996,sanka,nose
412,qorid,note
353,waxba,nothing
499,ogaysiis,notice
418,magac,noun
199,hadda,now
182,lambarka,number
328,tireedyada,numeral
360,shay,object
664,u dhawrtaan,observe
886,dhacaan,occur
438,badda,ocean
30,ah,of
85,fasax,off
873,dalab,offer
603,xafiiska,office
292,badanaa,often
435,oh,oh
626,saliidda,oil
147,jir,old
8,on,on
263,mar,once
14,mid ka mid,one
114,kaliya,only
274,furan,open
760,shaqeeyaan,operate
963,soo horjeeda,opposite
27,ama,or
338,si,order
673,xubin,organ
865,asalka,original
38,kale,other
124,our,our
37,out,out
188,ka badan,over
203,gaarka ah,own
901,oksijiinka,oxygen
204,bogga,page
398,rinji,paint
530,labada ciyaaryahan,pair
285,warqad,paper
713,baaragaraafka,paragraph
853,waalidka,parent
104,qayb ka mid,part
959,gaar,particular
774,xisbiga,party
345,gudubto,pass
584,ee la soo dhaafay,past
893,waddo,path
484,naqshad,pattern
674,bixin,pay
186,dadka,people
510,laga yaabee,perhaps
782,muddo,period
488,qof,person
734,odhaahda,phrase
511,qaado,pick
88,sawir,picture
342,gabal,piece
930,garoonka,pitch
107,meel,place
302,bannaankii,plain
414,qorshaha,plan
375,diyaarad,plane
827,caalamka,planet
214,warshad,plant
58,ciyaaro,play
765,fadlan,please
997,jamac,plural
813,gabay,poem
93,dhibcood,point
686,saboolka ah,poor
880,dad,populate
65,dekedda,port
320,bandhig,pose
546,booska,position
374,suurto gal,possible
860,post,post
423,pound,pound
402,awood,power
761,practice,practice
994,diyaariyaan,prepare
542,xaadirka ah,present
244,-saxaafadeed,press
904,quruxsan,pretty
842,daabacaad,print
503,dhici kara,probable
341,dhibaatada,problem
759,habka,process
448,soo saaraan,produce
325,wax soo saarka,product
871,habboon,proper
985,hantida,property
766,ilaaliyaan,protect
560,cadayso,prove
795,siiyaan,provide
497,jiid,pull
711,riix,push
61,dhigay,put
974,rubuc,quart
331,su’aasha,question
436,degdeg ah,quick
680,degan,quiet
653,iska,quite
897,qeybtu,quotient
554,jinsiyadda,race
784,raadiyaha,radio
793,rail,rail
494,roob,rain
707,kor u,raise
382,orday,ran
890,kala duwan,range
809,halkii,rather
466,gaaraan,reach
63,akhriyi,read
306,diyaar,ready
247,dhabta ah,real
515,sababta,reason
604,heli,receive
370,rikoor,record
309,cas,red
520,gobolka,region
459,xusuusnow,remember
991,celiyaan,repeat
884,jawaabtid,reply
517,metelaan,represent
992,waxay u baahan yihiin,require
420,nasasho,rest
722,natiijada,result
756,qani,rich
507,fuulidda,ride
145,xaq u,right
778,giraanta,ring
623,kici,rise
296,webi,river
492,wadada,road
337,dhagax weyn,rock
739,roll,roll
256,qolka,room
705,xididka,root
935,xarig,rope
840,kacay,rose
115,wareega,round
605,isku xigta,row
818,salaax,rub
495,xeerka,rule
241,orod,run
725,ammaan ah,safe
47,ayuu yiri,said
549,shiraaq,sail
995,cusbo,salt
149,isla,same
737,ciid,sand
572,sabti,sat
648,badbaadin,save
235,miinshaar,saw
134,dheh,say
661,cabir,scale
209,dugsiga,school
254,sayniska,science
926,score,score
237,badda,sea
837,raadinaya,search
907,xilli ciyaareedkan,season
949,kursiga,seat
300,labaad,second
676,qaybta,section
171,eeg,see
615,abuur,seed
275,muuqdaan,seem
874,gabal,segment
988,doorasho,select
98,self,self
954,iibiyaan,sell
838,soo diri,send
750,dareenka,sense
640,u diray,sent
131,xukunka,sentence
762,gaar ah,separate
490,adeegaan,serve
52,set,set
523,dagaan,settle
712,toddobada,seven
478,dhowr,several
715,waa,shall
385,muuqaal,shape
866,saamiga,share
803,fiiqan,sharp
150,iyada,she
856,xaashida,sheet
899,gaboodka,shell
984,iftiimin,shine
334,markab,ship
965,kabaha,shoe
981,dukaan,shop
854,xeebta,shore
327,gaaban,short
205,waa in,should
966,garabka,shoulder
612,qaylo,shout
119,show,show
197,kooxda,side
284,hortiisa,sight
582,calaamad,sign
735,aamusan,silent
910,lacag,silver
923,la mid ah,similar
477,fudud,simple
346,tan,since
469,gabyi,sing
692,hal,single
919,walaashaa,sister
553,fadhiisan,sit
471,lix,six
521,xajmiga,size
905,xirfad,skill
696,maqaarka,skin
568,cirka,sky
875,addoon,slave
559,hurdo,sleep
936,taraarixid,slip
485,gaabis ah,slow
59,yar,small
945,urta,smell
697,dhoola,smile
391,baraf,snow
165,si,so
585,jilicsan,soft
738,ciid,soil
758,askari,soldier
908,xal,solution
708,xaliyaan,solve
23,qaar ka mid ah,some
658,ina,son
322,hees,song
315,ugu dhakhsaha badan,soon
183,dhawaaqu,sound
340,koonfur,south
450,space,space
524,hadlaan,speak
443,gaarka ah,special
888,hadalka,speech
671,xawaaraha,speed
67,muddo,spell
861,qaataan,spend
785,hadlay,spoke
844,kaalinta,spot
967,faafidda,spread
663,gu ’,spring
514,laba jibbaaran,square
202,taagan,stand
416,xiddiga,star
232,bilowga,start
220,state,state
867,saldhiga,station
355,joogo,stay
376,ka noqday,stead
891,uumi,steam
920,birta,steel
460,tallaabada,step
693,ul,stick
212,weli,still
681,dhagax,stone
427,istaagay,stood
262,joojin,stop
556,dukaanka,store
234,sheeko,story
666,si toos ah,straight
598,la yaab leh,strange
822,webigu,stream
350,wadada,street
982,kalabixi,stretch
814,xarig,string
442,xoog,strong
772,ardaygu,student
211,daraasad,study
519,maado,subject
857,mukhaadaraadka,substance
957,jartaa,subtract
955,guul,success
75,noocaas ah,such
512,lama filaan ah,sudden
914,horgalka,suffix
902,sonkorta,sugar
618,soo jeedin,suggest
846,suud,suit
557,xagaaga,summer
217,qorraxda,sun
775,siin,supply
887,taageero,support
268,hubi in,sure
362,dusha,surface
679,layaab,surprise
961,dabbaasha,swim
533,xarfaha,syllable
608,astaanta,symbol
367,nidaamka,system
472,miiska,table
447,dabadaba,tail
105,qaadato,take
313,wadahadal,talk
736,dheer,tall
430,bari,teach
632,kooxda,team
898,ilkaha,teeth
50,sheeg,tell
740,heerkulka,temperature
476,toban,ten
962,dheer,term
369,baaritaanka,test
191,ka badan,than
911,mahad,thank
4,in,that
29,ka,the
42,ay,their
161,iyaga oo,them
160,markaas,then
152,waxaa,there
166,waxay,these
11,ay,they
757,qaro weyn,thick
825,dhuuban,thin
170,wax,thing
133,u malaynayso,think
714,saddexaad,third
16,this,this
289,kuwa,those
311,inkastoo,though
226,fikirka,thought
380,kun,thousand
53,saddex,three
128,iyada oo,through
983,tuurin,throw
797,sidaas,thus
833,kulanka,tie
43,waqtiga,time
682,yaryar,tiny
392,taayir,tire
31,si ay u,to
276,wada,together
343,sheegay,told
616,midab,tone
148,sidoo kale,too
253,qaaday,took
942,aalad,tool
347,sare ee,top
943,wadarta,total
628,taabto,touch
480,xagga,toward
403,magaalada,town
852,track,track
600,ganacsiga,trade
558,tareenka,train
473,safarka,travel
228,geed,tree
826,xagalka,triangle
602,safarka,trip
611,dhibaato,trouble
976,gaari,truck
455,run,true
89,isku day,try
819,tuubada,tube
139,markooda,turn
695,labaatan,twenty
173,laba,two
729,nooc,type
125,under,under
401,unit,unit
294,ilaa,until
154,ilaa,up
90,us,us
155,isticmaalka,use
304,caadiga ah,usual
946,dooxada,valley
743,qiimaha,value
522,kala duwanaan,vary
468,falka,verb
127,aad u,very
749,aragtida,view
703,tuulada,village
583,booqasho,visit
500,codka,voice
479,shaqal,vowel
413,sugto,wait
282,socon,walk
564,derbiga,wall
54,doonaysid in,want
481,dagaal,war
439,diiran,warm
6,ahaa,was
807,dhaqmo,wash
269,daawado,watch
190,biyaha,water
538,ruxruxo,wave
157,hab,way
35,waxaan,we
637,xirtaan,wear
589,cimilo,weather
431,toddobaadka,week
525,miisaanka,weight
56,sidoo,well
82,u galay,went
39,jiray,were
463,galbeed,west
22,waxa,what
356,wheel,wheel
153,marka,when
110,halkaas oo,where
710,haddii,whether
40,taas oo,which
243,halka,while
278,cad,white
194,kuwaas oo,who
348,oo dhan,whole
776,kuwaas oo,whose
78,sababta,why
548,ballaaran,wide
964,xaaskiisa,wife
574,duurjoogta ah,wild
45,dardaaran,will
937,badisay,win
330,dabaysha,wind
555,furmo,window
804,garabka,wing
571,jiilaalka,winter
633,silig,wire
567,rabto,wish
10,la,with
799,haweeney,woman
906,dumarka,women
378,layaabeen,wonder
752,"ma yeelan doonaan,",won’t
272,alwaax,wood
20,erayga,word
103,shaqada,work
95,adduunka,world
163,lahaa,would
162,qori,write
573,qoraal ah,written
989,khalad,wrong
614,qoray,wrote
622,daarada,yard
117,sano,year
839,jaalaha ah,yellow
394,haa,yes
537,weli,yet
26,aad,you
305,dhalinyarada,young
156,aad,your
