number,catalan,english
7,per,for
358,força,force
552,bosc,forest
130,forma,form
922,endavant,forward
207,trobat,found
218,saber,four
551,fracció,fraction
440,lliure,free
836,fresc,fresh
257,amic,friend
17,des,from
429,davant,front
755,fruita,fruit
357,complet,full
586,diversió,fun
384,joc,game
638,jardí,garden
588,gas,gas
980,reunir,gather
433,va donar,gave
526,en general,general
798,suau,gentle
106,aconseguir,get
303,noia,girl
123,donar,give
864,content,glad
577,vidre,glass
179,anar,go
373,or,gold
599,s’ha anat,gone
121,bona,good
281,aconseguit,got
496,governar,govern
535,grand,grand
578,herba,grass
990,gris,gray
132,gran,great
434,verd,green
629,créixer,grew
464,sòl,ground
286,grup,group
210,créixer,grow
801,endevinar,guess
924,guiar,guide
840,arma,gun
28,tingut,had
717,pèl,hair
336,mitjà,half
64,mà,hand
332,succeir,happen
594,feliç,happy
231,dur,hard
174,té,has
953,barret,hat
15,tenir,have
5,ell,he
201,cap,head
265,escoltar,hear
451,sentit,heard
540,cor,heart
390,calor,heat
543,pesada,heavy
716,held,held
135,ajudar,help
167,seva,her
71,aquí,here
74,alta,high
724,turó,hill
172,ell,him
3,seva,his
788,història,history
771,colpejar,hit
462,mantenir,hold
699,forat,hole
62,casa,home
595,espere,hope
266,cavall,horse
19,calenta,hot
387,calenta,hot
453,hores,hour
87,casa,house
46,com,how
918,enorme,huge
787,humà,human
457,cent,hundred
502,caça,hunt
828,pressa,hurry
2,i,i
527,gel,ice
259,idea,idea
44,si,if
794,imaginar,imagine
34,en,in
351,polzades,inch
531,incloure,include
783,indicar,indicate
742,indústria,industry
780,insectes,insect
877,instantània,instant
575,instrument,instrument
465,interès,interest
970,inventar,invent
691,ferro,iron
24,és,is
365,illa,island
25,el,it
580,treball,job
617,unir-se,join
570,alegria,joy
700,saltar,jump
129,només,just
221,mantenir,keep
576,guardat,kept
690,clau,key
657,matar,kill
84,tipus,kind
349,rei,king
344,sabia,knew
189,saber,know
621,dama,lady
659,llac,lake
70,terra,land
399,idioma,language
66,gran,large
224,última,last
240,tarda,late
379,riure,laugh
730,llei,law
482,establir,lay
408,conduir,lead
213,aprendre,learn
610,menys,least
321,deixar,leave
929,led,led
239,esquerra,left
562,cama,leg
516,longitud,length
474,menys,less
225,deixar que,let
293,carta,letter
978,nivell,level
745,mentida,lie
248,vida,life
848,ascensor,lift
83,llum,light
164,com,like
137,línia,line
894,líquid,liquid
310,llista,list
470,escoltar,listen
113,poc,little
109,viure,live
777,localitzar,locate
895,log,log
561,solitari,lone
168,llarg,long
175,buscar,look
635,perdut,lost
687,molt,lot
662,en veu alta,loud
487,estimar,love
136,sota,low
411,màquina,machine
108,fet,made
909,imant,magnet
273,principal,main
835,important,major
169,fer,make
116,home,man
159,molts,many
493,mapa,map
291,marca,mark
878,mercat,market
932,massa,mass
851,màster,master
913,partit,match
550,materials,material
528,qüestió,matter
195,pot,may
122,em,me
142,significarà,mean
896,significat,meant
323,mesurar,measure
817,carn,meat
704,es reuneixen,meet
601,melodia,melody
80,homes,men
709,de metall,metal
672,mètode,method
656,mitjà,middle
233,podria,might
295,milla,mile
670,llet,milk
591,milions,million
444,ment,mind
832,mina,mine
441,minuts,minute
388,senyoreta,miss
631,barrejar,mix
769,moderna,modern
987,molècula,molecule
660,moment,moment
489,diners,money
590,mes,month
364,lluna,moon
176,més,more
475,demà,morning
185,més,most
94,mare,mother
892,moviment,motion
566,muntatge,mount
261,muntanya,mountain
606,boca,mouth
144,moviment,move
141,molt,much
352,multiplicar,multiply
288,música,music
72,ha,must
187,el meu,my
126,nom,name
668,nació,nation
748,naturals,natural
889,naturalesa,nature
96,a prop,near
802,necessari,necessary
900,coll,neck
86,necessitarà,need
806,veí,neighbor
223,mai,never
102,nou,new
277,següent,next
246,nit,night
975,còlera,nine
184,no,no
977,soroll,noise
767,migdia,noon
947,ni,nor
250,nord,north
996,nas,nose
412,nota,note
353,res,nothing
499,avís,notice
418,substantiu,noun
199,ara,now
182,nombre,number
328,numeral,numeral
360,objecte,object
664,observar,observe
886,produir,occur
438,oceà,ocean
30,d’,of
85,off,off
873,oferta,offer
603,oficina,office
292,sovint,often
435,oh,oh
626,oli,oil
147,edat,old
8,en,on
263,un cop,once
14,significarà,one
114,només,only
274,oberta,open
760,operar,operate
963,oposada,opposite
27,o,or
338,fi,order
673,òrgan,organ
865,originals,original
38,un altre,other
124,nostra,our
37,sortida,out
188,sobre,over
203,propi,own
901,oxigen,oxygen
204,pàgina,page
398,pintar,paint
530,parell,pair
285,paper,paper
713,paràgraf,paragraph
853,pare,parent
104,part,part
959,"particular,",particular
774,partit,party
345,passar,pass
584,passat,past
893,camí,path
484,patró,pattern
674,pagar,pay
186,persones,people
510,potser,perhaps
782,període,period
488,persona,person
734,frase,phrase
511,recollir,pick
88,foto,picture
342,peça,piece
930,pitch,pitch
107,lloc,place
302,pla,plain
414,pla de,plan
375,pla,plane
827,planeta,planet
214,planta,plant
58,jugar,play
765,si us plau,please
997,plural,plural
813,poema,poem
93,punt,point
686,pobres,poor
880,poblar,populate
65,port,port
320,plantejar,pose
546,posició,position
374,possible,possible
860,missatge,post
423,lliura,pound
402,poder,power
761,pràctica,practice
994,preparar,prepare
542,aquest,present
244,premsa,press
904,bastant,pretty
842,print,print
503,probable,probable
341,problema,problem
759,procés,process
448,produeix,produce
325,producte,product
871,adequada,proper
985,propietat,property
766,protegir,protect
560,demostrar,prove
795,proporcionar,provide
497,halar,pull
711,empènyer,push
61,posar,put
974,quart,quart
331,pregunta,question
436,ràpid,quick
680,tranquil,quiet
653,bastant,quite
897,quocient,quotient
554,carrera,race
784,ràdio,radio
793,ferrocarril,rail
494,pluja,rain
707,augmentar,raise
382,córrer,ran
890,gamma,range
809,lloc,rather
466,arribar,reach
63,llegir,read
306,llest,ready
247,reals,real
515,raó,reason
604,rebre,receive
370,registre,record
309,vermell,red
520,regió,region
459,recordar,remember
991,repeteixi,repeat
884,respondre,reply
517,representar,represent
992,requerir,require
420,resta,rest
722,resultat,result
756,rica,rich
507,passeig,ride
145,dret,right
778,anell,ring
623,augmentant,rise
296,riu,river
492,carretera,road
337,roca,rock
739,rotllo,roll
256,habitació,room
705,arrel,root
935,corda,rope
840,rosa,rose
115,ronda,round
605,fila,row
818,rub,rub
495,regla,rule
241,run,run
725,segur,safe
47,dit,said
549,vela,sail
995,sal,salt
149,mateixa,same
737,sorra,sand
572,sat,sat
648,guardar,save
235,serra,saw
134,dir,say
661,escala,scale
209,escola,school
254,ciència,science
926,puntuació,score
237,mar,sea
837,cerca,search
907,temporada,season
949,seient,seat
300,segon,second
676,secció,section
171,veure,see
615,llavors,seed
275,sembla,seem
874,segment,segment
988,seleccioneu,select
98,acte,self
954,vendre,sell
838,enviar,send
750,sentit,sense
640,enviat,sent
131,frase,sentence
762,separada,separate
490,servir,serve
52,conjunt,set
523,resoldre,settle
712,caràcter,seven
478,diversos,several
715,haurà,shall
385,forma,shape
866,quota,share
803,agut,sharp
150,ella,she
856,full,sheet
899,intèrpret,shell
984,brillantor,shine
334,vaixell,ship
965,sabata,shoe
981,botiga,shop
854,riba,shore
327,curta,short
205,ha,should
966,espatlla,shoulder
612,crit,shout
119,espectacle,show
197,costat,side
284,vista,sight
582,signe,sign
735,silenci,silent
910,plata,silver
923,similars,similar
477,simple,simple
346,des,since
469,cantar,sing
692,sola,single
919,germana,sister
553,seure,sit
471,passeig,six
521,mida,size
905,habilitat,skill
696,pell,skin
568,cel,sky
875,esclau,slave
559,somni,sleep
936,lliscament,slip
485,lenta,slow
59,petit,small
945,olor,smell
697,somriure,smile
391,neu,snow
165,així,so
585,suau,soft
738,sòl,soil
758,soldat,soldier
908,solució,solution
708,resoldre,solve
23,alguns,some
658,fill,son
322,cançó,song
315,aviat,soon
183,so,sound
340,sud,south
450,espai,space
524,parlar,speak
443,especial,special
888,discurs,speech
671,velocitat,speed
67,lletrejar,spell
861,passar,spend
785,parlar,spoke
844,lloc,spot
967,propagació,spread
663,primavera,spring
514,plaça,square
202,de peu,stand
416,estrella,star
232,inici,start
220,estat,state
867,estació,station
355,quedar,stay
376,lloc,stead
891,vapor,steam
920,acer,steel
460,pas,step
693,pal,stick
212,encara,still
681,pedra,stone
427,destacat,stood
262,aturi,stop
556,botiga,store
234,història,story
666,recta,straight
598,estrany,strange
822,corrent,stream
350,carrer,street
982,estirament,stretch
814,string,string
442,fort,strong
772,estudiant,student
211,estudi,study
519,subjecte,subject
857,substància,substance
957,restar,subtract
955,èxit,success
75,tals,such
512,sobtada,sudden
914,sufix,suffix
902,sucre,sugar
618,suggerir,suggest
846,vestit,suit
557,estiu,summer
217,sol,sun
775,subministrament,supply
887,suport,support
268,segur,sure
362,superfície,surface
679,sorpresa,surprise
961,nedar,swim
533,síl · laba,syllable
608,símbol,symbol
367,sistema,system
472,taula,table
447,cua,tail
105,prendre,take
313,xerrada,talk
736,d’altura,tall
430,ensenyar,teach
632,equip,team
898,dents,teeth
50,dir,tell
740,temperatura,temperature
476,estrany,ten
962,termini,term
369,prova,test
191,que,than
911,gràcies,thank
4,que,that
29,la,the
42,seva,their
161,ells,them
160,"a continuació,",then
152,hi,there
166,aquests,these
11,que,they
757,de gruix,thick
825,prima,thin
170,cosa,thing
133,pensar,think
714,tercer,third
16,aquest,this
289,els,those
311,encara,though
226,pensat,thought
380,mil,thousand
53,mar,three
128,a través,through
983,llançar,throw
797,"per tant,",thus
833,empat,tie
43,temps,time
682,petit,tiny
392,pneumàtics,tire
31,a,to
276,junts,together
343,dit,told
616,to,tone
148,massa,too
253,prendre,took
942,eina,tool
347,superior,top
943,total de,total
628,tocar,touch
480,cap,toward
403,ciutat,town
852,pista,track
600,comerç,trade
558,tren,train
473,viatges,travel
228,arbre,tree
826,triangle,triangle
602,viatge,trip
611,problemes,trouble
976,camió,truck
455,cert,true
89,tractar,try
819,tub,tube
139,"al seu torn,",turn
695,vint,twenty
173,2:00,two
729,tipus,type
125,sota,under
401,unitat,unit
294,fins,until
154,fins,up
90,nosaltres,us
155,ús,use
304,habitual,usual
946,vall,valley
743,valor,value
522,variar,vary
468,verb,verb
127,molt,very
749,vista,view
703,poble,village
583,visita,visit
500,veu,voice
479,vocal,vowel
413,esperar,wait
282,caminar,walk
564,paret,wall
54,voler,want
481,guerra,war
439,calenta,warm
6,era,was
807,rentat,wash
269,veure,watch
190,aigua,water
538,onada,wave
157,camí,way
35,nosaltres,we
637,desgast,wear
589,temps,weather
431,setmana,week
525,pes,weight
56,bé,well
82,es va anar,went
39,eren,were
463,oest,west
22,ho,what
356,roda,wheel
153,quan,when
110,on,where
710,si,whether
40,que,which
243,mentre,while
278,blanc,white
194,que,who
348,tot,whole
776,el,whose
78,per què,why
548,àmplia,wide
964,dona,wife
574,salvatge,wild
45,ho farà,will
937,victòria,win
330,vent,wind
555,finestra,window
804,ala,wing
571,hivern,winter
633,filferro,wire
567,desitjos,wish
10,amb,with
799,dona,woman
906,dones,women
378,pregunto,wonder
752,no ho farà,won’t
272,fusta,wood
20,paraula,word
103,treball,work
95,món,world
163,faria,would
162,escriure,write
573,escrit,written
989,mal,wrong
614,escriure,wrote
622,pati,yard
117,anys,year
839,groc,yellow
394,si,yes
537,encara,yet
26,vostè,you
305,jove,young
156,seva,your
