number,swahili,english
831,saa,clock
245,karibu,close
597,nguo,clothe
678,wingu,cloud
732,pwani,coast
931,kanzu,coat
498,baridi,cold
647,kukusanya,collect
830,koloni,colony
270,rangi,color
986,safu,column
180,kuja,come
372,kawaida,common
956,kampuni,company
812,kulinganisha,compare
333,kamili,complete
940,hali,condition
859,kuungana,connect
728,kufikiria,consider
667,consonant,consonant
428,vyenye,contain
1000,bara,continent
950,kuendelea,continue
649,kudhibiti,control
719,mpishi,cook
684,baridi,cool
733,nakala,copy
811,nafaka,corn
773,kona,corner
421,sahihi,correct
634,gharama,cost
971,pamba,cotton
178,inaweza,could
513,kuhesabu,count
206,nchi,country
354,bila shaka,course
215,cover,cover
579,ng’ombe,cow
698,na crease,crease
805,kujenga,create
768,mazao,crop
229,msalaba,cross
810,umati wa watu,crowd
409,kilio,cry
847,sasa,current
267,kata,cut
868,baba,dad
544,ngoma,dance
754,hatari,danger
410,giza,dark
177,siku,day
843,wafu,dead
960,mpango,deal
882,wapenzi,dear
903,kifo,death
361,kuamua,decide
650,decimal,decimal
363,kina,deep
879,shahada ya,degree
816,hutegemea,depend
718,kuelezea,describe
845,jangwa,desert
685,kubuni,design
973,kuamua,determine
437,kuendeleza,develop
669,kamusi,dictionary
181,alifanya,did
609,kufa,die
138,tofauti,differ
763,vigumu,difficult
319,moja kwa moja,direct
921,kujadili,discuss
395,mbali,distant
532,mgawanyiko,divide
855,mgawanyiko,division
41,kufanya,do
764,daktari,doctor
51,gani,does
317,mbwa,dog
921,dola,dollar
424,kutenda,done
242,kufanya si,don’t
324,mlango,door
948,mara mbili,double
196,chini,down
238,kuteka,draw
938,ndoto,dream
677,mavazi,dress
885,kunywa,drink
426,gari,drive
539,kuacha,drop
377,kavu,dry
876,bata,duck
456,wakati wa,during
49,kila,each
651,sikio,ear
461,mapema,early
99,dunia,earth
284,kupunguza,ease
397,mashariki,east
255,kula,eat
581,makali,edge
789,athari,effect
506,yai,egg
702,nane,eight
721,ama,either
790,umeme,electric
770,kipengele,element
652,mwingine,else
60,mwisho,end
883,adui,enemy
501,nishati,energy
545,injini,engine
301,kutosha,enough
834,kuingia,enter
639,sawa,equal
386,wanalinganisha,equate
915,hasa,especially
69,hata,even
939,jioni,evening
958,tukio,event
308,milele,ever
120,kila,every
607,halisi,exact
283,mfano,example
613,ila,except
747,kuchochea,excite
563,zoezi,exercise
791,kutarajia,expect
925,uzoefu,experience
688,majaribio,experiment
222,jicho,eye
271,uso,face
449,ukweli,fact
645,haki,fair
407,kuanguka,fall
318,familia,family
820,maarufu,famous
236,mbali,far
230,shamba,farm
467,haraka,fast
863,mafuta,fat
100,baba,father
858,neema,favor
823,hofu,fear
941,kulisha,feed
312,kujisikia,feel
298,miguu,feet
642,akaanguka,fell
534,waliona,felt
249,chache,few
419,shamba,field
916,mtini,fig
744,kupambana,fight
415,takwimu,figure
396,kujaza,fill
432,mwisho,final
200,kupata,find
404,faini,fine
741,kidole,finger
593,kumaliza,finish
339,moto,fire
193,kwanza,first
260,samaki,fish
643,fit,fit
458,tano,five
694,gorofa,flat
720,sakafu,floor
644,kati yake,flow
596,ua,flower
406,kuruka,fly
76,kufuata,follow
216,chakula,food
366,mguu,foot
7,kwa,for
358,nguvu,force
552,msitu,forest
130,aina,form
922,mbele,forward
207,kupatikana,found
218,nne,four
551,sehemu,fraction
440,bure,free
836,safi,fresh
257,rafiki,friend
17,kutoka,from
429,mbele,front
755,matunda,fruit
357,full,full
586,furaha,fun
384,mchezo,game
638,bustani,garden
588,gesi,gas
980,kukusanya,gather
433,alitoa,gave
526,ujumla,general
798,mpole,gentle
106,kupata,get
303,msichana,girl
123,kutoa,give
864,furaha,glad
577,kioo,glass
179,kwenda,go
373,dhahabu,gold
599,kuondoka,gone
121,nzuri,good
281,got,got
496,serikali,govern
535,kuu,grand
578,nyasi,grass
990,kijivu,gray
132,kubwa,great
434,kijani,green
629,ilikua,grew
464,ardhi,ground
286,kundi,group
210,kukua,grow
801,nadhani,guess
924,kuongoza,guide
840,bunduki,gun
28,alikuwa,had
717,nywele,hair
336,nusu,half
64,mkono,hand
332,kutokea,happen
594,furaha,happy
231,ngumu,hard
174,ina,has
953,kofia,hat
15,na,have
5,yeye,he
201,kichwa,head
265,kusikia,hear
451,habari,heard
540,moyo,heart
390,joto,heat
543,nzito,heavy
716,uliofanyika,held
135,msaada,help
167,yake,her
71,hapa,here
74,high,high
724,kilima,hill
172,naye,him
3,yake,his
788,historia,history
771,hit,hit
462,kushikilia,hold
699,shimo,hole
62,nyumbani,home
595,matumaini,hope
266,farasi,horse
19,moto,hot
387,moto,hot
453,saa,hour
87,nyumba,house
46,jinsi,how
918,kubwa,huge
787,binadamu,human
457,mia,hundred
502,kuwinda,hunt
828,haraka,hurry
2,mimi,i
527,barafu,ice
259,wazo,idea
44,kama,if
794,kufikiria,imagine
34,katika,in
351,inchi,inch
531,ni pamoja na,include
783,zinaonyesha,indicate
742,sekta ya,industry
780,wadudu,insect
877,papo,instant
575,chombo,instrument
465,maslahi,interest
970,mzulia,invent
691,chuma,iron
24,ni,is
365,kisiwa,island
25,yake,it
580,kazi,job
617,kujiunga na,join
570,furaha,joy
700,kuruka,jump
129,tu,just
221,kuweka,keep
576,naendelea,kept
690,ufunguo,key
657,kuua,kill
84,aina,kind
349,mfalme,king
344,alijua,knew
189,kujua,know
621,mwanamke,lady
659,ziwa,lake
70,ardhi,land
399,lugha,language
66,kubwa,large
224,mwisho,last
240,marehemu,late
379,kucheka,laugh
730,sheria,law
482,kuweka,lay
408,kusababisha,lead
213,kujifunza,learn
610,angalau,least
321,kuondoka,leave
929,kuongozwa,led
239,kushoto,left
562,mguu,leg
516,urefu,length
474,chini ya,less
225,basi,let
293,barua,letter
978,ngazi ya,level
745,uongo,lie
248,maisha,life
848,kuinua,lift
83,mwanga,light
164,kama,like
137,line,line
894,kioevu,liquid
310,orodha,list
470,kusikiliza,listen
113,kidogo,little
109,kuishi,live
777,machapisho,locate
895,kuingia,log
561,ya lone,lone
168,muda mrefu,long
175,kuangalia,look
635,waliopotea,lost
687,mengi,lot
662,kubwa,loud
487,upendo,love
136,chini,low
411,mashine,machine
108,alifanya,made
909,sumaku,magnet
273,kuu,main
835,kuu,major
169,kufanya,make
116,mtu,man
159,wengi,many
493,ramani,map
291,alama,mark
878,soko,market
932,habari,mass
851,bwana,master
913,mechi,match
550,vifaa,material
528,jambo,matter
195,inaweza,may
122,mimi,me
142,maana,mean
896,maana,meant
323,kupima,measure
817,nyama,meat
704,kukutana,meet
601,kuimba,melody
80,wanaume,men
709,chuma,metal
672,njia,method
656,katikati,middle
233,nguvu,might
295,maili,mile
670,maziwa,milk
591,milioni,million
444,akili,mind
832,yangu,mine
441,dakika,minute
388,miss ya,miss
631,kuchanganya,mix
769,kisasa,modern
987,molekuli,molecule
660,wakati,moment
489,fedha,money
590,mwezi,month
364,mwezi,moon
176,zaidi,more
475,asubuhi,morning
185,zaidi,most
94,mama,mother
892,mwendo,motion
566,mlima,mount
261,mlima,mountain
606,kinywa,mouth
144,hoja,move
141,kiasi,much
352,kuzidisha,multiply
288,muziki,music
72,lazima,must
187,yangu,my
126,jina,name
668,taifa,nation
748,asili,natural
889,asili,nature
96,karibu,near
802,muhimu,necessary
900,shingo,neck
86,haja,need
806,jirani,neighbor
223,kamwe,never
102,mpya,new
277,ijayo,next
246,usiku,night
975,tisa,nine
184,hakuna,no
977,kelele,noise
767,saa sita mchana,noon
947,wala,nor
250,kaskazini,north
996,pua,nose
412,note,note
353,chochote,nothing
499,ilani,notice
418,nomino,noun
199,sasa,now
182,simu,number
328,numeral,numeral
360,kitu,object
664,kuchunguza,observe
886,kutokea,occur
438,bahari,ocean
30,ya,of
85,mbali,off
873,kutoa,offer
603,ofisi,office
292,mara nyingi,often
435,oh,oh
626,mafuta,oil
147,umri wa,old
8,juu ya,on
263,mara moja,once
14,moja,one
114,tu,only
274,wazi,open
760,kazi,operate
963,kinyume,opposite
27,au,or
338,ili,order
673,chombo,organ
865,awali,original
38,nyingine,other
124,wetu,our
37,nje,out
188,juu ya,over
203,mwenyewe,own
901,oksijeni,oxygen
204,ukurasa,page
398,rangi,paint
530,jozi,pair
285,karatasi,paper
713,aya,paragraph
853,mzazi,parent
104,sehemu,part
959,hasa,particular
774,chama,party
345,kupita,pass
584,siku za nyuma,past
893,njia,path
484,muundo,pattern
674,kulipa,pay
186,watu,people
510,labda,perhaps
782,kipindi,period
488,mtu,person
734,maneno,phrase
511,kuchukua,pick
88,picha,picture
342,kipande,piece
930,lami,pitch
107,mahali,place
302,wazi,plain
414,mpango,plan
375,ndege,plane
827,sayari,planet
214,kupanda,plant
58,kucheza,play
765,tafadhali,please
997,wingi,plural
813,shairi,poem
93,uhakika,point
686,maskini,poor
880,idadi ya,populate
65,bandari,port
320,litasababisha,pose
546,nafasi,position
374,iwezekanavyo,possible
860,baada,post
423,chupa,pound
402,nguvu,power
761,mazoezi,practice
994,kuandaa,prepare
542,sasa,present
244,vyombo vya habari,press
904,wa pretty,pretty
842,magazeti,print
503,kinachowezekana,probable
341,tatizo,problem
759,mchakato,process
448,kuzalisha,produce
325,bidhaa,product
871,sahihi,proper
985,mali,property
766,kulinda,protect
560,kuthibitisha,prove
795,kutoa,provide
497,kuvuta,pull
711,kushinikiza,push
61,kuweka,put
974,lita moja,quart
331,swali,question
436,haraka,quick
680,utulivu,quiet
653,kabisa,quite
897,quotient ya,quotient
554,mbio,race
784,za redio,radio
793,reli,rail
494,mvua,rain
707,kuongeza,raise
382,mbio,ran
890,mbalimbali,range
809,badala,rather
466,kufikia,reach
63,kusoma,read
306,tayari,ready
247,halisi,real
515,sababu,reason
604,kupokea,receive
370,rekodi,record
309,nyekundu,red
520,kanda,region
459,kumbuka,remember
991,kurudia,repeat
884,jibu,reply
517,kuwakilisha,represent
992,zinahitaji,require
420,wengine,rest
722,matokeo,result
756,tajiri,rich
507,safari,ride
145,haki,right
778,pete,ring
623,kupanda,rise
296,mto,river
492,barabara,road
337,mwamba,rock
739,orodha,roll
256,chumba,room
705,mizizi,root
935,kamba,rope
840,kufufuka,rose
115,pande zote,round
605,mstari,row
818,kusugua,rub
495,utawala,rule
241,kukimbia,run
725,salama,safe
47,alisema,said
549,meli,sail
995,chumvi,salt
149,sawa,same
737,mchanga,sand
572,ameketi,sat
648,kuokoa,save
235,saw,saw
134,kusema,say
661,wadogo,scale
209,shule,school
254,sayansi,science
926,alama,score
237,bahari,sea
837,search,search
907,msimu,season
949,kiti cha,seat
300,pili,second
676,sehemu,section
171,kuona,see
615,mbegu,seed
275,wanaonekana,seem
874,sehemu,segment
988,kuchagua,select
98,binafsi,self
954,kuuza,sell
838,kutuma,send
750,maana,sense
640,alimtuma,sent
131,hukumu,sentence
762,tofauti,separate
490,kutumika,serve
52,kuweka,set
523,kuishi,settle
712,saba,seven
478,kadhaa,several
715,atakuwa,shall
385,sura,shape
866,kushiriki,share
803,mkali,sharp
150,yeye,she
856,karatasi,sheet
899,ganda,shell
984,uangaze,shine
334,meli,ship
965,kiatu,shoe
981,duka,shop
854,pwani,shore
327,mfupi,short
205,lazima,should
966,bega,shoulder
612,kelele,shout
119,onyesha,show
197,upande,side
284,mbele,sight
582,ishara,sign
735,kimya,silent
910,fedha,silver
923,sawa,similar
477,rahisi,simple
346,tangu,since
469,kuimba,sing
692,moja,single
919,dada,sister
553,kukaa,sit
471,sita,six
521,ukubwa,size
905,ujuzi,skill
696,ngozi,skin
568,anga,sky
875,mtumwa,slave
559,usingizi,sleep
936,kuingizwa,slip
485,polepole,slow
59,ndogo,small
945,harufu,smell
697,tabasamu,smile
391,theluji,snow
165,hivyo,so
585,laini,soft
738,udongo,soil
758,askari,soldier
908,ufumbuzi,solution
708,kutatua,solve
23,baadhi,some
658,mwana,son
322,wimbo,song
315,hivi karibuni,soon
183,sauti,sound
340,kusini,south
450,nafasi,space
524,kusema,speak
443,maalum,special
888,hotuba,speech
671,kasi,speed
67,spell,spell
861,kutumia,spend
785,alizungumza,spoke
844,doa,spot
967,kuenea,spread
663,chemchemi,spring
514,mraba,square
202,kusimama,stand
416,nyota,star
232,kuanza,start
220,hali,state
867,kituo cha,station
355,kukaa,stay
376,badala,stead
891,mvuke,steam
920,chuma,steel
460,hatua,step
693,fimbo,stick
212,bado,still
681,jiwe,stone
427,alisimama,stood
262,kuacha,stop
556,kuhifadhi,store
234,hadithi,story
666,moja kwa moja,straight
598,ajabu,strange
822,mkondo,stream
350,mitaani,street
982,kunyoosha,stretch
814,kamba,string
442,nguvu,strong
772,mwanafunzi,student
211,utafiti,study
519,somo,subject
857,dutu,substance
957,ondoa,subtract
955,mafanikio,success
75,kama,such
512,ghafla,sudden
914,suffix,suffix
902,sukari,sugar
618,kupendekeza,suggest
846,suti,suit
557,majira ya joto,summer
217,jua,sun
775,usambazaji,supply
887,msaada,support
268,uhakika,sure
362,uso,surface
679,mshangao,surprise
961,kuogelea,swim
533,silabi,syllable
608,ishara,symbol
367,mfumo,system
472,meza,table
447,mkia,tail
105,kuchukua,take
313,majadiliano,talk
736,mrefu,tall
430,kufundisha,teach
632,timu,team
898,meno,teeth
50,kuwaambia,tell
740,joto,temperature
476,kumi,ten
962,mrefu,term
369,mtihani,test
191,kuliko,than
911,kuwashukuru,thank
4,kwamba,that
29,akaonekana,the
42,yao,their
161,yao,them
160,kisha,then
152,huko,there
166,haya,these
11,wao,they
757,nene,thick
825,nyembamba,thin
170,kitu,thing
133,kufikiri,think
714,tatu,third
16,hii,this
289,wale,those
311,ingawa,though
226,wazo,thought
380,elfu,thousand
53,tatu,three
128,kupitia,through
983,kutupa,throw
797,hivyo,thus
833,tie,tie
43,wakati,time
682,vidogo,tiny
392,tairi,tire
31,kwa,to
276,pamoja,together
343,aliiambia,told
616,tone,tone
148,pia,too
253,alichukua,took
942,chombo,tool
347,juu,top
943,jumla,total
628,kugusa,touch
480,kuelekea,toward
403,mji,town
852,kufuatilia,track
600,biashara,trade
558,treni,train
473,usafiri,travel
228,ya mti,tree
826,pembetatu,triangle
602,safari,trip
611,shida,trouble
976,lori,truck
455,kweli,true
89,kujaribu,try
819,tube,tube
139,upande,turn
695,ishirini,twenty
173,mbili,two
729,aina,type
125,chini ya,under
401,kitengo,unit
294,mpaka,until
154,up,up
90,sisi,us
155,kutumia,use
304,kawaida,usual
946,bonde,valley
743,thamani,value
522,kutofautiana,vary
468,kitenzi,verb
127,sana,very
749,mtazamo,view
703,kijiji,village
583,ziara,visit
500,sauti,voice
479,vowel,vowel
413,kusubiri,wait
282,kutembea,walk
564,ukuta,wall
54,wanataka,want
481,vita,war
439,joto,warm
6,mara,was
807,osha,wash
269,kuangalia,watch
190,maji,water
538,wimbi,wave
157,njia,way
35,sisi,we
637,kuvaa,wear
589,hali ya hewa,weather
431,wiki,week
525,uzito,weight
56,vizuri,well
82,akaenda,went
39,walikuwa,were
463,magharibi,west
22,nini,what
356,gurudumu,wheel
153,wakati,when
110,ambapo,where
710,kama,whether
40,ambayo,which
243,wakati,while
278,nyeupe,white
194,ambao,who
348,zima,whole
776,ambao,whose
78,kwa nini,why
548,pana,wide
964,mke,wife
574,pori,wild
45,mapenzi,will
937,kushinda,win
330,upepo,wind
555,dirisha,window
804,mrengo,wing
571,majira ya baridi,winter
633,waya,wire
567,unataka,wish
10,kwa,with
799,mwanamke,woman
906,wanawake,women
378,ajabu,wonder
752,si,won’t
272,mbao,wood
20,neno,word
103,kazi,work
95,dunia,world
163,ingekuwa,would
162,kuandika,write
573,imeandikwa,written
989,makosa,wrong
614,aliandika,wrote
622,yadi,yard
117,mwaka,year
839,njano,yellow
394,ndiyo,yes
537,bado,yet
26,ninyi,you
305,vijana,young
156,yako,your
