number,german,english
177,tag,day
843,tot,dead
960,viel,deal
882,liebe,dear
903,tod,death
361,entscheiden,decide
650,dezimal,decimal
363,tief,deep
879,grad,degree
816,abhängen,depend
718,beschreiben,describe
845,wüste,desert
685,entwurf,design
973,bestimmen,determine
437,entwickeln,develop
669,wörterbuch,dictionary
181,tat,did
609,sterben,die
138,abweichen,differ
763,schwierig,difficult
319,direkt,direct
921,diskutieren,discuss
395,entfernt,distant
532,kluft,divide
855,teilung,division
41,tun,do
764,arzt,doctor
51,tut,does
317,hund,dog
921,dollar,dollar
424,getan,done
242,unterlassen sie,don’t
324,tür,door
948,doppelt,double
196,nach unten,down
238,ziehen,draw
938,träumen,dream
677,kleid,dress
885,getränk,drink
426,antriebs,drive
539,fallen,drop
377,trocken,dry
876,ente,duck
456,während,during
49,jeder,each
651,ohr,ear
461,früh,early
99,erde,earth
284,erleichtern,ease
397,osten,east
255,essen,eat
581,rand,edge
789,wirkung,effect
506,ei,egg
702,acht,eight
721,entweder,either
790,elektrisch,electric
770,elementes,element
652,sonst,else
60,ende,end
883,feind,enemy
501,energie,energy
545,motor,engine
301,genug,enough
834,eingeben,enter
639,gleich,equal
386,gleichsetzen,equate
915,insbesondere,especially
69,auch,even
939,abend,evening
958,veranstaltung,event
308,je,ever
120,jeder,every
607,genau,exact
283,beispiel,example
613,außer,except
747,begeistern,excite
563,übung,exercise
791,erwarten,expect
925,erfahrung,experience
688,versuch,experiment
222,auge,eye
271,gesicht,face
449,tatsache,fact
645,messe,fair
407,fallen,fall
318,familie,family
820,berühmt,famous
236,weit,far
230,bauernhof,farm
467,schnell,fast
863,fett,fat
100,vater,father
858,begünstigen,favor
823,angst,fear
941,futtermittel,feed
312,fühlen,feel
298,füße,feet
642,fiel,fell
534,filz,felt
249,wenige,few
419,feld,field
916,feige,fig
744,kampf,fight
415,abbildung,figure
396,füllen,fill
432,finale,final
200,finden,find
404,fein,fine
741,finger,finger
593,finish,finish
339,feuer,fire
193,erste,first
260,fisch,fish
643,passen,fit
458,fünf,five
694,wohnung,flat
720,boden,floor
644,fließen,flow
596,blume,flower
406,fliegen,fly
76,folgen,follow
216,lebensmittel,food
366,fuß,foot
7,für,for
358,kraft,force
552,wald,forest
130,formular,form
922,vorwärts,forward
207,gefunden,found
218,vier,four
551,fraktion,fraction
440,kostenlos,free
836,frisch,fresh
257,freund,friend
17,aus,from
429,front,front
755,obst,fruit
357,voll,full
586,spaß,fun
384,spiel,game
638,garten,garden
588,gases,gas
980,sammeln,gather
433,gab,gave
526,allgemein,general
798,sanft,gentle
106,erhalten,get
303,mädchen,girl
123,geben,give
864,froh,glad
577,glas,glass
179,gehen,go
373,goldenen,gold
599,vorbei,gone
121,gut,good
281,bekam,got
496,regieren,govern
535,groß,grand
578,gras,grass
990,grau,gray
132,groß,great
434,grün,green
629,wuchs,grew
464,boden,ground
286,gruppe,group
210,wachsen,grow
801,erraten,guess
924,führen,guide
840,pistole,gun
28,hatte,had
717,haar,hair
336,hälfte,half
64,seits,hand
332,passieren,happen
594,glücklich,happy
231,schwer,hard
174,hat,has
953,hut,hat
15,haben,have
5,er,he
201,kopf,head
265,hören,hear
451,gehört,heard
540,herz,heart
390,wärme,heat
543,schwer,heavy
716,hand,held
135,hilfe,help
167,sie,her
71,hier,here
74,hoch,high
724,hügel,hill
172,ihm,him
3,seine,his
788,geschichte,history
771,treffen,hit
462,halten,hold
699,loch,hole
62,zuhause,home
595,hoffen,hope
266,pferd,horse
19,heiß,hot
387,heiß,hot
453,stunde,hour
87,haus,house
46,wie,how
918,riesig,huge
787,mensch,human
457,hundert,hundred
502,jagd,hunt
828,eile,hurry
2,ich,i
527,eis,ice
259,idee,idea
44,wenn,if
794,vorstellen,imagine
34,bei,in
351,zoll,inch
531,umfassen,include
783,zeigen,indicate
742,industrie,industry
780,insekt,insect
877,augenblick,instant
575,instrument,instrument
465,interesse,interest
970,erfinden,invent
691,eisen,iron
24,ist,is
365,insel,island
25,es,it
580,arbeit,job
617,beitreten,join
570,freude,joy
700,springen,jump
129,nur,just
221,halten,keep
576,gehalten,kept
690,schlüssel,key
657,töten,kill
84,art,kind
349,könig,king
344,wusste,knew
189,wissen,know
621,dame,lady
659,see,lake
70,lande,land
399,sprache,language
66,groß,large
224,letzte,last
240,spät,late
379,lachen,laugh
730,gesetz,law
482,legen,lay
408,führen,lead
213,lernen,learn
610,am wenigsten,least
321,verlassen,leave
929,geführt,led
239,links,left
562,bein,leg
516,dauer,length
474,weniger,less
225,lassen,let
293,schreiben,letter
978,ebene,level
745,lüge,lie
248,leben,life
848,aufzug,lift
83,licht,light
164,wie,like
137,linie,line
894,flüssigkeit,liquid
310,liste,list
470,hören,listen
113,wenig,little
109,leben,live
777,lokalisieren,locate
895,protokollieren,log
561,einsam,lone
168,lange,long
175,suchen,look
635,verloren,lost
687,menge,lot
662,laut,loud
487,liebe,love
136,niedrig,low
411,maschine,machine
108,gemacht,made
909,magnet,magnet
273,haupt-,main
835,dur,major
169,machen,make
116,mann,man
159,viele,many
493,karte,map
291,marke,mark
878,markt,market
932,masse,mass
851,stamm,master
913,spiel,match
550,material,material
528,materie,matter
195,können,may
122,mir,me
142,bedeuten,mean
896,gemeint,meant
323,messen,measure
817,fleisch,meat
704,treffen,meet
601,melodie,melody
80,männer,men
709,metall,metal
672,verfahren,method
656,mitte,middle
233,macht,might
295,meile,mile
670,milch,milk
591,million,million
444,geist,mind
832,mine,mine
441,minute,minute
388,fehl,miss
631,mischen,mix
769,modernen,modern
987,molekül,molecule
660,moment,moment
489,geld,money
590,monat,month
364,mond,moon
176,mehr,more
475,morgen,morning
185,am meisten,most
94,mutter,mother
892,bewegung,motion
566,berg,mount
261,berg,mountain
606,mund,mouth
144,umzug,move
141,viel,much
352,multiplizieren,multiply
288,musik,music
72,muss,must
187,meine,my
126,name,name
668,nation,nation
748,natürlich,natural
889,natur,nature
96,in der nähe von,near
802,erforderlich,necessary
900,hals,neck
86,müssen,need
806,nachbar,neighbor
223,nie,never
102,neu,new
277,nächste,next
246,nacht,night
975,neun,nine
184,nicht,no
977,lärm,noise
767,mittag,noon
947,noch,nor
250,norden,north
996,nase,nose
412,note,note
353,nichts,nothing
499,hinweis,notice
418,nomen,noun
199,jetzt,now
182,anzahl,number
328,zahl,numeral
360,objekt,object
664,beobachten,observe
886,auftreten,occur
438,ozean,ocean
30,von,of
85,aus,off
873,angebot,offer
603,büro,office
292,oft,often
435,oh,oh
626,öl,oil
147,alt,old
8,auf,on
263,einmal,once
14,ein,one
114,nur,only
274,geöffnet,open
760,betreiben,operate
963,gegenteil,opposite
27,oder,or
338,bestellen,order
673,orgel,organ
865,original,original
38,andere,other
124,unsere,our
37,aus,out
188,über,over
203,besitzen,own
901,sauerstoff,oxygen
204,seite,page
398,malen,paint
530,paar,pair
285,papier,paper
713,absatz,paragraph
853,elternteil,parent
104,teil,part
959,besondere,particular
774,partei,party
345,passieren,pass
584,vergangenheit,past
893,weg,path
484,muster,pattern
674,zahlen,pay
186,menschen,people
510,vielleicht,perhaps
782,zeit,period
488,person,person
734,ausdruck,phrase
511,pflücken,pick
88,bild,picture
342,stück,piece
930,tonhöhe,pitch
107,ort,place
302,ebene,plain
414,plan,plan
375,flugzeug,plane
827,erde,planet
214,anlage,plant
58,spielen,play
765,bitte,please
997,mehreren,plural
813,gedicht,poem
93,punkt,point
686,arm,poor
880,besiedeln,populate
65,hafen,port
320,pose,pose
546,position,position
374,möglich,possible
860,nach,post
423,pfund,pound
402,macht,power
761,praxis,practice
994,vorbereiten,prepare
542,vorhanden,present
244,presse,press
904,ziemlich,pretty
842,druck,print
503,wahrscheinlich,probable
341,problem,problem
759,prozess,process
448,produzieren,produce
325,produkt,product
871,richtig,proper
985,immobilien,property
766,schützen,protect
560,beweisen,prove
795,bieten,provide
497,ziehen,pull
711,drücken,push
61,setzen,put
974,quart,quart
331,frage,question
436,schnell,quick
680,ruhig,quiet
653,ganz,quite
897,quotient,quotient
554,rennen,race
784,funk,radio
793,schiene,rail
494,regen,rain
707,erhöhen,raise
382,lief,ran
890,angebot,range
809,eher,rather
466,erreichen,reach
63,lesen,read
306,bereit,ready
247,realen,real
515,grund,reason
604,empfangen,receive
370,rekord,record
309,rot,red
520,region,region
459,merken,remember
991,wiederholung,repeat
884,antworten,reply
517,vertreten,represent
992,erfordern,require
420,rest,rest
722,ergebnis,result
756,reich,rich
507,fahrt,ride
145,recht,right
778,rings,ring
623,steigen,rise
296,fluss,river
492,straße,road
337,stein,rock
739,rolle,roll
256,zimmer,room
705,wurzel,root
935,seil,rope
840,stiegen,rose
115,runde,round
605,reihe,row
818,einreiben,rub
495,regel,rule
241,laufen,run
725,sicher,safe
47,sagte,said
549,segel,sail
995,salz,salt
149,gleich,same
737,sand,sand
572,sa,sat
648,sparen,save
235,säge,saw
134,sagen,say
661,maßstab,scale
209,schule,school
254,wissenschaft,science
926,partitur,score
237,meer,sea
837,suche,search
907,saison,season
949,sitz,seat
300,zweite,second
676,abschnitt,section
171,sehen,see
615,samen,seed
275,scheinen,seem
874,segment,segment
988,wählen,select
98,selbst,self
954,verkaufen,sell
838,senden,send
750,sinn,sense
640,gesendet,sent
131,satz,sentence
762,trennen,separate
490,dienen,serve
52,satz,set
523,regeln,settle
712,sieben,seven
478,mehrere,several
715,wird,shall
385,form,shape
866,aktie,share
803,scharf,sharp
150,sie,she
856,blatt,sheet
899,schale,shell
984,glanz,shine
334,schiff,ship
965,schuh,shoe
981,geschäft,shop
854,ufer,shore
327,kurz,short
205,sollte,should
966,schulter,shoulder
612,schrei,shout
119,zeigen,show
197,seite,side
284,blick,sight
582,zeichen,sign
735,still,silent
910,silber,silver
923,ähnlich,similar
477,einfach,simple
346,seit,since
469,singen,sing
692,einzel,single
919,schwester,sister
553,sitzen,sit
471,sechs,six
521,größe,size
905,geschicklichkeit,skill
696,haut,skin
568,himmel,sky
875,sklave,slave
559,schlaf,sleep
936,rutsch,slip
485,schleppend,slow
59,klein,small
945,geruch,smell
697,lächeln,smile
391,schnee,snow
165,so,so
585,weich,soft
738,boden,soil
758,soldat,soldier
908,lösung,solution
708,lösen,solve
23,einige,some
658,sohn,son
322,lied,song
315,bald,soon
183,klingen,sound
340,süden,south
450,raum,space
524,sprechen,speak
443,besondere,special
888,rede,speech
671,geschwindigkeit,speed
67,buchstabieren,spell
861,verbringen,spend
785,speiche,spoke
844,stelle,spot
967,verbreitung,spread
663,frühling,spring
514,platz,square
202,stehen,stand
416,stern,star
232,beginn,start
220,zustand,state
867,station,station
355,bleiben,stay
376,statt,stead
891,dampf,steam
920,stahl,steel
460,schritt,step
693,stick,stick
212,noch,still
681,stein,stone
427,stand,stood
262,stopp,stop
556,speicher,store
234,geschichte,story
666,gerade,straight
598,seltsam,strange
822,strom,stream
350,straße,street
982,stretch,stretch
814,schnur,string
442,stark,strong
772,schüler,student
211,studie,study
519,thema,subject
857,substanz,substance
957,subtrahieren,subtract
955,erfolg,success
75,so,such
512,plötzlich,sudden
914,suffix,suffix
902,zucker,sugar
618,vorschlagen,suggest
846,anzug,suit
557,sommer,summer
217,sonne,sun
775,versorgung,supply
887,unterstützung,support
268,sicher,sure
362,oberfläche,surface
679,überraschung,surprise
961,schwimmen,swim
533,silbe,syllable
608,zeichen,symbol
367,system,system
472,tabelle,table
447,schwanz,tail
105,nehmen,take
313,vortrag,talk
736,hoch,tall
430,lehren,teach
632,mannschaft,team
898,gebiss,teeth
50,sagen,tell
740,temperatur,temperature
476,zehn,ten
962,begriff,term
369,prüfung,test
191,als,than
911,danken,thank
4,dass,that
29,die,the
42,ihre,their
161,sie,them
160,dann,then
152,da,there
166,diese,these
11,sie,they
757,dick,thick
825,dünn,thin
170,sache,thing
133,denken,think
714,dritte,third
16,dies,this
289,diejenigen,those
311,obwohl,though
226,gedanken,thought
380,tausend,thousand
53,drei,three
128,durch,through
983,werfen,throw
797,so,thus
833,krawatte,tie
43,zeit,time
682,winzig,tiny
392,reifen,tire
31,zu,to
276,zusammen,together
343,sagte,told
616,ton,tone
148,zu,too
253,nahm,took
942,werkzeug,tool
347,obere,top
943,gesamt,total
628,berühren,touch
480,auf,toward
403,stadt,town
852,spur,track
600,handel,trade
558,zug,train
473,reise,travel
228,baum,tree
826,dreieck,triangle
602,reise,trip
611,ärger,trouble
976,lastwagen,truck
455,wahr,true
89,versuchen,try
819,rohr,tube
139,wiederum,turn
695,zwanzig,twenty
173,zwei,two
729,typ,type
125,unter,under
401,einheit,unit
294,bis,until
154,nach oben,up
90,uns,us
155,verwendung,use
304,üblich,usual
946,tal,valley
743,wert,value
522,variieren,vary
468,verbum,verb
127,sehr,very
749,blick,view
703,dorf,village
583,besuch,visit
500,stimme,voice
479,vokal,vowel
413,warten,wait
282,gehen,walk
564,wand,wall
54,wollen,want
481,krieg,war
439,warme,warm
6,war,was
807,wasch,wash
269,beobachten,watch
190,wasser,water
538,welle,wave
157,weg,way
35,wir,we
637,tragen,wear
589,wetter,weather
431,woche,week
525,gewicht,weight
56,gut,well
82,ging,went
39,waren,were
463,westen,west
22,was,what
356,rad,wheel
153,wenn,when
110,wo,where
710,ob,whether
40,die,which
243,während,while
278,weiß,white
194,die,who
348,ganze,whole
776,deren,whose
78,warum,why
548,breit,wide
964,frau,wife
574,wilden,wild
45,werden,will
937,gewinnen,win
330,wind,wind
555,fenster,window
804,flügel,wing
571,winter,winter
633,draht,wire
567,wünschen,wish
10,mit,with
799,frau,woman
906,frauen,women
378,wunder,wonder
752,wird nicht,won’t
272,holz,wood
20,wort,word
103,arbeit,work
95,welt,world
163,würde,would
162,schreiben,write
573,geschrieben,written
989,falsch,wrong
614,schrieb,wrote
622,hof,yard
117,jahr,year
839,gelb,yellow
394,ja,yes
537,noch,yet
26,sie,you
305,jung,young
156,ihre,your
