number,basque,english
498,hotza,cold
647,biltzeko,collect
830,kolonia,colony
270,kolorea,color
986,zutabe,column
180,zatoz,come
372,ohikoa,common
956,konpainia,company
812,alderatu,compare
333,osoa,complete
940,baldintza,condition
859,konektatu,connect
728,kontuan hartu,consider
667,kontsonante,consonant
428,eduki,contain
1000,kontinenteko,continent
950,jarraitzeko,continue
649,kontrola,control
719,sukaldari,cook
684,cool,cool
733,kopia,copy
811,arto,corn
773,korner,corner
421,zuzena,correct
634,kostua,cost
971,kotoia,cotton
178,could,could
513,zenbatu,count
206,country,country
354,ikastaroa,course
215,cover,cover
579,behi,cow
698,crease,crease
805,sortu,create
768,laborantza,crop
229,zeharkatuko,cross
810,zaleak,crowd
409,oihu,cry
847,egungo,current
267,ebaki,cut
868,dad,dad
544,dantza,dance
754,arriskuan,danger
410,dark,dark
177,egun,day
843,hildako,dead
960,akordio,deal
882,maitea,dear
903,heriotza,death
361,erabakitzeko,decide
650,hamartarrekin,decimal
363,sakona,deep
879,maila,degree
816,mendekoak,depend
718,deskribatuko,describe
845,basamortuko,desert
685,diseinua,design
973,zehazteko,determine
437,garatzea,develop
669,hiztegia,dictionary
181,egin,did
609,hiltzen,die
138,datoz,differ
763,zaila,difficult
319,zuzeneko,direct
921,eztabaidatzeko,discuss
395,urrutiko,distant
532,arraila,divide
855,zatiketa,division
41,egin,do
764,doctor,doctor
51,ez du,does
317,txakur,dog
921,dolarrak,dollar
424,done,done
242,ez,don’t
324,atea,door
948,bikoitza,double
196,behera,down
238,marraztu,draw
938,amets,dream
677,soineko,dress
885,edari,drink
426,pase,drive
539,jaregin,drop
377,lehorra,dry
876,ahate,duck
456,zehar,during
49,bakoitzak,each
651,belarria,ear
461,hasieran,early
99,lurra,earth
284,erraztasuna,ease
397,ekialdean,east
255,jan,eat
581,ertza,edge
789,efektu,effect
506,arrautza,egg
702,zortzi,eight
721,bai,either
790,elektrikoa,electric
770,elementu,element
652,else,else
60,end,end
883,etsaiaren,enemy
501,energia,energy
545,motorra,engine
301,nahikoa,enough
834,idatzi,enter
639,berdina,equal
386,equate,equate
915,"batez ere,",especially
69,are,even
939,arratsaldean,evening
958,ekitaldia,event
308,inoiz,ever
120,behin,every
607,zehatza,exact
283,adibidez,example
613,salbu,except
747,urduritu,excite
563,ariketa,exercise
791,espero,expect
925,eskarmentu,experience
688,esperimentua,experiment
222,begi,eye
271,aurpegi,face
449,izan,fact
645,azoka,fair
407,erori,fall
318,familiari,family
820,ospetsua,famous
236,urrun,far
230,baserriko,farm
467,azkarra,fast
863,gantz,fat
100,aita,father
858,mesede,favor
823,beldurra,fear
941,feed,feed
312,sentitzen,feel
298,oinak,feet
642,jaitsi,fell
534,sentitu,felt
249,gutxi,few
419,eremu,field
916,piku,fig
744,borroka,fight
415,zifra,figure
396,bete,fill
432,final,final
200,aurkitu,find
404,fina,fine
741,hatz,finger
593,akabera,finish
339,sua,fire
193,lehenengoa,first
260,arrain,fish
643,kabitzen,fit
458,bost,five
694,laua,flat
720,solairuan,floor
644,osotasunean,flow
596,lore,flower
406,hegan,fly
76,jarraitu,follow
216,janaria,food
366,oinez,foot
7,for,for
358,indarrean,force
552,basoa,forest
130,formulario,form
922,aurrera,forward
207,aurkitu,found
218,lau,four
551,frakzio,fraction
440,free,free
836,freskoa,fresh
257,lagun,friend
17,tik,from
429,aurrean,front
755,fruta,fruit
357,osoa,full
586,fun,fun
384,partida,game
638,lorategia,garden
588,gas,gas
980,bildu,gather
433,eman,gave
526,oro,general
798,leuna,gentle
106,lortu,get
303,neska,girl
123,eman,give
864,pozik,glad
577,beira,glass
179,joan,go
373,urre,gold
599,gone,gone
121,ona,good
281,lortu,got
496,gobernatzeko,govern
535,grand,grand
578,belarra,grass
990,grisa,gray
132,handia,great
434,berdea,green
629,hazi,grew
464,lurrean,ground
286,taldea,group
210,hazten,grow
801,asmatzen,guess
924,orientatzea,guide
840,pistola,gun
28,izan,had
717,ilea,hair
336,erdia,half
64,eskuko,hand
332,gertatuko,happen
594,zoriontsu,happy
231,gogor,hard
174,ditu,has
953,hat,hat
15,dute,have
5,zuen,he
201,burua,head
265,entzun,hear
451,entzun,heard
540,bihotza,heart
390,bero,heat
543,heavy,heavy
716,mantendutako,held
135,lagun,help
167,bere,her
71,hemen,here
74,handiko,high
724,muino,hill
172,zion,him
3,bere,his
788,historia,history
771,hit,hit
462,eutsi,hold
699,zulo,hole
62,hasiera,home
595,espero,hope
266,zaldi,horse
19,hot,hot
387,hot,hot
453,ordu,hour
87,etxea,house
46,nola,how
918,handi,huge
787,giza,human
457,ehun,hundred
502,ehiza,hunt
828,presarik,hurry
2,i,i
527,izotz,ice
259,ideia,idea
44,bada,if
794,imajinatu,imagine
34,in,in
351,hazbeteko,inch
531,"besteak beste,",include
783,adierazten,indicate
742,industria,industry
780,intsektuen,insect
877,instant,instant
575,instrumentua,instrument
465,interes,interest
970,asmatuko,invent
691,burdina,iron
24,da,is
365,uharteko,island
25,berau,it
580,lana,job
617,apunta,join
570,poza,joy
700,salto,jump
129,besterik,just
221,mantentzeko,keep
576,mantendu,kept
690,giltza,key
657,hiltzeko,kill
84,nolako,kind
349,king,king
344,bazekien,knew
189,jakingo,know
621,andre,lady
659,laku,lake
70,lurrak,land
399,hizkuntza,language
66,handi,large
224,azken,last
240,berandu,late
379,barre,laugh
730,legea,law
482,arautuko,lay
408,ekar,lead
213,ikasi,learn
610,gutxienez,least
321,utzi,leave
929,buru,led
239,utzi,left
562,hanka,leg
516,luzera,length
474,gutxiago,less
225,utzi,let
293,gutuna,letter
978,maila,level
745,gezur,lie
248,bizitza,life
848,igogailua,lift
83,argia,light
164,bezala,like
137,line,line
894,likidoa,liquid
310,zerrenda,list
470,entzuteko,listen
113,apur,little
109,bizi,live
777,kokatzeko,locate
895,saioa hasi,log
561,bakarti,lone
168,luzea,long
175,begiratu,look
635,galduta,lost
687,asko,lot
662,ozen,loud
487,maitasun,love
136,txikia,low
411,makina,machine
108,egin,made
909,iman,magnet
273,nagusia,main
835,nagusien,major
169,egiteko,make
116,man,man
159,asko,many
493,mapa,map
291,marka,mark
878,merkatua,market
932,masa,mass
851,master,master
913,partidu,match
550,materiala,material
528,gaia,matter
195,may,may
122,me,me
142,esan nahi,mean
896,ekarri,meant
323,neurtzeko,measure
817,haragi,meat
704,bete,meet
601,melodia,melody
80,gizonak,men
709,metal,metal
672,metodo,method
656,erdialdetik,middle
233,agian,might
295,milia,mile
670,esnea,milk
591,milioi,million
444,mind,mind
832,mine,mine
441,minutu,minute
388,miss,miss
631,nahastu,mix
769,modernoa,modern
987,molekula,molecule
660,une,moment
489,dirua,money
590,hileko,month
364,ilargia,moon
176,gehiago,more
475,goizean,morning
185,gehien,most
94,amak,mother
892,motion,motion
566,mount,mount
261,mendia,mountain
606,ahoa,mouth
144,mugimendu,move
141,askoz,much
352,biderkatu,multiply
288,music,music
72,muztioa,must
187,nire,my
126,izena,name
668,nazioa,nation
748,natural,natural
889,natura,nature
96,gertu,near
802,beharrezkoa,necessary
900,lepoan,neck
86,behar,need
806,bizilaguna,neighbor
223,inoiz ez,never
102,berria,new
277,hurrengo,next
246,gauean,night
975,bederatzi,nine
184,no,no
977,zarata,noise
767,eguerdian,noon
947,ezta,nor
250,iparraldean,north
996,sudurra,nose
412,ohar,note
353,nothing,nothing
499,oharra,notice
418,noun,noun
199,orain,now
182,zenbakia,number
328,numeral,numeral
360,objektu,object
664,behatzen,observe
886,gerta,occur
438,ozeano,ocean
30,of,of
85,off,off
873,eskaintza,offer
603,bulegoa,office
292,askotan,often
435,oh,oh
626,olioa,oil
147,zaharra,old
8,an,on
263,behin,once
14,bat,one
114,bakarrik,only
274,open,open
760,funtzionatzeko,operate
963,kontrakoa,opposite
27,edo,or
338,ordena,order
673,organoaren,organ
865,original,original
38,beste,other
124,gure,our
37,out,out
188,baino gehiago,over
203,egin,own
901,oxigeno,oxygen
204,orria,page
398,margotzeko,paint
530,bikotea,pair
285,paper,paper
713,paragrafoan,paragraph
853,gurasoa,parent
104,part,part
959,bereziki,particular
774,festa,party
345,gainditu,pass
584,iraganean,past
893,bidea,path
484,eredua,pattern
674,ordaindu,pay
186,jende,people
510,agian,perhaps
782,epea,period
488,pertsona,person
734,esaldi,phrase
511,jaso,pick
88,argazki,picture
342,pieza,piece
930,zelaia,pitch
107,leku,place
302,arrunta,plain
414,plan,plan
375,hegazkina,plane
827,planeta,planet
214,landare,plant
58,jolastu,play
765,mesedez,please
997,plural,plural
813,poema,poem
93,puntua,point
686,pobrea,poor
880,populatu,populate
65,portuko,port
320,pose,pose
546,posizio,position
374,posible,possible
860,post,post
423,libra,pound
402,power,power
761,praktikan,practice
994,prestatu,prepare
542,gaur,present
244,prentsa,press
904,nahiko,pretty
842,inprimatu,print
503,probable,probable
341,arazoa,problem
759,prozesua,process
448,ekoizteko,produce
325,produktua,product
871,egokia,proper
985,jabetza,property
766,babesteko,protect
560,frogatzeko,prove
795,ematen,provide
497,tira,pull
711,push,push
61,jarri,put
974,quart,quart
331,question,question
436,azkarra,quick
680,lasaiak,quiet
653,nahiko,quite
897,zatidura,quotient
554,lasterketa,race
784,radio,radio
793,trenbide,rail
494,euri,rain
707,goratzen,raise
382,ran,ran
890,sorta,range
809,baizik,rather
466,iristeko,reach
63,irakurri,read
306,prest,ready
247,benetako,real
515,arrazoia,reason
604,jasotzeko,receive
370,record,record
309,gorria,red
520,eskualdea,region
459,gogoratu,remember
991,errepikatu,repeat
884,erantzun,reply
517,adierazten,represent
992,eskatzen,require
420,gainerakoak,rest
722,emaitza,result
756,aberatsa,rich
507,ride,ride
145,eskuineko,right
778,ring,ring
623,igoko,rise
296,ibaiaren,river
492,errepide,road
337,rock,rock
739,roll,roll
256,gela,room
705,erroa,root
935,soka,rope
840,igo,rose
115,txandan,round
605,ilara,row
818,rub,rub
495,arau,rule
241,run,run
725,seguru,safe
47,esan,said
549,sail,sail
995,gatza,salt
149,bera,same
737,harea,sand
572,sat,sat
648,gorde,save
235,saw,saw
134,esan,say
661,eskala,scale
209,eskola,school
254,zientzia,science
926,puntuazio,score
237,sea,sea
837,bilaketa,search
907,denboraldian,season
949,eserlekua,seat
300,bigarren,second
676,atalean,section
171,ikusi,see
615,hazia,seed
275,badirudi,seem
874,segmentu,segment
988,hautatu,select
98,auto,self
954,saltzeko,sell
838,bidali,send
750,zentzu,sense
640,bidali,sent
131,gogoratu,sentence
762,aparteko,separate
490,balioko,serve
52,set,set
523,konformatu,settle
712,zazpi,seven
478,hainbat,several
715,errejimena,shall
385,forma,shape
866,share,share
803,zorrotz,sharp
150,zuen,she
856,fitxa,sheet
899,shell,shell
984,distira,shine
334,ontzia,ship
965,zapatila,shoe
981,denda,shop
854,shore,shore
327,laburra,short
205,beharko lukete,should
966,sorbaldaren,shoulder
612,oihu,shout
119,show,show
197,albo,side
284,ikusmena,sight
582,zeinu,sign
735,isila,silent
910,zilar,silver
923,antzeko,similar
477,sinple,simple
346,geroztik,since
469,abestu,sing
692,bakar,single
919,arreba,sister
553,eseri,sit
471,sei,six
521,tamaina,size
905,skill,skill
696,azala,skin
568,zerua,sky
875,esklabu,slave
559,loa,sleep
936,lapsus,slip
485,motela,slow
59,txiki,small
945,usaina,smell
697,irribarre,smile
391,elurra,snow
165,"beraz,",so
585,bigun,soft
738,lurzoruaren,soil
758,soldadu,soldier
908,irtenbide,solution
708,konpontzeko,solve
23,batzuk,some
658,semea,son
322,song,song
315,laster,soon
183,soinua,sound
340,hegoaldean,south
450,espazioa,space
524,hitz egin,speak
443,bereziak,special
888,hitzaldian,speech
671,abiadura,speed
67,ortografia,spell
861,pasatzeko,spend
785,mintzatu,spoke
844,leku,spot
967,hedapena,spread
663,udaberrian,spring
514,karratu,square
202,stand,stand
416,izarra,star
232,hasiera,start
220,egoera,state
867,geltokia,station
355,egonaldia,stay
376,orde,stead
891,lurrun,steam
920,steel,steel
460,urrats,step
693,makila,stick
212,oraindik,still
681,harria,stone
427,koa,stood
262,gelditzeko,stop
556,denda,store
234,istorioa,story
666,zuzen,straight
598,arraro,strange
822,erreka,stream
350,kalean,street
982,tarte,stretch
814,katea,string
442,indartsu,strong
772,ikaslearen,student
211,azterketa,study
519,gaia,subject
857,substantzia,substance
957,kenketak,subtract
955,arrakasta,success
75,"hala nola,",such
512,bat-batean,sudden
914,atzizkia,suffix
902,azukre,sugar
618,iradokitzen,suggest
846,trajea,suit
557,udan,summer
217,eguzkia,sun
775,hornikuntza,supply
887,laguntza,support
268,ziur,sure
362,azalera,surface
679,sorpresa,surprise
961,igeri,swim
533,silaba,syllable
608,sinbolo,symbol
367,sistema,system
472,taula,table
447,buztana,tail
105,hartu,take
313,eztabaida,talk
736,altu,tall
430,irakasteko,teach
632,taldeak,team
898,hortzak,teeth
50,esango,tell
740,tenperatura,temperature
476,hamar,ten
962,epe,term
369,proba,test
191,baino,than
911,eskerrik,thank
4,duten,that
29,du,the
42,beren,their
161,horiek,them
160,orduz,then
152,ez,there
166,horiek,these
11,dute,they
757,lodi,thick
825,mehe,thin
170,gauza,thing
133,uste,think
714,hirugarren,third
16,honetan,this
289,horiek,those
311,nahiz,though
226,pentsatu,thought
380,mila,thousand
53,hiru,three
128,bidez,through
983,bota,throw
797,horrela,thus
833,berdinketa,tie
43,denbora,time
682,tiny,tiny
392,pneumatikoen,tire
31,arte,to
276,elkarrekin,together
343,esan,told
616,tonua,tone
148,too,too
253,hartu,took
942,tresna,tool
347,top,top
943,guztira,total
628,ukitu,touch
480,aldera,toward
403,herri,town
852,pista,track
600,merkataritza,trade
558,trena,train
473,bidaia,travel
228,zuhaitz,tree
826,triangelu,triangle
602,bidaia,trip
611,arazoak,trouble
976,kamioi,truck
455,egia,true
89,saiatu,try
819,hodi,tube
139,txanda,turn
695,hogei,twenty
173,bi,two
729,mota,type
125,pean,under
401,unitatea,unit
294,arte,until
154,sortu,up
90,gurekin,us
155,erabilera,use
304,ohikoa den,usual
946,haran,valley
743,balio,value
522,aldatu egiten dira,vary
468,aditza,verb
127,oso,very
749,ikuspegia,view
703,herriko,village
583,bisita,visit
500,ahotsa,voice
479,bokal,vowel
413,itxaron,wait
282,oinez,walk
564,horma,wall
54,nahi,want
481,gerra,war
439,epela,warm
6,izan zen,was
807,garbiketa,wash
269,ikusi,watch
190,ura,water
538,uhin,wave
157,era,way
35,dugu,we
637,higadura,wear
589,eguraldi,weather
431,astea,week
525,pisu,weight
56,ondo,well
82,joan,went
39,ziren,were
463,west,west
22,zer,what
356,gurpila,wheel
153,denean,when
110,non,where
710,ala,whether
40,bertan,which
243,bitartean,while
278,zuri,white
194,nor,who
348,osoa,whole
776,zeinen,whose
78,zergatik,why
548,zabal,wide
964,emaztea,wife
574,basa,wild
45,izango,will
937,irabazi,win
330,haizea,wind
555,leihoa,window
804,ezenarro,wing
571,negua,winter
633,wire,wire
567,nahi,wish
10,honekin,with
799,emakumea,woman
906,emakumeak,women
378,galdetzen,wonder
752,izango ez,won’t
272,egurra,wood
20,hitza,word
103,lana,work
95,munduan,world
163,iba,would
162,idatzi,write
573,idatzizko,written
989,oker,wrong
614,idatzi,wrote
622,patiora,yard
117,urteko,year
839,horia,yellow
394,bai,yes
537,oraindik,yet
26,you,you
305,gazte,young
156,zure,your
