number,esperanto,english
322,kanto,song
315,baldaŭ,soon
183,soni,sound
340,sude,south
450,spaco,space
524,paroli,speak
443,speciala,special
888,parolado,speech
671,rapido,speed
67,literumi,spell
861,elspezi,spend
785,parolis,spoke
844,punkto,spot
967,disvastiĝo,spread
663,printempo,spring
514,kvadrata,square
202,staras,stand
416,stelo,star
232,komenco,start
220,ŝtata,state
867,stacidomo,station
355,resti,stay
376,anstataux,stead
891,vaporo,steam
920,ŝtalo,steel
460,paŝo,step
693,bastono,stick
212,ankoraŭ,still
681,ŝtono,stone
427,staris,stood
262,ĉesi,stop
556,vendejo,store
234,rakonto,story
666,rektaj,straight
598,stranga,strange
822,fluo,stream
350,strato,street
982,sekcio,stretch
814,kordo,string
442,forta,strong
772,lernantino,student
211,studo,study
519,subjekto,subject
857,substanco,substance
957,subtrahi,subtract
955,sukceso,success
75,tiaj,such
512,subita,sudden
914,sufikso,suffix
902,sukero,sugar
618,sugesti,suggest
846,kostumo,suit
557,someron,summer
217,suno,sun
775,provizado,supply
887,subteno,support
268,certas,sure
362,surfaco,surface
679,surprizo,surprise
961,naĝi,swim
533,silabo,syllable
608,simbolo,symbol
367,sistemo,system
472,tablo,table
447,vosto,tail
105,preni,take
313,diskuto,talk
736,altkreska,tall
430,instruos,teach
632,teamo,team
898,dentoj,teeth
50,diru,tell
740,temperaturo,temperature
476,dek,ten
962,termino,term
369,testo,test
191,ol,than
911,dankon,thank
4,ke,that
29,la,the
42,iliaj,their
161,ilin,them
160,tiam,then
152,tie,there
166,tiuj,these
11,ili,they
757,dikaj,thick
825,maldika,thin
170,afero,thing
133,pensas,think
714,triono,third
16,tiu,this
289,tiuj,those
311,kvankam,though
226,pensis,thought
380,milo,thousand
53,tri,three
128,per,through
983,ĵeti,throw
797,tiele,thus
833,egaleco,tie
43,tempo,time
682,etajn,tiny
392,pneŭo,tire
31,por,to
276,kune,together
343,rakontis,told
616,tono,tone
148,tro,too
253,prenis,took
942,ilo,tool
347,supro,top
943,entute,total
628,tuŝi,touch
480,rilate,toward
403,urbo,town
852,aŭtoveturejo,track
600,komerco,trade
558,trajno,train
473,vojaĝado,travel
228,arbo,tree
826,triangulo,triangle
602,vojaĝo,trip
611,malfelicxo,trouble
976,kamiono,truck
455,vera,true
89,provu,try
819,tubo,tube
139,siavice,turn
695,dudek,twenty
173,du,two
729,tipo,type
125,sub,under
401,unuo,unit
294,ĝis,until
154,supren,up
90,nin,us
155,uzo,use
304,kutima,usual
946,valo,valley
743,valoro,value
522,varios,vary
468,verbo,verb
127,tre,very
749,vido,view
703,vilaĝo,village
583,vizito,visit
500,voĉo,voice
479,vokalo,vowel
413,atendi,wait
282,marŝi,walk
564,muro,wall
54,volas,want
481,milito,war
439,varma,warm
6,estis,was
807,lavita,wash
269,spekti,watch
190,akvo,water
538,ondo,wave
157,vojo,way
35,ni,we
637,surhavi,wear
589,vetero,weather
431,semajno,week
525,pezo,weight
56,bone,well
82,eniris,went
39,estis,were
463,okcidenta,west
22,kio,what
356,radon,wheel
153,kiam,when
110,kie,where
710,ĉu,whether
40,kio,which
243,dum,while
278,blanka,white
194,kiuj,who
348,aro,whole
776,kies,whose
78,kial,why
548,larĝa,wide
964,edzino,wife
574,sovaĝa,wild
45,volo,will
937,venko,win
330,vento,wind
555,fenestro,window
804,flugilo,wing
571,vintro,winter
633,drato,wire
567,deziri,wish
10,kun,with
799,virino,woman
906,virinoj,women
378,demandas,wonder
752,ne faros,won’t
272,ligno,wood
20,vorto,word
103,laboro,work
95,mondo,world
163,farus,would
162,skribi,write
573,skribita,written
989,malĝusta,wrong
614,skribis,wrote
622,jardo,yard
117,jaro,year
839,flava,yellow
394,jes,yes
537,ankoraŭ,yet
26,vi,you
305,junulo,young
156,via,your
