number,albanian,english
354,sigurisht,course
215,mbuluar,cover
579,lopë,cow
698,rrudhë,crease
805,krijuar,create
768,kulture,crop
229,kalojnë,cross
810,turmë,crowd
409,qaj,cry
847,aktuale,current
267,prerë,cut
868,baba,dad
544,valle,dance
754,rrezik,danger
410,errët,dark
177,ditë,day
843,vdekur,dead
960,marrëveshje,deal
882,i dashur,dear
903,vdekja,death
361,vendosë,decide
650,dhjetor,decimal
363,thellë,deep
879,shkallë,degree
816,varet,depend
718,përshkruajnë,describe
845,shkretëtirë,desert
685,dizajn,design
973,përcaktuar,determine
437,zhvilloj,develop
669,fjalor,dictionary
181,bëri,did
609,vdes,die
138,ndryshoj,differ
763,i vështirë,difficult
319,drejtpërdrejtë,direct
921,diskutuar,discuss
395,i largët,distant
532,ndarje,divide
855,ndarje,division
41,bëj,do
764,mjeku,doctor
51,bën,does
317,qen,dog
921,dollar,dollar
424,e bërë,done
242,nuk,don’t
324,dyer,door
948,dyfishtë,double
196,poshtë,down
238,barazim,draw
938,ëndërr,dream
677,veshje,dress
885,pije,drink
426,makinë,drive
539,rënie,drop
377,thatë,dry
876,duck,duck
456,gjatë,during
49,çdo,each
651,vesh,ear
461,fillim,early
99,toka,earth
284,lehtësuar,ease
397,lindje,east
255,hani,eat
581,edge,edge
789,efekti,effect
506,vezë,egg
702,tetë,eight
721,ose,either
790,elektrike,electric
770,element,element
652,tjetër,else
60,fund,end
883,armik,enemy
501,energjisë,energy
545,motor,engine
301,mjaft,enough
834,hyjnë,enter
639,barabartë,equal
386,barazojnë,equate
915,sidomos,especially
69,edhe,even
939,mbrëmje,evening
958,ngjarje,event
308,kurrë,ever
120,çdo,every
607,saktë,exact
283,shembull,example
613,me përjashtim të,except
747,nxeh,excite
563,ushtrim,exercise
791,presin,expect
925,përvojë,experience
688,eksperiment,experiment
222,sy,eye
271,fytyrë,face
449,fakti,fact
645,drejtë,fair
407,bien,fall
318,familja,family
820,i famshëm,famous
236,tani,far
230,fermë,farm
467,shpejtë,fast
863,yndyrë,fat
100,baba,father
858,favor,favor
823,frikë,fear
941,ushqim,feed
312,të ndjehen të,feel
298,këmbët,feet
642,ra,fell
534,ndjerë,felt
249,pak,few
419,fushë,field
916,fiku,fig
744,lufta,fight
415,shifër,figure
396,mbushur,fill
432,përfundimtar,final
200,gjeni,find
404,gjobë,fine
741,gisht,finger
593,finish,finish
339,zjarri,fire
193,parë,first
260,peshk,fish
643,përshtaten,fit
458,pesë,five
694,banesë,flat
720,kati,floor
644,rrjedhë,flow
596,lule,flower
406,fluturojnë,fly
76,ndjek,follow
216,ushqim,food
366,këmbë,foot
7,për,for
358,forca,force
552,pyjeve,forest
130,formë,form
922,përpara,forward
207,gjetur,found
218,katër,four
551,fraksion,fraction
440,pa pagesë,free
836,freskët,fresh
257,mik,friend
17,nga,from
429,para,front
755,fruta,fruit
357,plotë,full
586,argëtim,fun
384,lojë,game
638,kopsht,garden
588,gazit,gas
980,mblidhen,gather
433,dha,gave
526,përgjithshme,general
798,i butë,gentle
106,marrë,get
303,vajzë,girl
123,jap,give
864,kënaqur,glad
577,qelqi,glass
179,shkoj,go
373,ari,gold
599,shkuar,gone
121,mirë,good
281,mori,got
496,qeverisur,govern
535,i madh,grand
578,bari,grass
990,gri,gray
132,i madh,great
434,e gjelbër,green
629,u rrit,grew
464,terren,ground
286,grup,group
210,rritet,grow
801,guess,guess
924,udhëzojë,guide
840,armë,gun
28,kishte,had
717,flokët,hair
336,gjysmë,half
64,dorë,hand
332,ndodhë,happen
594,të lumtur,happy
231,vështirë,hard
174,ka,has
953,hat,hat
15,kam,have
5,ai,he
201,kreu,head
265,dëgjojë,hear
451,dëgjuar,heard
540,zemra,heart
390,ngrohjes,heat
543,rëndë,heavy
716,mbajtur,held
135,të ndihmojë,help
167,e saj,her
71,këtu,here
74,i lartë,high
724,kodër,hill
172,atë,him
3,e tij,his
788,historia,history
771,hit,hit
462,mbajë,hold
699,vrimë,hole
62,shtëpi,home
595,shpresoj,hope
266,kalë,horse
19,hot,hot
387,hot,hot
453,orë,hour
87,shtëpi,house
46,si,how
918,i madh,huge
787,njerëzore,human
457,njëqind,hundred
502,gjueti,hunt
828,nxitim,hurry
2,i,i
527,akull,ice
259,ideja,idea
44,nëse,if
794,imagjinoni,imagine
34,në,in
351,inç,inch
531,përfshijnë,include
783,tregojnë,indicate
742,industri,industry
780,insekteve,insect
877,i menjëhershëm,instant
575,instrument,instrument
465,interesi,interest
970,trillime,invent
691,hekuri,iron
24,është,is
365,ishull,island
25,ajo,it
580,punë,job
617,bashkohen,join
570,lumturi,joy
700,kërcejnë,jump
129,vetëm,just
221,mbaj,keep
576,mbajtur,kept
690,kyç,key
657,vrasin,kill
84,lloj,kind
349,mbreti,king
344,dinte,knew
189,di,know
621,lady,lady
659,liqeni,lake
70,tokë,land
399,gjuha,language
66,i madh,large
224,fundit,last
240,vonë,late
379,qesh,laugh
730,ligji,law
482,vë,lay
408,të çojë,lead
213,mësoj,learn
610,më pak,least
321,largohen,leave
929,udhëhequr,led
239,la,left
562,këmbë,leg
516,gjatësia,length
474,më pak,less
225,le të,let
293,letër,letter
978,nivel,level
745,gënjeshtër,lie
248,jetë,life
848,ashensor,lift
83,dritë,light
164,si,like
137,linjë,line
894,lëngshme,liquid
310,lista,list
470,dëgjoni,listen
113,pak,little
109,jetojnë,live
777,gjetur,locate
895,log,log
561,i vetëm,lone
168,gjatë,long
175,shikoni,look
635,humbur,lost
687,shumë,lot
662,me zë të lartë,loud
487,dashuri,love
136,ulët,low
411,makinë,machine
108,bërë,made
909,magnet,magnet
273,kryesore,main
835,i madh,major
169,bëj,make
116,njeri,man
159,shumë,many
493,harta,map
291,mark,mark
878,tregu,market
932,në masë,mass
851,mjeshtër,master
913,ndeshje,match
550,material,material
528,çështje,matter
195,mund,may
122,mua,me
142,mesatare,mean
896,do të thoshte,meant
323,të matur,measure
817,mish,meat
704,takohen,meet
601,melodi,melody
80,burra,men
709,metalike,metal
672,metoda,method
656,mesme,middle
233,mund,might
295,milje,mile
670,qumësht,milk
591,milion,million
444,mendja,mind
832,minave,mine
441,minutë,minute
388,miss,miss
631,përzierje,mix
769,moderne,modern
987,molekulë,molecule
660,moment,moment
489,paratë,money
590,muaj,month
364,moon,moon
176,më shumë,more
475,mëngjes,morning
185,më,most
94,nënë,mother
892,lëvizje,motion
566,mali,mount
261,mal,mountain
606,gojë,mouth
144,veprim,move
141,shumë,much
352,shumohen,multiply
288,muzikë,music
72,duhet,must
187,tim,my
126,emri,name
668,komb,nation
748,natyrore,natural
889,natyra,nature
96,afër,near
802,nevojshme,necessary
900,qafë,neck
86,duhet,need
806,fqinji,neighbor
223,kurrë,never
102,të reja,new
277,tjetër,next
246,natën,night
975,nëntë,nine
184,asnjë,no
977,zhurmë,noise
767,mesditë,noon
947,as,nor
250,veri,north
996,hundë,nose
412,shënim,note
353,asgjë,nothing
499,njoftim,notice
418,emër,noun
199,tani,now
182,numri,number
328,numëror,numeral
360,objekt,object
664,vëzhguar,observe
886,ndodhin,occur
438,oqean,ocean
30,i,of
85,nga,off
873,oferta,offer
603,zyrë,office
292,shpesh,often
435,oh,oh
626,naftës,oil
147,vjetër,old
8,në,on
263,dikur,once
14,një,one
114,vetëm,only
274,hapur,open
760,operoj,operate
963,kundërta,opposite
27,ose,or
338,mënyrë,order
673,organ,organ
865,origjinal,original
38,tjetër,other
124,tonë,our
37,jashtë,out
188,mbi,over
203,vet,own
901,oksigjen,oxygen
204,faqe,page
398,bojë,paint
530,palë,pair
285,letër,paper
713,paragraf,paragraph
853,prind,parent
104,pjesë,part
959,i veçantë,particular
774,parti,party
345,kaloj,pass
584,e kaluara,past
893,rrugë,path
484,model,pattern
674,paguajnë,pay
186,njerëz,people
510,ndoshta,perhaps
782,periudha,period
488,person,person
734,fraza,phrase
511,marr,pick
88,foto,picture
342,pjesë,piece
930,katran,pitch
107,vendi,place
302,plain,plain
414,plani,plan
375,aeroplan,plane
827,planet,planet
214,bimë,plant
58,luajnë,play
765,ju lutem,please
997,shumës,plural
813,poemë,poem
93,pikë,point
686,varfër,poor
880,populloj,populate
65,port,port
320,paraqesin,pose
546,pozita,position
374,të jetë e mundur,possible
860,pas,post
423,kile,pound
402,fuqia,power
761,praktikë,practice
994,përgatisë,prepare
542,pranishëm,present
244,shtypi,press
904,mjaft,pretty
842,print,print
503,mundshme,probable
341,problemi,problem
759,procesi,process
448,prodhojnë,produce
325,produkt,product
871,i duhur,proper
985,pronë,property
766,mbrojtur,protect
560,provoj,prove
795,sigurojë,provide
497,tërheq,pull
711,shtytje,push
61,vendos,put
974,kuart,quart
331,pyetje,question
436,shpejtë,quick
680,i qetë,quiet
653,mjaft,quite
897,herës,quotient
554,garë,race
784,radio,radio
793,hekurudhor,rail
494,shi,rain
707,të rritur,raise
382,vrapoi,ran
890,varg,range
809,më tepër,rather
466,arrijnë,reach
63,lexoj,read
306,gati,ready
247,real,real
515,arsyeja,reason
604,marrë,receive
370,rekord,record
309,i kuq,red
520,rajoni,region
459,kujtoj,remember
991,përsëritje,repeat
884,përgjigjen,reply
517,përfaqësojnë,represent
992,kërkojnë,require
420,tjetër,rest
722,rezultati,result
756,i pasur,rich
507,udhëtim,ride
145,drejtë,right
778,unazë,ring
623,ngrihem,rise
296,lumi,river
492,rrugë,road
337,shkëmb,rock
739,roll,roll
256,dhomë,room
705,rrënjë,root
935,litar,rope
840,u rrit,rose
115,rreth,round
605,rresht,row
818,fshij,rub
495,rregull,rule
241,drejtuar,run
725,i sigurt,safe
47,tha,said
549,lundrojnë,sail
995,kripë,salt
149,i njëjtë,same
737,rërë,sand
572,sat,sat
648,ruani,save
235,pa,saw
134,thonë,say
661,shkallë,scale
209,shkollë,school
254,shkenca,science
926,pikë,score
237,deti,sea
837,kërko,search
907,sezon,season
949,vend,seat
300,i dytë,second
676,seksion,section
171,shih,see
615,farë,seed
275,duket,seem
874,segment,segment
988,zgjidhni,select
98,vetë,self
954,shes,sell
838,dërgoni,send
750,kuptim,sense
640,dërguar,sent
131,fjali,sentence
762,të ndara,separate
490,shërbejnë,serve
52,i vendosur,set
523,vendosen,settle
712,shtatë,seven
478,disa,several
715,duhet,shall
385,formë,shape
866,pjesa,share
803,mprehtë,sharp
150,ajo,she
856,fletë,sheet
899,shell,shell
984,shndrit,shine
334,anije,ship
965,këpucëve,shoe
981,dyqan,shop
854,breg,shore
327,i shkurtër,short
205,duhet,should
966,shpatull,shoulder
612,bërtas,shout
119,show,show
197,anë,side
284,pamje,sight
582,shenjë,sign
735,heshtur,silent
910,argjendi,silver
923,ngjashme,similar
477,thjeshtë,simple
346,që prej,since
469,këndoj,sing
692,i vetëm,single
919,motra,sister
553,rri,sit
471,gjashtë,six
521,madhësia,size
905,aftësi,skill
696,lëkurës,skin
568,qiell,sky
875,rob,slave
559,gjumë,sleep
936,shqip,slip
485,i ngadalshëm,slow
59,vogël,small
945,erë,smell
697,buzëqeshje,smile
391,borë,snow
165,kështu,so
585,e butë,soft
738,tokës,soil
758,ushtar,soldier
908,zgjidhje,solution
708,zgjidhur,solve
23,disa,some
658,djali,son
322,song,song
315,shpejt,soon
183,zë,sound
340,jug,south
450,hapësirë,space
524,flasin,speak
443,të veçantë,special
888,fjalim,speech
671,shpejtësi,speed
67,magji,spell
861,shpenzojnë,spend
785,foli,spoke
844,vend,spot
967,përhap,spread
663,pranverë,spring
514,katrore,square
202,qëndrim,stand
416,yll,star
232,fillimi,start
220,shtet,state
867,stacion,station
355,qëndrojnë,stay
376,në vend,stead
891,avull,steam
920,çeliku,steel
460,hapi,step
693,shkop,stick
212,ende,still
681,guri,stone
427,qëndroi,stood
262,stop,stop
556,dyqan,store
234,histori,story
666,drejt,straight
598,çuditshme,strange
822,lumë,stream
350,rrugë,street
982,shtrirje,stretch
814,string,string
442,fortë,strong
772,studenti,student
211,studimi,study
519,subjekt,subject
857,substancë,substance
957,zbres,subtract
955,suksesi,success
75,i tillë,such
512,papritur,sudden
914,prapashtesë,suffix
902,sheqer,sugar
618,sugjerojnë,suggest
846,kostum,suit
557,verë,summer
217,dielli,sun
775,furnizim,supply
887,mbështetje,support
268,i sigurt,sure
362,sipërfaqe,surface
679,surprizë,surprise
961,notoj,swim
533,rrokje,syllable
608,simbol,symbol
367,sistemi,system
472,tabela,table
447,bisht,tail
105,marrë,take
313,flasim,talk
736,i gjatë,tall
430,mësojnë,teach
632,ekipi,team
898,dhëmbët,teeth
50,them,tell
740,temperatura,temperature
476,dhjetë,ten
962,term,term
369,provë,test
191,se,than
911,thank,thank
4,që,that
29,thonë,the
42,tyre,their
161,ata,them
160,pastaj,then
152,atje,there
166,këto,these
11,ata,they
757,i trashë,thick
825,i hollë,thin
170,gjë,thing
133,mendoj,think
714,tretë,third
16,kjo,this
289,ato,those
311,ndonëse,though
226,mendimi,thought
380,mijë,thousand
53,tre,three
128,me anë të,through
983,hedh,throw
797,kështu,thus
833,kravatë,tie
43,koha,time
682,vogël,tiny
392,gomë,tire
31,në,to
276,së bashku,together
343,tha,told
616,ton,tone
148,shumë,too
253,mori,took
942,mjet,tool
347,top,top
943,totale,total
628,prek,touch
480,drejt,toward
403,qytet,town
852,udhë,track
600,tregtisë,trade
558,tren,train
473,udhëtimit,travel
228,pemë,tree
826,trekëndësh,triangle
602,udhëtim,trip
611,probleme,trouble
976,kamion,truck
455,e vërtetë,true
89,përpiqem,try
819,tub,tube
139,kthesë,turn
695,njëzet,twenty
173,dy,two
729,lloj,type
125,nën,under
401,njësi,unit
294,deri,until
154,up,up
90,na,us
155,përdorimi,use
304,zakonshme,usual
946,luginë,valley
743,vlera,value
522,ndryshojnë,vary
468,folje,verb
127,shumë,very
749,view,view
703,fshati,village
583,vizitë,visit
500,zë,voice
479,zanore,vowel
413,pres,wait
282,eci,walk
564,mur,wall
54,dua,want
481,luftë,war
439,ngrohtë,warm
6,ishte,was
807,laj,wash
269,shikojnë,watch
190,ujë,water
538,vala,wave
157,mënyrë,way
35,ne,we
637,vesh,wear
589,mot,weather
431,javë,week
525,pesha,weight
56,mirë,well
82,shkoi,went
39,ishin,were
463,perëndim,west
22,çfarë,what
356,rrotë,wheel
153,kur,when
110,ku,where
710,nëse,whether
40,e cila,which
243,ndërsa,while
278,e bardhë,white
194,që,who
348,tërë,whole
776,të cilit,whose
78,pse,why
548,të gjerë,wide
964,gruaja,wife
574,egra,wild
45,do,will
937,fitore,win
330,era,wind
555,dritare,window
804,krahut,wing
571,dimrit,winter
633,tela,wire
567,uroj,wish
10,me,with
799,grua,woman
906,gratë,women
378,pyes veten,wonder
752,nuk do të,won’t
272,dru,wood
20,fjalë,word
103,punë,work
95,botëror,world
163,do,would
162,shkruaj,write
573,shkruar,written
989,gabuar,wrong
614,shkroi,wrote
622,oborr,yard
117,vit,year
839,verdhë,yellow
394,po,yes
537,ende,yet
26,ju,you
305,i ri,young
156,tuaj,your
