number,lao,english
882,ຮັກແພງ,dear
903,ການເສຍຊີວິດ,death
361,ຕັດສິນໃຈ,decide
650,ອັດຕານິຍົມ,decimal
363,ເລິກ,deep
879,ລະດັບ,degree
816,ຂຶ້ນ,depend
718,ອະທິບາຍ,describe
845,ທະເລຊາຍ,desert
685,ການອອກແບບ,design
973,ການກໍານົດ,determine
437,ການພັດທະນາ,develop
669,ການຄົ້ນຫາ,dictionary
181,ໄດ້,did
609,ເສຍຊີວິດ,die
138,ຄວາມແຕກຕ່າງກັນ,differ
763,ມີຄວາມຫຍຸ້ງຍາກ,difficult
319,ໂດຍກົງ,direct
921,ປຶກສາຫາລື,discuss
395,ຫ່າງໄກ,distant
532,ແບ່ງ,divide
855,ພະແນກ,division
41,ເຮັດແນວໃດ,do
764,ທ່ານຫມໍ,doctor
51,ບໍ່,does
317,ຫມາ,dog
921,ເງິນໂດລາ,dollar
424,ເຮັດ,done
242,ເຮັດບໍ່ໄດ້,don’t
324,ປະຕູ,door
948,ສອງ,double
196,ລົງ,down
238,ແຕ້ມ,draw
938,ຝັນ,dream
677,ລາຍລະອຽດ,dress
885,ເຄື່ອງດື່ມ,drink
426,ຂັບ,drive
539,ລົງ,drop
377,ແຫ້ງແລ້ງ,dry
876,ເປັດ,duck
456,ໃນລະຫວ່າງການ,during
49,ແຕ່ລະຄົນ,each
651,ຫູ,ear
461,ຕົ້ນ,early
99,ແຜ່ນດິນໂລກ,earth
284,ຄວາມງ່າຍຂອງ,ease
397,ພາກຕາເວັນອອກ,east
255,ກິນອາຫານ,eat
581,ແຂບ,edge
789,ຜົນກະທົບ,effect
506,ໄຂ່,egg
702,ແປດ,eight
721,ບໍ່ວ່າຈະ,either
790,ໄຟຟ້າ,electric
770,ອົງປະກອບຂອງ,element
652,ອື່ນ,else
60,ໃນຕອນທ້າຍ,end
883,ສັດຕູ,enemy
501,ພະລັງງານ,energy
545,ເຄື່ອງຈັກ,engine
301,ພຽງພໍ,enough
834,ເຂົ້າ,enter
639,ເທົ່າທຽມກັນ,equal
386,ເວັນອອກ,equate
915,ໂດຍສະເພາະແມ່ນ,especially
69,ເຖິງແມ່ນວ່າ,even
939,ຕອນແລງ,evening
958,ກໍລະນີທີ່,event
308,ເຄີຍ,ever
120,ທຸກ,every
607,ຄືກັນອ້ອຍຕ້ອຍ,exact
283,ການຍົກຕົວຢ່າງ,example
613,ຍົກເວັ້ນ,except
747,ຕື່ນເຕັ້ນ,excite
563,ອອກກໍາລັງກາຍ,exercise
791,ຄາດຫວັງວ່າການ,expect
925,ປະສົບການ,experience
688,ການທົດລອງ,experiment
222,ຕາ,eye
271,ໃບຫນ້າ,face
449,ຄວາມຈິງ,fact
645,ຄວາມຍຸຕິທໍາ,fair
407,ຕົກລົງ,fall
318,ຄອບຄົວ,family
820,ມີຊື່ສຽງ,famous
236,ໄກ,far
230,ການກະສິກໍາ,farm
467,ໄວ,fast
863,ໄຂມັນ,fat
100,ພໍ່,father
858,ເອື້ອອໍານວຍ,favor
823,ຄວາມຢ້ານກົວ,fear
941,ອາຫານ,feed
312,ຄວາມຮູ້ສຶກ,feel
298,ຕີນ,feet
642,ໄດ້ຫຼຸດລົງ,fell
534,ຮູ້ສຶກວ່າ,felt
249,ບໍ່ຫຼາຍປານໃດ,few
419,ພາກສະຫນາມ,field
916,ຊາວ,fig
744,ການຕໍ່ສູ້,fight
415,ຮູບ,figure
396,ຕື່ມຂໍ້ມູນໃສ່,fill
432,ສຸດທ້າຍ,final
200,ຊອກຫາ,find
404,ອັນດີງາມ,fine
741,ນິ້ວມືຂອງ,finger
593,ສໍາເລັດຮູບ,finish
339,ໄຟ,fire
193,ຄັ້ງທໍາອິດ,first
260,ປາ,fish
643,ເຫມາະ,fit
458,ຫ້າ,five
694,ຮາບພຽງຢູ່,flat
720,ຊັ້ນ,floor
644,ໄຫຼ,flow
596,ດອກ,flower
406,ບິນ,fly
76,ປະຕິບັດຕາມ,follow
216,ອາຫານ,food
366,ຕີນ,foot
7,ສໍາລັບການ,for
358,ຜົນບັງຄັບໃຊ້,force
552,ປ່າໄມ້,forest
130,ຮູບແບບ,form
922,ຕໍ່,forward
207,ພົບ,found
218,ສີ່,four
551,"ແຕ່ສ່ວນຫນຶ່ງ,",fraction
440,ອອນໄລນ,free
836,ສົດ,fresh
257,ຫມູ່ເພື່ອນ,friend
17,ຈາກ,from
429,ຫນ້າ,front
755,ຫມາກໄມ້,fruit
357,ຢ່າງເຕັມທີ່,full
586,ມ່ວນ,fun
384,ເກມ,game
638,ການເຮັດສວນ,garden
588,ອາຍແກັສ,gas
980,ເກັບ,gather
433,ໃຫ້,gave
526,ໂດຍທົ່ວໄປ,general
798,ອ່ອນນ້ອມ,gentle
106,ໄດ້ຮັບ,get
303,ສາວ,girl
123,ໃຫ້,give
864,ດີໃຈ,glad
577,ແກ້ວ,glass
179,ໄປ,go
373,ຄໍາ,gold
599,ຫມົດ,gone
121,ດີ,good
281,ໄດ້ຮັບ,got
496,ລັດຖະບານ,govern
535,ຂອງປູ່,grand
578,ຫຍ້າ,grass
990,ສີຂີ້ເຖົ່າ,gray
132,ທີ່ຍິ່ງໃຫຍ່,great
434,ສີຂຽວ,green
629,ເພີ່ມຂຶ້ນ,grew
464,ດິນ,ground
286,ກຸ່ມ,group
210,ການຂະຫຍາຍຕົວ,grow
801,ຮີດ,guess
924,ນໍາ,guide
840,ປືນ,gun
28,ໄດ້,had
717,ຜົມ,hair
336,ເຄິ່ງຫນຶ່ງ,half
64,ມື,hand
332,ມີຫຍັງເກີດຂຶ້ນ,happen
594,ມີຄວາມສຸກ,happy
231,ຍາກ,hard
174,ມີ,has
953,ຫລີກ,hat
15,ມີ,have
5,ລາວ,he
201,ຫົວ,head
265,ຍິນ,hear
451,ໄດ້ຍິນ,heard
540,ຫົວໃຈ,heart
390,ຄວາມຮ້ອນ,heat
543,ຢ່າງຮຸນແຮງ,heavy
716,ຈັດຂຶ້ນໃນວັນ,held
135,ຊ່ວຍເຫຼືອ,help
167,ນາງ,her
71,ທີ່ນີ້,here
74,ສູງ,high
724,ພູ,hill
172,ພຣະອົງ,him
3,ລາວ,his
788,ປະຫວັດສາດ,history
771,ມົນຕີ,hit
462,ຖື,hold
699,ຂຸມ,hole
62,ເຮືອນ,home
595,ຫວັງວ່າ,hope
266,ມ້າ,horse
19,ຮ້ອນ,hot
387,ຮ້ອນ,hot
453,ຊົ່ວໂມງ,hour
87,ເຮືອນ,house
46,ວິທີການ,how
918,ເປັ,huge
787,ມະນຸດ,human
457,ຮ້ອຍ,hundred
502,ການລ່າສັດ,hunt
828,ໄດ້,hurry
2,ຂ້າພະເຈົ້າ,i
527,ກ້ອນ,ice
259,ແນວຄວາມຄິດ,idea
44,ຖ້າຫາກວ່າ,if
794,ຈິນຕະນາການ,imagine
34,ໃນ,in
351,ນິ້ວ,inch
531,ປະກອບມີ,include
783,ຊີ້ບອກ,indicate
742,ອຸດສາຫະກໍາ,industry
780,ແມງໄມ້,insect
877,ຕົວ,instant
575,ເຄື່ອງມື,instrument
465,ມີຄວາມສົນໃຈ,interest
970,ໄດ້ປັ້ນ,invent
691,ທາດເຫຼັກ,iron
24,ແມ່ນ,is
365,ເກາະ,island
25,ມັນ,it
580,ວຽກເຮັດງານທໍາ,job
617,ເຂົ້າຮ່ວມ,join
570,ຄວາມສຸກ,joy
700,ເຕັ້ນໄປຫາ,jump
129,ພຽງແຕ່,just
221,ຮັກສາ,keep
576,ເກັບຮັກສາໄວ້,kept
690,ທີ່ສໍາຄັນ,key
657,ຂ້າ,kill
84,ປະເພດ,kind
349,ຄົນ,king
344,ຮູ້,knew
189,ຮູ້,know
621,ເປັນ,lady
659,lake,lake
70,ທີ່ດິນ,land
399,ພາສາ,language
66,ຂະຫນາດໃຫຍ່,large
224,ສຸດທ້າຍ,last
240,ທ້າຍ,late
379,ຫົວຫລິ້ນ,laugh
730,ກົດຫມາຍ,law
482,ການຈັດວາງ,lay
408,ນໍາໄປສູ່ການ,lead
213,ຮຽນຮູ້,learn
610,ຢ່າງຫນ້ອຍ,least
321,ອອກຈາກ,leave
929,ການນໍາພາ,led
239,ໄວ້,left
562,ຂາ,leg
516,ຄວາມຍາວ,length
474,ຫນ້ອຍ,less
225,ໃຫ້,let
293,ຈົດຫມາຍສະບັບ,letter
978,ລະດັບ,level
745,ນອນ,lie
248,ຊີວິດ,life
848,ຍົກ,lift
83,ແສງສະຫວ່າງ,light
164,ເຊັ່ນ:,like
137,ເສັ້ນ,line
894,ຂອງແຫຼວ,liquid
310,ບັນຊີລາຍຊື່,list
470,ຮັບຟັງ,listen
113,ພຽງເລັກນ້ອຍ,little
109,ດໍາລົງຊີວິດ,live
777,ສະຖານທີ່,locate
895,ເຂົ້າ,log
561,ການ,lone
168,ຍາວ,long
175,ເບິ່ງ,look
635,ການສູນເສຍ,lost
687,ຫຼາຍ,lot
662,ດັງ,loud
487,ຄວາມຮັກ,love
136,ຕ່ໍາ,low
411,ເຄື່ອງ,machine
108,ໄດ້,made
909,ການສະກົດຈິດ,magnet
273,ຕົ້ນຕໍ,main
835,ທີ່ສໍາຄັນ,major
169,ເຮັດໃຫ້,make
116,ຜູ້ຊາຍ,man
159,ຈໍານວນຫຼາຍ,many
493,ແຜນທີ່,map
291,ເຄື່ອງຫມາຍ,mark
878,ການຕະຫຼາດ,market
932,ຕັ້ງມະຫາຊົນ,mass
851,ແມ່ບົດ,master
913,ຄໍາວ່າ,match
550,ອຸປະກອນການ,material
528,ເລື່ອງ,matter
195,ອາດຈະ,may
122,ຂ້າພະເຈົ້າ,me
142,ຫມາຍຄວາມວ່າ,mean
896,ຫມາຍຄວາມວ່າ,meant
323,ການວັດແທກ,measure
817,ຊີ້ນ,meat
704,ກອງປະຊຸມ,meet
601,ໄວ້ເພື່ອ,melody
80,ຜູ້ຊາຍ,men
709,ໂລຫະ,metal
672,ວິທີການ,method
656,ກາງ,middle
233,ອາດຈະ,might
295,ໄມ,mile
670,້ໍານົມ,milk
591,ລ້ານ,million
444,ໃຈ,mind
832,ຂຸດຄົ້ນບໍ່ແຮ່,mine
441,ນາທີ,minute
388,ພາດ,miss
631,ປະສົມ,mix
769,ທີ່ທັນສະໄຫມ,modern
987,ການ molecule,molecule
660,ປັດຈຸບັນ,moment
489,ເງິນ,money
590,ເດືອນ,month
364,ວົງເດືອນ,moon
176,ຫຼາຍ,more
475,ໃນຕອນເຊົ້າ,morning
185,ຫຼາຍທີ່ສຸດ,most
94,ແມ່,mother
892,ການ,motion
566,ຍັງພູ,mount
261,ພູ,mountain
606,ປາກ,mouth
144,ການເຄື່ອນໄຫວ,move
141,ຫຼາຍ,much
352,ວີຜົນປະໂຫຍດ,multiply
288,ດົນຕີ,music
72,ຕ້ອງ,must
187,ຂອງຂ້າພະເຈົ້າ,my
126,ຊື່,name
668,ປະເທດຊາດ,nation
748,ທໍາມະຊາດ,natural
889,ລັກສະນະ,nature
96,ຢູ່ໃກ້,near
802,ມີຄວາມຈໍາເປັນ,necessary
900,ຄໍ,neck
86,ຈໍາເປັນຕ້ອງໄດ້,need
806,ບ້ານໃກ້ເຮືອນຄຽງ,neighbor
223,ບໍ່ເຄີຍ,never
102,ໃຫມ່,new
277,ຕໍ່ໄປ,next
246,ໃນຕອນກາງຄືນ,night
975,ເກົ້າ,nine
184,ບໍ່ມີ,no
977,ສິ່ງລົບກວນ,noise
767,ຕອນທ່ຽງ,noon
947,ຫຼື,nor
250,ພາກເຫນືອ,north
996,ດັງ,nose
412,ຫມາຍເຫດ,note
353,ບໍ່ມີຫຍັງ,nothing
499,ແຈ້ງການ,notice
418,ພາສາ,noun
199,ໃນປັດຈຸບັນ,now
182,ຈໍານວນ,number
328,ຈໍານວນຫລາຍ,numeral
360,ຈຸດປະສົງ,object
664,ສັງເກດເບິ່ງການ,observe
886,ເກີດຂຶ້ນ,occur
438,ມະຫາສະຫມຸດ,ocean
30,ຂອງ,of
85,ໄປ,off
873,ການສະເຫນີ,offer
603,ຫ້ອງການ,office
292,ມັກ,often
435,ໂອ້ຍ,oh
626,ນ້ໍາ,oil
147,ອາຍຸ,old
8,ສຸດ,on
263,ຄັ້ງ,once
14,ຫນຶ່ງ,one
114,ພຽງແຕ່,only
274,ເປີດ,open
760,ປະຕິບັດງານ,operate
963,ກົງກັນຂ້າມ,opposite
27,ຫຼື,or
338,ຄໍາສັ່ງ,order
673,ອະໄວຍະວະ,organ
865,ຕົ້ນສະບັບ,original
38,ອື່ນໆ,other
124,ຂອງພວກເຮົາ,our
37,ອອກ,out
188,ໃນໄລຍະ,over
203,ຂອງຕົນເອງ,own
901,ອົກຊີເຈນທີ່,oxygen
204,ຫນ້າ,page
398,ທາສີ,paint
530,ຄູ່,pair
285,ເຈ້ຍ,paper
713,ວັກ,paragraph
853,ພໍ່ແມ່,parent
104,ສ່ວນ,part
959,ໂດຍສະເພາະ,particular
774,ພັກ,party
345,ຜ່ານ,pass
584,ໄລຍະຜ່ານມາ,past
893,ເສັ້ນທາງ,path
484,ຮູບແບບ,pattern
674,ຈ່າຍ,pay
186,ປະຊາຊົນ,people
510,ບາງທີອາດມີ,perhaps
782,ໄລຍະເວລາ,period
488,ບຸກຄົນ,person
734,ປະໂຫຍກ,phrase
511,ເອົາ,pick
88,ຮູບ,picture
342,ສິ້ນ,piece
930,pitch,pitch
107,ສະຖານທີ່,place
302,ທົ່ງພຽງ,plain
414,ແຜນການ,plan
375,ຍົນ,plane
827,ດາວ,planet
214,ພືດ,plant
58,ຫຼິ້ນ,play
765,ກະລຸນາ,please
997,ສຽງ,plural
813,ເດີ້,poem
93,ຈຸດ,point
686,ທຸກຍາກ,poor
880,າລະນາ,populate
65,ທີ່,port
320,ສ້າງ,pose
546,ຕໍາແຫນ່ງ,position
374,ເປັນໄປໄດ້,possible
860,ຕອບ,post
423,ປອນກັບ,pound
402,ພະລັງງານ,power
761,ການປະຕິບັດ,practice
994,ການກະກຽມ,prepare
542,ປະຈຸບັນ,present
244,ຫນັງສືພິມ,press
904,ະເພາະແມ່ນ,pretty
842,ການພິມ,print
503,ອາດຈະ,probable
341,ບັນຫາ,problem
759,ຂະບວນການ,process
448,ຜະລິດຕະພັນ,produce
325,ຜະລິດຕະພັນ,product
871,ທີ່ເຫມາະສົມ,proper
985,ຊັບສົມບັດ,property
766,ປົກປັກຮັກສາ,protect
560,ພິສູດ,prove
795,ສະຫນອງການ,provide
497,ດຶງ,pull
711,ການຊຸກຍູ້,push
61,ເອົາໃຈໃສ່,put
974,ຂອງ,quart
331,ຄໍາຖາມ,question
436,ໄວ,quick
680,ງຽບ,quiet
653,ທີ່ຂ້ອນຂ້າງ,quite
897,ປັດໄຈ,quotient
554,ເຊື້ອຊາດ,race
784,ວິທະຍຸ,radio
793,ລາງລົດໄຟ,rail
494,ຝົນຕົກຫນັກ,rain
707,ຍົກສູງບົດບາດ,raise
382,ໄດ້ແລ່ນ,ran
890,ລະດັບ,range
809,ແທນທີ່ຈະ,rather
466,ສາມາດບັນລຸ,reach
63,ອ່ານ,read
306,ພ້ອມ,ready
247,ແທ້ຈິງ,real
515,ເຫດຜົນ,reason
604,ໄດ້ຮັບ,receive
370,ການບັນທຶກ,record
309,ສີແດງ,red
520,ພາກພື້ນ,region
459,ຈື່,remember
991,ເຮັດເລື້ມຄືນ,repeat
884,ຕອບ,reply
517,ເປັນຕົວແທນຂອງ,represent
992,ຮຽກຮ້ອງໃຫ້ມີ,require
420,ສ່ວນທີ່ເຫຼືອ,rest
722,ຜົນໄດ້ຮັບ,result
756,ອຸດົມສົມບູນ,rich
507,ຂັບເຄື່ອນ,ride
145,ສິດ,right
778,ວົງ,ring
623,ເພີ່ມຂຶ້ນ,rise
296,ນ້ໍາ,river
492,ຖະຫນົນຫົນທາງ,road
337,ຫີນ,rock
739,ມ້ວນ,roll
256,ຫ້ອງການ,room
705,ຮາກ,root
935,ເຊືອກ,rope
840,ເພີ່ມຂຶ້ນ,rose
115,ໄດ້ຕະຫຼອດ,round
605,ການຕິດຕໍ່ກັນ,row
818,ຖູ,rub
495,ກົດລະບຽບ,rule
241,ການດໍາເນີນງານ,run
725,ຄວາມປອດໄພ,safe
47,ກ່າວວ່າ,said
549,ປ່ອຍ,sail
995,ເກືອ,salt
149,ດຽວກັນ,same
737,ຊາຍ,sand
572,ແລ້ງ,sat
648,ຊ່ວຍປະຢັດ,save
235,ເຫັນ,saw
134,ເວົ້າ,say
661,ຂະຫນາດ,scale
209,ໂຮງຮຽນ,school
254,ວິທະຍາສາດ,science
926,ຄະແນນ,score
237,ທະເລ,sea
837,ການຄົ້ນຫາ,search
907,ລະດູການ,season
949,ບ່ອນນັ່ງ,seat
300,ຄັ້ງທີສອງ,second
676,ພາກ,section
171,ເບິ່ງ,see
615,ເມັດພັນ,seed
275,ເບິ່ງຄືວ່າ,seem
874,ຕອນ,segment
988,ເລືອກ,select
98,ຕົນເອງ,self
954,ຂາຍ,sell
838,ສົ່ງ,send
750,ຄວາມຮູ້ສຶກ,sense
640,ສົ່ງ,sent
131,ປະໂຫຍກ,sentence
762,ແຍກຕ່າງຫາກ,separate
490,ບໍລິການ,serve
52,ທີ່ກໍານົດໄວ້,set
523,ແກ້ໄຂ,settle
712,ເຈັດ,seven
478,ຫຼາຍ,several
715,ຈະ,shall
385,ຮູບຮ່າງ,shape
866,ຮຸ້ນ,share
803,ແຫຼມ,sharp
150,ນາງ,she
856,ເອກະສານ,sheet
899,ຫອຍ,shell
984,ຂອງ,shine
334,ການຂົນສົ່ງ,ship
965,ນາມ,shoe
981,ບໍລິການຜ່ານ,shop
854,ແຄມຝັ່ງ,shore
327,ສັ້ນ,short
205,ຄວນ,should
966,ບ່າ,shoulder
612,ສຽງໂຮ່ຮ້ອງ,shout
119,ສະແດງໃຫ້ເຫັນ,show
197,ຂ້າງ,side
284,ສາຍຕາ,sight
582,ອາການ,sign
735,ງຽບ,silent
910,ເງິນ,silver
923,ທີ່ຄ້າຍຄືກັນ,similar
477,ງ່າຍດາຍ,simple
346,ນັບຕັ້ງແຕ່,since
469,ຮ້ອງ,sing
692,ດຽວ,single
919,ເອື້ອຍ,sister
553,ນັ່ງ,sit
471,ຫົກ,six
521,ຂະຫນາດ,size
905,ສີມືແຮງງານ,skill
696,ຜິວຫນັງ,skin
568,ເຄົ້າ,sky
875,ລອງ,slave
559,ນອນ,sleep
936,ຄວາມຜິດພາດພຽງ,slip
485,ຊ້າ,slow
59,ຂະຫນາດນ້ອຍ,small
945,ການມີກິ່ນຫອມ,smell
697,ຍິ້ມ,smile
391,ຫິມະ,snow
165,ສະນັ້ນ,so
585,ອ່ອນຂອງປາ,soft
738,ດິນ,soil
758,ສປປລ,soldier
908,ການແກ້ໄຂ,solution
708,ການແກ້ໄຂ,solve
23,ບາງ,some
658,ລູກຊາຍ,son
322,ເພງ,song
315,ໄວເທົ່າທີ່ຈະ,soon
183,ສຽງ,sound
340,ເຂດພາກໃຕ້,south
450,ຊ່ອງ,space
524,ເວົ້າ,speak
443,ພິເສດ,special
888,"ປາກເວົ້າ, ຂີດ",speech
671,ຄວາມໄວ,speed
67,ການສະກົດຄໍາ,spell
861,ໃຊ້ເວລາ,spend
785,ໄດ້ເວົ້າເຖິງ,spoke
844,ຈຸດ,spot
967,ການແຜ່ກະຈາຍ,spread
663,ພາກຮຽນ,spring
514,ມົນທົນ,square
202,ຢືນ,stand
416,ດາວ,star
232,ການເລີ່ມຕົ້ນ,start
220,ລັດ,state
867,ສະຖານີ,station
355,ຢູ່,stay
376,ສິ່ງທີ່ສາມາດນໍາກັບມາ,stead
891,ຄອມ,steam
920,ເຫຼັກ,steel
460,ຂັ້ນຕອນ,step
693,ໄມ້,stick
212,ຍັງ,still
681,ກ້ອນຫີນ,stone
427,ໄດ້ຢືນຢູ່,stood
262,ຢຸດເຊົາການ,stop
556,ຮ້ານ,store
234,ເລື່ອງ,story
666,ຊື່,straight
598,ເປັ,strange
822,ນ້ໍາ,stream
350,ຖະຫນົນຫົນທາງ,street
982,ຍາວ,stretch
814,ຊ່ອຍແນ່,string
442,ທີ່ເຂັ້ມແຂງ,strong
772,ນັກສຶກສາ,student
211,ການສຶກສາ,study
519,ວິຊາ,subject
857,ສານເສບຕິດ,substance
957,ການຫັກລົບ,subtract
955,ຜົນສໍາເລັດ,success
75,ເຊັ່ນ:,such
512,ຢ່າງກະທັນຫັນ,sudden
914,suffix,suffix
902,້ໍາຕານ,sugar
618,ແນະນໍາ,suggest
846,ຊຸດ,suit
557,ຮ້ອນ,summer
217,ແສງຕາເວັນ,sun
775,ການສະຫນອງ,supply
887,ສະຫນັບສະຫນູນ,support
268,ໃຫ້ແນ່ໃຈວ່າ,sure
362,ດ້ານ,surface
679,ແປກໃຈ,surprise
961,ເນື້ອທີ່ເຫືອກ,swim
533,ສູງສຸດ,syllable
608,ສັນຍາລັກ,symbol
367,ລະບົບ,system
472,ຕາຕະລາງ,table
447,ຫາງ,tail
105,ໃຊ້ເວລາ,take
313,ການສົນທະນາ,talk
736,ມ,tall
430,ສອນ,teach
632,ທີມງານ,team
898,ແຂ້ວ,teeth
50,ບອກ,tell
740,ອຸນຫະພູມ,temperature
476,ສິບ,ten
962,ໃນໄລຍະ,term
369,ການທົດສອບ,test
191,ກ່ວາ,than
911,ຂໍຂອບໃຈ,thank
4,ທີ່,that
29,ໄດ້,the
42,ຂອງເຂົາເຈົ້າ,their
161,ໃຫ້ເຂົາເຈົ້າ,them
160,ຫຼັງຈາກນັ້ນ,then
152,ມີ,there
166,ເຫຼົ່ານີ້,these
11,ພວກເຂົາເຈົ້າ,they
757,", ເປືອກຫນາ",thick
