number,kurdish,english
629,"mezin dibû,",grew
464,erd,ground
286,kom,group
210,mezinbûn,grow
801,texmîn,guess
924,birêvebir,guide
840,tiving,gun
28,hebû,had
717,por,hair
336,nîv,half
64,dest,hand
332,bûyin,happen
594,şa,happy
231,hişk,hard
174,heye,has
953,kûm,hat
15,hebûn,have
5,ew,he
201,ser,head
265,gûhdarkirin,hear
451,bihîst,heard
540,dil,heart
390,germa,heat
543,giran,heavy
716,lidarxistin,held
135,alîkarî,help
167,ew,her
71,vir,here
74,bilind,high
724,girik,hill
172,wî,him
3,bûyin,his
788,dîrok,history
771,lêxistin,hit
462,rawestan,hold
699,qûl,hole
62,xane,home
595,hêvî,hope
266,hesp,horse
19,germ,hot
387,germ,hot
453,seet,hour
87,xanî,house
46,çawa,how
918,pirr,huge
787,mirov,human
457,sed,hundred
502,neçir,hunt
828,lezdan,hurry
2,ez,i
527,qeşa,ice
259,fikir,idea
44,ger,if
794,fikirin,imagine
34,li,in
351,inch,inch
531,linavxistin,include
783,nîşandan,indicate
742,ava,industry
780,mêşik,insect
877,derhal,instant
575,alet,instrument
465,zem,interest
970,neafirandiye,invent
691,hesin,iron
24,e,is
365,girav,island
25,ew,it
580,kar,job
617,bihevgirêdan,join
570,kêf,joy
700,helperkîn,jump
129,adîl,just
221,didesthiştin,keep
576,hê,kept
690,qûfle,key
657,kûştin,kill
84,hevalbend,kind
349,qiral,king
344,dizanibû,knew
189,zanîn,know
621,sitê,lady
659,gol,lake
70,welat,land
399,ziman,language
66,mezin,large
224,dawîn,last
240,dereng,late
379,ken,laugh
730,qanûn,law
482,danîn,lay
408,gûlle,lead
213,fêrbûn,learn
610,kêmtirî,least
321,terikandin,leave
929,derxistin,led
239,çep,left
562,çîp,leg
516,dirêjî,length
474,kêmtir,less
225,berdan,let
293,name,letter
978,serrast,level
745,derew,lie
248,jîyan,life
848,esansor,lift
83,sivik,light
164,çawa,like
137,xet,line
894,herrik,liquid
310,rêzok,list
470,gûhdarkirin,listen
113,kêm,little
109,jîyan,live
777,dîtin,locate
895,rojname,log
561,lone,lone
168,dirêj,long
175,dîtinî,look
635,windabû,lost
687,pirr,lot
662,dengbilind,loud
487,evîn,love
136,nizm,low
411,makîne,machine
108,kirin,made
909,meknetîs,magnet
273,ser,main
835,serbaz,major
169,kirin,make
116,mêr,man
159,gelek,many
493,qert,map
291,delîl,mark
878,bazar,market
932,gel,mass
851,mamoste,master
913,wekwî,match
550,mal,material
528,mijarê de,matter
195,gulan,may
122,min,me
142,dilxerab,mean
896,wateyê,meant
323,pîvan,measure
817,goşt,meat
704,lihevrasthatin,meet
601,meqam,melody
80,mêr,men
709,hesinî,metal
672,awa,method
656,navîn,middle
233,erk,might
295,mîl,mile
670,şîr,milk
591,mêlûn,million
444,aqil,mind
832,ya min,mine
441,deqqe,minute
388,revandin,miss
631,lihevxitin,mix
769,rojane,modern
987,molecule,molecule
660,evdem,moment
489,dirav,money
590,meh,month
364,hêv,moon
176,zêde,more
475,sib,morning
185,zêdeyî,most
94,dê,mother
892,heraket,motion
566,çiyayê,mount
261,çîya,mountain
606,dev,mouth
144,barkirin,move
141,pir,much
352,zêdekirin,multiply
288,mûzîk,music
72,mecbûrmayin,must
187,ya min,my
126,nav,name
668,netewe,nation
748,xûriste,natural
889,awa,nature
96,nêz,near
802,pêwist,necessary
900,hûstû,neck
86,lazimî,need
806,cînar,neighbor
223,qet,never
102,nşh,new
277,piştî,next
246,şev,night
975,neh,nine
184,na,no
977,deng,noise
767,nîvroj,noon
947,û ne jî,nor
250,bakûr,north
996,poz,nose
412,not,note
353,netişt,nothing
499,nivîsk,notice
418,serbêje,noun
199,niha,now
182,jimare,number
328,jimar,numeral
360,tişt,object
664,şopgirtin,observe
886,borîn,occur
438,derya,ocean
30,ji,of
85,ji,off
873,pêşnîyar,offer
603,dayre,office
292,gelek car,often
435,oh,oh
626,rûn,oil
147,kevn,old
8,li,on
263,carek,once
14,yek,one
114,bes,only
274,vekirî,open
760,bikaranîn,operate
963,beramber,opposite
27,an,or
338,emir,order
673,perçe,organ
865,eslî,original
38,yên din,other
124,yên me,our
37,derve,out
188,ser,over
203,xwe,own
901,oksîjan,oxygen
204,rûpel,page
398,reng,paint
530,cot,pair
285,kaxez,paper
713,madde,paragraph
853,dê û bav,parent
104,par,part
959,taybetî,particular
774,partî,party
345,nasname,pass
584,borî,past
893,şop,path
484,mînak,pattern
674,diravdanî,pay
186,gel,people
510,belkî,perhaps
782,nixte,period
488,şexs,person
734,bikaranînê,phrase
511,çengel,pick
88,sûret,picture
342,perçe,piece
930,demajoya,pitch
107,cîh,place
302,adî,plain
414,pîlan,plan
375,plane,plane
827,estare,planet
214,karxane,plant
58,bazî,play
765,ji kerema xwe ve,please
997,pircar,plural
813,helbest,poem
93,cî,point
686,belengaz,poor
880,mû,populate
65,bender,port
320,pos,pose
546,rewş,position
374,derîmkan,possible
860,koz,post
423,tan,pound
402,erk,power
761,bikaranînî,practice
994,amadekirin,prepare
542,amade,present
244,rojnamevanî,press
904,rind,pretty
842,çap,print
503,dibe,probable
341,pirsegirêk,problem
759,doz,process
448,çêkirin,produce
325,mal,product
871,asas,proper
985,mal,property
766,parastin,protect
560,delîlkirin,prove
795,amadekirin,provide
497,kişandin,pull
711,lêqellibînî,push
61,raxistan,put
974,quart,quart
331,pirs,question
436,zû,quick
680,rehet,quiet
653,hemû,quite
897,quotient,quotient
554,nîjad,race
784,radyo,radio
793,hesinê tirêne,rail
494,baran,rain
707,bilindkirin,raise
382,bezî,ran
890,dirêjahî,range
809,gellek,rather
466,gîhaştin,reach
63,xwendin,read
306,amade,ready
247,rast,real
515,semed,reason
604,wergirtin,receive
370,rekor,record
309,sor,red
520,herêm,region
459,bîrveanîn,remember
991,dûbare,repeat
884,bersiv,reply
517,cîgirtin,represent
992,xwestin,require
420,rehetî,rest
722,netîce,result
756,dewlemend,rich
507,rêwîtî,ride
145,rast,right
778,qulp,ring
623,lihevderketin,rise
296,çem,river
492,rê,road
337,teht,rock
739,nanik,roll
256,jûre,room
705,reh,root
935,werîs,rope
840,gûl,rose
115,girrover,round
605,dor,row
818,dihevdan,rub
495,rêz,rule
241,rev,run
725,emîn,safe
47,re got:,said
549,bapaçavjenîn,sail
995,xwê,salt
149,wek yên din,same
737,qûm,sand
572,sat,sat
648,rizgarkirin,save
235,birrek,saw
134,gotin,say
661,pîvaneke,scale
209,dibistan,school
254,zanist,science
926,rewşa nixtan,score
237,gol,sea
837,gerr,search
907,demsal,season
949,rûniştek,seat
300,duyem,second
676,liq,section
171,dîtin,see
615,toxim,seed
275,birikin,seem
874,pardayre,segment
988,neqandin,select
98,wekhev,self
954,firotin,sell
838,şandin,send
750,hîs,sense
640,şandin,sent
131,biryar,sentence
762,veqetî,separate
490,sûxrekirin,serve
52,danîn,set
523,xelaskirin,settle
712,heft,seven
478,piran,several
715,dêbûn,shall
385,cins,shape
866,par,share
803,tûj,sharp
150,wê,she
856,rûberê nivînê,sheet
899,legan,shell
984,birq,shine
334,gemî,ship
965,pêlav,shoe
981,dikan,shop
854,berav,shore
327,nizm,short
205,divêt,should
966,mil,shoulder
612,qîrîn,shout
119,rêdan,show
197,hêl,side
284,nerrînî,sight
582,nîşan,sign
735,bêdeng,silent
910,zîv,silver
923,nêzbûn,similar
477,asan,simple
346,ji ber ku,since
469,stran,sing
692,yekoyek,single
919,xwişk,sister
553,rûniştin,sit
471,şeş,six
521,mezinayî,size
905,jîrî,skill
696,çerm,skin
568,asûman,sky
875,xûlam,slave
559,xew,sleep
936,derpê,slip
485,hêdî,slow
59,biçûk,small
945,bîn,smell
697,kenn,smile
391,berf,snow
165,wiha,so
585,nerm,soft
738,erd,soil
758,leşker,soldier
908,çare,solution
708,çareserkirin,solve
23,hin,some
658,kur,son
322,stran,song
315,nêzda,soon
183,rengdan,sound
340,başûr,south
450,dem,space
524,axaftin,speak
443,taybetî,special
888,axaftin,speech
671,zûbûnî,speed
67,sihêr,spell
861,xerckirin,spend
785,re axivî,spoke
844,leke,spot
967,belakirin,spread
663,bihar,spring
514,meydan,square
202,serpêsekinîn,stand
416,stêrk,star
232,destpêkirin,start
220,rewş,state
867,meydan,station
355,mayin,stay
376,şuna,stead
891,bixar,steam
920,pola,steel
460,gav,step
693,dar,stick
212,hîn,still
681,kevir,stone
427,rawesta,stood
262,rawestan,stop
556,dikan,store
234,çîrok,story
666,rast,straight
598,xerîb,strange
822,herrok,stream
350,rêgah,street
982,dirêjkirin,stretch
814,ben,string
442,qewî,strong
772,zankoyî,student
211,xwendina zanko,study
519,mijar,subject
857,navik,substance
957,jêkêmkirin,subtract
955,serketinî,success
75,yên wisa,such
512,nişka,sudden
914,suffix,suffix
902,îekir,sugar
618,pêşniyar dikin,suggest
846,qat,suit
557,havîn,summer
217,tav,sun
775,erzaq,supply
887,alîkarî,support
268,emîn,sure
362,rû,surface
679,nişkeşayî,surprise
961,ajnêkirin,swim
533,yekejimariyê ye,syllable
608,nîşan,symbol
367,sîstem,system
472,mêz,table
447,terrî,tail
105,wergirtin,take
313,axaftin,talk
736,mezin,tall
430,hînkirin,teach
632,kom,team
898,diranên,teeth
50,gotin,tell
740,germî,temperature
476,deh,ten
962,îfade,term
369,îmtîhan,test
191,dema ko,than
911,sipaskirin,thank
4,va,that
29,ew,the
42,yê wê,their
161,wê,them
160,paşan,then
152,va,there
166,eva,these
11,ew,they
757,zixt,thick
825,zirav,thin
170,tişt,thing
133,ponijîn,think
714,sêyem,third
16,ev,this
289,ewan,those
311,çira,though
226,pojin,thought
380,hezar,thousand
53,sê,three
128,bi saya,through
983,avêtin,throw
797,ji ber vê yekê,thus
833,girêdan,tie
43,dem,time
682,pito,tiny
392,dûlab,tire
31,ber,to
276,bihevra,together
343,re got:,told
616,deng,tone
148,jî,too
253,girt,took
942,hacet,tool
347,lûtik,top
943,hemî,total
628,pêbûn,touch
480,dijî,toward
403,bajar,town
852,şop,track
600,bazirganî,trade
558,tirên,train
473,gerrîn,travel
228,dar,tree
826,sêqozî,triangle
602,gerr,trip
611,astengan,trouble
976,qemyon,truck
455,rast,true
89,cerribanî,try
819,lûle,tube
139,zîvir,turn
695,bîst,twenty
173,du,two
729,awa,type
125,binê,under
401,yekbûn,unit
294,ta,until
154,bi jorve,up
90,me,us
155,bikaranîn,use
304,nas,usual
946,newal,valley
743,giranî,value
522,gûherrandin,vary
468,lêker,verb
127,gellek,very
749,dîtinî,view
703,gûnd,village
583,serdan,visit
500,deng,voice
479,dengdar,vowel
413,payin,wait
282,gerrik,walk
564,dîwar,wall
54,xwestin,want
481,şerr,war
439,germ,warm
6,bû,was
807,cil,wash
269,seet,watch
190,av,water
538,pêl,wave
157,rê,way
35,em,we
637,hilgirtin,wear
589,hewa,weather
431,hefte,week
525,pîvan,weight
56,baş,well
82,çû,went
39,bûn,were
463,rojava,west
22,çi,what
356,teker,wheel
153,heke,when
110,ko,where
710,gelo,whether
40,kîjan,which
243,demek,while
278,spî,white
194,kî,who
348,giştî,whole
776,yê wan,whose
78,çima,why
548,bi ber,wide
964,jin,wife
574,bejî,wild
45,xwestek,will
937,serkeftin,win
330,ba,wind
555,pace,window
804,bask,wing
571,zivistan,winter
633,têlik,wire
567,xwestek,wish
10,bi,with
799,jin,woman
906,jinan,women
378,mûcîze,wonder
752,wê ne,won’t
272,text,wood
20,bêje,word
103,kar,work
95,dinya,world
163,dê,would
162,nivîsîn,write
573,hatiye nivîsîn:,written
989,qelp,wrong
614,nivîsî,wrote
622,hewş,yard
117,sal,year
839,zer,yellow
394,erê,yes
537,hîn,yet
26,hûn,you
305,ciwan,young
156,ya te,your
