number,javanese,english
999,pratelan,claim
329,kelas,class
619,resik,clean
446,cetha,clear
683,menek,climb
831,jam,clock
245,cedhak,close
597,nglambeni,clothe
678,maya,cloud
732,pesisir,coast
931,jas,coat
498,kadhemen,cold
647,ngumpulake,collect
830,koloni,colony
270,werna,color
986,asli,column
180,teka,come
372,umum,common
956,perusahaan,company
812,mbandhingaké,compare
333,lengkap,complete
940,kawontenan,condition
859,nyambung,connect
728,nimbang,consider
667,consonant,consonant
428,ngemot,contain
1000,bawana,continent
950,terus,continue
649,kontrol,control
719,cook,cook
684,kelangan,cool
733,salinan,copy
811,jagung,corn
773,sudhut,corner
421,bener,correct
634,biaya,cost
971,katun,cotton
178,bisa,could
513,count,count
206,negara,country
354,mesthi,course
215,tutup,cover
579,cow,cow
698,crease,crease
805,nggawe,create
768,potong,crop
229,nglintasi,cross
810,akeh,crowd
409,mewek,cry
847,saiki,current
267,motong,cut
868,bapak,dad
544,tari,dance
754,bebaya,danger
410,peteng,dark
177,dina,day
843,mati,dead
960,menehi hasil,deal
882,dear,dear
903,pati,death
361,arep,decide
650,desimal,decimal
363,jero,deep
879,sarjana,degree
816,gumantung,depend
718,njlèntrèhaké,describe
845,ara-ara samun,desert
685,desain,design
973,nemtokake,determine
437,berkembang,develop
669,kamus,dictionary
181,iya,did
609,mati,die
138,beda-beda,differ
763,angel,difficult
319,langsung,direct
921,ngrembag,discuss
395,adoh,distant
532,dibagi,divide
855,divisi,division
41,apa,do
764,dhokter,doctor
51,ora,does
317,asu,dog
921,dollar,dollar
424,wis,done
242,ora,don’t
324,lawang,door
948,pindho,double
196,mudhun,down
238,tarik,draw
938,ngimpi,dream
677,sugih,dress
885,ngombe,drink
426,drive,drive
539,nyelehake,drop
377,garing,dry
876,bebek,duck
456,sak,during
49,saben,each
651,kuping,ear
461,awal,early
99,bumi,earth
284,ease,ease
397,wétan,east
255,mangan,eat
581,pinggiran,edge
789,efek,effect
506,endhog,egg
702,wolung,eight
721,salah siji,either
790,elektrik,electric
770,unsur,element
652,liya,else
60,mburi,end
883,mungsuh,enemy
501,energi,energy
545,engine,engine
301,cukup,enough
834,ketik,enter
639,witjaksono,equal
386,equate,equate
915,utamané,especially
69,malah,even
939,sore,evening
958,acara,event
308,tau,ever
120,saben,every
607,pas,exact
283,tuladha,example
613,kajaba,except
747,nyenengake,excite
563,ngleksanani,exercise
791,nyana,expect
925,pengalaman,experience
688,eksprimen,experiment
222,mripat,eye
271,pasuryan,face
449,kasunyatan,fact
645,padha,fair
407,tiba,fall
318,kulawarga,family
820,misuwur,famous
236,adoh,far
230,farm,farm
467,cepet,fast
863,lemak,fat
100,rama,father
858,sih,favor
823,wedi,fear
941,feed,feed
312,aran,feel
298,kaki,feet
642,ambruk,fell
534,felt,felt
249,sawetara,few
419,lapangan,field
916,anjir,fig
744,perang,fight
415,tokoh,figure
396,isi,fill
432,pungkasan,final
200,nemokake,find
404,nggoleki,fine
741,driji,finger
593,rampung,finish
339,geni,fire
193,pisanan,first
260,iwak,fish
643,pas,fit
458,limang,five
694,flat,flat
720,lantai,floor
644,mili,flow
596,kembang,flower
406,fly,fly
76,tindakake,follow
216,pangan,food
366,mlaku,foot
7,kanggo,for
358,pasukan,force
552,alas,forest
130,wangun,form
922,maju,forward
207,ketemu,found
218,papat,four
551,sekedhik,fraction
440,free,free
836,seger,fresh
257,kanca,friend
17,saka,from
429,ngarep,front
755,woh,fruit
357,lengkap,full
586,fun,fun
384,permainan,game
638,taman,garden
588,gas,gas
980,klumpukne,gather
433,marang,gave
526,umum,general
798,lanang,gentle
106,njaluk,get
303,prawan,girl
123,menehi,give
864,bungah,glad
577,kaca,glass
179,pindhah,go
373,emas,gold
599,ical,gone
121,apik,good
281,tak,got
496,mrentah,govern
535,grand,grand
578,suket,grass
990,werna abu-abu,gray
132,gedhe,great
434,ijo,green
629,tansaya,grew
464,lemah,ground
286,klompok,group
210,tuwuh,grow
801,guess,guess
924,pandhuan,guide
840,gun,gun
28,wis,had
717,rambute,hair
336,setengah,half
64,tangan,hand
332,kelakon,happen
594,seneng,happy
231,hard,hard
174,wis,has
953,kupluk,hat
15,duwe,have
5,piyambakipun,he
201,sirah,head
265,krungu,hear
451,krungu,heard
540,jantung,heart
390,panas,heat
543,heavy,heavy
716,ngawontenaken,held
135,bantuan,help
167,dheweke,her
71,kene,here
74,dhuwur,high
724,gunung,hill
172,wong,him
3,kang,his
788,sajarah,history
771,mejet,hit
462,terus,hold
699,bolongan,hole
62,ngarep,home
595,mugi,hope
266,jaran,horse
19,panas,hot
387,panas,hot
453,jam,hour
87,house,house
46,carane,how
918,ageng,huge
787,manungsa,human
457,atus,hundred
502,goleki,hunt
828,cepet-cepet,hurry
2,aku,i
527,ès,ice
259,idea,idea
44,yen,if
794,mbayangno,imagine
34,ing,in
351,inch,inch
531,kalebu,include
783,nunjukaké,indicate
742,industri,industry
780,serangga,insect
877,cepet,instant
575,instrument,instrument
465,kapentingan,interest
970,makna,invent
691,wesi,iron
24,punika,is
365,pulo,island
25,iku,it
580,proyek,job
617,nggabungake,join
570,bungah,joy
700,mlumpat,jump
129,mung,just
221,tetep,keep
576,katahan,kept
690,tombol,key
657,matèni,kill
84,jenis,kind
349,king,king
344,sumurup,knew
189,ngerti,know
621,lady,lady
659,lake,lake
70,tanah,land
399,basa,language
66,gedhe,large
224,pungkasan,last
240,pungkasan,late
379,ngguyu,laugh
730,hukum,law
482,lay,lay
408,mimpin,lead
213,sinau,learn
610,paling,least
321,ninggalake,leave
929,mimpin,led
239,ngiwa,left
562,wentis,leg
516,dawa,length
474,kurang,less
225,supaya,let
293,huruf,letter
978,tingkat,level
745,ngapusi,lie
248,urip,life
848,angkat,lift
83,cahya,light
164,kaya,like
137,baris,line
894,cairan,liquid
310,dhaftar,list
470,ngrungokake,listen
113,sethitik,little
109,manggon,live
777,nemokake,locate
895,log,log
561,lone,lone
168,dawa,long
175,katon,look
635,ilang,lost
687,kathah,lot
662,sora,loud
487,tresna,love
136,kurang,low
411,machine,machine
108,digawe,made
909,magnet,magnet
273,utama,main
835,utama,major
169,nggawe,make
116,wong,man
159,akeh,many
493,peta,map
291,tandha,mark
878,pasar,market
932,massa,mass
851,master,master
913,match,match
550,materi,material
528,prakara,matter
195,bisa,may
122,kula,me
142,tegese,mean
896,temenan,meant
323,ngukur,measure
817,meat,meat
704,ketemu,meet
601,melodi,melody
80,wong,men
709,logam,metal
672,cara,method
656,tengah,middle
233,bisa uga,might
295,mil,mile
670,susu,milk
591,yuta,million
444,atine,mind
832,mine,mine
441,menit,minute
388,miss,miss
631,nyampur,mix
769,modern,modern
987,molekul,molecule
660,wayahe,moment
489,dhuwit,money
590,sasi,month
364,rembulan,moon
176,liyane,more
475,esuk,morning
185,paling,most
94,ibune,mother
892,gerakan,motion
566,gunung,mount
261,gunung,mountain
606,tutuk,mouth
144,pamindhahan,move
141,akeh,much
352,multiply,multiply
288,music,music
72,kudu,must
187,sandi,my
126,jeneng,name
668,bangsa,nation
748,alam,natural
889,alam,nature
96,cedhak,near
802,perlu,necessary
900,gulu,neck
86,kudu,need
806,pepadhamu,neighbor
223,tau,never
102,anyar,new
277,sabanjure,next
246,wengi,night
975,sangang,nine
184,ora,no
977,gangguan,noise
767,noon,noon
947,utawa,nor
250,lor,north
996,irung,nose
412,cathetan,note
353,boten,nothing
499,kabar,notice
418,tembung,noun
199,saiki,now
182,nomer,number
328,angka,numeral
360,obyek,object
664,mirsani,observe
886,kedaden,occur
438,segara,ocean
30,saka,of
85,mati,off
873,nawarake,offer
603,kantor,office
292,asring,often
435,oh,oh
626,lenga,oil
147,lawas,old
8,ing,on
263,sapisan,once
14,siji,one
114,mung,only
274,mbukak,open
760,operate,operate
963,ngelawan,opposite
27,utawa,or
338,supaya,order
673,organ,organ
865,asli,original
38,liyane,other
124,kita,our
37,metu,out
188,liwat,over
203,dhewe,own
901,oksigen,oxygen
204,kaca,page
398,paint,paint
530,pasangan,pair
285,kertas,paper
713,paragraf,paragraph
853,tiyang sepah,parent
104,part,part
959,tartamtu,particular
774,katelu,party
345,pass,pass
584,kepungkur,past
893,path,path
484,pola,pattern
674,mbayar,pay
186,wong,people
510,mbok menawa,perhaps
782,periode,period
488,wong,person
734,tembung,phrase
511,pick,pick
88,gambar,picture
342,piece,piece
930,jarak,pitch
107,panggonan,place
302,kosong,plain
414,rencana,plan
375,bidang,plane
827,planet,planet
214,tanduran,plant
58,muter,play
765,please,please
997,jamak,plural
813,geguritan,poem
93,titik,point
686,miskin,poor
880,populate,populate
65,port,port
320,nuduhke,pose
546,posisi,position
374,bisa,possible
860,post,post
423,pound,pound
402,daya,power
761,laku,practice
994,nyiapake,prepare
542,saiki,present
244,penet,press
904,cantik,pretty
842,print,print
503,kemungkinan,probable
341,masalah,problem
759,proses,process
448,gawé,produce
325,produk,product
871,suwene,proper
985,property,property
766,nglindhungi,protect
560,mbuktekaken,prove
795,nyedhiyani,provide
497,narik,pull
711,push,push
61,sijine,put
974,quart,quart
331,pitakonan,question
436,cepet,quick
680,sepi,quiet
653,cukup,quite
897,quotient,quotient
554,lomba,race
784,radio,radio
793,ril,rail
494,udan,rain
707,mundhakaken,raise
382,mlayu,ran
890,sawetara,range
809,mandan,rather
466,tekan,reach
63,maca,read
306,siap,ready
247,nyata,real
515,alesan,reason
604,nampa,receive
370,rekaman,record
309,abang,red
520,wilayah,region
459,elinga,remember
991,baleni,repeat
884,reply,reply
517,makili,represent
992,mbutuhake,require
420,liyane,rest
722,asil,result
756,sugih,rich
507,kulo,ride
145,tengen,right
778,ring,ring
623,munggah,rise
296,kali,river
492,dalan,road
337,watu,rock
739,muter,roll
256,kamar,room
705,oyod,root
935,tali,rope
840,wungu,rose
115,babak,round
605,saurutan,row
818,samubarang kang angel,rub
495,aturan,rule
241,roto,run
725,aman,safe
47,ngandika,said
549,sail,sail
995,uyah,salt
149,padha,same
737,wedhi,sand
572,agangan,sat
648,nyimpen,save
235,saw,saw
134,ngomong,say
661,ukuran,scale
209,sekolah,school
254,ilmu,science
926,skor,score
237,segara,sea
837,search,search
907,mangsa,season
949,jog,seat
300,kapindho,second
676,bagean,section
171,ndeleng,see
615,winih,seed
275,koyone,seem
874,babagan,segment
988,pilih,select
98,poto,self
954,ngedol,sell
838,ngirim,send
750,raos,sense
640,dikirim,sent
131,ukara,sentence
762,kapisah,separate
490,ngawula,serve
52,pesawat,set
523,dumunung,settle
712,pitung,seven
478,sawetara,several
715,badhe,shall
385,wangun,shape
866,nuduhake,share
803,cetha,sharp
150,dheweke,she
856,sheet,sheet
899,nihan,shell
984,jenenge sing kawentar,shine
334,kapal,ship
965,spatu,shoe
981,toko,shop
854,shore,shore
327,short,short
205,ngirim,should
966,pundhak,shoulder
612,bengok,shout
119,gambar,show
197,sisih,side
284,ngarsane,sight
582,tandha,sign
735,bisu,silent
910,salaka,silver
923,padha,similar
477,prasaja,simple
346,wiwit,since
469,sing,sing
692,single,single
919,adhine,sister
553,njagong,sit
471,enem,six
521,ukuran,size
905,skill sing,skill
696,kulit,skin
568,langit,sky
875,budhak,slave
559,turu,sleep
936,mlebukake,slip
485,alon,slow
59,cilik,small
945,mambu,smell
697,eseman,smile
391,salju,snow
165,supaya,so
585,alus,soft
738,lemah,soil
758,prajurit,soldier
908,solusi,solution
708,ngatasi,solve
23,sawetara,some
658,son,son
322,song,song
315,rauh,soon
183,muni,sound
340,kidul,south
450,papan,space
524,nganggo,speak
443,khusus,special
888,wicara,speech
671,kacepetan,speed
67,nulis,spell
861,nglampahi,spend
785,ngandika,spoke
844,titik,spot
967,panyebaran,spread
663,spring,spring
514,kothak,square
202,ngadeg,stand
416,lintang,star
232,wiwitan,start
220,negara,state
867,stasiun,station
355,tetep,stay
376,nggentosi,stead
891,uap,steam
920,baja,steel
460,langkah,step
693,kelet,stick
212,isih,still
681,watu,stone
427,jumeneng,stood
262,mungkasi,stop
556,nyimpen,store
234,crita,story
666,sakcara,straight
598,aneh,strange
822,stream,stream
350,werna,street
982,babagan,stretch
814,senar,string
442,kuwat,strong
772,mahasiswa,student
211,sinau,study
519,subyek,subject
857,inti,substance
957,nyuda,subtract
955,sukses,success
75,kayata,such
512,dadakan,sudden
914,seselan,suffix
902,gula,sugar
618,suggest,suggest
846,miturut,suit
557,panas,summer
217,srengenge,sun
775,sumber,supply
887,support,support
268,manawa,sure
362,lumahing,surface
679,surprise,surprise
961,nglangi,swim
533,syllable,syllable
608,simbol,symbol
367,sistem,system
472,tabel,table
447,buntut,tail
105,njupuk,take
313,dhiskusi,talk
736,dhuwur,tall
430,mulang,teach
632,tim,team
898,untu,teeth
50,ngomong,tell
740,suhu,temperature
476,sepuluh,ten
962,term,term
369,test,test
191,saka,than
911,thank,thank
4,sing,that
29,ing,the
42,sing,their
161,wong,them
160,banjur,then
152,ana,there
166,iki,these
11,padha,they
757,nglukis,thick
825,lancip,thin
170,bab,thing
133,mikir,think
714,katelu,third
16,iki,this
289,sing,those
311,sanadyan,though
226,panginten,thought
380,ewu,thousand
53,telung,three
128,liwat,through
983,uncalan,throw
797,mangkono,thus
833,dasi,tie
43,wektu,time
682,cilik,tiny
392,ban,tire
31,kanggo,to
276,bebarengan,together
343,marang,told
616,nada,tone
148,banget,too
253,njupuk,took
942,alat,tool
347,ndhuwur,top
943,gunggung,total
628,demek,touch
480,menyang,toward
403,kutha,town
852,trek,track
600,perdagangan,trade
558,sepur,train
473,travel,travel
228,wit,tree
826,triangle,triangle
602,trip,trip
611,alangan,trouble
976,truk,truck
455,bener,true
89,nyoba,try
819,tabung,tube
139,siji,turn
695,puluh,twenty
173,loro,two
729,tipe,type
125,ing,under
401,unit,unit
294,nganti,until
154,munggah,up
90,kita,us
155,nggunakake,use
304,biasanipun,usual
946,lembah,valley
743,nilai,value
522,beda-beda,vary
468,kriyo,verb
127,banget,very
749,tampilan,view
703,desa,village
583,riko,visit
500,swara,voice
479,aksara,vowel
413,ngenteni,wait
282,lumaku,walk
564,tembok,wall
54,pengin,want
481,perang,war
439,anget,warm
6,ana,was
807,wisuh,wash
269,nonton,watch
190,banyu,water
538,gelombang,wave
157,cara,way
35,kita,we
637,nyandhang,wear
589,cuaca,weather
431,minggu,week
525,bobot,weight
56,uga,well
82,tindak,went
39,padha,were
463,kulon,west
22,apa,what
356,setir,wheel
153,nalika,when
110,ngendi,where
710,apa,whether
40,kang,which
243,nalika,while
278,putih,white
194,sing,who
348,kabèh,whole
776,kang,whose
78,kok,why
548,sudhut,wide
964,bojo,wife
574,alam bébas,wild
45,bakal,will
937,menang,win
330,angin,wind
555,jendhela,window
804,swiwi,wing
571,mangsa,winter
633,kabel,wire
567,pengin,wish
10,karo,with
799,wadon,woman
906,wanita,women
378,wonder,wonder
752,bakal ora,won’t
272,kayu,wood
20,tembung,word
103,karya,work
95,donya,world
163,ngatur,would
162,nulis,write
573,ditulis,written
989,salah,wrong
614,wrote,wrote
622,yard,yard
117,taun,year
839,kuning,yellow
394,ya,yes
537,durung,yet
26,sampeyan,you
305,enom,young
156,panjenengan,your
