number,mongolian,english
432,эцсийн,final
200,олох,find
404,нарийн,fine
741,хуруу,finger
593,барианы,finish
339,гал түймэр,fire
193,эхний,first
260,загас,fish
643,таарах,fit
458,таван,five
694,хавтгай,flat
720,шал,floor
644,урсгал,flow
596,цэцэг,flower
406,ялаа,fly
76,дагах,follow
216,хоол хүнс,food
366,хөл,foot
7,нь,for
358,хүч,force
552,ой,forest
130,хэлбэр,form
922,урагш,forward
207,олдлоо,found
218,дөрвөн,four
551,хэсэг,fraction
440,чөлөөт,free
836,шинэ,fresh
257,найз нь,friend
17,нь,from
429,нүүр,front
755,жимс,fruit
357,бүрэн,full
586,хөгжилтэй,fun
384,тоглоом,game
638,цэцэрлэг,garden
588,хий,gas
980,цуглуулах,gather
433,өгсөн,gave
526,ерөнхий,general
798,зөөлөн,gentle
106,авах,get
303,охин,girl
123,өгөх,give
864,баяртай,glad
577,шилэн,glass
179,явах,go
373,алт,gold
599,илааршсан,gone
121,сайн,good
281,авсан,got
496,удирдах,govern
535,их,grand
578,өвс,grass
990,саарал,gray
132,агуу их,great
434,ногоон,green
629,өссөн,grew
464,газрын,ground
286,бүлэг,group
210,ургадаг,grow
801,таах,guess
924,чиглүүлэх,guide
840,буу,gun
28,байсан,had
717,үс,hair
336,тэн хагас нь,half
64,гар,hand
332,болох,happen
594,аз жаргалтай,happy
231,хатуу,hard
174,байна,has
953,малгай,hat
15,байна,have
5,тэр,he
201,дарга,head
265,сонсооч,hear
451,сонслоо,heard
540,зүрхний,heart
390,дулаан,heat
543,хүнд,heavy
716,зохион байгуулав,held
135,туслах,help
167,түүнийг,her
71,энд,here
74,өндөр,high
724,толгой,hill
172,түүнийг,him
3,өөрийн,his
788,түүх,history
771,хит,hit
462,барих,hold
699,нүх,hole
62,нүүр хуудас,home
595,гэдэгт найдаж байна,hope
266,морь,horse
19,халуун,hot
387,халуун,hot
453,цаг,hour
87,байшин,house
46,хэрхэн,how
918,асар их,huge
787,хүний,human
457,зуун,hundred
502,ан,hunt
828,яарах,hurry
2,би,i
527,мөс,ice
259,санаа,idea
44,хэрэв,if
794,төсөөлж,imagine
34,нь,in
351,инчийн,inch
531,оруулах,include
783,харуулж байна,indicate
742,аж үйлдвэрийн,industry
780,шавьж,insect
877,шуурхай,instant
575,арга хэрэгсэл,instrument
465,хүү,interest
970,зохион бүтээх,invent
691,төмрийн,iron
24,нь,is
365,арал,island
25,энэ нь,it
580,ажил,job
617,нэгдэхийг,join
570,баяр хөөр,joy
700,үсрэх,jump
129,зүгээр л,just
221,байлгах,keep
576,хадгалах,kept
690,гол,key
657,алах,kill
84,төрөл,kind
349,хаан,king
344,мэдэж байсан,knew
189,мэдэх,know
621,эмэгтэй,lady
659,нүүр,lake
70,газар,land
399,хэл,language
66,их хэмжээний,large
224,өнгөрсөн,last
240,сүүлээр,late
379,инээд,laugh
730,хууль,law
482,тавих,lay
408,хүргэдэг,lead
213,сурах,learn
610,наад зах нь,least
321,орхих,leave
929,удирдуулсан,led
239,зүүн,left
562,хөлөө,leg
516,урт,length
474,бага,less
225,зөвшөөрөх,let
293,бичиг,letter
978,түвшин,level
745,худал,lie
248,амьдрал,life
848,өргөгч,lift
83,гэрэл,light
164,шиг,like
137,мөр нь,line
894,шингэн,liquid
310,жагсаалт,list
470,сонсох,listen
113,бага,little
109,амьдарч байна,live
777,олох,locate
895,гуалин,log
561,цорын ганц,lone
168,урт,long
175,харах,look
635,алдагдсан,lost
687,маш их,lot
662,чанга,loud
487,хайр,love
136,бага,low
411,машин,machine
108,хийсэн,made
909,соронз,magnet
273,үндсэн,main
835,гол,major
169,хийх,make
116,хүн,man
159,олон,many
493,газрын зураг,map
291,тэмдэг,mark
878,зах зээлийн,market
932,олон нийтийн,mass
851,мастер,master
913,хүсч байгаа эд зүйлс,match
550,материал,material
528,асуудал,matter
195,болох,may
122,намайг,me
142,гэсэн үг,mean
896,гэсэн үг,meant
323,хэмжих,measure
817,мах,meat
704,хангасан,meet
601,аялгуу,melody
80,эрэгтэй,men
709,металл,metal
672,арга,method
656,дунд,middle
233,байж болох юм,might
295,милийн,mile
670,сүү,milk
591,сая,million
444,оюун ухаан,mind
832,уул уурхайн,mine
441,минут,minute
388,өнгөрөөх,miss
631,холино,mix
769,орчин үеийн,modern
987,молекул,molecule
660,мөч,moment
489,мөнгө,money
590,сарын,month
364,сар,moon
176,дэлгэрэнгүй,more
475,өглөө,morning
185,хамгийн их,most
94,ээж нь,mother
892,хөдөлгөөн,motion
566,холбох,mount
261,уулын,mountain
606,агшин,mouth
144,алхам,move
141,маш их,much
352,үржүүлэх,multiply
288,дуу хөгжим,music
72,байх ёстой,must
187,миний,my
126,нэр,name
668,улс орон,nation
748,байгалийн,natural
889,мөн чанар,nature
96,ойролцоо,near
802,шаардлагатай,necessary
900,хүзүү,neck
86,хэрэгтэй,need
806,хөрш,neighbor
223,хэзээ ч,never
102,шинэ,new
277,дараагийн,next
246,шөнө,night
975,есөн,nine
184,ямар ч,no
977,дуу чимээ,noise
767,үд,noon
947,ч,nor
250,хойд,north
996,хамар,nose
412,тэмдэглэл,note
353,юу ч биш,nothing
499,мэдээлэл,notice
418,нэр үг,noun
199,яг одоо,now
182,тоо,number
328,тооны нэр,numeral
360,объект,object
664,ажиглах,observe
886,тохиолддог,occur
438,далай,ocean
30,-ийн,of
85,унтраах,off
873,санал болгох,offer
603,оффис,office
292,нь ихэвчлэн,often
435,өө,oh
626,газрын тос,oil
147,хуучин,old
8,дээр,on
263,нэг удаа,once
14,нэг,one
114,нь зөвхөн,only
274,нээлттэй,open
760,үйл ажиллагаа явуулах,operate
963,эсрэг,opposite
27,буюу,or
338,зэрэг,order
673,байгууллага,organ
865,эх,original
38,бусад,other
124,манай,our
37,гарах,out
188,дээр,over
203,өөрийн,own
901,хүчилтөрөгчийн,oxygen
204,хуудас,page
398,будаг,paint
530,хос,pair
285,цаас,paper
713,догол,paragraph
853,"эцэг, эх",parent
104,хэсэг,part
959,ялангуяа,particular
774,нам,party
345,өнгөрөх,pass
584,өнгөрсөн,past
893,зам,path
484,хэв маяг,pattern
674,төлөх,pay
186,хүн,people
510,магадгүй,perhaps
782,хугацаа,period
488,хүн,person
734,өгүүлбэр,phrase
511,түүх,pick
88,зураг,picture
342,хэсэг,piece
930,давирхай,pitch
107,газар,place
302,энгийн,plain
414,төлөвлөгөө,plan
375,нисэх онгоц,plane
827,гариг,planet
214,ургамал,plant
58,тоглох,play
765,үү,please
997,олон тооны,plural
813,шүлэг,poem
93,цэг,point
686,ядуу,poor
880,нутагшуулах,populate
65,порт,port
320,загвар,pose
546,албан тушаал,position
374,аль болох,possible
860,дараах,post
423,фунт,pound
402,эрчим хүч,power
761,практик,practice
994,бэлтгэх,prepare
542,өнөөгийн,present
244,гэж сонгоод,press
904,нэлээн,pretty
842,хэвлэх,print
503,магадлалтай,probable
341,асуудал,problem
759,үйл явц,process
448,үйлдвэрлэх,produce
325,бүтээгдэхүүн,product
871,зөв,proper
985,үл хөдлөх хөрөнгийн,property
766,"хамгаалах,",protect
560,нотлох,prove
795,өгөх,provide
497,татах,pull
711,түлхэх,push
61,тавих,put
974,quart,quart
331,асуулт,question
436,хурдан,quick
680,нам гүм,quiet
653,яг,quite
897,коэффицентийг,quotient
554,уралдаан,race
784,радио,radio
793,төмөр замын,rail
494,бороо,rain
707,өсөлт,raise
382,гүйж,ran
890,хүрээ,range
809,харин,rather
466,хүрэх,reach
63,уншсан,read
306,бэлэн,ready
247,бодит,real
515,шалтгаан нь,reason
604,хүлээн авах,receive
370,бичлэг,record
309,улаан,red
520,бүс нутаг,region
459,санаж,remember
991,давтан,repeat
884,хариулах,reply
517,төлөөлөх,represent
992,шаардлагатай,require
420,бусад нь,rest
722,үр дүн,result
756,баян,rich
507,явах,ride
145,эрх,right
778,бөгж,ring
623,босох,rise
296,голын,river
492,авто зам,road
337,чулуулгийн,rock
739,өнхрөх,roll
256,өрөө,room
705,эх,root
935,олс,rope
840,өссөн,rose
115,дугуй,round
605,эгнээ,row
818,урэх,rub
495,дүрэм,rule
241,урсгал,run
725,аюулгүй,safe
47,гэж хэлсэн,said
549,онгоцны далбаа,sail
995,давс,salt
149,нэг,same
737,"элс,",sand
572,орохдоо,sat
648,хадгалах,save
235,харсан,saw
134,гэж хэлэх,say
661,хэмжээний,scale
209,сургууль,school
254,шинжлэх ухаан,science
926,оноо,score
237,далайн,sea
837,хайлт,search
907,улирал,season
949,суудал,seat
300,хоёр дахь,second
676,хэсэг,section
171,-г үзнэ үү,see
615,үрийн,seed
275,шиг санагддаг,seem
874,хэсэг,segment
988,гэж сонгоод,select
98,өөрөө,self
954,борлуулах,sell
838,илгээх,send
750,мэдрэмж,sense
640,илгээсэн,sent
131,өгүүлбэр,sentence
762,тус тусад нь,separate
490,үйлчлэх,serve
52,багц,set
523,барагдуулах,settle
712,долоон,seven
478,хэд хэдэн,several
715,болно,shall
385,хэлбэр,shape
866,эзлэх хувь,share
803,хурц,sharp
150,тэр,she
856,хуудас,sheet
899,бүрхүүл,shell
984,гэрэл,shine
334,хөлөг онгоц,ship
965,гутал,shoe
981,дэлгүүр,shop
854,эрэг,shore
327,богино,short
205,байх ёстой,should
966,мөрөн,shoulder
612,орө,shout
119,шоу,show
197,тал,side
284,нүдний хараа,sight
582,тэмдэг,sign
735,чимээгүй,silent
910,мөнгөн,silver
923,ижил төстэй,similar
477,энгийн,simple
346,учир нь,since
469,дуулах,sing
692,нэг,single
919,эгч,sister
553,суух,sit
471,зургаан,six
521,хэмжээ,size
905,ур чадвар,skill
696,арьс,skin
568,тэнгэр,sky
875,боол,slave
559,унтах,sleep
936,хуудас,slip
485,удаан,slow
59,жижиг,small
945,үнэр,smell
697,инээмсэглэл,smile
391,цас,snow
165,тийм,so
585,зөөлөн,soft
738,хөрс,soil
758,цэрэг,soldier
908,үүний шийдэл нь,solution
708,шийдвэрлэх,solve
23,зарим нь,some
658,хүү,son
322,дуу,song
315,удахгүй,soon
183,сонсогдож,sound
340,урд,south
450,орон зай,space
524,үг хэлэх,speak
443,тусгай,special
888,хэл яриа,speech
671,хурд,speed
67,ид шид,spell
861,зарцуулах,spend
785,ярьсан,spoke
844,спот,spot
967,тархах,spread
663,хавар,spring
514,дөрвөлжин,square
202,зогсож,stand
416,од,star
232,эхлэл,start
220,улсын,state
867,газар,station
355,байх,stay
376,үүний оронд,stead
891,уурын,steam
920,ган,steel
460,алхам,step
693,мод,stick
212,хэвээр,still
681,чулуу,stone
427,зогсов,stood
262,зогсоох,stop
556,дэлгүүр,store
234,түүх,story
666,шулуун,straight
598,хачин,strange
822,гол,stream
350,"гудамж,",street
982,сунгах,stretch
814,мөр,string
442,хүчтэй,strong
772,оюутан,student
211,судалгаа,study
519,хичээл,subject
857,бодис,substance
957,хасах,subtract
955,амжилт,success
75,зэрэг,such
512,гэнэт,sudden
914,дагавар,suffix
902,"элсэн чихэр,",sugar
618,санал болгож байна,suggest
846,нэхэмжлэл,suit
557,зуны,summer
217,нар,sun
775,хангамж,supply
887,дэмжлэг үзүүлэх,support
268,байгаа эсэхийг,sure
362,газрын гадаргын,surface
679,гайхуулах,surprise
961,усанд сэлж,swim
533,үет,syllable
608,тэмдэг,symbol
367,систем,system
472,хүснэгт,table
447,сүүл,tail
105,барих,take
313,хэлэлцүүлэг,talk
736,өндөр,tall
430,заах,teach
632,баг,team
898,шүд,teeth
50,хэлэх,tell
740,температур,temperature
476,арван,ten
962,цаг,term
369,туршилтын,test
191,илүү,than
911,талархлын,thank
4,гэж,that
29,олон тоо,the
42,тэдний,their
161,тэднийг,them
160,дараа нь,then
152,энд,there
166,эдгээр,these
11,тэд,they
757,зузаан,thick
825,нимгэн,thin
170,зүйл,thing
133,гэж боддог,think
714,гурав дахь,third
16,энэ нь,this
289,тэдгээр,those
311,хэдийгээр,though
226,гэж бодсон,thought
380,мянган,thousand
53,гурван,three
128,дамжуулан,through
983,хаях,throw
797,ийн,thus
833,зангиа,tie
43,цаг,time
682,жижигхэн,tiny
392,дугуй,tire
31,нь,to
276,хамтдаа,together
343,гэж хэлсэн,told
616,ая,tone
148,мөн,too
253,авч,took
942,арга хэрэгсэл,tool
347,дээд,top
943,нийт,total
628,барих,touch
480,рүү,toward
403,хот,town
852,зам,track
600,гадаад худалдааны,trade
558,галт тэрэг,train
473,аялал жуулчлалын,travel
228,мод,tree
826,гурвалжин,triangle
602,аялал,trip
611,гай,trouble
976,ачааны машин,truck
455,үнэн,true
89,оролдох,try
819,хоолой,tube
139,ээлж,turn
695,хорин,twenty
173,хоёр,two
729,төрөл,type
125,дагуу,under
401,нэгж,unit
294,хүртэл,until
154,дээр,up
90,ану-ын,us
155,ашиглах,use
304,ердийн,usual
946,хөндий,valley
743,үнэ цэнэ,value
522,өөр өөр,vary
468,үйл үг,verb
127,маш их,very
749,харах,view
703,тосгон,village
583,айлчлал,visit
500,дуу хоолой,voice
479,эгшиг,vowel
413,хүлээх,wait
282,алхах,walk
564,ханын,wall
54,хүсэж байна,want
481,дайн,war
439,дулаан,warm
6,байсан,was
807,угаалгын,wash
269,харах,watch
190,ус,water
538,долгионы,wave
157,арга зам,way
35,бид,we
637,өмсөж,wear
589,цаг агаар,weather
431,долоо хоног,week
525,жин,weight
56,сайн,well
82,явав,went
39,байсан,were
463,баруун тийш,west
22,ямар,what
356,дугуй,wheel
153,үед,when
110,хаана,where
710,эсэх,whether
40,нь,which
243,харин,while
278,цагаан,white
194,хүн,who
348,бүхэлд нь,whole
776,нь,whose
78,яагаад,why
548,өргөн,wide
964,эхнэр,wife
574,зэрлэг,wild
45,нь,will
937,хожил,win
330,салхины,wind
555,цонх,window
804,жигүүр,wing
571,өвөл,winter
633,утас,wire
567,хүсвэл,wish
10,нь,with
799,эмэгтэй,woman
906,эмэгтэйчүүд,women
378,гайхдаг,wonder
752,тийм юм байхгүй,won’t
272,мод,wood
20,үг,word
103,ажил,work
95,дэлхийн,world
163,тэр нь,would
162,бичих,write
573,бичсэн,written
989,буруу,wrong
614,бичсэн,wrote
622,талбай,yard
117,жил,year
839,шар,yellow
394,хэрэв тийм бол,yes
537,одоогоор,yet
26,хэрэв та,you
305,залуу,young
156,таны,your
