number,telugu,english
929,దారితీసింది,led
239,ఎడమ,left
562,లెగ్,leg
516,పొడవు,length
474,తక్కువ,less
225,వీలు,let
293,లేఖ,letter
978,స్థాయి,level
745,అబద్ధం,lie
248,జీవితం,life
848,లిఫ్ట్,lift
83,కాంతి,light
164,వంటి,like
137,లైన్,line
894,ద్రవ,liquid
310,జాబితా,list
470,వినండి,listen
113,చిన్న,little
109,నివసిస్తున్నారు,live
777,గుర్తించడం,locate
895,లాగిన్,log
561,ఒంటరి,lone
168,దీర్ఘ,long
175,చూడండి,look
635,కోల్పోయింది,lost
687,చాలా,lot
662,బిగ్గరగా,loud
487,ప్రేమ,love
136,తక్కువ,low
411,యంత్రం,machine
108,తయారు,made
909,అయస్కాంతం,magnet
273,ప్రధాన,main
835,ప్రధాన,major
169,తయారు,make
116,మనిషి,man
159,అనేక,many
493,మాప్,map
291,మార్క్,mark
878,మార్కెట్,market
932,మాస్,mass
851,మాస్టర్,master
913,మ్యాచ్,match
550,పదార్థం,material
528,విషయం,matter
195,మే,may
122,నాకు,me
142,అర్థం,mean
896,అర్థం,meant
323,కొలవటానికి,measure
817,మాంసం,meat
704,మీట్,meet
601,శ్రావ్యత,melody
80,పురుషులు,men
709,మెటల్,metal
672,పద్ధతి,method
656,మధ్య,middle
233,వాటిని,might
295,మైలు,mile
670,పాలు,milk
591,మిలియన్,million
444,మనసు,mind
832,మైన్,mine
441,నిమిషం,minute
388,మిస్,miss
631,కలపాలి,mix
769,ఆధునిక,modern
987,అణువు,molecule
660,క్షణం,moment
489,డబ్బు,money
590,నెల,month
364,చంద్రుడు,moon
176,మరింత,more
475,ఉదయం,morning
185,అత్యంత,most
94,తల్లి,mother
892,చలన,motion
566,మౌంట్,mount
261,పర్వతము,mountain
606,నోరు,mouth
144,తరలింపు,move
141,చాలా,much
352,గుణిస్తారు,multiply
288,సంగీతం,music
72,తప్పక,must
187,నా,my
126,పేరు,name
668,దేశం,nation
748,సహజ,natural
889,ప్రకృతి,nature
96,సమీపంలో,near
802,అవసరం,necessary
900,మెడ,neck
86,అవసరం,need
806,పొరుగు,neighbor
223,ఎప్పుడూ,never
102,కొత్త,new
277,తదుపరి,next
246,రాత్రి,night
975,తొమ్మిది,nine
184,ఏ,no
977,శబ్దం,noise
767,మధ్యాహ్నం,noon
947,లేదా,nor
250,ఉత్తర,north
996,ముక్కు,nose
412,గమనిక,note
353,ఏమీ,nothing
499,నోటీసు,notice
418,నామవాచకం,noun
199,ఇప్పుడు,now
182,సంఖ్య,number
328,సంఖ్యా,numeral
360,వస్తువు,object
664,గమనించి,observe
886,సంభవించవచ్చు,occur
438,సముద్ర,ocean
30,యొక్క,of
85,ఆఫ్,off
873,ఆఫర్,offer
603,కార్యాలయం,office
292,తరచుగా,often
435,ఓహ్,oh
626,చమురు,oil
147,పాత,old
8,న,on
263,ఒకసారి,once
14,ఒకటి,one
114,మాత్రమే,only
274,ఓపెన్,open
760,పనిచేస్తాయి,operate
963,వ్యతిరేక,opposite
27,లేదా,or
338,ఆర్డర్,order
673,అవయవ,organ
865,అసలు,original
38,ఇతర,other
124,మా,our
37,అవుట్,out
188,పైగా,over
203,సొంత,own
901,ఆక్సిజన్,oxygen
204,పేజీ,page
398,పెయింట్,paint
530,జత,pair
285,కాగితం,paper
713,పేరా,paragraph
853,పేరెంట్,parent
104,భాగం,part
959,ప్రత్యేక,particular
774,పార్టీ,party
345,పాస్,pass
584,గత,past
893,మార్గం,path
484,నమూనా,pattern
674,చెల్లించటానికి,pay
186,ప్రజలు,people
510,బహుశా,perhaps
782,కాలం,period
488,వ్యక్తి,person
734,పదబంధం,phrase
511,ఎంచుకోండి,pick
88,చిత్రాన్ని,picture
342,ముక్క,piece
930,పిచ్,pitch
107,స్థలం,place
302,సాదా,plain
414,ప్రణాళిక,plan
375,విమానం,plane
827,గ్రహం,planet
214,మొక్క,plant
58,ప్లే,play
765,దయచేసి,please
997,బహువచనం,plural
813,పద్యం,poem
93,పాయింట్,point
686,పేద,poor
880,జనసాంద్రత,populate
65,పోర్ట్,port
320,భంగిమలో,pose
546,స్థానం,position
374,సాధ్యం,possible
860,పోస్ట్,post
423,పౌండ్,pound
402,శక్తి,power
761,ఆచరణలో,practice
994,సిద్ధం,prepare
542,ప్రస్తుతం,present
244,పత్రికా,press
904,అందంగా,pretty
842,ముద్రణ,print
503,మూడింటిని,probable
341,సమస్య,problem
759,ప్రక్రియ,process
448,ఉత్పత్తి,produce
325,ఉత్పత్తి,product
871,సరైన,proper
985,ఆస్తి,property
766,రక్షించేందుకు,protect
560,రుజువు,prove
795,అందించేందుకు,provide
497,పుల్,pull
711,పుష్,push
61,చాలు,put
974,కొలత గల పాత్ర,quart
331,ప్రశ్న,question
436,శీఘ్ర,quick
680,నిశ్శబ్ద,quiet
653,చాలా,quite
897,కోశంట్,quotient
554,రేసు,race
784,రేడియో,radio
793,రైలు,rail
494,వర్షం,rain
707,పెంచడానికి,raise
382,నడిచింది,ran
890,పరిధి,range
809,కాకుండా,rather
466,చేరుకోవడానికి,reach
63,చదవడానికి,read
306,సిద్ధంగా,ready
247,నిజ,real
515,కారణం,reason
604,అందుకుంటారు,receive
370,రికార్డు,record
309,ఎరుపు,red
520,ప్రాంతం,region
459,గుర్తు,remember
991,రిపీట్,repeat
884,ప్రత్యుత్తరం,reply
517,య,represent
992,అవసరం,require
420,మిగిలిన,rest
722,ఫలితంగా,result
756,రిచ్,rich
507,రైడ్,ride
145,కుడి,right
778,రింగ్,ring
623,పెరగడం,rise
296,నది,river
492,రోడ్డు,road
337,రాక్,rock
739,రోల్,roll
256,గది,room
705,రూట్,root
935,తాడు,rope
840,గులాబీ,rose
115,రౌండ్,round
605,వరుసగా,row
818,రబ్,rub
495,పాలన,rule
241,రన్,run
725,సురక్షితంగా,safe
47,అన్నాడు,said
549,ప్రయాణమయ్యారు,sail
995,ఉప్పు,salt
149,అదే,same
737,ఇసుక,sand
572,శని,sat
648,సేవ్,save
235,రంపపు,saw
134,సే,say
661,స్థాయి,scale
209,పాఠశాల,school
254,సైన్స్,science
926,స్కోరు,score
237,సముద్ర,sea
837,శోధన,search
907,సీజన్,season
949,సీటు,seat
300,రెండవ,second
676,విభాగం,section
171,చూడండి,see
615,విత్తనం,seed
275,అనిపించవచ్చు,seem
874,సెగ్మెంట్,segment
988,ఎంచుకోండి,select
98,స్వీయ,self
954,అమ్మే,sell
838,పంపండి,send
750,భావం,sense
640,పంపిన,sent
131,వాక్యం,sentence
762,ప్రత్యేక,separate
490,సర్వ్,serve
52,సెట్,set
523,స్థిరపడేందుకు,settle
712,ఏడు,seven
478,అనేక,several
715,వలెను,shall
385,ఆకారం,shape
866,వాటా,share
803,పదునైన,sharp
150,ఆమె,she
856,షీట్,sheet
899,షెల్,shell
984,బాగా చేయు,shine
334,ఓడ,ship
965,షూ,shoe
981,షాప్,shop
854,తీరం,shore
327,చిన్న,short
205,తప్పక,should
966,భుజం,shoulder
612,అరవడం,shout
119,షో,show
197,వైపు,side
284,దృష్టి,sight
582,సైన్,sign
735,నిశ్శబ్ద,silent
910,వెండి,silver
923,ఇదే,similar
477,సాధారణ,simple
346,నుండి,since
469,పాడే,sing
692,ఒకే,single
919,సోదరి,sister
553,కూర్చుని,sit
471,ఆరు,six
521,పరిమాణం,size
905,నైపుణ్యం,skill
696,చర్మం,skin
568,ఆకాశంలో,sky
875,బానిస,slave
559,నిద్ర,sleep
936,స్లిప్,slip
485,నెమ్మదిగా,slow
59,చిన్న,small
945,వాసన,smell
697,చిరునవ్వు,smile
391,మంచు,snow
165,కాబట్టి,so
585,సాఫ్ట్,soft
738,మట్టి,soil
758,సైనికుడు,soldier
908,పరిష్కారం,solution
708,పరిష్కరించడానికి,solve
23,కొన్ని,some
658,కుమారుడు,son
322,పాట,song
315,త్వరలో,soon
183,శబ్దము,sound
340,దక్షిణ,south
450,స్పేస్,space
524,మాట్లాడటం,speak
443,ప్రత్యేక,special
888,ప్రసంగం,speech
671,వేగం,speed
67,అక్షరక్రమ,spell
861,ఖర్చు,spend
785,మాట్లాడారు,spoke
844,స్పాట్,spot
967,స్ప్రెడ్,spread
663,వసంత,spring
514,చదరపు,square
202,స్టాండ్,stand
416,స్టార్,star
232,ప్రారంభం,start
220,రాష్ట్ర,state
867,స్టేషన్,station
355,ఉండడానికి,stay
376,మారుగా,stead
891,ఆవిరి,steam
920,స్టీల్,steel
460,అడుగు,step
693,స్టిక్,stick
212,ఇప్పటికీ,still
681,రాయి,stone
427,నిలిచి,stood
262,ఆపడానికి,stop
556,స్టోర్,store
234,కథ,story
666,నేరుగా,straight
598,వింత,strange
822,స్ట్రీమ్,stream
350,వీధి,street
982,సాగిన,stretch
814,స్ట్రింగ్,string
442,బలమైన,strong
772,విద్యార్థి,student
211,అధ్యయనం,study
519,విషయం,subject
857,పదార్ధం,substance
957,వ్యవకలనం,subtract
955,విజయం,success
75,ఇటువంటి,such
512,ఆకస్మిక,sudden
914,ప్రత్యయం,suffix
902,చక్కెర,sugar
618,సూచిస్తున్నాయి,suggest
846,దావా,suit
557,వేసవి,summer
217,సూర్యుడు,sun
775,సరఫరా,supply
887,మద్దతు,support
268,ఖచ్చితంగా,sure
362,ఉపరితల,surface
679,ఆశ్చర్యం,surprise
961,ఈత,swim
533,అక్షరం,syllable
608,చిహ్నం,symbol
367,వ్యవస్థ,system
472,పట్టిక,table
447,తోక,tail
105,పడుతుంది,take
313,చర్చ,talk
736,పొడవైన,tall
430,బోధించడానికి,teach
632,జట్టు,team
898,పళ్ళు,teeth
50,చెప్పండి,tell
740,ఉష్ణోగ్రత,temperature
476,పది,ten
962,పదం,term
369,పరీక్ష,test
191,కంటే,than
911,ధన్యవాదాలు,thank
4,ఆ,that
29,ది,the
42,వారి,their
161,వాటిని,them
160,అప్పుడు,then
152,అక్కడ,there
166,ఈ,these
11,వారు,they
757,మందపాటి,thick
825,సన్నని,thin
170,విషయం,thing
133,అనుకుంటున్నాను,think
714,మూడో,third
16,ఈ,this
289,ఆ,those
311,అయితే,though
226,ఆలోచన,thought
380,వేల,thousand
53,మూడు,three
128,ద్వారా,through
983,త్రో,throw
797,అందువలన,thus
833,టై,tie
43,సమయం,time
682,చిన్న,tiny
392,టైర్,tire
31,కు,to
276,కలిసి,together
343,చెప్పారు,told
616,టోన్,tone
148,చాలా,too
253,పట్టింది,took
942,సాధనం,tool
347,టాప్,top
943,మొత్తం,total
628,టచ్,touch
480,వైపు,toward
403,పట్టణం,town
852,ట్రాక్,track
600,వాణిజ్య,trade
558,రైలు,train
473,ప్రయాణ,travel
228,చెట్టు,tree
826,త్రిభుజం,triangle
602,యాత్ర,trip
611,ఇబ్బంది,trouble
976,ట్రక్,truck
455,నిజమైన,true
89,ప్రయత్నించండి,try
819,ట్యూబ్,tube
139,మలుపు,turn
695,ఇరవై,twenty
173,రెండు,two
729,రకం,type
125,కింద,under
401,యూనిట్,unit
294,వరకు,until
154,అప్,up
90,మాకు,us
155,ఉపయోగం,use
304,సాధారణ,usual
946,లోయలో,valley
743,విలువ,value
522,మారుతుంటాయి,vary
468,క్రియ,verb
127,చాలా,very
749,వీక్షణ,view
703,గ్రామం,village
583,పర్యటన,visit
500,వాయిస్,voice
479,అచ్చు,vowel
413,వేచి,wait
282,నడిచి,walk
564,గోడ,wall
54,కావలసిన,want
481,యుద్ధం,war
439,వెచ్చని,warm
6,ఉంది,was
807,వాష్,wash
269,చూడటానికి,watch
190,నీటి,water
538,అల,wave
157,మార్గం,way
35,మేము,we
637,ధరిస్తారు,wear
589,వాతావరణ,weather
431,వారం,week
525,బరువు,weight
56,బాగా,well
82,వెళ్ళింది,went
39,ఉన్నాయి,were
463,పశ్చిమ,west
22,ఏమి,what
356,చక్రం,wheel
153,ఉన్నప్పుడు,when
110,పేరు,where
710,లేదో,whether
40,ఇది,which
243,అయితే,while
278,తెలుపు,white
194,ఎవరు,who
348,మొత్తం,whole
776,దీని,whose
78,ఎందుకు,why
548,విస్తృత,wide
964,భార్య,wife
574,అడవి,wild
45,రెడీ,will
937,విజయం,win
330,గాలి,wind
555,విండో,window
804,వింగ్,wing
571,శీతాకాలంలో,winter
633,వైర్,wire
567,అనుకుంటున్నారా,wish
10,తో,with
799,మహిళ,woman
906,మహిళలు,women
378,ఆశ్చర్యానికి,wonder
752,రెడీ,won’t
272,చెక్క,wood
20,పదం,word
103,పని,work
95,ప్రపంచ,world
163,చేస్తాను,would
162,రాయడానికి,write
573,రాసిన,written
989,తప్పు,wrong
614,వ్రాసారు,wrote
622,యార్డ్,yard
117,సంవత్సరం,year
839,పసుపు,yellow
394,అవును,yes
537,ఇంకా,yet
26,మీరు,you
305,యువ,young
156,మీ,your
