number,corsican,english
876,anatra,duck
456,duranti,during
49,ognunu,each
651,arechja,ear
461,principiu,early
99,terra,earth
284,cappella,ease
397,este,east
255,mangiare,eat
581,arice,edge
789,effettu,effect
506,ovu,egg
702,ottu,eight
721,manifisteghja,either
790,ilettricu,electric
770,elimentu,element
652,altru,else
60,fini,end
883,nimicu,enemy
501,enirgia,energy
545,search engine,engine
301,bastassi,enough
834,inserisce,enter
639,paru,equal
386,equate,equate
915,soprattuttu,especially
69,mancu,even
939,sera,evening
958,eventu,event
308,eternu,ever
120,ogni,every
607,esattu,exact
283,esempiu,example
613,francu,except
747,passiuneghjani,excite
563,teacher,exercise
791,m’aspettu,expect
925,espirienza,experience
688,sperimentu,experiment
222,ochju,eye
271,faccia,face
449,difatti,fact
645,feri,fair
407,innamurà,fall
318,a famiglia,family
820,cèlibbri,famous
236,luntanu,far
230,agricula,farm
467,viloci,fast
863,grassu,fat
100,babbu,father
858,pusitivamenti,favor
823,titre,fear
941,alimenti,feed
312,sentimu,feel
298,pedi,feet
642,cadiu,fell
534,si ’ntisi,felt
249,qualchi,few
419,chjosu,field
916,fico,fig
744,cummattimentu,fight
415,figura,figure
396,ne scurdà,fill
432,finali,final
200,truvà,find
404,a grana,fine
741,iditu,finger
593,arrivata,finish
339,lu focu,fire
193,primu,first
260,pesciu,fish
643,jìssi,fit
458,cinque,five
694,appartamentu,flat
720,pianu,floor
644,purtata,flow
596,fiore,flower
406,vulari,fly
76,seguitate,follow
216,pastu,food
366,pede,foot
7,di,for
358,forza,force
552,foresta,forest
130,furmulariu,form
922,francescon,forward
207,truvonu,found
218,quattru,four
551,fraction,fraction
440,senza,free
836,freschi,fresh
257,amicu,friend
17,da,from
429,"fronte,",front
755,fruttu,fruit
357,chinu,full
586,fun,fun
384,ghjocu,game
638,’ortu,garden
588,a gas,gas
980,vinianu,gather
433,detti,gave
526,generale,general
798,ï¿½,gentle
106,arrivare,get
303,figghjola,girl
123,dà,give
864,viulinu,glad
577,biccheri,glass
179,andà,go
373,oru,gold
599,stilettu,gone
121,bene,good
281,a te,got
496,cuvirnari,govern
535,prugettu,grand
578,erba,grass
990,grisgiu,gray
132,perfettu,great
434,verde,green
629,crisciutu,grew
464,nterra,ground
286,gruppu,group
210,crisciri,grow
801,devi essa,guess
924,avvià,guide
840,cannone,gun
28,avia,had
717,capiddi,hair
336,mitati,half
64,manu,hand
332,succede,happen
594,cuntenti,happy
231,aspra,hard
174,hà,has
953,appeddu,hat
15,avè,have
5,ellu,he
201,testa,head
265,state à sente,hear
451,ntisi,heard
540,lu cori,heart
390,u caldu,heat
543,pisanti,heavy
716,guardata,held
135,aiutu,help
167,u so,her
71,ccà,here
74,altu,high
724,cullina,hill
172,ellu,him
3,u so,his
788,storia,history
771,schjaccià,hit
462,chjappà,hold
699,pirtusu,hole
62,casa,home
595,speru,hope
266,"cavallo,",horse
19,cavura,hot
387,cavura,hot
453,ora,hour
87,gîte,house
46,quantu,how
918,grannissimi,huge
787,umanu,human
457,centu,hundred
502,caccià,hunt
828,fala,hurry
2,i,i
527,ghiaccio,ice
259,’idea,idea
44,si,if
794,à pensà,imagine
34,in,in
351,inches,inch
531,mappa satellitare,include
783,indicanu,indicate
742,nnustria,industry
780,insecte,insect
877,un mumentu,instant
575,strumentu,instrument
465,intaressu,interest
970,scuprianu,invent
691,ferru,iron
24,hè,is
365,isula,island
25,hè,it
580,travagghiu,job
617,raghjugna,join
570,aligria,joy
700,santari,jump
129,ghjustu,just
221,teniri,keep
576,mantinutu,kept
690,chiavi,key
657,caccialli,kill
84,curtisi,kind
349,re,king
344,canuscia,knew
189,cunnosce,know
621,signura,lady
659,lago,lake
70,paese,land
399,lingua,language
66,grossu,large
224,cognomi,last
240,tardu,late
379,prêt,laugh
730,ghjustizia,law
482,mittaraghju,lay
408,cumannari,lead
213,amparà,learn
610,omancu,least
321,lasciarà,leave
929,cundottu,led
239,manca,left
562,gamma,leg
516,lunghezza,length
474,menu,less
225,chì,let
293,lettera,letter
978,livellu,level
745,minzogna,lie
248,a vita,life
848,ascenseur,lift
83,di luce,light
164,cum’è,like
137,linia,line
894,liquidu,liquid
310,lists,list
470,canta,listen
113,pocu,little
109,campà,live
777,piatra,locate
895,scie à,log
561,sulitariu,lone
168,tantu,long
175,circà,look
635,persu,lost
687,mori,lot
662,populu,loud
487,àmanu,love
136,suttana,low
411,màcchina,machine
108,fattu,made
909,calamita,magnet
273,principale,main
835,maiò,major
169,fà,make
116,omu,man
159,assai,many
493,mappa,map
291,marque,mark
878,mercatu,market
932,di massa,mass
851,patruni,master
913,scintilla,match
550,a materia,material
528,a materia,matter
195,maghju,may
122,à mè,me
142,dì,mean
896,cambiata,meant
323,misurari,measure
817,manghjà,meat
704,sìmula,meet
601,quandu,melody
80,l ’omi,men
709,di metallu,metal
672,mètudu,method
656,mezzu,middle
233,forsi,might
295,chilometru,mile
670,u latti,milk
591,miliuna,million
444,cuntata,mind
832,a meia,mine
441,minutu,minute
388,ilu,miss
631,mmiscari,mix
769,mudernu,modern
987,mulècula,molecule
660,memoria,moment
489,soldi,money
590,mese,month
364,luna,moon
176,di più,more
475,mane,morning
185,più,most
94,mamma,mother
892,rimusciu,motion
566,muntagna,mount
261,muntagna,mountain
606,bocca,mouth
144,muvimentu,move
141,tantu,much
352,multiplica,multiply
288,musica,music
72,ci vole,must
187,u mo,my
126,cognome,name
668,a nazione,nation
748,naturale,natural
889,a natura,nature
96,vicinu,near
802,nicissariu,necessary
900,collu,neck
86,bisognu,need
806,prossimu,neighbor
223,mai,never
102,novu,new
277,prossimu,next
246,notte,night
975,nove,nine
184,innò,no
977,vucciria,noise
767,a sesta,noon
947,nè,nor
250,nordu,north
996,nasu,nose
412,vascia,note
353,nunda,nothing
499,esaudita,notice
418,nome,noun
199,oghji,now
182,nùmeru,number
328,maître,numeral
360,ughjettu,object
664,osservanu,observe
886,ghjughjenu,occur
438,marina,ocean
30,di,of
85,cumming,off
873,offerta,offer
603,ufficiu,office
292,spissu,often
435,oh,oh
626,ogghiu,oil
147,vecchio,old
8,nantu,on
263,una volta,once
14,unu,one
114,solu,only
274,apartu,open
760,upirari,operate
963,upposta,opposite
27,o,or
338,pà,order
673,organi,organ
865,urighjinariu,original
38,lucca,other
124,u nostru,our
37,fora,out
188,nantu,over
203,so,own
901,ossigenu,oxygen
204,pagina,page
398,dipinze,paint
530,paru,pair
285,carta,paper
713,comma,paragraph
853,female,parent
104,parte,part
959,particulari,particular
774,partitu,party
345,passani,pass
584,passatu,past
893,stradellu,path
484,mintali,pattern
674,paiari,pay
186,populu,people
510,forsi,perhaps
782,piriudu,period
488,persona,person
734,scritta,phrase
511,coglie,pick
88,ritrattu,picture
342,pezzu,piece
930,inchiostru,pitch
107,postu,place
302,piaghja,plain
414,pianu,plan
375,n’aeriu,plane
827,pianeta,planet
214,pianta,plant
58,ghjucà,play
765,per piacè,please
997,singular,plural
813,puema,poem
93,puntu,point
686,mischinu,poor
880,ghìnchinu,populate
65,portu,port
320,suspect,pose
546,pusizioni,position
374,pussìbbili,possible
860,articulu,post
423,mina,pound
402,lu putiri,power
761,ghjuvevule,practice
994,priparari,prepare
542,prisente,present
244,paolino,press
904,bellucciu,pretty
842,stampa,print
503,di gattiva,probable
341,prublemu,problem
759,prucessu,process
448,prudùcinu,produce
325,pruduttu,product
871,n’aducazzioni,proper
985,a pruprietà,property
766,pruteghje,protect
560,determinà,prove
795,furnissi,provide
497,intenzioni,pull
711,totta,push
61,mintiri,put
974,litru,quart
331,quistioni,question
436,taliatura,quick
680,tranquillu,quiet
653,sosula,quite
897,quotient,quotient
554,a punti,race
784,radiu,radio
793,ferrovie,rail
494,arcusgi,rain
707,addivà,raise
382,corse,ran
890,catalogu,range
809,piuttostu,rather
466,ghjugna,reach
63,leghje,read
306,pronta,ready
247,etrusca,real
515,raghjoni,reason
604,ricìviri,receive
370,discugràfica,record
309,rossu,red
520,righjoni,region
459,sapere,remember
991,ripetiri,repeat
884,rispondi,reply
517,chjare,represent
992,vurrà,require
420,sicretu,rest
722,risurtatu,result
756,ricca,rich
507,accriscimentu,ride
145,diritta,right
778,anellu,ring
623,ricuddà,rise
296,fiume,river
492,stradale,road
337,scogliu,rock
739,tambour,roll
256,cammara,room
705,ràdica,root
935,corda,rope
840,s’arrizzò,rose
115,intornu,round
605,n’angulu,row
818,pascale,rub
495,règula,rule
241,scappu,run
725,sicuru,safe
47,dissi,said
549,navigheghja,sail
995,sali,salt
149,listessu,same
737,sabbia,sand
572,assittatu,sat
648,sarvari,save
235,vide,saw
134,dì,say
661,scala,scale
209,la scola,school
254,scienzi,science
926,spartitu,score
237,mari,sea
837,local,search
907,staghjoni,season
949,pusatoghju,seat
300,sicondu,second
676,rùbbrica,section
171,vidi,see
615,sumente,seed
275,parenu,seem
874,linìa,segment
988,selezziunà,select
98,autuditirminazzioni,self
954,vendenu,sell
838,mandà,send
750,asempiu,sense
640,mandatu,sent
131,filaru,sentence
762,siparati,separate
490,servinu,serve
52,ghjocu,set
523,praticà,settle
712,sette,seven
478,parechji,several
715,sarà,shall
385,furma,shape
866,sparte,share
803,souffle,sharp
150,hà,she
856,fogghiu,sheet
899,conchiglia,shell
984,beddhu,shine
334,battellu,ship
965,scarpa,shoe
981,shop,shop
854,riva,shore
327,cortu,short
205,avissi,should
966,spalla,shoulder
612,populu,shout
119,spettacolo,show
197,cantu,side
284,a vista,sight
582,scritta,sign
735,zittu,silent
910,arghjentu,silver
923,listessu,similar
477,sèmplice,simple
346,siccomu,since
469,canta u populu,sing
692,sìngulu,single
919,surella,sister
553,occupà,sit
471,sei,six
521,grannizza,size
905,aptitude,skill
696,coghju,skin
568,celu,sky
875,schiavu,slave
559,scoprinu,sleep
936,maîtrise,slip
485,lentu,slow
59,picculu,small
945,ciavuru,smell
697,sorrisu,smile
391,neve,snow
165,tantu,so
585,chjara,soft
738,pratu,soil
758,surdatu,soldier
908,definitivu,solution
708,cambiamentu,solve
23,certi,some
658,figliolu,son
322,cantu,song
315,prestu,soon
183,sonat,sound
340,sudu,south
450,u spaziu,space
524,parlà,speak
443,spiciali,special
888,discorsu,speech
671,vilucitati,speed
67,scriviri,spell
861,accadi,spend
785,parlava,spoke
844,picu,spot
967,si diffunnìu,spread
663,primavera,spring
514,quatratu,square
202,tèniti,stand
416,stella,star
232,partendu,start
220,statu,state
867,stazione,station
355,dormir,stay
376,inveças,stead
891,vapuri,steam
920,acciaio,steel
460,passu,step
693,"bastone,",stick
212,"ancora,",still
681,petra,stone
427,firmonu,stood
262,firmavanu,stop
556,magazzini,store
234,storia,story
666,drittu drittu,straight
598,attitudina,strange
822,bracciu,stream
350,carrughju,street
982,striscia,stretch
814,catena,string
442,forti,strong
772,studiente,student
211,studiu,study
519,sughjettu,subject
857,sustanza,substance
957,scassinatore,subtract
955,a riescita,success
75,tali,such
512,issu,sudden
914,suffissu,suffix
902,zùccaru,sugar
618,laga,suggest
846,vistitu,suit
557,’estate,summer
217,soli,sun
775,branch,supply
887,sustegnu,support
268,di sicuru,sure
362,superficia,surface
679,maravigghia,surprise
961,cacciucco,swim
533,sillabba,syllable
608,simmulu,symbol
367,sistema,system
472,tàvula,table
447,cuda,tail
105,piglià,take
313,conversazione,talk
736,aeriana,tall
430,insegni,teach
632,a squatra,team
898,dìanti,teeth
50,dì,tell
740,temperatura,temperature
476,deci,ten
962,termine,term
369,francese test,test
191,cà,than
911,ringraziu,thank
4,chì,that
29,l,the
42,i so,their
161,elli,them
160,allura,then
152,ùn ci,there
166,chisti,these
11,si,they
757,bilingui,thick
825,sperimentu,thin
170,cosa,thing
133,e pinsari,think
714,terzu,third
16,issu,this
289,quelli,those
311,sippuru,though
226,pinsau,thought
380,milla,thousand
53,tre,three
128,attraversu,through
983,graputi,throw
797,cusì,thus
833,cravatta,tie
43,tempu,time
682,petricaghju,tiny
392,pneus,tire
31,à,to
276,nsemmula,together
343,dittu,told
616,tonu,tone
148,troppu,too
253,pigghiò,took
942,cuntzertu,tool
347,cima,top
943,tutali,total
628,tuccari,touch
480,versu,toward
403,ville,town
852,pista,track
600,prufissioni,trade
558,treno,train
473,in viaghju,travel
228,àrbulu,tree
826,triangulu,triangle
602,viaghju,trip
611,datti,trouble
976,camion,truck
455,vera,true
89,pruvà,try
819,tubu,tube
139,turnu,turn
695,venti,twenty
173,due,two
729,activité,type
125,sottu,under
401,unità,unit
294,finu,until
154,l,up
90,noi,us
155,’usu,use
304,cinquinu,usual
946,piaghja,valley
743,valuri,value
522,varianu,vary
468,verbo,verb
127,assai,very
749,vista,view
703,paesu,village
583,ìsita,visit
500,vuci,voice
479,vucali,vowel
413,aspittari,wait
282,marchjà,walk
564,parete,wall
54,vuliti,want
481,a guerra,war
439,callu,warm
6,fù,was
807,artigianali,wash
269,fighjulà,watch
190,acqua,water
538,suddisfava,wave
157,modu,way
35,avemu,we
637,if,wear
589,camping,weather
431,settimana,week
525,misfattu,weight
56,bè,well
82,si n’andò,went
39,eranu,were
463,oeste,west
22,ce,what
356,ruota,wheel
153,quannu,when
110,induva,where
710,agghicaru,whether
40,chì,which
243,mentri,while
278,biancu,white
194,chì,who
348,interu,whole
776,quale,whose
78,perchè,why
548,larga,wide
964,moglia,wife
574,salvaticu,wild
45,sarà,will
937,win,win
330,ventu,wind
555,fenêtre,window
804,cantu,wing
571,inguernu,winter
633,panze,wire
567,vulete,wish
10,cù,with
799,donna,woman
906,donne,women
378,c’avissi,wonder
752,ùn sarà,won’t
272,legnu,wood
20,parulla,word
103,travagliu,work
95,mondu,world
163,avissi,would
162,scrivemu,write
573,scrittu,written
989,sbagghiatu,wrong
614,cavallu,wrote
622,iarda,yard
117,annu,year
839,ghjallu,yellow
394,iè,yes
537,added,yet
26,tu,you
305,ghjovanu,young
156,vostri,your
